[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[03:11:31.631 --> 03:11:32.832]  We're good to go.
[03:11:56.563 --> 03:12:00.450]  And our present day trauma is being weaponized.
[03:12:00.450 --> 03:12:02.153]  Let me say this again.
[03:12:02.153 --> 03:12:07.963]  So both the pain of Black America is being manipulated.
[03:12:09.080 --> 03:12:18.387]  And our historical trauma is being fully weaponized against us in order for us to destroy us.
[03:12:18.387 --> 03:12:36.762]  So then when we're talking about the coming destruction of Black Lives Matter, not just through the manipulation of reality, time, and probability, but also there is the manipulation of what you and I call perceived reality and perceived control.
[03:12:37.482 --> 03:12:54.767]  So then, you have to look at the psychology of Black America in order for you and I to properly understand who and what Black Lives Matter is concerning the coming destruction of Black Lives Matter.
[03:12:54.767 --> 03:13:06.251]  So, you have terms like neuroplasticity, which means the brain grows in forms to become the very shape of what the individual is thinking at that moment.
[03:13:06.897 --> 03:13:10.398]  Then you have neuroparasitology.
[03:13:10.398 --> 03:13:15.360]  That is a psychological disorder because of bad diatine.
[03:13:15.360 --> 03:13:18.321]  Not just with black people, but most Americans.
[03:13:18.321 --> 03:13:31.245]  The bad diatine, the food that you and I ingest, okay, because of self-hatred, mainly with Black Lives Matter, it creates a parasitical psyop
[03:13:31.846 --> 03:13:41.689]  Which the food becomes parasitic and thereby overtakes both our brains and our blood supply.
[03:13:41.689 --> 03:13:44.129]  That's neuroparasitology.
[03:13:44.129 --> 03:13:49.391]  Then you have hypercoagulation or coagulability.
[03:13:50.314 --> 03:14:05.287]  It means that the blood supply in your blood system becomes coagulated because of both neural parasitology and neuroplasticity.
[03:14:05.287 --> 03:14:16.777]  This is the case with Black Lives Matter, because Black Lives Matter represents the black skulls and bones being connected to the Boolean Sick Society.
[03:14:17.361 --> 03:14:22.185]  Which is the black equivalent of Yale University's Skulls and Bones.
[03:14:22.185 --> 03:14:27.690]  So then, as we're talking about the coming destruction of Black Lives Matter.
[03:14:27.690 --> 03:14:34.155]  Now, Brother Alex powerfully articulated concerning fallen angels.
[03:14:34.155 --> 03:14:45.224]  Now, you and I are taught and commanded by the global balcony Luciferian deep state to separate six feet from each other in diameter.
[03:14:45.862 --> 03:14:57.417]  Well, 7.7 billion people or corps or corporations times 6 feet of separation equals 46 billion
[03:14:59.902 --> 03:15:03.605]  200 million degrees of separation.
[03:15:03.605 --> 03:15:04.846]  Well, look at the number 46.
[03:15:04.846 --> 03:15:08.549]  You and I had 46 chromosomes.
[03:15:08.549 --> 03:15:11.572]  23 from the mother, 23 from the father, okay?
[03:15:11.572 --> 03:15:23.502]  In Genesis chapter 3, verses 1, dropping down to verses 4 and 5, according to the King James Version, the serpent spoke 46 words
[03:15:25.283 --> 03:15:27.384]  To the woman, okay?
[03:15:27.384 --> 03:15:30.584]  Who was later named Eve.
[03:15:30.584 --> 03:15:32.645]  Her husband is Adam.
[03:15:32.645 --> 03:15:36.126]  The first and last letters of the name Adam is A-M.
[03:15:36.126 --> 03:15:39.246]  So Adam was created as the A-M of the morning.
[03:15:39.246 --> 03:15:45.648]  And his wife Eve was designed by God to be the P-M of the evening.
[03:15:46.108 --> 03:15:51.216]  So is Adam and Eve and not Adam and Deacon Stevie?
[03:15:51.216 --> 03:15:55.302]  Is Eve and Adam and not Eve and Ellen Degenerate?
[03:15:55.302 --> 03:15:57.045]  Another topic for another day.
[03:15:57.045 --> 03:16:01.211]  So 7.7 billion people times six feet of
[03:16:01.990 --> 03:16:14.919]  In Separation Social Distancing, which also means the Gestalt Theory, that's 46,200,000,000 degrees of separation, 46 chromosomes.
[03:16:14.919 --> 03:16:28.147]  Now, you and I did not have any chromosomes prior to Genesis 3, because you and I were designed to be a trichotomy, spirit-soul living inside of a body.
[03:16:28.147 --> 03:16:31.049]  So, we had no need of a chromosome.
[03:16:31.724 --> 03:16:41.627]  After the serpent came in contact with the woman Eve, then we acquired or attained 46 chromosomes.
[03:16:41.627 --> 03:16:45.467]  Now you have the number 200 million.
[03:16:45.467 --> 03:16:59.391]  In the books of Genesis chapter 6, more specifically Enoch 6 and Jude 6, 666, historical, social tracing and distancing
[03:17:00.199 --> 03:17:24.709]  There were 200 angels on Mount Hermon in Enoch 6, 20 of which are named by Enoch in Enoch 6 that I'm going to reveal during the second segment here on the Alex Jones Show with your host, moderator, and teacher today, Bishop Larry Gaters, as we are re-discussing
[03:17:25.467 --> 03:17:32.751]  And powerfully articulating to you, our patriots, the coming destruction of Black Lives Matter.
[03:17:32.751 --> 03:17:36.453]  7.7 billion people times six feet in circumference.
[03:17:36.453 --> 03:17:41.555]  That's 46 billion, 200 million degrees of separation.
[03:17:41.555 --> 03:17:50.460]  We will see you here in about two to three minutes time here on the Alex Jones Show with your guest host, Bishop Larry Gators.
[03:18:06.966 --> 03:18:20.650]  It sounds over the top when I go on air, and I explain that the controllers of the planet want to carry out the extermination of the entire human population, except for a few of what they call their new transcendent silicon gods.
[03:18:20.650 --> 03:18:23.031]  But that's really what they're now externalizing.
[03:18:23.031 --> 03:18:26.452]  They're now taking what was in their textbooks and white papers 30 years ago,
[03:18:26.992 --> 03:18:29.353]  And actually openly announcing it everywhere.
[03:18:29.353 --> 03:18:31.853]  They're going from beta to operational.
[03:18:31.853 --> 03:18:33.533]  And think about all these major corporations.
[03:18:33.533 --> 03:18:34.894]  They tell you humans are harmful.
[03:18:34.894 --> 03:18:36.234]  They tell you humans are a parasite.
[03:18:36.234 --> 03:18:38.334]  They tell you that we've all got to be gotten rid of.
[03:18:38.334 --> 03:18:43.416]  And then they won't let people see their old folks in nursing homes and then ship in COVID to kill them.
[03:18:43.416 --> 03:18:47.116]  That's all organizing as a beta test for larger operations.
[03:18:47.116 --> 03:18:54.538]  And everything is a microcosm and a laboratory test of larger scalability of what they are now beginning to roll out.
[03:18:54.978 --> 03:19:02.119]  Look at how they're banning medical doctors from promoting therapeutics that are absolutely essential to stop viral infections like COVID-19.
[03:19:02.119 --> 03:19:04.940]  This is all absolute information control.
[03:19:04.940 --> 03:19:06.660]  This is beyond 1984.
[03:19:06.660 --> 03:19:08.661]  Dependency.
[03:19:08.661 --> 03:19:10.681]  Domestication.
[03:19:10.681 --> 03:19:14.622]  In the real world, ignorance is not bliss.
[03:19:14.622 --> 03:19:16.842]  It's enslavement and it's death.
[03:19:16.842 --> 03:19:19.623]  The globalists are teaching us all that we're non-essential.
[03:19:20.418 --> 03:19:24.962]  With automation, they're bringing in a world that doesn't empower humanity, but makes us obsolete.
[03:19:24.962 --> 03:19:26.123]  But we're not obsolete.
[03:19:26.123 --> 03:19:27.585]  We don't have to listen to them.
[03:19:27.585 --> 03:19:28.726]  We can farm again.
[03:19:28.726 --> 03:19:29.707]  We can garden.
[03:19:29.707 --> 03:19:31.168]  We can become self-sufficient.
[03:19:31.168 --> 03:19:36.133]  But first we've got to learn to stand up politically for ourselves, and we need to become self-sufficient.
[03:19:36.653 --> 03:19:45.336]  That begins with water filtration, to take control of that from the globalists and their fluoride and their dumbing down agenda, and with storable food.
[03:19:45.336 --> 03:19:50.877]  And we have it all, the highest quality, the highest rated, at the lowest prices, at InfoWarStore.com.
[03:19:50.877 --> 03:19:52.438]  Take action now.
[03:19:52.438 --> 03:19:55.299]  You cannot lose unless you do not take action.
[03:19:55.299 --> 03:19:59.840]  We have the best water filtration, the best storable food, and it funds the InfoWar.
[03:19:59.840 --> 03:20:01.921]  Take action now while you still can.
[03:20:01.921 --> 03:20:02.901]  Become prepared.
[03:20:02.901 --> 03:20:05.762]  Become self-sufficient now at InfoWarStore.com.
[03:20:07.196 --> 03:20:11.517]  The trick that social engineers use is very, very simple.
[03:20:11.517 --> 03:20:23.419]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats.
[03:20:23.419 --> 03:20:26.140]  And that if we just sit back and enjoy the ride, everything will be great.
[03:20:26.140 --> 03:20:32.121]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, that we need to be phased out.
[03:20:32.121 --> 03:20:36.322]  So they're very open about what they're doing, and they count on us.
[03:20:37.182 --> 03:20:42.963]  Just being very passive, living in the matrix-like system that they're building.
[03:20:42.963 --> 03:20:50.164]  But what defines humans more than anything from the rest of the quote, animal kingdom, is that we control our environment.
[03:20:50.164 --> 03:20:52.265]  We build our own environments.
[03:20:52.265 --> 03:20:53.605]  We create our own systems.
[03:20:53.605 --> 03:21:00.126]  We really geoengineer and terraform the planet and its systems towards our aims.
[03:21:00.126 --> 03:21:04.727]  But instead, we're acting like animals, letting the globalists play the part of humans, and us as cattle.
[03:21:04.727 --> 03:21:05.607]  And that's the trick.
[03:21:09.833 --> 03:21:12.437]  You're listening to The Alex Jones Show.
[03:21:32.065 --> 03:21:43.955]  Welcome back to America's number one show, the Alex Jones Show, here with your host and moderator and teacher and guest host during the last hour of the Alex Jones Show on InfoWars.
[03:21:43.955 --> 03:21:45.717]  Please support InfoWars.
[03:21:45.717 --> 03:21:53.504]  I guarantee you, you will get a great return of truth and authenticity here in the 21st century.
[03:21:53.504 --> 03:21:56.246]  The coming destruction of Black Lives Matter.
[03:21:56.246 --> 03:21:57.067]  So 7.7 billion people
[03:21:58.655 --> 03:21:59.115]  Time
[03:22:18.021 --> 03:22:25.065]  Every Wiccan participant must be separated 6 feet in circumference.
[03:22:25.065 --> 03:22:30.248]  7.7 billion people times 6 feet in circumference is 46 billion.
[03:22:30.248 --> 03:22:33.369]  You and I have 46 chromosomes.
[03:22:33.369 --> 03:22:35.791]  200 million degrees of separation.
[03:22:35.791 --> 03:22:43.255]  Now in Enoch chapter 6, it gives a catalog of 200 angels, okay?
[03:22:45.760 --> 03:22:47.002]  We're good to go.
[03:23:01.463 --> 03:23:14.151]  Which reveal, through dark articulation, a demonic code of not only to destroy humanity, but I believe the future United States of America, which is today.
[03:23:14.151 --> 03:23:19.955]  Here are the names of those 20 fallen angels in Enoch, chapter 6.
[03:23:19.955 --> 03:23:23.717]  Semjiza, his name means cognition.
[03:23:23.717 --> 03:23:26.939]  Semziah means thinking.
[03:23:26.939 --> 03:23:29.361]  Erechabod means that will.
[03:23:29.961 --> 03:23:31.882]  Ramil means to begin.
[03:23:31.882 --> 03:23:35.464]  Kokobil means the process.
[03:23:35.464 --> 03:23:38.465]  Tamil means of reversing.
[03:23:38.465 --> 03:23:40.406]  Ramil means the design.
[03:23:40.406 --> 03:23:43.068]  Daniel means from God.
[03:23:43.068 --> 03:23:47.430]  Ezekiel with a Q means to reorder.
[03:23:47.430 --> 03:23:49.751]  Ereqil means a new design.
[03:23:49.751 --> 03:23:54.414]  Azil means a pathogen.
[03:23:54.414 --> 03:23:57.115]  Eramos means a new protein.
[03:23:57.864 --> 03:24:00.045]  Back to Real means a beginning.
[03:24:00.045 --> 03:24:04.207]  NNL means kingdom.
