[00:00.000 --> 00:01.020]  In the conditioning!
[03:39:53.780 --> 03:39:58.100]  for needy people organization that's a total sham which means the swindles the cash out
[03:39:58.100 --> 03:40:03.540]  yeah exactly exactly well it turns out we keep them comfortable they had this
[03:40:04.180 --> 03:40:09.380]  1918 year old kid who they were representing another guy and he was called in as a witness
[03:40:09.380 --> 03:40:15.300]  and this lawyer goes into the men's room with this kid and sexually propositions him this
[03:40:15.300 --> 03:40:20.100]  is in joe biden's daughter-in-law's legal group and then they just sweep it under the rug oh this
[03:40:20.100 --> 03:40:23.860]  never happened yeah we're sorry if you were uncomfortable with people associated with biden
[03:40:23.860 --> 03:40:31.300]  are grabbing kids you're telling me bears bears bears live in the woods who could have ever seen
[03:40:31.300 --> 03:40:35.780]  this happening but you know so it doesn't surprise me that he's in bed with china and in fact if you
[03:40:35.780 --> 03:40:40.500]  look at the company he keeps hillary clinton we all know what she does with china we all know what
[03:40:40.500 --> 03:40:46.900]  she does with foreign government so it doesn't surprise me at all pepper you need to join me
[03:40:46.900 --> 03:40:52.100]  throughout the week what's coming up in the next segment here so i thought since we were talking
[03:40:52.100 --> 03:40:56.580]  about biden i wanted to talk about that we've also got kind of i want to give some backstory
[03:40:56.580 --> 03:41:02.980]  about rod rosenstein because this guy has been a bad actor for a very long time he interviewed
[03:41:02.980 --> 03:41:07.860]  hillary clinton way back in the day i'm sorry i think it was president bill clinton all the way
[03:41:07.860 --> 03:41:12.580]  back in whitewater when he was impeached in the house but not the senate of memory serfs and it
[03:41:12.580 --> 03:41:19.060]  was a 15 minute interview it didn't happen where it was supposed to happen and then all these years
[03:41:19.060 --> 03:41:26.100]  later in 2017 when he joined the trump administration he lied on his resume and he said that at the time
[03:41:26.100 --> 03:41:31.220]  that he was interviewing the clinton's about whether or not they broke the law he said that he
[03:41:31.220 --> 03:41:36.580]  was the attorney general for a state chief prosecutor for maryland i think it was so this
[03:41:36.580 --> 03:41:41.220]  guy is a real piece of work he's the same guy i should have led the show and i'm glad you're
[03:41:41.220 --> 03:41:46.900]  going to do this next segment thank god you're here why is the head of the air force academy
[03:41:46.900 --> 03:41:54.820]  stepping down why is that a wantonimo stepping down why is rod rosenstein stepping down i'm
[03:41:54.820 --> 03:42:03.460]  told the tea leaf show this is not very good jubu huju or whatever for the establishment right well
[03:42:03.460 --> 03:42:09.220]  if you look at it ever since that molar report broke we've had like what 10 different top officials
[03:42:09.220 --> 03:42:14.660]  now all throughout the federal government stepping down quote unquote and we all know the way this
[03:42:14.660 --> 03:42:18.900]  works when you get to these upper echelons you get you get the choice they come they bring you in
[03:42:18.900 --> 03:42:22.740]  the office and they say all right you can either step down or we're going to fire you and you'll
[03:42:22.740 --> 03:42:32.180]  be a public disgrace and if they're smart you see how it works papper we're gonna get those little
[03:42:32.180 --> 03:42:43.060]  gizzard snippets it's all liberal thom papper is on fire i'm alex jones stay with us for one more
[03:42:43.060 --> 03:42:53.620]  segment then the war room is ready hillary loves you take the vaccines yes info war store
[03:42:53.620 --> 03:42:58.180]  dot com is how you support us and it's not like we're selling stuff you don't need you don't want
[03:42:58.180 --> 03:43:06.180]  the air and the average american home is filled with toxins that put it on par with a major city
[03:43:06.180 --> 03:43:11.620]  there's some of the most polluted areas on earth are major cities how can i solve that problem so
[03:43:11.620 --> 03:43:18.340]  we have air filters at info war store dot com the alexa pure breeze which is right now 50
[03:43:18.340 --> 03:43:25.620]  dollars off the alexa pure breeze groundbreaking iron cluster air filter technology and we've got
[03:43:25.620 --> 03:43:30.420]  a limited quantity of these left right now we're basically selling these at cost because there
[03:43:30.420 --> 03:43:37.140]  was a big overhaul go ahead and read the hundreds of five star reviews for yourself i've got two in
[03:43:37.140 --> 03:43:43.940]  my home you will notice the difference ladies and gentlemen with the alexa pure breeze in your house
[03:43:43.940 --> 03:43:51.540]  don't live in a polluted major city in your home have clean air go to info war store dot com
[03:43:53.140 --> 03:43:58.020]  as the years go by it gets harder and harder to keep up with your body's nutritional needs
[03:43:58.020 --> 03:44:03.540]  with changes in diet unnatural ingredients and stress you may not be able to get all the necessary
[03:44:03.540 --> 03:44:10.260]  nutrients amino acids vitamins and minerals needed daily that's why info war's life created the powerful
[03:44:10.260 --> 03:44:16.020]  vitamin mineral fusion formula the new platinum standard of advanced multi vitamin formulation
[03:44:16.020 --> 03:44:21.380]  vitamin mineral fusion uses a unique delivery system to maximize the effects and give your body
[03:44:21.380 --> 03:44:26.820]  the tools it needs to support your body using a proprietary process we've managed to make this
[03:44:26.820 --> 03:44:32.820]  powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients
[03:44:32.820 --> 03:44:38.420]  perfect for a hot summer day or relaxing at home vitamin mineral fusion is loaded with 34 different
[03:44:38.420 --> 03:44:43.620]  essential vitamins minerals amino acids and more start supporting your body's needs in a great
[03:44:43.620 --> 03:44:49.460]  tasting natural and affordable drink mix with vitamin mineral fusion today available at info
[03:44:49.460 --> 03:45:02.340]  war store dot com brain force plus is a top tier new tropic focus clarity energy but instead of having
[03:45:02.340 --> 03:45:09.060]  a seven times markup we have a hundred and fifty percent markup right now it's massively discounted
[03:45:09.860 --> 03:45:15.620]  and when you get a bottle of it at 25 percent off you get a free bottle of what is our total best
[03:45:15.620 --> 03:45:20.660]  seller it's not very profitable because we give it such a low price but it's amazed and that of
[03:45:20.660 --> 03:45:25.780]  course is knockout ultimate sleep aid so we've got a way to energize you ramp you up in a healthy
[03:45:25.780 --> 03:45:31.300]  waiter in the day and put you deep into that restful healthy sleep at night it's the brain force
[03:45:31.300 --> 03:45:38.180]  and knockout combo deal 25 off brain force and a free bottle of knockout together right now get
[03:45:38.180 --> 03:45:43.220]  the combo and experience both these rick products today take advantage of it and fund the info war
[03:45:43.220 --> 03:45:49.540]  info wars life dot com refer store dot com the brain force plus knockout combo right now get your
[03:45:49.540 --> 03:45:57.940]  free bottle today at infowar store dot com getting your protein has never been easier with info wars
[03:45:57.940 --> 03:46:03.300]  life protein bars available in delicious chocolate peanut butter and vanilla coconut flavors these
[03:46:03.300 --> 03:46:08.820]  protein bars are the perfect answer for a snack on the go info wars life protein bars are nutrient
[03:46:08.820 --> 03:46:14.980]  packed portable protein bars for an easy to eat and great tasting meal pre or post workout fuel
[03:46:14.980 --> 03:46:21.620]  alternative at just 240 calories per bar and 15 grams of protein each these bars will be your
[03:46:21.620 --> 03:46:27.940]  favorite at hand snack for at home in the car at work we're on the go for getting nutrients easily
[03:46:27.940 --> 03:46:32.340]  high in fiber and nutrients with wholesome ingredients for high level performance with
[03:46:32.340 --> 03:46:38.100]  great taste such as whey protein and chocolate compounds these protein bars can help you with
[03:46:38.100 --> 03:46:43.220]  the boost you need to reach your goals protein packed and full of fiber and healthy ingredients
[03:46:43.220 --> 03:46:48.500]  info wars life protein bars are a can't miss snack for any info warrior serious about their
[03:46:48.500 --> 03:46:52.020]  energy try both flavors today at info wars store dot com
[03:46:52.020 --> 03:47:03.460]  you're listening to the alex jones show
[03:47:22.180 --> 03:47:28.340]  welcome back to the fourth hour of the alex jones show i am tom pampered facebook's god
[03:47:28.340 --> 03:47:33.300]  emperor trump thank you all so much for watching today alex is having a lot of fun was that not
[03:47:33.300 --> 03:47:39.860]  some fascinating video the milley weaver got at the joe biden rally and of course biden is now a
