[00:00.000 --> 00:02.000]  the media.
[3:38:33.560 --> 3:38:34.560]  They got black and white.
[3:38:34.560 --> 3:38:35.560]  They got color.
[3:38:35.560 --> 3:38:36.560]  They got ground sensors.
[3:38:36.560 --> 3:38:40.120]  They got feet on the ground going around in there, too.
[3:38:40.120 --> 3:38:43.520]  Every square inch of the building is covered, but that's the only picture they could come
[3:38:43.520 --> 3:38:44.520]  up with.
[3:38:44.520 --> 3:38:45.520]  I'm with you.
[3:38:45.520 --> 3:38:47.320]  Thank you so much for the call, Craig.
[3:38:47.320 --> 3:38:49.640]  Let's move on to a Mark in Georgia.
[3:38:49.640 --> 3:38:50.640]  Mark, you're live on the air.
[3:38:50.640 --> 3:38:51.640]  Hey, bro.
[3:38:51.640 --> 3:38:52.640]  How you doing, man?
[3:38:52.640 --> 3:38:53.640]  It's been a while.
[3:38:53.640 --> 3:39:02.040]  Listen, the one thing I remember, back in the 90s, Dr. Paul Martin gave a presentation
[3:39:02.040 --> 3:39:05.040]  at a cult awareness conference.
[3:39:05.040 --> 3:39:08.840]  He was explaining these are the tactics of manipulation in mind control.
[3:39:08.840 --> 3:39:13.160]  By the way, brainwashing is specific to people that are held against their will.
[3:39:13.160 --> 3:39:17.400]  I know that's perhaps a minor technicality.
[3:39:17.400 --> 3:39:20.560]  I'm pulling over here so you can hear me more clearly.
[3:39:20.560 --> 3:39:27.040]  The thing is, what he explained is that one of the major tactics is called loaded a language.
[3:39:27.040 --> 3:39:34.160]  That is to say, a term or phrase that has a strong emotional charge attached to it that
[3:39:34.160 --> 3:39:36.480]  obstructs people from thinking.
[3:39:36.480 --> 3:39:38.280]  You mean like conspiracy theorist?
[3:39:38.280 --> 3:39:41.000]  No, that's one of the major ones.
[3:39:41.000 --> 3:39:46.600]  The other one, and I tried at the Georgia State GOP convention, I tried to go on record
[3:39:46.600 --> 3:39:50.160]  about this, and people were blue.
[3:39:50.160 --> 3:39:52.480]  The other one is the word terrorist.
[3:39:52.480 --> 3:39:57.440]  It's not like these people are human beings with God-given rights who have been provoked
[3:39:57.440 --> 3:40:02.840]  to fight against this, using whatever means are at their disposal, but they're not following
[3:40:02.840 --> 3:40:10.160]  the Geneva Convention in terms of having like some kind of marking that can be seen from
[3:40:10.160 --> 3:40:11.160]  a distance.
[3:40:11.160 --> 3:40:14.040]  Kind of like the French maquis during the Nazi occupation of France.
[3:40:14.040 --> 3:40:18.120]  It's like, they're not wearing something that says, hey, I'm the maquis, come shoot
[3:40:18.120 --> 3:40:19.120]  me.
[3:40:19.120 --> 3:40:24.280]  It's like they're resisting as they can, and the thing is that we call them terrorists
[3:40:24.280 --> 3:40:30.640]  to avoid dealing with the moral implications of if somebody else tried to do to us what
[3:40:30.640 --> 3:40:35.920]  we've been doing to them, people would stand up and fight against them.
[3:40:35.920 --> 3:40:40.280]  That's one thing I really respect about Dr. Ron Paul is the only one who's applied the
[3:40:40.280 --> 3:40:43.200]  golden rule of, what if the rules were reversed?
[3:40:43.200 --> 3:40:49.080]  What if somebody else tried to do to us what we've been doing, would that be morally acceptable?
[3:40:49.080 --> 3:40:54.200]  And what I'm saying, it concerns me because it's like good cop, bad cop.
[3:40:54.200 --> 3:41:00.480]  Sometimes if you can explain to people, this is the tactic by which you're being manipulated,
[3:41:00.480 --> 3:41:05.360]  the trick is to re-engage people's critical thinking skills, and to help them realize
[3:41:05.360 --> 3:41:08.680]  that, no, we're not saying that everyone in the government is party to this.
[3:41:08.680 --> 3:41:13.680]  We're saying components high up in the government, and their cronies, and their lackeys, and
[3:41:13.680 --> 3:41:17.560]  their dupes, and their people who were compartmentalized.
[3:41:17.560 --> 3:41:24.880]  And that's the thing is that, it's like the first Thessalonians 521, test everything and
[3:41:24.880 --> 3:41:30.080]  hold back to that which is good or true, and it's good to know what's true even when the
[3:41:30.080 --> 3:41:31.080]  truth is not good.
[3:41:31.080 --> 3:41:37.880]  When I try to explain that to some people who profess to be Christians, because it's
[3:41:37.880 --> 3:41:42.440]  like, when you have this arrogant attitude of, well, there's one standard for us and
[3:41:42.440 --> 3:41:47.560]  a different standard for them, you know, you people need to snap out of it.
[3:41:47.560 --> 3:41:48.560]  Yeah.
[3:41:48.560 --> 3:41:49.720]  Well, Mark, it's all about dehumanization.
[3:41:49.720 --> 3:41:55.320]  It's about labeling them as terrorists as non-humans, so when we bomb their entire village and
[3:41:55.320 --> 3:41:59.800]  we kill civilians, children, women, it's okay because we hit a terrorist base.
[3:41:59.800 --> 3:42:05.080]  It's just like when Clinton went in with Cruz Missile Strikes against the Sudan, he said
[3:42:05.080 --> 3:42:06.840]  he was going after bin Laden.
[3:42:06.840 --> 3:42:13.680]  In reality, they bomb the largest aspirin factory in that country, and it doesn't really
[3:42:13.680 --> 3:42:16.960]  mesh with the American people because they were told that they were bombing terrorists.
[3:42:16.960 --> 3:42:18.600]  I thank you for the call.
[3:42:18.600 --> 3:42:19.600]  It's right.
[3:42:19.600 --> 3:42:23.400]  I mean, it's a different set of rules for a different set of folks, and because they
[3:42:23.400 --> 3:42:26.360]  tell you it's a terrorist, they're not a human being to you.
[3:42:26.360 --> 3:42:31.920]  It doesn't even click that this is somebody's brother, sister, mother, family member.
[3:42:31.920 --> 3:42:35.280]  You know, this is somebody that has the same emotions as you and I.
[3:42:35.280 --> 3:42:36.280]  They're human beings.
[3:42:36.280 --> 3:42:39.040]  All right, let's go to Steve in Texas.
[3:42:39.040 --> 3:42:40.040]  Steve, are you with us?
[3:42:40.040 --> 3:42:41.040]  Yes, sir.
[3:42:41.040 --> 3:42:42.040]  Good afternoon, Jason.
[3:42:42.040 --> 3:42:44.640]  I appreciate the work you've done with Loose Change.
[3:42:44.640 --> 3:42:51.400]  I've pointed a lot of people to that, and, you know, our item is the definitive documentary
[3:42:51.400 --> 3:42:56.240]  about 9-11, and, you know, just go look at that and check out the evidence versus the
[3:42:56.240 --> 3:42:59.560]  official story, and you draw your own conclusion based on that.
[3:42:59.560 --> 3:43:04.280]  Of course, if you're objective, you're going to draw the right conclusion, so I appreciate
[3:43:04.280 --> 3:43:05.880]  what you guys are doing with that.
[3:43:05.880 --> 3:43:09.040]  I just want to make people aware of some.
[3:43:09.040 --> 3:43:14.920]  I've already been in touch with Alex's producer about that, and this is going to, I think,
[3:43:14.920 --> 3:43:19.480]  turn out to be one of his biggest interviews ever, but there's a guy, I don't know if
[3:43:19.480 --> 3:43:21.360]  you've heard of him, named Scott Loper.
[3:43:21.360 --> 3:43:22.360]  No, I haven't.
[3:43:22.360 --> 3:43:23.360]  Okay.
[3:43:23.360 --> 3:43:26.360]  Yeah, you've heard of Restore the Republic, Aaron Russo's.
[3:43:26.360 --> 3:43:27.360]  Sure, sure.
[3:43:27.360 --> 3:43:28.360]  I've worked with him for a little bit.
[3:43:28.360 --> 3:43:34.080]  Yeah, they had a conference call last week, and what this was was Scott Loper and his
[3:43:34.080 --> 3:43:41.200]  lawyer on this call telling his very sad story, and what he shared is a real travesty
[3:43:41.200 --> 3:43:42.200]  of justice.
[3:43:42.200 --> 3:43:46.960]  Just in a nutshell, he'll get to share more when he's actually on, but he was up in Canada
[3:43:46.960 --> 3:43:49.200]  living there, married a Canadian woman.
[3:43:49.200 --> 3:43:53.880]  He's an American citizen, he was a police officer from New Jersey, moved up there in
[3:43:53.880 --> 3:43:54.880]  Ontario, Canada.
[3:43:54.880 --> 3:44:01.080]  Anyway, he ended up doing a private investigation of his own for the drugs and the prostitution
[3:44:01.080 --> 3:44:02.960]  that the police there were running.
[3:44:02.960 --> 3:44:08.280]  Well, they came down on him, and he uses the term arrested, but really what they did was
[3:44:08.280 --> 3:44:13.520]  abducted him as well as his wife and his daughter, and the bottom line is he has not
[3:44:13.520 --> 3:44:17.280]  seen his three-year-old son since 2000 when this took place.
[3:44:17.280 --> 3:44:24.160]  They kept him against his will for four years in solitary confinement, and they tortured
[3:44:24.160 --> 3:44:29.600]  him, and he goes into detail about this, but I mean what they did to him is horrendous,
[3:44:29.600 --> 3:44:34.640]  but the worst thing is when they finally released him four years later in 2004, they
[3:44:34.640 --> 3:44:38.960]  dumped him on the American side of the border in my hometown of Buffalo, New York, with
[3:44:38.960 --> 3:44:40.880]  just the clothes on his back.
[3:44:40.880 --> 3:44:45.600]  He got back to New Jersey, contacted his congressman, they got him in touch with the State Department.
[3:44:45.600 --> 3:44:46.600]  Here's the bottom line.
[3:44:46.600 --> 3:44:51.360]  This year, you probably heard, there's this guy, Medellin, that's an illegal Mexican,
[3:44:51.360 --> 3:44:55.760]  and in 1993 was convicted for the brutal rape and murder of two women here in the Houston
[3:44:55.760 --> 3:44:56.760]  area.
[3:44:56.760 --> 3:45:01.720]  This just came out stopping the execution of this guy who was in death while citing
[3:45:01.720 --> 3:45:07.080]  the Vienna Convention because he didn't get to contact the Mexican conflict, and yet here,
[3:45:07.080 --> 3:45:12.720]  the State Department has given absolutely no help to this man who's a legal citizen
[3:45:12.720 --> 3:45:16.920]  and has done nothing wrong, and they're basically telling him, forget about your son, he's
[3:45:16.920 --> 3:45:22.320]  probably dead, and so they've turned a blind eye, and the bigger picture of this, as far
[3:45:22.320 --> 3:45:27.200]  as Restore the Republic, is the North American Union, as well as people traveling out of
[3:45:27.200 --> 3:45:32.360]  the country from America, and so I'm hoping people will go out of world net daily.
[3:45:32.360 --> 3:45:36.600]  There's actually four, eight articles about this, and he's got documentation to back
[3:45:36.600 --> 3:45:40.800]  all this up, but they're saying there's not even a record of this man in Canada, which
[3:45:40.800 --> 3:45:45.560]  is a total lie, and our government knows about this, and I'm really upset about it.
[3:45:45.560 --> 3:45:46.920]  All right, Steve, well, we'll check it out.
[3:45:46.920 --> 3:45:48.040]  I hope they do get them on.
[3:45:48.040 --> 3:45:50.560]  That is an incredible story, and check them out.
[3:45:50.560 --> 3:45:53.640]  World Net Daily is a source I use in some of my films.
[3:45:53.640 --> 3:45:55.640]  It's one of the better websites out there.
[3:45:55.640 --> 3:45:56.640]  I thank you for the call, Steve.
[3:45:56.640 --> 3:45:58.920]  All right, let's go to Graham in Seattle.
[3:45:58.920 --> 3:45:59.920]  Graham, are you with us?
[3:45:59.920 --> 3:46:00.920]  Yeah, I'm with you.
[3:46:00.920 --> 3:46:07.040]  I was going to tell you, you were talking about the mural that was painted on the side
[3:46:07.040 --> 3:46:14.920]  of the flatbed truck with depicting the remote-controlled airplane flying into the New York City, and
[3:46:14.920 --> 3:46:19.560]  I found there was actually an article that Steve Watson had written last year, April
[3:46:19.560 --> 3:46:20.560]  23, 2007.
[3:46:20.560 --> 3:46:27.360]  It's called The Mystery of the 9-11 Car Bombs, and he references Channel 30 NYC, one
[3:46:27.360 --> 3:46:32.480]  of the emergency communications channels on the morning of September 11, where the first
[3:46:32.480 --> 3:46:37.960]  responder actually directly makes reference to a message about the remote-controlled plane,
[3:46:37.960 --> 3:46:41.640]  and he talks about how there's a big truck with a mural painted of an airplane diving
[3:46:41.640 --> 3:46:49.200]  into New York City and exploding, and then they were calling for the bomb people to come
[3:46:49.200 --> 3:46:50.200]  over there.
[3:46:50.200 --> 3:46:53.200]  So that was pretty interesting, and then, of course, there's that.
[3:46:53.200 --> 3:46:55.320]  We played that audio on the show yesterday, by the way.
[3:46:55.320 --> 3:46:56.800]  Did you play that audio?
[3:46:56.800 --> 3:46:57.800]  Yeah, you cannot.
[3:46:57.800 --> 3:47:02.160]  If you want to actually hear that audio, there's a great article over at truthalliance.net
[3:47:02.160 --> 3:47:09.600]  where somebody goes through that entire conversation, and on Google Maps, on Google Video, he kind
[3:47:09.600 --> 3:47:14.080]  of takes you where these things are happening, and that happened on King Street between 6th
[3:47:14.080 --> 3:47:15.680]  and 7th, and then there's a...
[3:47:15.680 --> 3:47:18.440]  Yeah, there's a 7th on King Street, yeah, it says that in this article that I'm looking
[3:47:18.440 --> 3:47:19.440]  at, too.
[3:47:19.440 --> 3:47:23.080]  It also has the audio on the Steve Watson article, and then you were talking to the
[3:47:23.080 --> 3:47:25.840]  weird-changed person earlier about the two...
[3:47:25.840 --> 3:47:29.880]  He had mentioned the Norman Manetta in the 2006 report.
[3:47:29.880 --> 3:47:35.400]  I think it was the Norman Manetta International Institute for Surface Transportation Policy
[3:47:35.400 --> 3:47:36.400]  study report.
[3:47:36.400 --> 3:47:37.400]  I believe so, too.
[3:47:37.400 --> 3:47:41.800]  It's a story of 2006 that referenced that, and it's kind of interesting that they found
[3:47:41.800 --> 3:47:46.240]  it to be just an innocent delivery truck, even though it had a painting of a plane flying
[3:47:46.240 --> 3:47:47.240]  into the world...
[3:47:47.240 --> 3:47:50.440]  And Middle Easterners who couldn't speak English that didn't own it.
[3:47:50.440 --> 3:47:55.320]  Yeah, and it's kind of interesting because the actual first responders reported that
[3:47:55.320 --> 3:47:56.320]  it exploded.
[3:47:56.320 --> 3:47:57.320]  Well, one of the things...
[3:47:57.320 --> 3:47:58.600]  I don't know if that one exploded.
[3:47:58.600 --> 3:48:02.640]  I think that they're talking about another van, because I'm listening to these things
[3:48:02.640 --> 3:48:05.840]  for the first time in the past couple days, and I've only listened to them about four
[3:48:05.840 --> 3:48:06.840]  or five times.
[3:48:06.840 --> 3:48:10.600]  But I do think that's a separate incident because they say that they have those guys
[3:48:10.600 --> 3:48:14.200]  in custody and that the flatbed truck had been pulled over, and then they're talking
[3:48:14.200 --> 3:48:19.200]  about this other explosion that may have been one of those urban moving systems vans.
