[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[3:22:13.000 --> 3:22:21.000]  And I did that deliberately because my whole mission was to empower you.
[3:22:21.000 --> 3:22:31.000]  If I could only wake up one, it would be enough if it was the right person who would decide to do something about what they cared about,
[3:22:31.000 --> 3:22:39.000]  not necessarily anything I cared about, but just recognizing the created power of what we are again.
[3:22:39.000 --> 3:22:48.000]  And to not know that is a heartbreaking thing for me to know how many don't know that.
[3:22:48.000 --> 3:22:51.000]  But I do know this about that.
[3:22:51.000 --> 3:22:54.000]  It doesn't require pure knowing.
[3:22:54.000 --> 3:22:57.000]  It requires honesty, internal integrity.
[3:22:57.000 --> 3:23:04.000]  And when you don't know, don't start saying you do believe something that you don't believe.
[3:23:04.000 --> 3:23:10.000]  Go as far as your belief and knowing will take you.
[3:23:10.000 --> 3:23:15.000]  Not hoping, mixing that up with believing, but knowing.
[3:23:15.000 --> 3:23:24.000]  And then what you don't know, voice with your mouth, ask for the knowledge, and the path will be cleared for you.
[3:23:24.000 --> 3:23:25.000]  It will be your own.
[3:23:25.000 --> 3:23:26.000]  It won't be mine.
[3:23:26.000 --> 3:23:30.000]  It won't be down at the local congregation that I might pick for you.
[3:23:30.000 --> 3:23:31.000]  It will be something for you.
[3:23:31.000 --> 3:23:32.000]  And it might be that.
[3:23:32.000 --> 3:23:35.000]  It might be any number of things.
[3:23:35.000 --> 3:23:39.000]  But at least start asking the deeper questions and find meaning.
[3:23:39.000 --> 3:23:46.000]  Because I think that's all we ever search for within this lifetime is our own personal meaning and how we project into it.
[3:23:46.000 --> 3:23:48.000]  How do we create into it?
[3:23:48.000 --> 3:23:54.000]  Many of us were privileged to engage in creation in a way that created children.
[3:23:54.000 --> 3:23:55.000]  Wow.
[3:23:55.000 --> 3:23:58.000]  And then we either did okay with them or we screwed them up.
[3:23:58.000 --> 3:24:03.000]  And I had an occasion to do a little of each, I think I had six.
[3:24:03.000 --> 3:24:15.000]  But this is what I would say about all that is our creative force in the world is so much more, so much more than what we will even allow ourselves.
[3:24:15.000 --> 3:24:25.000]  And a lot of this comes from our lack of recognition, first of all, of what we are as I started the broadcast today with people not even knowing.
[3:24:25.000 --> 3:24:29.000]  This is even a possibility or even a question to ask or even a thought to have.
[3:24:29.000 --> 3:24:31.000]  What are we created in the image of?
[3:24:31.000 --> 3:24:33.000]  And does it really matter?
[3:24:33.000 --> 3:24:35.000]  I think it does.
[3:24:35.000 --> 3:24:39.000]  But I don't think it matters so much to how the thing ends.
[3:24:39.000 --> 3:24:46.000]  You know, and that's why I feel we can do this fearlessly if we have a knowing that isn't just the believing.
[3:24:46.000 --> 3:24:52.000]  You're not just warming the bench, you know, warming the pew because you want to believe.
[3:24:52.000 --> 3:25:00.000]  You actually arrive there sometime in your life and you have a knowing that's so deep that when you pray, you know God hears.
[3:25:00.000 --> 3:25:08.000]  And when you're silent, you know God knows and acts anyway, because his will is done anyway through us, whether we know it or not.
[3:25:08.000 --> 3:25:12.000]  He blasts me. Oh, no, the presidency. It's so horrible. What's going on? Yes, it is.
[3:25:12.000 --> 3:25:23.000]  But in the end of the day, no one achieves that office and sits on that place of authority without permission from the creator.
[3:25:23.000 --> 3:25:32.000]  It's the way that works. You might not see it. Doesn't mean we don't do what we're doing. We do all those things that we're doing.
[3:25:32.000 --> 3:25:47.000]  And we engage our lives fully on based on a platform of values, values, values that are internalized first, externalized next, spoken with our word consistently.
[3:25:47.000 --> 3:25:51.000]  So our word has integrity, the same kind of integrity as a look within.
[3:25:51.000 --> 3:26:01.000]  And here's what happens when we look with them, because you know every single flaw that you have, every little speck of dust on your body.
[3:26:01.000 --> 3:26:05.000]  You actually know, unless you've ignored your consciousness enough to block it out.
[3:26:05.000 --> 3:26:10.000]  But most of us haven't done that, but we become highly critical of ourselves, right?
[3:26:10.000 --> 3:26:19.000]  We become very judgmental of ourselves. We take the judgment that is God's and we take it as if it is ours.
[3:26:19.000 --> 3:26:25.000]  And only a certain amount is the amount that says, hey, you need to improve.
[3:26:25.000 --> 3:26:32.000]  You need to take a different step in a different direction. That's the nudging of the universe, of the creator for you.
[3:26:32.000 --> 3:26:37.000]  But you still get to choose, okay? You still get to say, okay, I will or I won't.
[3:26:37.000 --> 3:26:43.000]  All right, that's how it plays out. This is what I know.
[3:26:43.000 --> 3:26:50.000]  The possibility that there is millions and millions of people waking up to what's possible,
[3:26:50.000 --> 3:26:57.000]  stepping into the gifts of the spirit and what that means at a deeper level and manifesting it in the world.
[3:26:57.000 --> 3:27:00.000]  And it doesn't only take one, the right one.
[3:27:00.000 --> 3:27:04.000]  And here's what I know. I know how the story ends, so I remain an internal optimist.
[3:27:04.000 --> 3:27:09.000]  I say a pathological optimist to some people because I just can't let it go.
[3:27:09.000 --> 3:27:14.000]  And don't think I don't get bummed out and heavy-hearted. I do. I do.
[3:27:14.000 --> 3:27:23.000]  And when I do, I know that it's my fleshy component. It's the part of me that identifies with the body and not the part of me that identifies with the universal.
[3:27:23.000 --> 3:27:36.000]  And as soon as I pay attention to that and realize that heavy-heartedness is falling again, a way of falling into your flesh and into your fear, you can't do it.
[3:27:36.000 --> 3:27:44.000]  And the world comes at us from every single angle to do that, and we can't allow it.
[3:27:44.000 --> 3:27:49.000]  And again, I'm thinking about man's search for meaning.
[3:27:49.000 --> 3:27:58.000]  And one of the early courses I took, I took it at a community college class in Irving, Texas, when I was living down there.
[3:27:58.000 --> 3:28:06.000]  And the guy who taught it was the Information Technology VP for Sun Oil Company, but he loved teaching. That was his gift.
[3:28:06.000 --> 3:28:14.000]  And he could learn a computer language in a week. That's how he got the job he had in those days, 1980, 1981, something like that.
[3:28:14.000 --> 3:28:22.000]  And, you know, when I think back on that and what he said, there was a book he recommended. It was called Man the Manipulator.
[3:28:22.000 --> 3:28:33.000]  And I read it, I recommend it, I've talked about it before, because this is how my mind works. In 1980, man, it's still right there at the tip of my tongue in my awareness, because it's important right now.
[3:28:33.000 --> 3:28:42.000]  And it was a contrast in a humanity's context of being manipulated and being persuaded at a time before all of this was possible.
[3:28:42.000 --> 3:28:51.000]  You see, this was before the Information Age had taken over the whole program in such a dramatic way as you see it today.
[3:28:51.000 --> 3:28:59.000]  And we saw it coming. And we thought about the implications of that in that community college class. You know, I remember it well.
[3:28:59.000 --> 3:29:10.000]  And I still have the paper somewhere in one of my files. I wrote thinking about that concept. But when I look back on all of it, today, we're still the same human souls.
[3:29:10.000 --> 3:29:27.000]  We were thousands of years ago, tens of thousands of years ago. The body we're in has a very similar form, you know? I mean, hey, we shave a little more now and clean up a little easier, a little more often.
[3:29:27.000 --> 3:29:37.000]  But the world, as such, has gone through a lot. And man knows very little about it. You know, there's a whole flood story, right?
[3:29:37.000 --> 3:29:48.000]  I mean, we talked about sort of this whole flood story in the last week. I've been looking at archaeology and thinking about some of my friends, Graham Hancock's work is one of them.
[3:29:48.000 --> 3:29:57.000]  And I met Graham a couple of occasions. And I think about what's going on in the world today in the context of what has come before.
[3:29:57.000 --> 3:30:07.000]  And from all of the odd ball esoteric sources and the straight science sources, there's a merger coming and an explosion happening and a trauma about to come.
[3:30:07.000 --> 3:30:14.000]  That's going to change the face of the world and change the way we see the world. And that's the name of the game in the 21st century, folks.
[3:30:14.000 --> 3:30:28.000]  What's it going to look like on the other side? You are the creator with the creator. Let's make a change. You're the tip of the spear. We'll be right back.
[3:30:28.000 --> 3:30:36.000]  Ladies and gentlemen, I hope we can stop the great reset. That means a globalist imposed worldwide depression to break us and bring us under their control.
[3:30:36.000 --> 3:30:46.000]  That's their stated, admitted plan. Justin Trudeau is on record, Klaus Schwab, all the different Democrat mayors, they admit it's clowered in heaven, implode the economy to make us go under their control.
[3:30:46.000 --> 3:30:54.000]  But if we expose they're the ones doing it, they go to prison instead of getting total power and total control. And there are major uprisings happening across the world.
[3:30:54.000 --> 3:30:59.000]  You're in the U.S. Thousands of sheriffs are saying hell no to the lockdowns. People are finally starting to fight back.
[3:30:59.000 --> 3:31:08.000]  But regardless, you need to get prepared. We have high quality, swarable food last 25 years, highest quality, lowest prices, great containers, ready to ship.
[3:31:08.000 --> 3:31:15.000]  But when people figure this out in a few months, I think they'll be long lines again to get swarable food after the lockdowns have been going for a few months.
[3:31:15.000 --> 3:31:25.000]  So get your orders in today at PrepareWithAlex.com. You get an additional 10% off and they're ready to ship. The sale ends next Wednesday, or I guess that's December 2nd.
[3:31:25.000 --> 3:31:29.000]  So get your orders in now at PrepareWithAlex.com.
[3:31:56.000 --> 3:32:02.000]  Contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[3:32:02.000 --> 3:32:10.000]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[3:32:10.000 --> 3:32:16.000]  Then of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[3:32:16.000 --> 3:32:20.000]  And that's when all the mass arrests start sometime towards the end of next year.
[3:32:20.000 --> 3:32:29.000]  This is a permanent martial law plan. Trump must repudiate it, expose Fauci and Gates and the UN takeover, not play games with it.
