[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[03:24:45.846 --> 03:24:52.049]  We're all, frankly, genetic brothers and sisters, and we all desire one thing, and that is to be free.
[03:24:52.799 --> 03:24:54.421]  We all desire freedom.
[03:24:54.421 --> 03:25:01.248]  And I urge you today to let that be this unifying call for all of us who desire freedom.
[03:25:01.846 --> 03:25:10.768]  To say, we welcome pro-liberty people, whether they are black-skinned or fair-skinned or, you know, anything.
[03:25:10.768 --> 03:25:12.928]  Whether they're gay or straight, even.
[03:25:12.928 --> 03:25:15.809]  Like Brandon Strzoka of the Walk Away movement.
[03:25:15.809 --> 03:25:18.890]  You know, openly gay, but openly pro-liberty.
[03:25:18.890 --> 03:25:22.871]  And he is leading people away from the destructive tendencies of the Democrat Party.
[03:25:22.871 --> 03:25:28.512]  That total destruction of human civilization, which is what Democrats seem to stand for today.
[03:25:29.255 --> 03:25:31.437]  And this is where we need to understand this.
[03:25:31.437 --> 03:25:33.558]  This is not simply about, you know, black and white.
[03:25:33.558 --> 03:25:36.501]  This is not about Republican versus Democrats.
[03:25:36.501 --> 03:25:37.802]  This is about, do you
[03:25:38.581 --> 03:26:01.105]  Do you want human civilization to survive, versus do you want our world utterly destroyed by the division and the destructive narrative of evil Democrats, sinister Democrats, who are liars and cheaters, and they commit massive election fraud, and some of them literally kill off people who have evidence against them.
[03:26:01.105 --> 03:26:05.766]  I mean, there are body bags, you know, stretched out a mile long behind some of these Democrat leaders.
[03:26:05.766 --> 03:26:06.646]  They're so evil.
[03:26:07.290 --> 03:26:09.671]  We cannot allow them to have power.
[03:26:09.671 --> 03:26:14.835]  So this is really a spiritual, this is a spiritual midterm.
[03:26:14.835 --> 03:26:18.537]  It's much more than GOP versus DNC.
[03:26:18.537 --> 03:26:21.919]  This is about do you support life, liberty,
[03:26:22.876 --> 03:26:29.519]  The divinity of the human being, of human consciousness, of your purpose of life here on this planet.
[03:26:29.519 --> 03:26:38.403]  If you support that, then you support defeating the Democrats who are all about death and destruction and deception.
[03:26:38.403 --> 03:26:38.903]  Think about it.
[03:26:38.903 --> 03:26:41.664]  They don't even want black babies to be born alive.
[03:26:41.664 --> 03:26:44.786]  They set up the abortion centers in black neighborhoods.
[03:26:45.532 --> 03:26:55.499]  Because they know that's where they can kill the most black babies and commit the genocide, the actual eugenics that the founder of Planned Parenthood talked about and promoted.
[03:26:55.499 --> 03:26:59.582]  That she wanted black people to be wiped out, to be exterminated.
[03:26:59.582 --> 03:27:03.085]  That's the message of the Democrats.
[03:27:03.085 --> 03:27:05.387]  But it takes people waking up.
[03:27:05.387 --> 03:27:10.810]  Many people who have voted Democrat all their lives are waking up now and they're fleeing the Democrat Party.
[03:27:10.810 --> 03:27:12.712]  I'm even hearing apologies from people.
[03:27:13.365 --> 03:27:23.568]  People who thought, when I went pro-Trump back in 2016, and I predicted the Trump victory ahead of time, and we were 100% pro-Trump, some people really attacked me over that.
[03:27:23.568 --> 03:27:26.008]  Some of my own readers, some of my own audience.
[03:27:26.008 --> 03:27:33.190]  Many of them have come back now and apologized and rejoined my website, Natural News, and rejoined our efforts.
[03:27:33.190 --> 03:27:34.230]  Now, you know what they say to me?
[03:27:34.230 --> 03:27:40.932]  They say, Mike, I now realize that the Democrats of today are no longer the Democrats that we grew up with.
[03:27:41.704 --> 03:27:43.906]  We cannot be associated with these Democrats.
[03:27:43.906 --> 03:27:45.707]  They don't represent what we represent.
[03:27:45.707 --> 03:27:47.448]  They are not us!
[03:27:47.448 --> 03:27:48.589]  I hear this over and over again.
[03:27:48.589 --> 03:27:50.230]  They are not us!
[03:27:50.230 --> 03:27:55.954]  Because they see the lunacy, they see the violence, they see the derangement, they see the bigotry and the racism of Democrats today.
[03:27:55.954 --> 03:28:00.597]  And the way they're treating Kanye today, that's racism!
[03:28:00.597 --> 03:28:03.860]  The way they're attacking him and using racial slurs against Kanye.
[03:28:03.860 --> 03:28:05.361]  It's unreal!
[03:28:05.361 --> 03:28:06.962]  And of course they're racist against white people!
[03:28:07.552 --> 03:28:14.135]  And now with Senator Susan Collins voting to confirm Brett Kavanaugh, they're now racist against white women!
[03:28:14.135 --> 03:28:19.758]  The left-wing media is attacking white women and saying, well, now white women are the problem.
[03:28:19.758 --> 03:28:22.740]  Well, I remember last year, I thought the problem was white men.
[03:28:22.740 --> 03:28:24.441]  Well, now it's white women.
[03:28:24.441 --> 03:28:30.904]  You see how they're just committing racial division, destruction of culture, destruction of civilization.
[03:28:31.528 --> 03:28:34.334]  Do not allow them to succeed.
[03:28:34.334 --> 03:28:37.560]  Defeat Democrats at every election from here forward.
[03:28:37.560 --> 03:28:39.684]  And stay with me here on the Alex Jones Show.
[03:28:39.684 --> 03:28:41.428]  Mike Adams much more straight ahead.
[03:28:41.428 --> 03:28:42.891]  We'll be right back after this short break.
[03:28:53.214 --> 03:28:56.675]  I tried other brands, but I came back to my Sunshine.
[03:28:56.675 --> 03:28:59.496]  For the best hot or cold pain relief, get the best.
[03:28:59.496 --> 03:29:01.397]  Get a Sunny Bay Heating Pad.
[03:29:01.397 --> 03:29:06.459]  Sometimes, life can be a pain in the neck, or back, or shoulder.
[03:29:06.459 --> 03:29:09.740]  And the best relief for that pain is a Sunny Bay Heating Pad.
[03:29:09.740 --> 03:29:16.002]  Did you know that the American College of Physicians said that one of the best ways to treat muscle pain is heat therapy?
[03:29:16.002 --> 03:29:21.644]  Sunny Bay Heating Pads are handmade with high quality, can be used at home or at work, and have a lifetime
[03:29:21.964 --> 03:29:24.967]  Our homegrown small business tries to help people just like us.
[03:29:24.967 --> 03:29:30.571]  That's why we design and test our handmade products with great care before we introduce them to the public.
[03:29:30.571 --> 03:29:33.193]  You can easily find Sunny Bay Heating Pads on Amazon.
[03:29:33.193 --> 03:29:34.815]  Just go to Amazon.com and search for Sunny Bay Heating Pads.
[03:29:54.087 --> 03:30:01.787]  Do you realize that when you spread the links from Infowars.com, when you spread the videos, you are changing the world?
[03:30:01.787 --> 03:30:02.269]  It's you!
[03:30:03.362 --> 03:30:05.564]  That has defeated Hillary and the globalists.
[03:30:05.564 --> 03:30:14.253]  It is you, the info warriors across the planet, that stood against the bullying, that stood against the peer pressure, that stood against the threats, that have now changed the world.
[03:30:14.253 --> 03:30:18.858]  And that's why you've been on the team, supporting us, praying for us, and spreading the word.
[03:30:18.858 --> 03:30:20.319]  You are the info war.
[03:30:20.319 --> 03:30:23.843]  And now, because of their intensifying censorship, it's more important than ever
[03:30:24.523 --> 03:30:35.909]  Let everyone go to InfoWars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[03:30:35.909 --> 03:30:43.873]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[03:30:43.873 --> 03:30:50.457]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[03:30:50.897 --> 03:30:54.038]  We are the Renaissance, and we are winning!
[03:30:54.038 --> 03:31:02.460]  It's really hard to have the energy at the end of the day to still get to the gym, or to go for a run, or go to the park, or heck, even take your dog for a walk.
[03:31:02.460 --> 03:31:03.940]  Believe me, I know.
[03:31:03.940 --> 03:31:08.642]  I spend hours in front of a screen, and then hours in front of bright lights every day.
[03:31:08.642 --> 03:31:13.643]  But thanks to super male vitality at Infowarestore.com, I still have that energy.
[03:31:13.863 --> 03:31:34.031]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[03:31:34.531 --> 03:31:38.513]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[03:31:38.513 --> 03:31:42.195]  This is actually our last run of Supermail Vitality.
[03:31:42.195 --> 03:31:47.197]  So I want you to experience Supermail Vitality before it's too late.
[03:31:47.197 --> 03:31:49.919]  Unleash the Supermail in you.
[03:31:49.919 --> 03:31:54.021]  Supermail Vitality from Infowarsstore.com.
[03:31:54.021 --> 03:31:57.923]  Words cannot describe how big the stakes are for the future of humanity right now.
[03:31:59.272 --> 03:32:07.335]  InfoWars is being openly targeted by the Democratic Party, leftist CIA operatives, the corrupt Justice Department, and the entire Soros crime syndicate.
[03:32:07.335 --> 03:32:09.916]  People say, why would you start a fight with them?
[03:32:09.916 --> 03:32:13.397]  Because they were already dominating and running America into the ground.
[03:32:13.397 --> 03:32:16.018]  And I knew we had no future if we didn't do this.
[03:32:16.018 --> 03:32:18.299]  So we've already had incredible success.
[03:32:18.299 --> 03:32:25.242]  But if you will simply realize how epic this is, and understand how real this fight is, and why we've been made the main target,
[03:32:25.782 --> 03:32:35.587]  And if you financially support us, if you spread the word about our articles and videos, InfoWars.com, we won't just continue to stand up against these brutal scumbags.
[03:32:35.587 --> 03:32:36.767]  We'll win.
[03:32:36.767 --> 03:32:39.088]  We have huge sales at InfoWars4.com right now.
[03:32:39.088 --> 03:32:46.832]  And we're still able to operate the shopping cart and get stuff shipped out to you, despite the fact we're trying to block our commerce and your right to the market.
[03:32:46.832 --> 03:32:50.514]  But if you don't stand up and support us financially, Soros and Globeless may win.
[03:32:50.514 --> 03:32:52.074]  This is InfoWars Darkest Hour.
[03:32:52.074 --> 03:32:52.755]  We need your support.
[03:32:52.755 --> 03:32:53.495]  I'm counting on you.
[03:32:57.259 --> 03:33:15.656]  You're listening to the Alex Jones Show.
[03:33:15.656 --> 03:33:22.142]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[03:33:25.520 --> 03:33:38.253]  There's a very narrow pathway for America to defeat the globalists and maintain liberty and restore this constitutional republic in the way that it was founded.
