[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[03:42:21.960 --> 03:42:34.960]  So if you invite armies of people who vociferously hate Jews, is it any surprise that in major European countries like France, anti-Semitic incidents are up 74 percent?
[03:42:34.960 --> 03:42:44.960]  Remember the walking while Jew famous video where he walked through Paris wearing Jewish attire and again was abused mainly by Muslims.
[03:42:44.960 --> 03:42:50.960]  That's what's going to happen if you invite that group of people with those beliefs into your country and it's absolutely despicable.
[03:42:50.960 --> 03:42:53.960]  This is the Alex Jones show live info wars dot com. We'll be back.
[03:42:53.960 --> 03:43:10.960]  By leaps and by bounds, the number one best selling supplement family in the world is energy drinks and energy supplements.
[03:43:10.960 --> 03:43:20.960]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[03:43:20.960 --> 03:43:29.960]  We have developed hands down from our research, the most powerful, healthy energy drink, pre-workout and beyond system in the world.
[03:43:29.960 --> 03:43:32.960]  There's nothing else like it. You must experience it.
[03:43:32.960 --> 03:43:39.960]  It is a total game changer and it comes in easy to use packets to mix in the fruit juice or water, whatever you'd like.
[03:43:39.960 --> 03:43:42.960]  Warning though, it's very, very strong. It lasts 10 hours.
[03:43:42.960 --> 03:43:49.960]  So take a half packet the first time you take it because Turbo Force is named Turbo Force because it will take you into overdrive.
[03:43:49.960 --> 03:43:51.960]  Turbo Force and enforce live dot com.
[03:44:19.960 --> 03:44:22.960]  It can be an important part of your daily supplement routine.
[03:44:22.960 --> 03:44:30.960]  With poor diet and the constant on and off of your work life, it's more important than ever to support your body in the fight against stress.
[03:44:30.960 --> 03:44:35.960]  With powerful ingredients combined to help support the mind and body,
[03:44:35.960 --> 03:44:41.960]  HAPPYS helps support during stress, promotes overall wellbeing and helps support your mood.
[03:44:41.960 --> 03:44:43.960]  Don't live your life bogged down.
[03:44:43.960 --> 03:44:47.960]  Help your body overcome the effects of daily stress and pressure today.
[03:44:47.960 --> 03:44:50.960]  With HAPPYS from infowarsstore.com.
[03:45:17.960 --> 03:45:20.960]  For more than seven different superfoods and crucial compounds,
[03:45:20.960 --> 03:45:23.960]  Ultimate Bone Broth will help support your healthy muscles,
[03:45:23.960 --> 03:45:28.960]  digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[03:45:28.960 --> 03:45:34.960]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric,
[03:45:34.960 --> 03:45:37.960]  chaga mushroom, goji berry powder,
[03:45:37.960 --> 03:45:40.960]  bee pollen and alfalfa herb powder to support your body.
[03:45:40.960 --> 03:45:44.960]  It's time to experience what Ultimate Bone Broth can do for you.
[03:45:44.960 --> 03:45:48.960]  Get Ultimate Bone Broth now at 50% off.
[03:46:14.960 --> 03:46:21.960]  These are some of the resources to provide you with focus, clarity and a boost of energy on the go.
[03:46:21.960 --> 03:46:26.960]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[03:46:26.960 --> 03:46:30.960]  With 14 servings per box for a two-week or more supply,
[03:46:30.960 --> 03:46:34.960]  this is the formula to stock up on whenever you need a boost.
[03:46:34.960 --> 03:46:38.960]  Perfect for work, in the car or at home.
[03:46:38.960 --> 03:46:41.960]  Turbo Force is the ultimate answer to a sluggish day.
[03:46:41.960 --> 03:46:43.960]  Don't let your day slow you down.
[03:46:43.960 --> 03:46:46.960]  Perk Up with Turbo Force at infowarstore.com
[03:46:46.960 --> 03:47:12.960]  You're listening to the Alex Jones show.
[03:47:12.960 --> 03:47:19.960]  Live from the infowars.com studios, you're listening to the Alex Jones show.
[03:47:19.960 --> 03:47:25.960]  And now, your host, Paul Joseph Watson.
[03:47:25.960 --> 03:47:31.960]  It is your final call to stock up on the great products at infowarsstore.com
[03:47:31.960 --> 03:47:35.960]  where we have the InfoWars Life Brain Synergy Combo.
[03:47:35.960 --> 03:47:40.960]  This is 50% off Brain Force with a purchase of Turbo Force.
[03:47:40.960 --> 03:47:44.960]  Two great products that complement each other perfectly.
[03:47:44.960 --> 03:47:48.960]  For those looking for the ultimate source of energy for their day every day,
[03:47:48.960 --> 03:47:53.960]  the Brain Synergy Combo is here combining the powerful Turbo Force energy drink
[03:47:53.960 --> 03:47:56.960]  and Brain Force Plus Neutropic formulas.
[03:47:56.960 --> 03:47:59.960]  This combo has what you need to hit your maximum potential every day.
[03:47:59.960 --> 03:48:04.960]  Take the tasty tropical berry-flavored Turbo Force instant drink mix with you.
[03:48:04.960 --> 03:48:08.960]  On the go, AuraWars help provide you with focus, clarity and energy.
[03:48:08.960 --> 03:48:13.960]  Then you combine that with the Brain Force Plus Neutropic, a fan-favorite formula
[03:48:13.960 --> 03:48:18.960]  fueled by powerful, time-tested ingredients for a true 360 win.
[03:48:18.960 --> 03:48:20.960]  That combo is available right now.
[03:48:20.960 --> 03:48:27.960]  For 50% off at infowarsstore.com, please stock up on those products today,
[03:48:27.960 --> 03:48:30.960]  proving very popular indeed.
[03:48:30.960 --> 03:48:33.960]  So be sure not to miss out by getting that great discount
[03:48:33.960 --> 03:48:36.960]  and checking the auto-ship option as well.
[03:48:36.960 --> 03:48:39.960]  So you don't have to keep remembering to reorder when you run out
[03:48:39.960 --> 03:48:44.960]  by taking advantage of the Infowars Life Brain Synergy Combo right now.
[03:48:44.960 --> 03:48:48.960]  50% off at infowarsstore.com.
[03:48:48.960 --> 03:48:55.960]  Now, RT is reporting on Bernie Sanders announcing his candidacy headline.
[03:48:55.960 --> 03:48:59.960]  He's back. Will Sanders be able to make enough Americans feel the burn in 2020?
[03:48:59.960 --> 03:49:02.960]  And they make the point in this article.
[03:49:02.960 --> 03:49:06.960]  Now, obviously, I'm no fan of Bernie Sanders, but to some extent,
[03:49:06.960 --> 03:49:08.960]  he represents the threats of the establishment.
[03:49:08.960 --> 03:49:11.960]  They've co-opted most of his message with some of the other candidates,
[03:49:11.960 --> 03:49:13.960]  so he's kind of watered down at this point.
[03:49:13.960 --> 03:49:18.960]  But they make the point that allegations of sexual assault and sexual misconduct
[03:49:18.960 --> 03:49:23.960]  within Sanders' 2016 campaign will likely plague the candidate this time round.
[03:49:23.960 --> 03:49:27.960]  Of course, that wasn't Sanders. That was allegations against some of his staff,
[03:49:27.960 --> 03:49:28.960]  who got me, too.
[03:49:28.960 --> 03:49:35.960]  They also bring up the question of Sanders' age and the fact that he's an old white male.
[03:49:35.960 --> 03:49:38.960]  You see this time and time again in the media,
[03:49:38.960 --> 03:49:43.960]  when they do a list of potential winning candidates for Democrats in 2020,
[03:49:43.960 --> 03:49:45.960]  they list, you know, one to ten.
[03:49:45.960 --> 03:49:48.960]  Sanders is always five or below.
[03:49:48.960 --> 03:49:51.960]  He's not normally in the top five of likely winners,
[03:49:51.960 --> 03:49:56.960]  because they say he's too old, he's too white, he's too male.
[03:49:56.960 --> 03:50:02.960]  Notice how they don't say the same thing about former Vice President Joe Biden,
[03:50:02.960 --> 03:50:06.960]  who is basically, as far as I know, basically the same age as Sanders.
[03:50:06.960 --> 03:50:09.960]  He's old, he's white, he's male.
[03:50:09.960 --> 03:50:15.960]  But he's routinely number one when they come up with these lists of likely Democratic candidate winners.
[03:50:15.960 --> 03:50:19.960]  So why aren't the same allegations being leveled against Joe Biden
[03:50:19.960 --> 03:50:24.960]  when it comes to him being pale, male, and stale,
[03:50:24.960 --> 03:50:30.960]  as they've now begun saying, because it's okay to insult white people based on the colour of their skin
[03:50:30.960 --> 03:50:33.960]  in these new wonderfully diverse anti-racist times.
[03:50:33.960 --> 03:50:37.960]  Obviously, the allegations of sexual assault within the Sanders campaign,
[03:50:37.960 --> 03:50:41.960]  that's not being talked about within Joe Biden's potential campaign, is it?
[03:50:41.960 --> 03:50:47.960]  In reference to certain videos that have come out over the past few years,
[03:50:47.960 --> 03:50:51.960]  which prove that Joe Biden likes children a lot,
[03:50:51.960 --> 03:50:55.960]  he loves children, he's very affectionate towards children,
[03:50:55.960 --> 03:50:59.960]  and some people think a little bit too affectionate.
[03:50:59.960 --> 03:51:01.960]  Maybe he's passed his time.
[03:51:01.960 --> 03:51:05.960]  He doesn't understand the current climate, but we've played the videos over and over again
[03:51:05.960 --> 03:51:09.960]  with his, let's face it, creepy behaviour towards children,
[03:51:09.960 --> 03:51:12.960]  but not just children, women as well.
[03:51:12.960 --> 03:51:14.960]  You know, the arm round the woman, that was the famous one,
[03:51:14.960 --> 03:51:20.960]  there's another one there where he's got his hands round the mid-riff of another woman,
[03:51:20.960 --> 03:51:22.960]  with hugs that last forever.
[03:51:22.960 --> 03:51:26.960]  I did a video on this called Creepy Uncle Joe, it got over a million views,
[03:51:26.960 --> 03:51:29.960]  I'm begging for him to announce his presidency campaign,
[03:51:29.960 --> 03:51:32.960]  because I'm going to bring that back up, obviously.
[03:51:32.960 --> 03:51:35.960]  But again, Sanders is being hit with these sexual assault allegations,
[03:51:35.960 --> 03:51:39.960]  or at least his staff are, which date back four years at this point,
[03:51:39.960 --> 03:51:42.960]  and are not even that severe from what I've read.
[03:51:42.960 --> 03:51:46.960]  And yet we've got Joe Biden on tape dozens of times.
[03:51:46.960 --> 03:51:50.960]  They say to be kind to him, behaving inappropriately given the current climate
[03:51:50.960 --> 03:51:52.960]  around young girls and women.
[03:51:52.960 --> 03:51:56.960]  But no mainstream media outlet is talking about that, are they?
[03:51:56.960 --> 03:52:01.960]  They've got him at number one on most of these lists as likely Democrat winners
