[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[03:37:03.780 --> 03:37:05.780]  we'll hear this again
[03:37:05.780 --> 03:37:07.780]  talking about living locally again
[03:37:07.780 --> 03:37:09.780]  so this proposal
[03:37:09.780 --> 03:37:11.780]  for these six new traffic filters
[03:37:11.780 --> 03:37:13.780]  basically imposes fines on people
[03:37:13.780 --> 03:37:15.780]  if they go outside
[03:37:15.780 --> 03:37:17.780]  of these geo
[03:37:17.780 --> 03:37:19.780]  fencing borders
[03:37:19.780 --> 03:37:21.780]  that have been implemented we've also got
[03:37:21.780 --> 03:37:23.780]  the Canterbury City Council
[03:37:23.780 --> 03:37:25.780]  I just found this out yesterday
[03:37:25.780 --> 03:37:27.780]  Canterbury City Council in the UK
[03:37:27.780 --> 03:37:29.780]  they are actually
[03:37:29.780 --> 03:37:31.780]  intending to divide
[03:37:31.780 --> 03:37:33.780]  the Cathedral City into five zones
[03:37:33.780 --> 03:37:35.780]  and fine
[03:37:35.780 --> 03:37:37.780]  drivers to move between each area
[03:37:37.780 --> 03:37:39.780]  so they sell this to you as oh we're creating
[03:37:39.780 --> 03:37:41.780]  all these liveable cities
[03:37:41.780 --> 03:37:43.780]  local living
[03:37:43.780 --> 03:37:45.780]  locally
[03:37:45.780 --> 03:37:47.780]  for your convenience but meanwhile
[03:37:47.780 --> 03:37:49.780]  you're going to be fined to travel
[03:37:49.780 --> 03:37:51.780]  outside of that
[03:37:51.780 --> 03:37:53.780]  and they started this conditioning
[03:37:53.780 --> 03:37:55.780]  with toll roads with paying to drive
[03:37:55.780 --> 03:37:57.780]  on freeways privatising the roads
[03:37:57.780 --> 03:37:59.780]  they got you used to
[03:37:59.780 --> 03:38:01.780]  the idea of paying
[03:38:01.780 --> 03:38:03.780]  to leave your home
[03:38:03.780 --> 03:38:05.780]  and they're doing it now in New South Wales
[03:38:05.780 --> 03:38:07.780]  in the state of New South Wales
[03:38:07.780 --> 03:38:09.780]  they're talking about paying per kilometre
[03:38:09.780 --> 03:38:11.780]  they've discussed this in the state of Victoria here as well
[03:38:11.780 --> 03:38:13.780]  paying per every kilometre
[03:38:13.780 --> 03:38:15.780]  that you travel
[03:38:15.780 --> 03:38:17.780]  this is a
[03:38:17.780 --> 03:38:19.780]  it's a prison that's being set up
[03:38:19.780 --> 03:38:21.780]  I really want the team to pull up
[03:38:21.780 --> 03:38:23.780]  some highlights out of the interview that I did
[03:38:23.780 --> 03:38:25.780]  with Amman Jarbi
[03:38:25.780 --> 03:38:27.780]  this has been shared on technocracynews.com
[03:38:27.780 --> 03:38:29.780]  Silicon Valley whistleblower
[03:38:29.780 --> 03:38:31.780]  smart cities worldwide are being converted
[03:38:31.780 --> 03:38:33.780]  into open concentration camps
[03:38:33.780 --> 03:38:35.780]  Dr. McCollough
[03:38:35.780 --> 03:38:37.780]  has also shared the article as well
[03:38:37.780 --> 03:38:39.780]  saying that an invisible prison
[03:38:39.780 --> 03:38:41.780]  has been built just for you
[03:38:41.780 --> 03:38:43.780]  let's play that clip of Amman Jarbi
[03:38:43.780 --> 03:38:45.780]  and hear what he has to say
[03:38:45.780 --> 03:38:47.780]  did you just say mapping digital
[03:38:47.780 --> 03:38:49.780]  IDs to trees
[03:38:49.780 --> 03:38:51.780]  yeah every tree and plant
[03:38:51.780 --> 03:38:53.780]  all of nature is going to be mapped digitally
[03:38:53.780 --> 03:38:55.780]  and eventually we'll be
[03:38:55.780 --> 03:38:57.780]  getting pushed into the metaverse
[03:38:57.780 --> 03:38:59.780]  these are called smart lights and smart poles
[03:38:59.780 --> 03:39:01.780]  which are an integral part
[03:39:01.780 --> 03:39:03.780]  of the smart city infrastructure
[03:39:03.780 --> 03:39:05.780]  they all are
[03:39:05.780 --> 03:39:07.780]  wirelessly communicate with each other
[03:39:07.780 --> 03:39:09.780]  it's an open air concentration
[03:39:09.780 --> 03:39:11.780]  camp for surveillance
[03:39:11.780 --> 03:39:13.780]  as well as I'll show you it'll be weaponized
[03:39:13.780 --> 03:39:15.780]  and then they will also
[03:39:15.780 --> 03:39:17.780]  host all sorts of sensors
[03:39:17.780 --> 03:39:19.780]  in the name of climate change and global warming
[03:39:19.780 --> 03:39:21.780]  they don't even have diffusers on top of them
[03:39:21.780 --> 03:39:23.780]  so you can't look up
[03:39:23.780 --> 03:39:25.780]  at these lights they're designed to make humans look down
[03:39:25.780 --> 03:39:27.780]  there's something called a puke ray
[03:39:27.780 --> 03:39:29.780]  it's an LED incapacitator
[03:39:29.780 --> 03:39:31.780]  where you have this
[03:39:31.780 --> 03:39:33.780]  think of it this is an LED gun
[03:39:33.780 --> 03:39:35.780]  which is able to emit different
[03:39:35.780 --> 03:39:37.780]  frequencies of light
[03:39:37.780 --> 03:39:39.780]  at a very high rate of change
[03:39:39.780 --> 03:39:41.780]  so when you do this
[03:39:41.780 --> 03:39:43.780]  at a very high frequency
[03:39:43.780 --> 03:39:45.780]  with different lighting
[03:39:45.780 --> 03:39:47.780]  and if there's a human being
[03:39:47.780 --> 03:39:49.780]  that's in the vicinity
[03:39:49.780 --> 03:39:51.780]  and looking at these lights or near these lights
[03:39:51.780 --> 03:39:53.780]  you can get intracranial
[03:39:53.780 --> 03:39:55.780]  damage you can hurt your spine
[03:39:55.780 --> 03:39:57.780]  you can get sick
[03:39:57.780 --> 03:39:59.780]  I bet you it can even kill you
[03:39:59.780 --> 03:40:01.780]  so these can be used as weapons
[03:40:05.780 --> 03:40:07.780]  I encourage everyone to go and watch that interview
[03:40:07.780 --> 03:40:09.780]  it's gone absolutely viral
[03:40:09.780 --> 03:40:11.780]  I would say close to a million views
[03:40:11.780 --> 03:40:13.780]  across platforms if not more by now
[03:40:13.780 --> 03:40:15.780]  it is a crucial interview
[03:40:15.780 --> 03:40:17.780]  and what is
[03:40:17.780 --> 03:40:19.780]  every tree being mapped digitally going to do
[03:40:19.780 --> 03:40:21.780]  every single plant everything being mapped digitally
[03:40:21.780 --> 03:40:23.780]  that means your interaction
[03:40:23.780 --> 03:40:25.780]  with everything that's been mapped digitally
[03:40:25.780 --> 03:40:27.780]  is going to be punished
[03:40:27.780 --> 03:40:29.780]  with carbon emissions punishments
[03:40:29.780 --> 03:40:31.780]  by impacting your social
[03:40:31.780 --> 03:40:33.780]  credit score
[03:40:33.780 --> 03:40:35.780]  and these lights
[03:40:35.780 --> 03:40:37.780]  these weaponized lights
[03:40:37.780 --> 03:40:39.780]  for anyone who doesn't realise
[03:40:39.780 --> 03:40:41.780]  Amman Javi 25 years in Silicon Valley
[03:40:41.780 --> 03:40:43.780]  working on these types of technologies
[03:40:43.780 --> 03:40:45.780]  surveillance technologies he knows what he's talking about
[03:40:45.780 --> 03:40:47.780]  and these weaponized lights
[03:40:47.780 --> 03:40:49.780]  that make humans look down
[03:40:49.780 --> 03:40:51.780]  to you in these smart cities that they're pushing everyone into
[03:40:51.780 --> 03:40:53.780]  so that you can't even
[03:40:53.780 --> 03:40:55.780]  hold your head up high
[03:40:55.780 --> 03:40:57.780]  so that you don't have any pride
[03:40:57.780 --> 03:40:59.780]  because the aim is to destroy
[03:40:59.780 --> 03:41:01.780]  you as a human
[03:41:01.780 --> 03:41:03.780]  not just your life but
[03:41:03.780 --> 03:41:05.780]  destroy and crush your soul
[03:41:05.780 --> 03:41:07.780]  and if that wasn't bad enough
[03:41:07.780 --> 03:41:09.780]  some lights
[03:41:09.780 --> 03:41:11.780]  that can also kill you
[03:41:11.780 --> 03:41:13.780]  some lights that can also kill you
[03:41:13.780 --> 03:41:15.780]  admit puke rays
[03:41:15.780 --> 03:41:17.780]  so it's not only are we going to subvert you
[03:41:17.780 --> 03:41:19.780]  and control you and keep you trapped
[03:41:19.780 --> 03:41:21.780]  in a prison that you can't see but you know
[03:41:21.780 --> 03:41:23.780]  is there and it's always looming
[03:41:23.780 --> 03:41:25.780]  it's always there looming over your shoulder
[03:41:25.780 --> 03:41:27.780]  that you can't leave this border
[03:41:27.780 --> 03:41:29.780]  this district that these hunger games
[03:41:29.780 --> 03:41:31.780]  maniacs have set up for you
[03:41:31.780 --> 03:41:33.780]  because you need to
[03:41:33.780 --> 03:41:35.780]  you need to eat tomorrow
[03:41:35.780 --> 03:41:37.780]  and if you leave your district you'll be penalised
[03:41:37.780 --> 03:41:39.780]  you've got to eat
[03:41:39.780 --> 03:41:41.780]  tomorrow you've got to go and visit
[03:41:41.780 --> 03:41:43.780]  your sick mum so you're
[03:41:43.780 --> 03:41:45.780]  going to eat less meat this month
[03:41:45.780 --> 03:41:47.780]  in order to be able to have
[03:41:47.780 --> 03:41:49.780]  enough social
[03:41:49.780 --> 03:41:51.780]  credit points to go and visit your mum
[03:41:51.780 --> 03:41:53.780]  and they're talking about
[03:41:53.780 --> 03:41:55.780]  in the Oxford Shire City Council
[03:41:55.780 --> 03:41:57.780]  they're actually talking about how people will need
[03:41:57.780 --> 03:41:59.780]  to apply for these permits
[03:41:59.780 --> 03:42:01.780]  to be able to leave their areas
[03:42:01.780 --> 03:42:03.780]  and not everyone
[03:42:03.780 --> 03:42:05.780]  will be granted a permit
[03:42:05.780 --> 03:42:07.780]  so not only do you need to pay to leave your area
[03:42:07.780 --> 03:42:09.780]  but you also may not be
[03:42:09.780 --> 03:42:11.780]  granted the permit to do so
[03:42:11.780 --> 03:42:13.780]  in Australia
[03:42:13.780 --> 03:42:15.780]  they've started painting
[03:42:15.780 --> 03:42:17.780]  red mark
[03:42:17.780 --> 03:42:19.780]  big chunks of the road
[03:42:19.780 --> 03:42:21.780]  in red, in rural areas
[03:42:21.780 --> 03:42:23.780]  where I think they're going to lock people out
[03:42:23.780 --> 03:42:25.780]  or lock them in to these areas
[03:42:25.780 --> 03:42:27.780]  when a crisis hits and they've actually got
[03:42:27.780 --> 03:42:29.780]  cameras
[03:42:29.780 --> 03:42:31.780]  and surveillance set up at those very
[03:42:31.780 --> 03:42:33.780]  points that are going
[03:42:33.780 --> 03:42:35.780]  to limit people moving around
[03:42:35.780 --> 03:42:37.780]  this is not a joke
[03:42:37.780 --> 03:42:39.780]  these people really mean business
[03:42:39.780 --> 03:42:41.780]  when they say
[03:42:41.780 --> 03:42:43.780]  and I'm saying what they're really saying
[03:42:43.780 --> 03:42:45.780]  which is that they want to lock you up
[03:42:45.780 --> 03:42:47.780]  in a digital prison right after this break
[03:42:47.780 --> 03:42:49.780]  I've got a sneak preview from my interview
[03:42:49.780 --> 03:42:51.780]  with Senator Alex Antic being released tonight
[03:42:51.780 --> 03:42:53.780]  and we're going to wrap this up
[03:42:53.780 --> 03:43:21.780]  in a minute, stay with me.
[03:43:23.780 --> 03:43:25.780]  Thank you so much for joining us
[03:43:25.780 --> 03:43:54.780]  and we'll see you in the next one.
[03:43:55.780 --> 03:43:57.780]  Look at that
[03:43:57.780 --> 03:43:59.780]  everybody else is just like yellow or clear
[03:43:59.780 --> 03:44:01.780]  that's because it's been denatured, it's been
[03:44:01.780 --> 03:44:03.780]  marked down, we didn't do that
[03:44:03.780 --> 03:44:05.780]  you think I would
[03:44:05.780 --> 03:44:07.780]  metaphysically tell you something
[03:44:07.780 --> 03:44:09.780]  this is the very best I can get
[03:44:09.780 --> 03:44:11.780]  I'd rather go to hell and do that
[03:44:11.780 --> 03:44:13.780]  I will only give you the maximum
[03:44:13.780 --> 03:44:15.780]  best info, the maximum truth
[03:44:15.780 --> 03:44:17.780]  the maximum product because
[03:44:17.780 --> 03:44:19.780]  I want that good
[03:44:19.780 --> 03:44:21.780]  will, what I do to you
[03:44:21.780 --> 03:44:23.780]  I do to myself, don't you get the big secret
[03:44:23.780 --> 03:44:25.780]  you ever seen
[03:44:25.780 --> 03:44:27.780]  fish oil look like that, no you never seen that have you
[03:44:27.780 --> 03:44:29.780]  and this little jewel right here
[03:44:29.780 --> 03:44:31.780]  is solid
[03:44:33.780 --> 03:44:35.780]  liquid consciousness
[03:44:37.780 --> 03:44:39.780]  look it up
[03:44:39.780 --> 03:44:41.780]  find out
[03:44:41.780 --> 03:44:43.780]  how even the FDA
[03:44:43.780 --> 03:44:45.780]  and the government admits
[03:44:45.780 --> 03:44:47.780]  fish oil is incredible, the number one thing anybody can do for themselves
[03:44:47.780 --> 03:44:49.780]  is
[03:44:49.780 --> 03:44:51.780]  take good fish oil or krill oil
[03:44:51.780 --> 03:44:53.780]  just like our information is dynamite
[03:44:53.780 --> 03:44:55.780]  so are our products infowarstore.com
[03:44:55.780 --> 03:44:57.780]  Christmas 2022
[03:44:57.780 --> 03:44:59.780]  is almost here
[03:44:59.780 --> 03:45:01.780]  and we have great products at infowarstore.com
[03:45:01.780 --> 03:45:03.780]  that empower your body, your libido
[03:45:03.780 --> 03:45:05.780]  your immune system that just enrich your life
[03:45:05.780 --> 03:45:07.780]  so whether it's vitamin mineral fusion
[03:45:07.780 --> 03:45:09.780]  or DNA force plus or body's open tumor formula
[03:45:09.780 --> 03:45:11.780]  they're all still in stock
[03:45:11.780 --> 03:45:13.780]  discounted up to 60%
[03:45:13.780 --> 03:45:15.780]  with promo code 1776 and now
[03:45:15.780 --> 03:45:17.780]  finally we have brought back
[03:45:17.780 --> 03:45:19.780]  free shipping at infowarstore.com
[03:45:19.780 --> 03:45:21.780]  on orders of $50 or more
[03:45:21.780 --> 03:45:23.780]  and big discounts on the regular shipping as well
[03:45:23.780 --> 03:45:25.780]  plus the book
[03:45:25.780 --> 03:45:27.780]  the great reset in the war for the world
[03:45:27.780 --> 03:45:29.780]  signed or unsigned, it's also available
[03:45:29.780 --> 03:45:31.780]  with free shipping at infowarstore.com
[03:45:31.780 --> 03:45:33.780]  so again
[03:45:33.780 --> 03:45:35.780]  that's free shipping on all orders
[03:45:35.780 --> 03:45:37.780]  $50 or more
[03:45:37.780 --> 03:45:39.780]  at infowarstore.com
[03:45:39.780 --> 03:45:41.780]  and up to 60% off at checkout
[03:45:41.780 --> 03:45:43.780]  with promo code 1776
[03:45:43.780 --> 03:45:45.780]  and we've got the signed and unsigned copies
[03:45:45.780 --> 03:45:47.780]  of the great reset
[03:45:47.780 --> 03:45:49.780]  war for the world book as well
[03:45:49.780 --> 03:45:51.780]  which make perfect stocking stuffers
[03:45:51.780 --> 03:45:53.780]  don't wait, take action
[03:45:53.780 --> 03:45:55.780]  at infowarstore.com today
[03:45:55.780 --> 03:45:57.780]  it's a post-COVID
[03:45:57.780 --> 03:45:59.780]  world now
[03:45:59.780 --> 03:46:01.780]  Americans have lost trust in their doctors
[03:46:01.780 --> 03:46:03.780]  and the healthcare system
[03:46:03.780 --> 03:46:05.780]  there's a solution, the wellness company
[03:46:05.780 --> 03:46:07.780]  I'm Dr. Peter McCullough and I'm the chief scientific
[03:46:07.780 --> 03:46:09.780]  officer and I can tell you firsthand
[03:46:09.780 --> 03:46:11.780]  that these verticals
[03:46:11.780 --> 03:46:13.780]  of uncensored content, virtual appointments
[03:46:13.780 --> 03:46:15.780]  doctors on demand
[03:46:15.780 --> 03:46:17.780]  prescriptions through a network of community
[03:46:17.780 --> 03:46:19.780]  pharmacies
[03:46:19.780 --> 03:46:21.780]  in home, in vitro diagnostics
[03:46:21.780 --> 03:46:23.780]  laboratory testing, imaging
[03:46:23.780 --> 03:46:25.780]  an online set
[03:46:25.780 --> 03:46:27.780]  of holistic products can help guide you
[03:46:27.780 --> 03:46:29.780]  for your usual general medical care
