[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[03:44:40.680 --> 03:44:47.840]  The pastor was talking about his 24-hour prayer services for the president and the country,
[03:44:47.840 --> 03:44:54.280]  and this is one way where people could come together and recite the Psalms aloud in unison,
[03:44:54.280 --> 03:45:01.280]  and when people do this, if you've ever experienced anything where you feel a lot of powerful
[03:45:01.280 --> 03:45:04.320]  spiritual energy, this does it.
[03:45:04.320 --> 03:45:08.520]  It's amazing, and people need to try it.
[03:45:08.520 --> 03:45:15.720]  You can come together in small groups, just prayer groups, we're 99% in a spiritual war.
[03:45:15.720 --> 03:45:21.560]  There is an information war, but we're in a spiritual war, if that is the primary thing
[03:45:21.560 --> 03:45:27.040]  that we're dealing with, there's the Bible says you wrestle not with flesh and blood,
[03:45:27.040 --> 03:45:32.760]  but with powers and principalities, and that's what we're dealing with at the ultimate level.
[03:45:32.760 --> 03:45:37.720]  All of the people that we see are simply pawns for spiritual forces, and the way that this
[03:45:37.720 --> 03:45:43.520]  has been dealt with since time immemorial is with prayer and fasting, and one of the
[03:45:43.520 --> 03:45:48.240]  reasons for the Psalms is that they're the most widely accepted thing that is divinely
[03:45:48.240 --> 03:45:57.520]  inspired, and so I just throw out the idea of Psalms over America, and people could take
[03:45:57.520 --> 03:46:04.680]  that and run with it, but this is something that I think the pastor could be a great force
[03:46:04.680 --> 03:46:11.400]  for putting out there, is that people of all faiths could come together and give these
[03:46:11.400 --> 03:46:18.560]  Psalms, Protestants, Catholics, and even Jews, and we would have a united force for saving
[03:46:18.560 --> 03:46:19.560]  this nation.
[03:46:19.560 --> 03:46:23.680]  It has to be done first and foremost at a spiritual level.
[03:46:23.680 --> 03:46:26.400]  It's not going to be done just with information.
[03:46:26.400 --> 03:46:33.280]  Information is very important, but the spiritual component of this is Primo, it's the number
[03:46:33.280 --> 03:46:34.880]  one thing we have to do.
[03:46:34.880 --> 03:46:35.880]  Got you.
[03:46:35.880 --> 03:46:37.760]  Thank you so much for your call.
[03:46:37.760 --> 03:46:43.760]  The caller does raise an interesting point, which is that America is spiritually bankrupt.
[03:46:43.760 --> 03:46:48.760]  Whatever your religion is, most people in America have no philosophical mooring, no
[03:46:48.760 --> 03:46:55.840]  worldview, it's very much fake, he mystic culture, and if you look at the Psalms and
[03:46:55.840 --> 03:47:02.080]  the Proverbs, I've told people, even if you have no religion, you should read something
[03:47:02.080 --> 03:47:08.200]  like the Proverbs, because that is wisdom, timeless wisdom, that talks about avoiding
[03:47:08.200 --> 03:47:14.960]  trouble, avoiding drama, avoiding the evil, avoiding the wicked, and there isn't any wisdom
[03:47:14.960 --> 03:47:17.640]  like that coming down these days.
[03:47:17.640 --> 03:47:21.360]  I mean, I always say, think about it like this.
[03:47:21.360 --> 03:47:26.600]  There used to be the concept of this archetype of the old wise man.
[03:47:26.600 --> 03:47:31.000]  How many old wise men are there out there, right?
[03:47:31.000 --> 03:47:37.160]  How many people are there who are wise and you're going to turn to for advice, turn to
[03:47:37.160 --> 03:47:38.160]  for insight?
[03:47:38.160 --> 03:47:43.200]  It's very rare these days because everybody wants to live this culture of eternal youth
[03:47:43.200 --> 03:47:46.600]  and eternal parting and eternal hedonism is a very sad thing.
[03:47:46.600 --> 03:47:48.400]  So the caller is right.
[03:47:48.400 --> 03:47:53.280]  Whatever your religion is, even if you're not religious, you can engage in secular practices
[03:47:53.280 --> 03:48:00.320]  like just being mindful, being present, mindset training, meditation, a lot of things.
[03:48:00.320 --> 03:48:01.880]  I totally agree with that caller.
[03:48:01.880 --> 03:48:02.880]  There needs to be something.
[03:48:02.880 --> 03:48:08.600]  And if you are Christians of the Psalms Across America, sounds like a great idea to me.
[03:48:08.600 --> 03:48:11.720]  You should definitely be meeting in prayer groups and meeting in larger events.
[03:48:11.720 --> 03:48:15.080]  So the caller has said it was called Psalms Across America.
[03:48:15.080 --> 03:48:16.920]  This interesting concept.
[03:48:16.920 --> 03:48:18.920]  Somebody should run with that.
[03:48:18.920 --> 03:48:19.920]  That's the thing.
[03:48:19.920 --> 03:48:23.600]  A lot of people come up with ideas, but then they don't want to take ownership and responsibility.
[03:48:23.600 --> 03:48:28.120]  And that relates to the spiritual bankruptcy in America, the lack of leadership.
[03:48:28.120 --> 03:48:30.840]  They'll go, Mike, do this, do that, do this, do that, do that, and they'll give me like
[03:48:30.840 --> 03:48:31.840]  15 different...
[03:48:31.840 --> 03:48:33.400]  I'm like, what are you doing?
[03:48:33.400 --> 03:48:34.400]  Right?
[03:48:34.400 --> 03:48:37.840]  And I'm not putting that caller on blast because I'm not singling him out.
[03:48:37.840 --> 03:48:43.440]  I'm just saying that there is a mindset to just say, well, somebody needs to do this.
[03:48:43.440 --> 03:48:46.400]  Well, if not you, then who?
[03:48:46.400 --> 03:48:47.400]  There is no somebody.
[03:48:47.400 --> 03:48:48.400]  There's you.
[03:48:48.400 --> 03:48:49.400]  Everybody listening.
[03:48:49.400 --> 03:48:50.400]  It's up to you to take action.
[03:48:50.400 --> 03:48:53.120]  It's up to you to implement these ideas.
[03:48:53.120 --> 03:48:55.280]  Sharing ideas is good, but somebody has to do it.
[03:48:55.280 --> 03:48:56.840]  It should be you.
[03:48:56.840 --> 03:49:05.760]  Dr. Kelly from California, how are you doing?
[03:49:05.760 --> 03:49:12.680]  With your permission, and I have the toll-free capital switchboard telephone number for Congress
[03:49:12.680 --> 03:49:15.280]  and the senators, can I give that out?
[03:49:15.280 --> 03:49:20.960]  Yeah, unless there's some kind of rule against it, I don't see why you can't give...
[03:49:20.960 --> 03:49:21.960]  Okay.
[03:49:21.960 --> 03:49:22.960]  Is there a reason?
[03:49:22.960 --> 03:49:25.320]  Do you want people to call about something specific or what?
[03:49:25.320 --> 03:49:26.320]  Yes.
[03:49:26.320 --> 03:49:30.200]  So, senators, call your congressmen, women and children.
[03:49:30.200 --> 03:49:39.000]  I'd like people to visit wi-fi-facts.com and tennis-search.com.
[03:49:39.000 --> 03:49:48.240]  And the toll-free capital switchboard is 877-762-8762.
[03:49:48.240 --> 03:49:52.960]  They're there for you 24 hours a day so that when you're frustrated, you can't sleep because
[03:49:52.960 --> 03:49:59.680]  of all the radiobiological weapons or the Prozac in the water, you call them.
[03:49:59.680 --> 03:50:04.720]  And you speak to your congressmen, women and children, and your senators, and your senators,
[03:50:04.720 --> 03:50:09.640]  and handle business, and let the ones know that are doing the good job that you support
[03:50:09.640 --> 03:50:10.640]  them.
[03:50:10.640 --> 03:50:16.440]  And the ones that aren't doing a good job, get their fax number, and you fax the fax
[03:50:16.440 --> 03:50:17.440]  on Friday.
[03:50:17.440 --> 03:50:18.440]  Okay.
[03:50:18.440 --> 03:50:19.920]  Well, thank you so much for your call.
[03:50:19.920 --> 03:50:25.120]  I definitely agree that politicians, they do want to stay in power, so the best thing
[03:50:25.120 --> 03:50:29.360]  you can do is call them up, let your voice, I mean, that's what I do.
[03:50:29.360 --> 03:50:34.160]  I mean, that's the power of Twitter and other social media is that they can monitor what
[03:50:34.160 --> 03:50:35.440]  we do in real time.
[03:50:35.440 --> 03:50:37.160]  There's pros and cons.
[03:50:37.160 --> 03:50:42.000]  The deep state monitors us in real time for nefarious purposes.
[03:50:42.000 --> 03:50:45.200]  But there are, I've been told, I know it's perfect.
[03:50:45.200 --> 03:50:50.480]  The White House does monitor my Twitter feed, and they do monitor what all of you say when
[03:50:50.480 --> 03:50:53.760]  you comment and everything else, so it's very, very important.
[03:50:53.760 --> 03:50:55.040]  So that was it for the call.
[03:50:55.040 --> 03:50:57.040]  Thank you, everybody, for your calls.
[03:50:57.040 --> 03:51:00.360]  There's a lot to talk about today.
[03:51:00.360 --> 03:51:05.400]  There's always so much going on, but what I really want to talk about is the transgender
[03:51:05.400 --> 03:51:10.240]  ban in the military, but mainly because I want to know what is really going on, and
[03:51:10.240 --> 03:51:11.880]  I'm working on the story.
[03:51:11.880 --> 03:51:13.160]  This was always going to happen.
[03:51:13.160 --> 03:51:16.200]  I knew about this story, but I was told to embargo it.
[03:51:16.200 --> 03:51:18.480]  So it was always going to happen.
[03:51:18.480 --> 03:51:21.480]  But why today?
[03:51:21.480 --> 03:51:24.400]  This wasn't supposed to be released until September.
[03:51:24.400 --> 03:51:26.800]  This was not an urgent matter.
[03:51:26.800 --> 03:51:29.920]  It wasn't something that needed to be done today.
[03:51:29.920 --> 03:51:32.440]  So what's really going on?
[03:51:32.440 --> 03:51:33.800]  I don't know.
[03:51:33.800 --> 03:51:37.520]  I'm starting to think it is maybe related to the Awan brothers.
[03:51:37.520 --> 03:51:42.360]  There has been massive action on the Awan brothers, and in fact, the attorney for one
[03:51:42.360 --> 03:51:47.280]  of the brothers issued a statement, which I posted to my Twitter.
[03:51:47.280 --> 03:51:54.480]  And for those of you who don't know, Debbie Wasserman Schiltz hired a Pakistani IT firm.
[03:51:54.480 --> 03:51:56.760]  And by the way, this isn't about Pakistanis.
[03:51:56.760 --> 03:51:59.640]  I don't think Pakistanis are bad people or anything like that.
[03:51:59.640 --> 03:52:07.720]  But the issue is that imagine Trump hired a Russian IT firm, right?
[03:52:07.720 --> 03:52:10.800]  Right away they would say, well, how could you hire a Russian IT firm, even if they're
[03:52:10.800 --> 03:52:15.600]  Russian American citizens, that would be big controversy.
[03:52:15.600 --> 03:52:18.040]  Pakistan funds terrorism.
[03:52:18.040 --> 03:52:20.240]  Pakistan is pro-terrorism.
[03:52:20.240 --> 03:52:23.240]  Pakistan hid bin Laden for years.
[03:52:23.240 --> 03:52:28.000]  They're not an ally of America, and anybody telling you they are is lying to you.
[03:52:28.000 --> 03:52:31.760]  There's a major terrorist contingent within Pakistan.
[03:52:31.760 --> 03:52:39.400]  So why then are people who are connected perhaps to terrorists in Pakistan, and we don't know
[03:52:39.400 --> 03:52:45.960]  the full story yet, but we do know that the Awan brothers did have access to Deborah Wasserman
[03:52:45.960 --> 03:52:48.920]  Schiltz's passwords that showed up in WikiLeaks.
[03:52:48.920 --> 03:52:57.480]  They had access to passwords, they had access to all the information, and they had access
[03:52:57.480 --> 03:52:59.840]  to the Republican emails too.
[03:52:59.840 --> 03:53:03.640]  That's why the Republicans have not been pushing the story, and why it's up to us, the real
[03:53:03.640 --> 03:53:05.360]  journalists and the real news to push the story.
[03:53:05.360 --> 03:53:09.040]  The Republicans don't want it out there either, because the Awan brothers knew about with
[03:53:09.040 --> 03:53:10.600]  what they were up to.
[03:53:10.600 --> 03:53:15.880]  So there's been an arrest, and let's read that statement, because this is just so typical
[03:53:15.880 --> 03:53:17.280]  these days.
[03:53:17.280 --> 03:53:20.840]  The Awan brothers lawyer's statement, if we could get that pulled up on the screen, it
[03:53:20.840 --> 03:53:25.440]  would be really helpful so I can read it off the screen.
[03:53:25.440 --> 03:53:31.520]  So the lawyer goes, the attacks that Mr. Awan and his family began as part of a conspiracy
[03:53:31.520 --> 03:53:36.960]  theory, an anti-Muslim bigotry.
[03:53:36.960 --> 03:53:43.400]  That's how you know the guy, that's how you know the guy is probably wanted for something,
[03:53:43.400 --> 03:53:46.320]  because they want it, and they throw in PizzaGate.
[03:53:46.320 --> 03:53:52.240]  The targets are not just coming from the ultra-right-wing PizzaGate media outlets, but the Department
[03:53:52.240 --> 03:53:55.440]  of Justice is investigating it too.
[03:53:55.440 --> 03:53:59.520]  Now we have the Department of Justice showing up with a complaint about disclosure on a
[03:53:59.520 --> 03:54:04.800]  modest real estate matter, okay, I'm a lawyer, I've done criminal defense work, I've done
[03:54:04.800 --> 03:54:06.040]  white color criminal defense work.
[03:54:06.040 --> 03:54:10.480]  Let me translate this for you.
[03:54:10.480 --> 03:54:16.520]  Real estate matter, well what do you do when you're paid a lot of money or you want to
[03:54:16.520 --> 03:54:18.120]  hide a lot of money?
[03:54:18.120 --> 03:54:22.840]  Again, we're going to have to read the indictment, but I'm just telling you as a lawyer, here's
[03:54:22.840 --> 03:54:28.200]  what I'm reading in between the line is, a real estate matter, well why would you be
[03:54:28.200 --> 03:54:31.880]  guilty of a crime related to a real estate matter?
[03:54:31.880 --> 03:54:37.360]  Really that means that money is being shifted around, and again I'm not saying that Mr.
[03:54:37.360 --> 03:54:43.160]  A1 has laundered money, but I'm saying he was arrested by the feds, he was caught with
