[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[02:26:55.360 --> 02:27:04.360]  And ladies and gentlemen, the advice Alex gave you, get to where you can get as soon as you can get there, because there comes a point.
[02:27:04.360 --> 02:27:08.360]  And this point is this. I can't tell you time. I can't tell you date.
[02:27:08.360 --> 02:27:14.360]  But I can tell you, watch for the talking of repudiating the US dollar.
[02:27:14.360 --> 02:27:19.360]  Watch for more countries joining with the BRICS nations.
[02:27:19.360 --> 02:27:25.360]  And to my knowledge, already, I think it's up to 50 or 60 that are signing deals.
[02:27:25.360 --> 02:27:28.360]  I think, you know, and that's up 140.
[02:27:28.360 --> 02:27:36.360]  Ladies and gentlemen, get what you can get, because we're going to see a time where Alex just made the most important point.
[02:27:36.360 --> 02:27:43.360]  There's nothing to eat in the cities. And Francis Schaeffer wrote a book decades ago, 40 years ago, I think, Death in the City.
[02:27:43.360 --> 02:27:50.360]  So please, ladies and gentlemen, understand when the lights go out in the city, things get not so pretty.
[02:27:50.360 --> 02:27:59.360]  And you could add another word. And in essence, you who used to be able to live a quasi normal life.
[02:27:59.360 --> 02:28:04.360]  There's no the word normal. Alex never exists. The word peace will never exist from that point on.
[02:28:04.360 --> 02:28:07.360]  And you'll be fighting for your life and you'll be fighting to stay alive.
[02:28:07.360 --> 02:28:14.360]  But God himself will fight for those who are covered by the blood of Jesus.
[02:28:14.360 --> 02:28:21.360]  And look, I make no apologies about that. The safest place for anybody to be is hidden Jesus Christ, because you need that discernment.
[02:28:21.360 --> 02:28:26.360]  You need that that that that that global intergalactic GPS.
[02:28:26.360 --> 02:28:29.360]  The Holy Spirit gives you a discernment. I want to have you finish your point.
[02:28:29.360 --> 02:28:34.360]  Go ahead. No. And that's the point. People say, well, it's so scary.
[02:28:34.360 --> 02:28:38.360]  It's not scary if you're having your fears diffuse.
[02:28:38.360 --> 02:28:41.360]  And let me tell you what what my GPS is telling me, my spidey senses.
[02:28:41.360 --> 02:28:46.360]  They say all this intellectually. We can see we see the global shutdown happening.
[02:28:46.360 --> 02:28:50.360]  They're toying with us and preparing. They've got different fake cyber attacks to take down the power wars.
[02:28:50.360 --> 02:28:55.360]  All of all these threats are going up because they're bringing in their new system and they're forcing population.
[02:28:55.360 --> 02:29:01.360]  But my gut, my spirit tells me, you know, hey, I love the Austin crew.
[02:29:01.360 --> 02:29:04.360]  I love what we're doing here. We're going to keep this here.
[02:29:04.360 --> 02:29:09.360]  But I mean, everything tells me none of these attacks matter on me personally, all this other garbage.
[02:29:09.360 --> 02:29:18.360]  What matters is staying on air and getting prepared to go to the country in the middle of nowhere with people you can trust and ride this out as long as we can.
[02:29:18.360 --> 02:29:26.360]  Because gut level, instinctive level, I can barely sit here in this chair and not be heading to the woods right now with my family.
[02:29:26.360 --> 02:29:30.360]  But but I'm here in place to warn people as much as possible. Steve's really smart.
[02:29:30.360 --> 02:29:34.360]  He's already been for 30 years, you know, in a very rural, safe area.
[02:29:34.360 --> 02:29:40.360]  And Steve, we've got to have you back again, just on your preparedness understanding, because I've had Joel Scales is really smart and others on as well.
[02:29:40.360 --> 02:29:46.360]  But you are one of the biggest experts on that as well to talk about preparedness and people getting ready.
[02:29:46.360 --> 02:29:51.360]  Steve Quayle dot com. You can find all his films, all his books are incredible, big tabletop books that are unbelievable.
[02:29:51.360 --> 02:29:56.360]  His films are incredible. You can find a lot of his films and books as well at info war store dot com.
[02:29:56.360 --> 02:30:03.360]  The place to get them is Steve Quayle dot com. Steve, thank you so much for time, sir.
[02:30:03.360 --> 02:30:07.360]  Thank you, Alex. All right. There he goes. Wow.
[02:30:07.360 --> 02:30:10.360]  Thank you for spending time with us on Saturday, Steve Quayle. All right.
[02:30:10.360 --> 02:30:14.360]  This is a tape show, so it's like 220 right now.
[02:30:14.360 --> 02:30:19.360]  And I want to post this at Mandot video and posted to info wars dot com.
[02:30:19.360 --> 02:30:25.360]  And stream it by. By four o'clock today.
[02:30:25.360 --> 02:30:30.360]  So I've already taped with the whistleblower from the Wuhan lab, the chief scientist.
[02:30:30.360 --> 02:30:34.360]  Pretty big deal, supposing it is on purpose can function that I just taped with Steve.
[02:30:34.360 --> 02:30:39.360]  I'm about to go tape 20 minutes of hardcore news analysis up front.
[02:30:39.360 --> 02:30:45.360]  So when you're watching this later, you already been able to see that. And then we're going to put this in the hopper to go out to the people.
[02:30:45.360 --> 02:30:49.360]  And every day we're still on air is so precious.
[02:30:49.360 --> 02:30:53.360]  I know people know we're telling the truth. I know folks now go Alex Jones was right.
[02:30:53.360 --> 02:30:57.360]  And but we're not pass say, though.
[02:30:57.360 --> 02:31:06.360]  Now is the most important point. When you know it's true, you've done your own research to warn others that don't know because they're going to be very dangerous when this all goes down.
[02:31:06.360 --> 02:31:11.360]  If they don't know who did it because they're going to get mobilized by the globalist to come after all of us.
[02:31:11.360 --> 02:31:15.360]  So we're affecting the quote future battle space is what it's called.
[02:31:15.360 --> 02:31:18.360]  Educating as much people before things go dark.
[02:31:18.360 --> 02:31:29.360]  If we're unable to stop this. And I'm trying as hard as I can to hopefully have members of the elite and others be smart and pull out of this before it's too late to get the public to make enough noise.
[02:31:29.360 --> 02:31:32.360]  So the globalist realize how much danger they're in and also back down.
[02:31:32.360 --> 02:31:36.360]  So in closing, get supplements, boost your immune system, get healthy.
[02:31:36.360 --> 02:31:40.360]  Take action now at info war store dot com while you still can.
[02:31:40.360 --> 02:31:45.360]  We've got to end the big mega sell stuff selling out on Monday.
[02:31:45.360 --> 02:31:49.360]  That means up to 60 percent off because so much stuff selling out.
[02:31:49.360 --> 02:31:51.360]  We still have vitamin mineral fusion. That's incredible.
[02:31:51.360 --> 02:31:59.360]  DNA force plus super mobile vitality brain force ultra the vaso beach of the highest quality B12 ultra 12.
[02:31:59.360 --> 02:32:06.360]  It's all 50 to 60 percent off with promo code 1776 and info war store dot com free shipping's back as well.
[02:32:06.360 --> 02:32:10.360]  But it is good to have these on your shelf and prepared and it funds our operation.
[02:32:10.360 --> 02:32:20.360]  That's a 360 win. But wherever you get high quality supplements, you need to get them and be bolstering your immune system because you see what's in the news and the mass deaths and all the craziness going on because they've lowered immune systems.
[02:32:20.360 --> 02:32:28.360]  And turn the general public into viral incubators. So info war store dot com or triple 8 2 5 3 3 1 3 9.
[02:32:28.360 --> 02:32:39.360]  Let me tell you what is still in stock sold out of X 2 sold out of X 3 sold out about Trisolinium sold out of Patriot when coffee sold out of turmeric ultimate formula bodies.
[02:32:39.360 --> 02:32:45.360]  We have immune support brain force plus knock out sleep support alpha power vaso be complete for your heart and everything.
[02:32:45.360 --> 02:32:53.360]  Bodies is sold out vitamin mineral fusion incredible DNA force plus amazing vitamin D3 gummies with calcium whole food multivitamin.
[02:32:53.360 --> 02:33:07.360]  The best you can get vitamin C with zinc 1100 percent daily allowance with Linus Pauling recommended from the rose hips and the zinc supercharging brain force ultra super mobile vitality ultimate grill official immune support physically magnesium all of it 50 to 60 percent off now.
[02:33:08.360 --> 02:33:18.360]  Info war store dot com or triple 8 2 5 3 3 1 3 9. You're crazy if you're not taking vitamin D3. We've got a great formula. You're crazy if you're not taking 1100 percent vitamin C every day.
[02:33:18.360 --> 02:33:26.360]  You're crazy. You're crazy if you're not taking PQQ and co Q 10 and what's in DNA force plus and you're crazy if you're not supporting the info war want to thank the crew.
[02:33:26.360 --> 02:33:40.360]  Everybody for a great job. We're going to end this transmission. It'll be restreaming and info wars dot com. Now share the full Saturday emergency broadcast with the doctor and with Steve Quayle like your life depends on it because it does.
[02:33:45.360 --> 02:33:54.360]  We're never going to get out of this until we prosecute and confront the people that have done this. Here's the clip of the poor business owner who they're trying to bankrupt.
[02:33:54.360 --> 02:34:07.360]  I want a restaurant. And as you guys know, food costs are sky high. How restaurants are surviving right now is by alcohol sales. You guys just doing your job is facilitating what's going on in this country right now.
[02:34:07.360 --> 02:34:18.360]  You shut down a man's livelihood for not following covid mandates that didn't do anything anything to prevent covid. And it was actually detrimental to the community.
[02:34:18.360 --> 02:34:30.360]  I spent a lot of my adult life overseas fighting against dictatorships. And the last thing that I was going to do was come home to my country and allow a dictatorship to rule right here.
[02:34:30.360 --> 02:34:42.360]  The reason that we're in the situation we're in as the United States of America, you're part of the problem, sir. I realized early on that these covid mandates were more about control than they were our health and safety.
[02:34:42.360 --> 02:34:50.360]  It set our kids back so many years, these mandates. It set small businesses back so many years. It destroyed small businesses, man. It destroyed them.
[02:34:50.360 --> 02:35:07.360]  The only thing I know how to do, fight back by not complying. And that's when fast forward to last Friday, the ABC agents and the Virginia State Police raided my restaurant and took everything from me. And that's how we got to where we're at.
[02:35:08.360 --> 02:35:19.360]  So you can't complain about what the president is doing. You can't complain about the state that the country is in right now. You can't you can't complain about how screwed up it is. You're part of the problem, sir. You're just doing your job.
[02:35:19.360 --> 02:35:31.360]  So many people were just doing their job for Hitler back in Germany. You as well, sir. That goes that goes for you as well. That goes for you as well. It goes for all of you.
[02:35:31.360 --> 02:35:47.360]  Once they suspended my health department license for not following covid mandates that automatically suspended my ABC license. So that's how I lost it. Anyway, we went to court for my health department license and I beat the Virginia Department of Health in court.
