[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[3:50:02.000 --> 3:50:04.000]  they said that one of the primary concerns
[3:50:04.000 --> 3:50:08.000]  was to not be xenophobic and to not stigmatize people.
[3:50:08.000 --> 3:50:10.000]  Despite, of course, the fact that this is coming
[3:50:10.000 --> 3:50:13.000]  from one particular area on the planet,
[3:50:13.000 --> 3:50:15.000]  they put that in the original statement four times.
[3:50:15.000 --> 3:50:16.000]  That's not enough.
[3:50:16.000 --> 3:50:19.000]  They said it again last week, and now they've said it again,
[3:50:19.000 --> 3:50:24.000]  and they've renamed the virus to COVID-19.
[3:50:24.000 --> 3:50:27.000]  Despite the fact that coronavirus doesn't really
[3:50:27.000 --> 3:50:31.000]  have any connotations with Chinese people,
[3:50:31.000 --> 3:50:35.000]  as in the actual grammatical use of the term itself,
[3:50:35.000 --> 3:50:37.000]  but they've renamed it to COVID-19
[3:50:37.000 --> 3:50:41.000]  because apparently that's going to protect some people's fee fees.
[3:50:41.000 --> 3:50:43.000]  The World Health Organization has given coronavirus
[3:50:43.000 --> 3:50:47.000]  a new name in order to prevent people feeling stigmatized
[3:50:47.000 --> 3:50:50.000]  because the first thing the global health authority tasked
[3:50:50.000 --> 3:50:52.000]  with preventing a mass deadly virus outbreak
[3:50:52.000 --> 3:50:56.000]  should be concerned about is political correctness.
[3:50:56.000 --> 3:50:59.000]  It's officially been renamed COVID-19
[3:50:59.000 --> 3:51:03.000]  because according to the WHO, as they tweeted earlier today,
[3:51:03.000 --> 3:51:05.000]  quote, we had to find a name that did not refer
[3:51:05.000 --> 3:51:07.000]  to a geographical location, an animal,
[3:51:07.000 --> 3:51:09.000]  an individual, or a group of people.
[3:51:09.000 --> 3:51:12.000]  Despite the fact that they've done that numerous times before,
[3:51:12.000 --> 3:51:15.000]  what was it, the Middle Eastern respiratory illness
[3:51:15.000 --> 3:51:19.000]  was one of them, but now in 2020,
[3:51:19.000 --> 3:51:22.000]  political correctness rules supreme.
[3:51:22.000 --> 3:51:25.000]  They said having a name matters to prevent the use
[3:51:25.000 --> 3:51:28.000]  of other names that can be inaccurate or stigmatizing
[3:51:28.000 --> 3:51:30.000]  so they're on the front lines of that.
[3:51:30.000 --> 3:51:33.000]  Respondents on Twitter had some fun with this.
[3:51:33.000 --> 3:51:35.000]  One of them said, quote, damn,
[3:51:35.000 --> 3:51:39.000]  I was going to name it China Man Nasty Virus 20.
[3:51:39.000 --> 3:51:42.000]  Another one asked what weight,
[3:51:42.000 --> 3:51:46.000]  so avoiding stigma is more important than saving lives.
[3:51:46.000 --> 3:51:48.000]  Another user remarked, quote,
[3:51:48.000 --> 3:51:50.000]  at this age, people are just going to refer to it
[3:51:50.000 --> 3:51:52.000]  as the coronavirus or that virus from China
[3:51:52.000 --> 3:51:56.000]  because they kept eating the effing bats.
[3:51:56.000 --> 3:51:59.000]  Yeah, seems like it's going to stick, doesn't it?
[3:51:59.000 --> 3:52:02.000]  Meanwhile, Chinese propaganda video shows
[3:52:02.000 --> 3:52:06.000]  coronavirus victims in detainment facility dancing.
[3:52:06.000 --> 3:52:10.000]  You remember the scene out of 1984
[3:52:10.000 --> 3:52:13.000]  with the mandatory exercise, Winston Smith?
[3:52:13.000 --> 3:52:15.000]  It looks kind of like that.
[3:52:15.000 --> 3:52:17.000]  A lot of the people dancing around,
[3:52:17.000 --> 3:52:21.000]  being choreographed by medics in hazmat suits
[3:52:21.000 --> 3:52:24.000]  don't seem to be overly enthusiastic about it,
[3:52:24.000 --> 3:52:26.000]  probably because some of them have been kidnapped
[3:52:26.000 --> 3:52:29.000]  from their families, as we've seen in other videos.
[3:52:29.000 --> 3:52:31.000]  Apparently keen to offset video footage
[3:52:31.000 --> 3:52:34.000]  of screaming Chinese people being abducted from their homes
[3:52:34.000 --> 3:52:36.000]  and taken to detention camps.
[3:52:36.000 --> 3:52:38.000]  The ruling Communist Party put out a video
[3:52:38.000 --> 3:52:42.000]  showing mild coronavirus victims housed
[3:52:42.000 --> 3:52:45.000]  in a temporary hospital being directed to dance
[3:52:45.000 --> 3:52:47.000]  by workers in hazmat suits.
[3:52:47.000 --> 3:52:49.000]  It was published by the People's Daily,
[3:52:49.000 --> 3:52:52.000]  which is the official news organ of the Central Committee
[3:52:52.000 --> 3:52:54.000]  of the Communist Party of China.
[3:52:54.000 --> 3:52:56.000]  So this is the Communist government.
[3:52:56.000 --> 3:52:59.000]  So basically they're being ordered to dance around
[3:52:59.000 --> 3:53:02.000]  like in an internment camp, Winston Smith style.
[3:53:02.000 --> 3:53:06.000]  The tweet says, virus can't put out the passion for life.
[3:53:06.000 --> 3:53:09.000]  Tends to be contradicted by the other videos
[3:53:09.000 --> 3:53:11.000]  that we've seen over the past few days.
[3:53:11.000 --> 3:53:16.000]  One of which showed authorities beating up a woman
[3:53:16.000 --> 3:53:19.000]  for not wearing her surgical face mask.
[3:53:19.000 --> 3:53:21.000]  Another showed alleged coronavirus victims
[3:53:21.000 --> 3:53:23.000]  being chased down by authorities
[3:53:23.000 --> 3:53:26.000]  and dragged kicking and screaming to internment camps.
[3:53:26.000 --> 3:53:29.000]  Another video showed a woman trying to scale down a building
[3:53:29.000 --> 3:53:30.000]  to escape a quarantine.
[3:53:30.000 --> 3:53:33.000]  She loses her grip and falls to her death.
[3:53:33.000 --> 3:53:36.000]  That video got deleted by Twitter.
[3:53:36.000 --> 3:53:39.000]  Now again, if you want to claim that this is a massive
[3:53:39.000 --> 3:53:41.000]  medical emergency, you could make the argument
[3:53:41.000 --> 3:53:44.000]  that they need to enforce authoritarian measures.
[3:53:44.000 --> 3:53:47.000]  But people have asked the question,
[3:53:47.000 --> 3:53:49.000]  are these measures really conducive?
[3:53:49.000 --> 3:53:52.000]  Are they really corresponding with the notion
[3:53:52.000 --> 3:53:54.000]  that this is just the flu?
[3:53:54.000 --> 3:53:56.000]  And what are we now?
[3:53:56.000 --> 3:53:58.000]  A thousand people have died.
[3:53:58.000 --> 3:54:00.000]  They just had a record number of people dying today.
[3:54:00.000 --> 3:54:02.000]  And one day it was over 100.
[3:54:02.000 --> 3:54:06.000]  People are asking the question, are these kind of measures,
[3:54:06.000 --> 3:54:11.000]  would these kind of measures be imposed if this was?
[3:54:11.000 --> 3:54:13.000]  In line with the numbers that we've seen
[3:54:13.000 --> 3:54:16.000]  in terms of people being infected and people dying,
[3:54:16.000 --> 3:54:19.000]  the official numbers released by the communist Chinese.
[3:54:19.000 --> 3:54:22.000]  Of course, you can't question the official story
[3:54:22.000 --> 3:54:24.000]  because you get banned by Twitter and Facebook.
[3:54:24.000 --> 3:54:28.000]  They're imposing the exact same terms of service,
[3:54:28.000 --> 3:54:31.000]  the exact same measures that the Chinese government
[3:54:31.000 --> 3:54:33.000]  is imposing on their people.
[3:54:33.000 --> 3:54:36.000]  They've said 15 years in prison for sharing disinformation
[3:54:36.000 --> 3:54:38.000]  about the coronavirus.
[3:54:38.000 --> 3:54:42.000]  They've said the death penalty for anyone who infects somebody
[3:54:42.000 --> 3:54:44.000]  else deliberately with the coronavirus,
[3:54:44.000 --> 3:54:48.000]  which of course means it could mean somebody escaping
[3:54:48.000 --> 3:54:51.000]  from a quarantine internment camp.
[3:54:51.000 --> 3:54:54.000]  We have this headline out of the nationalfile.com.
[3:54:54.000 --> 3:54:58.000]  Chinese authorities disinfect Wuhan with fleets of trucks
[3:54:58.000 --> 3:55:00.000]  spraying chemicals in the air.
[3:55:00.000 --> 3:55:02.000]  It looks absolutely apocalyptic.
[3:55:02.000 --> 3:55:06.000]  Again, is that overkill or is that an illustration
[3:55:06.000 --> 3:55:08.000]  of the fact that the numbers we've been hearing
[3:55:08.000 --> 3:55:13.000]  are in fact far worse than the official pronouncements?
[3:55:13.000 --> 3:55:17.000]  Meanwhile, border patrol officers at Dulles Airport
[3:55:17.000 --> 3:55:21.000]  find a bag full of dead birds in passenger baggage from China
[3:55:21.000 --> 3:55:23.000]  and claim it's pet food.
[3:55:23.000 --> 3:55:25.000]  U.S. Customs and Border Protection agents
[3:55:25.000 --> 3:55:27.000]  at Washington Dulles International Airport
[3:55:27.000 --> 3:55:30.000]  seized a bag full of dead birds from the baggage
[3:55:30.000 --> 3:55:32.000]  of passenger arriving from China.
[3:55:32.000 --> 3:55:36.000]  First of all, who on earth would be stupid enough
[3:55:36.000 --> 3:55:39.000]  to bring a bag full of dead animals from China
[3:55:39.000 --> 3:55:41.000]  into the United States at the height of a potential
[3:55:41.000 --> 3:55:45.000]  global flu pandemic?
[3:55:45.000 --> 3:55:48.000]  Second of all, they claim it's pet food.
[3:55:48.000 --> 3:55:51.000]  We've seen the dietary habits of Chinese people
[3:55:51.000 --> 3:55:53.000]  in light of this coronavirus outbreak.
[3:55:53.000 --> 3:55:55.000]  Quite eclectic, to say the least, aren't they?
[3:55:55.000 --> 3:55:58.000]  Quite eclectic.
[3:55:58.000 --> 3:56:01.000]  So they seized this bag of dead birds.
[3:56:01.000 --> 3:56:03.000]  It's apparently pet food.
[3:56:03.000 --> 3:56:06.000]  It's been marketed in China as pet food.
[3:56:06.000 --> 3:56:09.000]  Again, why not just beat them pedigree chum?
[3:56:09.000 --> 3:56:11.000]  It's absolutely disgusting.
[3:56:11.000 --> 3:56:13.000]  But again, how stupid do you have to be
[3:56:13.000 --> 3:56:15.000]  to try and bring this through an airport?
[3:56:15.000 --> 3:56:18.000]  So that's taking place.
[3:56:18.000 --> 3:56:22.000]  Zero-Head reports does a sudden surge in SO2 levels
[3:56:22.000 --> 3:56:25.000]  that sulfur dioxide suggests a huge surge
[3:56:25.000 --> 3:56:28.000]  in cremations across China.
[3:56:28.000 --> 3:56:32.000]  They're registering record surges in sulfur dioxide
[3:56:32.000 --> 3:56:36.000]  burns in both Wuhan and Chongqing.
[3:56:36.000 --> 3:56:39.000]  Asking the question, are they burning bodies
[3:56:39.000 --> 3:56:41.000]  in huge numbers?
[3:56:41.000 --> 3:56:43.000]  But again, you can't ask those questions
