[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[02:40:56.053 --> 02:41:06.515]  But I mean how can the elites then know that there's a class war against the middle class going on by the elite and then try to sick the giant underclass on the middle class and start a race war?
[02:41:06.515 --> 02:41:08.656]  That's not, that dog's not hunting.
[02:41:08.656 --> 02:41:10.336]  Clearly the Democrats and George Soros
[02:41:10.956 --> 02:41:20.633]  Well, they admit it's been released, are spending hundreds of millions total and putting up fake stickers in Austin saying white only to get us all fighting with each other and divide and conquer, Gerald.
[02:41:20.633 --> 02:41:23.739]  I don't see Washington's balkanization plan working.
[02:41:24.923 --> 02:41:29.205]  Well, it's not going to, and it's going to be chaos and more mayhem.
[02:41:29.205 --> 02:41:31.026]  There's absolutely no question about it.
[02:41:31.026 --> 02:41:37.469]  You can have guys like this Paul Tudor Jones, some name like that.
[02:41:37.469 --> 02:41:40.591]  You know, they always have these very important names like Tudor.
[02:41:40.591 --> 02:41:47.194]  And he's coming out, big hedge fund guy, warning about what's going to happen with the middle class dissolving.
[02:41:47.194 --> 02:41:51.957]  And you know what Tudor means, that's British royalty, a British house that fell hundreds of years ago.
[02:41:51.957 --> 02:41:53.658]  But exactly, you look at the elite in our country,
[02:41:54.218 --> 02:41:55.740]  People always obsess over their ethnicity.
[02:41:55.740 --> 02:41:57.843]  A lot of them are connected to British royalty.
[02:41:57.843 --> 02:42:00.467]  And then you see our tabloids worshipping British royalty?
[02:42:00.467 --> 02:42:03.511]  It's like a Twilight Zone episode, Gerald.
[02:42:03.511 --> 02:42:04.272]  It is.
[02:42:04.272 --> 02:42:07.337]  And it's exactly... Look, Alex.
[02:42:07.337 --> 02:42:09.660]  The fish rots from the head down.
[02:42:10.583 --> 02:42:12.304]  It's a truism.
[02:42:12.304 --> 02:42:18.988]  We have become a murderous criminal class run by two mafias.
[02:42:18.988 --> 02:42:22.730]  I should say the Bloods and the Crips, the Democrats and Republicans.
[02:42:22.730 --> 02:42:30.695]  How many more people do they have to murder in the name of freedom and democracy?
[02:42:30.695 --> 02:42:33.417]  And how much more of our money do they have to steal
[02:42:33.957 --> 02:42:35.438]  In the name of too big to fail.
[02:42:35.438 --> 02:42:37.719]  And they've maneuvered us into total bankruptcy.
[02:42:37.719 --> 02:42:40.741]  They're trying to hurt the dollar long term.
[02:42:40.741 --> 02:42:42.662]  What do you think their exit strategy is?
[02:42:42.662 --> 02:42:45.584]  I mean, do they have a method to their madness?
[02:42:45.584 --> 02:42:46.745]  Because I see the London Guardian.
[02:42:46.745 --> 02:42:48.586]  I was reporting on what we've said forever.
[02:42:48.586 --> 02:42:52.788]  They're building secret underground bunkers and castles in the Ozarks.
[02:42:52.788 --> 02:43:03.315]  They're building landing strips in New Zealand in the middle of nowhere and putting in guardhouses with up to 20 armed mercenaries that they give endowments to live with them for life.
[02:43:03.855 --> 02:43:08.279]  I mean, the elite have been really good at screwing everybody over, but now they're going to have to live in armored fortresses.
[02:43:08.279 --> 02:43:12.962]  That's the scariest part for me, is that the elite are digging in, Gerald.
[02:43:12.962 --> 02:43:14.924]  They don't have a clue what to do.
[02:43:14.924 --> 02:43:16.385]  It's out of their control.
[02:43:16.385 --> 02:43:17.586]  It's out of control.
[02:43:17.586 --> 02:43:19.887]  It is spun out of control.
[02:43:19.887 --> 02:43:20.068]  Look.
[02:43:21.027 --> 02:43:40.922]  Tell me one victory in any field, whether it's military, not since World War II, with the exception of course of Grenada and Panama, healthcare, education, environment, everything they touch they turn to failure.
[02:43:40.922 --> 02:43:42.603]  But they've been good at robbing us.
[02:43:42.603 --> 02:43:46.166]  They've been good at robbing us, making us sick and dumb, and destroying the middle class.
[02:43:47.199 --> 02:43:49.720]  They have destroyed the middle class.
[02:43:49.720 --> 02:43:51.260]  It's in front of us.
[02:43:51.260 --> 02:43:53.601]  The numbers, again, don't lie.
[02:43:53.601 --> 02:44:03.023]  You have a gap between the rich and the poor that, what, according to the Pew Research Center, is back to the Gilded Age days and even worse?
[02:44:03.023 --> 02:44:06.084]  The middle class is shot in this country.
[02:44:06.084 --> 02:44:08.304]  We don't even have a day of rest anymore.
[02:44:08.304 --> 02:44:13.886]  Rome, in its most corrupt years, in the 200s and 300s, had a bigger middle class than we have.
[02:44:14.929 --> 02:44:15.890]  Yeah.
[02:44:15.890 --> 02:44:18.512]  So it has collapsed.
[02:44:18.512 --> 02:44:27.340]  And again, going back to this banking issue, I really believe it's there to dissuade people to try to get their money out.
[02:44:27.340 --> 02:44:30.582]  And by the way, that's why I believe in gold.
[02:44:30.582 --> 02:44:33.305]  And again, guns, gold in a getaway.
[02:44:33.305 --> 02:44:34.806]  Even if it goes up or down, it doesn't matter.
[02:44:34.806 --> 02:44:36.327]  At least you got something buried on the back 40.
[02:44:36.327 --> 02:44:39.450]  If everything goes to hell, everybody knows gold and silver has value.
[02:44:40.333 --> 02:44:41.993]  Well, think of it like this.
[02:44:41.993 --> 02:44:45.634]  You're getting negative interest rates over in Europe.
[02:44:45.634 --> 02:44:52.176]  You put your money in the bank, they're gonna charge you to keep it there, 0.25%.
[02:44:52.176 --> 02:44:57.418]  Take out a German bond, a Danish, Austrian, a whole bunch of them.
[02:44:57.418 --> 02:44:58.498]  A five-year bond.
[02:44:59.417 --> 02:45:02.718]  You're going to pay this much for it and you're going to get that much back.
[02:45:02.718 --> 02:45:06.079]  You're going to get less back negative yields.
[02:45:06.079 --> 02:45:19.082]  Why would anybody in their right mind buy a German-Austrian-Danish bond that they know they're going to get paid less at maturity?
[02:45:19.082 --> 02:45:25.624]  Do you think that gold prices are going to be lower than they are now in five years?
[02:45:26.789 --> 02:45:28.830]  No, they can't keep it upside down forever.
[02:45:28.830 --> 02:45:30.230]  It is just wild.
[02:45:30.230 --> 02:45:35.573]  And I was reading different European countries, they make you pay interest to keep your money in a bank.
[02:45:35.573 --> 02:45:38.494]  So it's the opposite inverse of reality.
[02:45:38.494 --> 02:45:44.836]  Exactly, and it goes back to what you were saying about why they're sicking the cops on us.
[02:45:44.836 --> 02:45:53.180]  And by the way, the police in this country have become nothing more than enforcers for the crime bosses.
[02:45:54.093 --> 02:45:57.874]  You mentioned about all those scandals in the banks.
[02:45:57.874 --> 02:46:00.455]  You didn't see one head roll.
[02:46:00.455 --> 02:46:04.677]  And it's the same thing when you go down to the lower levels of the police.
[02:46:04.677 --> 02:46:09.279]  They commit these heinous crimes, nobody's head rolls.
[02:46:09.279 --> 02:46:11.540]  So they take care of each other.
[02:46:11.540 --> 02:46:14.801]  You protect me, I'll take care of you.
[02:46:14.801 --> 02:46:16.481]  And that's what it's become.
[02:46:16.481 --> 02:46:22.964]  They've become enforcers for the Democratic and Republican crime bosses.
[02:46:23.604 --> 02:46:33.650]  Bill, have you seen, there's not one major bank, and I love the language they use, they committed a misdeed.
[02:46:33.650 --> 02:46:35.372]  No, we misspoke.
[02:46:35.372 --> 02:46:36.612]  No, we misled.
[02:46:36.612 --> 02:46:39.154]  How about grand larceny?
[02:46:39.154 --> 02:46:41.175]  Never do you hear that.
[02:46:41.175 --> 02:46:47.920]  And not one, again, not one major conviction under that Eric Holder.
[02:46:49.042 --> 02:47:09.250]  Who was the so-called Attorney General, and still tries to play the role, during the Obama administration, who as the man of change and hope you can believe in, campaigned or lied about how Wall Street was going to pay the price for their criminality.
[02:47:09.250 --> 02:47:15.352]  So the police in this country have become enforcers for the crime bosses.
[02:47:17.179 --> 02:47:18.140]  That's right.
[02:47:18.140 --> 02:47:33.109]  With HSBC and others, they can launder hundreds of billions and then they pay $111 million in the case of Wells Fargo on $300 plus billion and then HSBC was a bigger fine, $1.9, but only because it was swish.
[02:47:33.649 --> 02:47:37.092]  But that's still a small fraction of what they've done.
[02:47:37.092 --> 02:47:51.623]  Meanwhile, old ladies who run tiny little Mexican food restaurants, who are citizens and things, it's in the New York Times, goes every day and deposits the cash, that's their total earnings, and then they put it in the bank and they seize it saying it's criminal because she put it in the bank.
[02:47:52.123 --> 02:47:55.065]  I mean, it's just, it's just rape everyone.
[02:47:55.065 --> 02:47:57.847]  It's just rape the little guy, Gerald.
[02:47:57.847 --> 02:48:00.850]  Again, the fish rots from the head down.
[02:48:00.850 --> 02:48:05.193]  You have immorality being brought to the top by Washington.
[02:48:05.193 --> 02:48:08.295]  And so the people are behaving as their leaders do.
[02:48:08.295 --> 02:48:14.059]  Well, Gerald, I agree with you that the police in many jurisdictions are out of control, but they are, they have indicted, you know, the cop in...
[02:48:15.140 --> 02:48:19.261]  In Albuquerque that, you know, said, I'm going to kill the homeless guy and dead.
[02:48:19.261 --> 02:48:20.482]  I do see a lot of departments.
[02:48:20.482 --> 02:48:22.102]  It's a dichotomy.
[02:48:22.102 --> 02:48:25.824]  It's minor compared to how they bust out shops all the time.
[02:48:25.824 --> 02:48:26.764]  No, no, I get it.
[02:48:26.764 --> 02:48:27.224]  I get it.
[02:48:27.224 --> 02:48:28.625]  Especially, I've been up there in the East.
[02:48:28.625 --> 02:48:29.805]  They're really arrogant.
[02:48:29.805 --> 02:48:33.626]  But expanding on this, all I'm saying is, what's the master plan then?
[02:48:33.626 --> 02:48:36.167]  You've been a big political advisor and consultant.
[02:48:36.167 --> 02:48:39.468]  Why is Soros funding riots against the police?
[02:48:39.468 --> 02:48:40.709]  Are they trying to get a class war going?
[02:48:41.960 --> 02:48:44.921]  Yeah, they have a class war going.
[02:48:44.921 --> 02:48:53.784]  A class war and a racial war keep being initiated by the governments and by these crazy people.
[02:48:53.784 --> 02:48:57.345]  Again, you look at what's going on in this country.
[02:48:57.345 --> 02:49:02.566]  Look how many of these young kids are growing up with no parents, whacked out on drugs.
[02:49:02.566 --> 02:49:04.427]  There's no job futures.
[02:49:04.427 --> 02:49:08.488]  How about all those college students that graduate with what?
[02:49:09.488 --> 02:49:17.213]  40, 50, 60, 70,000, $100,000 worth of debt, and they got a degree in art history?
[02:49:17.213 --> 02:49:18.613]  I mean, come on!
[02:49:18.613 --> 02:49:20.374]  Let me ask you this question.
[02:49:20.374 --> 02:49:28.399]  The arrogance of government does roll downhill, and so I'm guessing, have you had police get in your face or be rude, and what do you say to them when they do?
[02:49:28.399 --> 02:49:29.299]  What's that?
[02:49:29.299 --> 02:49:32.001]  Have you had the police treat you like garbage, and what do you say when they do?
[02:49:33.407 --> 02:49:39.773]  You know, I've had the police treat me in lousy ways, rolling through a stop sign.
[02:49:40.902 --> 02:49:43.683]  Well that's what I'm getting at, Gerald, is the media is
[02:50:03.689 --> 02:50:04.711]  That's what I'm saying.
[02:50:18.453 --> 02:50:24.039]  But again, you know, I mentioned about the local police, then there's the state troopers.
[02:50:24.039 --> 02:50:32.929]  Man, I mean, you know, you can't go out and have a drink, you know, without them, you know, walk the line, do this, bend over, bow down.
[02:50:32.929 --> 02:50:35.251]  No, it's really, it's out of line.
[02:50:35.251 --> 02:50:36.593]  Well, it didn't used to happen in America.
[02:50:36.593 --> 02:50:37.394]  It's definitely not freedom.
[02:50:40.632 --> 02:50:44.354]  Gerald Salente, I want to hit geopolitical issues with you straight ahead.
[02:50:44.354 --> 02:50:46.195]  I want to tell folks about your new Trends Journal.
[02:50:46.195 --> 02:50:50.517]  I've also got one of your journals from years ago where you predicted a bunch of this, and I wanted to read those quotes.
[02:50:50.517 --> 02:50:52.738]  Gerald Salente is our guest.
[02:50:52.738 --> 02:50:56.520]  You'll definitely want to stay with us for the conclusion of the transmission.
[02:50:56.520 --> 02:50:58.320]  TrendsResearch.com.
[02:50:58.320 --> 02:51:00.001]  Go there, get the Trends Research Journal.
[02:51:03.803 --> 02:51:08.984]  Now you can listen to Alex Jones unfiltered and untapped at no extra charge on this non-federal phone number.
