[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[02:43:51.986 --> 02:43:52.366]  Hopefully, yes.
[02:43:52.426 --> 02:43:52.866]  If not, next week?
[02:44:15.939 --> 02:44:24.391]  Well, you know, it's some mixed communications of what we're doing, but hopefully something will happen this week.
[02:44:24.411 --> 02:44:30.600]  Well, if I know this individual, we're going to see something sooner rather than later, because they just can't, you know, they're like us, they want to charge in.
[02:44:31.180 --> 02:44:32.743]  Yes, yes, correct, correct.
[02:44:33.394 --> 02:44:37.640]  But the other thing is, like I said, I've seen a lot of activism.
[02:44:38.340 --> 02:44:48.593]  Tomorrow here in New Jersey, in the Journal Square area of Jersey City, there's going to be a huge, huge rally for the truth.
[02:44:49.074 --> 02:44:52.098]  It's going to go through three different stations from the Port Authority.
[02:44:52.820 --> 02:45:04.526]  And, uh, they are going to demonstrate there, so it starts at one o'clock in Journal Square, then they're going to go at three o'clock to Grove Street, and they're going to finish in, uh, an area called, uh, Exchange Place.
[02:45:04.606 --> 02:45:12.150]  This is, uh, all three places from the PATH station that belongs to the Port Authority of New York, and they are going to demand the truth to be told.
[02:45:12.491 --> 02:45:14.952]  So that's the big train that goes out of New Jersey into New York?
[02:45:14.972 --> 02:45:15.172]  Right!
[02:45:15.472 --> 02:45:17.253]  Oh, yes, that's exactly the same one, yes.
[02:45:18.234 --> 02:45:19.294]  Been on that many times.
[02:45:19.474 --> 02:45:20.615]  Now, William,
[02:45:21.579 --> 02:45:25.022]  I mean, obviously this is why you're doing interviews with victims, but you didn't even know they'd be there.
[02:45:26.363 --> 02:45:44.376]  But that is really a good idea, to counter these neocons, is to make a whole film just with victims like yourself, and also heroes, saying, we know it's an inside job, we know it's an inside job, we know it's an inside job, but then I guess the Fox News and others will still just ignore that, but at least we can get it out to the people going, look,
[02:45:44.836 --> 02:45:47.057]  You know, the victims don't believe the official story.
[02:45:47.357 --> 02:45:49.238]  They know it's an inside job, many of them.
[02:45:49.899 --> 02:45:52.100]  Because, I mean, we talked about this last time you were on.
[02:45:52.640 --> 02:45:59.243]  It makes me sick at my stomach watching the very killers use those they killed and their families to make themselves look like heroes.
[02:46:00.624 --> 02:46:03.986]  But it's got to feel good to you now to see people fighting back like this family.
[02:46:04.026 --> 02:46:08.268]  And again, it's Joan Titus, and what's the husband's name?
[02:46:10.129 --> 02:46:12.450]  The wife is Beverly, Bev.
[02:46:12.870 --> 02:46:13.591]  Okay, Beverly.
[02:46:15.183 --> 02:46:16.204]  Go ahead and dig it out, it's okay.
[02:46:16.644 --> 02:46:17.325]  John and Bev.
[02:46:18.085 --> 02:46:19.226]  John and Bev, okay.
[02:46:19.266 --> 02:46:21.168]  John and Bev Titus.
[02:46:22.249 --> 02:46:28.894]  And their daughter was... By 177, that was the flight that hit the South Tower.
[02:46:29.014 --> 02:46:30.235]  Alicia Titus, right?
[02:46:30.695 --> 02:46:31.056]  Correct.
[02:46:31.436 --> 02:46:34.258]  Okay, I've got it all written down in the other room, but of course I don't have my notes in front of me, sorry.
[02:46:35.159 --> 02:46:37.641]  But Alicia Titus, did you get their phone number, William?
[02:46:37.661 --> 02:46:38.702]  Because I'd love to get them on.
[02:46:39.671 --> 02:46:48.906]  I have all the information, and not only that, we actually are going to put something big, uh, we are talking about 400 families, so we are- Oh my god.
[02:46:48.986 --> 02:46:53.753]  Yes, and that's some of the big news that we are putting, uh, on-
[02:46:55.700 --> 02:47:04.184]  Well, we cannot talk too much about it because, you know, the people of the powers that be will try to pre-empt whatever we are trying to do.
[02:47:04.625 --> 02:47:21.134]  That's why you have... I mean, I sent several emails to the people from O'Reilly and these both folks won't even have me on the show because he knows that I will go face-to-face with him and, you know, the first question that I will ask him, were you there?
[02:47:21.854 --> 02:47:22.675]  Were you there?
[02:47:23.590 --> 02:47:28.532]  How can you speak about something you have no experience whatsoever on what happened on that day?
[02:47:29.912 --> 02:47:30.472]  Very simple.
[02:47:31.133 --> 02:47:32.313]  And let's see what he responds.
[02:47:33.973 --> 02:47:36.454]  Well, he's not stupid, you know.
[02:47:36.514 --> 02:47:38.235]  O'Reilly used to be anti-New World Order.
[02:47:38.275 --> 02:47:42.796]  We've got a bunch of clips of him from JFK to the Illuminati, and he really sold out.
[02:47:43.037 --> 02:47:44.177]  That makes him even worse.
[02:47:44.898 --> 02:47:54.105]  You know, and the other thing, I mean, a news aside was that I just read an article that says a professor who criticized Bush was added to terrorist no-fly list.
[02:47:54.165 --> 02:47:55.786]  Oh yeah, that's mainstream news, yeah.
[02:47:55.946 --> 02:47:57.307]  That's in a law journal, yeah.
[02:47:57.407 --> 02:47:59.609]  Yeah, it's incredible, but you know what?
[02:47:59.749 --> 02:48:00.690]  Welcome to my world.
[02:48:00.750 --> 02:48:09.657]  Remember, I'm a recognized personality and hero by both governments, and I have been put on the same no-fly list.
[02:48:09.757 --> 02:48:12.519]  I am on the no-fly list for more than two years.
[02:48:13.283 --> 02:48:14.885]  And it's funny because people don't understand it.
[02:48:14.925 --> 02:48:20.091]  Sometimes they stop me in the airport, put me in a room, and they ask me, we don't understand why you're on this list.
[02:48:20.672 --> 02:48:22.374]  People that recognize me from television.
[02:48:22.972 --> 02:48:25.534]  They said, how can they put you on this list?
[02:48:25.574 --> 02:48:27.975]  You're such a recognized person for what you did on 9-11.
[02:48:27.995 --> 02:48:30.156]  They said, well, there you go.
[02:48:30.557 --> 02:48:40.142]  I talked against the administration and what they have done to eliminate the civil rights and how they have used 9-11 as an agenda for propaganda, and they put me right there.
[02:48:40.202 --> 02:48:41.423]  I'm probably on the top of the list.
[02:48:41.703 --> 02:48:44.325]  And for those who don't know, they ransacked your bags.
[02:48:45.146 --> 02:48:46.667]  Frankly, I'm on it, folks.
[02:48:46.747 --> 02:48:49.550]  They lose them every time if you're even able to get on the airplane.
[02:48:49.850 --> 02:48:52.592]  And then they put my family on the list, but I don't like to give them attention.
[02:48:52.993 --> 02:48:53.693]  We'll be right back.
[02:48:53.713 --> 02:48:54.114]  Stay with us.
[02:48:55.075 --> 02:49:03.081]  It's here, after a year in production and traveling to distant lands.
[02:49:03.462 --> 02:49:05.403]  My new film, Terror Storm, is complete.
[02:49:05.764 --> 02:49:13.370]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:49:14.102 --> 02:49:21.144]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:49:21.545 --> 02:49:32.968]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:49:33.268 --> 02:49:37.210]  Terror Storm is a definitive guide to the history of government-sponsored terrorism.
[02:49:37.230 --> 02:49:39.170]  It's an anthology of government crimes.
[02:49:39.511 --> 02:49:43.352]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:49:43.952 --> 02:49:51.728]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[02:49:56.440 --> 02:50:01.524]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[02:50:01.584 --> 02:50:08.909]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[02:50:09.049 --> 02:50:19.677]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[02:50:19.877 --> 02:50:24.440]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[02:50:24.700 --> 02:50:29.683]  Unbelievably, they even remove small micro-particulate from water, like food coloring particles.
[02:50:29.904 --> 02:50:32.845]  Yet, they leave in the nutritional minerals that your body needs.
[02:50:33.066 --> 02:50:42.892]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than two cents per gallon.
[02:50:43.012 --> 02:50:47.801]  Get a 2-pack for only $99 or a 4-pack for only $188 by calling New Millennium at 888-803-4438.
[02:50:47.821 --> 02:50:49.564]  That's 888-803-4438 or order on the web at berkeywater.com.
[02:50:56.576 --> 02:50:58.297]  Hello friends, Alex Jones here.
[02:50:58.517 --> 02:51:02.219]  I want you to imagine waking up one morning to find out you've been murderized.
[02:51:02.539 --> 02:51:04.761]  An intruder has taken your personal possessions.
[02:51:05.261 --> 02:51:11.484]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[02:51:11.624 --> 02:51:16.487]  What's worse is, you realize he got it through your front door, because you left it unlocked.
[02:51:16.727 --> 02:51:25.732]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[02:51:26.093 --> 02:51:32.096]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[02:51:32.356 --> 02:51:35.378]  Turn your internet on and off with one simple switch.
[02:51:35.518 --> 02:51:38.619]  There's no software to load, and it's so easy to install.
[02:51:38.959 --> 02:51:44.041]  Right now, you can order your NET7 security switch from NET7 Technologies for only $39.95.
[02:51:44.861 --> 02:51:47.962]  For a limited time, receive free shipping with your order.
[02:51:48.382 --> 02:51:50.343]  Visit net7tech.com.
[02:51:50.503 --> 02:51:55.565]  That's NET, the number 7, tech.com, and start protecting yourself today!
[02:52:03.452 --> 02:52:16.741]  Look at your young men fighting Look at your women crying Look at your young men dying The way they've always done before
[02:52:20.944 --> 02:52:22.746]  Let's go.
[02:52:22.846 --> 02:52:33.396]  Look at the hate we're breeding.
[02:52:33.496 --> 02:52:37.420]  Look at the fear we're feeding.
[02:52:37.500 --> 02:52:40.203]  Look at the lives we're leading.
[02:52:40.263 --> 02:52:44.247]  The way we've always done before.
[02:52:45.626 --> 02:52:46.327]  Welcome back.
[02:52:46.347 --> 02:52:49.168]  You know, we don't have time to play that again, but we did play it.
[02:52:49.509 --> 02:52:51.250]  I've got the raw audio file.
[02:52:52.110 --> 02:52:53.051]  We're gonna post it.
[02:52:53.711 --> 02:53:00.716]  We'll post it with the questions that William did ask, that we even had a little computer slideshow we put together, so we'd know the questions.
[02:53:01.616 --> 02:53:02.937]  Really nice of him to do that.
[02:53:03.769 --> 02:53:11.714]  William, it's got to be encouraging though, because Gandhi did say that first they ignore you, then they laugh at you, then they attack you, then you win.
[02:53:11.734 --> 02:53:19.600]  And they are in the major attacking phase right now, and the truth is coming out, and time is on our side.
[02:53:19.620 --> 02:53:27.445]  Do you think they'll try to stage another 9-11 to smokescreen the fact that we're exposing them on the last attack they carried out?
