[00:00:00.349 --> 00:00:01.370]  I'm great.
[02:41:07.587 --> 02:41:08.548]  Let me say this, Alex.
[02:41:09.369 --> 02:41:12.271]  I know some of the things, like, you know, real legitimate sources.
[02:41:12.351 --> 02:41:21.358]  Carl Bernstein has said that over 400 mainstream media is controlled by the CIA, and he lists names, and it's right on Wikipedia.
[02:41:22.179 --> 02:41:23.480]  So that's quite interesting.
[02:41:23.540 --> 02:41:30.005]  And the other thing is, and you've mentioned this, and it really kind of caused me to think, is the dumbing down of America.
[02:41:31.056 --> 02:41:39.978]  I don't know if it was your show or one like it where they recently asked 70% of high school graduates who the vice president was and they could not answer it correctly.
[02:41:40.978 --> 02:41:43.018]  Now I tested this theory myself the other night.
[02:41:43.058 --> 02:41:49.259]  I drove to a fast food restaurant and a kid about 19 working behind the window and I just said, do you mind if I ask you a question?
[02:41:49.319 --> 02:41:49.899]  And he said, sure.
[02:41:49.959 --> 02:41:51.380]  And I said, who is the vice president?
[02:41:51.440 --> 02:41:52.660]  And do you know, he could not tell me.
[02:41:54.000 --> 02:41:55.660]  Now this is pretty scary stuff.
[02:41:56.481 --> 02:41:59.101]  It was done by design every bit of it.
[02:41:59.767 --> 02:42:06.673]  No, I blog quite a bit, and I've been posting because your videos are all available on YouTube.
[02:42:06.993 --> 02:42:09.335]  All of them.
[02:42:09.435 --> 02:42:11.797]  The Bohemian Grove, all of that.
[02:42:12.898 --> 02:42:19.404]  Your great interview with that Nazi guy, Gergen.
[02:42:21.846 --> 02:42:22.607]  That was classic.
[02:42:22.647 --> 02:42:25.769]  Now, I post that stuff and people will refute what they see with their own eyes.
[02:42:25.930 --> 02:42:27.511]  It's amazing how much I get attacked.
[02:42:29.591 --> 02:42:32.013]  Dick Cheney didn't say he was a member of the CFR.
[02:42:32.654 --> 02:42:33.594]  Well, let me tell you.
[02:42:33.614 --> 02:42:45.323]  I don't understand why a guy like Richard Perle, a non-government official, unelected, would have a private office in the Pentagon.
[02:42:45.783 --> 02:42:48.926]  Well, that's because he's a foreign Mossad agent.
[02:42:49.855 --> 02:42:53.037]  So they're first-class citizens here in the U.S.
[02:42:53.357 --> 02:42:54.638]  Listen, I appreciate your call.
[02:42:55.038 --> 02:42:55.998]  Good to hear from you, man.
[02:42:56.018 --> 02:42:56.959]  Glad to have you on board.
[02:42:57.739 --> 02:42:59.800]  Let's go to Skip in California.
[02:42:59.840 --> 02:43:01.181]  Skip, you're on the air.
[02:43:01.201 --> 02:43:03.883]  Hey, I just have a couple of quick points.
[02:43:04.023 --> 02:43:06.164]  One is a possible show suggestion.
[02:43:06.184 --> 02:43:17.570]  Do you think you'd be willing to do a broadcast just for those people in the government that listen to your show and basically tell them
[02:43:18.570 --> 02:43:23.133]  Hey, don't you realize they're gonna... everything they're gonna do to us, they're gonna do to you?
[02:43:23.593 --> 02:43:30.517]  And then just have a bunch of examples of people like Saddam, who was a CIA operative, and in the end, he got what he deserved?
[02:43:30.537 --> 02:43:32.018]  You see what I'm saying?
[02:43:33.119 --> 02:43:36.220]  Yeah, well, there's not... most people in the government now know the truth.
[02:43:36.260 --> 02:43:37.121]  See, that's the thing.
[02:43:37.701 --> 02:43:40.183]  But there are people out there who are just weak-minded.
[02:43:41.034 --> 02:43:48.958]  And they don't listen to radio, or they listen to Limbaugh, or maybe they watch a little O'Reilly, but for the rest of the time they're out at the country bar getting drunk.
[02:43:49.698 --> 02:43:55.881]  So, I mean, to them, again, they're that group of 70% that don't know who the Vice President is.
[02:43:57.381 --> 02:44:08.466]  And it's scary, but, I mean, really, we have to get to the point where we realize it is a minority that rules us, and a minority of brainwashed idiots that enforce for them.
[02:44:09.381 --> 02:44:12.682]  And so, yeah, I mean, I think it is important to speak to people in government.
[02:44:12.922 --> 02:44:14.543]  But most people in government are awake.
[02:44:14.563 --> 02:44:19.865]  They're just compartmentalized and powerless, like everybody else that is powerless in the system.
[02:44:20.205 --> 02:44:29.168]  We do have power, though, to continue to wake up those that aren't fully awake, to continue to educate those further that are educated, and to aggressively move forward
[02:44:29.648 --> 02:44:31.429]  And people know something's wrong.
[02:44:31.490 --> 02:44:33.491]  They don't know how bad it really is.
[02:44:33.971 --> 02:44:39.456]  I'm here to get people to realize that it's not just good ol' boy corruption, and it's not just George Bush.
[02:44:39.956 --> 02:44:47.321]  It is a predatory system where evil and wickedness and ruthlessness is honored.
[02:44:47.562 --> 02:44:49.463]  They try to one-up each other.
[02:44:49.503 --> 02:44:50.744]  They see it as an attribute.
[02:44:51.645 --> 02:44:52.886]  They are a cancer, folks.
[02:44:52.986 --> 02:44:54.667]  The world has cancer.
[02:44:55.470 --> 02:44:59.613]  And I'm trying to get us just to admit we have it, so we can cut it out.
[02:44:59.653 --> 02:45:00.134]  Anything else?
[02:45:01.295 --> 02:45:04.557]  Yeah, I just wanted to comment on everyone's favorite caller, Troy.
[02:45:04.577 --> 02:45:14.425]  I think there's only one reason that he can debate you and deny what you're saying, because he doesn't do any investigation.
[02:45:15.246 --> 02:45:19.049]  And when he doesn't see for himself or try to do the research,
[02:45:20.240 --> 02:45:23.121]  The information hasn't been presented to him, and that's why he denies it.
[02:45:23.401 --> 02:45:33.245]  But everyone that I've talked to about this that says I'm a conspiracy terrorist, I get them to watch Freedom to Fascism, they don't debate it.
[02:45:34.106 --> 02:45:41.068]  Then I get them to watch TerrorStorm, and I think a lot of people in the end have to agree with what I'm saying.
[02:45:42.169 --> 02:45:47.991]  But if anything, some people just get afraid at that point in time, and they don't want to know anymore, and it's kind of like
[02:45:48.869 --> 02:45:49.769]  That's okay.
[02:45:49.829 --> 02:45:51.910]  Listen, most people have always been cowards.
[02:45:51.990 --> 02:45:53.230]  Jellyfish, furniture.
[02:45:53.610 --> 02:45:55.150]  Most people aren't involved in history.
[02:45:55.470 --> 02:45:57.031]  They live their lives.
[02:45:58.191 --> 02:45:59.611]  They don't affect anything.
[02:45:59.771 --> 02:46:01.332]  They don't ever really live and they die.
[02:46:01.432 --> 02:46:02.392]  No one remembers them.
[02:46:02.712 --> 02:46:03.752]  They never really lived.
[02:46:04.072 --> 02:46:04.812]  Their furniture.
[02:46:05.113 --> 02:46:10.554]  It's 5% on our side and 5% on the evil side that are going to decide the contest.
[02:46:10.794 --> 02:46:11.674]  The Battle Royal.
[02:46:12.538 --> 02:46:17.924]  And we've got our force, and we're growing our force, and we're going to defeat them, and they know it.
[02:46:18.004 --> 02:46:18.945]  I appreciate your call.
[02:46:20.706 --> 02:46:26.032]  They've tried their best to wreck our society and use high-tech weapons on us and poison the water and everything else.
[02:46:26.092 --> 02:46:27.153]  It's just not going to work.
[02:46:28.154 --> 02:46:28.995]  It's not going to work.
[02:46:29.015 --> 02:46:29.635]  They're going to fail.
[02:46:30.816 --> 02:46:32.158]  We are taking this country back.
[02:46:32.198 --> 02:46:33.319]  We are defending the Republic.
[02:46:34.099 --> 02:46:35.379]  We are going to shut down the borders.
[02:46:35.399 --> 02:46:36.880]  We're going to deport the illegal aliens.
[02:46:37.300 --> 02:46:39.641]  We're going to kick out the Federal Reserve.
[02:46:39.961 --> 02:46:41.181]  We're going to arrest the traitors.
[02:46:41.301 --> 02:46:42.661]  We have to start believing that.
[02:46:43.902 --> 02:46:47.543]  Speaking of videos, I've done 2 hours and 46 minutes and haven't plugged them yet.
[02:46:48.383 --> 02:46:50.684]  We have America Freedom to Fascism in stock.
[02:46:51.244 --> 02:46:55.085]  When you get it for $19.95, you can get Terror Storm for $9.95.
[02:46:55.665 --> 02:47:02.127]  Even if you already have one of the films, take advantage of that discount and give one of them as a gift, or show it to your friends and family.
[02:47:02.737 --> 02:47:12.663]  I mean, it comes down to you doing what you just said you were doing, uh, there, Skip, is you're out there and you've woken up a bunch of people and then some you can't wake up.
[02:47:13.263 --> 02:47:14.123]  That's okay!
[02:47:16.245 --> 02:47:18.526]  You know, not everybody is going to fight this thing with us.
[02:47:18.546 --> 02:47:22.248]  Not everybody has it... Most people don't even have the respect for themselves.
[02:47:22.768 --> 02:47:25.590]  They're insecure walking into a building, you know, and people looking at them.
[02:47:26.330 --> 02:47:28.432]  So they sure don't see themselves as a leader.
[02:47:30.376 --> 02:47:32.757]  Standing up against something scary.
[02:47:34.277 --> 02:47:35.778]  You know, most men are cowards.
[02:47:36.758 --> 02:47:39.579]  That's why they take on the facsimiles of bravery.
[02:47:39.899 --> 02:47:46.380]  The sports cap, the sports shirt, the sticking the chest out, the bulging of the eyes, the swaggering.
[02:47:47.721 --> 02:47:49.401]  That's not courage, men.
[02:47:50.382 --> 02:47:52.702]  That is an imitation of it.
[02:47:54.143 --> 02:47:55.523]  And you need to understand that.
[02:47:56.760 --> 02:47:59.002]  And most women don't know what it is to be a woman.
[02:47:59.062 --> 02:48:03.624]  It's to be a provider, a lover, a helper, a creator.
[02:48:04.285 --> 02:48:05.786]  Not someone tarting about.
[02:48:06.706 --> 02:48:11.629]  As much as I like the way women tarting about look, it's still not good for society.
[02:48:12.510 --> 02:48:21.675]  The point is that you can't go into a game not intending to win.
[02:48:21.995 --> 02:48:23.917]  And I'm telling you folks, we can win this.
[02:48:25.228 --> 02:48:28.410]  We're faster, we outweigh the enemy, we're smarter, we're quicker.
[02:48:28.610 --> 02:48:29.611]  You just got to realize it.
[02:48:29.651 --> 02:48:31.091]  I mean, they're scared to death right now.
[02:48:31.151 --> 02:48:36.354]  They realize the sleeping giant is starting to wake up and we're going to take them down.
[02:48:38.376 --> 02:48:42.838]  The alternative is total slavery and dehumanization, a Matrix-like Brave New World.
[02:48:42.898 --> 02:48:43.819]  I'm not going to be part of that.
[02:48:44.179 --> 02:48:50.423]  Speaking of my videos, all of my films in super high bandwidth down to low bandwidth are on PrisonPlanet.tv.
[02:48:52.432 --> 02:48:58.916]  We've got a special running until the 14th of this month, a New Year's special, and it's over until next holiday season.
[02:49:00.737 --> 02:49:04.860]  You can get almost half a year free by signing up at PrisonPlanet.tv today.
[02:49:05.140 --> 02:49:11.003]  You sign up for a year, you pay for 6 months, you get 5.3 months free.
[02:49:11.023 --> 02:49:15.326]  You pay for a little more than 6 months, and you get 5 plus months free.
[02:49:16.574 --> 02:49:22.696]  Or you can get a trial membership at 595-PrisonPlanet.tv and see it as a donation to us.
[02:49:22.716 --> 02:49:24.296]  People always want to contribute and support.
[02:49:25.236 --> 02:49:39.260]  You contribute and support by buying Terror Storm, Freedom to Fascism, Loose Chain 2nd Edition, My New Police, my original 7 films are now re-released, all of them on DVD, now brand new, re-released, the Police State Trilogy on DVD.
[02:49:40.180 --> 02:49:41.920]  You save 45% off when you get that.
[02:49:42.701 --> 02:49:43.821]  But go to PrisonPlanet.tv.
[02:49:45.560 --> 02:49:52.405]  PrisonPlanet.tv and get a membership or if you had one and used it but don't use it anymore, re-up it.
[02:49:52.625 --> 02:49:53.125]  Use it again.
[02:49:53.505 --> 02:49:55.367]  It's an incredible activist tool.
[02:49:55.967 --> 02:49:59.989]  All 15 of my films, my book, Paul Watson's book, my weekly TV reports.
[02:50:00.029 --> 02:50:04.812]  We put up three reports in the last week, specially produced reports.
[02:50:04.832 --> 02:50:07.314]  We've got two more coming up.
[02:50:07.414 --> 02:50:10.896]  One about occult symbolism in England and in Texas and other areas.
[02:50:11.497 --> 02:50:13.358]  A big black pentagram they've got out at the
[02:50:14.088 --> 02:50:14.948]  Texas Capitol.
[02:50:15.408 --> 02:50:16.248]  We go into that.
[02:50:16.769 --> 02:50:20.609]  Another big report that's coming out.
[02:50:20.649 --> 02:50:25.490]  I mean, just a bunch of amazing stuff on PrisonPlanet.tv.
[02:50:26.010 --> 02:50:30.091]  And your membership makes what we do possible.
[02:50:30.151 --> 02:50:31.691]  So this is a call for support.
[02:50:32.492 --> 02:50:36.972]  And I'd rather plug it once a day and then have you really support it than just sit here and beat you over the head with it.
[02:50:37.473 --> 02:50:39.493]  If you believe in what we're doing, you need to support us.
[02:50:41.159 --> 02:50:46.143]  And because I don't want to be associated with the scallywags and the shysters and the rest of them.
[02:50:46.544 --> 02:50:48.065]  I don't sit here and ask for donations.
[02:50:49.106 --> 02:50:53.649]  You know, and sit here and plead and scrabble around and do all of that.
[02:50:54.390 --> 02:50:57.072]  We just ask you to support us because we think we're doing good work.
[02:50:57.112 --> 02:50:58.073]  We've made some good films.
[02:50:58.313 --> 02:50:59.874]  We carry other good books and videos.
[02:51:00.114 --> 02:51:01.796]  So you're not just supporting us, you're supporting them.
[02:51:03.301 --> 02:51:04.402]  Uh, we're here.
[02:51:04.882 --> 02:51:05.943]  Support our materials.
[02:51:06.443 --> 02:51:09.745]  You can go up to PrisonPlanet.tv and burn everything we've done to disk.
