[00:00:01.751 --> 00:00:02.471]  Free.
[02:41:51.701 --> 02:41:53.801]  Louder!
[02:41:53.801 --> 02:41:56.582]  I merely said that I was a very rich man.
[02:41:56.582 --> 02:42:02.743]  I have such a luxury of choices that I choose the following.
[02:42:02.743 --> 02:42:07.784]  To be given an assassin to whom I shall tell the method of my execution.
[02:42:08.860 --> 02:42:11.761]  This is unheard of!
[02:42:11.761 --> 02:42:15.882]  Mr. Wordsworth, we don't understand the nature of the request.
[02:42:15.882 --> 02:42:22.623]  Simply that you are to assign me my assassin, but only he and I will know the way that I'm to die.
[02:42:22.623 --> 02:42:29.625]  That will be acceptable, Mr. Wordsworth, provided your liquidation is accomplished within the 48-hour period.
[02:42:29.625 --> 02:42:32.986]  Just one final request.
[02:42:32.986 --> 02:42:33.986]  I should like to die
[02:42:35.035 --> 02:42:37.877]  With an audience.
[02:42:37.877 --> 02:42:39.938]  Ah, Mr. Wordsworth.
[02:42:39.938 --> 02:42:43.740]  That can be arranged indeed.
[02:42:43.740 --> 02:42:47.142]  It's not unusual that we televise executions.
[02:42:47.142 --> 02:42:50.504]  It has an educative effect on the population.
[02:42:50.504 --> 02:42:52.405]  I have no doubt.
[02:42:52.405 --> 02:42:56.847]  Now, as to the time of the liquidation, Mr. Wordsworth?
[02:42:56.847 --> 02:42:58.969]  Midnight tomorrow.
[02:42:58.969 --> 02:43:00.710]  And the place?
[02:43:00.710 --> 02:43:01.390]  In my room.
[02:43:03.524 --> 02:43:07.428]  Agreed, Mr. Wordsworth.
[02:43:07.428 --> 02:43:11.572]  We will choose your liquidator and send him over to you.
[02:43:11.572 --> 02:43:18.538]  He will be duty-bound, just as you prescribed, not to divulge the method you've decided upon.
[02:43:18.538 --> 02:43:20.660]  That will be all, Mr. Wordsworth.
[02:43:20.660 --> 02:43:22.482]  You may leave and return to your room.
[02:43:34.315 --> 02:43:37.317]  An odd one, and with very bizarre requests.
[02:43:37.317 --> 02:43:39.939]  Bizarre, yes, but to our advantage.
[02:43:39.939 --> 02:43:45.543]  We'll show the people how this obsolete man, this librarian, dies.
[02:44:15.154 --> 02:44:19.557]  Come in, Chancellor.
[02:44:19.557 --> 02:44:21.439]  Thank you for coming.
[02:44:21.439 --> 02:44:23.820]  Very irregular, Mr. Winsworth.
[02:44:23.820 --> 02:44:26.342]  Do you know why I've come?
[02:44:26.342 --> 02:44:27.603]  Do you?
[02:44:27.603 --> 02:44:29.104]  Well, I invited you.
[02:44:29.104 --> 02:44:31.446]  By all means, you invited me.
[02:44:31.446 --> 02:44:33.388]  But why would I honor such an invitation?
[02:44:33.388 --> 02:44:38.832]  A cryptic note from a condemned man asking me to visit him in the last hours of his life.
[02:44:38.832 --> 02:44:40.213]  Hardly the norm, Mr. Winsworth.
[02:44:40.213 --> 02:44:41.774]  Hardly what I'm accustomed to.
[02:44:44.537 --> 02:44:48.140]  And somewhat suspect, too.
[02:44:48.140 --> 02:44:54.526]  How do I know I wasn't invited here for that last pitiful gesture of vengeance on the part of the condemned?
[02:44:54.526 --> 02:44:56.607]  Yes.
[02:44:56.607 --> 02:45:00.030]  I'm somewhat responsible for the finding in your case.
[02:45:00.030 --> 02:45:06.416]  Your demise in less than an hour can be attributed at least in part to my decision.
[02:45:09.804 --> 02:45:11.685]  I'll tell you why I came, Mr. Wordsworth.
[02:45:11.685 --> 02:45:13.906]  Perhaps to prove something to you.
[02:45:13.906 --> 02:45:14.527]  And that is?
[02:45:14.527 --> 02:45:17.588]  To prove to you that the state has no fears.
[02:45:17.588 --> 02:45:19.510]  None at all.
[02:45:19.510 --> 02:45:23.732]  You know, you will forgive me, Chancellor, but that has all the elements of a joke.
[02:45:23.732 --> 02:45:28.675]  I mean, you come to my room to prove that the state isn't afraid of me?
[02:45:28.675 --> 02:45:36.259]  What an incredible burden I must be to have to prove that the state isn't afraid of an obsolete librarian like myself.
[02:45:36.259 --> 02:45:37.640]  Now, I'll tell you the reason you came.
[02:45:38.596 --> 02:45:41.558]  I'll tell you the reason, though you won't admit it to yourself.
[02:45:41.558 --> 02:45:43.139]  Now it's my turn to ask.
[02:45:43.139 --> 02:45:44.860]  What might that be?
[02:45:44.860 --> 02:45:47.582]  I don't fit your formulae.
[02:45:47.582 --> 02:45:51.644]  Somewhere along the line, there's been a deviation from the norm.
[02:45:51.644 --> 02:45:55.507]  Your state has everything categorized, indexed, tagged.
[02:45:55.507 --> 02:45:56.887]  You are the strength.
[02:45:56.887 --> 02:45:59.049]  People like me are the weakness.
[02:45:59.049 --> 02:46:01.390]  You control and order and dictate.
[02:46:01.390 --> 02:46:03.932]  And my kind merely follow and obey.
[02:46:05.106 --> 02:46:06.367]  But something's gone wrong, hasn't it?
[02:46:06.367 --> 02:46:07.368]  I don't fit.
[02:46:07.368 --> 02:46:07.588]  Do I?
[02:46:07.588 --> 02:46:09.750]  Yes, you fit, Mr. Wordsworth.
[02:46:09.750 --> 02:46:12.932]  In a few moments, you'll be cringing and pleading, just like they all do.
[02:46:12.932 --> 02:46:15.334]  Oh, yes, indeed, you fit.
[02:46:15.334 --> 02:46:19.537]  You've got a worthless, miserable little life, but you've also got an instinct for survival.
[02:46:19.537 --> 02:46:28.924]  And in a few minutes, when you feel life slipping away, when you feel that your survival is just a question of minutes, we'll see then which is the stronger, Mr. Wordsworth, the State or the Librarian.
[02:46:33.254 --> 02:46:36.737]  I take it you've had a talk with whoever's assigned your liquidation?
[02:46:36.737 --> 02:46:39.159]  Yes, I have indeed.
[02:46:39.159 --> 02:46:40.961]  Midnight, isn't it?
[02:46:40.961 --> 02:46:42.782]  Yes, in about 40 minutes.
[02:46:42.782 --> 02:46:46.345]  See, they brought this equipment here early this afternoon.
[02:46:46.345 --> 02:46:50.128]  There's two men put that up in less than 15 minutes.
[02:46:50.128 --> 02:46:52.230]  It's remote control.
[02:46:52.230 --> 02:46:56.053]  Very efficient.
[02:46:56.053 --> 02:46:57.655]  Well, we're being televised now.
[02:46:58.467 --> 02:47:01.610]  It's not unusual that we televise executions, Mr. Wordsworth.
[02:47:01.610 --> 02:47:05.995]  Last year in the mass executions, we televised around the clock.
[02:47:05.995 --> 02:47:09.439]  1,300 people were put to death in less than six hours.
[02:47:09.439 --> 02:47:11.000]  You never learn, do you?
[02:47:11.000 --> 02:47:13.103]  History teaches you nothing.
[02:47:13.103 --> 02:47:15.045]  On the contrary, history teaches us a great deal.
[02:47:15.822 --> 02:47:19.803]  We had predecessors, Mr. Wordsworth, who had the beginnings of the right idea.
[02:47:19.803 --> 02:47:20.163]  Yes.
[02:47:20.163 --> 02:47:20.483]  Hitler.
[02:47:20.483 --> 02:47:21.343]  Hitler, of course.
[02:47:21.343 --> 02:47:21.743]  Stalin.
[02:47:21.743 --> 02:47:22.723]  Stalin, too.
[02:47:22.723 --> 02:47:24.424]  But their era was not one of excess.
[02:47:24.424 --> 02:47:27.144]  It was simply not going far enough.
[02:47:27.144 --> 02:47:31.965]  Too many undesirables were left around, and undesirables eventually form a core of resistance.
[02:47:31.965 --> 02:47:35.686]  Old people, for example, clutch at the past and won't accept the new.
[02:47:35.686 --> 02:47:38.146]  The sick, the maimed, and the deformed.
[02:47:38.146 --> 02:47:40.307]  They fasten onto the healthy body and damage it.
[02:47:40.307 --> 02:47:42.127]  So we eliminate them.
[02:47:43.183 --> 02:47:51.180]  And people like yourself, they can perform no useful function for the state, so... we put an end to them.
[02:47:51.180 --> 02:47:52.864]  What a charming room you have, Mr. Wordsworth.
[02:47:54.991 --> 02:47:56.553]  Yes, over 20 years.
[02:47:56.553 --> 02:47:58.354]  I built that furniture myself.
[02:47:58.354 --> 02:48:00.916]  Yes, so I understand, Mr. Wordsworth.
[02:48:00.916 --> 02:48:04.518]  That incidentally has kept you alive, that particular talent.
[02:48:04.518 --> 02:48:10.302]  Carpentry, you see, is a skill, and the state provides considerable leeway for people who possess certain skills.
[02:48:10.302 --> 02:48:15.666]  Unfortunately, you went as far as you could go, which was insufficient.
[02:48:15.666 --> 02:48:22.391]  So, in a few moments, it will be the end of a rather fruitless life, and Mr. Romney Wordsworth
[02:48:23.331 --> 02:48:29.458]  Librarian goes to his own nirvana.
[02:48:29.458 --> 02:48:31.921]  That's what they call it in your books, isn't it, Mr. Wordsworth?
[02:48:31.921 --> 02:48:37.067]  You're not facing the camera, Mr. Wordsworth.
[02:48:37.067 --> 02:48:38.068]  You're cheating your audience.
[02:48:38.068 --> 02:48:40.751]  They want to see how you die.
[02:48:40.751 --> 02:48:42.213]  Please, Mr. Wordsworth, turn around.
[02:48:42.213 --> 02:48:43.614]  Face the camera.
[02:48:43.614 --> 02:48:44.055]  That's right.
[02:48:45.800 --> 02:48:47.201]  And don't stifle your emotions.
[02:48:47.201 --> 02:48:49.002]  If you feel like crying, go ahead and cry.
[02:48:49.002 --> 02:48:51.744]  Or if you want to plead, plead by all means.
[02:48:51.744 --> 02:48:54.186]  Some high state official might take pity on you.
[02:48:54.186 --> 02:48:55.687]  Yes, that would please you, wouldn't it?
[02:48:55.687 --> 02:49:00.310]  A little abject hand-wringing, chest-pounding, falling down on my hands and knees.
[02:49:00.310 --> 02:49:02.711]  Sit yourself, Mr. Wedsworth.
[02:49:02.711 --> 02:49:05.773]  Unfortunately, I don't have time to be entertained by them when they do come.
[02:49:05.773 --> 02:49:10.576]  I have another appointment this evening.
[02:49:10.576 --> 02:49:10.937]  Chancellor.
[02:49:14.631 --> 02:49:16.592]  Make it brief, Mr. Wordsworth.
[02:49:16.592 --> 02:49:17.872]  You have plenty of time.
[02:49:17.872 --> 02:49:18.993]  You're not going anywhere.
[02:49:18.993 --> 02:49:21.734]  How's that?
[02:49:21.734 --> 02:49:24.455]  I'm afraid I haven't been very fair with you.
[02:49:24.455 --> 02:49:27.656]  I invited you here for a very special reason.
[02:49:27.656 --> 02:49:32.158]  Would you like to know the method that I've chosen for my liquidation?
[02:49:32.158 --> 02:49:39.761]  Well, in very few moments, here in this room, a bomb is going off.
[02:49:39.761 --> 02:49:41.262]  Very thoughtful, Mr. Wordsworth.
[02:49:42.967 --> 02:49:45.449]  Relatively quick and painless death.
[02:49:45.449 --> 02:49:46.269]  Yes, isn't it?
[02:49:46.269 --> 02:49:53.495]  However, knowing that you're going to be blown to smithereens in a few moments isn't the happiest thought in the world, is it?
[02:49:53.495 --> 02:49:54.395]  Is it?
[02:49:54.395 --> 02:49:56.777]  That depends on the individual, Mr. Wordsworth.
[02:49:56.777 --> 02:49:57.437]  Indeed it does.
[02:49:57.437 --> 02:50:07.064]  What kind of idiocy is this, Mr. Wordsworth?
[02:50:07.064 --> 02:50:08.545]  You've locked the door.
[02:50:08.545 --> 02:50:10.326]  Oh, yes, yes, I've locked the door.
[02:50:10.326 --> 02:50:10.947]  Now, question.
[02:50:12.924 --> 02:50:19.088]  Now, how does a man react to the knowledge that he's going to be blown to bits within half an hour?
[02:50:19.088 --> 02:50:22.289]  Answer.
[02:50:22.289 --> 02:50:23.570]  That depends on the individual.
[02:50:23.570 --> 02:50:36.898]  So for myself, I'm going to sit down and read my Bible.
[02:50:36.898 --> 02:50:39.239]  It's been hidden here for over 20 years.
[02:50:39.239 --> 02:50:41.120]  It's a crime punishable by death.
[02:50:42.308 --> 02:50:46.830]  So it's the only possession that I have that has any value at all to me.
[02:50:46.830 --> 02:50:51.171]  So I'm going to just sit down and read it.
[02:50:51.171 --> 02:50:54.972]  Until the moment of my death.
[02:50:54.972 --> 02:50:58.153]  How will you spend your last moments, Chancellor?
[02:50:58.153 --> 02:50:59.234]  This is insane, Wordsworth.
[02:50:59.234 --> 02:51:05.516]  Let me out of here.
[02:51:05.516 --> 02:51:06.296]  Let me out of here!
[02:51:06.296 --> 02:51:07.016]  Someone!
[02:51:07.016 --> 02:51:07.697]  Guards!
[02:51:07.697 --> 02:51:08.097]  Someone!
[02:51:08.097 --> 02:51:09.097]  Anyone!
[02:51:09.097 --> 02:51:10.398]  You're cheating the audience.
[02:51:10.398 --> 02:51:11.518]  You're not facing the cameras.
[02:51:15.239 --> 02:51:16.740]  God, somebody down there!
[02:51:16.740 --> 02:51:18.520]  Well, there's no sense in wasting your breath.
[02:51:18.520 --> 02:51:19.121]  There's nobody there.
[02:51:19.121 --> 02:51:20.961]  That's one of the rules you made up yourself.
[02:51:20.961 --> 02:51:22.982]  Isolate the person to be liquidated.
[02:51:22.982 --> 02:51:23.762]  That's what you said.
[02:51:23.762 --> 02:51:26.463]  Oh, no, no, no, no.
[02:51:26.463 --> 02:51:28.924]  I think that there's no one there, so why don't you face the camera?
[02:51:28.924 --> 02:51:29.665]  It's very important.
[02:51:29.665 --> 02:51:30.525]  You said so yourself.
[02:51:34.486 --> 02:51:38.009]  It's here, after a year in production and traveling to distant lands.
[02:51:38.009 --> 02:51:40.291]  My new film Terror Storm is complete.
[02:51:40.291 --> 02:51:47.938]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:51:48.621 --> 02:51:56.084]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:51:56.084 --> 02:52:07.809]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:52:07.809 --> 02:52:11.771]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[02:52:11.771 --> 02:52:14.032]  It's an anthology of government crimes.
[02:52:14.032 --> 02:52:17.874]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:52:18.474 --> 02:52:31.260]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[02:52:31.260 --> 02:52:36.063]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[02:52:36.063 --> 02:52:40.685]  It provides you with purified water, light, power, and communications ability.
[02:52:40.685 --> 02:52:46.748]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles,
[02:52:47.008 --> 02:52:54.931]  The Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[02:52:54.931 --> 02:53:11.917]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones.
