[00:00:00.049 --> 00:00:00.449]  The 8.
[02:33:07.631 --> 02:33:10.092]  The Carlisle Group, oil, opium, and bombs.
[02:33:10.132 --> 02:33:11.372]  And we get into Carlisle Group.
[02:33:11.872 --> 02:33:16.634]  Just busy buying up radio and TV stations in one of the muscle groups behind Clear Channel.
[02:33:18.687 --> 02:33:26.350]  And it gets into all the different things they're doing and how they're involved with Bin Laden and BCCI and all of this.
[02:33:27.090 --> 02:33:33.132]  Here's an article from 1997, BBC headline, Representatives of the Taliban are in Texas visiting the headquarters of Unicole.
[02:33:34.913 --> 02:33:37.514]  And then I get into the buildings collapse.
[02:33:37.554 --> 02:33:39.374]  Building 7 wasn't even hit by an aircraft.
[02:33:39.655 --> 02:33:46.037]  It fell faster than a bowling ball would fall from that many stories.
[02:33:47.432 --> 02:33:47.652]  I think?
[02:34:00.925 --> 02:34:02.446]  Pre-warnings to public officials.
[02:34:02.486 --> 02:34:09.732]  September 12, 2001, San Francisco Chronicle reported that Mayor Willie Brown was warned by federal government not to fly on September 11th.
[02:34:09.832 --> 02:34:15.036]  Salman Rushdie, The Times of London admitted, and they called the FAA, and the FAA said yes for his safety.
[02:34:15.296 --> 02:34:20.220]  He was banned from flying in New York for the month of September, and that was September 3rd.
[02:34:20.280 --> 02:34:24.283]  Salman Rushdie, author of the Satanic Verses, got a warning from U.S.
[02:34:24.303 --> 02:34:25.504]  authorities not to fly.
[02:34:25.524 --> 02:34:28.947]  They went so far as to ban him from air travel.
[02:34:28.967 --> 02:34:30.508]  The FAA admits on record that they
[02:34:31.218 --> 02:34:43.621]  took this action, and that's the Times of London's September 27, 2001, Rushdie's air ban is the key word, key term, you want to pull that article up.
[02:34:45.062 --> 02:35:00.446]  Warnings from abroad, the Egyptians, the Israelis, the Germans, the French, everybody warned us that it was about to happen, because they were getting the background chatter of the CIA agents, the so-called hijackers, as they went around creating their ledger, creating their background.
[02:35:02.378 --> 02:35:04.759]  And there's just page after page of warnings from abroad.
[02:35:04.900 --> 02:35:07.001]  Flight school warnings.
[02:35:07.721 --> 02:35:13.945]  Again, you had all these different FBI agents with specifics of the plans to fly planes into the World Trade Center.
[02:35:14.025 --> 02:35:16.106]  Specifically, memos to the White House.
[02:35:16.146 --> 02:35:17.467]  And all they got back was W1999.
[02:35:18.448 --> 02:35:20.429]  You'll be arrested if you say anything.
[02:35:20.649 --> 02:35:22.970]  Bill Clinton had three chances to arrest bin Laden.
[02:35:24.011 --> 02:35:26.132]  All these different times they could kill him.
[02:35:26.192 --> 02:35:31.956]  A special forces colonel was quoted in the BBC as saying they had bin Laden in their sights multiple times and weren't allowed to kill him.
[02:35:34.239 --> 02:35:40.526]  They flew out 8,000 Taliban and Al Qaeda to safety in the middle of the so-called Afghan war and paid them in gold bars.
[02:35:40.866 --> 02:35:43.910]  Fox News admitted that and said it was a CIA accident.
[02:35:45.111 --> 02:35:51.879]  And yeah, Pakistan's our ally and bin Laden's doing television tapings from Pakistan saying he's going to get us right when Bush needs him.
[02:35:53.821 --> 02:35:59.302]  Again, eye in the sky, we've got Extra Long with all their keywords, software listening, saying they didn't know what was going on.
[02:35:59.382 --> 02:36:02.163]  All the different agents that came forward to stand up against the corruption.
[02:36:02.683 --> 02:36:04.843]  Colonel Stephen Butler coming forward and all the rest.
[02:36:05.263 --> 02:36:07.884]  The $7 million lawsuit by Attorney Stanley Hilton.
[02:36:09.204 --> 02:36:13.545]  Protecting the Taliban, you're saying, hey, wait a minute, what was that whole war about?
[02:36:14.545 --> 02:36:16.566]  We went in there and took out the Taliban, right?
[02:36:16.666 --> 02:36:18.406]  No, the military escorted a couple
[02:36:19.439 --> 02:36:23.042]  100 goat herders to torture them publicly at Camp X-Ray in Guantanamo Bay.
[02:36:23.422 --> 02:36:32.409]  The real leadership of Al-Qaeda, the Taliban, the few that were left in Afghanistan when the war started, were flown out to safety and paid in gold bars in Pakistan by the U.S.
[02:36:32.449 --> 02:36:33.190]  federal government.
[02:36:33.930 --> 02:36:35.531]  Source, Times of London, January 21st, 2002.
[02:36:36.092 --> 02:36:36.752]  U.S.
[02:36:37.573 --> 02:36:38.954]  let Taliban men escape.
[02:36:38.994 --> 02:36:39.775]  Yeah, flew them out by C-130.
[02:36:40.894 --> 02:36:51.979]  It's like that Reuters article that Dr. Stan Monteith likes to read about that the Special Forces Colonel had got Taliban al Qaeda surrounded, all of a sudden a fleet of like a hundred black helicopters shows up, U.S.
[02:36:51.999 --> 02:36:53.840]  helicopters, and picks them up and flies them out.
[02:36:54.101 --> 02:36:55.661]  That's Reuters, people!
[02:36:57.442 --> 02:36:59.823]  Conspiracy fact, folks.
[02:37:00.564 --> 02:37:01.984]  This stuff is going on.
[02:37:02.004 --> 02:37:04.426]  And, of course, there's the David Chippers interview that I did.
[02:37:05.866 --> 02:37:09.068]  There's just all the countless pieces of evidence.
[02:37:10.797 --> 02:37:13.119]  Pakistan's secret police in the airlift of evil.
[02:37:13.139 --> 02:37:14.000]  That's one of the biggest.
[02:37:15.801 --> 02:37:20.745]  And then you have the head of Pakistani intelligence, this general who'd been to the U.S.
[02:37:20.785 --> 02:37:21.666]  twice in his life.
[02:37:21.986 --> 02:37:33.515]  The second time was September 11th, having dinner with George Tenet, head of the CIA, and Porter Goss and Graham, the heads of the intelligence committees, having a meal while the CIA runs a drill of flying planes into buildings.
[02:37:33.815 --> 02:37:36.117]  And Nourad is ordered to stand down for over an hour.
[02:37:37.273 --> 02:37:38.174]  You want to keep going?
[02:37:38.214 --> 02:37:39.595]  I mean, it just goes on and on.
[02:37:39.635 --> 02:37:42.678]  I haven't even gotten to the real meat of all this.
[02:37:42.698 --> 02:37:46.682]  Let's not do any background on September 11th.
[02:37:46.722 --> 02:37:47.883]  We're running out of time.
[02:37:47.923 --> 02:37:51.206]  Let's just cover it from September 11th.
[02:37:55.632 --> 02:37:56.913]  Well, let's go from September 7th.
[02:37:56.933 --> 02:37:58.294]  September 7th, 2001.
[02:37:58.374 --> 02:38:11.425]  Florida Governor Jeb Bush signs a two-year emergency executive order making new provisions for the Florida National Guard to assist law enforcement and emergency management personnel in the event of a large civil disturbance, disaster, or acts of terrorism.
[02:38:11.465 --> 02:38:11.765]  Sorts.
[02:38:12.105 --> 02:38:15.868]  State of Florida website listing governor's executive orders and the Associated Press.
[02:38:16.469 --> 02:38:17.290]  September 6th and 7th.
[02:38:19.125 --> 02:38:22.247]  Put options, a speculation that stock will go down, totaling $4,744.
[02:38:23.728 --> 02:38:26.891]  Record levels are purchased on the United Airlines stock.
[02:38:27.371 --> 02:38:31.314]  Opposed to only 396 call options, speculation that stock will go up.
[02:38:31.754 --> 02:38:34.736]  This is a dramatic and abnormal increase in sales of options.
[02:38:35.277 --> 02:38:40.261]  Many of the United puts are purchased through Deutsche Bank, A.B.
[02:38:40.321 --> 02:38:46.185]  Brown, a firm managed by the current Executive Director of the CIA, Buzzy Kromgaard.
[02:38:48.064 --> 02:38:50.485]  That source on that's Reuters and everything else.
[02:38:50.945 --> 02:38:58.287]  September 10th, put options totaling $4,516 are purchased on American Airlines as compared to $748, all options.
[02:38:59.287 --> 02:39:06.128]  September 6th and 11th, no other airlines show any similar trading patterns to those experienced by United American.
[02:39:06.549 --> 02:39:10.230]  The put options purchased on both airlines were 600% above normal.
[02:39:10.750 --> 02:39:16.051]  This at a time when Reuters issued a business report stating airline stocks may be poised to take off.
[02:39:18.553 --> 02:39:28.321]  And, uh, it has been documented the CIA, the Israeli Mossad, and many other intelligence agencies monitored stock trading in real time using highly advanced programs reported to be descended from the PROMIS software.
[02:39:28.361 --> 02:39:32.245]  This is to alert national intelligence services of just such kinds of attacks.
[02:39:32.685 --> 02:39:36.428]  PROMIS was reported to be recently, as June 2001, to be in some of Bin Laden's possession.
[02:39:36.829 --> 02:39:41.933]  As a result of recent stories by Fox, both the FBI and Justice Department have confirmed its use of U.S.
[02:39:41.973 --> 02:39:42.934]  intelligence gathering.
[02:39:43.314 --> 02:39:48.937]  But they didn't think anything of United American having record puts put against them, and when it led back to the U.S.
[02:39:48.977 --> 02:39:50.198]  government, the story was killed.
[02:39:53.660 --> 02:39:59.863]  And, uh, again, September 9th, President Bush is presented with detailed plans for an overthrow of Al Qaeda.
[02:40:01.264 --> 02:40:08.008]  MSNBC, September 10th, 2001, this item was been removed solely at the request of the party previously named in this
[02:40:08.752 --> 02:40:19.815]  It goes on, recent court proceedings which occurred after the news story had cited have indicated that there was no connection between the story listed and it gets all into that Mike Vreeland case.
[02:40:19.835 --> 02:40:21.156]  I'm reading some Rupert stuff.
[02:40:21.736 --> 02:40:30.278]  Continues, according to Newsweek, a group of top Pentagon officials suddenly cancels trip plans for the next morning, apparently because of security concerns.
[02:40:30.718 --> 02:40:32.699]  September 10th, source of Newsweek, September 24th.
[02:40:33.917 --> 02:40:47.062]  September 10, 2001, Houston Chronicle reports the FBI was notified of a 5th grader from a Dallas suburb who told his teacher tomorrow World War III will begin in the United States and the United States will lose.
[02:40:47.603 --> 02:40:53.965]  The Chronicle was unclear on specifically when the Garland Texas School District officials told the FBI about the incident.
[02:40:57.105 --> 02:41:01.387]  Problem is, folks, I'm reading like a half page of this, and I've got like five different timelines.
[02:41:01.467 --> 02:41:08.190]  My timeline, other people's timelines, and I've got stacks of mainstream news articles on each one of these points that I've read dozens of times on air.
[02:41:08.550 --> 02:41:16.933]  I have just 500-and-something links on Prison Planet, hundreds of links on InfoWars, government ministers saying the same thing we're saying, just wall-to-wall evidence.
[02:41:16.953 --> 02:41:17.753]  It's ridiculous!
[02:41:20.274 --> 02:41:22.395]  I can't even get to September 11th itself.
[02:41:22.595 --> 02:41:25.737]  I can't even get to the date of the attack and what happened there.
[02:41:27.939 --> 02:41:29.661]  Oh, I'll try to get to some of them when we get back.
[02:41:29.741 --> 02:41:31.783]  It's just... It's unbelievable.
[02:41:31.823 --> 02:41:33.885]  You better research this for yourself, please.
[02:41:36.147 --> 02:41:40.491]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[02:41:40.672 --> 02:41:45.096]  Police State 3 details the architecture, goals, and operations of the New World Order.
[02:41:45.256 --> 02:41:49.640]  There is a chance to use this disaster for the New World Order.
[02:41:49.660 --> 02:41:51.002]  The New World Order.
[02:41:51.802 --> 02:41:52.703]  Panama.
[02:41:52.783 --> 02:41:57.006]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[02:41:57.066 --> 02:42:04.012]  We rip the sinister Patriot Act legislation one and two apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[02:42:04.132 --> 02:42:06.194]  You will lose your liberty.
[02:42:06.394 --> 02:42:16.942]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[02:42:17.142 --> 02:42:18.063]  If you want to understand
[02:42:18.143 --> 02:42:18.403]  That's 888-253-3139.
[02:42:18.483 --> 02:42:19.784]  Order today and spread the word!
[02:42:35.760 --> 02:42:39.642]  Black Berkey replacement elements are ideal for use in any gravity filter.
[02:42:39.883 --> 02:42:45.326]  These self-sterilizing filters can transform raw pond and lake water into delicious crystal clear drinking water.
[02:42:45.586 --> 02:42:55.952]  Ideal for travel or outdoor events and perfect in the event of hostile filtration environments such as local or national emergencies because they remove both harmful chemicals and pathogenic bacteria from water.
[02:42:56.132 --> 02:43:00.455]  So powerful they can remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[02:43:00.655 --> 02:43:09.020]  Trihalomethanes and volatile organic chemicals such as Atrazine, Benzene, Chlorine, Chloroform, and NTBE are removed to below detectable limits.
[02:43:09.281 --> 02:43:15.665]  They reduce nitrates and unwanted metals such as lead, mercury, aluminum, copper, and foul tastes like chlorine and sulfur odors.
[02:43:15.765 --> 02:43:20.248]  Yet the Black Berkey Filter Elements leave in the helpful and beneficial minerals that your body needs.
[02:43:20.468 --> 02:43:24.671]  Normally $48 each, get a 2-pack for only $91 or 4-packs for only $173.
[02:43:25.051 --> 02:43:29.374]  Get the powerful Black Berkey Replacement Filters now by calling New Millennium at 888-
[02:43:30.314 --> 02:43:30.595]  803-4438.
[02:43:31.315 --> 02:43:34.157]  That's 888-803-4438.
[02:43:34.318 --> 02:43:40.883]  It's here, and Ted Anderson from Midas Resources wants to be sure you call right now and get yours today.
