[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[03:21:58.940 --> 03:22:01.683]  Dad, I'm really afraid of what's happening with the economy.
[03:22:01.683 --> 03:22:06.127]  There's too much civil unrest, too much terrorism, and unstable global markets.
[03:22:06.127 --> 03:22:08.729]  I'm tired of riding the ups and downs of the market.
[03:22:08.729 --> 03:22:09.850]  It reminds me of 2008.
[03:22:09.850 --> 03:22:11.792]  I was caught off guard then.
[03:22:11.792 --> 03:22:13.574]  How do I prepare for the worst now?
[03:22:13.574 --> 03:22:15.636]  What'll I do if the dollar collapses?
[03:22:15.636 --> 03:22:18.258]  You gotta stop worrying, son, and take action.
[03:22:18.258 --> 03:22:21.821]  It's time to think about a precious metals private storage IRA.
[03:22:21.821 --> 03:22:24.684]  Or, uh, an investment in silver with the Gold Silver Group.
[03:22:24.944 --> 03:22:28.691]  Like I said before, you insure your house, your car, your kids and your life.
[03:22:28.691 --> 03:22:30.414]  Don't you think it's time to insure your wealth?
[03:22:30.839 --> 03:22:34.922]  Call Gold Silver Group at 800-676-0821.
[03:22:34.922 --> 03:22:42.748]  Learn how easy it is to set up your own Precious Metals Private Storage IRA and how you can qualify for up to $700 in free silver.
[03:22:42.748 --> 03:22:46.430]  Gold Silver Group can satisfy any of your Precious Metals investment needs.
[03:22:46.430 --> 03:22:50.874]  Receive your gold and silver fully insured and privately delivered to your door.
[03:22:50.874 --> 03:22:52.175]  Call Gold Silver Group.
[03:22:52.175 --> 03:22:52.335]  800-676-0821.
[03:22:52.335 --> 03:22:52.375]  800-676-0821.
[03:22:58.755 --> 03:23:01.336]  Are you happy washing your hands with harsh chemicals?
[03:23:01.336 --> 03:23:03.476]  Are you happy doing laundry with detergents?
[03:23:03.476 --> 03:23:05.457]  Are you happy paying high prices?
[03:23:05.457 --> 03:23:07.497]  Find your happiness with Pure Soap.
[03:23:07.497 --> 03:23:12.378]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[03:23:12.378 --> 03:23:13.259]  Buy in bulk.
[03:23:13.259 --> 03:23:16.179]  Get a 12, 36, or 48-month supply.
[03:23:16.179 --> 03:23:18.600]  Or get items individually and still save big.
[03:23:18.880 --> 03:23:22.161]  You're getting soap products twice as good as what you're using now.
[03:23:22.161 --> 03:23:24.422]  Earth friendly and natural soaps.
[03:23:24.422 --> 03:23:26.203]  Your family deserves the best.
[03:23:26.203 --> 03:23:28.844]  Happiness is 5starsoap.com.
[03:23:28.844 --> 03:23:31.605]  Why not put your money up the drain for a change?
[03:23:31.605 --> 03:23:34.126]  See them at 5starsoap.com or call
[03:23:35.566 --> 03:23:37.887]  Call 1-800-340-7091 for a catalog.
[03:23:37.887 --> 03:23:45.029]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[03:23:45.029 --> 03:23:47.509]  Soaps made from vegetable and coconut oils.
[03:23:47.509 --> 03:23:51.170]  See their full selection of soaps at 5starsoap.com.
[03:23:51.170 --> 03:23:53.271]  That's F-I-V-E, starsoap.com.
[03:23:53.271 --> 03:23:54.331]  Or call 1-800-340-7091 for a catalog.
[03:24:11.806 --> 03:24:15.267]  Welcome back to InfoWars.
[03:24:15.267 --> 03:24:19.789]  I'm Roger Stone, sitting in for Alex Jones.
[03:24:19.789 --> 03:24:28.733]  You know, the important, in fact, the vital work that is done here at InfoWars really requires the support of like-minded individuals.
[03:24:29.958 --> 03:24:39.062]  I know the elitists on the left make fun of me when I talk about the terrific supplements and products at InfoWarsStore.com.
[03:24:39.062 --> 03:24:47.026]  The truth is, I was using alternative healing, natural supplements, Chinese medicines, long before I met Alex Jones.
[03:24:47.026 --> 03:24:55.990]  And long before I learned that the products at InfoWars.com's store are superior to anything you can get in a health food store.
[03:24:55.990 --> 03:24:58.611]  And virtually anything that you can get online.
[03:24:59.599 --> 03:25:01.120]  There's no filler.
[03:25:01.120 --> 03:25:03.662]  There's no, there's no phonies.
[03:25:03.662 --> 03:25:16.230]  These products are tested and without a sufficient number of testimonials from satisfied users, you won't find them on the site anymore.
[03:25:16.230 --> 03:25:28.659]  Alex Jones and his team use the best scientists and researchers and others to ensure they are getting pure ingredients that provide results.
[03:25:29.907 --> 03:25:36.990]  Alex won't put his name on anything that is second-rate or deemed to be fraudulent.
[03:25:36.990 --> 03:25:50.737]  So if you can buy, for example, their Super Male Vitality product for your vim, your vigor, the bounce in your step, this is a fine product.
[03:25:50.737 --> 03:25:58.801]  Now, you can find other male vitality projects out there on the market, and this product is so good
[03:25:59.855 --> 03:26:01.996]  That we have trouble keeping up with the demand.
[03:26:01.996 --> 03:26:19.306]  This is something that I think every man, regardless of whether you're in your twenties and just trying to keep up, or if you are in your older years and you're looking for it, for that spark and that vitality, Male Virility.
[03:26:19.306 --> 03:26:25.389]  This product is terrific and you can get it now at InfoWars.com.
[03:26:25.389 --> 03:26:28.371]  And remember, you're supporting the revolution.
[03:26:29.738 --> 03:26:36.440]  You're financing the extraordinary investigative journalism of Paul Joseph Watson.
[03:26:36.440 --> 03:26:51.545]  You are financing the reports of David Knight and Owen Schroyer and other alternative journalists who are putting CNN to shame, who are embarrassing the mainstream media every day.
[03:26:51.545 --> 03:26:53.826]  So, it's win-win.
[03:26:53.826 --> 03:26:55.626]  Help us help you.
[03:26:55.626 --> 03:26:58.007]  Go to TheInfoWars.com store.
[03:26:59.510 --> 03:27:16.142]  I am very, very happy now to be joined by one of the most distinguished lawyers in the country, a man who is the great nephew of President Richard M. Nixon, Tyler Nixon, Esquire, attorney at law, activist, and man about town.
[03:27:16.142 --> 03:27:18.984]  Thanks for joining us at InfoWars.
[03:27:18.984 --> 03:27:20.425]  Great to be with you, Roger, as always.
[03:27:22.047 --> 03:27:44.007]  You know, you and I were talking the other day, handicapping the Supreme Court on my radio show, Stone Cold Truth, and you were lamenting, as I was, the fact that there were not more libertarians on the official list of conservatives that President Trump said he would choose from.
[03:27:44.007 --> 03:27:47.550]  That said, of all those on the list,
[03:27:48.424 --> 03:27:57.592]  With perhaps the exception of Texas Judge Don Willett, who I think is a good man and a real libertarian.
[03:27:57.592 --> 03:28:02.156]  I think in Gorsuch, the President has chosen a diamond.
[03:28:02.156 --> 03:28:06.961]  This is a guy who is openly skeptical of government.
[03:28:06.961 --> 03:28:12.706]  This is a judge who doesn't believe that the government should have presumptions in criminal cases.
[03:28:14.048 --> 03:28:27.852]  About an hour ago, because I knew we would be talking about this, I reached out for Judge Andrew Napolitano, who told me Neil Gorsuch is a worthy successor to Anton Scalia.
[03:28:27.852 --> 03:28:37.515]  Judge Napolitano was, of course, an acolyte, a protege, and a friend of Judge Scalia for the last 10 years of his life.
[03:28:37.515 --> 03:28:41.736]  So, Tyler, give us your take on Judge Gorsuch and where this goes.
[03:28:42.613 --> 03:28:43.382]  Well, first of all...
[03:28:44.967 --> 03:28:55.873]  Antonin Scalia came, actually, and visited my Georgetown University undergrad judicial colloquium, courtesy of the great Dr. George Carey in 1994.
[03:28:55.873 --> 03:28:59.494]  And everybody wanted to ask him about all kinds of sidebar questions.
[03:28:59.494 --> 03:29:06.378]  You know, Tyler, we're going to pick this up on the other side, because I think everybody wants to know what the impact will be of this appointment.
[03:29:06.378 --> 03:29:09.660]  So I thank you for joining us at InfoWars.
[03:29:09.660 --> 03:29:11.621]  Go to the InfoWars store.
[03:29:11.621 --> 03:29:12.441]  Stay tuned.
[03:29:12.441 --> 03:29:14.302]  We'll be right back with Tyler Nixon.
[03:29:49.275 --> 03:29:53.220]  We're on the march, the Empire's on the run.
[03:29:53.220 --> 03:29:55.883]  Alex Jones and the GCN Radio Network.
[03:29:59.924 --> 03:30:04.567]  I tell you what, the Democrats have proven themselves to be the ultimate crybabies.
[03:30:04.567 --> 03:30:11.891]  From Chuckie Schumer fake crying over the temporary travel ban, to Democrats refusing to attend to vote on nominees for Trump's cabinet.
[03:30:11.891 --> 03:30:14.553]  That's right, they aren't even attending the hearings anymore.
[03:30:14.553 --> 03:30:24.339]  Even before Donald Trump had appointed his first Supreme Court Justice, Neil Gorsh, to replace Antonin Scalia, Senators like Jeff Merkley were already speaking out saying, hey, we're gonna block it, we don't care who it is.
[03:30:24.339 --> 03:30:27.101]  But should we expect anything less from the Democrats?
[03:30:27.281 --> 03:30:36.986]  When you go to their many protests and try to engage these people in thoughtful conversation, all you get are mainstream media talking points, or you get cursed at, or you get threatened with violence.
[03:30:36.986 --> 03:30:40.067]  Oh, and let's look who have proved Neil Gorsh to be a federal judge back in 2006.
[03:30:40.067 --> 03:30:50.032]  Barack Obama, Joe Biden, John Kerry, Hillary Clinton, Patrick Leahy, Dianne Feinstein, Chuckie Schumer, Dick Durbin, Jack Reed, Bill Nelson, and many others.
[03:30:50.032 --> 03:30:55.355]  Once again, the crybaby Democrats have proven they don't have an argument or a leg to stand on, so they're not even showing up to work.
[03:30:55.735 --> 03:30:59.656]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[03:30:59.656 --> 03:31:00.476]  Hey, everyone!
[03:31:00.476 --> 03:31:02.757]  Pharmacist Ben Fuchs here, host of The Bright Side.
[03:31:02.757 --> 03:31:06.598]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[03:31:06.598 --> 03:31:08.678]  You've all heard the shocking statistics.
[03:31:08.678 --> 03:31:18.961]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[03:31:18.961 --> 03:31:24.942]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[03:31:25.402 --> 03:31:40.239]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[03:31:40.319 --> 03:31:40.799]  Thank you.
[03:31:59.369 --> 03:32:10.239]  National Defense Labs and Citizen Armor has given InfoWars the exclusive on distributing to the American people the true next generation in body armor.
[03:32:10.239 --> 03:32:18.026]  Basically what we're bringing to the InfoWars team is a new line of dynamic, lightweight body armor.
[03:32:18.026 --> 03:32:23.951]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[03:32:24.031 --> 03:32:30.198]  You said when you talked to people that have been using this, actually testing it for years, people that currently have tested it for us, they didn't just say outstanding.
[03:32:30.198 --> 03:32:31.179]  What did they really say about it?
[03:32:31.179 --> 03:32:34.022]  They want to know how do they get it, where do they find it.
[03:32:34.022 --> 03:32:37.746]  A lot of my law enforcement official buddies want to know the same thing.
[03:32:37.746 --> 03:32:39.888]  The backpack body armor is only $200.
[03:32:41.690 --> 03:32:42.511]  I mean, it's unbelievable.
[03:32:42.511 --> 03:32:43.773]  It's a quarter-inch thick.
[03:32:43.773 --> 03:32:44.674]  It's got a 20-year warranty.
[03:32:44.674 --> 03:32:45.355]  It's waterproof.
[03:32:45.355 --> 03:32:45.835]  You can wear it.
[03:32:45.835 --> 03:32:46.516]  It's comfortable.
[03:32:46.516 --> 03:32:48.639]  And we shot everything you can imagine on it.
[03:32:48.639 --> 03:32:50.381]  Again, fund the InfoWare.
[03:32:50.381 --> 03:32:53.124]  Get the game-changing Anotech tubes.
[03:32:53.124 --> 03:32:54.907]  It's a win-win.
