[00:00:07.976 --> 00:00:08.336]  It's May Day.
[03:31:18.336 --> 03:31:32.482]  The secret to Defender body armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor, using one of the strongest synthetic materials ever created, called ultra-high molecular weight polyethylene.
[03:31:32.542 --> 03:31:35.444]  Defender armor is also super compact and lightweight.
[03:31:35.684 --> 03:31:41.486]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[03:31:41.786 --> 03:31:42.226]  It works.
[03:31:43.407 --> 03:31:44.287]  Let's go to Debit in Florida.
[03:31:44.307 --> 03:31:45.408]  Debit in Florida, you're on the air.
[03:32:09.935 --> 03:32:10.295]  Great!
[03:32:10.395 --> 03:32:11.356]  Hey, thank you so much.
[03:32:11.496 --> 03:32:15.859]  Listen, I have bought your products and I gotta say they're amazing.
[03:32:16.039 --> 03:32:17.580]  Anyone who's on the fence, buy it.
[03:32:17.720 --> 03:32:25.204]  Because I've got Caveman, Superman Vitality, Secret 12, 5mm Fusion, I've got the Body Armor.
[03:32:25.284 --> 03:32:26.145]  Wow, thank you.
[03:32:26.185 --> 03:32:28.446]  You're the type of listener that makes it all possible.
[03:32:28.526 --> 03:32:30.107]  Which super surgical do you like best?
[03:32:30.347 --> 03:32:33.629]  I really like the Vitamin Mineral Fusion, to be honest.
[03:32:33.649 --> 03:32:34.029]  That's amazing.
[03:32:34.089 --> 03:32:34.849]  That's really incredible.
[03:32:35.090 --> 03:32:38.131]  I drank it in the morning and I swear to you, I felt incredible.
[03:32:38.151 --> 03:32:39.412]  Like, I haven't felt it in weeks.
[03:32:39.492 --> 03:32:41.093]  My morning was fantastic.
[03:32:41.173 --> 03:32:42.333]  And I love you guys.
[03:32:42.414 --> 03:32:43.854]  I love the Info Wars crew.
[03:32:44.575 --> 03:32:51.278]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[03:32:51.438 --> 03:32:52.219]  You will love it.
[03:32:52.479 --> 03:32:52.899]  I'm telling you.
[03:32:52.959 --> 03:32:54.300]  I've never bought a bad product.
[03:32:54.580 --> 03:32:58.981]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[03:32:59.021 --> 03:32:59.782]  It's a win-win.
[03:32:59.902 --> 03:33:00.942]  InfoWarsLife.com.
[03:33:11.105 --> 03:33:12.025]  You found it.
[03:33:12.345 --> 03:33:13.826]  The tip of the spear.
[03:33:14.386 --> 03:33:18.767]  It is the Alex Jones Show with David Knight.
[03:33:23.661 --> 03:33:25.042]  Welcome back to the Alex Jones Show!
[03:33:25.062 --> 03:33:28.125]  On this fourth hour, Monday, Mayday!
[03:33:28.265 --> 03:33:28.745]  Mayday!
[03:33:29.005 --> 03:33:33.209]  It is a communist... They're trying to crash the economy.
[03:33:33.229 --> 03:33:34.950]  It is crashing and burning in Venezuela.
[03:33:34.970 --> 03:33:35.831]  We're going to talk about that.
[03:33:36.151 --> 03:33:41.715]  And I want to get to those stories, so we're going to just take three more callers who've been holding for 15 to 30 minutes here.
[03:33:42.296 --> 03:33:47.820]  And we're going to get Jason in Germany, Bubba in Virginia, Dan in Illinois, and then we're going to go to some news here.
[03:33:47.860 --> 03:33:51.463]  Before we go to even the callers, I just want to remind you that we still have Caveman.
[03:33:52.023 --> 03:33:55.805]  Our true paleo formula for 53% off at Infowarsstore.com.
[03:33:56.205 --> 03:33:57.766]  And again, that's not going to last forever.
[03:33:57.806 --> 03:33:58.646]  Take advantage of that.
[03:33:58.686 --> 03:34:03.348]  That's an additional 20% off of the deepest discount we've had on Caveman.
[03:34:03.688 --> 03:34:05.809]  So that's 53% off right now.
[03:34:05.869 --> 03:34:14.253]  It fuses super high-quality bone broth with more than seven different primal superfoods to help support healthy muscles, to fight free radicals, and so much more.
[03:34:14.873 --> 03:34:20.756]  It has things like turmeric root, chaga mushroom, bee pollen, and of course, bone broth, one of the key ingredients in that.
[03:34:21.296 --> 03:34:23.958]  See why hundreds of listeners have given Caveman five stars?
[03:34:23.998 --> 03:34:29.220]  You can go to InfoWarsStore.com and Caveman and all the other supplements that we sell there.
[03:34:29.260 --> 03:34:33.302]  You can take a look at what people give it in terms of reviews.
[03:34:33.322 --> 03:34:34.423]  You can look at the ingredients.
[03:34:34.463 --> 03:34:36.124]  You can do your own research.
[03:34:36.164 --> 03:34:37.124]  We encourage you to do that.
[03:34:37.164 --> 03:34:39.625]  We're proud of the ingredients that we have in our products.
[03:34:39.966 --> 03:34:41.226]  Please take a look at the ingredients.
[03:34:41.366 --> 03:34:42.467]  Please do your own research.
[03:34:42.947 --> 03:34:46.589]  Look at what other people have said and take advantage of this sale.
[03:34:46.749 --> 03:34:48.430]  It's 53% off Caveman right now.
[03:34:48.490 --> 03:34:52.732]  Also, Super Blue Fluoride Free Toothpaste is now back in stock and discounted.
[03:34:52.752 --> 03:34:56.273]  15% off at InfoWarsStore.com.
[03:34:56.633 --> 03:34:59.855]  And one last one is Liver Shield.
[03:35:00.175 --> 03:35:00.415]  30% off.
[03:35:00.455 --> 03:35:03.516]  And of course, we started that sale on Friday.
[03:35:04.097 --> 03:35:06.078]  That should be ending pretty soon, I imagine.
[03:35:06.518 --> 03:35:10.520]  Liver Shield, as we were talking to Dr. Group as he came in here, he was talking about how
[03:35:11.500 --> 03:35:12.301]  Essential it is.
[03:35:12.821 --> 03:35:19.764]  If you've got a situation like a fatty liver because you have a lot of high calorie, a lot of high sugar in your diet.
[03:35:20.225 --> 03:35:24.007]  It's a situation that creates a very bad health situation for you.
[03:35:24.067 --> 03:35:24.847]  But there is hope.
[03:35:24.887 --> 03:35:26.168]  You can change your diet.
[03:35:26.628 --> 03:35:36.510]  You can stop eating excessive sugar, you can stop eating some of the toxins, and then you can use something like LiverShield to help to get rid of those toxins.
[03:35:36.530 --> 03:35:38.090]  Your liver regenerates yourself.
[03:35:38.130 --> 03:35:46.272]  And if you use something like LiverShield and its blend of organic, wild-crafted herbs, you can help to support that natural regenerative function.
[03:35:46.312 --> 03:35:53.414]  You can help to support the detoxification of your liver and your gallbladder as you make those necessary changes in your life.
[03:35:53.454 --> 03:35:54.574]  Again, LiverShield, 30% off.
[03:35:55.754 --> 03:35:57.415]  At Infowarslife.com.
[03:35:57.455 --> 03:35:58.695]  Alright, let's go to our callers here.
[03:35:58.835 --> 03:35:59.896]  Jason in Germany.
[03:35:59.936 --> 03:36:00.516]  Go ahead, Jason.
[03:36:02.617 --> 03:36:03.797]  Hey David, good to be on this again.
[03:36:03.837 --> 03:36:06.078]  I'll try to get through my two little points real quick.
[03:36:06.719 --> 03:36:09.380]  First on the issue of fundraising and also supporting the InfoWar.
[03:36:10.160 --> 03:36:19.584]  I know that Alex and the InfoWar crew and your whole operation there is one of only a few media organizations or outfits that have the real big bullseye painted right on the back.
[03:36:20.324 --> 03:36:22.304]  Right on your back that everybody's going after.
[03:36:22.344 --> 03:36:28.526]  So, you know, I want you to succeed because if you guys succeed, then that helps the rest of us succeed.
[03:36:28.646 --> 03:36:31.046]  And, you know, it's like a circle.
[03:36:32.226 --> 03:36:33.787]  So I had a couple of ideas to help with that.
[03:36:33.907 --> 03:36:39.708]  I remember when Alex first brought up the issue of AdRoll kicking you guys off the revenue generation plan that you had.
[03:36:40.208 --> 03:36:45.829]  Was that centered around the health products that you guys advertise on other sites?
[03:36:46.557 --> 03:36:49.200]  On the ad roll, yes.
[03:36:49.360 --> 03:36:53.985]  With ad roll, they stopped our ads from being served on other sites.
[03:36:54.305 --> 03:37:01.993]  So just like with Breitbart, what they did was they shut down Breitbart accepting ads from other people because you go to the Breitbart site, you're looking at their articles.
[03:37:02.433 --> 03:37:05.735]  Ads get served there, so that website gets revenue.
[03:37:05.775 --> 03:37:07.016]  So Google stopped that.
[03:37:07.076 --> 03:37:12.680]  With us, we weren't depending on outside ads so much as we were serving our ads to other people.
[03:37:12.720 --> 03:37:15.761]  We had our own, and do have, our own separate site.
[03:37:15.862 --> 03:37:16.822]  Infowarsstore.com.
[03:37:16.882 --> 03:37:17.783]  It is not political.
[03:37:18.323 --> 03:37:19.784]  It has no political content on it.
[03:37:19.824 --> 03:37:27.490]  There is no political content if you show people a bottle of iodine supplement or a bottle of vitamin B12 supplement.
[03:37:27.510 --> 03:37:33.215]  But they said, no, no, no, because that is associated with Infowars, we're going to shut that down.
[03:37:33.735 --> 03:37:36.878]  And that's what they have done to try to stop us from serving those ads.
[03:37:36.918 --> 03:37:37.939]  So that's one of the things they've done.
[03:37:37.959 --> 03:37:39.880]  Of course, lawsuits are very powerful, too.
[03:37:40.260 --> 03:37:46.986]  And if they can succeed in suing us and shutting us up, when we talk about rampant crony capitalism,
[03:37:47.446 --> 03:37:59.816]  When we talk about people coming into this country being put into the highest levels of power in this country because they are connected to the globalists at Davos, because they're connected to the Clintons, the Clinton Global Initiative.
[03:37:59.836 --> 03:38:00.717]  You know what they ought to do?
[03:38:01.197 --> 03:38:06.461]  The key ingredient of Chobani yogurt, one of the key ingredients is not listed on there, is crony capitalism.
[03:38:06.942 --> 03:38:07.882]  Taxpayer subsidies.
[03:38:08.183 --> 03:38:13.667]  Maybe that should be put on there in the name of honesty and truth and labeling so people really understand what's going on.
[03:38:14.067 --> 03:38:15.449]  And if we go to this lawsuit,
[03:38:16.189 --> 03:38:17.571]  Discovery is going to show that.
[03:38:17.691 --> 03:38:24.821]  That is going to be something we're going to tell people about the ingredients of your forced taxpayer subsidies on Chobani yogurt.
[03:38:24.901 --> 03:38:30.848]  How these people have leveraged all of this to get into the school lunch program and all these other issues.
[03:38:30.888 --> 03:38:32.290]  So it's a fight we're going to have.
[03:38:32.731 --> 03:38:33.412]  But it's expensive.
[03:38:34.949 --> 03:38:56.818]  So anyway, I had this idea back when Alex first raised the issue, and I just thought, I know that the billionaires and the big businesses have a million ways Sunday to protect themselves from the kinds of guilt by association attacks that Infowars Health has suffered from Google's side, and I thought, you know, I'm not an attorney obviously, so I thought maybe there's a way that Alex can
[03:38:57.578 --> 03:39:06.382]  Repackage the whole InfoWars Health part of the business into a completely separate business that would allow him to get that ad revenue back.
[03:39:06.762 --> 03:39:17.946]  And then in order for Google to cut you guys off, they would have to actually show a more overt legal reason why they could use the guilt by association thing, which I don't think would even work.
[03:39:17.986 --> 03:39:19.107]  Well, I tell you what they could do.
[03:39:19.147 --> 03:39:22.788]  I mean, we call the store InfoWars Store or whatever.
[03:39:22.948 --> 03:39:24.709]  Okay, so it's got InfoWars in the name.
[03:39:25.487 --> 03:39:32.612]  If we were to call it, you know, natural health subsidies or whatever, they would find a way to connect it with InfoWars.
[03:39:32.672 --> 03:39:35.934]  Once they learned that it was there, they would find some excuse to shut it down.
[03:39:35.954 --> 03:39:36.955]  I guarantee you.
[03:39:37.475 --> 03:39:45.540]  Because this isn't about the fact that people are concerned because they're seeing a bottle of caveman supplement there.
[03:39:46.121 --> 03:39:46.361]  Okay?
[03:39:46.381 --> 03:39:47.382]  That's not about that.
[03:39:47.822 --> 03:39:50.103]  So it is about coming after InfoWars.
[03:39:50.123 --> 03:39:52.465]  And they can come up with whatever kind of rationalization they want.
[03:39:52.625 --> 03:39:59.190]  They would, if we named it something else, it would take them a little bit of time to find it, but they would still do the same sort of thing.
[03:39:59.210 --> 03:40:03.993]  So I understand what you're saying, but it really is a focused, targeted attack.
[03:40:04.634 --> 03:40:12.639]  They find one individual within the news media, if you will, or they find a news organization, they isolate and attack that organization.
[03:40:12.700 --> 03:40:15.021]  Once they're successful, they go on to the next one.
[03:40:15.081 --> 03:40:17.923]  And we're seeing this throughout the press.
[03:40:18.043 --> 03:40:19.845]  I mean, you're seeing this with different
[03:40:20.345 --> 03:40:20.645]  Yes, David.
[03:40:47.511 --> 03:40:49.192]  I'm calling about President Trump.
[03:40:49.232 --> 03:40:50.312]  I think he's done a great job.
[03:40:50.332 --> 03:40:54.994]  I appreciate everything he's doing because, you know, in all reality, he doesn't need to be doing this.
