[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[03:21:41.570 --> 03:21:49.673]  Tonight, police say an illegal immigrant with a blood alcohol level three times the legal limit slammed into the back of an SUV carrying a family of four.
[03:21:50.134 --> 03:21:52.795]  He had been arrested just hours before this crash.
[03:22:00.831 --> 03:22:09.413]  A woman telling deputies she was sure she was going to die after deputies say this man, Juan Ortega Orozco, broke into her home and crept into her bed.
[03:22:09.533 --> 03:22:11.033]  He's in this country illegally.
[03:22:12.474 --> 03:22:15.414]  He has a rich criminal history of violating the law.
[03:22:15.514 --> 03:22:21.816]  In the past two years, he's been charged with five felonies, including trafficking meth and leading the scene of a crash.
[03:22:33.444 --> 03:22:41.947]  Jermaine Daniels says in a taint from under the Obama administration, federal agents now appear to be rounding up any undocumented person they come in contact with.
[03:22:41.987 --> 03:22:45.609]  Federal agents eating breakfast one minute, arresting restaurant staff the next.
[03:22:46.109 --> 03:22:49.390]  Illegal border crossings are down reportedly 70%.
[03:22:50.310 --> 03:22:55.913]  Arrests inside the country are up 40% and demands for removal up 80% as well.
[03:22:57.494 --> 03:23:00.559]  But, you know, we can't apologize for enforcing the law.
[03:23:00.599 --> 03:23:04.606]  If you break the law, that's a choice that you make, and there are consequences to that.
[03:23:33.516 --> 03:23:38.139]  We have private labeled it, and it is the exact same product, just the name is different.
[03:23:38.319 --> 03:23:39.200]  Emrix Essentials.
[03:23:39.560 --> 03:23:41.481]  It's on average 20% off.
[03:23:41.762 --> 03:23:47.025]  On top of that, if you sign up for AutoShip, you get an additional 25% off.
[03:23:47.625 --> 03:23:51.228]  Emrix Essentials is all about personal care.
[03:23:51.688 --> 03:23:56.852]  Hygiene, not getting skin cancer, not getting bit by a bunch of bugs and mosquitoes.
[03:23:57.332 --> 03:23:58.333]  It's all there.
[03:23:58.613 --> 03:24:03.276]  Infowarsandlife.com, Infowarsstore.com, and you'll find Emrix Essentials.
[03:24:12.740 --> 03:24:18.363]  Okay, we're back.
[03:24:18.423 --> 03:24:22.785]  John Rappaport here, sitting in for Alex in the fourth hour, in for Wars.
[03:24:22.805 --> 03:24:29.848]  I don't know how many of you heard about this, another fantastic story.
[03:24:29.868 --> 03:24:32.129]  This one has to do with California.
[03:24:33.556 --> 03:24:35.317]  Got a lot to say about California.
[03:24:35.937 --> 03:24:46.984]  But Judicial Watch, a watchdog group that gets documents out of the government, they do a lot more than that.
[03:24:47.044 --> 03:24:48.685]  But that's one thing they're able to do.
[03:24:49.885 --> 03:24:58.230]  Freedom of Information Act requests, Freedom of Information Act lawsuits, they wrangle documents out of the government.
[03:24:59.438 --> 03:25:04.247]  And they've just found out some interesting things about California and...
[03:25:05.074 --> 03:25:12.298]  The so-called vote fraud issue, which of course, the mainstream press, there's no vote fraud in California.
[03:25:12.318 --> 03:25:13.999]  I mean, ridiculous.
[03:25:14.019 --> 03:25:22.243]  This is just a trumped up Trump charge and trying to make it seem as if possibly Trump won the popular vote.
[03:25:22.303 --> 03:25:23.424]  And of course we know he didn't.
[03:25:23.464 --> 03:25:26.226]  And Hillary won the popular vote and therefore she should be president.
[03:25:26.246 --> 03:25:27.166]  Why isn't she president?
[03:25:27.206 --> 03:25:28.267]  Let's get rid of Trump.
[03:25:28.307 --> 03:25:32.089]  And you know, another thread that always somehow
[03:25:32.749 --> 03:25:45.334]  Ends up at the same place the same train station, you know with Hillary standing there alone in the night looking out saying When is the presidential train coming for me?
[03:25:46.314 --> 03:25:50.516]  When am I going to get on the train and take it into the Oval Office?
[03:25:51.076 --> 03:25:51.757]  I'm waiting.
[03:25:52.257 --> 03:25:53.137]  I'm entitled.
[03:25:54.098 --> 03:25:57.559]  I am the president What's wrong with you people?
[03:25:58.809 --> 03:26:25.024]  Okay, so in California, Judicial Watch discovered that 11 counties, at least, have more, I want to get this right now, have more registered voters than voters of, than people of voting age.
[03:26:25.364 --> 03:26:26.165]  Let's put it that way.
[03:26:27.270 --> 03:26:36.312]  At least 11 counties have more registered voters than voters who are eligible to vote.
[03:26:38.873 --> 03:26:47.095]  And they discovered that in LA County, the registered voters are, get this, 144% of the people of voting age.
[03:26:53.966 --> 03:27:02.733]  I mean, in other words, there's way more people who are registered to vote in California than there are people of voting age.
[03:27:05.504 --> 03:27:06.804]  That's a head-scratcher.
[03:27:07.485 --> 03:27:19.668]  You would think that if you, for example, if you were the publisher or the editor of a mainstream news network who's just looking for a good and true story, wouldn't you want to pounce on that one?
[03:27:20.108 --> 03:27:23.709]  Isn't that, doesn't that stink of enormous scandal?
[03:27:25.069 --> 03:27:26.069]  How can this be?
[03:27:26.089 --> 03:27:30.190]  A hundred, let's see, registered voters in L.A.
[03:27:30.270 --> 03:27:33.091]  County, biggest county in California,
[03:27:35.684 --> 03:27:42.650]  144% of all the people in LA County who are of voting age.
[03:27:44.091 --> 03:27:45.613]  Yeah, let's run with that baby.
[03:27:46.133 --> 03:27:47.795]  Okay, run that baby.
[03:27:47.875 --> 03:27:50.958]  Yeah, let's put on a big headline and say, oh, wait a minute.
[03:27:51.919 --> 03:27:52.679]  We can't do that.
[03:27:53.961 --> 03:27:55.942]  That would be incorrect.
[03:27:56.523 --> 03:28:00.206]  That would give some people the idea, for example,
[03:28:01.940 --> 03:28:10.486]  And I hesitate to even mention this, you know, the publisher would say, I mean, does anybody, nobody's recording this, are they?
[03:28:12.367 --> 03:28:26.958]  But you see, if we ran this story, it might suggest to people that somehow immigrants or illegal immigrants are somehow being registered to vote illegally or beyond
[03:28:27.825 --> 03:28:32.367]  Well, I don't even know how they could be registered.
[03:28:33.308 --> 03:28:36.710]  You know, they're not really on the books.
[03:28:38.771 --> 03:28:39.071]  Hmm.
[03:28:40.252 --> 03:28:40.692]  Yeah.
[03:28:41.532 --> 03:28:42.533]  Well, let me tell you how.
[03:28:43.253 --> 03:28:44.274]  In California,
[03:28:45.595 --> 03:28:56.340]  When an illegal immigrant gets a driver's license, and that is just as easy as walking into the Department of Motor Vehicles, by rule, by rule, this is not clandestine.
[03:28:56.860 --> 03:28:58.721]  This is a California policy.
[03:28:59.321 --> 03:29:09.745]  When that happens, unless that illegal immigrant specifically opts out, he or she is registered to vote.
[03:29:10.466 --> 03:29:10.806]  Ding!
[03:29:12.521 --> 03:29:19.385]  So now we get into the whole question of all of these people who are illegal immigrants in California are registered to vote.
[03:29:20.666 --> 03:29:20.946]  Hmm.
[03:29:23.167 --> 03:29:29.270]  Could somehow all of that number be corralled in a vote fraud spectacle?
[03:29:30.331 --> 03:29:31.892]  Could that actually happen?
[03:29:33.533 --> 03:29:34.533]  Is that possible?
[03:29:35.634 --> 03:29:41.177]  Do we have a history in California of any kind of electronic, for example, vote fraud?
[03:29:42.899 --> 03:29:45.882]  Well, it just so happens that I investigated that.
[03:29:47.024 --> 03:29:47.644]  Yes, indeed.
[03:29:48.345 --> 03:29:51.208]  And I'll tell you all about it after the break.
[03:29:51.228 --> 03:29:52.770]  Stay with us here at InfoBlog.
[03:30:03.306 --> 03:30:15.438]  Since the time of Hippocrates, the father of modern western medicine, in 420 BC, the ancients have marveled at the power of whey protein from milk and cheese.
[03:30:15.618 --> 03:30:22.986]  That's why I'm so proud to announce the latest addition to the InfoWars Life family, true whey protein from InfoWars Life.
[03:30:23.306 --> 03:30:29.249]  It's produced right here in the United States of America under the strictest high-quality organic conditions.
[03:30:29.809 --> 03:30:36.553]  Our True Whey Protein from InfoWars Life contains a whopping 20 grams of protein per serving.
[03:30:36.993 --> 03:30:44.177]  We went out and did massive research and found the very best company and facility to develop our whey.
[03:30:44.377 --> 03:30:57.020]  And it took us years to finally get contacts with some of the larger, most respected companies to bring you a super high quality whey protein at a very reasonable price.
[03:30:57.520 --> 03:31:05.082]  That way you get the benefits and the taste of high quality whey while supporting our information warfare operation against the globalists.
[03:31:05.402 --> 03:31:07.924]  Doing our research, one thing continues to really stand out.
[03:31:08.464 --> 03:31:17.150]  It's not just that cows and their milk are associated with the best, highest quality protein, but also that those cows be grass-fed.
[03:31:17.551 --> 03:31:18.371]  That is essential.
[03:31:18.752 --> 03:31:23.055]  And all of this whey protein comes from grass-fed, happy cows.
[03:31:23.535 --> 03:31:25.977]  This is the very best way that we were able to bring to market.
[03:31:26.337 --> 03:31:28.038]  Please try it for yourself and tell us what you think.
[03:31:28.058 --> 03:31:29.799]  Again, thank you so much for all your support.
[03:31:30.320 --> 03:31:32.842]  It is true whey from mfullwashlife.com.
[03:31:33.322 --> 03:31:41.172]  The Children's Super Blue Bubblegum Flavor All-Natural Fluoride-Free Iodine Slash Floidal Silver Toothpaste is back in.
[03:31:41.192 --> 03:31:42.733]  That's been sold out for three months.
[03:31:43.875 --> 03:31:45.016]  Sign up for AutoShip.
[03:31:45.236 --> 03:31:46.638]  Get an additional 10% off.
[03:31:46.698 --> 03:31:47.800]  Cancel anytime.
[03:31:48.436 --> 03:31:51.960]  It's Paul Joseph Watson and the t-shirt has finally arrived.
[03:31:52.420 --> 03:31:58.486]  Nothing triggers safe space snowflakes more than this slogan and my face.
[03:31:58.706 --> 03:32:01.669]  It is the new t-shirt from infowarsstore.com.
[03:32:02.050 --> 03:32:05.033]  Conservatism is the new counterculture.
[03:32:05.253 --> 03:32:08.694]  You've seen how much this triggers the safe space snowflakes.
[03:32:09.034 --> 03:32:10.775]  The left controls culture.
[03:32:10.815 --> 03:32:11.795]  They control arts.
[03:32:11.855 --> 03:32:13.075]  They control entertainment.
[03:32:13.375 --> 03:32:20.457]  They have the complete monopoly on culture, which is why conservatism is the new counterculture.
[03:32:20.517 --> 03:32:22.918]  We are striking back in the culture war.
[03:32:23.398 --> 03:32:27.259]  This triggers snowflakes like nothing you've ever seen in your life.
[03:32:27.319 --> 03:32:29.380]  You've seen how much they absolutely hate
[03:32:30.020 --> 03:32:35.385]  The image of my face and that particular slogan, conservatism, is the new counterculture.
[03:32:35.645 --> 03:32:41.911]  This t-shirt is not only a conversation starter, it will trigger the holy hell out of leftists.
[03:32:41.971 --> 03:32:43.673]  It will make me incredibly happy.
[03:32:43.813 --> 03:32:44.994]  It's available right now.
[03:32:45.334 --> 03:32:47.496]  Get yours at infowarsstore.com.
[03:32:48.410 --> 03:32:49.412]  A lot of different specials.
[03:32:49.492 --> 03:32:50.714]  Specials on water filtration.
[03:32:50.754 --> 03:32:54.179]  We're extending the specials on the Alexa Pure Breeze air filtration system.
[03:32:54.579 --> 03:32:55.080]  Amazing.
[03:32:55.421 --> 03:32:56.823]  At $149, you can't beat it.
[03:32:56.863 --> 03:32:57.684]  Comparable units, $400 to $600.
[03:32:57.724 --> 03:32:57.764]  888-253-3139.
[03:33:14.767 --> 03:33:16.908]  News, analysis, reports.
[03:33:17.428 --> 03:33:19.289]  It's the Alex Jones Show.
[03:33:19.729 --> 03:33:24.571]  And now, your host, John Rappaport.
[03:33:24.591 --> 03:33:26.631]  Welcome back to InfoWars.
[03:33:26.671 --> 03:33:29.752]  We were talking about California and the vote fraud scandal.
[03:33:29.892 --> 03:33:30.893]  Giant story.
[03:33:32.053 --> 03:33:34.654]  Mainstream presses, ah, we can't go with that.
[03:33:34.674 --> 03:33:35.374]  Uh-uh-uh.
[03:33:35.494 --> 03:33:36.875]  No, no, no, no, no, no, no.
[03:33:36.955 --> 03:33:38.215]  Do not touch that.
[03:33:39.316 --> 03:33:40.496]  Might suggest
[03:33:42.449 --> 03:33:49.291]  Illegal immigrants, votes are being manipulated, that they are not the ones casting them.
[03:33:51.652 --> 03:33:56.754]  I did a study, you know, study means you read documents.
[03:33:57.014 --> 03:34:11.098]  In this case, there was a top to bottom review of voting machines in California that was ordered by the Secretary of State, state government back in, I think it was 2007, 8, right in there, to see what was happening.
[03:34:12.028 --> 03:34:15.289]  Because they had lots of voting machines, and from different companies, right?
[03:34:16.949 --> 03:34:24.051]  And up until that time, they had been assuming that everything was wonderful in elections, and the votes were being counted great, and so on and so forth.
[03:34:24.131 --> 03:34:37.775]  Well, excuse me, it turned out that of the four companies, three of them, the first three, were completely unreliable, and they were decertified.
[03:34:37.995 --> 03:34:40.096]  All the voting machines from those companies.
[03:34:41.563 --> 03:34:43.984]  And then quickly reinstated.
