[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[02:43:10.621 --> 02:43:12.582]  Yes, this is a problem.
[02:43:12.602 --> 02:43:32.899]  I don't think that the psychotropic medications are prescribed as well as they should be because, you know, the military does not have, I mean, there's a portrait here that, you know, there are all these military psychiatrists at Fort Hood and Fort Bliss who were doing it.
[02:43:33.480 --> 02:43:36.182]  I've worked in an outpatient clinic
[02:43:37.380 --> 02:43:45.927]  At one of the largest military facilities in the world, in 2008, there wasn't one military psychiatrist in that clinic.
[02:43:48.369 --> 02:43:52.352]  They were on the grounds, but they weren't in the clinic.
[02:43:52.793 --> 02:44:01.800]  I was about to say, in the fifties and sixties, I was reading the ratios, there was a lot more of them, it seems like now the military particularly just wants to ignore that all this is going on.
[02:44:02.621 --> 02:44:04.903]  Well, sure they do, because, you know,
[02:44:06.147 --> 02:44:09.489]  They don't have the personnel to deal with it.
[02:44:09.829 --> 02:44:26.157]  Now, I guarantee you that all of us in psychiatry are going to start getting emails, you know, to go to Fort Hood, you know, the pay is pretty good, you know, and be a psychiatrist there on a temporary basis and all that kind of thing, you know.
[02:44:26.257 --> 02:44:34.061]  And, you know, a lot of these facilities, you know, what's called the quotes, the behavioral health clinics quotes,
[02:44:35.982 --> 02:44:45.829]  You know, if there's a psychiatrist there, you know, it's probably, you know, kind of unique.
[02:44:45.889 --> 02:44:51.292]  These are, you know, like, physician's assistants, nurse practitioners.
[02:44:51.332 --> 02:44:53.914]  Sure, sure, and they're the ones handing out the pills that know what they're doing.
[02:44:53.934 --> 02:44:56.155]  A lot of them, you know, we don't know.
[02:44:56.355 --> 02:44:58.717]  We don't know if this guy ever saw a psychiatrist.
[02:44:59.039 --> 02:45:02.864]  Well, they also said he had a brain injury, but then they want to just deny that.
[02:45:03.165 --> 02:45:04.166]  Final question here.
[02:45:04.186 --> 02:45:08.953]  He had a neurological evaluation, or he should have had one.
[02:45:09.394 --> 02:45:13.600]  And according to his posting on Facebook, he was in a blast injury.
[02:45:15.384 --> 02:45:20.566]  Let me ask you this final question, and folks can read the book Wounded Minds by Dr. John Liebert.
[02:45:21.266 --> 02:45:23.847]  Where do you think it's all going to end in your gut?
[02:45:24.587 --> 02:45:30.510]  They're not going to do the national conscription or whatever, or national service for a long time.
[02:45:31.330 --> 02:45:33.851]  And again, I wouldn't be against that except for who's running it.
[02:45:33.871 --> 02:45:36.152]  I mean, Rahm Emanuel was for that, for heaven's sakes, folks.
[02:45:37.552 --> 02:45:39.033]  That's not coming for a long time, if ever.
[02:45:39.973 --> 02:45:50.216]  What do you expect to happen then as they have an aging military where there's like people in there that are 65 in combat, guys with legs blown off to the knee, with prosthesis still fighting?
[02:45:50.796 --> 02:45:54.857]  I mean, this is like a joke, if it wasn't real.
[02:45:56.838 --> 02:46:04.720]  Well, I go back to what Calvin Coolidge, President Calvin Coolidge, said.
[02:46:05.260 --> 02:46:09.081]  The nation that forgets its defenders itself will be forgotten.
[02:46:09.827 --> 02:46:14.050]  And I think we're on that track and heading off of it.
[02:46:15.351 --> 02:46:15.871]  Well, thank you.
[02:46:15.891 --> 02:46:18.173]  Hopefully we can get you to pop in on subjects from time to time.
[02:46:18.233 --> 02:46:18.793]  Thank you, Doctor.
[02:46:19.113 --> 02:46:19.514]  Thank you.
[02:46:19.914 --> 02:46:21.635]  Very interesting interview, folks.
[02:46:21.655 --> 02:46:23.556]  I think he's a well-meaning guy and has a lot of great points.
[02:46:24.037 --> 02:46:31.702]  I don't know if I agree with National Compulsory Service because it's all going to be socialist.
[02:46:33.195 --> 02:46:38.397]  But you look at how screwed up kids are and how disconnected from reality, sometimes I think it'd be good for them, but you just can't.
[02:46:38.577 --> 02:46:39.118]  It's slavery.
[02:46:40.298 --> 02:46:41.379]  You can't trust the state.
[02:46:41.639 --> 02:46:42.499]  It's just too corrupt.
[02:46:42.539 --> 02:46:43.099]  You can't have it.
[02:46:43.460 --> 02:46:44.920]  The answer is not to have all these wars.
[02:46:45.360 --> 02:46:51.603]  I get where the doctor's coming from, that you will have less wars if everybody's kids are in it.
[02:46:51.963 --> 02:46:53.624]  But you know all the politicians.
[02:46:54.584 --> 02:46:56.505]  Their kids are going to be in the Air National Guard.
[02:46:56.565 --> 02:46:58.426]  Their kids are not going to be out there in the combat.
[02:46:59.895 --> 02:47:02.016]  And it's got to end, ladies and gentlemen.
[02:47:02.236 --> 02:47:03.036]  And it is going to end.
[02:47:03.716 --> 02:47:05.056]  Let me answer my question for him.
[02:47:05.336 --> 02:47:09.198]  They're rolling out with autonomous drones, land, air, sea, ground.
[02:47:11.158 --> 02:47:16.920]  And by land, you're going to have cars, you're going to have ground troops, you're going to have land vehicles that are robots.
[02:47:16.980 --> 02:47:21.081]  Basically, it's like a Ford truck souped up like a Ford Raptor with
[02:47:23.470 --> 02:47:27.111]  Missiles, machine guns, hand grenades, whole nine yards.
[02:47:27.151 --> 02:47:27.831]  That's a robot.
[02:47:28.031 --> 02:47:30.311]  We think of robots as Robbie the Robot coming to kill you.
[02:47:30.591 --> 02:47:41.714]  No, an 18-wheeler pulls up at your house and ten combat robots roll out the back with drones above to give them a bird's-eye view, and they come in your house and they kill you.
[02:47:43.314 --> 02:47:44.434]  And that's what they've got right now.
[02:47:44.514 --> 02:47:47.635]  The robots they show you on TV are nothing, ladies and gentlemen.
[02:47:48.493 --> 02:47:53.235]  They had robots 15 years ago, more advanced than what you see on the news.
[02:47:53.535 --> 02:47:54.656]  That's highly classified.
[02:47:55.476 --> 02:47:57.437]  Like I told you back then, they have autonomous drones.
[02:47:57.537 --> 02:48:00.378]  They just told you last year that they've been operating for a long time.
[02:48:00.878 --> 02:48:02.899]  They make the decisions, ladies and gentlemen.
[02:48:03.299 --> 02:48:08.121]  That's their answer to humans breaking down and not wanting to carry out immoral operations.
[02:48:08.762 --> 02:48:10.682]  All right, Sandy, Sherry and others, thanks for holding.
[02:48:10.982 --> 02:48:11.823]  Sorry I had to hold a while.
[02:48:11.843 --> 02:48:14.864]  We ran into that guest being on from when you called in.
[02:48:15.204 --> 02:48:16.045]  Sandy, you're on the air.
[02:48:16.085 --> 02:48:16.445]  Go ahead.
[02:48:16.485 --> 02:48:16.765]  Thank you.
[02:48:17.827 --> 02:48:19.467]  Yes, calling about Obamacare?
[02:48:19.487 --> 02:48:20.068]  Yes, ma'am.
[02:48:20.928 --> 02:48:26.349]  Okay, um, I have two short hospital horror stories for you and a question, if that's alright.
[02:48:26.369 --> 02:48:26.850]  Yeah, go ahead.
[02:48:27.670 --> 02:48:29.790]  Okay, a friend of mine's mother got ill.
[02:48:29.870 --> 02:48:32.851]  She was in her, like, 77 years old.
[02:48:32.891 --> 02:48:34.132]  This was about a month ago.
[02:48:34.652 --> 02:48:35.872]  She went into the hospital.
[02:48:35.892 --> 02:48:37.553]  She was having kidney problems.
[02:48:38.033 --> 02:48:39.933]  They kept her in there for a couple weeks.
[02:48:40.353 --> 02:48:41.534]  She finally died.
[02:48:41.954 --> 02:48:45.855]  Well, when the family talked to her afterwards, they told her that dialysis
[02:48:46.317 --> 02:48:50.358]  Could have saved her life, but she wasn't qualified for it.
[02:48:50.498 --> 02:48:51.058]  No, that's right.
[02:48:51.118 --> 02:48:51.538]  That's right.
[02:48:51.998 --> 02:48:54.459]  They're cutting almost all the life-saving events.
[02:48:55.119 --> 02:48:59.660]  Most of the time, if people, you know, are having kidney failure, I learned about this from my uncle, it comes back.
[02:48:59.680 --> 02:49:04.021]  A lot of people in the hospital who are sick on all these drugs, the kidneys fail, but a lot of times they come back.
[02:49:04.482 --> 02:49:09.803]  They will now just not do the dialysis and not even tell the family if you don't ask the questions, and they will kill you.
[02:49:11.331 --> 02:49:12.271]  Well, that's what happened.
[02:49:12.371 --> 02:49:16.353]  And another friend of mine, she tore a ligament in her knee.
[02:49:16.373 --> 02:49:17.353]  She couldn't even walk.
[02:49:17.873 --> 02:49:20.874]  I took her to the hospital in Greensburg, Pennsylvania.
[02:49:21.394 --> 02:49:22.555]  Westmoreland Hospital.
[02:49:22.595 --> 02:49:23.395]  I took her up there.
[02:49:23.695 --> 02:49:25.316]  There were no doctors to be found.
[02:49:25.336 --> 02:49:28.517]  All there were were PAs and nurse practitioners.
[02:49:29.077 --> 02:49:33.942]  When they asked where a doctor was, they said doctors are only called in case of emergency.
[02:49:33.982 --> 02:49:35.203]  Well, they gave her a crutch.
[02:49:35.643 --> 02:49:38.286]  She's hobbling around on a crutch with a torn ligament.
[02:49:38.666 --> 02:49:46.353]  She still has to have an MRI, which I know is going to lead to surgery and God knows how long that'll take.
[02:49:46.413 --> 02:49:51.158]  The hospitals that have fully rolled over to Obamacare now, a computer tells the doctor what to do.
[02:49:52.582 --> 02:49:54.323]  And real doctors just will not follow this.
[02:49:54.623 --> 02:49:55.383]  They're getting rid of them.
[02:49:55.543 --> 02:49:57.463]  They're going to have a nurse practitioner in there.
[02:49:57.923 --> 02:49:59.664]  That's why you hear there's a nurse shortage.
[02:50:00.304 --> 02:50:02.905]  A nurse practitioner basically is a doctor who isn't a doctor.
[02:50:03.205 --> 02:50:04.405]  I'm not knocking nurse practitioners.
[02:50:04.645 --> 02:50:07.966]  There's a lot of great ones out there who do know as much as the doctors or more.
[02:50:08.446 --> 02:50:10.447]  The fact is they're just downgrading our health care.
[02:50:12.087 --> 02:50:13.187]  Now my question is this.
[02:50:13.707 --> 02:50:19.529]  Why can't we as a nation have a massive recall and call all these guys back before the elections?
[02:50:20.592 --> 02:50:25.636]  I agree, we have to have the will, because the Republican leadership is in bed with the Democrats on Obamacare and everything else.
[02:50:25.756 --> 02:50:26.556]  That's the problem.
[02:50:27.237 --> 02:50:27.797]  God bless you.
[02:50:28.298 --> 02:50:28.998]  We're going to go to break.
[02:50:30.539 --> 02:50:31.180]  You have one other point?
[02:50:32.941 --> 02:50:33.301]  She's gone.
[02:50:33.321 --> 02:50:38.305]  I'm going to come back and write to Sherry, and I'm going to hurry to Andrew.
[02:50:39.210 --> 02:50:40.831]  And Truth Raider and Marion, and that's it.
[02:50:40.851 --> 02:50:48.033]  We'll do five minutes of overdrive because I've got to get over there and shoot some special reports for the Nightly News tonight and a whole bunch of other important stuff around here.
[02:50:48.873 --> 02:50:55.456]  But it's just incredible to know what a screwjob Obamacare is and then to have Al Sharpton go, you're just a racist.
[02:50:56.983 --> 02:50:58.745]  MSNBC, Alex Jones deeply racist.
[02:50:59.626 --> 02:51:00.867]  And they don't show where I'm deeply racist.
[02:51:00.887 --> 02:51:04.672]  It's like saying Alex Jones has green skin and then I don't.
[02:51:04.692 --> 02:51:06.193]  They just lie.
[02:51:07.174 --> 02:51:07.995]  They do whatever they want.
[02:51:08.336 --> 02:51:09.077]  Preying on you.
[02:51:10.208 --> 02:51:12.830]  It's time to kick some ash.
[02:51:13.250 --> 02:51:15.611]  Because cigarettes have met their match.
[02:51:15.771 --> 02:51:18.373]  Smokers are switching to Vapriate e-liquid by Le Cig.
[02:51:18.473 --> 02:51:21.755]  Because when you kick ash, you kick tar and smelly smoke, too.
[02:51:22.075 --> 02:51:30.040]  Le Cig smokes the competition with real people customer service, a seven-day satisfaction guarantee, and same-day, fast, free shipping.
