[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[03:49:17.239 --> 03:49:39.387]  I've driven taxis here in Austin for a long time and we just as a person in the transportation industry it's almost like we've got our fingers on the pulse of the economy a lot of times because we rely a lot on travelers coming in and out of the airport going in and out of the hotels convention business and all that and just these stories like for instance this past summer
[03:49:39.947 --> 03:49:40.748]  We're good to go!
[03:49:59.887 --> 03:50:02.250]  Cheap gasoline, inexpensive gasoline.
[03:50:02.310 --> 03:50:09.921]  If you've got inexpensive diesel, then that is one of the biggest factors that dictates how the economy goes.
[03:50:10.422 --> 03:50:11.843]  And to give you an example,
[03:50:13.266 --> 03:50:16.689]  Actually, maybe to give you maybe more than one example, two or three examples.
[03:50:17.490 --> 03:50:21.454]  I grew up basically and first started driving back in the 70s.
[03:50:21.954 --> 03:50:28.240]  And I can actually remember when gasoline was 18 cents a gallon, 20 cents a gallon, 30 cents a gallon, that range.
[03:50:28.621 --> 03:50:31.663]  You know, the first car I had was a big Buick with a big
[03:50:32.563 --> 03:50:41.195]  Gas hog engine, you know, eight cylinder engine burning, uh, using about seven, uh, a gallon for every seven miles, a gallon for every eight miles.
[03:50:42.076 --> 03:50:47.744]  And it was no big deal though, because you could go get 20, 20 gallons for, you know, five or six bucks.
[03:50:48.385 --> 03:50:53.129]  So that was really, we just didn't know how good we had it back then.
[03:50:53.189 --> 03:50:57.973]  Okay, you know, people didn't make the kind of money that they make nowadays, but that's, you know, because of inflation.
[03:50:58.554 --> 03:51:08.522]  But still, filling up your tank, you know, 20 gallons for five or six bucks, picture what that would do for our economy right now if somehow there were a big giant rollback.
[03:51:08.583 --> 03:51:10.184]  I don't expect it to happen at that level.
[03:51:10.784 --> 03:51:13.947]  But if we could see gasoline down at the buck 25, buck 50 level,
[03:51:16.209 --> 03:51:19.840]  You know, that would really be one of the big things to spur the economy.
[03:51:20.281 --> 03:51:22.928]  But back in the 70s, that's one of the first...
[03:51:24.119 --> 03:51:37.748]  I guess in my lifetime, the first gas crunch that I can remember, there might have been other shortages, so-called shortages, prior to when I can recall, but that's the first one I remember really vividly because I was living it in the 70s.
[03:51:38.629 --> 03:51:48.896]  And back then, we learned that ultimately gasoline and oil were not going to be the solution to keep us being transported here in the United States.
[03:51:48.996 --> 03:51:50.717]  We learned that back in the 70s.
[03:51:51.317 --> 03:51:52.318]  That was a big lesson.
[03:51:52.418 --> 03:51:53.078]  And back in the 70s,
[03:51:54.539 --> 03:52:05.386]  We saw gasoline go from, like I said, around $0.18 a gallon, $0.30 a gallon range, up to $1.50 a gallon.
[03:52:05.907 --> 03:52:12.931]  And so taking it from $0.30 to $1.50 was a five-fold increase, five times higher.
[03:52:13.312 --> 03:52:20.036]  So imagine nowadays where we were like in the, I guess about a year ago,
[03:52:21.457 --> 03:52:23.318]  We were around the $2.50 range.
[03:52:24.318 --> 03:52:30.942]  Imagine if they had taken it from $2.50, five-fold, five-fold increase.
[03:52:31.122 --> 03:52:33.943]  Imagine what that would have done to our economy.
[03:52:34.964 --> 03:52:36.745]  $12.50, $12.50 a gallon.
[03:52:36.785 --> 03:52:39.606]  Can you imagine the shutdown that would have created?
[03:52:39.646 --> 03:52:45.829]  So that would have been more equivalent to kind of what happened in the 70s because of that five-fold increase.
[03:52:46.329 --> 03:52:47.190]  So it really
[03:52:47.890 --> 03:53:15.205]  crunch the economy here in Texas I don't know about everywhere but here in Texas we actually had gas lines at the gasoline stations there were you know the NWO had I think even more control obviously probably of on gasoline oil back then or maybe they just haven't implemented as much control yet they they probably have that same level of control if they want to to where we can have once again gasoline lines at the stations but here in Texas
[03:53:15.825 --> 03:53:30.112]  We actually had gasoline lines at the stations and at one point there was actually a rationing of a sense because you could only get gasoline on an odd or even day that matched your license plate.
[03:53:30.132 --> 03:53:40.478]  So in other words, if your license plate number ended in a 1, a 3, 5, 7, 9, then you could get gasoline on an odd numbered day if your license plate was 0, 2, 4, 6, 8,
[03:53:42.859 --> 03:53:46.001]  Then you could get gas on an even-numbered day.
[03:53:46.061 --> 03:53:57.770]  So there was a former rationing back then in the 70s here in Texas up in the Dallas-Fort Worth area where I grew up and fortunately we haven't seen those types of events
[03:53:58.930 --> 03:54:01.892]  At least not on a countrywide scale.
[03:54:02.012 --> 03:54:16.141]  I'm not sure even back then, you know, here you most time you just focused more on what's going on locally, obviously, and especially as a young man, a teenager at the time, you know, I'm just paying attention kind of more to what's going on locally and not nationwide and certainly not worldwide.
[03:54:16.661 --> 03:54:17.341]  So I don't know how
[03:54:18.542 --> 03:54:19.723]  We're good to go.
[03:54:43.945 --> 03:54:52.330]  Fast forward though, here we had gasoline diesel prices up over a dollar gallon for years and years and years.
[03:54:52.790 --> 03:54:59.074]  Once we eclipsed the dollar figure back in the 70s, you know, we ranged up into $1.25, $1.50, you know, $1.30 range for many, many years.
[03:54:59.094 --> 03:54:59.514]  And frankly,
[03:55:05.752 --> 03:55:20.102]  Never thought that I would see gasoline back under a dollar a gallon but you know a little while ago I was talking about how it's such a such a factor on the economy price of gasoline diesel and to demonstrate that is we actually
[03:55:21.062 --> 03:55:30.006]  Believe it or not, and I couldn't believe it when it happened, we actually in the late 90s saw gasoline prices go below a dollar a gallon.
[03:55:30.106 --> 03:55:30.787]  I couldn't believe it.
[03:55:30.947 --> 03:55:39.011]  It was literally almost like Christmas every day, especially being an independent contractor and having to buy gasoline every day.
[03:55:39.591 --> 03:55:40.352]  It was amazing.
[03:55:40.412 --> 03:55:43.574]  And think about the economy we had in the late 90s.
[03:55:44.014 --> 03:55:52.940]  That was one of the most popping, humming economies in the late 90s that we may ever see in our lifetime, or at least in my lifetime.
[03:55:53.420 --> 03:55:54.981]  Think of the things that came together.
[03:55:55.542 --> 03:55:59.604]  And a lot of people try to give Bill Clinton credit for the economy in the 90s.
[03:56:00.025 --> 03:56:05.829]  I tell you what, that guy, he's just the lucky guy that he was president at that time when it comes to the economy.
[03:56:05.869 --> 03:56:08.831]  Because think of all the things he had going on.
[03:56:09.731 --> 03:56:15.917]  Starting in the early 90s, mid 90s, building up into the late 90s, you had the internet coming on.
[03:56:16.418 --> 03:56:20.362]  You had all that build out of the infrastructure of the internet.
[03:56:20.422 --> 03:56:27.408]  That still continues somewhat today, but back then in the 90s, you had fiber optic cable being laid everywhere.
[03:56:27.489 --> 03:56:30.952]  You had roads being dug up for fiber optic cable.
[03:56:31.432 --> 03:56:33.594]  All the infrastructure for the internet.
[03:56:34.235 --> 03:56:37.076]  You had cell phones just blowing up.
[03:56:38.176 --> 03:56:41.056]  My first cell phone I had in 1997.
[03:56:41.556 --> 03:56:48.538]  And now kids grow up and they get their cell phone, you know, when they're kids and they can't imagine a world without cell phones.
[03:56:48.658 --> 03:56:51.058]  And now it's hard to imagine a world without cell phones.
[03:56:51.478 --> 03:56:59.440]  But think of the infrastructure that had to go into the behind the scenes of making the cell phone industry work.
[03:56:59.500 --> 03:57:01.020]  The towers, all the different
[03:57:02.213 --> 03:57:03.755]  We're good to go.
[03:57:24.938 --> 03:57:27.259]  I didn't even mess with a computer till around 1997.
[03:57:27.379 --> 03:57:32.462]  I'm still pretty bad on the keyboard, even after 14 years.
[03:57:32.502 --> 03:57:36.924]  But here I was in 1997, would have been approximately late 30s, early 40s.
[03:57:40.726 --> 03:57:54.989]  Had never really messed with computers and here in 1997 I'm taking some of my first trips to the library in Dallas, Texas to get on a computer there for free and working on that slow internet from the that we had back in the late 90s.
[03:57:55.029 --> 03:57:58.030]  So it's just amazing what happened in the late 90s.
[03:57:58.390 --> 03:58:01.651]  Like I said, you had the hardware of the PCs blowing up.
[03:58:01.691 --> 03:58:08.352]  You had the internet coming on board and being built out and not just here in the United States, but obviously worldwide.
[03:58:09.932 --> 03:58:10.472]  We're good to go.
[03:58:35.003 --> 03:58:36.804]  The Gasoline
[03:59:04.963 --> 03:59:22.246]  I can't say that we've seen the worst of the economy yet, that's for sure, but it's going to be this audience that's going to make a difference in trying to stop them because whenever we see activities, whenever we see what's going on, it's like I was talking about the Cushing story in Oklahoma earlier.
[03:59:22.646 --> 03:59:23.987]  Those reports helped come out.
[03:59:24.027 --> 03:59:30.208]  I think those reports that came out with the oversupply and the overhead supply of oil are what helped.
[03:59:30.908 --> 03:59:36.794]  Push back that agenda of trying to get gasoline up to $6 and $7 a gallon.
[03:59:37.214 --> 03:59:53.070]  I really believe that and so it's info warriors out there in this audience that bring these stories to the forefront that get them reported and then Alex can sit here with this powerful microphone and his powerful voice and get these stories out and that's how they make a difference.
[03:59:53.430 --> 03:59:53.930]  I mean when
[03:59:54.611 --> 04:00:01.459]  The Drudge Report puts his links on to Infowars and all the other stories that DrudgeReport.com comes out with.
[04:00:03.080 --> 04:00:11.670]  It really does make an impact, I believe, and would we ever potentially see another economy like we had in the late 90s?
[04:00:13.032 --> 04:00:13.492]  I don't know.
[04:00:13.572 --> 04:00:17.213]  I mean, think of the convergence of all these different build-outs that occurred.
