[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[03:23:13.781 --> 03:23:14.742]  Yeah, we're going to flatten it.
[03:23:15.103 --> 03:23:21.271]  We're going to carve away all those hills, everything, and we're going to make it flat, and we're going to build a giant city there.
[03:23:21.711 --> 03:23:30.222]  Now some people say, oh my God, that's horrible, whatever, whatever, whatever, but this is how the magnificent achievement called New York City, Manhattan,
[03:23:30.993 --> 03:23:31.473]  Developed.
[03:23:31.533 --> 03:23:32.594]  That's how it was done.
[03:23:33.014 --> 03:23:40.639]  And again, all the little scurrilous creatures were trying to nip at his heels and say this was insane and you couldn't do it.
[03:23:40.719 --> 03:23:41.480]  It couldn't be done.
[03:23:41.520 --> 03:23:43.181]  He said it's going to be done.
[03:23:44.101 --> 03:23:44.842]  And it was.
[03:23:45.723 --> 03:23:48.504]  And that's why Manhattan is pretty flat.
[03:23:49.865 --> 03:23:53.548]  And that's why the city extended north of where it was.
[03:23:54.068 --> 03:23:58.371]  And that's how this magnificent achievement called New York City came to being.
[03:23:59.471 --> 03:24:00.212]  Achievement.
[03:24:02.654 --> 03:24:07.298]  The young do not hear this word the way it used to be heard.
[03:24:08.019 --> 03:24:10.481]  It's not taught the way it used to be taught.
[03:24:11.101 --> 03:24:24.533]  This is what comes out of freedom, real freedom, and this is what terrifies the controllers who want to make this planet into a machine in which the humans are machines.
[03:24:25.494 --> 03:24:26.274]  Achievement.
[03:24:28.676 --> 03:24:29.477]  Your achievement.
[03:24:29.777 --> 03:24:30.538]  My achievement.
[03:24:32.032 --> 03:24:34.154]  Every individual's achievement.
[03:24:35.575 --> 03:24:35.915]  Okay.
[03:24:36.676 --> 03:24:45.303]  So you've heard a great deal now about the secret house memo and what it contains and what it might contain and what happens if it's released and so forth and so on.
[03:24:45.823 --> 03:24:56.152]  Well, there's a secret, another secret memo, which I call for purposes of discussion, the secret medical memo.
[03:24:58.194 --> 03:24:59.735]  This is a blockbuster.
[03:25:01.761 --> 03:25:05.002]  But the funny thing about it is, is that it's not secret at all.
[03:25:05.062 --> 03:25:07.023]  It's open information.
[03:25:07.803 --> 03:25:12.505]  The information has already been published in open journals.
[03:25:13.906 --> 03:25:14.506]  It's there.
[03:25:16.927 --> 03:25:26.571]  It accuses, by implication, one of the biggest agencies of the federal government, several actually, of mass murder.
[03:25:28.092 --> 03:25:29.152]  And yet nothing has happened.
[03:25:31.351 --> 03:25:32.892]  The medical memo.
[03:25:34.854 --> 03:25:35.715]  Story number two.
[03:25:38.577 --> 03:25:44.622]  I'm going to read from my piece today, why the FDA should be charged with murder.
[03:25:45.183 --> 03:25:56.012]  If you worked for a federal agency that was killing people at the rate of 100,000 a year, every year like clockwork, and if you knew it, wouldn't you feel compelled to say or do something about it?
[03:25:57.683 --> 03:26:04.047]  I think I can assure that 99.9999% of the people listening to this program would say, you bet.
[03:26:04.727 --> 03:26:05.348]  Absolutely.
[03:26:05.908 --> 03:26:12.232]  And yet, the people who are committing these crimes do not feel that way at all.
[03:26:12.312 --> 03:26:14.293]  They are not like you or me.
[03:26:14.714 --> 03:26:15.574]  They are different.
[03:26:18.876 --> 03:26:19.777]  Smoking guns.
[03:26:22.058 --> 03:26:22.739]  On the memo.
[03:26:25.140 --> 03:26:26.201]  Open secrets.
[03:26:27.077 --> 03:26:34.504]  In the literature, I don't usually make the citations on air, but I'm going to just to show you that it's there.
[03:26:35.905 --> 03:26:40.089]  BMJ, British Medical Journal, online, June 7, 2012.
[03:26:43.051 --> 03:26:53.100]  Author, Gene Lenzer, refers to a report by the Institute for Safe Medication Practices, quote,
[03:26:53.989 --> 03:27:10.097]  It, the report, calculated that in 2011 prescription drugs were associated with two to four million people in the US experiencing, quote, serious, disabling, or fatal injuries, including 128,000 deaths.
[03:27:14.059 --> 03:27:17.981]  Prescription drugs associated with that in 2011.
[03:27:20.080 --> 03:27:30.065]  The report called this, quote, one of the most significant perils to humans resulting from human activity, end quote.
[03:27:33.027 --> 03:27:34.768]  It's quite a smoking gun, wouldn't you say?
[03:27:35.488 --> 03:27:47.515]  And the final dagger, the report was compiled by outside researchers who went into the FDA's own database of serious adverse medical drug events.
[03:27:48.735 --> 03:27:51.036]  Otherwise known as death and destruction.
[03:27:53.297 --> 03:28:00.720]  Now, therefore you can't say that the FDA, the Food and Drug Administration, was unaware of all of this.
[03:28:00.800 --> 03:28:02.981]  Of course they have been aware of all of this.
[03:28:04.862 --> 03:28:14.726]  In fact, they are the agency, the only agency in America, that approve medical drugs for public use.
[03:28:15.578 --> 03:28:20.881]  If you don't get their seal of approval, you can't sell your drugs in America.
[03:28:21.401 --> 03:28:27.825]  They approve as safe and effective.
[03:28:28.546 --> 03:28:30.707]  128,000 deaths a year from the drugs they approve?
[03:28:32.828 --> 03:28:34.149]  We'll have more after the break.
[03:28:34.189 --> 03:28:37.951]  This is John Rappaport sitting in for Alex in the fourth hour at InfoWars.
[03:28:59.884 --> 03:29:01.526]  Matt in Ohio, you're on the air.
[03:29:01.546 --> 03:29:02.446]  Another Matt, go ahead.
[03:29:02.506 --> 03:29:17.199]  Yeah, hey, listen, I just wanted to say real quick, I'm a longtime listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[03:29:17.219 --> 03:29:24.746]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[03:29:24.906 --> 03:29:25.326]  Well, thank you.
[03:29:25.346 --> 03:29:30.269]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me.
[03:29:30.289 --> 03:29:32.870]  And it's a big Dayglo snake, Gadsden snake.
[03:29:33.250 --> 03:29:36.171]  And then it's got the American flag, Infowars.com on the right arm.
[03:29:36.552 --> 03:29:42.694]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[03:29:42.835 --> 03:29:45.496]  And the newest one is Trigger Warning T-shirt.
[03:29:46.016 --> 03:29:52.579]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign, and then InfoWars.com on the back.
[03:29:52.919 --> 03:29:57.520]  That is the new Shirt of the Mind, available exclusively at InfoWarsStore.com.
[03:29:58.721 --> 03:30:03.222]  Support good oral health with our one-of-a-kind, super blue, fluoride-free products.
[03:30:03.363 --> 03:30:10.745]  InfoWars Life brings you a revolutionary toothpaste blend, with iodine and nano-silver, designed to deliver a powerful clean.
[03:30:11.025 --> 03:30:14.967]  Enjoy a minty fresh flavor made with peppermint oil, or try our bubblegum flavor.
[03:30:15.247 --> 03:30:21.212]  Pair this groundbreaking toothpaste with the Super Blue Fluoride-Free Mouthwash and supercharge your oral health.
[03:30:21.372 --> 03:30:27.757]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[03:30:27.977 --> 03:30:38.125]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[03:30:38.345 --> 03:30:44.788]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[03:30:45.148 --> 03:30:47.750]  Xylitol, Nano-Silver, and Iodine.
[03:30:48.030 --> 03:30:51.331]  Notice the difference with our Super Blue Fluoride-Free products.
[03:30:51.632 --> 03:30:56.534]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[03:30:56.634 --> 03:30:58.535]  That's InfoWarsStore.com.
[03:30:58.775 --> 03:31:07.780]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[03:31:07.860 --> 03:31:15.964]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[03:31:16.264 --> 03:31:20.966]  We have now managed to secure the sought-after beans in a highly customized blend.
[03:31:21.146 --> 03:31:27.849]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[03:31:27.929 --> 03:31:34.991]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[03:31:35.091 --> 03:31:36.812]  Hands down, this is my favorite coffee.
[03:31:37.012 --> 03:31:41.974]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[03:31:42.134 --> 03:31:46.476]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[03:31:46.616 --> 03:31:49.857]  Available in original or with our immune support infusion blend.
[03:31:49.997 --> 03:31:56.119]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[03:31:56.299 --> 03:31:57.980]  Available at Infowarslife.com.
[03:31:58.740 --> 03:32:04.002]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[03:32:04.722 --> 03:32:08.023]  For those who want to increase testosterone and energy levels.
[03:32:08.883 --> 03:32:15.205]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[03:32:16.926 --> 03:32:23.272]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[03:32:24.073 --> 03:32:29.319]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[03:32:29.939 --> 03:32:38.648]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including
[03:32:39.108 --> 03:32:40.489]  You're listening to the Alex Jones Show.
[03:33:11.352 --> 03:33:28.642]  John Rappaport here in the fourth hour sitting in for Alex.
[03:33:43.112 --> 03:33:48.916]  The products at InfoWarsStore.com, InfoWarsLife.com.
[03:33:51.018 --> 03:33:55.522]  To say they fund the InfoWars, it's a very simple thing to understand.
[03:33:56.422 --> 03:33:59.444]  You get the products that you want for your health.
[03:34:00.685 --> 03:34:03.287]  You support the operation that gets out the truth.
[03:34:05.169 --> 03:34:11.874]  That stands on the frontier of the takeover.
[03:34:12.609 --> 03:34:25.414]  Against that takeover, beyond that takeover by people who want to put you into the collective on a physical level, on a mental level, on a spiritual level.
[03:34:27.335 --> 03:34:28.255]  That's their war.
[03:34:29.796 --> 03:34:31.997]  The Infowar is about freedom.
[03:34:32.137 --> 03:34:33.117]  It's about achievement.
[03:34:33.617 --> 03:34:42.241]  It's about a better future for real, not the fake better future that's being sold to everybody by the controllers.
[03:34:43.147 --> 03:34:48.831]  So whenever you buy a product at InfowarsStore.com, you support that.
[03:34:49.031 --> 03:34:50.272]  That's what you're supporting.
[03:34:51.032 --> 03:34:52.593]  That's what it's all about.
[03:34:54.034 --> 03:35:03.880]  So let me continue now with the secret medical memo, which is not secret at all because it's been out in the open all this time.
[03:35:04.680 --> 03:35:08.603]  For some reason, the mainstream press just doesn't report on it.
[03:35:08.683 --> 03:35:08.943]  Wow!
[03:35:09.563 --> 03:35:10.264]  What a shock, huh?
[03:35:11.608 --> 03:35:18.534]  And for some reason the federal government doesn't do anything about it, even though they're responsible for it.
[03:35:18.594 --> 03:35:19.614]  What a shock, right?
[03:35:21.776 --> 03:35:39.650]  And isn't it interesting that the medical destruction that I'm talking about here is part and parcel of a cartel, the medical cartel, that is one of the strongest, if not the strongest arm of that movement called globalism.
[03:35:41.323 --> 03:35:59.560]  Because if you are going, and I never get tired of saying this, to take over a planet, you need to find a way to weaken the enemy from within, to confuse, disorient, debilitate, destroy, weaken.
[03:36:01.742 --> 03:36:03.264]  And that's what the effects
[03:36:04.312 --> 03:36:10.336]  of all of these medical drugs that I'm talking about are in the secret medical memo.
[03:36:10.817 --> 03:36:13.058]  So let's go to the next citation.
