[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[03:41:35.771 --> 03:41:39.153]  We're not gonna... We'll do you what you want.
[03:41:39.213 --> 03:41:40.293]  We'll tell you.
[03:41:40.634 --> 03:41:41.914]  We're the politicians.
[03:41:43.155 --> 03:41:44.276]  Name the country.
[03:41:44.796 --> 03:41:47.018]  Macron, the little cotton.
[03:41:47.658 --> 03:41:49.959]  A little boy had nothing over there in France.
[03:41:51.761 --> 03:41:55.423]  And here we are in the United States going into the presidential reality show.
[03:41:56.724 --> 03:41:58.084]  And it's a cast, boy.
[03:41:59.545 --> 03:42:01.186]  Well, girl, I gotta be proper now.
[03:42:01.206 --> 03:42:03.748]  I don't want anybody to say, you said boy, and he didn't say girl.
[03:42:05.540 --> 03:42:11.581]  But talking about that, how about the big news about, uh, Joe Biden, huh?
[03:42:12.401 --> 03:42:17.022]  Now, if I were to rate politicians on 1 to 10, where I put Biden, I'd put about a minus 15.
[03:42:18.202 --> 03:42:19.402]  I can't stand the guy.
[03:42:20.003 --> 03:42:22.563]  A phony piece of arrogant garbage.
[03:42:23.763 --> 03:42:24.483]  But what happened?
[03:42:25.664 --> 03:42:27.684]  Made an accusation about him.
[03:42:27.704 --> 03:42:28.164]  That's right.
[03:42:30.464 --> 03:42:33.745]  You could say anything, prove nothing,
[03:42:35.014 --> 03:42:35.634]  And you're guilty.
[03:42:36.774 --> 03:42:40.815]  That's where America's become, and that's how dumbed down the media's become.
[03:42:41.535 --> 03:42:42.736]  This isn't journalism.
[03:42:43.456 --> 03:42:44.516]  You made an allegation.
[03:42:44.556 --> 03:42:45.336]  Show me some proof.
[03:42:46.977 --> 03:42:47.937]  No, don't have to.
[03:42:48.877 --> 03:42:52.178]  Because we're the prostitutes, and we get paid to put out.
[03:42:52.198 --> 03:42:56.939]  But now that info wars, we're going to be back in a few minutes.
[03:42:57.679 --> 03:43:00.439]  Stay tuned, more trends coming up.
[03:43:09.267 --> 03:43:12.028]  And let's go to Lucas in North Carolina.
[03:43:12.048 --> 03:43:13.149]  Thanks for holding her on the air.
[03:43:13.169 --> 03:43:13.789]  How you doing, Alex?
[03:43:13.829 --> 03:43:14.349]  Good to be on.
[03:43:14.369 --> 03:43:15.089]  Good to have you here.
[03:43:15.349 --> 03:43:19.531]  Real quickly, I just wanted to say that I am a user of the InfoWars products.
[03:43:19.771 --> 03:43:22.052]  First, I started with Supermail Vitality.
[03:43:22.072 --> 03:43:29.715]  I am a late 30s male, and I don't get all the time that I would like to work out as much as I do, and immediately noticed that
[03:43:30.015 --> 03:43:35.496]  Being able to retain strength and muscle mass from the use of super male vitality, so I want to thank you for that.
[03:43:35.636 --> 03:43:41.657]  Also, I bought the t-shirt, Reelect 45, and Hillary for Prison, obviously, one of the most popular.
[03:43:41.677 --> 03:43:46.778]  It's drawn so much attention, and I don't know if people believe it or not, but it's all positive attention.
[03:43:46.858 --> 03:43:53.299]  The main reaction that I got myself was from males 18 to 20 years old and middle-aged black women.
[03:43:53.379 --> 03:43:56.800]  Honest to God, they were the ones commenting, saying, I love that shirt.
[03:43:56.860 --> 03:43:59.320]  They would laugh about it, tell their friends about it.
[03:43:59.680 --> 03:44:11.167]  And, uh, next, I tried X2, and, uh, it's nothing that you notice immediately, but it seemed over time, I felt like I was more sharp from the iodine, being able to retain a short-term memory better.
[03:44:11.207 --> 03:44:14.329]  I just feel a little sharper in my day-to-day activities.
[03:44:15.390 --> 03:44:16.191]  I totally agree with you.
[03:44:16.211 --> 03:44:18.112]  Again, it's the good halogen.
[03:44:18.312 --> 03:44:21.394]  IQs get reduced by 15 points without iodine.
[03:44:21.474 --> 03:44:23.436]  In your development, people can look this up for themselves.
[03:44:23.876 --> 03:44:28.199]  And that's why the globalists are obsessed with making sure it's not in the food, it's not in the products we eat.
[03:44:28.599 --> 03:44:30.160]  We are just starving for iodine.
[03:44:30.200 --> 03:44:31.221]  That's why we came out with X2.
[03:44:31.261 --> 03:44:32.182]  We have X3.
[03:44:32.222 --> 03:44:34.563]  That's all three times, but this is the deep-earth crystal source.
[03:44:34.624 --> 03:44:35.884]  We don't have it back in stock.
[03:44:35.964 --> 03:44:38.066]  So again, InfoWarsStore.com.
[03:44:38.246 --> 03:44:40.488]  InfoWarsLife.com takes you right to the sub-page.
[03:44:40.508 --> 03:44:42.329]  That has all the award-winning supplements.
[03:44:42.449 --> 03:44:46.152]  And while you're there getting the supplements, go check out the hundreds of great t-shirts.
[03:44:46.232 --> 03:44:47.853]  Many of them are limited edition.
[03:44:47.973 --> 03:44:48.553]  It's all there.
[03:44:48.733 --> 03:44:52.576]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[03:44:52.876 --> 03:45:05.225]  If you don't read the newspaper, you're uninformed.
[03:45:05.625 --> 03:45:07.146]  If you do read it, you're misinformed.
[03:45:10.970 --> 03:45:11.931]  That's a great question.
[03:45:12.211 --> 03:45:14.394]  What is the long-term effect of too much information?
[03:45:15.215 --> 03:45:18.258]  One of the effects is the need to be first, not even to be true anymore.
[03:45:18.699 --> 03:45:28.930]  We are hearing from a Native American elder, a Vietnam War veteran, speaking to CNN after a disturbing viral video shows a group of teens harassing and mocking him in the nation's capital.
[03:45:29.150 --> 03:45:31.032]  The videos have drawn outrage.
[03:45:31.112 --> 03:45:31.512]  Outrage.
[03:45:31.612 --> 03:45:31.973]  Outrage.
[03:45:32.073 --> 03:45:32.473]  Outrage.
[03:45:32.573 --> 03:45:33.994]  Outrage from all corners.
[03:45:34.034 --> 03:45:36.356]  Here's the video sparking outrage on social media.
[03:45:36.376 --> 03:45:38.258]  Sparked outrage on social media.
[03:45:38.298 --> 03:45:46.065]  A group of teenagers, many wearing Make America Great Again hats, were caught on video taunting a Native American Vietnam veteran.
[03:45:46.265 --> 03:45:48.247]  So what a responsibility you all have.
[03:45:49.505 --> 03:45:50.827]  To be, to tell the truth.
[03:45:51.428 --> 03:45:53.691]  Not just to be first, but to tell the truth.
[03:45:53.952 --> 03:45:58.518]  A few days ago I called the fake news the enemy of the people, and they are.
[03:45:58.899 --> 03:46:00.381]  They are the enemy of the people.
[03:46:01.383 --> 03:46:05.349]  Because they have no sources, they just make them up.
[03:46:06.314 --> 03:46:06.995]  When there are none.
[03:46:07.215 --> 03:46:09.096]  We live in a society now where it's just first.
[03:46:09.156 --> 03:46:09.657]  Who cares?
[03:46:09.897 --> 03:46:10.517]  Get it out there.
[03:46:10.878 --> 03:46:11.798]  We don't care who it hurts.
[03:46:11.858 --> 03:46:12.939]  We don't care who we destroy.
[03:46:13.079 --> 03:46:14.060]  We don't care if it's true.
[03:46:14.360 --> 03:46:14.921]  Just say it.
[03:46:15.001 --> 03:46:15.401]  Sell it.
[03:46:15.661 --> 03:46:18.723]  The President of the United States is racist.
[03:46:18.844 --> 03:46:22.306]  The President of the United States is a weak man.
[03:46:22.366 --> 03:46:23.187]  He's a racist.
[03:46:23.487 --> 03:46:24.108]  He's a punk.
[03:46:24.668 --> 03:46:25.369]  He's a dog.
[03:46:25.669 --> 03:46:26.369]  He's a pig.
[03:46:26.409 --> 03:46:27.710]  He's a bully and he's a bitch.
[03:46:27.890 --> 03:46:29.131]  He's unfit to be human.
[03:46:29.632 --> 03:46:31.273]  Anything you practice, you'll get good at.
[03:46:32.854 --> 03:46:33.315]  Including BS.
[03:46:38.371 --> 03:46:39.472]  We've got some breaking news.
[03:46:39.692 --> 03:46:46.516]  Actor and musician Jussie Smollett from the hit show Empire was attacked and beaten early this morning in Chicago.
[03:46:46.556 --> 03:46:48.077]  Racism is alive and well.
[03:46:48.117 --> 03:46:51.359]  And that says a lot about the place that we are in our country right now.
[03:46:51.540 --> 03:46:53.501]  The fact that we have these fear mongrels.
[03:46:53.741 --> 03:46:58.924]  These people that are trying to separate us and it's just not okay.
[03:47:01.906 --> 03:47:02.727]  Did I make that up too?
[03:47:06.149 --> 03:47:08.757]  You're listening to The Alex Jones Show.
[03:47:26.511 --> 03:47:28.112]  The answer to 1984 is 1776.
[03:47:28.432 --> 03:47:37.337]  You're listening to The Alex Jones Show with Gerald Cilenti.
[03:47:37.457 --> 03:47:38.278]  Hey, welcome back.
[03:47:38.338 --> 03:47:40.339]  Welcome back to The Alex Jones Show.
[03:47:40.359 --> 03:47:43.281]  This is Gerald Cilenti hosting this hour.
[03:47:44.021 --> 03:47:45.422]  It's always great being here.
[03:47:45.442 --> 03:47:49.364]  Remember, put your money where your mind is and your heart.
[03:47:50.025 --> 03:47:55.488]  Support InfoWars to keep freedom of speech alive because they're really taking it away from us.
[03:47:56.363 --> 03:48:02.264]  There was this article I was looking at, you know, the Chinese or how they're putting more and more censorship on.
[03:48:02.284 --> 03:48:05.725]  I'm saying, man, America's catching right up there with them.
[03:48:07.485 --> 03:48:10.326]  So support InfoWars anyway, where you can.
[03:48:11.086 --> 03:48:15.787]  Again, I read you that article about how there's a lawsuit against Poland Spring.
[03:48:16.827 --> 03:48:18.288]  It's not spring water at all.
[03:48:18.368 --> 03:48:19.168]  I'm not saying it.
[03:48:19.208 --> 03:48:20.268]  That's what the lawsuit is.
[03:48:20.308 --> 03:48:22.428]  So don't come after me, Mr. Nestle.
[03:48:23.148 --> 03:48:25.509]  I think they're the ones that own Poland Spring.
[03:48:26.618 --> 03:48:29.519]  And I was mentioning also about Joe Biden.
[03:48:29.559 --> 03:48:31.239]  Again, a disgusting human being.
[03:48:31.599 --> 03:48:32.740]  Can't stand the guy.
[03:48:32.760 --> 03:48:34.720]  He's a phony fraud.
[03:48:34.980 --> 03:48:35.420]  Arrogant.
[03:48:35.900 --> 03:48:37.401]  Never worked a day in his life.
[03:48:37.441 --> 03:48:40.922]  He's been playing his... He's been a lifelong politician.
[03:48:40.982 --> 03:48:41.982]  Another one of those.
[03:48:42.002 --> 03:48:44.282]  Oh, I'm sorry I did that.
[03:48:44.402 --> 03:48:45.843]  I'm sorry I did that.
[03:48:46.203 --> 03:48:55.105]  I regret I did that, because now I'm running... I may run for office, so I'm gonna backtrack on all the miserable things I did to make people's lives so disgusting.
[03:48:56.049 --> 03:49:12.561]  But anyway, when he was accused of blowing on the hair, or breathing on the hair of a woman, and then kissing her in the back of the head, that happened, what, 2015?
[03:49:13.762 --> 03:49:14.682]  Four years ago.
[03:49:15.323 --> 03:49:16.924]  Oh, I was terrified, I couldn't say anything.
[03:49:17.224 --> 03:49:22.948]  If that was my mother, may I so rest in peace, running in my aunts, they were like, you son of a... What the hell are you doing?
[03:49:22.988 --> 03:49:24.029]  Get the hell out of here!
[03:49:25.247 --> 03:49:26.948]  They could care less who it was.
[03:49:27.969 --> 03:49:28.649]  Oh, no.
[03:49:29.290 --> 03:49:30.851]  I couldn't say anything.
[03:49:31.391 --> 03:49:32.652]  Oh, you know, that's right.
[03:49:32.692 --> 03:49:34.013]  She was running for office.
[03:49:34.513 --> 03:49:36.715]  She was the perfect politician, man.
[03:49:37.495 --> 03:49:37.975]  Women.
[03:49:38.716 --> 03:49:49.623]  Anyway, again, one of our top trends in the Trends Journal this year, 2019, was America Puritan 2.0.
[03:49:50.444 --> 03:49:51.724]  This is more of the proof.
[03:49:53.125 --> 03:49:53.946]  Say anything.
[03:49:55.140 --> 03:49:59.223]  Prove nothing, and you are guilty!
[03:50:00.905 --> 03:50:03.547]  Anybody could... That's not journalism!
[03:50:04.828 --> 03:50:13.415]  And that's why subscribe to the Trends Journal, because that's journalism, if you want the current events forming future trends.
[03:50:13.775 --> 03:50:15.376]  Support InfoWars.
[03:50:17.018 --> 03:50:23.603]  Support the media where people take a stand and aren't told what to do.
[03:50:24.821 --> 03:50:26.141]  Like the prostitutes do.
[03:50:27.242 --> 03:50:32.143]  That's such a disgusting story, and there's so many more important things going on.
[03:50:32.623 --> 03:50:38.064]  And one of them, put your money where your mind is, on those markets, huh?
[03:50:38.084 --> 03:50:39.345]  They're up 300 points.
[03:50:40.425 --> 03:50:40.945]  That's right.
[03:50:43.506 --> 03:50:46.626]  This is some quarter that this is starting out to.
[03:50:49.727 --> 03:50:49.867]  U.S.
[03:50:49.907 --> 03:50:53.088]  manufacturing activity expanded last month.
[03:50:54.235 --> 03:50:58.198]  Rebounding from its lowest level since late 2016.
[03:51:01.180 --> 03:51:05.383]  Over there in China, they had a good time too.
[03:51:06.824 --> 03:51:15.529]  Their Manufacturing Purchasing Managers Index jumped 50.8 in March.
[03:51:16.090 --> 03:51:17.391]  Over 50 means growth.
[03:51:19.012 --> 03:51:20.613]  And that's the highest level in eight months.
[03:51:23.404 --> 03:51:24.184]  And it was down.
[03:51:24.224 --> 03:51:25.425]  They expected it to be at 49.9.
[03:51:25.505 --> 03:51:34.130]  So, China is also pushing stimulus in there.
[03:51:36.031 --> 03:51:42.915]  Last Wednesday, we sent our subscribers a trend alert.
[03:51:44.676 --> 03:51:45.196]  That's right.
[03:51:48.017 --> 03:51:49.058]  Fed can't wait.
[03:51:49.698 --> 03:51:50.559]  Needs to move.
[03:51:51.863 --> 03:51:56.166]  Beyond the accelerating global economic slowdown, we forecast a weakening U.S.
[03:51:56.586 --> 03:52:04.131]  gross domestic product, which we still do, and lower corporate earnings, which we still do, that will require the U.S.
[03:52:04.151 --> 03:52:11.195]  Federal Reserve to lower interest rates now before economic conditions markedly deteriorate.
[03:52:15.438 --> 03:52:16.278]  And then what happened?
[03:52:19.560 --> 03:52:21.041]  We sent that out on Wednesday.
[03:52:22.301 --> 03:52:36.291]  Larry Kudlow, President Trump's chief economic advisor, recommended lowering interest rates now.
[03:52:37.132 --> 03:52:37.712]  That's right.
[03:52:38.553 --> 03:52:44.117]  I guess he reads our Trends Alerts and subscribes to the Trends Journal, because we said it first.
[03:52:44.857 --> 03:52:46.278]  It's right there in print.
[03:52:47.900 --> 03:52:49.661]  They have to lower rates now.
[03:52:51.496 --> 03:53:00.899]  The rest of the world doesn't have that capacity, because much of the world, like Europe, is in negative interest rate territory, as is Japan.
[03:53:01.980 --> 03:53:03.500]  And Europe is slowing down.
[03:53:04.440 --> 03:53:08.782]  And over there in China, they only could do so much stimulus.
[03:53:09.582 --> 03:53:12.003]  They got a $40 trillion debt bubble.
[03:53:14.724 --> 03:53:16.545]  And now things are slowing down there.
[03:53:16.585 --> 03:53:20.386]  Yeah, this number came out, it's a bit positive, but there are a lot of negatives.
[03:53:22.014 --> 03:53:27.396]  So in order for this economy to move forward, you have to see interest rates go down.
[03:53:27.416 --> 03:53:30.637]  Am I saying they should go down?
[03:53:30.737 --> 03:53:31.077]  No.
[03:53:31.677 --> 03:53:32.957]  We're trend forecasters.
[03:53:34.038 --> 03:53:40.540]  When we make a statement as to, for example, we don't take a side on the border wall, we put out the issues.
[03:53:42.500 --> 03:53:46.522]  Am I personally in favor of not bringing more illegal immigrants in?
[03:53:46.862 --> 03:53:47.322]  Yes.
[03:53:48.622 --> 03:53:50.383]  But we leave it to the people.
[03:53:50.990 --> 03:53:53.932]  Have a referendum on the economy.
[03:53:55.132 --> 03:53:55.813]  Same thing.
[03:53:56.453 --> 03:54:00.515]  I called for an economic 9-11 when interest rates are going to go up.
[03:54:01.576 --> 03:54:04.837]  And they signal they would go up two to three times in 2019.
[03:54:05.938 --> 03:54:13.802]  Back in September 2018, you saw the markets fall to their worst December they had since the Great Depression.
[03:54:14.977 --> 03:54:21.860]  And I made the forecast of an economic 9-11 the day before, September 19th, the day before the S&P 500 peaked.
