[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[03:38:07.262 --> 03:38:10.184]  And when we go into works that have chronicled
[03:38:11.101 --> 03:38:12.502]  These same elite families.
[03:38:12.502 --> 03:38:17.024]  We know that one of the families that comes to the fore in this is the Rockefellers themselves.
[03:38:17.024 --> 03:38:23.067]  In their authorized biography, there's multiple chapters where the Rockefellers essentially created the ecumenist movement.
[03:38:23.067 --> 03:38:36.274]  They put the money, the engine, and the power into ecumenism to turn it into something that could be marshaled into a basically making religion into a form of an NGO.
[03:38:36.274 --> 03:38:39.055]  How can we take the world religions and turn them into just
[03:38:39.927 --> 03:38:44.411]  Just basically evangelists for the New World Order.
[03:38:44.411 --> 03:38:45.572]  Well, this is how, right?
[03:38:45.572 --> 03:38:46.532]  And this is what they did.
[03:38:46.532 --> 03:38:48.874]  And many other books have been written about it.
[03:38:48.874 --> 03:38:50.576]  I mean, this even comes up in Brzezinski, right?
[03:38:50.576 --> 03:38:52.177]  Brzezinski's Between Two Ages.
[03:38:52.177 --> 03:39:04.247]  He's got chapters in the beginning where he talks about using Roman Catholicism, using the Church, using other religions as well as part of this global superstructure.
[03:39:04.247 --> 03:39:04.367]  And
[03:39:05.419 --> 03:39:15.369]  Unfortunately, during the Cold War, a big part of the co-opting of superstructures like the Roman Catholic religion, as David Wimhoff notes in his book, John Courtney Murray,
[03:39:16.542 --> 03:39:18.482]  Time, life, and the American proposition.
[03:39:18.482 --> 03:39:33.726]  This is where the CIA and the Jesuits have played a key role in co-opting, in large part, the Roman Catholic infrastructure and superstructure to become an engine of Americanism under the guise of fighting the Soviets in the Cold War.
[03:39:33.726 --> 03:39:37.227]  Now, again, understand that I'm trying to be nuanced here.
[03:39:37.227 --> 03:39:42.388]  That doesn't mean the Soviets are the good guys, but the overemphasis on that
[03:39:44.227 --> 03:40:02.623]  The power play of the Soviet Union is what allowed Reagan, the moral majority, a lot of these faux right-wingers, these cold warriors, to co-opt a lot of the American religious institutions into fighting on the side of the CIA and then becoming basically subservient to their new masters, the CIA.
[03:40:02.623 --> 03:40:04.585]  So, again, it's not a good guy, bad guy.
[03:40:04.585 --> 03:40:06.987]  It's a power structure.
[03:40:06.987 --> 03:40:08.048]  It's power dynamics.
[03:40:08.048 --> 03:40:08.869]  That's all I'm saying.
[03:40:11.132 --> 03:40:18.515]  And so what happens is that you get the co-opting of the religion to turn it into an engine of the state.
[03:40:18.515 --> 03:40:22.916]  And that's the problem here is that it might have seemed good to a lot of people during the Cold War.
[03:40:22.916 --> 03:40:25.737]  Well, shouldn't we fight the atheistic Soviet Empire?
[03:40:25.737 --> 03:40:26.597]  Okay.
[03:40:26.597 --> 03:40:39.482]  But then what happens is that now you're under the superstructure that is just as atheistic, just as globalist, and just as committed to its version of a technocratic world order as the Soviets might have been.
[03:40:41.647 --> 03:40:54.166]  So the false dialectic of the Cold War was also another way to get the religions onto the side of Western technocracy under the Anglo-American establishment.
[03:40:54.716 --> 03:41:02.041]  And if you want to understand the collapse of the religions in America in the 20th century, you need to look no further than this.
[03:41:02.041 --> 03:41:05.564]  The Rockefellers bought off all the Protestant seminaries and churches.
[03:41:05.564 --> 03:41:15.191]  They poured millions and millions of dollars into the Protestant seminaries and churches through their entities like the World Council of Churches, the National Council of Churches.
[03:41:15.191 --> 03:41:19.674]  They created and funded and fostered this ecumenist movement which has now given way to
[03:41:20.649 --> 03:41:38.176]  The erection of, we're in the early, the beta stages of this emerging global religion of, as you saw earlier, the Abrahamic faith house, where Islam, Judaism and Christianity, oh they're actually all part of a giant perennialist super religion.
[03:41:38.176 --> 03:41:43.998]  That's exactly the very thing that the Rockefellers had put millions and millions of dollars into a hundred years ago.
[03:41:44.657 --> 03:41:53.644]  To getting this off the ground they even build their own Cathedral committed to a global new religion Riverside Church.
[03:41:53.644 --> 03:41:56.766]  So, this global religion has to promote.
[03:41:57.571 --> 03:42:00.354]  Point number six in the Ten Commandments.
[03:42:00.354 --> 03:42:02.436]  Malthusianism or depopulation.
[03:42:02.436 --> 03:42:04.298]  Now again, we saw that rebranded.
[03:42:04.298 --> 03:42:05.459]  That's a mean term.
[03:42:05.459 --> 03:42:08.381]  We can't use those mean terms anymore out of World War II.
[03:42:08.381 --> 03:42:12.566]  Now we got to use words like biosecurity, health, biometrics.
[03:42:12.566 --> 03:42:14.748]  That's all rebranding of Dysgenics.
[03:42:15.596 --> 03:42:16.336]  Yes, we are.
[03:42:36.942 --> 03:42:43.265]  A single global elite writer who denies the necessity of mass depopulation.
[03:42:43.265 --> 03:42:53.048]  Great example of this is The Next Million Years by Charles Galton Darwin, a radical Malthusian in the same circles as Wells and Russell, who says, we got to kill everybody.
[03:42:53.048 --> 03:42:53.888]  We got to kill everybody.
[03:42:53.888 --> 03:42:54.469]  Don't go anywhere.
[03:42:54.469 --> 03:42:55.449]  This is the Alex Jones Show!
[03:42:56.802 --> 03:43:06.980]  Whether they were present that day or were otherwise criminally responsible for the assault on our democracy, we will follow the facts wherever they lead.
[03:43:10.177 --> 03:43:12.158]  The days of independent media are numbered.
[03:43:12.158 --> 03:43:15.898]  The government has made it illegal to oppose them.
[03:43:15.898 --> 03:43:18.759]  They are now debanking us behind the scenes.
[03:43:18.759 --> 03:43:22.520]  They want to bankrupt us and make us go away quietly.
[03:43:22.520 --> 03:43:27.681]  With practically half the population wanting to lock the unvaccinated up in camps.
[03:43:27.681 --> 03:43:30.182]  The traitors know they can shut us down by force.
[03:43:30.942 --> 03:43:34.185]  But that would accelerate the awakening exponentially.
[03:43:34.185 --> 03:43:35.667]  So be it.
[03:43:35.667 --> 03:43:38.069]  Make them silence us by force.
[03:43:38.069 --> 03:43:41.072]  This is the final battle of the information war.
[03:43:41.072 --> 03:43:42.353]  Give now.
[03:43:42.353 --> 03:43:43.855]  Buy products.
[03:43:43.855 --> 03:43:44.075]  Donate.
[03:43:44.075 --> 03:43:46.858]  Before everything changes.
[03:43:46.858 --> 03:43:49.721]  We need you to carry us through to the end.
[03:43:49.721 --> 03:43:51.082]  Victory or death.
[03:43:51.082 --> 03:43:52.924]  Go now to infowarestore.com.
[03:43:55.239 --> 03:44:08.407]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[03:44:09.133 --> 03:44:16.915]  For the United States of Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, fascist world government.
[03:44:16.915 --> 03:44:19.436]  That's why they launched their Great Reset.
[03:44:19.436 --> 03:44:24.138]  And their program, after collapsing us, of Build Back Better.
[03:44:24.138 --> 03:44:29.359]  This is nothing more than a top-down, vertical consolidation of the world economy.
[03:44:29.359 --> 03:44:33.541]  And because they couldn't take our guns, and because we wouldn't bow, because the left
[03:44:34.281 --> 03:44:36.263]  Which is the ideology of this world government system.
[03:44:36.263 --> 03:44:37.964]  Couldn't win.
[03:44:37.964 --> 03:44:40.987]  They released a biological weapon on us.
[03:44:40.987 --> 03:44:41.688]  Now we know.
[03:44:41.688 --> 03:44:43.009]  Two years ago.
[03:44:43.009 --> 03:44:45.311]  We learned about it about 20 months ago.
[03:44:45.311 --> 03:44:45.912]  It's that simple.
[03:44:45.912 --> 03:44:48.994]  They can't beat us because of our free speech and our guns.
[03:44:48.994 --> 03:44:53.198]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[03:44:53.198 --> 03:44:54.640]  Expose this paradigm and we win.
[03:44:55.829 --> 03:44:58.130]  Reset Wars is a legit.
[03:44:58.130 --> 03:45:02.471]  Reset Wars was absolutely amazing and eye-opening.
[03:45:02.471 --> 03:45:14.194]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines but about all of us as a human species coming together.
[03:45:14.194 --> 03:45:15.574]  I'm a combat veteran.
[03:45:16.014 --> 03:45:21.597]  And I mean, that brought me close to God, but what Alex goes through brought me even closer.
[03:45:21.597 --> 03:45:23.177]  I can feel God in my life now.
[03:45:23.177 --> 03:45:31.341]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and install new
[03:45:31.761 --> 03:45:36.607]  Reset Wars is a step beyond what you already get in regular InfoWars broadcasts.
[03:45:36.607 --> 03:45:42.894]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
[03:45:42.894 --> 03:45:46.379]  If you're on the fence about Reset Wars, it's time to get off the fence.
[03:45:46.379 --> 03:45:48.121]  Join Reset Wars today.
[03:45:55.500 --> 03:45:56.821]  Let's go ahead and take another call.
[03:45:56.821 --> 03:45:58.864]  Let's talk to Malcolm in Tennessee.
[03:45:58.864 --> 03:45:59.284]  Welcome.
[03:45:59.284 --> 03:46:00.005]  Hello, Alex?
[03:46:00.005 --> 03:46:00.546]  Yes, Malcolm.
[03:46:00.546 --> 03:46:05.111]  All right, I'll make this quick and real short where the other Patriots can get on the line.
[03:46:05.111 --> 03:46:09.456]  Alex, I have to promote one thing from one of your co-hosts, Owen Schroer.
[03:46:09.456 --> 03:46:12.459]  Super male vitality and brain force plus.
[03:46:12.459 --> 03:46:15.102]  Mix those two together, you're an unstoppable tank.
[03:46:15.342 --> 03:46:17.143]  Supermill Vitality really, really works.
[03:46:17.143 --> 03:46:22.047]  It's cold-pressed herbs and natural compounds that have never been heated up.
[03:46:22.047 --> 03:46:28.812]  And so, it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[03:46:28.812 --> 03:46:30.654]  This is like a very fine wine.
[03:46:30.654 --> 03:46:32.795]  In fact, each batch is different.
[03:46:32.795 --> 03:46:34.997]  Sometimes it's super strong, sometimes it's just okay.
