[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[02:45:01.131 --> 02:45:06.073]  of the ability to print its way to more manufacturing of more military defense equipment.
[02:45:06.133 --> 02:45:06.993]  What would you think of that?
[02:45:08.314 --> 02:45:08.894]  Yeah, of course.
[02:45:08.954 --> 02:45:16.859]  They want to prevent us from reorganizing our industrial base of rebuilding and reconstituting our production.
[02:45:17.459 --> 02:45:25.644]  After all, if you're going to bomb and invade North America, you have to prevent North America from having the wherewithal to defend itself.
[02:45:26.384 --> 02:45:29.066]  So the nuclear bombs, you know, are not enough.
[02:45:29.206 --> 02:45:31.188]  They can destroy a lot of things.
[02:45:31.628 --> 02:45:33.170]  But there's tremendous potential.
[02:45:33.230 --> 02:45:37.233]  You have hundreds of millions of people in a huge continental area with large resources.
[02:45:37.673 --> 02:45:40.295]  They're going to be able to reconstitute forces.
[02:45:40.736 --> 02:45:42.357]  You look at tiny Ukraine.
[02:45:43.061 --> 02:45:45.783]  You know, tiny in terms of economic resources.
[02:45:46.163 --> 02:45:51.987]  What they were able to do, the devastating loss of Russian forces to repel an attack.
[02:45:52.047 --> 02:45:55.650]  Imagine trying to invade North America, even with nuclear strikes.
[02:45:56.150 --> 02:46:00.053]  I was told by a Russian military defector, this is not an easy thing.
[02:46:01.401 --> 02:46:10.409]  But just to jump in, Ukraine had the benefit of all of this free money coming from the West, whereas when the West is attacked, where is the money going to come from to bail out America?
[02:46:10.769 --> 02:46:22.499]  And if the money printing machine no longer functions because, well, we printed too many trillions, and then the world repudiates the petrodollar status, the US collapses almost even without an invasion, it seems.
[02:46:23.547 --> 02:46:25.328]  We've got to go to a break, Jeffrey.
[02:46:25.348 --> 02:46:30.071]  Sorry to stump you with that right before the break, but we're going to do one more break and then we'll come back.
[02:46:30.211 --> 02:46:33.113]  I'd like your answer to that, or you could bring in something else.
[02:46:33.974 --> 02:46:37.776]  You're watching the Alex Jones Show, fourth hour here on InfoWars.com.
[02:46:37.796 --> 02:46:38.997]  We'll be right back with J.R.
[02:46:39.037 --> 02:46:40.058]  Nyquist after this break.
[02:46:40.518 --> 02:46:43.902]  All right, and we're back for the final segment here today on the Alex Jones Show.
[02:46:43.962 --> 02:46:46.205]  I'm Mike Adams, joined by J.R.
[02:46:46.385 --> 02:46:53.533]  Nyquist, and I also want to give credit to Jennifer Dung, who published the full transcript of this leaked audio that we're talking about today.
[02:46:53.573 --> 02:47:01.772]   Her website is JenniferZeng.com, which is Z-E-N-G, so just JenniferZengblog.com brings
[02:47:01.772 --> 02:47:05.893]   up her website and the full transcript so you can read it yourself.
[02:47:05.893 --> 02:47:11.853]   The English translation is a little clunky, but it's extremely useful nonetheless.
[02:47:11.853 --> 02:47:18.092]  Also, Jeffrey, I understand you are talking with Dr. Yan Li-Mong.
[02:47:18.092 --> 02:47:22.532]   I'm slated to interview both of you next week with more details about this.
[02:47:22.532 --> 02:47:29.132]   In your opinion, does Dr. Yan, does she believe in the authenticity of this recording?
[02:47:29.234 --> 02:47:38.300]  I mean, I guess we can ask her next week, but how is this being authenticated, or is there some outlier possibility that this audio is some kind of a war game simulation of some kind?
[02:47:41.241 --> 02:47:42.482]  No, it's not a simulation.
[02:47:42.502 --> 02:47:45.304]  I mean, I'm working with other people.
[02:47:46.384 --> 02:47:51.848]  One of the main speakers in it is a commissar, a Wang Shujin.
[02:47:54.042 --> 02:48:16.185]   Hopefully we'll have a voice recognition on that person but one analyst who speaks Mandarin who looked at it said who's familiar with these kind of meetings said that they recognize some of the voices and so it's I think I think, you know, this is all things that I've expected to see.
[02:48:16.205 --> 02:48:21.708]  I mean, I think I've told you, Colonel Stanislav Lunev, I knew for many years he passed away in 2020.
[02:48:21.768 --> 02:48:24.090]  He was the highest ranking defector from the GRU.
[02:48:24.130 --> 02:48:25.330]  He spoke fluent Mandarin.
[02:48:25.911 --> 02:48:32.075]  And he told me about this long range plan between Russia and China to invade North America, to bomb us, to take us over.
[02:48:33.195 --> 02:48:40.260]  And when you look at some of the Chinese documents, like the secret speech of Qi Hao Chen, you see this is confirmed again and again, year after year.
[02:48:41.650 --> 02:48:45.352]  And now we're getting these sources out of China saying, yeah, they're doing it and they're doing it now.
[02:48:46.172 --> 02:48:47.772]  So this is not a surprise to me.
[02:48:47.792 --> 02:48:51.014]  I've been trying to warn people and tell people about this for quite a while.
[02:48:52.734 --> 02:49:08.041]   Why the timing of, I've heard you mention sometime around November 1st, now obviously it's convenient for Democrats if they don't have to face midterm elections because we're in Well, this is Dr. Lee Meng's sources that this is the latest date that they want to start the war.
[02:49:07.861 --> 02:49:14.861]   wiped out probably in the midterms, but where does this date come from, by the way?
[02:49:14.861 --> 02:49:25.861]   Well, this is, Dr. Lee Meng sources that this is the latest date that they want to start the war.
[02:49:25.861 --> 02:49:34.861]   This probably, they probably have a window, like from late June all the way up to November 1st,
[02:49:34.861 --> 02:49:37.861]  but they want to get it to happen sometime in there.
[02:49:37.840 --> 02:49:43.644]  I suspect it has to do with economic, military factors, and their allies, Iran, and China.
[02:49:43.684 --> 02:49:46.426]  Remember, Iran is about to get nuclear weapons.
[02:49:47.326 --> 02:49:58.995]  A lot of people think that Israel is going to strike Iran, maybe in a few days or a few weeks, because Iran is that close to getting nuclear weapons, and the Israelis have said that they will strike to prevent that.
[02:50:00.382 --> 02:50:02.244]  So that's a war that lights up the Middle East.
[02:50:02.584 --> 02:50:04.487]  We've got a war in Ukraine already started.
[02:50:05.147 --> 02:50:10.193]  Some of Putin's friends have been hinting that they think Putin might use nuclear weapons at any time.
[02:50:10.213 --> 02:50:15.218]  I don't think we've ever seen anything like this in our lifetimes.
[02:50:15.298 --> 02:50:17.701]  I mean, this is really serious.
[02:50:19.431 --> 02:50:24.773]  Absolutely it is, and that's why I appreciate you coming on today, and we need to continue this conversation as well.
[02:50:24.813 --> 02:50:42.460]  But isn't China committing its own economic suicide, though, if it declares war on the West, because the US is the primary buyer of manufactured goods from China, as well as Western Europe is, I think, the second largest buyer from China, or roughly thereabouts.
[02:50:43.080 --> 02:50:58.371]   So is this part of why China is preparing to convert its economy over to wartime So I notice in the transcript, they are citing their success during the COVID lockdowns of being able to effectively enforce a police state over the people of China.
[02:50:58.411 --> 02:51:01.574]  Like, they say, oh, we did such a great job there, now we can do it during the war.
[02:51:03.408 --> 02:51:04.188]  Yeah, of course.
[02:51:04.689 --> 02:51:06.029]  You could look at it as a test.
[02:51:06.830 --> 02:51:14.373]  Look, they have an enormous population, they have an enormous problem, and you know that their economy was going to take a hit.
[02:51:14.893 --> 02:51:27.900]  I've talked to Wall Street bankers, economists, and people of that sorts over the last several months, and I've been told that the Chinese economy was expected to collapse this year.
[02:51:28.020 --> 02:51:35.606]   I mean, one Wall Street banker said by the end of June Uh, 2022 expect the Chinese economy to flatline.
[02:51:36.027 --> 02:51:44.072]  Well, if they turn their economy over to a war economy, they don't, they don't not operating a normal consumer, you know, normal economy.
[02:51:44.092 --> 02:51:47.574]  They're in a war communism and their people aren't receiving salaries.
[02:51:47.614 --> 02:51:48.855]  They're just working for food.
[02:51:49.635 --> 02:51:53.998]  And so that's the kind of emergency state that China is now moving into.
[02:51:55.951 --> 02:52:01.996]  Now, one of the key questions that people will be asking and hearing this, and I spoke with you privately yesterday, I asked you the same question.
[02:52:02.556 --> 02:52:12.825]  Why wouldn't the United States Navy just start striking all of these cargo ships and vessels as they're steaming towards the west coast of the United States?
[02:52:13.125 --> 02:52:15.367]  You explained that to me yesterday, but can you share it with the audience?
[02:52:17.408 --> 02:52:23.504]   Well, of course, we would be then guilty of Launching a surprise attack on China, we'd be attacking civilian ships.
[02:52:24.045 --> 02:52:26.487]  The other thing is that there's just too darn many ships.
[02:52:26.547 --> 02:52:36.394]  Look, if they're loading 957 ships in Guangdong and their seven coastal provinces, we could be looking at 5,000 ships.
[02:52:36.834 --> 02:52:42.598]  There's not enough torpedoes and missiles in the American fleet to sink that many merchant ships.
[02:52:43.239 --> 02:52:46.161]  Besides, we gotta save our ordnance for the 350-60 Chinese warships.
[02:52:50.140 --> 02:52:52.243]  We can't be using all our ordnance on those things.
[02:52:53.465 --> 02:52:59.473]  Right, so you're saying the initial plan is to bring in troops and equipment disguised as merchant ships.
[02:53:01.035 --> 02:53:02.436]  Well, yeah, of course.
[02:53:02.876 --> 02:53:13.721]  Yeah, Colonel Luna have emphasized this, that all the planning about World War III with invading North America is based on Operation Weserabung, which is the German invasion of Norway in World War II.
