[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[3:27:42.720 --> 3:27:48.200]  Only the military industrial complex and the murderers that use their weapons, they deserve
[3:27:48.200 --> 3:27:49.200]  the money.
[3:27:49.200 --> 3:27:50.200]  You don't deserve anything.
[3:27:50.200 --> 3:27:56.480]  We're sending it over there, over there, send the word, send the money over there.
[3:27:56.480 --> 3:27:58.680]  I'll buy the EBS.
[3:27:58.680 --> 3:28:00.360]  I'm real stupid.
[3:28:00.360 --> 3:28:03.600]  I listen to the Cartoon News Network.
[3:28:03.600 --> 3:28:05.000]  I listen to ABC.
[3:28:05.000 --> 3:28:06.320]  I listen to NBC.
[3:28:06.320 --> 3:28:07.960]  I listen to PR.
[3:28:07.960 --> 3:28:08.960]  How about FU?
[3:28:08.960 --> 3:28:09.960]  You know what?
[3:28:09.960 --> 3:28:14.160]  Because that's all it is, and that's what they're doing to us.
[3:28:14.160 --> 3:28:17.800]  When I come back, we're going to talk about the economy.
[3:28:17.800 --> 3:28:22.720]  All things are connected, like the blood which unites us all, the chief Seattle, and the
[3:28:22.720 --> 3:28:29.880]  Ukraine war, the sanctions, what's going on in the economy, the COVID war, it's all connected.
[3:28:29.880 --> 3:28:37.520]  We are heading for the worst financial and geopolitical crisis we've ever seen in modern
[3:28:37.520 --> 3:28:40.720]  history.
[3:28:40.720 --> 3:28:46.400]  We can change it, but I'll get censored for saying why.
[3:28:46.400 --> 3:28:50.360]  Peace on Earth, goodwill to all, why, how dare you?
[3:28:50.360 --> 3:28:58.080]  This is Satan Time.
[3:28:58.080 --> 3:29:02.960]  I have been in a 28-year marathon battle with the globalist.
[3:29:02.960 --> 3:29:08.880]  I have come from nowhere to the very heights of politics, not just in America, but in the
[3:29:08.880 --> 3:29:09.880]  world.
[3:29:09.880 --> 3:29:15.040]  We are engaging the globalist at point-blank range in the information war, but I don't
[3:29:15.040 --> 3:29:16.040]  deserve the credit.
[3:29:16.040 --> 3:29:20.840]  Yes, I've persevered, but the listeners and viewers who support them for wars are the
[3:29:20.840 --> 3:29:23.520]  real reason you've had the success.
[3:29:23.520 --> 3:29:27.920]  We're having now the greatest victories in the fight against the new order you've ever
[3:29:27.920 --> 3:29:28.920]  had.
[3:29:28.920 --> 3:29:35.280]  We are now entering the final mile of the marathon, and that's why today it's more
[3:29:35.280 --> 3:29:39.440]  important than ever to realize how important you've been in this fight and to continue
[3:29:39.440 --> 3:29:42.480]  in the efforts you've been carrying out and to intensify them.
[3:29:42.480 --> 3:29:48.120]  God bless you all, I salute you, I thank you, and I beg you to intensify what you're doing
[3:29:48.120 --> 3:29:52.000]  now because we are over the target and history is happening.
[3:29:52.000 --> 3:29:56.920]  The fight is my fight, it's your fight, it's our fight, God bless you all.
[3:29:56.920 --> 3:30:02.040]  Look around you, everything I predicted from the globalist documents, from their own admissions
[3:30:02.040 --> 3:30:03.040]  is now happening.
[3:30:03.040 --> 3:30:08.080]  In full wars credibility, my credibility has never been higher, and it's because of your
[3:30:08.080 --> 3:30:14.160]  backing of this operation that I could steadfastly, despite the censorship and the boycotts and
[3:30:14.160 --> 3:30:16.720]  the attacks and the lawsuits, stay on air.
[3:30:16.720 --> 3:30:21.560]  But now we're reaching the most critical juncture in the fight together.
[3:30:21.560 --> 3:30:26.760]  So I want to ask all of you today to help keep me on the air.
[3:30:26.760 --> 3:30:30.680]  In my decades on air, I've never asked for personal donations, but I'm being forced by
[3:30:30.680 --> 3:30:36.200]  the bankruptcy court to pay for 40% of the legal fees, and I can't fund those myself.
[3:30:36.200 --> 3:30:44.600]  It's unsustainable, so please visit saveinfullwars.com, saveinfullwars.com, where you can make straight
[3:30:44.600 --> 3:30:49.760]  donations, five, 10, $50, $100, whatever you can, so that I can continue to persevere.
[3:30:49.760 --> 3:30:52.960]  I'll never give up, I'll never give in, but I could give out.
[3:30:52.960 --> 3:30:56.520]  Thank you for your support, wouldn't be without you, saveinfullwars.com.
[3:30:56.520 --> 3:31:00.360]  The biggest sale of 2022 is now live.
[3:31:00.360 --> 3:31:04.640]  It's only running in the last week of September and the first week of October.
[3:31:04.640 --> 3:31:10.280]  Funds of our best-selling products are finally back in stock and they're 40% to 50% off across
[3:31:10.280 --> 3:31:11.280]  the board.
[3:31:11.280 --> 3:31:14.960]  And the most important of them all is Survival Shield X3.
[3:31:14.960 --> 3:31:20.760]  All three types of the very best iodine documented to not just boost your libido, your stamina,
[3:31:20.760 --> 3:31:25.200]  your health, your energy, your cells, your immune system, but to overall give you more
[3:31:25.200 --> 3:31:26.200]  energy.
[3:31:26.200 --> 3:31:30.080]  It's the foundation of everything from energy to fertility.
[3:31:30.080 --> 3:31:36.240]  X3, 50% off, is finally back in stock exclusively at infullwars.com.
[3:31:36.240 --> 3:31:40.840]  You've heard the callers, you've seen the rave reviews, now experience X3 for yourself
[3:31:40.840 --> 3:31:44.480]  exclusively at infullwars.com, 50% off.
[3:31:44.480 --> 3:31:47.320]  And while you're there, check out some of the other great products that are finally back
[3:31:47.320 --> 3:31:52.240]  in stock and massively discounted as well, part of the in full War Store Super Sale running
[3:31:52.240 --> 3:31:53.680]  for two weeks only.
[3:31:53.680 --> 3:31:56.920]  Again, X3 back in stock, 50% off.
[3:31:56.920 --> 3:32:01.720]  Think about a world without in full Wars.
[3:32:01.720 --> 3:32:06.040]  Just take a moment and sit back and think about all the incredible guests and callers
[3:32:06.040 --> 3:32:11.360]  and stories we've broken together, this family that is in full Wars.
[3:32:11.360 --> 3:32:16.480]  Think about how in full Wars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and
[3:32:16.480 --> 3:32:23.960]  other foreign leaders like Nigel Farage as being the main impetus towards firing up their
[3:32:23.960 --> 3:32:27.440]  main base to defeat the new World Order.
[3:32:27.440 --> 3:32:33.200]  The only reason humanity is still in the fight today is because the viewers and listeners
[3:32:33.200 --> 3:32:37.680]  of this broadcast have taken action and supported this show.
[3:32:37.680 --> 3:32:41.280]  I don't take the credit, I give you the credit.
[3:32:41.280 --> 3:32:45.680]  And now in full Wars is facing its darkest hours, it isn't going to give up.
[3:32:45.680 --> 3:32:47.440]  Without your support we can be shut down.
[3:32:47.440 --> 3:32:53.920]  Please go to saveinfullwars.com today, saveinfullwars.com today and donate for our legal defense
[3:32:53.920 --> 3:32:57.640]  fund.
[3:32:57.640 --> 3:33:16.040]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[3:33:16.040 --> 3:33:20.320]  Waging war on corruption, it's Gerald Salente.
[3:33:20.320 --> 3:33:24.320]  You're listening to the Alex Jones show.
[3:33:24.320 --> 3:33:33.120]  A great B90 Alex Jones show and as I said, everything you can to support it for Wars.
[3:33:33.120 --> 3:33:40.400]  The New Trends Journal comes out every week on Tuesday and we're working on finalizing
[3:33:40.400 --> 3:33:41.400]  today's.
[3:33:41.400 --> 3:33:48.960]  And you're looking at the equity market and like they're up like 600 points you know up
[3:33:48.960 --> 3:33:51.560]  big yesterday.
[3:33:51.560 --> 3:33:57.600]  And this is the beginning of what we wrote in the economic update, the global economy
[3:33:57.600 --> 3:34:01.560]  here, watch, look and listen.
[3:34:01.560 --> 3:34:07.640]  The global economy is going down the drain, it has been flushed into ruin by egotists
[3:34:07.640 --> 3:34:15.200]  called politicians, central bankers and bureaucrats that the masses look up to and obey.
[3:34:15.200 --> 3:34:20.800]  While the path of destruction of life, liberty and a pursuit of happiness has been on a long
[3:34:20.800 --> 3:34:26.920]  term downtrend, most recently it has reached new levels of runation that have not only
[3:34:26.920 --> 3:34:36.720]  sucked a joy out of life, but have now set the world on the path of mass annihilation.
[3:34:36.720 --> 3:34:39.560]  Remember all things are connected.
[3:34:39.560 --> 3:34:50.240]  And we put the cover of our February 22nd Trends Journal done by Anthony Frieda, brilliant
[3:34:50.240 --> 3:35:02.320]  artist, and it has COVID war, Ukraine war, world war, pieces forbidden.
[3:35:02.320 --> 3:35:08.680]  We mention this because we go on to say, yes, the world changed in 2020 when President's
[3:35:08.680 --> 3:35:16.200]  Prime Minister's, Chancellor's, Governor's, Mayor's, etc. launched the COVID war.
[3:35:16.200 --> 3:35:22.400]  While they did nothing to kill the coronavirus with their draconian mandate that locked
[3:35:22.400 --> 3:35:28.000]  down entire nations, their actions destroyed the lives and livelihoods of billions across
[3:35:28.000 --> 3:35:30.480]  the planet.
[3:35:30.480 --> 3:35:37.760]  His arrogant narcissist, pathological liars made a kindergarten rules to fight the virus.
[3:35:37.760 --> 3:35:40.680]  Here are a few of them.
[3:35:40.680 --> 3:35:42.560]  Stand one meter apart.
[3:35:42.560 --> 3:35:47.000]  You go, the wind doesn't blow in circles, it doesn't go up or down.
[3:35:47.000 --> 3:35:51.360]  It only blows an exact straight line 60 to part.
[3:35:51.360 --> 3:35:54.640]  Remember all the stores with the circles?
[3:35:54.640 --> 3:35:58.480]  Out in front of you, right across the street, they put the farmer's mark in the parking
[3:35:58.480 --> 3:36:01.440]  lot, county building.
[3:36:01.440 --> 3:36:07.000]  And little kindergarten people that are adults, they're still in kindergarten drawing circles
[3:36:07.000 --> 3:36:10.760]  with chalk out in the sidewalk, 60 to part.
[3:36:10.760 --> 3:36:15.240]  And then in front of all the vendors, circles, 60 to part.
[3:36:15.240 --> 3:36:17.000]  You're outside, the wind blows everywhere.
[3:36:17.000 --> 3:36:18.000]  No, it doesn't.
[3:36:18.000 --> 3:36:22.080]  They'd yell at you if you stood outside the circle.
[3:36:22.080 --> 3:36:28.520]  Little arrogant stupid people that get power hungry when you give them a little power.
[3:36:28.520 --> 3:36:31.920]  That's the stupidity.
[3:36:31.920 --> 3:36:36.720]  Standing behind plexiglass and cash registers, you remember, the wind doesn't go around
[3:36:36.720 --> 3:36:39.320]  it, doesn't go up or over it.
[3:36:39.320 --> 3:36:43.720]  It just stays right in front of the plexiglass.
[3:36:43.720 --> 3:36:49.440]  Have arrows pointing in the direction you could walk down aisles and store.
[3:36:49.440 --> 3:36:54.040]  Yep, stupidity.
[3:36:54.040 --> 3:36:57.080]  Remember the poor little kids that they had playing instruments and little tents that
[3:36:57.080 --> 3:37:02.560]  they built from, little packages of closures?
[3:37:02.560 --> 3:37:06.960]  First people to wear masks and walking into a restaurant or sitting in an airplane but
[3:37:06.960 --> 3:37:12.800]  allowing them to take off the mask when eating and drinking, telling people to sanitize their
[3:37:12.800 --> 3:37:19.160]  hands when touching anything and not to have sex, sanitize hands or not.
[3:37:19.160 --> 3:37:20.560]  I'm not making this up.
[3:37:20.560 --> 3:37:22.560]  Yeah, there we are.
[3:37:22.560 --> 3:37:31.120]  This is out of a horror film that was created by these little dictated that people call
[3:37:31.120 --> 3:37:35.480]  their governors, their mayors, their presidents, prime ministers.
[3:37:35.480 --> 3:37:36.480]  Look at this.
[3:37:36.480 --> 3:37:37.480]  Look at this.
[3:37:37.480 --> 3:37:40.600]  Look at the arrogant stupidity.
[3:37:40.600 --> 3:37:41.720]  And that's what we're still in.
[3:37:41.720 --> 3:37:44.600]  We're still in school.
[3:37:44.600 --> 3:37:54.000]  Other stupid thing, locking down nations to outside citizens, imposing operation warped
[3:37:54.000 --> 3:38:00.400]  speed vaccination requirements to go to work, go to school or enter another country.
[3:38:00.400 --> 3:38:15.200]  Our leaders do what they want to do and their rules and regulations were based solely on
[3:38:15.200 --> 3:38:20.120]  political science and not a scintilla of factual science.
[3:38:20.120 --> 3:38:25.600]  And like good little boys and girls still in high school and obeying their principal,
[3:38:25.600 --> 3:38:31.120]  the masses not only did what they were told, they attacked everyone that questioned the
[3:38:31.120 --> 3:38:35.600]  mandates and the operation warped speed jab.
[3:38:35.600 --> 3:38:43.880]  Yes, the jab that the drug dealers sold and the prostitutes promoted that had 96% efficacy
[3:38:43.880 --> 3:38:47.640]  rate and just two shots would do you.
[3:38:47.640 --> 3:38:51.880]  Now of course, it's a COVID jab a year.
[3:38:51.880 --> 3:38:58.280]  And as we have detailed from the top drug head that runs Pfizer to presidents, prime
[3:38:58.280 --> 3:39:05.800]  ministers, and the clown people called celebrities, the champion, the gene therapy inoculation,
[3:39:05.800 --> 3:39:13.040]  they got two shots, boosters, got the virus and spew out the crap that they're glad they
[3:39:13.040 --> 3:39:15.000]  got all those jab.
[3:39:15.000 --> 3:39:21.760]  Again, we tie this together, the socio economic and geopolitical consequences of the draconian
[3:39:21.760 --> 3:39:29.360]  COVID war mandates had made previously bad economic situation much worse.
[3:39:29.360 --> 3:39:33.600]  As we had greatly detailed in the trends journal, the global economy was under pressure long
[3:39:33.600 --> 3:39:45.880]  before the COVID war was launched by China in January 2020, the year of the rat to keep
[3:39:45.880 --> 3:39:50.560]  the obedient obedient during the closing down a society governments pumped in countless
[3:39:50.560 --> 3:39:56.760]  trillions of fake COVID cash to keep the public spending money they never earn and to keep
