[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[02:43:38.865 --> 02:43:41.226]  She's very concerned about where the economy is going.
[02:43:44.227 --> 02:43:45.588]  And they don't have a clue on what to do.
[02:43:46.423 --> 02:43:52.707]  And when we get back, we're going to tell you where the economy is going, what we see, and what you might want to do.
[02:43:52.926 --> 02:43:54.926]  So stay tuned.
[02:43:54.926 --> 02:43:58.406]  [MUSIC PLAYING]
[02:43:58.406 --> 02:44:28.166]  , Hey, great being on the Alex Jones show.
[02:44:28.543 --> 02:44:31.405]  That was the new world disorder that they just showed over there.
[02:44:32.085 --> 02:44:34.847]  And again, you know, it's a happy Halloween.
[02:44:35.027 --> 02:44:36.008]  Tricks, no treats.
[02:44:36.468 --> 02:44:37.669]  Yep, that's what it is.
[02:44:37.969 --> 02:44:39.811]  Mad men and mad women in charge.
[02:44:40.851 --> 02:44:47.136]  So listen, do everything you can to keep InfoWars on the air, because they're going to do everything they can to take it off.
[02:44:47.196 --> 02:44:48.356]  So do what you can to sell it.
[02:44:49.037 --> 02:44:53.478]   You know, they had these great 1776 Super Sale.
[02:44:53.799 --> 02:44:54.759]  And it's here.
[02:44:54.779 --> 02:44:54.759]  1776.
[02:44:55.119 --> 02:44:58.461]  Yep, I'll be 76 this month.
[02:44:58.481 --> 02:44:59.442]  I'm alone.
[02:45:00.343 --> 02:45:00.583]  Yeah.
[02:45:01.323 --> 02:45:02.504]  Freedom.
[02:45:02.924 --> 02:45:02.504]  1776.
[02:45:03.004 --> 02:45:05.025]  So you could save up to 50%.
[02:45:06.346 --> 02:45:11.950]  And when you buy these great products, you get, uh, you know, you get the double Patriot points.
[02:45:12.390 --> 02:45:17.053]  And also you're, you're helping fund the tip of the spear and, and they're trying to dull it.
[02:45:18.317 --> 02:45:33.305]  So look, I've said this, they've said it on InfoWars, this is a crucial time we're at and InfoWars need your sponsorship and support to make it over the line during this historic time and it's really unbelievable what they're trying to do in shutting us down.
[02:45:34.046 --> 02:45:44.811]  So now more than ever, it's really essential to keep InfoWars on the air so they can continue to defend what people can't stand anymore from the government in charge of the First Amendment.
[02:45:45.272 --> 02:45:46.532]  So here's some of their sales, 40-50% off.
[02:45:48.174 --> 02:46:11.211]  Survival Shield X3, RainForce Ultra, RainForce Plus, DNAForce Plus, Vizzy Magnesium, Organic Green FiberCats, SuperMill, which is my favorite vitality and female vitality, 50% off all of those that I just mentioned.
[02:46:12.152 --> 02:46:15.897]   And for the 40% off deals, You have Ultimate Krill Oil.
[02:46:16.257 --> 02:46:18.338]  It's back in stock that we were out for a while.
[02:46:19.158 --> 02:46:20.319]  Knockout Sleep Support.
[02:46:20.779 --> 02:46:22.400]  Help you knock out when you want to sleep.
[02:46:23.040 --> 02:46:24.701]  Alpha Power.
[02:46:24.981 --> 02:46:25.261]  40% off.
[02:46:25.281 --> 02:46:26.221]  Immune Support.
[02:46:27.162 --> 02:46:28.842]  Oh, Vitamin D3 Gummies.
[02:46:30.003 --> 02:46:31.163]  VasoBeat Complete.
[02:46:32.164 --> 02:46:33.084]  Ultimate Fish Oil.
[02:46:33.505 --> 02:46:33.705]  All 40% off.
[02:46:35.037 --> 02:46:43.124]  So go to InfoWarsStore.com, InfoWarsStore.com, and get these best-selling items up to 40 and 50% off.
[02:46:43.484 --> 02:46:48.148]  Plus, you get the Devil Patriot points, and they're going to run out of stock, so get it while you can.
[02:46:48.589 --> 02:46:52.832]  And remember, as we keep saying, your purchase is a 360 win.
[02:46:53.413 --> 02:47:01.620]  You get super high-quality products, and you help launch InfoWars into the next level as they're trying to turn it down.
[02:47:02.842 --> 02:47:03.883]  To no level at all.
[02:47:03.903 --> 02:47:08.446]  And they're doing everything they can to stop freedom of speech, the First Amendment.
[02:47:11.188 --> 02:47:13.229]  Again, do what you can.
[02:47:13.630 --> 02:47:16.031]  Infowarsstores.com.
[02:47:17.372 --> 02:47:17.792]  Okay.
[02:47:18.873 --> 02:47:19.974]  I said about the economy.
[02:47:21.575 --> 02:47:23.416]  This is global and it's serious.
[02:47:24.977 --> 02:47:27.439]  Germany's inflation, worse than expected.
[02:47:27.499 --> 02:47:28.540]  This is the headline today.
[02:47:29.304 --> 02:47:38.391]  Inflation in Germany is expected to peak 10.4% in October according to preliminary figures released by the country's National Statistics Authority.
[02:47:38.411 --> 02:47:38.391]  10.4%!
[02:47:38.431 --> 02:47:43.895]  What was it over there in the UK?
[02:47:43.915 --> 02:47:44.816]  Like 9.1 or 10.1 then went down to 9.9?
[02:47:44.856 --> 02:47:46.677]  Was it 8.3, 8.2 in the United States?
[02:47:46.737 --> 02:47:47.578]  And look where wages are?
[02:47:47.397 --> 02:47:53.438]   and then went down to 9.9, it was 8.3, 8.2 in the United States.
[02:47:53.438 --> 02:47:55.438]  I'd look where wages are.
[02:47:55.438 --> 02:48:01.777]   So when they come out with this data about gross domestic product growing and sales growing,
[02:48:01.777 --> 02:48:04.377]  growing.
[02:48:02.976 --> 02:48:04.037]  That's a lot of BS.
[02:48:05.778 --> 02:48:10.302]  It's costing people to buy, to pay more to buy less.
[02:48:12.943 --> 02:48:18.407]  October looks to be the second consecutive month where the EU economic powerhouse will see inflation in double digits.
[02:48:21.109 --> 02:48:21.710]  You ready for this?
[02:48:22.951 --> 02:48:25.513]  Energy prices were 43% higher in October 2020.
[02:48:28.567 --> 02:48:30.509]  22 in this time last year.
[02:48:34.232 --> 02:48:34.592]  Okay.
[02:48:36.914 --> 02:48:37.114]  Huh.
[02:48:40.917 --> 02:48:41.518]  Wonder why?
[02:48:42.458 --> 02:49:04.343]   Oh, it couldn't be because, quote, we're going to punish Putin, end quote, with the sanctions that BS Biden And the NATO freaks followed to put on Russia to cut off their energy supply into Europe, which gets some 40% of their energy.
[02:49:05.184 --> 02:49:09.926]  They used to buy it from Moscow, from Russia, Russian sources.
[02:49:11.066 --> 02:49:13.888]  And over 50% from Germany.
[02:49:14.688 --> 02:49:16.629]  Brilliant, brilliant move.
[02:49:17.529 --> 02:49:19.010]  Really, really smart.
[02:49:22.857 --> 02:49:26.699]  And then you guy was talking about the arrogant clown.
[02:49:27.540 --> 02:49:31.402]  Again, as I keep saying, I'm tired of this crap, you know, if only women were in charge.
[02:49:31.762 --> 02:49:34.724]  Good and bad comes in every race, creed, and color, so take it easy.
[02:49:37.646 --> 02:49:40.547]  Inflation came from nowhere, Christine Lagarde said.
[02:49:40.587 --> 02:49:52.326]   Again, before she was this, she was the head of the International Mafia, a monetary fund, and now the European Central Banks, which had You know, negative interest rates, what, eight years?
[02:49:53.927 --> 02:50:00.511]  And now they're bragging that they brought them up to one point, you know, 5-0 when you have inflation skyrocketing.
[02:50:04.513 --> 02:50:12.398]  So anyway, European Central Bank has doubled its key interest rate, blah, blah, blah, blah.
[02:50:14.739 --> 02:50:18.506]   In October, the inflation rate in the Eurozone Ready?
[02:50:18.766 --> 02:50:19.006]  Reach 10.7%.
[02:50:19.746 --> 02:50:30.168]  So going back again on investments, to me, and I don't give financial advice, and the motto of the Trends Journal is think for yourself.
[02:50:30.228 --> 02:50:36.149]  To me, gold, silver, and bitcoin, gold number one, the top safe haven asset.
[02:50:36.169 --> 02:50:38.550]  Because this thing is going to collapse big time sometime.
[02:50:39.450 --> 02:50:42.030]  And when wars break out and stuff, gold is the one.
[02:50:42.350 --> 02:50:43.030]  It's the top.
[02:50:44.271 --> 02:50:46.171]  You want to buy your freedom, you buy it with gold.
[02:50:47.344 --> 02:50:50.085]  And that the prices are this low, you know, for me is, you know.
[02:50:52.567 --> 02:50:57.369]  You can see Russia, they have it right there, and China may be preparing for new gold-backed currency.
[02:50:59.670 --> 02:51:00.930]  The safest currency today.
[02:51:01.091 --> 02:51:08.734]  The only reason the dollar is the safest currency is because the other ones are so weak, as InfoWars makes clear with this article they just put up there.
[02:51:10.035 --> 02:51:12.636]  And so the dollar is strong because the other ones are so weak.
[02:51:13.516 --> 02:51:17.699]  You got inflation skyrocketing again in Europe at 10.7%.
[02:51:18.860 --> 02:51:22.122]  You got a 1.50% interest rate.
[02:51:23.003 --> 02:51:27.466]  And they used to say they're going to raise interest rates when they hit 2%, so they're lying freaks.
[02:51:27.866 --> 02:51:29.247]  They denied it would ever happen.
[02:51:29.547 --> 02:51:49.354]   So again, talking about the freaks that are in charge, in an interview with the state broadcaster RTE on Friday, Lagarde said, quote, We do what they're doing, raising interest rates, because we are fighting inflation.
[02:51:50.655 --> 02:51:56.080]  No, you're not fighting inflation when inflation's at 10.7% and your interest rate is down there.
[02:51:56.320 --> 02:51:57.961]  So you're not talking to a sixth grader.
[02:51:58.001 --> 02:51:59.363]  Yeah, maybe they are, but I'm not.
[02:52:00.383 --> 02:52:01.805]  And then she goes on to say, you ready?
[02:52:01.825 --> 02:52:08.490]  That inflation pretty much came from nowhere.
[02:52:10.372 --> 02:52:11.273]  I'm not making this up.
[02:52:15.225 --> 02:52:22.830]  The energy crisis, she writes, was caused by Putin, who has decided in an unjustified way to invade another country.
[02:52:24.031 --> 02:52:24.291]  Yeah.
[02:52:26.332 --> 02:52:27.413]  Oh, she's French, huh?
[02:52:27.453 --> 02:52:28.874]  You never invaded another country.
[02:52:28.894 --> 02:52:30.775]  You did a great job down there in Algeria.
[02:52:30.795 --> 02:52:32.636]  That was just going on into the 60s, yeah?
[02:52:33.016 --> 02:52:35.057]  Vietnam before the Americans got there.
[02:52:35.297 --> 02:52:37.419]  Oh, all your other colonies all over the place?
[02:52:39.571 --> 02:52:40.372]  Unjustified?
[02:52:40.392 --> 02:52:41.853]  Well, let's go back to the facts.
[02:52:41.933 --> 02:52:46.476]  Again, we write about him in the Trends Journal, but maybe you're too stupid to read.
[02:52:47.177 --> 02:53:02.728]  Go back to our Spring 2014 issue, when it used to be a quarterly, then it went to a monthly, now it's a weekly, and how the United States overthrew the democratically elected government of Viktor Yanukovych in Ukraine, and on and on and on.
[02:53:02.928 --> 02:53:13.923]   But anyway, she said, That's what he, Putin, is trying to do, cause chaos and destroy as much of Europe as he can.
[02:53:14.324 --> 02:53:18.367]  The energy crisis is causing massive inflation, which we have to defeat.
[02:53:19.108 --> 02:53:24.152]  Number one, the inflation was coming before the energy crisis.
[02:53:27.595 --> 02:53:29.737]  You denied it, you said it wasn't real.
[02:53:31.458 --> 02:53:41.598]   Number two, it's not Putin that caused it, it's The Europeans that caused it by putting the sanctions on Russia.
[02:53:42.158 --> 02:53:43.158]  You closed it down.
[02:53:43.799 --> 02:53:45.859]  But this is the propaganda that they're selling.
[02:53:46.900 --> 02:53:51.221]  And that's why you need to go to InfoWars, and that's why you need to read the Trends Journal.
[02:53:51.882 --> 02:53:54.062]  We put the facts down and give you the forecast.
[02:53:55.543 --> 02:54:00.585]  So do what you can to support InfoWars, and subscribe to the Trends Journal at TrendsJournal.com.
[02:54:01.085 --> 02:54:02.305]  We're giving you everything we can.
[02:54:02.325 --> 02:54:03.646]  The newest show will be out tomorrow.
[02:54:04.466 --> 02:54:05.747]  And again, Happy Halloween.
[02:54:05.787 --> 02:54:06.247]  No tricks.
[02:54:09.214 --> 02:54:13.076]  No treats, ball tricks.
[02:54:13.797 --> 02:54:16.638]  These are very critical times, so do what you can to support peace.
[02:54:16.738 --> 02:54:22.302]  Go to OccupyPeace.com and do what you can to spread the word of peace, because we don't want to die in war.
[02:54:22.661 --> 02:54:31.781]  Thanks for tuning in.
[02:54:31.849 --> 02:54:32.972]  You know where the Russians tune in?
[02:54:32.992 --> 02:54:34.135]  You know where everybody tunes in, right?
[02:54:34.155 --> 02:54:35.578]  You know who Tucker Carlson tunes in to?
[02:54:35.598 --> 02:54:36.320]  And Joe Rogan?
[02:54:36.581 --> 02:54:37.062]  Elon Musk?
[02:54:37.222 --> 02:54:38.285]  You know where they tune in, right?
[02:54:38.485 --> 02:54:39.127]  They tune in right here!
[02:54:40.180 --> 02:54:42.941]  InfoWars, tomorrow's news, today.
[02:54:43.541 --> 02:54:48.902]  We are witnessing the Mark of the Beast system openly rolled out and announced.
[02:54:49.362 --> 02:54:59.844]  Whether you believe the Bible is inspired by God or the Word of God or not, what was written over 2,000 years ago by John the Revelator on the Isle of Patmos is coming true.
[02:55:00.004 --> 02:55:10.568]   A world government that makes you take a mark in the hand or the head to be able to buy and sell and that you must worship the beast, that means Follow what the beast says, or you can't buy or sell.
[02:55:10.728 --> 02:55:12.830]  It's not just that you have to have the mark to buy or sell.
[02:55:13.710 --> 02:55:19.914]  You've got to do what the beast wants you to do, or you cannot buy and sell.
[02:55:20.054 --> 02:55:23.036]  And that's where, in late 2022, we are.
[02:55:23.237 --> 02:55:33.423]  Last week, the World Economic Forum was given over $100 million by the Government of Canada to roll out a World ID through the UN based on the Communist Chinese digital social credit score system.
[02:55:33.563 --> 02:55:36.105]  And now, just today, Bill Gates came out.
[02:55:36.425 --> 02:55:37.286]  Here's the article right here.
[02:55:37.926 --> 02:55:46.671]  And his foundation donated $200 million to expand digital ID surveillance system for the same Chinese communist control program.
[02:55:46.751 --> 02:55:58.338]  So the social credit score, communist China, and all the control you see is the model of this system being rolled out in Spain, rolled out in Italy, rolled out in Germany, rolled out in Canada, and now they're trying to roll it out here in America.
[02:55:58.398 --> 02:56:06.423]  Just a few years ago, Klaus Schwab, head of the WEF, said, you will have to take a microchip to buy and sell in the near future.
[02:56:07.023 --> 02:56:07.924]  And now here we are.
[02:56:08.604 --> 02:56:30.137]  So this is a huge, huge issue that they can then dictate to you through this new digital currency, through this World ID, every action you take in your life, with a carbon tax, through the social credit score, through universal basic income, as they shut off the regular economy and small businesses, making you sign on for a government handout.
[02:56:30.557 --> 02:56:34.640]  But with that handout comes all of the rules of the game.
[02:56:35.919 --> 02:56:40.122]  This is no longer theoretical on some drawing board or some computer.
[02:56:40.762 --> 02:56:46.345]  This is something the bureaucrats and the megacorporations and major governments are doing.
[02:56:46.385 --> 02:56:53.350]  There's a race between the West and Communist China to see, with big tech, who can put this in first.
[02:56:54.778 --> 02:56:59.100]  It's scary, but at least we are exposing it, and at least we know about it.
[02:56:59.360 --> 02:57:14.287]  Just last week, PayPal said, if you criticize government, if you criticize open borders, or forced injections, or anything else, gun control, we're going to fine you $2,500 for what we say you're doing in your own personal life.
[02:57:14.307 --> 02:57:16.889]  We're going to surveil you, and then we're going to censor you.
[02:57:17.654 --> 02:57:21.838]  But within days of the announcement, they had to back off because of the backlash.
[02:57:22.678 --> 02:57:24.700]  So submitting to this only makes things worse.
