[00:00.000 --> 00:24.120]  It's a helpless feeling.
[3:25:15.120 --> 3:25:20.960]  i was going to be seeing i knew uh because i had published a report that there was uh extensive
[3:25:20.960 --> 3:25:27.360]  uh ballot harvesting that the doj was investigating that investigation was being covered up and i said
[3:25:27.360 --> 3:25:34.720]  you know let's see some forensic evidence through this documentary and halfway through uh i said okay
[3:25:34.720 --> 3:25:40.720]  this is this is pretty overwhelming the extent at which they connected all these dots and gone by
[3:25:40.720 --> 3:25:48.080]  cell phone pangs uh and finding high definition video of these individuals doing this and it just
[3:25:48.080 --> 3:25:54.400]  struck me um i was almost overwhelmed and this again i'm going to repeat this i knew what i was
[3:25:54.400 --> 3:25:59.600]  going to be seeing when i went i went to support the documentary and be with a group of like-minded
[3:25:59.600 --> 3:26:05.760]  individuals but we the people we godly patriots that were pleased that we were going to have a
[3:26:05.760 --> 3:26:10.320]  tool to share with our friends and family members especially on the left side of the political
[3:26:10.320 --> 3:26:17.600]  spectrum um share this tool with our friends and family member i was starting to become overwhelmed
[3:26:17.600 --> 3:26:22.160]  by this sophistication because i thought to myself these are not big trays of ballots that
[3:26:22.160 --> 3:26:30.080]  were being dumped to that dumped into the boxes these were like three five ten and in the thousands
[3:26:31.200 --> 3:26:36.720]  distributed in of course the primary jurisdictions but as you can imagine uh i'm sure it was all
[3:26:36.720 --> 3:26:42.000]  throughout the country in certain regards and then i sat there and i reflected and i thought about
[3:26:42.000 --> 3:26:50.320]  the number of decades and then for the 2020 election i thought to myself this is a most
[3:26:50.320 --> 3:26:58.240]  military-style uh organization how are they able to do it by the end of the video i was so upset
[3:26:58.240 --> 3:27:04.480]  at what it take in place but even then i had not connected the dots i regardless of the
[3:27:04.480 --> 3:27:11.840]  investigations that i've done exposing uh election fraud including electronic voting machine fraud
[3:27:11.840 --> 3:27:19.200]  is also one element of it was was that the uh the the core of their system i'm going to tell you
[3:27:19.200 --> 3:27:24.240]  in the next segment we're going to cover this because i i have dug into this i've looked at the
[3:27:24.240 --> 3:27:30.560]  forensic uh analysis that was done in colorado i've looked at all the jurisdiction jurisdictions
[3:27:30.560 --> 3:27:37.360]  from uh georgia uh to michigan and i've been connecting these dots and the software that's
[3:27:37.360 --> 3:27:43.520]  contained within these machines and how these machines are basically used to calculate let's say
[3:27:43.520 --> 3:27:50.800]  for every one vote that comes in for president trump they calculate to calculation one point
[3:27:50.800 --> 3:28:00.880]  three votes for uh let's go brandon and that establishes how many ballots they need to grab
[3:28:00.880 --> 3:28:08.800]  from the warehouse to put in the box the counts are matching up um are you able to detect this
[3:28:08.800 --> 3:28:13.600]  electronic voting machine fraud well they have malicious software in there that deletes all
[3:28:13.600 --> 3:28:19.440]  the forensic evidence but make no mistake about it the source coding uh that's in these machines
[3:28:19.440 --> 3:28:26.240]  have always kept it proprietary these machines are used i believe and i and it's a pretty well
[3:28:26.240 --> 3:28:32.000]  informed opinion that these machines are used to calculate how many of these ballots that they put
[3:28:32.000 --> 3:28:38.240]  in these boxes pull them out of the warehouse so they can stay under the radar we'll dig in even
[3:28:38.240 --> 3:28:44.000]  further i'm going to discuss norm eisen on the other side of this break don't go away you you
[3:28:44.000 --> 3:28:51.040]  might be shocked as to who he is norm eisen has been involved with similar color revolutions all
[3:28:51.040 --> 3:29:03.920]  throughout the world for many many years and we begin a lot of crypto donations which is keeping
[3:29:03.920 --> 3:29:07.520]  us on here want to salute all those you know who you are they've been giving the donations
[3:29:07.520 --> 3:29:14.960]  please go to info wars dot com forward slash crypto info wars dot com forward slash crypto
[3:29:14.960 --> 3:29:21.120]  info wars dot com forward slash crypto whether it's a dollar in ethereum or bitcoin whatever it is
[3:29:21.120 --> 3:29:25.360]  whether it's a thousand dollars or a million dollars we will use it to fight the new world
[3:29:25.360 --> 3:29:32.400]  order ethereum bitcoin xrp litecoin there there's dozens of them there info war store
[3:29:32.400 --> 3:29:38.240]  dot com and by the way we've got our own nfts at harness cam they're totally badass in total victory
[3:29:38.240 --> 3:29:42.960]  coming out next week i'll tell you about that later but right now info wars dot com forward slash
[3:29:42.960 --> 3:29:47.920]  crypto the real revolution is happening now info wars dot com forward slash crypto and
[3:29:47.920 --> 3:29:57.840]  all of the donated we salute you and thank you the newest product from info wars life is now
[3:29:57.840 --> 3:30:03.360]  available exclusively at info wars dot com it is concentrated known herbs and compounds
[3:30:03.360 --> 3:30:09.920]  that will supercharge your body's natural defenses your immune system all at the same time
[3:30:09.920 --> 3:30:15.120]  fun in the info war our immune systems have always been critical but in this globalist era
[3:30:15.120 --> 3:30:18.400]  with all the criminal activity they're involved in it is more important than ever
[3:30:18.400 --> 3:30:24.800]  to take the tools god gave us and supercharge our immune systems info wars life immune support is a
[3:30:24.800 --> 3:30:29.440]  game changer and everyone out there that wants to be healthy and wants to boost your natural
[3:30:29.440 --> 3:30:35.760]  defenses should get it today out of the gates is 25 percent off at info wars store dot com
[3:30:35.760 --> 3:30:39.840]  got a lot of other great products to boost your immune system as well but this one is the very
[3:30:39.840 --> 3:30:44.960]  strongest we've got so anybody out there that cares about their health and wants to take
[3:30:44.960 --> 3:30:49.200]  care of themselves needs to get this product it's also a great gift for friends and family
[3:30:49.200 --> 3:30:54.080]  to boost their immune systems as well get yours today at info wars store dot com for 25 percent off
[3:30:56.400 --> 3:31:04.400]  over the years info wars is produced more than 200 amazing patriot americana second amendment pro
[3:31:04.400 --> 3:31:11.760]  liberty themed t-shirts ball caps flags you name all of the apparel and the flags are being sold
[3:31:11.760 --> 3:31:18.880]  at cost right now that's just regular plain jane shirts that is all sorts of designer shirts that
[3:31:18.880 --> 3:31:24.160]  cost us 15 20 25 dollars to produce we used to sell for 40 we're selling them for 15 selling
[3:31:24.160 --> 3:31:28.800]  for 20 whatever the shirt costs the shirt costs five dollars we're selling it for five dollars
[3:31:28.800 --> 3:31:32.800]  for us actually produce the cost ten dollars we're selling for ten dollars and we've got
[3:31:32.800 --> 3:31:37.040]  hoodies and we've got long sleeves and we've got short sleeves we've got them all and we've got a
[3:31:37.040 --> 3:31:41.760]  liquidate them all and they're limited edition because we're never going to make any of these
[3:31:41.760 --> 3:31:47.280]  designs again we are going to come out with some new designs that will be limited limited edition
[3:31:47.280 --> 3:31:52.080]  the future we've got to sell this to keep enforceable here plus it spreads the word info wars
[3:31:52.080 --> 3:31:57.360]  store dot com your historic apparel now info wars store dot com we are now proud to release the
[3:31:57.360 --> 3:32:03.280]  redux line of fair day bags this line features quick roll down and bell crow seal closures with
[3:32:03.280 --> 3:32:08.560]  discrete branding with six different sizes to choose from they have a signature reduction
[3:32:08.560 --> 3:32:15.040]  solution for all of your electronic device needs redux specializes in quick access weatherproof
[3:32:15.040 --> 3:32:21.120]  nylon fair day bags with signal blocking fair day shielding technology specifically designed
[3:32:21.120 --> 3:32:27.600]  for electronic devices carried in unsecured locations to instantly block all wireless signals
[3:32:27.600 --> 3:32:34.560]  and protect them from remote wiping tracking and tampering redux is dedicated to producing
[3:32:34.560 --> 3:32:40.640]  and selling cost effective signature reduction products for professionals needing to secure
[3:32:40.640 --> 3:32:49.440]  devices from wireless threats and more so check out redux to instantly block cellular wi-fi bluetooth
[3:32:49.440 --> 3:33:00.880]  rfid camera emp weather and even gps today leading a frontal assault on the lies of the new world
[3:33:00.880 --> 3:33:15.360]  order it's alex jones and ladies and gentlemen this report right here of course the exciting news
[3:33:15.360 --> 3:33:21.840]  the louisiana supreme court ruling uh in favor of pastor spell great american patriot i'm telling you
