[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[3:18:32.440 --> 3:18:38.840]  beat them is to buy food now before your dollar is even more devalued. We're ready to ship to you
[3:18:38.840 --> 3:18:44.440]  right now at preparetoday.com and not just storeable food, hundreds of the highest quality
[3:18:44.440 --> 3:18:50.200]  survival and preparedness items in stock at low prices ready to ship to you right now at prepare
[3:18:50.200 --> 3:18:55.560]  today.com. You can also use the URL preparewithalex.com and it takes you there. Take action.
[3:18:56.440 --> 3:19:02.440]  Ladies and gentlemen, high quality storeable food is back in stock ready to ship right now.
[3:19:02.440 --> 3:19:06.760]  We've not been selling food for three months because it was taking several weeks for the food
[3:19:06.760 --> 3:19:11.560]  to get packaged and delivered to you. Most of their companies are completely out but now they have
[3:19:11.560 --> 3:19:17.400]  a large spectrum of high quality food ready to ship. Everything you find at preparewithalex.com
[3:19:17.400 --> 3:19:23.960]  or preparetoday.com is in stock ready to ship. So go to preparewithalex.com or preparetoday.com
[3:19:23.960 --> 3:19:27.880]  and order your high quality storeable food right now ready to ship to you and your family
[3:19:27.880 --> 3:19:31.720]  with the inflation happening, with the food shortages, with the wars, with the collapse
[3:19:31.720 --> 3:19:35.560]  and wars that were things happening is one of the most important as you can make is to have
[3:19:35.560 --> 3:19:39.720]  high quality storeable food, water filtration, air filtration and more and it's not just those
[3:19:39.720 --> 3:19:44.280]  items it's hundreds of other high quality preparedness items and survival items right now
[3:19:44.280 --> 3:19:50.680]  and prepare withalex.com that again redirects to preparetoday.com. I would not procrastinate
[3:19:50.680 --> 3:19:54.040]  ladies and gentlemen one of the most important things you can do is get ahead of inflation
[3:19:54.040 --> 3:19:55.720]  now because the inflation is just beginning.
[3:19:55.720 --> 3:20:23.000]  Leading of Frontal Assault on the Lies of the New World Order it's Alex Jones.
[3:20:23.000 --> 3:20:33.480]  And now your host Gerald Salente.
[3:20:33.480 --> 3:20:41.960]  Hey great being on the Alex Jones show and remember everybody listening to all you can
[3:20:41.960 --> 3:20:49.960]  to support Infowars. You have great products and you're helping yourself by helping them.
[3:20:49.960 --> 3:20:58.520]  You're helping yourself physically and mentally physically by buying those great products
[3:20:58.520 --> 3:21:05.080]  that help your life in what you eat, what you drink, what you do and they got these great
[3:21:05.080 --> 3:21:13.880]  deals survival shield X2 it's finally back in stock and you get it for 40% off at Infowars
[3:21:13.880 --> 3:21:21.160]  and again you know the globalist wants to run down, want you to be run down and you look
[3:21:21.160 --> 3:21:25.640]  with and unhealthy and you look at what this country looks like and they're winning.
[3:21:26.280 --> 3:21:33.320]  You know the we're unhealthy as can be so these great products you know the World Health Organization
[3:21:33.320 --> 3:21:39.960]  estimates that nearly 50 million people still suffer some kind of mental impairment related
[3:21:39.960 --> 3:21:47.640]  to iodine deficiency and even the CDC states that iodine deficiency is one of the four major
[3:21:48.280 --> 3:21:54.040]  deficiency diseases in the world and that's why it's so important for you to try their survival
[3:21:54.040 --> 3:22:03.560]  shield X2 it's the only source of 99.99% ultra pure deep earth iodine crystals and you get these
[3:22:03.560 --> 3:22:10.440]  from like that 7,000 feet below the surface amount of suppliers over there so so again read the
[3:22:10.440 --> 3:22:20.120]  reviews discover the shocking facts and get this product it's good for you and it's good for Infowars
[3:22:20.120 --> 3:22:29.560]  supporting both mentally, physically, morally, it's health all around so do what you can.
[3:22:29.560 --> 3:22:38.040]  You know going back to this you know the headlines now or you know the what's going on with all of
[3:22:38.040 --> 3:22:46.840]  the cancellations of flights over in the UK all around the world and at least 14,000 domestic
[3:22:46.840 --> 3:22:54.440]  flights were canceled or delayed in the United States this holiday weekend. You believe this?
[3:22:54.440 --> 3:23:03.720]  14,000 and more than 900 flights were canceled on Sunday alone
[3:23:06.120 --> 3:23:13.080]  and we got our clown that's playing the transportation secretary this Buddha gig
[3:23:13.080 --> 3:23:23.080]  telling we got to fix this problem.
[3:23:24.520 --> 3:23:30.120]  Buddha gig is advising airlines to meet their flight schedules and hire more customers service
[3:23:30.120 --> 3:23:35.480]  workers he said that if they do not meet these requirements by the 4th of July weekend the
[3:23:35.480 --> 3:23:51.560]  department could enforce fines for the airlines. Okay a Buddha gig a clown why are they having this
[3:23:51.560 --> 3:24:07.080]  problem a fat mouth why don't you address why they're having this problem because you
[3:24:07.080 --> 3:24:14.920]  how could people take orders from these little jerks it's a country after country position after
[3:24:14.920 --> 3:24:23.240]  position you lock down society you remember you were going to flatten the curve.
[3:24:26.520 --> 3:24:33.560]  Look at this this guy was running to be our president and the way this country is going down
[3:24:35.160 --> 3:24:37.000]  he may be in the future.
[3:24:37.000 --> 3:24:46.920]  You lock down the economy you destroyed it with the COVID war no one talks about this
[3:24:46.920 --> 3:24:55.080]  no one talks about the irreputable damage that you clowns caused by locking down society
[3:24:55.960 --> 3:24:58.680]  to fight the virus we're going to fight the virus.
[3:24:58.680 --> 3:25:06.600]  You destroy the lives and livelihoods of hundreds of millions of people in the
[3:25:06.600 --> 3:25:14.600]  United States and billions around the world. Oh no Vax no jab no job oh you forgot they
[3:25:14.600 --> 3:25:23.240]  can't find any pilots huh what do you mean you have to get vaccinated how dare you how dare you
[3:25:23.240 --> 3:25:34.680]  question me I'm the fraud Fauci. Oh speaking of which hey arrogant little Fauci you got the
[3:25:34.680 --> 3:25:40.840]  virus huh double e-jab did you get one up you know you must have gotten 10 of them.
[3:25:43.560 --> 3:25:47.880]  Oh Buddha gig you got the jab too you got didn't you get the virus.
[3:25:47.880 --> 3:26:00.040]  They destroy the economy whoever heard of that gathering all these people you can't find work
[3:26:00.040 --> 3:26:05.480]  for you can't find to fill positions this didn't exist before the COVID war.
[3:26:10.680 --> 3:26:17.400]  Inflation wasn't skyrocketing before the COVID war and these little scum these little low
[3:26:17.400 --> 3:26:21.320]  lives like oh I gotta be proper she's our.
[3:26:24.200 --> 3:26:31.480]  Treasury Secretary of the United States Janet Yellen Ms. Faccia Brut and I know this inflation
[3:26:31.480 --> 3:26:42.760]  ain't real no no no it's not real it's temporary it's transitory it's transgendatory same thing
[3:26:42.760 --> 3:26:50.440]  with power the Fed head and she was the Fed head now she's a treasury secretary so grow up everybody
[3:26:50.440 --> 3:26:58.120]  here she is my owner me whoop we're the same age open look is like that these are the people
[3:26:58.120 --> 3:27:04.040]  telling us what to do 100% wrong and now you know what they're blaming it on the Russians.
[3:27:04.760 --> 3:27:10.680]  Yeah the Russians no no you put the sanctions on the Russians and you have inflation because
[3:27:10.680 --> 3:27:16.920]  you dumped in all that cheap money trillions of dollars and brought interest rates down to zero
[3:27:18.120 --> 3:27:23.240]  so the money junkies could keep gambling on Wall Street which should have gone into the toilet
[3:27:23.240 --> 3:27:26.520]  when they locked down the joint in March of 2020.
[3:27:28.920 --> 3:27:32.760]  Look at what's going who wants to travel I wouldn't want to travel anywhere.
[3:27:34.920 --> 3:27:38.440]  Unless of course I was one of the rich people that had my private jet.
[3:27:38.440 --> 3:27:43.160]  How could you listen to these people how stupid can you be.
[3:27:44.440 --> 3:27:47.640]  We called inflation right from the beginning.
[3:27:49.720 --> 3:27:54.600]  A year and a half ago we said it was real and not one of the media they all used to cover
[3:27:54.600 --> 3:28:01.000]  out the transjournal work they won't cover it because these little clowns their prostitutes
[3:28:01.000 --> 3:28:05.640]  their media wars they get paid to put out by the corporate pimps and their government war
[3:28:05.640 --> 3:28:13.080]  masters only would believe the authorities the officials the official pieces of garbage
[3:28:14.040 --> 3:28:20.120]  that's all they are official pieces of garbage this inflation is real we're not going into
[3:28:20.120 --> 3:28:25.080]  stagflation we're going into dragflation economies are going to drag down
[3:28:27.160 --> 3:28:32.680]  and inflation is going to skyrocket we're helping you do everything we can to prepare
[3:28:32.680 --> 3:28:39.240]  for that and so is info wars so get these products and you've been prepared for the worst
[3:28:39.800 --> 3:28:44.120]  prepare for the worst if the worst doesn't happen and you're prepared you lose nothing
[3:28:45.240 --> 3:28:48.920]  if the worst happens and you're not prepared you lose everything
[3:28:50.280 --> 3:28:54.040]  and we're going to lose it we'll be right back.
[3:28:54.040 --> 3:29:01.320]  Dennis DeSous is a new film 2000 mules is the most important documentary in modern times
[3:29:01.320 --> 3:29:06.040]  because it proves how the deep state stole a 2020 election how they're planning to steal
[3:29:06.040 --> 3:29:10.840]  future elections and complete our journey to basically being like venezuela now it's great
[3:29:10.840 --> 3:29:15.800]  that it's online it's great that millions watch online but you need to have the high quality hd
[3:29:15.800 --> 3:29:21.400]  dvd in your library with the expanded extras so it can't be censored in the future and so you
[3:29:21.400 --> 3:29:28.040]  can show it to everyone you know go to info warshore.com and get 2000 mules today and get it
[3:29:28.040 --> 3:29:33.800]  discounted up to 30 off when you get it with other documentary films like in-game blueprint for
[3:29:33.800 --> 3:29:38.680]  global enslavement the seminal classic that predicted the great reset and of course part one
[3:29:38.680 --> 3:29:44.680]  part two and now the new part three of covid land get them separate get them together massively
[3:29:44.680 --> 3:29:50.680]  discounted at info warshore.com but everyone needs to have 2000 mules in their library so the
[3:29:50.680 --> 3:29:58.920]  globalist can't censor it info warshore.com to get 2000 mules today prepare today.com
[3:29:59.720 --> 3:30:06.040]  prepare today.com we have created a one-stop shop to get the highest quality storeable foods
[3:30:06.040 --> 3:30:12.520]  ready to ship that are in stock with hundreds of award-winning certified preparedness survival
[3:30:12.520 --> 3:30:19.560]  items that's why prepare today.com is a one-stop shop you can also follow prepareallice.com it
[3:30:19.560 --> 3:30:25.240]  takes you right to the same site and it's our huge sponsor funding or operation so Americans and
[3:30:25.240 --> 3:30:31.240]  others can get ready be self-sufficient and fund the info war while saving massive amounts of money
[3:30:31.240 --> 3:30:36.520]  on critical items they need and of course getting things delivered to them quickly because in stock
[3:30:36.520 --> 3:30:43.160]  prepare today.com the only way you fail is not visiting prepare today.com there's not a question
[3:30:43.160 --> 3:30:47.720]  now whether you need this or not you need it before it was just a backup plan and insurance
[3:30:47.720 --> 3:30:54.680]  this is an insurance this is survival prepare today.com prepare today.com and i'll see you there
