[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[02:29:48.166 --> 02:29:49.107]  The end.
[02:29:50.007 --> 02:29:51.088]  Fight to the end.
[02:29:51.529 --> 02:29:51.889]  Finished.
[02:29:51.949 --> 02:29:52.509]  Finito.
[02:29:53.210 --> 02:29:53.470]  Over.
[02:29:55.051 --> 02:30:02.051]  or negotiate for peace.
[02:30:02.051 --> 02:30:06.051]  And they brag about this, how tough they are.
[02:30:06.349 --> 02:30:07.469]  All right, so here's the bet.
[02:30:11.030 --> 02:30:13.451]  Bet the trends, bet the trends.
[02:30:15.652 --> 02:30:19.273]  Russia versus Ukraine.
[02:30:20.514 --> 02:30:25.936]  The winner is, again, I'm totally opposed to Russia's invasion.
[02:30:26.276 --> 02:30:27.496]  Want to make that 1000% clear.
[02:30:31.678 --> 02:30:35.301]  But I also know the whys and what brought it about.
[02:30:37.682 --> 02:30:40.144]  So now I'm just putting the bet out there, you know.
[02:30:41.385 --> 02:30:43.146]  It's going into a casino.
[02:30:43.206 --> 02:30:43.807]  Place your bet.
[02:30:43.927 --> 02:30:44.587]  Place your bet.
[02:30:45.768 --> 02:30:46.389]  Who's gonna win?
[02:30:49.010 --> 02:30:54.735]  The Russia that Napoleon tried to invade Moscow in 1812 with 420,000 soldiers came back with 10,000.
[02:30:58.812 --> 02:31:01.714]  Or the Operation Barbarossa launched by Hitler to kill what?
[02:31:02.015 --> 02:31:07.139]  Between 23 and 27 million Russians and they were the first to defeat the Germans.
[02:31:07.439 --> 02:31:08.360]  So place your bet.
[02:31:10.101 --> 02:31:11.262]  There's going to be an end to this.
[02:31:13.184 --> 02:31:24.713]  How about negotiating for peace when you have more of a strengthening position than to keep going for war and then lose and have nothing?
[02:31:28.763 --> 02:31:31.485]  Remember we were taught to hate those Japanese, right?
[02:31:31.805 --> 02:31:34.067]  Bombs away, Nagasaki, Hiroshima.
[02:31:34.647 --> 02:31:38.270]  Atom bomb, murder of Truman after the war was almost over.
[02:31:39.411 --> 02:31:40.271]  What would you rather do?
[02:31:40.291 --> 02:31:42.233]  You'd rather negotiate before or after.
[02:31:43.113 --> 02:31:44.734]  And how we were hating those Germans.
[02:31:45.455 --> 02:31:46.776]  But now they're our allies.
[02:31:47.496 --> 02:31:53.701]  Oh, those terrible Vietnamese, yeah, but now we're importing, they're our biggest second importer of clothing and shoes.
[02:31:55.782 --> 02:32:02.559]   Because they gave all our jobs away because of the moronic Legislation that's hampered businesses.
[02:32:04.879 --> 02:32:09.060]  And the dirty deals politicians made to bring criminal countries into the system.
[02:32:10.341 --> 02:32:11.601]  And I'm not talking about Vietnam.
[02:32:13.142 --> 02:32:14.122]  They did nothing wrong.
[02:32:16.683 --> 02:32:18.283]  So we're in a critical stage here.
[02:32:19.103 --> 02:32:20.644]  The war talk keeps ramping up.
[02:32:21.944 --> 02:32:22.724]  So what would you do?
[02:32:22.744 --> 02:32:23.905]  Would you fight to the end?
[02:32:23.925 --> 02:32:28.966]  Or would you negotiate for peace?
[02:32:32.096 --> 02:32:48.985]  Whatever religion you believe in, whatever God you believe in, if your God is a God of peace, then stand up for it, or succumb to Satan, because that's what it's going to turn into.
[02:32:52.367 --> 02:32:54.188]  No one's talking about ending this war.
[02:32:54.228 --> 02:32:54.708]  Negotiate?
[02:32:56.469 --> 02:32:57.550]  We'll fight to the end?
[02:32:58.482 --> 02:33:01.943]  If somebody came in here with a gun right now and said, Salenti, get down on the floor, give me your money.
[02:33:02.023 --> 02:33:02.683]  Okay, man, yeah.
[02:33:03.023 --> 02:33:03.563]  What do you want?
[02:33:03.583 --> 02:33:04.803]  I'm not going to fight.
[02:33:04.823 --> 02:33:06.583]  I'm not going to fight a losing fight.
[02:33:08.964 --> 02:33:09.884]  I fight for my life.
[02:33:09.964 --> 02:33:10.564]  I have to.
[02:33:10.584 --> 02:33:12.784]  I've been in situations.
[02:33:14.285 --> 02:33:15.545]  The thing is, winners and losers.
[02:33:17.445 --> 02:33:18.865]  And no one's talking about peace.
[02:33:19.926 --> 02:33:20.786]  It's a dirty word.
[02:33:24.266 --> 02:33:27.667]  You're not, you're censored if you put out anything that they don't want to hear about.
[02:33:28.598 --> 02:33:33.840]  Which goes again back to InfoWars and InfoWars Store.
[02:33:37.042 --> 02:33:39.583]  We better unite for peace or we're going to die for war.
[02:33:40.143 --> 02:33:45.645]  Hey, great being on the Alex Jones Show and remember do everything you can to support InfoWars.
[02:33:45.665 --> 02:33:53.369]  Go to InfoWarsStores.com and InfoWarsStore.com and they got some great products out there.
[02:33:54.682 --> 02:33:58.163]  They're mental clarity and it takes you to the next level.
[02:33:58.243 --> 02:34:04.504]  Brain Force Ultra is 40% off and Brain Force, boy, that's a dying thing right now.
[02:34:05.165 --> 02:34:06.425]  So listen, do what you can.
[02:34:06.945 --> 02:34:09.546]  InfoWars, they got an emergency sale going on.
[02:34:09.626 --> 02:34:10.706]  It's a blowout sale.
[02:34:11.106 --> 02:34:11.986]  So stop now.
[02:34:12.066 --> 02:34:14.667]  And again, your mental clarity.
[02:34:16.310 --> 02:34:21.891]  It's whoever talks about this, nobody talks about mental clarity, just like with the whole COVID war.
[02:34:22.291 --> 02:34:24.052]  Nobody talked about getting in better shape.
[02:34:24.112 --> 02:34:25.072]  It was a dirty word.
[02:34:26.232 --> 02:34:30.153]  So they got Survival Shield, they got all these great products.
[02:34:30.933 --> 02:34:43.056]  And so do what you can, Brain Force Plus, and Alpha GBC, green coffee beans, yerba mate leaf.
[02:34:43.973 --> 02:34:45.014]  Green tea leaves?
[02:34:45.434 --> 02:34:46.315]  Ginkgo leaves?
[02:34:46.615 --> 02:34:46.816]  Yep.
[02:34:47.296 --> 02:34:48.457]  One great product after another.
[02:34:50.059 --> 02:34:52.521]  Really, you know, it's not like you're giving money away.
[02:34:52.541 --> 02:34:53.842]  You're getting a lot back for it.
[02:34:53.862 --> 02:34:57.445]  You know, you're getting great products and you're getting information that you can't get anywhere.
[02:34:58.526 --> 02:35:02.850]  Twitch issues bans to fight pro-Moscow propaganda.
[02:35:02.930 --> 02:35:04.552]  This is from the Financial Times.
[02:35:05.553 --> 02:35:15.687]   Amazon-owned Twitch has moved to ban several accounts On the live streaming platforms after research detailed how pro-Kremlin propaganda had spread on the network.
[02:35:16.287 --> 02:35:25.912]  I'm mentioning this because pro-research, pro-Kremlin propaganda after research detailed.
[02:35:26.012 --> 02:35:27.152]  Oh, research detailed.
[02:35:27.552 --> 02:35:28.353]  Oh, Mr. Research.
[02:35:28.413 --> 02:35:29.533]  Oh no, Mrs. Research.
[02:35:29.593 --> 02:35:32.254]  No, transgender research detailed.
[02:35:33.615 --> 02:35:35.556]  Who's this research that detailed this?
[02:35:37.455 --> 02:35:40.757]  You're not allowed to say what they don't want you to say on Amazon.
[02:35:41.697 --> 02:35:46.120]  You're not allowed to say what they won't allow you to say on Facebook.
[02:35:48.401 --> 02:35:51.303]  You're not allowed to say, hey, this is research!
[02:35:51.683 --> 02:35:53.344]  Detailed research!
[02:35:54.144 --> 02:35:54.805]  Yeah!
[02:35:55.305 --> 02:35:58.146]  I'm Peach Eye, this is Google Research!
[02:35:59.267 --> 02:36:00.188]  What do you know?
[02:36:00.428 --> 02:36:01.168]  We know!
[02:36:01.949 --> 02:36:04.910]  We'll tell you, that's why you gotta support InfoWars, alright?
[02:36:05.891 --> 02:36:06.211]  Okay.
[02:36:07.947 --> 02:36:09.868]  Same thing with our magazine, The Trends Journal.
[02:36:09.888 --> 02:36:11.329]  You're not getting anything like this anyway.
[02:36:11.369 --> 02:36:12.310]  TrendsJournal.com.
[02:36:12.330 --> 02:36:14.272]  Again, I was just looking at this issue.
[02:36:14.292 --> 02:36:15.833]  You know, war or peace.
[02:36:16.713 --> 02:36:17.854]  We the people should decide.
[02:36:18.675 --> 02:36:21.677]  Taking us to the Ukraine war back in 2014.
[02:36:21.717 --> 02:36:22.677]  Alright?
[02:36:23.438 --> 02:36:23.818]  Right there.
[02:36:23.838 --> 02:36:23.818]  2014.
[02:36:25.479 --> 02:36:29.022]  How they overthrew the government of Yanukovych.
[02:36:29.242 --> 02:36:29.882]  On and on and on.
[02:36:29.942 --> 02:36:30.623]  All the details.
[02:36:31.544 --> 02:36:34.866]  Because he wouldn't make a deal with the International Mafia Monetary Fund.
[02:36:36.787 --> 02:36:38.048]  I'd rather do a deal with Russia.
[02:36:39.949 --> 02:36:46.293]  So, going back to the... Before I go back into the war, I want to talk about the economy.
[02:36:48.935 --> 02:36:52.337]  We're going to go into the worst financial crisis in human history.
[02:36:53.738 --> 02:37:01.502]  The trillions of dollars that they pumped in to artificially boost the markets when they called the COVID war, they destroyed businesses beyond the belief.
[02:37:01.903 --> 02:37:02.663]  Beyond the belief.
[02:37:03.604 --> 02:37:04.604]  They're not coming back.
[02:37:05.085 --> 02:37:05.545]  They're gone.
[02:37:06.562 --> 02:37:09.484]  A third of the dry cleaners went out of business.
[02:37:11.425 --> 02:37:19.471]  The office occupancy rate in New York City is 67% below what it used to be.
[02:37:19.631 --> 02:37:19.951]  All right.
[02:37:21.673 --> 02:37:22.793]  So let's say it came back to 50%.
[02:37:23.634 --> 02:37:24.174]  Big deal.
[02:37:27.056 --> 02:37:30.559]  This is what the damage it's done is unprecedented.
[02:37:32.380 --> 02:37:35.122]  And all the cheap money they did to artificially pump it up.
[02:37:37.287 --> 02:37:38.328]  So what's going on?
[02:37:39.748 --> 02:37:44.030]  There's a thing called the Plunge Protection Team, and it's a rigged game.
[02:37:44.191 --> 02:37:45.891]  It's the banksters rigging the markets.
[02:37:45.951 --> 02:37:48.353]  Every time they go down, they try to boost them back up.
[02:37:48.913 --> 02:37:52.355]  That'll work for a bit, but it's much bigger than that, right?
[02:37:54.776 --> 02:37:55.856]  It's one after another.
[02:37:55.896 --> 02:38:02.940]  We put all the data in the magazine, but today one just came out where the price of corn hits nine-year high.
[02:38:04.676 --> 02:38:06.857]  As surge in commodities continues.
[02:38:07.077 --> 02:38:08.618]  One commodity after another.
[02:38:09.258 --> 02:38:20.503]  That's that guy Powell, the clown, playing the Fed head, who lied to us, what was stupid, over a year ago when we said, no, this inflation thing is really going to take off.
[02:38:22.324 --> 02:38:27.486]  Gold, by the way, today was up over $2,000 an ounce, backed off a bit.
[02:38:27.966 --> 02:38:33.949]  It was in the high 1980s when I got back online and started the show here.
[02:38:36.349 --> 02:38:36.689]  Why?
[02:38:36.709 --> 02:38:41.273]  Even though they're going to raise interest rates, inflation is skyrocketing.
[02:38:42.975 --> 02:38:46.458]  And that guy, Powell, what did he tell us?
[02:38:46.838 --> 02:38:47.699]  It was temporary.
[02:38:48.519 --> 02:38:49.780]  No, it's not.
[02:38:50.401 --> 02:38:51.482]  It's transitory.
[02:38:51.982 --> 02:38:54.685]  No, no, no, Salenti, it's transgendatory.
[02:38:54.745 --> 02:38:55.605]  That's what we have here.
[02:38:56.506 --> 02:38:56.886]  All right.
[02:38:59.649 --> 02:39:00.930]  That's what happened with inflation.
[02:39:03.032 --> 02:39:03.592]  It's real.
[02:39:04.193 --> 02:39:04.673]  It's big.
[02:39:05.387 --> 02:39:06.288]  And it's getting worse.
[02:39:07.108 --> 02:39:12.873]  Oil prices today will back up to like $114 a barrel for Brent crude.
[02:39:14.454 --> 02:39:15.995]  The prices are going to keep going up.
[02:39:18.177 --> 02:39:20.058]  Again, our data is all in the magazine.
[02:39:20.079 --> 02:39:21.119]  Your wages are going up.
[02:39:21.139 --> 02:39:22.520]  They're not even close to inflation.
[02:39:23.441 --> 02:39:26.664]  And when you look at the real inflation numbers, it's double what they're showing us.
[02:39:27.624 --> 02:39:29.386]  Go to John Williams' shadow stats.
[02:39:32.688 --> 02:39:34.730]  This is very serious what's happening.
[02:39:36.001 --> 02:39:37.882]  And it's only going to get more serious.
[02:39:39.443 --> 02:39:48.148]  You know, I was yelling and screaming before when I got on the air after hearing Alex Jones's passionate plea for people to stand up and help.
[02:39:48.768 --> 02:39:50.849]  Because I know how bad this thing is going to go.
[02:39:51.630 --> 02:39:56.572]  And just as I read to you where they're blocking out that Amazon, it's one after another.
[02:39:56.692 --> 02:39:58.233]  Censorship is the new word.
[02:39:58.613 --> 02:40:00.334]  We've been writing about this for years.
[02:40:01.435 --> 02:40:02.836]  I used to be on everybody.
[02:40:02.896 --> 02:40:04.817]  The Today Show, Good Morning America.
[02:40:07.372 --> 02:40:08.212]  O'Reilly.
[02:40:10.174 --> 02:40:11.414]  Fox and Friends.
[02:40:11.574 --> 02:40:12.295]  Oprah.
[02:40:13.555 --> 02:40:13.856]  Often.
[02:40:14.556 --> 02:40:14.836]  Often.
[02:40:15.576 --> 02:40:17.077]  But black, blackballed.
[02:40:18.118 --> 02:40:20.619]  Oh, and how many people hate me for going on with Alex Jones?
[02:40:20.659 --> 02:40:21.140]  Are you kidding?
[02:40:22.060 --> 02:40:23.041]  How can you go on there?
[02:40:23.061 --> 02:40:23.901]  What are you talking about?
[02:40:23.941 --> 02:40:25.382]  I say what I say.
[02:40:25.402 --> 02:40:27.283]  It's free speech.
[02:40:29.484 --> 02:40:31.225]  Does Alex agree with everything that I say?
[02:40:31.285 --> 02:40:31.485]  No.
[02:40:31.625 --> 02:40:32.506]  Do I agree with everything?
[02:40:32.526 --> 02:40:32.566]  No.
[02:40:34.582 --> 02:40:37.705]  It's putting out information, and the bottom line is think for yourself.
[02:40:39.606 --> 02:40:43.249]  I'll do everything I can to support InfoWars and the InfoWars staff.
[02:40:43.269 --> 02:40:45.391]  I see what they're doing.
[02:40:47.032 --> 02:40:48.313]  Every day I go on to the news.
[02:40:48.373 --> 02:41:02.145]  I go from the Global Times in China, to Fars News Agency in Iran, to Jerusalem Post in Israel, to InfoWars, to Bloomberg, to CNBC.
[02:41:03.979 --> 02:41:05.239]  InfoWars is right in there.
[02:41:07.380 --> 02:41:08.821]  Telling you a lot of great stories.
[02:41:10.321 --> 02:41:12.022]  About information that could really help you.
[02:41:14.803 --> 02:41:15.623]  So do what you can.
[02:41:15.643 --> 02:41:21.865]  And again, we're doing all we can with the magazine The Trends Journal giving you, there's nothing like it.
[02:41:21.905 --> 02:41:24.346]  But anyway, I want to go back to this war.
[02:41:25.486 --> 02:41:25.766]  U.S.
[02:41:25.846 --> 02:41:32.249]  causes humanitarian disasters around the globe, killing innocent civilians and creating millions of refugees.
[02:41:32.929 --> 02:41:33.489]  Who said this?
[02:41:35.208 --> 02:41:35.588]  China.
[02:41:36.089 --> 02:41:37.769]  Global Times last Friday.
[02:41:40.471 --> 02:41:41.572]  Then they have these stories.
[02:41:42.912 --> 02:41:45.034]  Ukraine crisis instigator.
[02:41:45.174 --> 02:41:52.138]  U.S.-led NATO reneges on not one inch eastward promise to compress Russia's space to the extreme.
[02:41:52.418 --> 02:41:54.099]  Number two, instability brewer.
[02:41:54.539 --> 02:42:03.344]  Behind every war with turmoil in the world is the shadow of the star-spangled banner.
[02:42:04.119 --> 02:42:05.420]  Vampires in the war.
[02:42:05.520 --> 02:42:05.800]  U.S.
[02:42:05.840 --> 02:42:08.801]  war mongers feeding on the bloody turbulence of other countries.
[02:42:09.422 --> 02:42:11.623]  This is from the Financial Times.
[02:42:12.583 --> 02:42:15.965]  So, bet the trends.
[02:42:16.905 --> 02:42:19.306]  I said Ukraine versus Russia.
[02:42:19.326 --> 02:42:22.328]  The winner is Russia.
[02:42:22.428 --> 02:42:25.189]  Remember, I just read you came from the Global Times of China.
[02:42:26.050 --> 02:42:30.032]  China and Russia versus U.S.
[02:42:30.272 --> 02:42:30.812]  and NATO.
[02:42:31.712 --> 02:42:32.413]  The winner is?
[02:42:33.817 --> 02:42:34.437]  Who's gonna win?
[02:42:35.898 --> 02:42:36.979]  Who you place your bet on?
[02:42:39.181 --> 02:42:54.191]  Well, speaking for myself, let's see, India has 1.4 billion people, then you throw in Russia, you almost want it.
