[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[02:45:34.691 --> 02:45:35.091]  That's all true.
[02:45:34.911 --> 02:45:43.710]   He wrote a book with the catchy title "COVID-19, The Great Reset".
[02:45:43.710 --> 02:45:45.951]  That's all true.
[02:45:45.951 --> 02:45:57.230]   My question to the PM is, how does he judge the content of this book?
[02:45:57.230 --> 02:45:58.590]  I do not know this book.
[02:45:58.587 --> 02:46:00.448]  He wrote the frickin' forward!
[02:46:02.768 --> 02:46:03.188]  Again!
[02:46:05.029 --> 02:46:06.769]  Who's the current Dallas Cowboys quarterback?
[02:46:07.209 --> 02:46:08.289]  I mean, I don't even follow it.
[02:46:09.050 --> 02:46:10.130]  That was Tony Romo before.
[02:46:10.150 --> 02:46:13.411]  Who's the new guy?
[02:46:13.431 --> 02:46:20.452]  The point is, this is like literally... I just can't believe the gaslighting.
[02:46:20.552 --> 02:46:20.792]  Geez.
[02:46:21.172 --> 02:46:21.412]  Sorry.
[02:46:21.532 --> 02:46:23.013]  I'm gonna stop doing the football analogies.
[02:46:23.033 --> 02:46:24.453]  I haven't watched football anymore.
[02:46:25.650 --> 02:46:27.111]  Let's start this over.
[02:46:27.351 --> 02:46:30.272]  He's written the forward to the book for the Dutch version.
[02:46:30.653 --> 02:46:31.313]  That comes out.
[02:46:32.093 --> 02:46:33.274]  He gets awards from him.
[02:46:33.534 --> 02:46:35.855]  He doesn't know who he is.
[02:46:36.155 --> 02:46:36.775]  Let's continue.
[02:46:40.397 --> 02:46:50.522]  I do not know this book, but I would like to advise Mr. Van Meijen not to look too much into conspiracy theories.
[02:46:52.975 --> 02:47:00.338]  I also watch those fascinating YouTube videos.
[02:47:01.118 --> 02:47:03.519]  They explain how 9-11 didn't happen.
[02:47:03.559 --> 02:47:05.120]  No, he said the state worked with the Muslims.
[02:47:05.800 --> 02:47:07.621]  Or that it happened in a different way.
[02:47:08.161 --> 02:47:13.544]  They are nicely put together, but most of the time it's just what it is, a conspiracy theory.
[02:47:13.423 --> 02:47:15.423]  That's what it is, a conspiracy theory.
[02:47:15.423 --> 02:47:25.423]   It surprises me that the first question I asked of Mr. Root since I have been sworn in as a member of parliament.
[02:47:25.503 --> 02:47:31.903]  [Speaking Dutch]
[02:47:31.903 --> 02:47:36.903]   Thank you very much, but it surprises me that my question was answered with a lie.
[02:47:36.903 --> 02:47:40.503]  [Speaking Dutch]
[02:47:40.503 --> 02:47:45.292]  I have a letter dated November 26, 2020 from Mr. Root to Mr.
[02:47:45.292 --> 02:47:47.103]  Klaus Schwab, who he doesn't know.
[02:47:47.154 --> 02:47:48.994]  In which he thanks Mr. Schwab for sending him the book.
[02:47:48.813 --> 02:47:55.813]  In which he thanks Mr. Schwab for sending him the book.
[02:47:55.813 --> 02:48:02.813]  And he calls it a hopeful analysis for a better future.
[02:48:02.813 --> 02:48:08.813]  Could Mr. Rutten dig into his memory?
[02:48:09.813 --> 02:48:15.813]  Could Mr. Rutten dig into his memory?
[02:48:16.185 --> 02:48:17.586]  It's less than half a year ago.
[02:48:18.106 --> 02:48:20.568]  I do not know how long your memories remain active.
[02:48:20.387 --> 02:48:28.627]  But you can probably dig this up somewhere.
[02:48:28.627 --> 02:48:31.986]   So please answer my first question again, but this time with honesty.
[02:48:31.938 --> 02:48:33.938]  Honest, please.
[02:48:33.938 --> 02:48:35.938]  Well, the honest answer is that that...
[02:48:35.938 --> 02:48:39.938]  Well, the honest answer is that it is a letter out of pointlessness.
[02:48:39.938 --> 02:48:42.938]  ...a letter in which you...
[02:48:42.938 --> 02:48:47.938]   Because, unfortunately, you cannot read all books that you get sent in.
[02:48:47.938 --> 02:48:50.938]   Unfortunately, not all books you get sent in from KAF or KAF can be read, but...
[02:48:51.368 --> 02:48:51.809]  Back it up.
[02:48:52.129 --> 02:48:53.489]  So not pointless as I misread that.
[02:48:53.749 --> 02:48:55.790]  He said it's a answer of politeness.
[02:48:56.370 --> 02:48:58.530]  Obviously, I can't read all books.
[02:49:00.391 --> 02:49:04.692]  Oh, but you wrote a foreword and you give awards to each other and your best buddies.
[02:49:04.992 --> 02:49:06.773]  Dunk, dunk, dunk, Michael Jordan.
[02:49:07.493 --> 02:49:11.274]  Well, the honest answer is that it's a letter out of politeness.
[02:49:11.314 --> 02:49:11.654]  Continue.
[02:49:13.462 --> 02:49:16.604]  Because unfortunately you cannot read all books that get sent in.
[02:49:17.024 --> 02:49:17.724]  Hit pause.
[02:49:18.145 --> 02:49:28.391]  So 30... a minute before, he doesn't know who Klaus Schwab is, he doesn't know about the book, he doesn't know about the letter, but now he knows all why he did this.
[02:49:28.431 --> 02:49:28.851]  Continue.
[02:49:33.654 --> 02:49:36.135]  But you want to send a thank you letter to those who sent a book?
[02:49:37.336 --> 02:49:37.576]  So Mr. Root...
[02:49:41.778 --> 02:49:44.859]  That he didn't lie to me, but he lied to Mr. Klaus Schwab.
[02:49:44.698 --> 02:49:45.698]  Mr. Schwab.
[02:49:45.698 --> 02:50:03.178]   I have another question Mr. Schwab pleads in his book for resetting our world.
[02:50:03.178 --> 02:50:06.818]   He wants to replace our parliamentary democracy with a global technocracy.
[02:50:06.618 --> 02:50:11.618]  parliamentary democracy to be replaced by a global technocracy.
[02:50:11.618 --> 02:50:15.618]  He pleads for the end of private property.
[02:50:15.618 --> 02:50:19.618]  He pleads for the end of private property.
[02:50:19.618 --> 02:50:25.618]   And apparently Mr. Root is not even aware that he called this a hopeful analysis for a better future.
[02:50:26.392 --> 02:50:29.595]  How is it possible that Mr. Rutte values a book that has neo-communist messages?
[02:50:30.014 --> 02:50:34.014]   that he has called this a hopeful message for a better future.
[02:50:34.014 --> 02:50:40.014]   How is it possible that Mr. Rutte values a book that has neo-communist message?
[02:50:40.014 --> 02:50:45.014]   How is it possible that Mr. Rutte values a book that has neo-communist message?
[02:50:45.014 --> 02:50:48.014]  While he did not even read the book.
[02:50:48.014 --> 02:50:50.014]  Thank you, Mr. President.
[02:50:50.014 --> 02:50:54.014]  So there you go.
[02:50:54.014 --> 02:51:04.014]  [BLANK_AUDIO]
[02:50:56.151 --> 02:50:58.452]  That young man is awesome.
[02:50:59.572 --> 02:51:00.953]  And that's, I mean, just look at these people.
[02:51:01.413 --> 02:51:03.253]  No one stands up to these scums.
[02:51:03.673 --> 02:51:07.935]  He looks like Mr. America, all cool, arrogant and so, I don't know who Klaus Schwab is!
[02:51:08.255 --> 02:51:12.076]  I'd just write books with him and hang out with him and get awards with him.
[02:51:12.136 --> 02:51:13.837]  I don't know, like screw you, man!
[02:51:15.610 --> 02:51:19.656]  I mean, okay, own your judges, own your system, run your scam.
[02:51:19.957 --> 02:51:20.257]  Do it.
[02:51:20.357 --> 02:51:21.158]  We're done with you.
[02:51:21.178 --> 02:51:21.599]  Okay?
[02:51:21.859 --> 02:51:23.662]  We want out of this world with you.
[02:51:23.902 --> 02:51:25.424]  We don't want to be run by you.
[02:51:25.705 --> 02:51:26.666]  We don't want to be around you.
[02:51:26.987 --> 02:51:29.791]  And I've done three hours and 57 minutes of airtime today.
[02:51:32.260 --> 02:51:36.580]   And when I get my most fired up, I don't ever remember to do this, but we extended the sales.
[02:51:36.580 --> 02:51:37.860]  I don't have a new sale.
[02:51:37.860 --> 02:51:40.580]  Vitamin Roll Fusion 50% off, actually 50% off.
[02:51:40.580 --> 02:51:41.939]  We'll run through Sunday.
[02:51:41.939 --> 02:51:42.980]  Infowarsstore.com.
[02:51:42.980 --> 02:51:44.500]  If you don't find us, we'll be shut down soon.
[02:51:44.500 --> 02:51:45.540]  I mean, I'm not bitching.
[02:51:45.540 --> 02:51:46.340]  I'm not mad at you.
[02:51:46.340 --> 02:51:48.420]  You don't want to be here no more.
[02:51:48.420 --> 02:51:49.939]  I'm sick of looking at these people.
[02:51:49.939 --> 02:51:54.819]  But Infowarsstore.com, Infowarsstore.com, keep us on air.
[02:51:54.819 --> 02:51:56.099]  And I really appreciate you.
[02:51:56.294 --> 02:52:02.042]  The War Room with Owen Schroyer, Darren Bede is coming up with huge false flag news today.
[02:52:01.902 --> 02:52:16.221]  thewarroominfowars.com.
[02:52:16.502 --> 02:52:19.866]  He also said war is politics by another means.
[02:52:20.426 --> 02:52:21.267]  They're interchangeable.
[02:52:22.008 --> 02:52:23.210]  We are in a war.
[02:52:23.290 --> 02:52:28.156]  There is a global corporate takeover, the Great Reset, happening worldwide.
[02:52:28.436 --> 02:52:32.478]  And Klaus Schwab and Bill Gates and the UN admit this is their takeover.
[02:52:32.678 --> 02:52:46.966]  They brag that they had this Davos school for 40 years that trained almost every one of these so-called leaders from Canada to New Zealand, from the UK to Germany under Klaus Schwab and Henry Kissinger's control.
[02:52:48.311 --> 02:52:56.674]  And now they're launching their world government to collapse society to then carry out State Department memorandum 200 for forced depopulation.
[02:52:56.934 --> 02:52:59.375]  And that's why InfoWars is under such incredible attack.
[02:52:59.755 --> 02:53:03.396]  Because we actually identify who the globalists are and go after them.
[02:53:03.716 --> 02:53:05.057]  Donald Trump knows who they are.
[02:53:05.277 --> 02:53:06.817]  Senator Rand Paul knows who they are.
[02:53:07.178 --> 02:53:08.758]  Senator Josh Hawley knows who they are.
[02:53:09.158 --> 02:53:10.339]  Ted Cruz knows who they are.
[02:53:10.919 --> 02:53:16.801]  But they won't dare go after them because they know when you do that, the system destroys you.
[02:53:17.694 --> 02:53:18.214]  Well, you know what?
[02:53:18.294 --> 02:53:19.155]  I stepped up to the plate.
[02:53:20.196 --> 02:53:22.757]  And you stepped up to the plate supporting Infowars over the years.
[02:53:22.797 --> 02:53:30.562]  So we're here fighting and identifying them to make it safe for other men to finally take action and save our republic and save our world.
[02:53:31.929 --> 02:53:36.750]  At the same time, it's beyond critical to remember that without your financial support, InfoWars will be shut down.
[02:53:37.370 --> 02:53:41.611]  That's why I offer you a 360 win, where you keep us on air and you get great products at the same time.
[02:53:42.011 --> 02:53:43.492]  The only way you fail is not taking action.
[02:53:43.992 --> 02:53:45.652]  They have been sold out for months and months and months.
[02:53:45.672 --> 02:53:46.592]  Two of our best sellers.
[02:53:46.612 --> 02:53:48.053]  They're in our top five, both of them.
[02:53:48.653 --> 02:53:57.615]  X2 Deep Earth Crystal Iodine, back in stock, 50% off for a limited time, and Winter Sun Highest Quality Vitamin D3.
[02:53:59.295 --> 02:54:12.180]  Ladies and gentlemen, you know InfoWars is not going to give up or give in.
[02:54:12.380 --> 02:54:15.001]  And your support over the years is the only reason why we're still on air.
[02:54:15.021 --> 02:54:17.142]  And quite frankly, it's a miracle.
[02:54:17.222 --> 02:54:20.703]  I think in the new World Order timeline, they really did not expect us to still be on air.
[02:54:21.443 --> 02:54:24.564]  And that's why they're pulling out all the stops right now to try to destroy us.
[02:54:24.885 --> 02:54:27.946]  You see about 25% probably of the attacks against us.
[02:54:28.046 --> 02:54:30.687]  Maybe, now that some of it's getting more public, it's closer to 50.
[02:54:31.067 --> 02:54:32.928]  But still, just the tip of the iceberg.
[02:54:33.488 --> 02:54:37.830]  But you in the audience keeping us on air has been a miracle.
[02:54:37.990 --> 02:54:42.392]  Infowarsstore.com, huge discounts on top-rated, top-selling supplements.
[02:54:43.012 --> 02:54:45.033]  In case you don't know about it, here's what we have.
[02:54:45.213 --> 02:54:56.358]  Brain Force Plus, Ultimate Krill Oil, Knockout Sleep Support, the Down and Out Liquid Sleep Support, Super Male and Super Female Vitality, DNA Force Plus Bodies, Ultimate Turmeric, Turbo Force, Vitamin Mineral Fusion.
[02:54:56.578 --> 02:55:01.761]  I'm really starting to love the new Super Coral Whitening Toothpaste.
[02:55:01.921 --> 02:55:06.083]  I just recently made the switch about a week ago, and I'm really starting to love it.
[02:55:06.263 --> 02:55:10.506]  Definitely my new favorite toothpaste now, after just about one week of use.
[02:55:11.006 --> 02:55:12.887]  The Super Coral Whitening Toothpaste.
[02:55:12.907 --> 02:55:14.228]  What a great way to fund the Infowar.
[02:55:14.328 --> 02:55:15.549]  A tube of toothpaste.
[02:55:15.749 --> 02:55:17.010]  Everybody uses toothpaste.
[02:55:17.450 --> 02:55:18.451]  Everybody brushes their teeth.
[02:55:18.511 --> 02:55:19.071]  I'm assuming.
[02:55:19.632 --> 02:55:21.273]  Why not get toothpaste from the good guys?
[02:55:21.733 --> 02:55:24.415]  Super Coral Whitening Toothpaste on sale right now at InfowarStore.com.
[02:55:24.815 --> 02:55:38.831]  You know, we haven't really been building it up because the news has been heavy and we've launched some other big projects lately, but COVIDLAND 2 is out and there's already some great reviews on there for COVIDLAND 2 at Infowarsstore.com and it's such a great deal right now.
[02:55:39.251 --> 02:55:48.962]   Not only do you get COVIDLAND 2, But you get two of a two classic InfoWars pieces, Order of Death and Dark Secrets on DVD.
