[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[02:40:27.754 --> 02:40:46.002]  That's not going too well at the hotels in which these refugees are being housed, which have basically been turned into refugee camps at the moment, while the hotels still have paying guests, because they're being paid by the government for rooms that would otherwise be empty, or they get one-fifth of the payment for those rooms in places like Scarborough.
[02:40:47.163 --> 02:40:53.966]  Meanwhile, Senator Cotton warns hundreds of unknown Afghans escaping into US from military bases.
[02:40:54.753 --> 02:40:58.314]  Hundreds of unvetted and undocumented refugees rescued from Afghanistan.
[02:40:58.714 --> 02:41:01.615]  Apparently they're all interpreters, you know, lawyers and doctors.
[02:41:02.475 --> 02:41:06.216]  But they're fleeing military bases and just disappearing into the US.
[02:41:06.996 --> 02:41:16.559]  He also details multiple crimes committed in evacuee facilities, including a report of a group of male Afghan evacuees assaulting a female service member at Fort Bliss.
[02:41:17.259 --> 02:41:34.845]   An Afghan evacuee allegedly sexually assaulting young boys, Bacha Barzi, you're reporting that now, good luck, At Fort McCoy in Wisconsin, another Afghan evacuee, again, you know, interpreters, lawyers, doctors, reasonable people, reportedly choked his wife at Fort McCoy.
[02:41:35.683 --> 02:41:40.404]  State Department's raised concern about child trafficking by older Afghan men.
[02:41:40.865 --> 02:41:47.727]  So apparently this is the kind of diversity that we're importing both into the United Kingdom and into the United States.
[02:41:48.307 --> 02:41:53.888]  Under the justification, ludicrous as it is, that all these people are skilled workers and interpreters, they're not.
[02:41:54.008 --> 02:41:55.629]  Most of them are economic migrants.
[02:41:56.289 --> 02:42:00.591]  Meanwhile, actual journalists are being barred from the UK, interrogated and searched.
[02:42:01.151 --> 02:42:06.254]  Of course, last week we had the NBA stars come out and say basically, I'm young, I'm fit, I'm healthy.
[02:42:06.494 --> 02:42:09.695]  I've got an infinitesimal chance of dying from the COVID virus.
[02:42:09.755 --> 02:42:13.257]  I've got an equal or better chance of having complications from the vaccine.
[02:42:13.597 --> 02:42:14.778]  Why should I take it?
[02:42:15.418 --> 02:42:21.301]  Well, it's because like everyone at every other level of society, they've been bullied, threatened and intimidated into taking it.
[02:42:21.841 --> 02:42:24.342]  And you saw the same process with footballers.
[02:42:25.592 --> 02:42:27.173]  Or soccer, as you call it.
[02:42:28.174 --> 02:42:42.082]  In terms of the Qatar World Cup, which is set to take place next year, with authorities, sporting authorities, telling footballers they would need to be double vaccinated to be able to take part in the soccer World Cup.
[02:42:43.003 --> 02:42:48.846]  BT.com Sport reports some vaccinated players and fans could still be allowed to attend Qatar World Cup.
[02:42:48.886 --> 02:42:56.249]   They've had to backtrack Players and fans who are not fully vaccinated against Covid could still be allowed to attend the Qatar World Cup next year.
[02:42:57.109 --> 02:43:08.456]  They're saying that they may give them the option of presenting proof of having recovered from the virus, which as we know is about 27 times more effective than getting the vaccine according to the Israeli study.
[02:43:08.956 --> 02:43:12.859]  Can't talk about that though, even though Pfizer representatives are now admitting it.
[02:43:13.319 --> 02:43:14.760]  That gets banned off social media.
[02:43:15.851 --> 02:43:17.653]  Or evidence of negative tests.
[02:43:17.693 --> 02:43:25.920]  And again, why would you mandate just the vaccine if someone can provide a negative test when that's far better proof that they're not gonna pass it on?
[02:43:26.861 --> 02:43:28.542]  So they've had to back down on this.
[02:43:28.883 --> 02:43:32.446]  And the reason why is contained in a headline that we had last week.
[02:43:32.986 --> 02:43:37.711]  Report only seven Premier League clubs have more than 50% vaccinated players.
[02:43:37.731 --> 02:43:49.360]   And again, These guys are under the same societal pressures as everyone else, if not more so, because they're being told that they need to be the example to the kids and to others to get double vaccinated.
[02:43:50.001 --> 02:44:00.289]  But despite a massive PR push to encourage vaccination, only 7 of the 20 Premier League football clubs have more than 50% of the players in their squads fully jabbed.
[02:44:01.290 --> 02:44:13.869]   So the squads are about 25 to 30 players in number, And only seven of those clubs out of 20 have more than half of those squad members fully vaccinated.
[02:44:14.249 --> 02:44:20.215]  The figure was revealed in a Sportsmail report about Premier League plan to reward teams who have high vaccination rate.
[02:44:20.255 --> 02:44:21.796]  That means punish the ones that don't.
[02:44:23.478 --> 02:44:24.499]  So that was revealed.
[02:44:24.559 --> 02:44:36.018]   And again, why are Men in their 20s, mainly in their early to late 20s in terms of Premier League footballers, refusing the Covid jab.
[02:44:36.358 --> 02:44:39.239]  Again, because they're obsessed about health and fitness.
[02:44:39.299 --> 02:44:49.564]  They've read the studies, they've looked at the numbers, the likelihood of them having serious complications from Covid versus the likelihood of them having serious complications from the vaccine.
[02:44:50.183 --> 02:45:14.583]  And they've chosen to take their chances and not take the vaccine, which is commendable and actually very impressive that they haven't been bullied into it by the sporting authorities and by their own employers, by the clubs, forcing the sporting authorities in Qatar to back down and now say that they're not going to have to be vaccinated to take part in soccer's biggest tournament on the world stage.
[02:45:14.623 --> 02:45:15.824]  So more good news there.
[02:45:16.204 --> 02:45:17.485]  Not so good news in Ireland.
[02:45:18.464 --> 02:45:19.606]  Talked about Ireland earlier.
[02:45:19.626 --> 02:45:22.589]  We're going to return to Ireland now and go to this clip.
[02:45:23.110 --> 02:45:35.246]  A YouTuber, despite being double vaccinated, tried to get into a restaurant in Ireland in his hometown and was refused entry because he didn't have the proper medical papers.
[02:45:35.286 --> 02:45:36.287]  Let's go to that clip.
[02:45:36.467 --> 02:45:36.848]  Here it is.
[02:45:37.877 --> 02:45:49.173]  We were actually denied entry in there in Nimmo's because you have to basically show you have to wear your mask but you also have to show that you've been double vaccinated.
[02:45:49.213 --> 02:45:58.101]   Now we've both been double jabbed and we've both been double vaccinated however I showed them my NHS barcode, which they said, first of all, didn't show up.
[02:45:58.141 --> 02:46:00.562]  They were being really strict about it.
[02:46:00.822 --> 02:46:05.883]  And the barcode, they said that basically, oh, well, you're not a door jabber.
[02:46:05.903 --> 02:46:07.944]  I said, I am, and this is my NHS pass.
[02:46:08.284 --> 02:46:11.025]  And they said, well, you need a different pass, blah, blah, blah.
[02:46:11.725 --> 02:46:13.105]  Anyway, they let that one go.
[02:46:13.525 --> 02:46:15.046]  And they said, fair enough, whatever.
[02:46:15.946 --> 02:46:17.786]  Then we showed them yours.
[02:46:17.826 --> 02:46:18.046]  Yeah.
[02:46:18.346 --> 02:46:21.647]  And Daniel's had his jab in... On the 28th.
[02:46:21.867 --> 02:46:23.848]  I had one in Spain and one in here.
[02:46:23.968 --> 02:46:30.153]  We had one in Spain, in Tenerife, and then one here, which was like two or three days ago or whatever.
[02:46:30.213 --> 02:46:31.454]  No, that was 29th.
[02:46:31.494 --> 02:46:34.836]  29th, and it's now the... What is it now?
[02:46:35.036 --> 02:46:37.979]  It's now the third.
[02:46:39.020 --> 02:46:43.383]  And what they're saying is basically that you haven't been vaccinated long enough.
[02:46:44.704 --> 02:46:48.387]  You've got to leave it so many days, even though you've got your digital pass.
[02:46:49.047 --> 02:46:51.209]  And they refused this entry.
[02:46:51.229 --> 02:46:52.130]  Well, it's not what makes it worse.
[02:46:52.210 --> 02:46:52.730]  I PCR'd.
[02:46:54.071 --> 02:46:56.691]  You know, not so long ago, which means I'm clear, and I came up clear.
[02:46:56.771 --> 02:46:58.032]  You came up clear, yeah.
[02:46:58.052 --> 02:46:58.852]  You know, to travel.
[02:46:58.972 --> 02:47:00.872]  I flew in an airplane, there was no issues with that.
[02:47:01.312 --> 02:47:01.512]  Yeah.
[02:47:01.612 --> 02:47:03.513]  I flew in a plane, and I can't go into a restaurant.
[02:47:03.953 --> 02:47:05.213]  And they won't let you into the restaurant.
[02:47:05.273 --> 02:47:12.074]  It's sad, considering it's my own country, this is where I'm from, and that, you know, I'm double jabbed, done a PCR test.
[02:47:12.354 --> 02:47:12.874]  Yeah.
[02:47:13.794 --> 02:47:17.835]  And a restaurant in Galway, in my hometown, won't let me into the restaurant.
[02:47:17.855 --> 02:47:20.015]  So this is how, because Rick... Because of an application.
[02:47:20.415 --> 02:47:20.576]  Yeah.
[02:47:20.756 --> 02:47:21.296]  And on the 22nd of...
[02:47:24.116 --> 02:47:25.437]  October, this is all going to disappear.
[02:47:25.457 --> 02:47:27.279]  You're not even going to need any of this.
[02:47:27.980 --> 02:47:38.711]  So actually denied entry into a restaurant in Galway, Nimmo's, because even though you double jabbed, they said you haven't had it long enough.
[02:47:38.751 --> 02:47:39.732]  So they wouldn't let us in.
[02:47:39.752 --> 02:47:41.393]  They were really strict about it.
[02:47:41.734 --> 02:47:43.255]  Now I don't know what you guys think.
[02:47:43.636 --> 02:47:48.000]   I personally think This is all, this is beyond a joke.
[02:47:48.640 --> 02:47:51.163]  I'm going to think on a business side of it, right?
[02:47:51.183 --> 02:47:54.786]  So basically, I can understand where they're coming from as a business, right?
[02:47:54.806 --> 02:47:57.289]  Because as a business person, you know, they're taking a risk.
[02:47:57.990 --> 02:48:00.772]  You know, they could end up getting fined if it's not 100% right.
[02:48:01.133 --> 02:48:02.234]  So I know where they're coming from.
[02:48:02.354 --> 02:48:04.496]  I don't agree what I don't agree with.
[02:48:04.977 --> 02:48:06.839]  Is this law that you can't go in?
[02:48:07.080 --> 02:48:07.540]  You know what I mean?
[02:48:07.560 --> 02:48:08.562]  That you're this.
[02:48:08.602 --> 02:48:09.844]  But then, I don't know.
[02:48:10.244 --> 02:48:10.645]  I don't know.
[02:48:10.665 --> 02:48:13.489]  I'm not an expert in this stuff and I don't like really commenting on it.
[02:48:13.509 --> 02:48:15.092]  But it is disappointing.
[02:48:15.612 --> 02:48:16.794]  I mean, I've double jabbed.
[02:48:16.814 --> 02:48:18.657]  I've been PCR'd so I'm clear.
[02:48:19.218 --> 02:48:20.420]  And I'm not able to go in there.
[02:48:21.000 --> 02:48:22.341]  I find it very disappointing.
