[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[02:39:05.301 --> 02:39:06.522]  Their whole career will be gone.
[02:39:06.622 --> 02:39:23.375]  So, for example, treating a COVID patient, putting a COVID patient on a ventilator, a whole lot of reasons why Andrew Cuomo in New York didn't use the resources that President Donald Trump sent to him because these hospitals, these clinics, the bureaucratic pressure, and all of the special interests
[02:39:23.735 --> 02:39:37.079]  That there's trillions of dollars at stake to hospitalize these people and to put them on the ventilators because they're getting paid 30, 40, 50 thousand, depending on what state you're in, dollars per patient that they diagnose, hold and treat for COVID-19.
[02:39:37.179 --> 02:39:38.459]  It's all a money game.
[02:39:38.499 --> 02:39:39.059]  We know that.
[02:39:39.079 --> 02:39:41.500]  The globalists are after nothing but money and control.
[02:39:41.820 --> 02:39:43.101]  We're a big farm here.
[02:39:43.481 --> 02:39:45.001]  We're farming humans.
[02:39:45.181 --> 02:39:47.462]  I mean, that is the realization that we have to come to.
[02:39:47.482 --> 02:39:49.362]  I got about 30 seconds left in this segment.
[02:39:49.462 --> 02:39:51.043]  I want you to wrap up on this dereliction.
[02:39:51.986 --> 02:39:58.875]  I just wanted to say over 500,000 Americans died and the majority of them needlessly.
[02:39:58.895 --> 02:40:06.264]  90% of they sent people to their deaths on these ventilators when they had something that would cure it in a matter of hours.
[02:40:07.166 --> 02:40:10.068]  It's just, Stu, it's just, it's unfathomable.
[02:40:10.588 --> 02:40:14.210]  And like I said, America's doctors are going to have a lot to answer for these doctors.
[02:40:14.550 --> 02:40:21.854]  They knew there was no safety study in pregnant women or little children, and yet they're still pushing those populations to get these jabs.
[02:40:22.554 --> 02:40:28.217]  Yeah, well, amongst the doctors, I think there's going to be many others that are committing suicide, like the parents.
[02:40:28.277 --> 02:40:34.700]  I'm predicting a huge breakout of suicides as we continue with Dr. Ruby next on 20 Where My Name Is Stu Peters for Alex Jones.
[02:40:35.000 --> 02:40:36.301]  Of course, it's all about your kids.
[02:40:37.526 --> 02:40:38.707]  We've been saying that forever.
[02:40:38.747 --> 02:40:40.369]  We've been saying that for the longest time.
[02:40:40.409 --> 02:40:41.590]  They're coming after your kids.
[02:40:42.951 --> 02:40:48.075]  You know, we're called tinfoil hat wearers again when you talk about adrenochrome.
[02:40:48.876 --> 02:40:50.037]  We know the truth about that.
[02:40:50.077 --> 02:40:51.779]  We know why certain people aren't aging.
[02:40:52.699 --> 02:40:55.482]  We know why others appear to be in a post-Trump world.
[02:40:57.586 --> 02:41:00.948]  Ted Cruz saying I think there's a real potential for government overreach.
[02:41:00.968 --> 02:41:02.749]  Do you think so, Senator Cruz?
[02:41:02.769 --> 02:41:05.491]  Do you think that there's such a thing as government overreach?
[02:41:05.511 --> 02:41:06.471]  They're coming for your kids.
[02:41:06.511 --> 02:41:09.373]  I mean, they're luring them in with milk and cookies.
[02:41:09.914 --> 02:41:13.396]  There are lotteries, million-dollar lotteries going on, Governor DeWine.
[02:41:14.436 --> 02:41:18.080]  We're seeing coercion by employers, by universities.
[02:41:18.120 --> 02:41:19.621]  These kids can't go back to school.
[02:41:19.641 --> 02:41:24.645]  I mean, what about these kids, Dr. Ruby, who are looking at their second and third year of college?
[02:41:24.665 --> 02:41:25.686]  They're already enrolled.
[02:41:25.706 --> 02:41:27.328]  Their parents have paid for tuition.
[02:41:28.414 --> 02:41:34.958]  Uh, and you know, when you start talking, before we went to the break, I was, I'm predicting this, this mass suicide event that's going to happen.
[02:41:35.678 --> 02:41:45.123]  And you know, I'm talking about the doctors that you were alluding to who have acted in malfeasance and who have, you know, not done their research at very minimal.
[02:41:45.383 --> 02:41:50.266]  They haven't done their research on what's in these injections because they just get this emergency use authorization.
[02:41:51.132 --> 02:42:18.166]  It's not their job to really look into it, but when you, as a doctor, isn't it your responsibility to say, hey, I'm seeing these reports of this myocarditis, and yeah, in the media, I'm seeing that, okay, well, it doesn't say that there's a direct link, but there is all of this data that's accessible by healthcare professionals, by these doctors who have access, at very minimum, to theirs, but I think for a lot more access to other things.
[02:42:18.646 --> 02:42:20.567]  Listen, I should probably look into this,
[02:42:21.207 --> 02:42:25.269]  And so then, you know, they go ahead and they get the... I don't know.
[02:42:25.489 --> 02:42:26.870]  I think they're going to be killing themselves.
[02:42:27.210 --> 02:42:28.711]  But what about these poor parents?
[02:42:29.111 --> 02:42:40.116]  What about these parents who are, with joy, holding up their infant babies for cameras, for photo opportunities, the youngest baby injected with this thing?
[02:42:40.814 --> 02:42:41.354]  In the world!
[02:42:41.414 --> 02:42:42.734]  Let's make, let's make news!
[02:42:43.074 --> 02:42:49.516]  People running around touting the fact, celebrating the fact that they have encouraged their children towards this thing.
[02:42:50.056 --> 02:42:52.616]  I'm predicting mass suicides by those people as well.
[02:42:52.736 --> 02:42:54.636]  I mean, what about the luring?
[02:42:54.676 --> 02:42:56.817]  What about the going after our children with this thing?
[02:42:56.857 --> 02:42:57.577]  To that you say what?
[02:43:01.558 --> 02:43:04.758]  I'm gonna call it a war on young people and children.
[02:43:05.318 --> 02:43:08.739]  They're hitting the universities all the way down to the nursery schools.
[02:43:09.466 --> 02:43:13.547]  I can't sound this alarm enough.
[02:43:14.127 --> 02:43:21.048]  Your lifelong health is not worth losing a semester or two.
[02:43:21.388 --> 02:43:22.748]  Find another university.
[02:43:22.988 --> 02:43:30.370]  Not every university demands that you be inoculated, injected with this poison before you can return back to school.
[02:43:30.710 --> 02:43:32.070]  Put your money where your mouth is.
[02:43:32.150 --> 02:43:33.230]  March with your wallet.
[02:43:34.090 --> 02:43:37.951]  In terms of young children, parents, I'm begging parents.
[02:43:39.374 --> 02:43:53.381]  You're sentencing your child to first of all a lifetime of the unknown, but what we do know you're sentencing them to is highly likely many decades of autoimmune diseases, illnesses, if they even live
[02:43:53.821 --> 02:43:54.861]  A normal lifespan.
[02:43:55.161 --> 02:43:57.282]  And I'm not overstating this.
[02:43:57.322 --> 02:44:00.502]  When I tell parents and students, just wait.
[02:44:00.882 --> 02:44:02.162]  Find another university.
[02:44:02.543 --> 02:44:06.303]  Even when it comes to jobs, people write to me, Dr. Ruby, what should I do?
[02:44:06.343 --> 02:44:07.243]  It's my job.
[02:44:07.803 --> 02:44:08.844]  Find another job.
[02:44:09.224 --> 02:44:19.865]  Are you willing to trade your life and your health for the next 40, 50 years for a trip to Spain next year?
[02:44:19.925 --> 02:44:21.666]  I mean, really think about this.
[02:44:21.726 --> 02:44:23.006]  It's incredibly dangerous.
[02:44:23.516 --> 02:44:25.518]  And you mentioned the dereliction of doctors.
[02:44:25.558 --> 02:44:27.799]  I just want to touch on another thing about that, Stu.
[02:44:28.260 --> 02:44:32.423]  Why aren't doctors looking for weekly safety updates?
[02:44:32.443 --> 02:44:40.029]  There's nothing coming out to guide doctors and other professionals, education professionals, anything like that.
[02:44:40.409 --> 02:44:41.890]  There's no oversight.
[02:44:41.930 --> 02:44:46.714]  Has anyone stopped to ask, where's the oversight on these programs?
[02:44:47.355 --> 02:44:49.256]  They're setting up clinics in school.
[02:44:49.997 --> 02:44:51.037]  It's incredibly frightening.
[02:44:52.273 --> 02:44:55.162]  You are, but I think there is a whole lot of oversight going on here.
[02:44:55.784 --> 02:44:57.771]  Because I think that this is absolutely 100% intentional.
[02:44:59.272 --> 02:45:02.473]  And I think that the globalists are absolutely overseeing all of this.
[02:45:03.034 --> 02:45:22.962]  And they're pulling all of the strings, that there's been backroom deals done in Washington, and that those that are supposedly elected and sent there to represent the will of the people, who we know now, I mean, they don't even have to be elected, they can be installed, they can just be sent there, and then they can be inaugurated under the protection of electrified razor wire and thousands of National Guard troops.
[02:45:23.962 --> 02:45:26.163]  In a weird and vacant Washington, D.C.
[02:45:26.383 --> 02:45:40.826]  So, I think there's a whole lot of oversight going on here, and I think that those people who are going to be found to be criminally liable is going to really surprise a whole lot of people, you know, that this is not just limited to Democrats.
[02:45:41.427 --> 02:45:50.449]  You know, Democrats and progressive radicals that we have been identifying here as tyrants and, you know, hijacking a political system and overturning our entire government
[02:45:51.354 --> 02:46:10.661]  I think it's going to shock a lot of so-called Republicans when they find out that the people that they had a whole lot of confidence in that would go to Washington and properly represent us were equally as complicit in this because their pockets were being lined by special interest groups and by the elitists that sit at the roundtable of the faction and the globalists that want to kill our kids.
[02:46:11.201 --> 02:46:20.164]  That want to make women infertile, that want to demasculinize men and get rid of any opposition to this overtaking this political agenda to move towards a one world order.
[02:46:20.604 --> 02:46:25.186]  And I know that we're getting off the topic here a little bit, but when I have you, you're very valuable to me.
[02:46:25.226 --> 02:46:29.788]  So I want to go back to the medical insight on this, but I just want to give for a full perspective here.
[02:46:29.808 --> 02:46:35.630]  I mean, I have seen verifiable evidence that the UN, for example, is gearing up
[02:46:36.130 --> 02:46:40.193]  To come in and start policing the streets in some of these cities like Chicago and in New York.
[02:46:40.714 --> 02:46:48.679]  All of this uptick in violence, all of this uptick in gun violence and killings and homicides, this isn't a surprise.
[02:46:49.320 --> 02:47:00.348]  The reason you don't see a look of shock or surprise on some of these tyrannical leaders like Lori Lightfoot in Chicago or here on Mayor Jacob Fry in the city of Minneapolis is because this is all orchestrated and planned.
[02:47:00.388 --> 02:47:02.490]  It's going on in New York, it's going on in Los Angeles.
