[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[02:35:45.813 --> 02:35:53.037]  Will we allow these people to use fear and propaganda to do further harm to our society, economy, and children?
[02:35:53.057 --> 02:35:56.939]  Or will we stand together and say, absolutely not.
[02:35:57.079 --> 02:35:58.020]  Not this time.
[02:35:58.720 --> 02:35:59.561]  I choose freedom.
[02:36:02.025 --> 02:36:05.527]  Powerful speech there from Senator Rand Paul.
[02:36:05.648 --> 02:36:14.914]  Meanwhile, the people that are still trying to keep us under lockdown, and indeed fetishising lockdown like victims of Stockholm Syndrome, are journalists and the media.
[02:36:14.954 --> 02:36:18.737]  We had this headline yesterday, and there have been similar ones before.
[02:36:18.777 --> 02:36:22.700]  A journalist says, I'm going to miss being locked down.
[02:36:23.560 --> 02:36:24.481]  Pines for another.
[02:36:25.180 --> 02:36:32.952]  Journalist Michael Bonitullo Manitovani wrote an article for The Guardian in which he said, I'm going to miss being locked down while pining for another.
[02:36:33.292 --> 02:36:39.302]  Basically, he's lazy, doesn't want to get out of bed, he wants to get paid government furlough to sit on his arse all day.
[02:36:40.444 --> 02:36:52.475]  And he thinks that everybody else should pine for the same, despite the fact that people have missed the funerals of their relatives, people have lost their businesses, people have become chronically depressed, people have killed themselves, the economy's going to crap.
[02:36:52.895 --> 02:36:58.940]  But this guy gets to sit in his pyjamas all day whilst viewing crappy articles for The Guardian like this.
[02:36:59.040 --> 02:37:00.562]  So he wants another lockdown.
[02:37:00.582 --> 02:37:01.142]  We'll be back.
[02:37:01.182 --> 02:37:01.663]  Don't go away.
[02:37:02.183 --> 02:37:20.534]  So the UN came out with another alarmist apocalyptic global warming warning, a code red for humanity yesterday, basically saying that while they're going to continue flying private jets to these global climate conferences, while John Kerry's going to keep taking his private jet to attend
[02:37:21.014 --> 02:37:24.678]  Barack Obama's birthday parties in Martha's Vineyard.
[02:37:25.018 --> 02:37:27.401]  You're going to have to drastically reduce your energy use.
[02:37:27.421 --> 02:37:31.465]  You're going to drastically have to reduce your travel, your entire way of living.
[02:37:31.485 --> 02:37:33.187]  Your economy is going to go to pot.
[02:37:33.931 --> 02:37:41.713]  The employment rates, as we saw in Spain with their completely failed green economy, are going to soar to 25% plus.
[02:37:42.193 --> 02:37:45.034]  But it's all to save the planet, so it's all worth it.
[02:37:45.074 --> 02:37:57.358]  Just they're not going to have to abide by the same economy-stripping, lifestyle-ruining measures that you will have to abide by because they're the elite and the same rules don't apply to them.
[02:37:57.378 --> 02:38:00.619]  We have this headline out of Summit News again.
[02:38:01.616 --> 02:38:05.219]  UN climate report author says people are starting to get scared.
[02:38:05.239 --> 02:38:09.482]  He betrayed the truth behind this report in this little comment here.
[02:38:09.502 --> 02:38:13.165]  And this will change the way they quote, vote.
[02:38:14.366 --> 02:38:20.471]  And by the way, I went on BBC News website last night, and you can see this in the tweet, which is in the article.
[02:38:21.167 --> 02:38:39.417]  They have, or had last night, at the top of their entire news website, let's count them, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 news stories, all above the fold at the top of the website, every single news story about this UN climate report.
[02:38:39.697 --> 02:38:45.180]  That's not news, that's propaganda, that's aggressively pushing a narrative.
[02:38:45.640 --> 02:38:48.362]  It's kind of a big cope in a way, it's trying too hard.
[02:38:48.682 --> 02:38:50.503]  They would have 10 news stories
[02:38:50.863 --> 02:38:51.144]  We're good.
[02:39:03.143 --> 02:39:08.186]  Who told us that global cooling would cause ecological devastation back in the 70s.
[02:39:08.506 --> 02:39:13.269]  The very same people, by the way, who are still authors of these new IPCC-UN climate reports.
[02:39:13.750 --> 02:39:17.272]  The same people who said the North Pole would be ice-free by 2013.
[02:39:17.952 --> 02:39:22.535]  In fact, from 2013 to 2014, it had record ice growth.
[02:39:23.436 --> 02:39:31.100]  The same people who said that the population bomb would lead to mass famine throughout the world throughout the 80s and 90s.
[02:39:31.180 --> 02:39:32.141]  Paul Ehrlich.
[02:39:32.848 --> 02:39:54.806]  All the same people now telling us the same crap that if we don't sign over sovereign power, that if we don't sign over all our freedoms, we've talked about climate lockdowns, the World Economic Forum, to the globalists, to the United Nations, to the WEF, to Davos Man, then the world is going to hell in a handbasket, despite the fact that
[02:39:55.723 --> 02:40:04.743]  Climate deaths, deaths of people responsible for the climate in terms of floods, droughts, wildfires, whatever, have declined by about 95% over the past 50 years.
[02:40:07.293 --> 02:40:20.827]  In terms of the fact that extreme weather events are actually down on previous decades, no, doesn't matter, because they came out with a scary report and the BBC News needed ten headlines at the top of their website to convince you of it.
[02:40:21.007 --> 02:40:27.975]  Because it's so convincing, they literally need to put ten friggin' headlines at the top of their news website.
[02:40:28.275 --> 02:40:29.817]  Sounds like a big cope to me.
[02:40:31.755 --> 02:40:41.452]  Well now, the true agenda behind the fear-mongering was betrayed by one of the authors of the report, Jim Cossin, who helped write one of the chapters on extremes.
[02:40:42.219 --> 02:40:51.207]  He says, quote, I think more and more people are starting to get scared, adding, I think that'll help to change people's attitudes and hope that will affect the way they vote.
[02:40:51.548 --> 02:41:03.118]  So he's literally admitting this is working, they're scaring people, going to change the way they vote so they vote in more left-wing parties to give the United Nations more power to take their rights.
[02:41:03.158 --> 02:41:08.383]  We've got a clip now from Mark Morano, who appeared on Fox News perfectly explaining
[02:41:09.215 --> 02:41:13.921]  The alarm isn't the hysteria that the United Nations trots out every three to four years.
[02:41:14.341 --> 02:41:17.305]  We'll come back and talk about it after, but here is that clip.
[02:41:19.041 --> 02:41:20.242]  29 minutes now before the top of the hour.
[02:41:20.343 --> 02:41:28.950]  UN scientists raising the alarm on climate change in a 3,000 page report calling global warming quote a code red for humanity.
[02:41:29.290 --> 02:41:31.592]  And the media jumping on board warning to get scared.
[02:41:31.673 --> 02:41:34.035]  Proclaiming the report revealed alarming findings.
[02:41:34.095 --> 02:41:38.999]  But before you start to worry about the end of the world, our next guest is here with the reality check.
[02:41:39.039 --> 02:41:42.322]  The publisher of climatedepot.com, Mark Morano.
[02:41:42.682 --> 02:41:44.384]  Mark, what was your takeaway?
[02:41:47.065 --> 02:41:50.348]  My takeaway, this is what the UN does every three to five years.
[02:41:50.448 --> 02:41:53.630]  And it's essentially, you don't have to trust the science.
[02:41:53.650 --> 02:41:56.613]  They're asking you to trust scientific institutions.
[02:41:56.733 --> 02:42:02.257]  And this is a political lobbying arm of the United Nations that pretends to be a science panel.
[02:42:02.277 --> 02:42:02.938]  They were started in 1988.
[02:42:03.138 --> 02:42:08.482]  Their goal is to scare everyone to convince you into, quote, climate action.
[02:42:08.602 --> 02:42:11.764]  Al Gore has said these reports are, quote, torqued up.
[02:42:12.085 --> 02:42:14.206]  How else do you get the attention of policymakers?
[02:42:14.687 --> 02:42:16.088]  One of the lead authors of this report
[02:42:16.288 --> 02:42:19.769]  He actually says he hopes it impacts the way people vote.
[02:42:20.229 --> 02:42:27.031]  And this is a guy in charge and one of the authors who's a climate risk specialist who actually potentially financially benefits off the report.
[02:42:27.491 --> 02:42:33.792]  So this is a report using a climate scare to get people to support UN treaties, Green New Deals.
[02:42:34.072 --> 02:42:36.953]  So right off the bat you have to be suspect of what it claims.
[02:42:37.073 --> 02:42:41.394]  And Al Gore, of course, made zillions of dollars off climate change and his global warming.
[02:42:42.094 --> 02:42:46.416]  And he also, most of the stuff that he predicted, none of it has come true so far.
[02:42:46.736 --> 02:42:48.396]  Let's look at some of the highlights of the report.
[02:42:48.476 --> 02:42:50.257]  Blaming humans for the rising temperatures.
[02:42:50.557 --> 02:42:52.237]  They say it's all about the combustion engine.
[02:42:52.737 --> 02:43:00.920]  Concludes we'll surpass 1.5 degrees Celsius threshold, which the Paris Climate Agreement is trying to limit earlier.
[02:43:01.360 --> 02:43:03.820]  And warns the ice melt and sea level rises are accelerating.
[02:43:03.860 --> 02:43:05.781]  Predicts extreme weather will get worse.
[02:43:06.361 --> 02:43:22.733]  Out of those, when people see the floods, when they see what happened in Europe, when they see what's happening outside President Obama's place in Narragansett, Martha's Vineyard, when they see erosion, they think climate change.
[02:43:22.753 --> 02:43:22.953]  Do you?
[02:43:25.769 --> 02:43:26.449]  No, and here's why.
[02:43:26.530 --> 02:43:28.150]  Even the UN has to admit.
