[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[02:38:47.125 --> 02:38:48.145]  We are all the oppressed.
[02:38:48.525 --> 02:38:49.605]  That's all history is.
[02:38:49.665 --> 02:38:51.146]  History is one giant conspiracy theory.
[02:38:51.206 --> 02:38:58.608]  Oh yeah, by the way, there's no conspiracy theories except what we say are the conspiracy theories of Emanuel Goldstein, who doesn't exist and is just completely made up.
[02:38:59.148 --> 02:39:06.871]  So there's a controlled chaos, a managed crises, there's a dialectics, there's an austerity that's enforced upon the population, right?
[02:39:07.091 --> 02:39:12.952]  Winston doesn't have anything but basically cheap Viceroy cigarettes and Victory Gin, right?
[02:39:13.813 --> 02:39:14.253]  He's got
[02:39:16.748 --> 02:39:17.848]  Rolling blackouts.
[02:39:17.888 --> 02:39:22.191]  There's all these kinds of things that we think of in terms of the shortages that are that are coming now.
[02:39:22.271 --> 02:39:23.592]  The Klaus said we would have now.
[02:39:23.612 --> 02:39:25.833]  This kind of stuff is coming here, right?
[02:39:26.793 --> 02:39:30.055]  He's happy to get chocolate like once a month or something ridiculous like this, right?
[02:39:31.036 --> 02:39:37.479]  He's constantly in a state of threat, fear, and anxiety, not just from the fake news, right?
[02:39:37.499 --> 02:39:40.601]  Because they're constantly told about how they're going to be attacked at any moment.
[02:39:40.621 --> 02:39:41.882]  There's going to be war at any moment.
[02:39:41.902 --> 02:39:44.183]  So they're always in a state of agitation.
[02:39:44.713 --> 02:39:52.679]  And this throws everybody for a loop, as well as at the same time constantly being surveilled, and thus the enforced self-policing, right?
[02:39:52.699 --> 02:40:03.228]  So there's a psychological component to, if you know that you're always being watched, you will then train yourself over time to adapt to self-policing.
[02:40:04.304 --> 02:40:05.144]  It's called entrainment.
[02:40:05.524 --> 02:40:21.408]  And this occurs via the studies that were done at the time of Jeremy Bentham and the social theorists who concocted the Panopticon, which was a prison with a guard tower in the middle who could see into all the cells of the prisoners around him.
[02:40:21.989 --> 02:40:31.091]  So this eliminated the need for a huge amount of guards, because if there's just a couple guys up there basically just staring and watching at all times,
[02:40:31.841 --> 02:40:42.464]  Then what they learned was that the prison complex would self-police over time if they just knew, if they just had the psychological thought that they were being watched at all times.
[02:40:43.365 --> 02:40:49.787]  Over time, they would be trained to police their own thought and to police their own speech and actions.
[02:40:50.447 --> 02:40:52.248]  And that's exactly what's present in 1984, right?
[02:40:53.729 --> 02:41:01.977]  In fact, Winston doesn't even necessarily know if at all times there's a person on the other side of the telescreen watching him, but just the thought that there might be is enough, right?
[02:41:03.579 --> 02:41:14.009]  And so as Winston starts to kind of do things against Big Brother and he gets a little bit of rebellious streak, we know he starts going after this woman that he falls in love with, which is all forbidden, right, in this system.
[02:41:14.629 --> 02:41:17.232]  One thing that was missed was the total inversion of
[02:41:17.941 --> 02:41:19.783]  Human biology and anatomy, right?
[02:41:19.883 --> 02:41:36.123]  So, I don't think that even Orwell could have believed that we'd be in a situation where, you know, black is white, white is black, the sky is green, to the extent that they can literally reverse biology and people believe it and enforce it, right?
[02:41:37.822 --> 02:41:43.526]  So there's this, you know, sequence as you see there, the notes being passed of Winston thinking, I'm getting in on the revolution.
[02:41:43.566 --> 02:41:45.328]  I'm going to, you know, we're going to, we're going to fight this.
[02:41:45.368 --> 02:41:48.010]  We're going to, we're going to see through Big Brother's lies.
[02:41:48.050 --> 02:41:49.090]  Let's get the word out.
[02:41:49.150 --> 02:41:49.351]  Right.
[02:41:50.471 --> 02:41:55.035]  But what Winston hasn't realized is mob psychology, right?
[02:41:55.195 --> 02:42:01.920]  He hasn't realized, he hasn't figured out how the collective has been so demoralized and so debased, right?
[02:42:02.380 --> 02:42:06.103]  That they are now basically a giant blob army for Big Brother.
[02:42:07.978 --> 02:42:11.800]  And from the technocrat perspective, we are seeing this right now, right?
[02:42:12.060 --> 02:42:19.844]  The half of this country is now a blob army for this, for Big Brother, for O'Brien, right?
[02:42:19.864 --> 02:42:20.704]  For the technocrats.
[02:42:21.765 --> 02:42:23.926]  Because they will believe anything that they're told.
[02:42:24.266 --> 02:42:27.688]  Now, the other half of the population is awake in varying degrees, right?
[02:42:28.028 --> 02:42:28.888]  It's about half and half.
[02:42:29.428 --> 02:42:36.572]  And I think that Alex is right that ultimately, really, all this only makes sense if we are understanding this as a foreign
[02:42:37.577 --> 02:42:39.158]  Take down operation, right?
[02:42:39.398 --> 02:42:52.406]  That they want to destroy, demoralize, and take down this country, as well as others, because it's one of the, not the only one, but one of the main stumbling blocks, roadblocks, to the full technocratic order.
[02:42:53.987 --> 02:42:58.089]  And it's not because they want to empower China or some other country, right?
[02:42:58.129 --> 02:43:01.732]  The long-term goal is the total obliteration of humanity.
[02:43:02.332 --> 02:43:03.913]  That's the key here to understand.
[02:43:04.597 --> 02:43:06.860]  He said, well, how does that relate to 1984?
[02:43:07.401 --> 02:43:10.886]  How does Winston, how does O'Brien end the story?
[02:43:11.066 --> 02:43:12.988]  What does he start telling O'Brien at the end?
[02:43:13.810 --> 02:43:18.536]  He says, don't you understand that it's anti-logic on purpose?
[02:43:19.557 --> 02:43:20.479]  It's confusing.
[02:43:20.519 --> 02:43:21.981]  It's absurd on purpose.
[02:43:22.489 --> 02:43:25.531]  You're sitting around trying to figure out why we're doing these things that are absurd.
[02:43:25.891 --> 02:43:28.853]  Why are we telling you to wear two, three, ten masks?
[02:43:29.093 --> 02:43:29.854]  It makes no sense.
[02:43:30.054 --> 02:43:31.055]  Yes, exactly.
[02:43:31.475 --> 02:43:33.456]  It's intended to not make sense, right?
[02:43:33.997 --> 02:43:36.358]  And I'm sure you've heard Alex say this over many years, right?
[02:43:36.398 --> 02:43:38.540]  They're doing it on purpose because it doesn't make sense.
[02:43:38.620 --> 02:43:40.021]  And people still can't get this.
[02:43:40.341 --> 02:43:42.542]  Why would they do something that don't make sense?
[02:43:42.942 --> 02:43:45.144]  Because that's a psychological warfare tactic.
[02:43:47.806 --> 02:43:48.586]  It's in this book.
[02:43:49.687 --> 02:43:51.228]  It's one of the key weapons
[02:43:51.798 --> 02:43:55.059]  In O'Brien's arsenal, is to get you to do absurd things, right?
[02:43:55.279 --> 02:44:02.482]  If you know about the Cold War, there's all these stories of people in camps who were, they would be told to do absurd activities.
[02:44:03.122 --> 02:44:10.264]  I want you to take this pile of rocks, and I want you to spend the entire day moving this pile of rocks over here, five feet.
[02:44:10.804 --> 02:44:14.566]  And then you do that, and then, oh, thank you, prison guard, I've done it.
[02:44:14.626 --> 02:44:17.206]  No, now I want you to take all those rocks and move them right back.
[02:44:17.466 --> 02:44:18.887]  And it's like, why?
[02:44:19.861 --> 02:44:21.722]  And the point is, because we say so.
[02:44:22.903 --> 02:44:26.525]  Because it's to train you, to demoralize you, to break your will.
[02:44:26.545 --> 02:44:36.252]  And I was reading about MKUltra, and I was reading about some of the studies that were done, and how parallel it is to what O'Brien's doing.
[02:44:37.253 --> 02:44:45.198]  And they say, in some of these MKUltra studies, and the things that Dr. Ewan Cameron did and others, is to break the person's will.
[02:44:46.440 --> 02:44:49.741]  Now, everybody knows this goes on in torture scenarios of governments, right?
[02:44:50.361 --> 02:44:55.903]  But why do we think it's strange that they wouldn't take all that information and study and research and apply it to the population?
[02:44:56.143 --> 02:44:56.703]  Of course they are.
[02:44:57.764 --> 02:44:58.904]  We are living in this right now.
[02:45:00.584 --> 02:45:02.805]  Welcome back to the Alex Jones Show.
[02:45:02.845 --> 02:45:06.046]  I'm your guest host, Jason Nelson.
[02:45:06.946 --> 02:45:11.888]  I guess I was getting into the psychological warfare, mind control, MKUltra.
[02:45:12.668 --> 02:45:14.589]  Breaking the will, breaking the spirit of man.
[02:45:14.609 --> 02:45:31.677]  It reminds me again of that quote from Bertrand Russell, who's in these circles of these technocrats, who said that the spirit and will of man would have to be broken down, which is interesting because if there's no spirit or will of man, which he also said as a materialist, then why does it have to be broken down?
[02:45:32.157 --> 02:45:39.461]  But he's just expressing that mindset, that metaphysic or that worldview that O'Brien expresses at the end of the book.
[02:45:40.501 --> 02:45:44.503]  In this last segment, I want to get to the crux of the book and talk about the inner party.
[02:45:45.143 --> 02:45:54.027]  If you remember, over time throughout the story, Winston knows and learns a little more, a little more, a little more about this inner party who seems to have all these amenities.
[02:45:54.507 --> 02:45:59.650]  They're radical socialists, equalitarians, yet they have all of these elite amenities.
[02:45:59.690 --> 02:46:00.930]  And isn't that the case, right?
[02:46:00.990 --> 02:46:06.293]  The socialist leaders are always millionaires, multimillionaires, billionaires, right, that have
[02:46:06.869 --> 02:46:13.015]  Offshore accounts, islands, palaces, but they're socialists and they believe in equality for everyone.
[02:46:13.635 --> 02:46:17.479]  And so he's starting to realize again, at every level, it's lies and inversion.
[02:46:17.699 --> 02:46:21.723]  Everything is the opposite of what it's supposed to be and what it's said to be.
[02:46:22.484 --> 02:46:28.810]  And then we get to this story about how there's an inner party and an outer party that he's being introduced to.
[02:46:30.322 --> 02:46:31.363]  Who is the inner party?
[02:46:31.403 --> 02:46:46.596]  Well, isn't it interesting that this matches up almost perfectly with what Dr. Carol Quigley wrote in The Anglo-American Establishment about how the Western world was structured in terms of its inner core of what is called the elect.
[02:46:47.416 --> 02:46:53.502]  And the elect being, of course, the top 10, 12 families, banking elites nowadays, right?
[02:46:53.522 --> 02:46:54.703]  The corporate and tech elites.
[02:46:55.804 --> 02:46:57.825]  And those top 10, 12 people
