[00:00:01.025 --> 00:00:01.886]  You can feel it.
[03:47:23.865 --> 03:47:25.185]  My mother made she rest in peace.
[03:47:25.245 --> 03:47:26.426]  I was the youngest of five.
[03:47:26.606 --> 03:47:27.626]  Again, born in 1946.
[03:47:28.767 --> 03:47:28.987]  Phew!
[03:47:29.887 --> 03:47:30.727]  Three years could be.
[03:47:31.388 --> 03:47:35.169]  One time she was chasing me around the house and she finally caught me.
[03:47:35.229 --> 03:47:36.590]  Italian women never hit their kids.
[03:47:36.990 --> 03:47:37.730]  Used to bite their hand.
[03:47:39.935 --> 03:47:43.956]  In Italian, she said to me, I can't repeat what that means.
[03:47:44.456 --> 03:47:45.397]  You're better off dead.
[03:47:45.697 --> 03:47:47.137]  You should have three worse than you.
[03:47:47.157 --> 03:47:48.938]  I couldn't imagine one like me.
[03:47:49.298 --> 03:47:53.779]  I ran away from kindergarten at four and a half years old and crossed the Boston Post road in the Bronx.
[03:47:53.799 --> 03:47:58.500]  She used to tell me they used to tie me into a crib with nylon stockings because I'm out the window.
[03:47:59.941 --> 03:48:02.782]  Again, now they have them arrested for tying me into the crib.
[03:48:03.542 --> 03:48:04.782]  I'm off dead.
[03:48:04.802 --> 03:48:06.683]  Let them climb out the window.
[03:48:07.583 --> 03:48:08.003]  So anyway,
[03:48:09.602 --> 03:48:18.466]  We're talking about federal income tax, talking about freedom and... What the hell was I talking about?
[03:48:18.486 --> 03:48:20.867]  Talking about federal income tax.
[03:48:21.348 --> 03:48:23.589]  Anyway, forgot.
[03:48:28.191 --> 03:48:28.931]  Lost our freedom.
[03:48:29.832 --> 03:48:30.252]  It's gone.
[03:48:31.132 --> 03:48:34.254]  And as I said, I'm a lucky guy because where I was born and when I was born.
[03:48:35.094 --> 03:48:38.876]  But going back to the rich getting richer...
[03:48:39.787 --> 03:48:45.070]  From the time I grew up, there were drug stores, stationery stores, hardware stores.
[03:48:46.611 --> 03:48:48.613]  Now, the bigs own everything.
[03:48:49.553 --> 03:48:51.975]  So, no federal taxes.
[03:48:55.177 --> 03:48:55.897]  States' rights.
[03:48:58.459 --> 03:49:00.800]  And going back to the economy, where is it going to go?
[03:49:00.820 --> 03:49:03.662]  They're going to lower interest rates, as I said.
[03:49:03.682 --> 03:49:06.324]  When interest rates go down, the dollar goes down.
[03:49:07.481 --> 03:49:09.883]  And, again, that's the cover of your magazine this week.
[03:49:10.543 --> 03:49:11.384]  Dollar sinking.
[03:49:13.665 --> 03:49:14.966]  No, dollar diving.
[03:49:15.466 --> 03:49:16.247]  America sinking.
[03:49:18.108 --> 03:49:19.789]  This is the beginning of the death of the dollar.
[03:49:20.790 --> 03:49:23.331]  The world has had enough of the United States and Germany.
[03:49:24.792 --> 03:49:26.493]  Geopolitically and economically.
[03:49:26.513 --> 03:49:28.695]  I want to go on to some other articles.
[03:49:30.656 --> 03:49:33.558]  Yeah, anyway, go to drpaulcraigroberts.com.
[03:49:34.218 --> 03:49:36.019]  Ron Paul swears.
[03:49:36.140 --> 03:49:36.680]  Oh, here we go.
[03:49:38.988 --> 03:49:44.390]  Cargo theft spiked 57% in 2003 versus 2002, new data shows.
[03:49:44.830 --> 03:49:48.331]  This is according to CargoNet.
[03:49:50.692 --> 03:49:54.073]  Look at all the stores that are closing up because of violence and crime.
[03:49:55.234 --> 03:49:57.114]  Look at how the theft rates are going up.
[03:49:57.835 --> 03:50:02.496]  This is all a result of the COVID war, and no one is talking about that.
[03:50:04.097 --> 03:50:04.337]  No one.
[03:50:06.986 --> 03:50:08.987]  Everything spiked since the COVID war.
[03:50:11.749 --> 03:50:12.590]  Mental illness.
[03:50:13.871 --> 03:50:15.312]  China going down the toilet.
[03:50:15.332 --> 03:50:18.894]  They've had three years of zero COVID policy bringing down the whole global economy.
[03:50:19.674 --> 03:50:22.256]  Artificially propped up with record low interest rates.
[03:50:23.617 --> 03:50:25.858]  And trillions of dollars pumped into the economy.
[03:50:27.780 --> 03:50:28.740]  Trump and Biden.
[03:50:29.261 --> 03:50:30.101]  Trillions pumped in.
[03:50:32.583 --> 03:50:34.004]  So, this is serious.
[03:50:35.145 --> 03:50:35.545]  And now...
[03:50:36.874 --> 03:50:41.835]  When you look at where the economy is going and you have to put all things connected.
[03:50:41.855 --> 03:50:46.056]  You ready?
[03:50:52.317 --> 03:50:58.158]  Ukraine just bombed a drone attack at a Russian terminal.
[03:51:00.018 --> 03:51:03.179]  That drove oil prices up 2%.
[03:51:05.382 --> 03:51:08.923]  We have warned from the very beginning Ukraine's going to lose the war.
[03:51:11.664 --> 03:51:13.424]  And everybody knows it now.
[03:51:14.404 --> 03:51:17.405]  Although everybody denied it in the mainstream media when we said it.
[03:51:17.565 --> 03:51:18.485]  And others said it too.
[03:51:18.845 --> 03:51:23.807]  Douglas McGregor, Scott Ritter, Phil Giraldi, one after another.
[03:51:24.167 --> 03:51:27.108]  We knew that no way they're going to win.
[03:51:27.168 --> 03:51:32.909]  We've warned they're going to do a false flag event or a major attack on a nuclear power plant or something.
[03:51:33.854 --> 03:51:40.219]  That's going to make the people hate Russia again and support Ukraine as their popularity keeps declining.
[03:51:40.239 --> 03:51:42.240]  You saw they were a bust at Davos.
[03:51:43.000 --> 03:51:44.762]  They're not getting the money and weapons they need.
[03:51:45.902 --> 03:51:47.824]  So now, oil prices are up 2%.
[03:51:48.684 --> 03:51:54.529]  Now let's go to what's going on in Israel with the Israel war.
[03:51:55.749 --> 03:52:03.515]  Over the weekend, Netanyahu said, by the way, Gaza death toll surpasses
[03:52:04.347 --> 03:52:14.209]  25,000.
[03:52:04.507 --> 03:52:14.209]  Over the weekend, Netanyahu said that, are we targeting Iran?
[03:52:14.469 --> 03:52:15.729]  Yes, we've been targeting them.
[03:52:16.429 --> 03:52:16.850]  Wait a minute.
[03:52:20.090 --> 03:52:21.170]  You've been targeting Iran.
[03:52:22.291 --> 03:52:22.431]  Hmm.
[03:52:24.511 --> 03:52:26.371]  What if Iran was targeting Israel?
[03:52:26.491 --> 03:52:26.692]  Why?
[03:52:26.732 --> 03:52:27.392]  How dare they?
[03:52:28.532 --> 03:52:31.973]  He goes on to say that we want to stop Iran from getting nuclear weapons.
[03:52:32.573 --> 03:52:33.993]  He's been only saying this for how long?
[03:52:36.155 --> 03:52:38.856]  We had a picture in the Trends Journal going back in 2012.
[03:52:38.896 --> 03:52:46.759]  The artist had a great picture of him at the United Nations with a ticking time bomb.
[03:52:49.400 --> 03:52:49.960]  Now wait a minute.
[03:52:51.181 --> 03:52:54.782]  How many nuclear warheads does Israel have?
[03:52:56.743 --> 03:52:57.923]  Numbers go up as high as 400.
[03:52:57.963 --> 03:53:04.606]  So it's okay for Israel to have nuclear weapons.
[03:53:05.475 --> 03:53:06.156]  But not Iran.
[03:53:06.276 --> 03:53:06.836]  Yeah, that's right.
[03:53:08.017 --> 03:53:08.637]  Oh, okay.
[03:53:10.299 --> 03:53:11.079]  I hear your BS.
[03:53:12.320 --> 03:53:14.122]  So he says he's targeting Iran.
[03:53:16.043 --> 03:53:18.365]  And Iran's now saying, we're not going to take this anymore.
[03:53:18.425 --> 03:53:25.671]  Just killed a couple of more Iranians, military people in Syria.
[03:53:27.752 --> 03:53:29.514]  And he admitted that they're targeting Iran.
[03:53:30.915 --> 03:53:33.777]  By the way, Netanyahu's popularity rating is in the toilet.
[03:53:36.263 --> 03:53:39.065]  Oh, by the way, his son is still hiding out in Miami.
[03:53:39.085 --> 03:53:40.066]  He's not fighting the war.
[03:53:41.107 --> 03:53:42.007]  He'll leave.
[03:53:48.372 --> 03:53:55.498]  If Iran and Israel ramp up military between the two of them, the United States get involved.
[03:53:57.279 --> 03:53:58.080]  Oil prices go up 2%.
[03:53:58.140 --> 03:54:00.522]  You're going to read up oil prices went up 80%.
[03:54:00.662 --> 03:54:00.822]  Yeah.
[03:54:05.370 --> 03:54:09.471]  And that's going to crash the global economy and the equity markets.
[03:54:10.991 --> 03:54:13.712]  And probably the end of the world.
[03:54:15.612 --> 03:54:18.513]  Because there's a thing you could look up called the Samson Option.
[03:54:22.894 --> 03:54:23.374]  From Israel.
[03:54:24.435 --> 03:54:25.595]  If they lose, they go nuke.
[03:54:29.036 --> 03:54:29.856]  So we need peace.
[03:54:31.405 --> 03:54:32.846]  And where are all the religions?
[03:54:32.906 --> 03:54:35.507]  How come they're not out there protesting for peace?
[03:54:36.868 --> 03:54:40.310]  Again, I launched Occupy Peace almost a decade ago.
[03:54:41.470 --> 03:54:40.310]  2014.
[03:54:41.651 --> 03:54:48.154]  So I'm doing everything I can.
[03:54:48.174 --> 03:54:50.035]  Because I see the future.
[03:54:50.075 --> 03:54:50.815]  That's my business.
[03:54:55.178 --> 03:54:56.218]  Friends, 2000.
[03:54:58.219 --> 03:54:59.280]  International bestseller.
[03:55:00.831 --> 03:55:03.892]  Trend Tracking, Father of the Megatrends, Time Magazine, Trends Journal.
[03:55:04.452 --> 03:55:08.313]  Again, you get it by going to jonestrends.com, jonestrends.com.
[03:55:08.633 --> 03:55:09.594]  I've been at this a lot of years.
[03:55:09.654 --> 03:55:10.354]  I see the future.
[03:55:11.434 --> 03:55:12.094]  It's hell on earth.
[03:55:14.655 --> 03:55:15.075]  Hell on earth.
[03:55:16.896 --> 03:55:19.277]  You got that little clown boy, Anthony Blinken.
[03:55:19.317 --> 03:55:21.497]  My daddy was ambassador to Hungary.
[03:55:21.557 --> 03:55:24.738]  My uncle was ambassador to Belgium or to Dalton, Holland.
[03:55:26.639 --> 03:55:29.880]  He's at Davos saying, oh, how heartbreaking it is to see the Palestinians
[03:55:30.370 --> 03:55:30.910]  Being killed.
[03:55:32.371 --> 03:55:40.717]  As he bypasses Congress to send a couple hundred million dollars of weapons to keep slaughtering the people.
[03:55:41.597 --> 03:55:43.038]  What a two-faced little clown.
[03:55:44.219 --> 03:55:45.340]  I'm totally opposed to this.
[03:55:45.780 --> 03:55:46.641]  Totally opposed to it.
[03:55:47.982 --> 03:55:50.503]  Totally, totally, totally opposed to the slaughter going on.
[03:55:51.924 --> 03:55:53.866]  And totally opposed to the thing called settlements.
[03:55:54.886 --> 03:55:55.747]  Stealing the land.
[03:55:56.367 --> 03:55:58.909]  Violation of the Geneva Convention and Article 242.
[03:56:03.522 --> 03:56:04.422]  The United Nations.
[03:56:04.862 --> 03:56:11.965]  And again, in your Trends Journal, when Netanyahu got in, the mainstream media called it extreme right-wing government.
[03:56:13.085 --> 03:56:25.889]  And week after week, we wrote about the atrocities that extreme right-wing government was causing against the Palestinians in the, quote, occupied West Bank.
[03:56:28.310 --> 03:56:31.031]  Blowing up... Oh, by the way, it was reported...
[03:56:32.597 --> 03:56:37.639]  Over a thousand mosques have been blown up in Gaza.
[03:56:38.939 --> 03:56:40.900]  What if a thousand synagogues were blown up?
[03:56:42.320 --> 03:56:42.480]  Oh!
[03:56:43.860 --> 03:56:45.761]  And again, don't call me anti-Jewish.
[03:56:46.141 --> 03:56:46.901]  I'm anti-war.
[03:56:47.201 --> 03:56:49.182]  I'm not anti-American because I hate America's wars.
[03:56:49.202 --> 03:56:50.122]  I don't even go into it.
[03:56:51.343 --> 03:56:52.343]  And so save your crap.
[03:56:56.024 --> 03:56:57.705]  This is disgusting what's going on.
[03:56:59.165 --> 03:56:59.945]  We need peace.
[03:57:00.785 --> 03:57:02.066]  Because if we don't have peace,
[03:57:03.001 --> 03:57:03.682]  Forget about it.
[03:57:04.182 --> 03:57:05.763]  You got maniacs in charge.
[03:57:06.884 --> 03:57:09.185]  Unless you could think Biden got a brain.
[03:57:14.529 --> 03:57:15.950]  It's the Wizard of Oz, man.
[03:57:17.071 --> 03:57:17.992]  I lost my brain.
[03:57:18.012 --> 03:57:19.733]  Oh, no, I got it.
[03:57:19.813 --> 03:57:20.593]  Mitch McConnell.
[03:57:21.014 --> 03:57:21.854]  Oh, yeah, he's great.
[03:57:22.115 --> 03:57:23.576]  Oh, how about that little clown boy?
[03:57:23.796 --> 03:57:24.076]  Oh, no.
[03:57:24.356 --> 03:57:27.218]  Oh, then Kamala Harris will be president if anything happens to Biden.
[03:57:27.438 --> 03:57:28.479]  Oh, that'd be terrific.
[03:57:28.559 --> 03:57:30.340]  Oh, right there, man.
[03:57:30.881 --> 03:57:32.502]  Oh, then you got little Mikey Johnson.
[03:57:33.652 --> 03:57:34.232]  Number three.
[03:57:34.252 --> 03:57:42.037]  So listen, do everything you can to support InfoWars because InfoWars is doing everything they can to support you.
[03:57:42.537 --> 03:57:43.277]  Love being on.
[03:57:43.617 --> 03:57:44.538]  I'll see you next week.
[03:57:47.239 --> 03:57:48.040]  Winter is coming.
[03:57:48.720 --> 03:57:49.481]  Winter is coming.
[03:57:49.661 --> 03:57:50.761]  Winter is coming.
[03:57:51.142 --> 03:57:51.802]  Winter is coming.
[03:57:54.341 --> 03:57:55.842]  Winter is coming.
[03:57:56.143 --> 03:57:57.524]  Winter isn't coming.
[03:57:58.124 --> 03:57:59.405]  Winter is here.
[03:57:59.806 --> 03:58:07.332]  And while the sun isn't helping us produce as much vitamin D, do yourself a favor and try InfoWars Life Winter Sun+.
[03:58:07.592 --> 03:58:11.936]  Now back in stock and 40% off at InfoWarsStore.com.
[03:58:12.176 --> 03:58:23.360]  Winnersome Plus is a powerful vitamin D-based formula bringing you straight vitamin D3 free of toxic chemicals, allergens, preservatives, artificial colors, and GMOs.
[03:58:23.820 --> 03:58:34.484]  Our vitamin D3 formula supports the body's natural immune system, promotes calcium absorption for healthy bones and teeth, and helps sustain healthy tissue and systems of the body.
[03:58:34.964 --> 03:58:42.132]  A lot of people have asked me, why is InfoWars Store and InfoWars Life not at a probiotic for more than three years?
[03:58:53.064 --> 03:58:53.605]  We're good to go.
[03:59:08.046 --> 03:59:12.708]  We've got a probiotic just as good or better with a top lab that loves our show.
[03:59:13.028 --> 03:59:17.290]  We're able to private label it under InfoWarsMD as our probiotic formula.
[03:59:17.591 --> 03:59:23.173]  So you can get a super high-quality probiotic for amazing gut health and more at InfoWarsStore.com for 25% off right now.
[03:59:24.614 --> 03:59:26.977]  Now wherever you get your probiotics, it's something everybody should be doing.
[03:59:27.237 --> 03:59:28.659]  But I'm asking you to try our probiotic.
[03:59:28.679 --> 03:59:32.123]  I think you're going to have an amazing effect and it funds our entire operation.
[03:59:32.404 --> 03:59:36.549]  So get your InfoWars MD probiotic today at InfoWarsStore.com.
[03:59:36.589 --> 03:59:38.711]  It's a high quality formula and it keeps us on the air.
