[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[03:45:50.540 --> 03:45:51.520]  I've decided to let him do it.
[03:45:52.361 --> 03:45:52.901]  But I haven't.
[03:45:53.521 --> 03:45:54.342]  I said I'm gonna do it.
[03:45:54.402 --> 03:45:55.802]  I can't fucking leave.
[03:45:56.503 --> 03:45:57.483]  Like, this is it, folks.
[03:45:57.503 --> 03:45:58.744]  This is the end of 30 years.
[03:45:58.764 --> 03:46:00.644]  This is the end of the fucking world.
[03:46:00.684 --> 03:46:06.227]  We did these fucking pieces of shit that fucking hate our families just because we're good people!
[03:46:07.301 --> 03:46:08.342]  That's the other thing.
[03:46:08.383 --> 03:46:11.387]  It's like, who doesn't want to be free and have prosperity?
[03:46:11.407 --> 03:46:12.228]  Who doesn't want energy?
[03:46:12.308 --> 03:46:14.731]  I'm selling fucking ice cold to people in hell!
[03:46:15.272 --> 03:46:17.134]  Like, why won't you join us?
[03:46:17.515 --> 03:46:18.737]  Why are you scum?
[03:46:18.777 --> 03:46:20.098]  Because they're like, we're with the devil.
[03:46:20.139 --> 03:46:20.980]  That's why, motherfucker.
[03:46:22.062 --> 03:46:22.883]  So finish up, Owen.
[03:46:23.803 --> 03:46:24.463]  I can't shut down.
[03:46:24.483 --> 03:46:25.244]  We're going to 20 minutes.
[03:46:25.584 --> 03:46:26.805]  Because this is probably the last show ever.
[03:46:26.885 --> 03:46:27.405]  I can feel it.
[03:46:27.525 --> 03:46:27.966]  You see it.
[03:46:28.506 --> 03:46:29.947]  They fucking are ready to come in.
[03:46:29.967 --> 03:46:31.868]  This is fucked up, man.
[03:46:32.849 --> 03:46:33.169]  We're here.
[03:46:33.229 --> 03:46:33.669]  We're right now.
[03:46:34.790 --> 03:46:36.391]  Because I could easily shut down right now, Owen.
[03:46:36.591 --> 03:46:39.212]  But when you drive away tonight, you're going to wish you said something.
[03:46:39.272 --> 03:46:42.574]  What do you want to say about your life and your family and who you are?
[03:46:42.594 --> 03:46:43.995]  And then Harrison Smith.
[03:46:44.015 --> 03:46:45.096]  Let's just keep going.
[03:46:45.376 --> 03:46:46.797]  Because they don't want this.
[03:46:46.817 --> 03:46:48.298]  This is the final moments, man.
[03:46:52.881 --> 03:46:56.564]  Well, I guess every day you wake up, you ask yourself, is America worth fighting for?
[03:46:56.684 --> 03:46:58.045]  Is freedom worth fighting for?
[03:46:58.265 --> 03:47:01.327]  And if your answer is yes, then the rest follows.
[03:47:01.347 --> 03:47:02.728]  I mean, that's it.
[03:47:03.789 --> 03:47:04.129]  That's it.
[03:47:04.169 --> 03:47:05.390]  That's why we do what we do here.
[03:47:05.531 --> 03:47:06.351]  That's why the crew's here.
[03:47:06.371 --> 03:47:07.072]  That's why you're here.
[03:47:10.574 --> 03:47:13.537]  Yeah, I don't even know if I can... I mean, we're here at the end, brother.
[03:47:14.097 --> 03:47:15.218]  Like, literally, we're the Alamo.
[03:47:15.238 --> 03:47:16.098]  We're going down.
[03:47:27.626 --> 03:47:28.347]  It's emblematic.
[03:47:29.308 --> 03:47:31.190]  This is the full communist assault right now.
[03:47:31.350 --> 03:47:33.293]  Like people need to know this is going down right now.
[03:47:33.713 --> 03:47:34.294]  This is happening.
[03:47:35.195 --> 03:47:41.082]  And we're here in defense of freedom in the whole West, literally sitting there and people like, oh, these are people on a fucking error.
[03:47:41.362 --> 03:47:43.344]  No, man, this ain't no fucking lie, man.
[03:47:43.665 --> 03:47:44.906]  It's going down right now.
[03:47:45.066 --> 03:47:48.050]  Everything we're trying to do, our children, their whole future.
[03:47:55.612 --> 03:47:57.172]  Harrison, what's it been like?
[03:47:57.493 --> 03:47:58.653]  What is your vision of freedom?
[03:47:58.673 --> 03:48:00.033]  Because there's millions watching right now.
[03:48:00.393 --> 03:48:03.534]  And we're going to go out here, and if it's today or tomorrow, we're going down.
[03:48:03.554 --> 03:48:04.254]  They're shutting it down.
[03:48:04.554 --> 03:48:05.155]  What do we say?
[03:48:05.235 --> 03:48:06.275]  Or maybe a mural happens.
[03:48:06.335 --> 03:48:07.275]  I hope that happens, but no.
[03:48:07.615 --> 03:48:08.896]  They fucking got in the deep state.
[03:48:09.156 --> 03:48:11.256]  The CIA, the FBI is coming.
[03:48:11.596 --> 03:48:12.196]  What do we say?
[03:48:12.236 --> 03:48:16.097]  Before we're in prison, before we're fucking... Beat our fucking ass, man.
[03:48:16.318 --> 03:48:17.558]  They're going to fucking take me in there.
[03:48:18.058 --> 03:48:21.159]  I'd say they don't realize they gave us all opportunities to live up to
[03:48:45.390 --> 03:48:46.410]  God's standard.
[03:48:46.811 --> 03:48:53.893]  They have... that if you knew that this is how it was going to end 30 years ago, you would have done exactly the same thing.
[03:48:54.614 --> 03:49:02.337]  If I knew that I would... that this company would be shut down and I wouldn't get a job in media, I'd do exactly the same thing.
[03:49:02.637 --> 03:49:11.961]  Because every single day from the audience, I mean, it's all about the audience, every call I get, every comment, every... that's what makes it all worth it.
[03:49:12.221 --> 03:49:12.381]  And it...
[03:49:14.597 --> 03:49:18.000]  It's impossible to describe the feeling of every morning going home.
[03:49:18.020 --> 03:49:22.043]  That's right, people that feel alone, they tune in and they feel the love.
[03:49:22.903 --> 03:49:40.697]  And they understand that they're not alone, that they're not the crazy ones, that everything is as batshit insane as they think that it is, and that good people will stand up and can defeat this, and that even in defeat, even if we get shut down, even if we get crushed, we'll be back the next day and there's 10,000 people.
[03:49:40.717 --> 03:49:41.497]  Well, God's watching.
[03:49:41.517 --> 03:49:42.078]  God's watching.
[03:49:43.069 --> 03:49:44.749]  I mean, that's the thing.
[03:49:44.829 --> 03:49:56.572]  When you understand that what you're doing is good, when you understand that what you're doing is in line with God's goals for you, you just do it, and it just feels like flying.
[03:49:56.652 --> 03:50:04.833]  I mean, every day when I drive home after my show, I literally am like laughing out loud, just like, I just got to go head-to-head with the globalists.
[03:50:04.853 --> 03:50:08.174]  I got to say whatever I want, and they can't do a fucking thing about it.
[03:50:08.914 --> 03:50:09.214]  And that's
[03:50:24.048 --> 03:50:27.571]  In a warped and perverted and fallen way, this is victory.
[03:50:28.031 --> 03:50:38.299]  This is vindication for everything that's been said, and this is an opportunity to fight just like the guys at the Alamo had an opportunity to fight and write their names in history.
[03:50:38.659 --> 03:50:39.059]  That's right.
[03:50:40.040 --> 03:50:40.580]  Yeah, that's it.
[03:50:40.941 --> 03:50:42.322]  It's just so epic.
[03:50:42.722 --> 03:50:44.843]  We may be back tomorrow or the next day, but probably not.
[03:50:45.003 --> 03:50:47.285]  That's why I don't want to leave.
[03:50:47.665 --> 03:50:48.566]  It's like I'm here.
[03:50:49.606 --> 03:50:52.208]  The giving is so precious.
[03:50:52.288 --> 03:50:53.049]  It's so good.
[03:50:53.729 --> 03:50:56.091]  My tears are not of failure, but of victory.
[03:50:56.711 --> 03:50:57.952]  We have influenced everybody.
[03:50:57.992 --> 03:50:59.333]  We have changed the world.
[03:50:59.733 --> 03:51:00.434]  God did this.
[03:51:01.903 --> 03:51:04.884]  They couldn't beat us in the field of ideas.
[03:51:04.944 --> 03:51:08.445]  They couldn't beat us in the soul, in the spirit.
[03:51:09.165 --> 03:51:11.166]  So they had to destroy us.
[03:51:11.366 --> 03:51:18.728]  They had to destroy us illegitimately and they had to take you off air and shut you up illegitimately because they couldn't defeat you.
[03:51:18.768 --> 03:51:20.068]  They couldn't defeat InfoWars.
[03:51:20.148 --> 03:51:25.670]  They couldn't beat InfoWars head-to-head in a battle of media and viewership and support.
[03:51:25.810 --> 03:51:27.651]  So this is their only option.
[03:51:27.971 --> 03:51:31.612]  This is their only option to just illegitimately decommission.
[03:51:35.436 --> 03:51:36.437]  So we unplug right now?
[03:51:36.617 --> 03:51:37.058]  This is it?
[03:51:37.298 --> 03:51:37.579]  We're done?
[03:51:37.599 --> 03:51:39.080]  All right, I guess that's it.
[03:51:39.961 --> 03:51:41.142]  Is there anybody else we should go to?
[03:51:42.304 --> 03:51:43.485]  Chase, I heard you commenting earlier.
[03:51:43.505 --> 03:51:44.746]  Do you want to do closing comments?
[03:51:45.843 --> 03:51:49.184]  Man, I don't even know where to begin, how to follow that up.
[03:51:49.744 --> 03:51:53.685]  I feel almost a little bit hypocritical even saying anything since I've been here only a year.
[03:51:53.825 --> 03:51:54.885]  You've been doing this 30 years.
[03:51:54.925 --> 03:51:56.746]  There are guys here that have been here over 20 years.
[03:51:56.766 --> 03:51:58.586]  Harrison's been on here many years.
[03:51:58.606 --> 03:52:00.266]  Owen's been with you for a long time.
[03:52:00.286 --> 03:52:06.928]  Going back and looking at old clips of Owen when he first started, it's almost comical to see the difference and the growth and the maturity.
[03:52:08.228 --> 03:52:19.211]  You know, what I do want to really emphasize here, and I know that this feels like an end to you, Alex, and to the listeners, what I really want to emphasize is that this is the end of Act 1 of a two-act play.
[03:52:19.631 --> 03:52:23.972]  This is the beginning of something new, the second half of the movie.
[03:52:23.992 --> 03:52:25.333]  This is the end of Dune Part 1.
[03:52:25.613 --> 03:52:31.874]  We're going into Dune Part 2, and we are going to totally fucking murder these people politically.
[03:52:33.035 --> 03:52:34.575]  And it's going to be fucking awesome.
[03:52:37.001 --> 03:52:39.683]  They can try to shut down one race car, Dale Earnhardt Jr.
[03:52:39.723 --> 03:52:40.363]  just gets in the next.
[03:52:44.482 --> 03:52:55.665]  I had an experience when I first moved to Austin, driving down the road on Guadalupe and Lamar, and I saw some guy standing out there with a sign that just said, Hear the Truth 97.1 or whatever it was.
[03:52:56.405 --> 03:53:02.327]  I thought, alright, if some guy's going to stand out there for a sign, he clearly was on his lunch break from work, I better see what this is all about.
[03:53:02.587 --> 03:53:08.889]  And I turned to it, and it was Alex Jones, and you were given some monologue about just what freedom is and
[03:53:09.989 --> 03:53:18.571]  And it was just an experience that I'll never forget, going from just driving down the road, minding my own business, you know... And we got a pirate radio station up, and some guy went out and put a sandwich board up.
[03:53:18.771 --> 03:53:21.492]  And he was just standing there holding it, and it just said, hear the truth.
[03:53:21.692 --> 03:53:31.415]  And it was just, it was about George Washington, and crossing the Delaware, and fighting for freedom, and within 10 seconds, I'm yelling at my steering wheel, just like, yes!
[03:53:31.795 --> 03:53:33.217]  This is what America's about.
[03:53:33.457 --> 03:53:34.758]  They will never defeat us.
[03:53:35.119 --> 03:53:40.925]  And it's that spirit, more so than the information, it's that spirit of resistance and the spirit of freedom.
[03:53:41.886 --> 03:53:42.566]  And that's the thing.
[03:53:42.646 --> 03:53:45.549]  The people that throw the pebbles in the water, it's had such an effect.
[03:53:45.569 --> 03:53:46.510]  We could shut down now.
[03:53:46.650 --> 03:53:48.312]  It's devastating.
[03:53:48.352 --> 03:53:49.153]  But we can't stop.
[03:53:49.493 --> 03:53:50.394]  We can't stop, folks.
[03:53:51.274 --> 03:53:53.136]  Well, they can shut us down, but they won't defeat us.
[03:53:53.776 --> 03:53:54.097]  That's it.
[03:53:54.217 --> 03:53:56.199]  They can shut us down, but they won't defeat us.
[03:53:56.299 --> 03:53:59.642]  They can try to take our voices, but they will not take our souls.
[03:53:59.802 --> 03:54:01.263]  They will not take our spirits.
[03:54:02.084 --> 03:54:04.386]  And I don't even believe they will take our voices.
[03:54:04.406 --> 03:54:10.832]  I don't even believe... Well, they're dumb enough to come in my office and get me to try to engage in crimes, and I record them.
[03:54:11.172 --> 03:54:12.553]  I mean, this is an epic studio.
[03:54:12.573 --> 03:54:13.233]  Like, they don't even know.
[03:54:13.253 --> 03:54:14.995]  They're upset right now at our release today.
[03:54:15.335 --> 03:54:16.536]  Get ready for the next release.
[03:54:16.816 --> 03:54:17.896]  This is an epic studio.
[03:54:17.936 --> 03:54:18.937]  This is an epic building.
[03:54:18.977 --> 03:54:19.798]  This is an epic crew.
[03:54:19.838 --> 03:54:20.818]  Everything here is epic.
[03:54:20.858 --> 03:54:21.379]  But you know what?
[03:54:21.479 --> 03:54:21.779]  Okay.
[03:54:22.439 --> 03:54:25.682]  If you want to make a start from scratch, then a man you will be.
[03:54:26.182 --> 03:54:26.982]  Then a man you will be.
[03:54:27.042 --> 03:54:28.243]  This was built from scratch.
[03:54:28.964 --> 03:54:32.626]  It can be built again if that's the route we have to take.
[03:54:35.114 --> 03:54:38.277]  But this is not the end of free speech.
[03:54:39.238 --> 03:54:41.381]  This is not the end of Americans standing up.
[03:54:41.421 --> 03:54:44.664]  This is not the crushing of the American spirit they want it to be.
[03:54:45.245 --> 03:54:56.116]  This might be a symbol, but just like with the symbol of 34 counts guilty for Trump, and then the people realizing how corrupt things are,
[03:54:57.003 --> 03:55:05.950]  If they do come here, the symbol of InfoWars doors being padlocked and this studio being dark will be the wake-up call that I think many Americans have.
[03:55:05.990 --> 03:55:08.572]  Well, and then they're too dumb to, like, think we won't fight back.
[03:55:09.293 --> 03:55:10.213]  I'm not gonna shut up.
[03:55:12.936 --> 03:55:15.658]  I mean, I'm not going to shut up.
[03:55:15.878 --> 03:55:20.982]  But it is like dying, because I can barely, the last two days, keep this open.
[03:55:21.442 --> 03:55:22.443]  You saw what happened behind the scenes.
[03:55:24.321 --> 03:55:33.227]  I'm literally here like, I gotta go sleep here because I just I can't, even though I know we'll come back bigger, I can't play along the lie that oh, we'll just be bigger when it comes back.
[03:55:33.707 --> 03:55:35.248]  This place means so much to me.
[03:55:35.268 --> 03:55:39.051]  And I just hope viewers take everything we said today and clip it and put it out.
[03:55:39.071 --> 03:55:41.672]  I hope people make a big deal about it because this is epic.
[03:55:41.712 --> 03:55:43.513]  This is the assault on your speech.
[03:55:44.514 --> 03:55:45.095]  What you believe.
[03:55:45.115 --> 03:55:52.019]  In fact, we already said this, but you guys decide we have this right now we take a few more people.
[03:55:53.715 --> 03:55:54.416]  Would you shut it down?
[03:55:54.877 --> 03:55:56.059]  It's probably the last thing here.
[03:55:57.161 --> 03:55:58.143]  Because we're here right now.
[03:55:59.305 --> 03:56:00.727]  Do we keep going or do we shut down?
[03:56:02.951 --> 03:56:03.813]  Your rodeo, Jones.
[03:56:05.600 --> 03:56:06.801]  I know it's my rodeo.
[03:56:06.921 --> 03:56:09.362]  I'm just saying, I could go for 50 fucking hours.
[03:56:09.583 --> 03:56:10.583]  I don't want to give up.
[03:56:11.144 --> 03:56:12.184]  I don't want to stop.
[03:56:12.925 --> 03:56:19.449]  And so I know that it's, we're all, it's like we're shooting, like you said, the Elmo, we're the fucking parapets, the Elmo.
[03:56:20.410 --> 03:56:21.650]  I just, I don't know what to say.
[03:56:21.710 --> 03:56:23.251]  It's like, it's so insane.
