[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[03:46:09.080 --> 03:46:19.667]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the Info War and meet like-minded people everywhere when you wear it.
[03:46:19.787 --> 03:46:25.412]  When you wear these shirts, it creates an amazing amount of energy, and it's quite the adventure.
[03:46:25.712 --> 03:46:29.976]  So get your 1776 shirt right now at InfoWarsStore.com.
[03:46:30.116 --> 03:46:35.781]  And get your Team Humanity InfoWars Limited Edition shirt right now at InfoWarsStore.com.
[03:46:36.161 --> 03:46:41.402]  Ladies and gentlemen, this is antithetical, the complete opposite of what the globalists are pushing.
[03:46:41.642 --> 03:46:49.443]  So get both the Team Humanity and the 1776 Gadsden Snake Shirts, limited edition, at infowarestore.com right now.
[03:46:49.843 --> 03:46:55.664]  Spread the word, meet like-minded people, and fund the 1776 revolution worldwide.
[03:46:58.625 --> 03:47:04.506]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:47:14.059 --> 03:47:15.360]  Welcome back to the Alex Jones Show.
[03:47:15.380 --> 03:47:17.962]  I'm your guest host, Jay Dyer of Jay's House.
[03:47:18.002 --> 03:47:19.443]  We're talking about spirituality.
[03:47:19.463 --> 03:47:21.104]  We're talking about dimensions.
[03:47:21.164 --> 03:47:29.549]  We're talking about portals and the realm that exists all around us, that next dimension up, so to speak.
[03:47:30.169 --> 03:47:31.890]  I think there's dimensions below us, too.
[03:47:32.271 --> 03:47:33.131]  Darker dimensions.
[03:47:35.330 --> 03:47:39.695]  The choices that we make in life, we can kind of tap into those various dimensions.
[03:47:39.715 --> 03:47:44.481]  We were just talking about the limitations, for example, of the materialist atheist worldview.
[03:47:45.442 --> 03:47:50.067]  How they really box themselves into positions that can't make sense of morals.
[03:47:50.087 --> 03:47:52.730]  There's not really a basis to say something's right and wrong.
[03:47:52.910 --> 03:47:55.113]  I understand that most atheists would say they believe.
[03:47:55.726 --> 03:48:04.330]  This or that is right or wrong, but there's not really a basis that's consistent to do that if all that exists is just pure matter in motion.
[03:48:04.370 --> 03:48:05.871]  And so these are kind of indicators.
[03:48:06.371 --> 03:48:14.255]  These are flaws in the philosophy of atheism that we can identify that help us to figure out, well, this doesn't really seem to be like a workable worldview.
[03:48:14.295 --> 03:48:19.357]  This doesn't make a lot of sense, and it doesn't seem to give it much of an account of reality.
[03:48:19.898 --> 03:48:21.859]  I mean, life seems to have meaning.
[03:48:21.959 --> 03:48:23.300]  Life seems to have purpose.
[03:48:23.780 --> 03:48:29.082]  Trees, plants, things kind of grow from seeds into a full-blown thing.
[03:48:29.102 --> 03:48:32.104]  There seems to be kind of a purpose there, not random chaos.
[03:48:32.844 --> 03:48:34.105]  And so there is design.
[03:48:34.145 --> 03:48:36.086]  There is telos, or purpose, in the world.
[03:48:36.106 --> 03:48:37.386]  There is intentionality.
[03:48:37.926 --> 03:48:47.511]  And if there's an intentionality at a small level, if we have meaning at a small human level, it stands to reason that there's probably meaning at a grand level, at a universal level.
[03:48:48.200 --> 03:48:49.822]  And I don't think it's a leap to think that.
[03:48:49.862 --> 03:48:57.028]  In fact, it's a necessary thing to have meaning and purpose for knowledge at all.
[03:48:57.549 --> 03:49:10.260]  And so this is what's sometimes called a transcendental argument for God, this idea that the transcendent is necessary to undergird the world that we know, to have morals in this world, to have knowledge in this world.
[03:49:10.561 --> 03:49:14.104]  It requires kind of basics that are more than just matter.
[03:49:15.024 --> 03:49:20.608]  Things like numbers, things like laws of logic, things like language, those are not physical things.
[03:49:21.249 --> 03:49:24.291]  You can't look under a microscope and find a law of logic.
[03:49:24.852 --> 03:49:34.659]  Yet every sentence that a human being makes, every word they speak, requires and necessitates some kind of logos.
[03:49:35.900 --> 03:49:38.842]  So some kind of meaning, some kind of principle.
[03:49:40.091 --> 03:49:45.633]  That's more than just molecules that gives this or that collection of molecules meaning.
[03:49:46.414 --> 03:49:47.334]  Gives it structure.
[03:49:47.494 --> 03:49:48.094]  Gives it order.
[03:49:48.935 --> 03:49:53.096]  Now, not everything in reality or life is necessarily structured and ordered.
[03:49:53.456 --> 03:49:56.058]  Some things are kind of chaotic, at least from the human vantage point.
[03:49:56.578 --> 03:50:03.000]  But that doesn't mean in the divine mind or in the divine vantage point, ultimately everything isn't ordered and structured.
[03:50:03.180 --> 03:50:06.622]  So even evil things can have a long-term
[03:50:07.864 --> 03:50:12.007]  Big scale purpose, even if we in our finite human minds don't understand them.
[03:50:12.147 --> 03:50:14.809]  This is sort of the point of the Book of Job, right?
[03:50:15.189 --> 03:50:18.011]  Job is struggling with the existence of evil, the problem of evil.
[03:50:18.331 --> 03:50:28.098]  Many atheists, many unbelievers, they have a problem with this and they should read the Book of Job because the Book of Job is really addressing that struggle which we all have at some point and in some degree.
[03:50:28.418 --> 03:50:31.701]  Even if you believe, we oftentimes wonder, why is this happening?
[03:50:33.246 --> 03:50:47.332]  One of the answers that's given towards the end of the book is that man can't ultimately understand all of the infinite variations of creation, all of the different timelines and potentialities that get chosen.
[03:50:47.352 --> 03:50:54.255]  And so how could man understand the big picture, being that he can't even understand minute things?
[03:50:54.715 --> 03:51:00.378]  So in other words, it's almost like an impossible question, and there's no worldview that can answer that question.
[03:51:00.962 --> 03:51:02.603]  So, it's not even really legitimate.
[03:51:02.643 --> 03:51:07.525]  I mean, I think you can ask the question, but the question is almost kind of an unanswerable question, so to speak.
[03:51:07.926 --> 03:51:13.188]  Like, how do we know that this or that event won't bring about some greater good down the road?
[03:51:14.629 --> 03:51:21.993]  So, the problem of evil is really a pseudo-problem, because to say that there's evil requires some notion of the good.
[03:51:23.201 --> 03:51:37.024]  You couldn't say that the Christian God is evil or that Christianity is bad if you didn't have some criteria, some structure by which you're saying or judging things, a value judgment we call it.
[03:51:38.384 --> 03:51:42.085]  If you didn't have a standard to make value judgments, you couldn't say anything was good or bad.
[03:51:42.845 --> 03:51:44.425]  So the question then gets flipped.
[03:51:44.765 --> 03:51:47.066]  Well, what's the basis for good and bad?
[03:51:47.846 --> 03:51:52.827]  What's the basis for saying the true versus the false, the good versus the evil?
[03:51:53.806 --> 03:51:56.707]  You see, those are automatically philosophical concepts.
[03:51:57.407 --> 03:52:02.409]  So we're going to have to have a worldview that makes sense of true and false, good and evil.
[03:52:04.210 --> 03:52:09.092]  And I would argue that ultimately only the Christian perspective really makes sense of those things.
[03:52:09.628 --> 03:52:13.612]  That's not to say that Muslims or whoever, that they don't believe in good and evil.
[03:52:14.013 --> 03:52:23.783]  But I'm saying that in the final analysis, the best perspective, the most philosophically coherent perspective, is I think the Christian perspective.
[03:52:24.223 --> 03:52:29.088]  Because we have not just an account for good and evil, but also things like logic.
[03:52:29.469 --> 03:52:30.630]  The true versus the false.
[03:52:31.171 --> 03:52:32.232]  The good versus the bad.
[03:52:33.317 --> 03:52:40.021]  We have an ability and a basis to make judgment calls to say why it's wrong to murder, why it's wrong to do these things.
[03:52:40.401 --> 03:52:41.721]  Take, for example, the Ten Commandments.
[03:52:41.942 --> 03:52:46.764]  The Ten Commandments are a pretty good structure to have for a functioning society.
[03:52:47.124 --> 03:52:50.406]  Even if you didn't believe in God, it seems like that's a pretty good
[03:52:51.030 --> 03:53:09.278]  Basic moral code to have for society and and that kind of suggests that maybe this moral code does come from Some kind of living God or some kind of being that we can have a relationship with But I think there's a great insight here in regard to this principle of logos, right?
[03:53:09.318 --> 03:53:17.462]  Which if you go back to the ancient philosophers or even in the book of Proverbs, there's this idea of wisdom wisdom personified
[03:53:18.129 --> 03:53:20.570]  Particularly as you get up into like Proverbs 7 and 8, right?
[03:53:20.610 --> 03:53:22.310]  Wisdom is personified as a woman.
[03:53:22.690 --> 03:53:26.051]  Wisdom is personified as having structured the universe.
[03:53:26.831 --> 03:53:29.352]  That's why we find patterns in nature.
[03:53:30.452 --> 03:53:40.454]  There's a book that Orthodox and Catholics accept that has a statement about how everything in the created order is made via number.
[03:53:41.648 --> 03:53:54.712]  And that Deuterocanonical text is describing that everything really has this principle of numeric pattern and geometry in it, which bears the stamp of an intentional creator.
[03:53:55.212 --> 03:53:57.953]  And so we see this, for example, in the Fibonacci sequence in nature.
[03:53:57.993 --> 03:54:02.454]  We see it in things like Mandelbrot sets, which appear in nature, in the natural world.
[03:54:02.494 --> 03:54:09.336]  These are really high mathematical concepts, which we know, if you look in the Mandelbrot sets, for example, there's a great lecture that
[03:54:10.256 --> 03:54:14.159]  A physicist named Dr. Jason Lyle did on Mandelbrot sets.
[03:54:15.280 --> 03:54:16.901]  Those can't be human inventions.
[03:54:17.622 --> 03:54:21.765]  For a long time, people might have thought, well, mathematics, that's just something that humans made up.
[03:54:21.825 --> 03:54:23.166]  It's a social convention.
[03:54:23.506 --> 03:54:25.328]  It's a social construct that we use.
[03:54:26.048 --> 03:54:30.792]  No, actually, as many mathematicians have pointed out, these are discoveries.
[03:54:31.773 --> 03:54:34.695]  And if they're a discovery, they're not something that's a human creation.
[03:54:35.757 --> 03:54:45.862]  Humans can create symbols that represent those mathematical principles, but the mathematical principles themselves are discovered and not caused or created by a finite human mind.
[03:54:46.282 --> 03:54:58.588]  And the best example of this is Mandelbrot Sets, which we couldn't even see or know in terms of the specification of magnetism until computers were invented to actually demonstrate this.
