[00:00:04.646 --> 00:00:05.011]  What the fuck?
[03:24:30.306 --> 03:24:32.787]  Look how they act when you support President Trump.
[03:24:33.849 --> 03:24:38.811]  Right now they have this whole programming thing telling everybody that President Trump is angry.
[03:24:39.171 --> 03:24:40.631]  Oh, President Trump is angry.
[03:24:41.612 --> 03:24:44.973]  Well, he should be angry because they're not doing their job.
[03:24:45.533 --> 03:24:46.994]  He is the boss, right?
[03:24:47.174 --> 03:24:48.254]  He's supposed to be the boss.
[03:24:49.395 --> 03:24:53.176]  The left, these Democrats, they're not doing their job and they're saying he's angry.
[03:24:54.492 --> 03:25:04.115]  Even President Trump is now saying that if you're having issues with social media, he has created a location for people to come and voice their grievances.
[03:25:04.775 --> 03:25:12.198]  To voice how they are being disenfranchised by the liberal media outlets with the social media.
[03:25:13.098 --> 03:25:20.500]  You know, the sitting President of the United States, the last thing he should have to do is come out and fight for freedoms.
[03:25:20.881 --> 03:25:22.081]  You know, you shouldn't have to do that.
[03:25:22.737 --> 03:25:25.558]  He shouldn't have to come out and say, you know what?
[03:25:25.838 --> 03:25:29.900]  I have to create this platform so you can keep your freedom of speech.
[03:25:30.380 --> 03:25:31.421]  You know, the First Amendment.
[03:25:32.361 --> 03:25:35.422]  The thing that the Democrats are supposed to abide by.
[03:25:35.502 --> 03:25:37.323]  You know, the Constitution.
[03:25:38.264 --> 03:25:40.164]  The thing that they created years ago.
[03:25:40.585 --> 03:25:41.025]  But you know what?
[03:25:41.045 --> 03:25:43.086]  The Democrats say the Constitution is out of date.
[03:25:44.346 --> 03:25:50.889]  See, that's why you have groups like CNN and MSNBC working with these liberal media outlets, censoring conservatives.
[03:25:52.012 --> 03:25:53.013]  It wasn't Russia!
[03:25:53.773 --> 03:25:55.314]  There was no Russia collusion.
[03:25:55.914 --> 03:25:57.135]  There was no obstruction.
[03:25:59.036 --> 03:26:03.779]  And the censorship is still taking place because they know it was Americans.
[03:26:04.760 --> 03:26:09.002]  It was God-believing Americans that voted for President Trump.
[03:26:10.263 --> 03:26:11.804]  And that's the part they don't like.
[03:26:12.044 --> 03:26:13.145]  So how do we stop that?
[03:26:13.917 --> 03:26:30.075]  I mean, I don't know if you saw it, but right after the 2016 election, Google, a panel of people at Google, got up on this panel and they sit there and had a discussion on how we can prevent an election from happening the way it did in 2016.
[03:26:30.155 --> 03:26:32.138]  Why in the world would Google
[03:26:33.732 --> 03:26:37.655]  Spend the time and effort on trying to change the outcome of the election.
[03:26:37.915 --> 03:26:42.538]  Why would they try to convince people not to vote for the best candidate?
[03:26:43.098 --> 03:26:45.279]  And President Trump was the best candidate.
[03:26:46.740 --> 03:26:48.962]  Now, he does have foot in Twitter mouth, but you know what?
[03:26:49.042 --> 03:26:49.842]  I like his Twitter.
[03:26:50.523 --> 03:26:52.624]  I have foot in Twitter mouth every now and then, too.
[03:26:53.865 --> 03:26:55.346]  Because I say what's on my mind.
[03:26:56.149 --> 03:26:57.430]  And so you're not supposed to do that.
[03:26:57.510 --> 03:26:58.831]  You're not supposed to say what's on your mind.
[03:26:58.871 --> 03:27:01.493]  You're supposed to go along with the liberal left.
[03:27:01.513 --> 03:27:05.336]  You're supposed to go along with the ideas that they hate America.
[03:27:05.697 --> 03:27:07.018]  America's bad.
[03:27:07.658 --> 03:27:08.619]  America's bad.
[03:27:08.679 --> 03:27:09.700]  Don't like America?
[03:27:10.601 --> 03:27:12.822]  If you like America, then there's a problem with you.
[03:27:13.363 --> 03:27:19.768]  If you like conservatives and you want to support President Trump, you want to support organizations like Infoward, then something's wrong with you.
[03:27:19.988 --> 03:27:20.849]  You're bad.
[03:27:21.761 --> 03:27:25.565]  Oh, and don't be white and support President Trump or InfoWars.
[03:27:25.685 --> 03:27:26.606]  Oh my God.
[03:27:27.687 --> 03:27:33.232]  You're just automatically a neo-Nazi, white supremacist racist, simply because you were born white.
[03:27:34.373 --> 03:27:35.955]  Do you not see the problem in that?
[03:27:36.915 --> 03:27:37.836]  I'm a black male.
[03:27:38.037 --> 03:27:41.180]  I support InfoWars.com because I support free speech.
[03:27:41.820 --> 03:27:42.401]  I support it.
[03:27:42.421 --> 03:27:44.583]  A hundred percent.
[03:27:45.984 --> 03:27:46.885]  You don't have to like it.
[03:27:48.092 --> 03:27:50.033]  But I'm going to continue supporting InfoWars.
[03:27:50.533 --> 03:27:52.934]  I'm going to continue supporting the President of the United States.
[03:27:54.095 --> 03:27:54.755]  I'm going to.
[03:27:54.775 --> 03:28:02.418]  And if I have my freedoms and you say that you're for freedoms, then you should join me in supporting InfoWars.com.
[03:28:03.258 --> 03:28:07.800]  And one way you can do that support is by going to InfoWarsStore.com.
[03:28:08.761 --> 03:28:09.621]  Get the supplements.
[03:28:11.207 --> 03:28:13.149]  Right now, they have an awesome deal.
[03:28:13.669 --> 03:28:15.791]  There's an 8-pack power stack.
[03:28:16.412 --> 03:28:17.573]  It is unbelievable.
[03:28:17.593 --> 03:28:18.954]  And you know, it makes complete sense.
[03:28:19.355 --> 03:28:22.117]  You get the packet, you put it in your pocket, you go on your day.
[03:28:22.438 --> 03:28:25.520]  When you're having breakfast and you're having lunch, go ahead and take it.
[03:28:26.061 --> 03:28:26.922]  Get the energy.
[03:28:27.782 --> 03:28:29.264]  Get what your body needs.
[03:28:30.085 --> 03:28:32.967]  I saw this deal and I'm like, man, I've got to order it today.
[03:28:33.988 --> 03:28:35.750]  I have to order it today.
[03:28:36.537 --> 03:28:38.558]  Go to InfoWarsStore.com.
[03:28:38.718 --> 03:28:46.560]  It is so important that this is the only way that you can help InfoWars fight this fight that is headed for all of us.
[03:28:46.580 --> 03:28:50.201]  You think just because you're watching it happen to other people, it's not coming to you?
[03:28:50.621 --> 03:28:51.581]  Oh, it's coming!
[03:28:51.601 --> 03:28:52.822]  It's coming!
[03:28:53.442 --> 03:28:58.123]  We're all experiencing it today, and it's not gonna stop until they get what they want.
[03:28:58.583 --> 03:29:00.764]  My name is Will Johnson, and this is InfoWars.com.
[03:29:02.153 --> 03:29:11.419]  OK, so a classic InfoWars fan favorite formula, Super Blue Fluoride Free Toothpaste is a must have for any info warrior serious about their oral health.
[03:29:11.519 --> 03:29:15.722]  Featuring natural oils and ingredients used since aboriginal and biblical times.
[03:29:15.882 --> 03:29:19.705]  Fueled by the good halogen iodine and high quality nano silver.
[03:29:19.925 --> 03:29:24.668]  We've taken the fluoride out and replaced it with powerful ingredients to help boost your smile.
[03:29:24.868 --> 03:29:26.870]  Don't miss out on one of our best products.
[03:29:27.050 --> 03:29:31.853]  Power up your morning routine with Super Blue Fluoride Free Toothpaste at the InfoWars store.
[03:29:32.873 --> 03:29:33.894]  I want them shut down.
[03:29:33.934 --> 03:29:34.855]  I want them silenced.
[03:29:34.895 --> 03:29:35.675]  I want them muted.
[03:29:35.735 --> 03:29:37.576]  I think they are horrible for our society.
[03:29:37.937 --> 03:29:38.777]  Banning people.
[03:29:39.077 --> 03:29:44.281]  They're dictating the opinions that everyone on the platform is allowed to have.
[03:29:47.923 --> 03:29:52.085]  I'm a conservative Jew, so I guess that makes me such a dangerous person.
[03:29:55.107 --> 03:29:55.888]  Spreading articles.
[03:29:55.928 --> 03:29:56.728]  Spreading videos.
[03:29:56.748 --> 03:29:57.289]  Spreading links.
[03:29:57.309 --> 03:29:58.109]  You're gonna get demonized.
[03:29:58.129 --> 03:29:59.170]  You're gonna get attacked.
[03:30:02.304 --> 03:30:05.625]  That's going to do something terrible like help Trump get re-elected.
[03:30:05.645 --> 03:30:09.146]  That's really what all this is about.
[03:30:09.326 --> 03:30:14.648]  They say that they deem our content and our brand unsafe.
[03:30:16.068 --> 03:30:20.049]  It is the right to be, do, and say whatever you want.
[03:30:20.149 --> 03:30:21.570]  It's about freedom of expression.
[03:30:22.930 --> 03:30:28.812]  I'm a journalist and the left is not interested in telling the truth about me because I don't fit the stereotype.
[03:30:31.184 --> 03:30:59.238]  They can say whatever they think, and I respect their constitutional right to do it, and I hope they respect my const- If you are receiving this transmission, you are the resistance.
[03:31:12.159 --> 03:31:22.544]  Now, normally, when I drink Turbo Force, I usually like to drink it before the war room, and I get a kick, and then it sustains me through the rest of the night.
[03:31:22.564 --> 03:31:23.825]  I get to work out in it and everything.
[03:31:24.405 --> 03:31:28.267]  And I usually just pound it down and chase it with some Brain Force Plus.
[03:31:28.348 --> 03:31:36.752]  But Will Johnson, who's hosting the fourth hour, has made a suggestion before to me, and that is to drink it with hot water like you would sip on tea.
[03:31:37.072 --> 03:31:39.533]  So that's actually what I'm going to do today.
[03:31:40.934 --> 03:31:41.855]  On the Alex Jones Show.
[03:31:41.875 --> 03:31:49.723]  So let me just empty my packet of Turbo Force into my InfoWars tumbler, which you can also get at InfoWarsStore.com.
[03:31:50.083 --> 03:31:51.284]  Go ahead and knock that out.
[03:31:51.304 --> 03:31:52.185]  Go ahead and stir that in.
[03:31:52.245 --> 03:31:53.807]  I've got pretty hot water here.
[03:31:53.847 --> 03:31:57.911]  It's been sitting for a minute, so I should be able to drink this without it having to wait too long.
[03:31:58.151 --> 03:31:59.551]  I kind of feel like I'm doing an infomercial.
[03:31:59.671 --> 03:32:03.493]  Me stirring a cup of turbo force has never looked so good.
[03:32:03.813 --> 03:32:09.255]  Oh my gosh, we're about to sell out of turbo force with this one, folks, so you better go to infowarstore.com immediately.
[03:32:09.295 --> 03:32:10.115]  Alright, you think I got it?
[03:32:10.175 --> 03:32:12.656]  Look at the turbo force spinning so eloquently.
[03:32:12.836 --> 03:32:16.717]  Nothing to disturb it, just pure energy waiting for me to consume it.
[03:32:16.917 --> 03:32:22.719]  Yes, ah, I'm thinking of my turbo force and how great it's going to make me feel.
[03:32:23.479 --> 03:32:29.645]  And the pure energy that I'm gonna get from my turbo force at InfoWareStore.com.
[03:32:30.626 --> 03:32:31.106]  Yes.
[03:32:31.887 --> 03:32:33.228]  Total equilibrium.
[03:32:35.032 --> 03:32:36.272]  Find your chi.
[03:32:36.492 --> 03:32:40.493]  Find the energy with TurboForce at InfowarsStore.com.
[03:32:41.273 --> 03:32:44.674]  I'm getting ready for a long four-hour broadcast and I need my energy.
[03:32:44.694 --> 03:32:53.376]  I'm sipping TurboForce mixed with hot water and I find my chi as I host the Alex Jones Show.
[03:32:54.376 --> 03:32:55.076]  It's magic.
[03:32:56.056 --> 03:32:59.117]  It's TurboForce from InfowarsStore.com.
[03:33:06.232 --> 03:33:24.238]  You're listening to The Alex Jones Show.
[03:33:24.418 --> 03:33:28.140]  Infowars.com is tomorrow's news.
[03:33:28.480 --> 03:33:34.762]  Today, you're listening to The Alex Jones Show with Will Johnson.
[03:33:36.960 --> 03:33:37.260]  All right.
[03:33:37.300 --> 03:33:37.961]  Welcome back.
[03:33:38.021 --> 03:33:38.621]  Welcome back.
[03:33:39.341 --> 03:33:42.744]  So in the last segment, we're talking about censorship.
[03:33:43.344 --> 03:33:44.825]  You know, free speech is going away.
[03:33:46.226 --> 03:33:50.348]  I can talk about it all day long because it's affecting all of us.
[03:33:50.408 --> 03:33:54.511]  And a lot of us, like I was saying, don't even recognize it's happening to us.
[03:33:54.931 --> 03:33:56.772]  It's like we're watching it from a distance.
[03:33:57.213 --> 03:33:59.394]  Oh, look what's happening to those people over there.
[03:33:59.434 --> 03:34:00.274]  Look what's happening.
[03:34:00.975 --> 03:34:02.456]  I'm glad it's not happening to me.
[03:34:03.777 --> 03:34:05.758]  When it is happening to all of us,
[03:34:06.437 --> 03:34:15.763]  You know, what I don't understand is you have these people on the left, they say they're so tolerant and inclusive and they're all about love, love, love.
[03:34:16.283 --> 03:34:18.945]  But then they scream, shut them down!
[03:34:19.205 --> 03:34:20.446]  I don't like what they're saying!
[03:34:20.666 --> 03:34:21.727]  They're going against me!
[03:34:22.027 --> 03:34:22.547]  I hate them!
[03:34:22.607 --> 03:34:23.048]  I hate them!
[03:34:23.108 --> 03:34:23.868]  Shut them down!
[03:34:23.948 --> 03:34:24.809]  Shut them down!
[03:34:25.129 --> 03:34:27.571]  They're the fascists because I don't like what they're saying!
[03:34:29.372 --> 03:34:29.852]  Really?
[03:34:30.693 --> 03:34:31.133]  Really?
[03:34:31.273 --> 03:34:33.214]  What happened to being inclusive?
[03:34:33.895 --> 03:34:34.075]  Right?
[03:34:34.995 --> 03:34:38.798]  They, they, when they do that, they're just lying.
[03:34:39.379 --> 03:34:42.081]  It is all nothing but lies when they do that.
[03:34:43.282 --> 03:34:44.644]  And we're supposed to believe it?
[03:34:45.704 --> 03:34:46.105]  Seriously?
[03:34:46.425 --> 03:34:58.896]  You would think that the mainstream media, soon as they see that the free press, whoever it may be, start, you know, when they're getting censored, getting shut down, they should be, it should be alarm bells.
[03:34:59.696 --> 03:35:00.997]  For these major ones.
