[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[02:41:53.029 --> 02:41:53.730]  I went and read the law.
[02:41:53.950 --> 02:41:55.312]  But they're saying they're going to fine me.
[02:41:55.492 --> 02:41:58.056]  Good, I'll go to court with you too, you little maggots!
[02:41:58.436 --> 02:42:01.801]  There's no amount of money you can get out of America to keep the country up.
[02:42:02.062 --> 02:42:03.944]  It's designed to implode, you idiots!
[02:42:05.103 --> 02:42:10.345]  And by the way, you're going to lose everything you've got, New World Order.
[02:42:10.706 --> 02:42:11.506]  All of you minions.
[02:42:12.126 --> 02:42:14.327]  So, 5th Amendment violation, it's totally criminal.
[02:42:14.688 --> 02:42:16.728]  They now say you've got to have a license to have a church.
[02:42:16.989 --> 02:42:17.929]  Ever read the 1st Amendment?
[02:42:17.969 --> 02:42:21.331]  Congress shall make no law respecting and establishing religion for as long as they're allowed?
[02:42:21.811 --> 02:42:22.691]  You know any of that stuff?
[02:42:22.951 --> 02:42:23.212]  No!
[02:42:23.472 --> 02:42:25.433]  A bunch of sheep that do whatever they're told.
[02:42:25.793 --> 02:42:27.774]  So now the cops are going to come in your house without a warrant.
[02:42:28.154 --> 02:42:29.394]  Now they're going to take your bank account.
[02:42:29.955 --> 02:42:32.276]  Now here is the premiere of this piece.
[02:42:33.476 --> 02:42:47.449]  Put out by our own John Bound, and Mark Dice doing a great job showing how sick and crazy Californians are signing petitions to bring in Nazi rule in America and confiscate the guns.
[02:42:47.769 --> 02:42:49.310]  This is the authoritarian nature.
[02:42:49.330 --> 02:42:54.095]  As long as it's the government, they'll go with it because that's their mommy, that's their daddy, that's who they worship, here it is.
[02:42:54.315 --> 02:43:07.280]  This petition is to support door-to-door searches and gun confiscations of the registered weapons, since we have databases of them.
[02:43:07.900 --> 02:43:16.203]  We're just going to model our system after England and a zip code, please, to confiscate.
[02:43:16.663 --> 02:43:21.245]  I always watch the news about the gunshot every school in the United States.
[02:43:22.375 --> 02:43:24.937]  Yeah, thanks for your support.
[02:43:24.997 --> 02:43:32.343]  We're gonna take those guns away from everybody and model the system after England, so I appreciate your support.
[02:43:32.363 --> 02:43:37.107]  They want to cut the police force by 20% in Oceanside.
[02:43:37.147 --> 02:43:42.011]  Did you sign the petition to stop the police force from getting cut?
[02:43:42.091 --> 02:43:44.413]  We don't need Oceanside to turn back into a ghetto.
[02:43:44.833 --> 02:43:45.874]  I don't even live here, dude.
[02:43:46.074 --> 02:43:46.775]  That's okay.
[02:43:46.835 --> 02:43:49.477]  Just help our community and
[02:43:50.638 --> 02:43:57.483]  Just print, sign, and a zip code to support the Orwellian police state.
[02:43:57.943 --> 02:44:06.248]  And we're modeling our system off of the Russian and German Nazi police state.
[02:44:06.388 --> 02:44:13.533]  And we're just trying to do that here in a zip code to support the Orwellian police state too.
[02:44:13.653 --> 02:44:16.395]  So thank you so much for supporting that.
[02:44:18.117 --> 02:44:20.581]  This is hard to keep a straight face sometimes.
[02:44:23.366 --> 02:44:25.350]  The Nazi Germany police states.
[02:44:25.370 --> 02:44:25.911]  Did you hear that?
[02:44:28.154 --> 02:44:29.817]  What is wrong with these people?
[02:44:29.918 --> 02:44:31.100]  You heard what I said, right?
[02:44:34.073 --> 02:44:35.413]  Hi, can I have a minute of your time?
[02:44:35.934 --> 02:44:37.094]  Just a second of your time.
[02:44:37.734 --> 02:44:38.875]  Would you mind signing here?
[02:44:39.255 --> 02:44:49.978]  What we're doing is a petition to basically ban the Second Amendment in order to stop these heinous gun shows from selling guns to average citizens.
[02:44:50.778 --> 02:44:53.599]  And what we want is, you know, mainly the criminals to have the guns.
[02:44:53.679 --> 02:44:55.020]  Yeah, just sign there.
[02:44:55.040 --> 02:44:56.560]  Yeah, just sign there.
[02:44:56.580 --> 02:44:56.920]  Uh-huh.
[02:44:57.220 --> 02:44:57.460]  Yeah.
[02:44:58.161 --> 02:44:58.861]  Just right there.
[02:44:59.021 --> 02:44:59.201]  Yeah.
[02:45:00.161 --> 02:45:02.884]  And then your zip code.
[02:45:02.924 --> 02:45:10.551]  What we want is we want to go to every door in the community and find the guns that people have in their homes and take them from them.
[02:45:11.632 --> 02:45:12.393]  That way we're safe.
[02:45:13.114 --> 02:45:14.094]  Alright, thank you.
[02:45:14.575 --> 02:45:15.536]  You're a great American.
[02:45:19.233 --> 02:45:27.665]  Yeah, we're modeling the new system off of the England model and we're just going to get all the guns off the streets except for the police and the military.
[02:45:27.685 --> 02:45:29.727]  So just print your name there.
[02:45:30.871 --> 02:45:34.176]  We won't call you or we won't contact you.
[02:45:34.216 --> 02:45:37.481]  What do you do?
[02:45:37.501 --> 02:45:44.732]  We work with the third party petitioning system so we're just on a zip code to repeal the Second Amendment.
[02:45:44.772 --> 02:45:45.934]  Thanks for supporting that.
[02:45:46.414 --> 02:45:48.395]  You know about CalMed?
[02:45:48.415 --> 02:45:48.455]  No.
[02:45:49.036 --> 02:45:52.898]  It's like the Obamacare for the low-income families and the minorities.
[02:45:53.899 --> 02:45:54.780]  They're going after that.
[02:45:54.800 --> 02:45:55.900]  They want to repeal that.
[02:45:55.920 --> 02:46:04.326]  I just need a name and a signature to help to support the Obamacare free vaccination program.
[02:46:04.386 --> 02:46:05.467]  Just print your name here.
[02:46:06.347 --> 02:46:07.768]  Sign and a zip code.
[02:46:08.468 --> 02:46:15.192]  It's just a free, it's just a, it's a free vaccination for the low-income families, but they want to remove that and take that away.
[02:46:15.212 --> 02:46:17.153]  So just, just print your name here, please.
[02:46:17.433 --> 02:46:18.994]  We won't, we won't contact you.
[02:46:19.454 --> 02:46:20.194]  Just a zip code.
[02:46:21.595 --> 02:46:33.962]  Print your name first, please, to support the free vaccination programs with as much mercury as possible to inject into the children and a zip code to support the
[02:46:35.863 --> 02:46:38.346]  Thank you so much for that.
[02:46:38.766 --> 02:46:41.088]  We'll inject as many kids as we can.
[02:46:45.712 --> 02:46:48.895]  Why would you do something like that?
[02:46:49.456 --> 02:46:50.537]  Guns are dangerous.
[02:46:50.977 --> 02:46:52.239]  People are more dangerous than guns.
[02:46:52.499 --> 02:46:53.680]  I'm not from France.
[02:46:55.194 --> 02:46:56.235]  Oh, oh my goodness.
[02:46:56.415 --> 02:46:58.137]  Well, do they have guns still in France?
[02:46:58.217 --> 02:46:58.618]  No, we don't.
[02:46:59.218 --> 02:46:59.759]  Oh, well, good.
[02:46:59.819 --> 02:47:00.539]  Thank God.
[02:47:00.639 --> 02:47:01.520]  Do you want to sign?
[02:47:01.781 --> 02:47:03.462]  Yeah, you just... The civilians don't.
[02:47:03.742 --> 02:47:11.310]  The civilians don't have any guns, so you just signed a petition to endorse the door-to-door searches to get the guns out of the homes, too.
[02:47:11.330 --> 02:47:12.871]  So, I really appreciate it.
[02:47:13.772 --> 02:47:14.633]  Yeah, my name is Mark.
[02:47:14.753 --> 02:47:15.453]  Mark, hey Mark.
[02:47:15.533 --> 02:47:18.955]  Thanks for supporting the door-to-door gun confiscations, bro.
[02:47:18.975 --> 02:47:21.236]  So this is going to be within the next few months?
[02:47:21.477 --> 02:47:26.960]  Yeah, we're going to just send the police and the military knocking on doors.
[02:47:27.000 --> 02:47:27.800]  The military too?
[02:47:27.980 --> 02:47:31.102]  Yeah, well they're going to do a... we're going to eliminate... You're here in Oakland?
[02:47:31.122 --> 02:47:35.005]  Yeah, we've eliminated Posse Commentatus and so the police and the military... What?
[02:47:36.465 --> 02:47:50.231]  We've eliminated posse comitatus, so the military and the police are going to work hand-in-hand and go door-to-door and just remove all the guns from people's houses.
[02:47:50.271 --> 02:47:51.351]  Guns and shotguns you mean?
[02:47:51.471 --> 02:47:52.532]  Yeah, everything.
[02:47:52.592 --> 02:47:54.432]  So I really appreciate your support, bro.
[02:47:54.452 --> 02:47:57.273]  Yeah, I guess people are really having a problem with that.
[02:47:57.293 --> 02:47:58.374]  Yeah, we're going to fix it.
[02:47:58.454 --> 02:47:59.314]  Thanks for your help.
[02:47:59.974 --> 02:48:03.356]  And this is supporting the police state and
[02:48:04.537 --> 02:48:10.262]  We're going to model the new police state after George Orwell's 1984.
[02:48:10.302 --> 02:48:12.723]  And, uh, zip code please?
[02:48:14.225 --> 02:48:25.273]  This is, like I said, this is supporting the police state and the Orwellian 1984 surveillance systems that we want to implement here.
[02:48:26.634 --> 02:48:40.145]  Model our society after that so I really appreciate you supporting the police state with our Petition here and a zip code to to support the police state too.
[02:48:40.585 --> 02:48:41.546]  Thank you so much
[02:48:44.582 --> 02:48:45.723]  You don't want to sign that?
[02:48:45.743 --> 02:48:46.483]  I can't do that.
[02:48:46.823 --> 02:48:47.303]  Are you sure?
[02:48:47.403 --> 02:48:48.264]  Yeah.
[02:48:48.364 --> 02:48:49.984]  These guns need to be taken away.
[02:48:50.004 --> 02:48:51.005]  They're frightening.
[02:48:51.305 --> 02:48:57.427]  I agree with that, but I think they should do some more like psychological tests before they take away guns.
[02:48:57.527 --> 02:48:59.648]  Oh sure, yeah, for mental evaluation.
[02:48:59.808 --> 02:49:00.349]  Absolutely.
[02:49:00.509 --> 02:49:02.610]  Print and sign there.
[02:49:03.590 --> 02:49:12.637]  To support the police state, the Orwellian measures, we're going to model the police state after Orwell's model.
[02:49:12.697 --> 02:49:15.339]  So thanks for supporting the Orwellian police state.
[02:49:15.839 --> 02:49:21.864]  So just print, sign in a zip code, just to not cut the force by 20 percent, please.
[02:49:25.202 --> 02:49:36.714]  And what this petition is doing is it's supporting the police state and we're sort of modeling the new American police state after Russia and Germany's police state.
[02:49:37.475 --> 02:49:41.239]  Zip code please to support the police state in America.
[02:49:41.800 --> 02:49:42.621]  Thank you so much.
[02:49:45.204 --> 02:49:47.086]  We're supporting the police state.
[02:49:48.280 --> 02:49:52.563]  This petition is supporting the growing police state in America.
[02:49:53.383 --> 02:49:58.846]  We're modeling our police state off of the one in Russia and Germany.
[02:49:58.907 --> 02:50:01.028]  So thanks for supporting the police state.
[02:50:03.850 --> 02:50:07.252]  And what we're going to do with the Obamacare is
[02:50:08.559 --> 02:50:20.186]  Inject the kids with as many vaccines filled with mercury as we can and just help to increase the autism rates and the side effects.
[02:50:20.206 --> 02:50:22.247]  So you just supported that.
[02:50:22.707 --> 02:50:23.147]  Thank you.
[02:50:25.769 --> 02:50:28.130]  By the way, Rob Jacobson also contributed to that report.
[02:50:28.170 --> 02:50:29.491]  Incredible cinematography.
[02:50:30.171 --> 02:50:32.873]  Ladies and gentlemen, you have to understand we didn't have to work to get those people.
[02:50:33.695 --> 02:50:36.038]  Next we're going to call for killing children up to age three.
[02:50:36.819 --> 02:50:37.960]  Just kill them all for the earth.
[02:50:38.080 --> 02:50:43.026]  And we will have people in Austin sign it and salute with pleasure!
[02:50:43.526 --> 02:50:49.793]  Because we're the conspiracy theorists killing children worshipping Hitler is liberal!
[02:50:50.254 --> 02:50:52.616]  I love Mr. Maddow, baby!
[02:50:56.246 --> 02:50:58.167]  In the last two years alone, the U.S.
[02:50:58.187 --> 02:51:00.429]  has seen huge losses to our food supply.
[02:51:00.589 --> 02:51:05.812]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[02:51:06.012 --> 02:51:09.774]  In 2012, we saw the largest drought in the country in more than 50 years.
[02:51:10.035 --> 02:51:13.777]  You may think out of sight, out of mind, and so you don't think you will be affected.
[02:51:13.937 --> 02:51:15.118]  The fact is, you are.
[02:51:15.318 --> 02:51:16.098]  We all are.
[02:51:16.338 --> 02:51:18.660]  Food shortages drive prices up for everyone.
[02:51:18.960 --> 02:51:27.245]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[02:51:27.445 --> 02:51:28.666]  Be prepared before you need it.
[02:51:28.846 --> 02:51:32.008]  With nutrient-dense food you can store for up to 25 years.
[02:51:32.288 --> 02:51:34.530]  You can hope for the best, but hope won't feed you.
[02:51:34.670 --> 02:51:39.052]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[02:51:39.192 --> 02:51:45.036]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[02:51:45.296 --> 02:51:46.720]  And check out their spring specials.
[02:51:46.940 --> 02:51:53.195]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[02:51:53.435 --> 02:51:55.279]  You can bet your life on eFoodsDirect.
[02:51:56.260 --> 02:52:07.566]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
