[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[02:39:48.709 --> 02:39:54.233]  The math is that your right to trial by jury, they're charging you 80 years of your life to exercise that.
[02:39:54.293 --> 02:39:55.234]  That's what they're doing.
[02:39:55.774 --> 02:40:06.061]  The difference between what they're willing to settle for in court and what they're willing to settle for if you simply knuckle under to petty authority, that is the price you're paying for a jury trial.
[02:40:06.442 --> 02:40:08.943]  And that is disrespecting our right to jury trial.
[02:40:09.003 --> 02:40:11.125]  It's using it against us if we exercise it.
[02:40:11.325 --> 02:40:15.147]  You're better off to represent yourself pro se than to get into that kind of stuff like that.
[02:40:15.187 --> 02:40:20.809]  I mean, you know, and go for a fully informed jury plea, just like the New Jersey weed man said.
[02:40:20.849 --> 02:40:35.295]  You know, in that first trial where he got over half of the jurors to let him go, he said he put up the law from the New Jersey Constitution, even though the judge threatened him and made him take it down right away, threatened him with contempt and was going to throw him in jail.
[02:40:35.795 --> 02:40:36.576]  He said it was too late.
[02:40:37.116 --> 02:40:38.517]  The information was already out there.
[02:40:38.777 --> 02:40:46.362]  You know, one of the things that this Citizen's Rulebook says, it says, the only power the judge has over the jury is their ignorance.
[02:40:47.142 --> 02:40:50.465]  That's what we're trying to cure here with the Fully Informed Jury Association.
[02:40:50.505 --> 02:40:55.568]  We're trying to inform people about what their rights and their duties are as jurors.
[02:40:55.748 --> 02:40:57.989]  We've got a caller here, Cletus in California.
[02:40:58.029 --> 02:40:59.310]  Cletus, do you have a question for us?
[02:41:01.812 --> 02:41:02.312]  Hello, Cletus?
[02:41:02.752 --> 02:41:03.093]  Are you there?
[02:41:03.213 --> 02:41:04.514]  Okay, we'll move on to the next one.
[02:41:04.934 --> 02:41:06.455]  Clay in North Carolina.
[02:41:08.086 --> 02:41:08.546]  Hi, David.
[02:41:08.566 --> 02:41:09.267]  Hi, Kirsten.
[02:41:09.888 --> 02:41:10.128]  Hi.
[02:41:10.428 --> 02:41:10.608]  Hi.
[02:41:10.668 --> 02:41:11.789]  What's your question, Clay?
[02:41:12.610 --> 02:41:17.595]  Boy, what you folks are saying here, it just, there's so many things that's running through my mind.
[02:41:18.135 --> 02:41:30.306]  The main thing, though, that, uh, the comment I had was, uh, the, uh, emphasis also needs to be just as much on grand juries as pedigrees.
[02:41:31.187 --> 02:41:32.829]  Uh, that's the way we, uh,
[02:41:33.635 --> 02:41:37.940]  Fight over zealous prosecutors to thumbnail on what you were just talking about.
[02:41:38.976 --> 02:41:39.196]  Right.
[02:41:39.276 --> 02:41:41.698]  And we actually do deal with grand juries as well.
[02:41:41.738 --> 02:41:50.444]  I just got an email last night from someone who is actually on a grand jury asking for information on what grand juries are all about.
[02:41:50.844 --> 02:41:56.988]  He said, it seems like all we're doing is rubber stamping what the prosecution hands us.
[02:41:57.008 --> 02:41:59.149]  I'm not sure that's what we're supposed to be doing.
[02:41:59.250 --> 02:42:01.711]  So hopefully we will get him straightened out.
[02:42:01.751 --> 02:42:08.636]  But in fact, grand juries are meant to be a barrier between government and the defendant.
[02:42:09.477 --> 02:42:13.981]  It's supposed to be a hurdle that they have to overcome in order to charge someone.
[02:42:14.461 --> 02:42:20.447]  It's not supposed to be this rubber stamp, ham sandwich situation that we're all so familiar with.
[02:42:20.467 --> 02:42:23.890]  Yeah, unfortunately we're seeing that rubber stamp happen at all levels.
[02:42:25.551 --> 02:42:27.773]  The grand jury is particularly notable about that.
[02:42:28.514 --> 02:42:29.835]  Maureen in Virginia.
[02:42:30.155 --> 02:42:31.377]  Maureen, have you got a question for us?
[02:42:32.097 --> 02:42:34.900]  Actually, what you were just talking about, when I was in
[02:42:38.295 --> 02:42:41.198]  I found out who the chairman of the grand jury was.
[02:42:41.738 --> 02:42:45.402]  I had to sneak into the grand jury, behind the prosecutor's back.
[02:42:46.103 --> 02:42:52.089]  And when I was there, I saw a cop come in and hand the woman in charge two stacks.
[02:42:52.870 --> 02:42:54.471]  One he said, true bill this back.
[02:42:54.932 --> 02:42:56.674]  The other one he said, no bill this back.
[02:42:57.114 --> 02:42:59.036]  And she came over to me, she says, I'll just be a few minutes.
[02:43:02.526 --> 02:43:04.087]  In a couple minutes you brought them out.
[02:43:04.647 --> 02:43:06.908]  True Bill this stack, No Bill this stack.
[02:43:07.188 --> 02:43:11.870]  They don't even have five minutes to read any of them.
[02:43:12.511 --> 02:43:13.831]  But that's not why I called.
[02:43:13.851 --> 02:43:25.657]  I called because, unfortunately, I called because I wanted to know if both the sheriff and the prosecutor are involved in criminal activity.
[02:43:26.137 --> 02:43:30.519]  How in the world can you get that to stop with a jury, especially when
[02:43:31.621 --> 02:43:36.187]  The grand jury thing is a scam and the people basically have to come in.
[02:43:36.788 --> 02:43:39.432]  If they don't come in to be on the grand jury, they are arrested.
[02:43:40.353 --> 02:43:43.698]  And they have to stay there until a true bill or no bill is back.
[02:43:44.098 --> 02:43:45.901]  And they're not allowed to investigate anything.
[02:43:46.321 --> 02:43:47.824]  How do you get around that?
[02:43:49.315 --> 02:43:50.996]  That's a pretty complex question.
[02:43:51.617 --> 02:43:59.543]  There's not much that a jury can do in terms of getting rid of a sheriff or a judge who is corrupt if that doesn't end up in court.
[02:43:59.583 --> 02:44:01.505]  That's just not something that a jury can do.
[02:44:02.025 --> 02:44:10.112]  But what a jury can do is refuse to check their conscience at the courthouse door and refuse to enforce the things that such a
[02:44:10.612 --> 02:44:15.633]  A government agent as a corrupt judge or corrupt sheriff is trying to push.
[02:44:16.153 --> 02:44:17.774]  Simply vote not guilty.
[02:44:18.334 --> 02:44:24.335]  And what I encourage people to do is to keep their mouth shut about jury nullification once they get to the courthouse.
[02:44:24.395 --> 02:44:38.938]  Because if it becomes clear at any point that you are aware of your full authority as a juror to refuse to enforce unjust laws, you can be excluded during voir dire or you can even be removed during deliberations.
[02:44:39.378 --> 02:44:40.418]  Absolutely.
[02:44:40.718 --> 02:44:45.720]  What you cannot be removed from a jury for is for expressing doubt about a juror's guilt.
[02:44:46.140 --> 02:44:51.041]  So I suggest not trying to convince anyone else on the jury to nullify.
[02:44:51.141 --> 02:44:52.762]  Simply vote not guilty.
[02:44:53.622 --> 02:44:54.923]  Stick to your not guilty vote.
[02:44:54.963 --> 02:44:56.163]  Hang the jury if you have to.
[02:44:56.203 --> 02:44:57.203]  A hung jury is okay.
[02:44:57.243 --> 02:45:03.085]  It's much better for a defendant to have a hung jury than to have a guilty vote against them that they have to appeal.
[02:45:03.965 --> 02:45:06.546]  So what I tell people is show up, get on the jury,
[02:45:07.046 --> 02:45:09.568]  Stand up for what is right and then shut up.
[02:45:09.828 --> 02:45:13.891]  Just don't discuss jury nullification unless you're sure.
[02:45:14.091 --> 02:45:16.673]  Like in New Hampshire, that's a different situation.
[02:45:16.713 --> 02:45:21.156]  If you're sure that everyone else is kind of on board with that already, that's one thing.
[02:45:21.196 --> 02:45:28.141]  But don't try and do a 12 angry men scenario where you're the one lone juror convincing everyone else that jury nullification is the way to go.
[02:45:28.201 --> 02:45:32.764]  Because as exciting and dramatic as that seems, it's not likely to play out that way.
[02:45:33.444 --> 02:45:35.906]  And that's a real important point to make there, Kristen.
[02:45:36.006 --> 02:45:45.372]  I'm glad you brought that up because at any point, you know, you can get, if you come in there as a juror, the defense or the prosecutor can throw you out for any reason.
[02:45:45.652 --> 02:45:51.415]  And the judge can take you off if you're in jury deliberations and you start talking about jury nullification.
[02:45:51.455 --> 02:45:55.298]  He can remove you at that point, you know, because they always have jurors and they always have alternate jurors.
[02:45:55.338 --> 02:45:58.520]  So the point that Kristen just made is very, very important.
[02:45:58.900 --> 02:45:59.721]  Inform yourself.
[02:46:00.501 --> 02:46:02.982]  Inform other people outside of the trial.
[02:46:03.422 --> 02:46:08.564]  But once you're there in a courtroom situation, keep your mouth shut about jury nullification.
[02:46:08.844 --> 02:46:09.665]  Focus on it.
[02:46:09.885 --> 02:46:12.846]  Talk about your objections, you know, to what's going on.
[02:46:13.026 --> 02:46:21.289]  Even if it was clear that the person violated the law, but like it was in the case of the New Jersey weed man, it's clear that he violated the law.
[02:46:21.329 --> 02:46:22.510]  There was no question about that.
[02:46:22.630 --> 02:46:26.311]  And he didn't deny that he had that quantity of marijuana with him.
[02:46:26.672 --> 02:46:30.333]  But he was made that case specifically about jury nullification.
[02:46:30.353 --> 02:46:31.994]  I'm happy to see you there.
[02:46:32.014 --> 02:46:33.874]  It's nice to have a sane man at the microphone.
[02:46:59.361 --> 02:47:00.382]  A little humor here.
[02:47:00.822 --> 02:47:06.545]  We have a district attorney who's not the sharpest knife in the drawer.
[02:47:07.445 --> 02:47:13.148]  And he arrested a woman for passing out FIJA information on the courthouse steps.
[02:47:13.789 --> 02:47:16.170]  He called it jury tampering.
[02:47:16.770 --> 02:47:26.015]  Well, and he hemmed and hawed and hemmed and hawed, and about six months later, it finally dawns on him that the only way to prosecute this case
[02:47:26.821 --> 02:47:30.568]  is to show the jury the literature she was passing out.
[02:47:36.644 --> 02:47:47.552]  One thing I'll say about that is that people are starting to figure out that if they go for a bench trial of some sort, then they can get around the jury in that case.
[02:47:48.032 --> 02:47:51.535]  But it is in fact not jury tampering to hand out our literature.
[02:47:52.115 --> 02:47:54.317]  Our literature discusses no cases.
[02:47:54.537 --> 02:47:59.221]  We as an organization advocate neither for nor against any case in progress.
[02:47:59.921 --> 02:48:03.084]  We are simply doing general juror education outreach.
[02:48:03.164 --> 02:48:16.515]  And so what we encourage activists to do to try and help protect themselves from these inaccurate kinds of charges is not to do this in conjunction with any sort of court case advocacy.
[02:48:16.575 --> 02:48:18.918]  Just do it as a standalone effort.
[02:48:19.618 --> 02:48:20.859]  And if there is a case that
[02:48:21.900 --> 02:48:37.944]  is of particular interest in the community at the time, I suggest going out a few weeks in advance and go out every Monday or, you know, whatever, once a week in advance to establish yourself as part of the landscape and establish that you are not there advocating for or against that case.
