[00:00:00.089 --> 00:00:07.235]  I'm here.
[03:37:33.465 --> 03:37:35.907]  And in Austin, Texas, you get paid very well to be a bully.
[03:37:36.487 --> 03:37:39.770]  Snyder, who assaulted Norma, he was only on the force for three years.
[03:37:40.050 --> 03:37:41.932]  He made $88,000 last year.
[03:37:42.212 --> 03:37:48.697]  Patrick Gaborski, who's only been on the force for 12, 13 years, who assaulted me, he made nearly $130,000 last year.
[03:37:48.737 --> 03:37:49.057]  That's right.
[03:37:49.137 --> 03:37:52.219]  They're on the special Praetorian Guard DWI detail.
[03:37:52.660 --> 03:37:53.220]  Snyder's not.
[03:37:53.981 --> 03:37:55.822]  The point is, the more people they arrest, the more money they get.
[03:37:55.922 --> 03:38:03.985]  Oh yeah, I mean, I heard that the county makes $6,500 per DUI arrest in this county.
[03:38:04.225 --> 03:38:08.066]  Patrick Kiborski had over 300 arrests last year alone.
[03:38:08.086 --> 03:38:09.067]  Well, you know what's a real bounty?
[03:38:09.087 --> 03:38:11.668]  They can make up to $500,000 on a kid.
[03:38:12.268 --> 03:38:15.269]  And that's why they're now taking people's kids if they find marijuana on them.
[03:38:15.569 --> 03:38:16.589]  They're calling it a narcotic.
[03:38:16.609 --> 03:38:18.650]  Yeah, they've been taking kids for a long time.
[03:38:19.090 --> 03:38:23.952]  Perry did with those Mormon kids or whatever in North Texas.
[03:38:25.714 --> 03:38:28.536]  And then it came out they weren't, last time I checked, doing anything to him.
[03:38:29.096 --> 03:38:32.498]  And again, they always choose some group that people think is a little weird.
[03:38:33.298 --> 03:38:37.020]  But then, oh, he burned down the Davidians because he might have been doing something with young women.
[03:38:37.060 --> 03:38:38.641]  I mean, oh good, let's kill him.
[03:38:38.681 --> 03:38:39.541]  That'll fix it.
[03:38:39.601 --> 03:38:40.182]  Right, exactly.
[03:38:40.222 --> 03:38:43.023]  Same with the Ruby Ridge.
[03:38:43.083 --> 03:38:44.204]  Oh, white supremacists.
[03:38:44.244 --> 03:38:46.025]  So therefore, we're justified in killing them.
[03:38:47.406 --> 03:38:48.527]  And it turned out he wasn't.
[03:38:48.767 --> 03:38:51.030]  They kept coming to him saying, I'll give you all this money.
[03:38:51.050 --> 03:38:52.251]  You just saw off this shotgun.
[03:38:52.271 --> 03:38:54.513]  And they told him, you're a former Special Forces Green Beret.
[03:38:55.074 --> 03:38:57.756]  In fact, I want to get him back on the show, Randy Weaver.
[03:38:58.637 --> 03:39:00.299]  We want you to infiltrate the white supremacy.
[03:39:00.339 --> 03:39:01.740]  And he said, no, I'm not going to do that.
[03:39:02.717 --> 03:39:07.222]  And so they set him up and then shot his wife holding the baby and shot the little kid in the back?
[03:39:07.482 --> 03:39:08.183]  Yeah, disgusting.
[03:39:08.243 --> 03:39:09.925]  And Lon Horyuchi was very proud of himself?
[03:39:09.985 --> 03:39:13.710]  I mean, listen, I'm not that tough of a guy, but I've been in a lot of fights growing up in Dallas.
[03:39:13.750 --> 03:39:18.034]  For whatever reason, it was rough compared to this town, which I love the fact that people aren't getting in fights over nothing.
[03:39:18.615 --> 03:39:21.358]  But my whole deal is it was like some big guys acting tough.
[03:39:22.379 --> 03:39:28.448]  And, you know, doing stuff I like, start thinking about what I'm going to do to them, how much I want to fight them because they're bigger than I am.
[03:39:28.468 --> 03:39:29.670]  It's just an instinct.
[03:39:29.730 --> 03:39:31.512]  I guess a Napoleon complex, you could call it.
[03:39:31.913 --> 03:39:33.455]  But, you know, I mean, it's like, I'll show you.
[03:39:35.609 --> 03:39:38.370]  You know, like Yoda to Count Dooku or something.
[03:39:39.531 --> 03:39:43.893]  But then it's embarrassing if someone's weaker than me to even imagine doing something to them.
[03:39:44.473 --> 03:39:48.655]  And then I see with thugs throughout history, they get more excited the weaker you are.
[03:39:49.275 --> 03:39:55.098]  I mean, you know, these guys were so manly, you know, they want to, you know, like go get in a bar fight with, you know, like the real deal.
[03:39:55.658 --> 03:39:56.879]  Yeah, and we've seen it before.
[03:39:56.919 --> 03:40:02.061]  We've seen the cops become extra aggressive towards the smaller women that they deal with.
[03:40:02.321 --> 03:40:06.802]  And Patrick Aborski has a history of abusing women, and we're going to expose that as well.
[03:40:07.223 --> 03:40:07.823]  What's your proof?
[03:40:08.563 --> 03:40:19.507]  Well, we have people who've been afraid to come forward because they're afraid of the Austin Police Department, but we have contacts both through direct contacts and through defense attorneys who know that this guy's been abusing people for years.
[03:40:20.348 --> 03:40:23.409]  Every defense attorney in town knows who he is, and we're going to expose that.
[03:40:24.724 --> 03:40:25.885]  And so now they've indicted you.
[03:40:26.325 --> 03:40:27.266]  They've indicted me.
[03:40:27.326 --> 03:40:28.667]  Fortunately, it's not for the felony.
[03:40:28.687 --> 03:40:30.549]  They just threw a bunch of misdemeanors at me.
[03:40:31.049 --> 03:40:31.850]  Same with Norma.
[03:40:31.870 --> 03:40:35.973]  Same with another woman who was arrested for filming cops.
[03:40:36.794 --> 03:40:39.095]  You know, I knew a guy who was a Home Depot manager.
[03:40:39.115 --> 03:40:40.697]  He's been on the show before.
[03:40:42.995 --> 03:40:49.702]  Uh, he got pulled over, and they said that he'd thrown a cigarette out the window, which, if I go from memory, he hadn't even done.
[03:40:50.102 --> 03:40:57.709]  And some famous cop, he's like a captain now, and there's squad car video of this, and the guy's in a, he's paralyzed, chest down, and he has hand controls.
[03:40:58.150 --> 03:40:59.391]  And the cop goes, what are these?
[03:40:59.431 --> 03:41:00.392]  He goes, those are my hand controls.
[03:41:00.412 --> 03:41:00.972]  He goes, get out.
[03:41:01.553 --> 03:41:03.415]  He goes, my wife's got to get out and get my wheelchair.
[03:41:03.455 --> 03:41:04.936]  But yeah, he goes, no, I said get out now.
[03:41:05.857 --> 03:41:08.780]  And he couldn't, so he beats him up because he won't walk.
[03:41:09.101 --> 03:41:14.547]  And then I see these TSA videos where they say, like, the 90-year-old woman, get up, and she's like, I'm dying of cancer.
[03:41:14.567 --> 03:41:15.968]  And then they drag him out and all this.
[03:41:16.309 --> 03:41:17.530]  It's like crazy people.
[03:41:18.091 --> 03:41:21.274]  I mean, I don't get... I just don't get it.
[03:41:21.294 --> 03:41:23.156]  Have you seen the video of them breaking pro-lifers' arms?
[03:41:24.117 --> 03:41:31.742]  I haven't seen that, but I've seen hundreds of videos of cops committing violent crimes over the past year because once you get victimized, you just get consumed by it.
[03:41:32.022 --> 03:41:35.164]  Have you seen all the videos where people are in wheelchairs and they say get up?
[03:41:35.985 --> 03:41:40.507]  Yeah, there's a really sad video of a woman who just dumps the guy out on his face.
[03:41:40.567 --> 03:41:42.829]  He's sitting in a jail in a wheelchair.
[03:41:43.029 --> 03:41:48.715]  Well, some of those cases we followed where they really are quadriplegics, the bones are like sponge and it breaks their bones.
[03:41:49.016 --> 03:41:50.117]  Yeah, it can't be good for them.
[03:41:50.137 --> 03:41:54.702]  And then they laugh at them as the person's there defecating and urinating all over themselves.
[03:41:54.742 --> 03:41:57.665]  It's like, oh, you threw a quadriplegic on the ground?
[03:41:57.705 --> 03:42:01.670]  This is the new... I mean, those people should be run out of the police force, but no, they're not.
[03:42:02.250 --> 03:42:08.992]  Right, and all I'm asking is for the so-called good, courageous cops to step up and stand up to these bullies.
[03:42:09.072 --> 03:42:11.073]  Start protecting the people from these bullies.
[03:42:11.453 --> 03:42:13.154]  No one has stood up to Patrick Aborski.
[03:42:13.194 --> 03:42:14.294]  I want someone to stand up to him.
[03:42:14.594 --> 03:42:15.535]  Or Robert Snyder.
[03:42:15.795 --> 03:42:21.777]  Or Martinez, who we saw, I saw a woman at South by Southwest because she tried to stand up for her own dignity.
[03:42:21.817 --> 03:42:22.237]  What happened?
[03:42:22.717 --> 03:42:24.638]  I'll tell you what's creepy is I've been downtown
[03:42:44.268 --> 03:42:46.410]  They go see a movie at the Alamo Draft House downtown.
[03:42:46.450 --> 03:42:49.051]  Sometimes they only show films there and I won't go on 6th Street.
[03:42:49.471 --> 03:42:51.353]  They got some nice restaurants down on 4th and stuff.
[03:42:51.853 --> 03:42:55.996]  And I've seen like cops with shaved heads, Satan tattoos on them, black gloves.
[03:42:56.016 --> 03:42:57.697]  They're like, get off the street!
[03:42:58.017 --> 03:43:00.679]  And then one time I looked and he goes, hi Jones, how you doing?
[03:43:01.059 --> 03:43:02.700]  I was like, whoa, that's a criminal.
[03:43:03.200 --> 03:43:06.062]  I mean, my immediate instinct was prepare for combat.
[03:43:06.342 --> 03:43:07.883]  You know, just that's a bad guy right there.
[03:43:09.844 --> 03:43:12.967]  What's scary is, back when I was in college, that was like the thug bouncers.
[03:43:13.488 --> 03:43:14.749]  Like, most bouncers aren't bad guys.
[03:43:14.769 --> 03:43:21.276]  We'd run into guys that were, you know, on it for a power trip, where you walk in with a really good-looking woman into a bar, and they'd go, what you doing, pretty boy?
[03:43:21.296 --> 03:43:25.079]  And, you know, that's why I quit going down to Sixth Street.
[03:43:25.220 --> 03:43:26.140]  I'm not a pretty boy now.
[03:43:26.541 --> 03:43:28.002]  But the point is, is that
[03:43:28.743 --> 03:43:32.546]  My God, we're just turning... I mean, we know North Korea, Mexico, all these other countries.
[03:43:32.767 --> 03:43:34.448]  You turn loose, you worship government.
[03:43:35.149 --> 03:43:36.810]  Thugs get in, you never get out of it.
[03:43:37.150 --> 03:43:38.451]  Generations of slavery.
[03:43:38.492 --> 03:43:39.632]  I mean, we're going into this.
[03:43:40.743 --> 03:43:41.483]  And it's really crazy.
[03:43:41.503 --> 03:43:42.404]  Have you seen the shaved head?
[03:43:42.444 --> 03:43:43.904]  And I'm not saying everybody with shaved heads is bad.
[03:43:43.924 --> 03:43:49.846]  I was down there talking about, you know, shaved head goons that South by Southwest reportedly sent out when the cops wouldn't do the wrong thing anymore.
[03:43:49.866 --> 03:43:52.887]  And then the code enforcers wouldn't do the wrong thing.
[03:43:52.907 --> 03:43:53.927]  They then sent goons out.
[03:43:54.468 --> 03:43:56.888]  You know, the point is, it's the muscle type guy.
[03:43:57.208 --> 03:43:57.949]  Some guy had a shaved head.
[03:43:57.969 --> 03:43:59.129]  He goes, hey, what's wrong with the shaved head?
[03:44:00.049 --> 03:44:00.970]  My hair's all fallen out.
[03:44:00.990 --> 03:44:01.970]  Soon mine will probably be shaved.
[03:44:01.990 --> 03:44:04.251]  My point is, is that what is this
[03:44:05.111 --> 03:44:07.636]  What is, I mean, have these guys not had their butts kicked properly?
[03:44:07.656 --> 03:44:11.764]  I mean, I just don't understand, like, wanting to dominate people.
[03:44:12.418 --> 03:44:15.580]  Well, it's human nature, and when you look at the... Not my nature!
[03:44:15.680 --> 03:44:21.223]  No, not yours, and there are people... If you have morals, ethical, uh, you know, groundings, you don't want to hurt people.
[03:44:21.303 --> 03:44:22.024]  Well, it's not even that!
[03:44:22.044 --> 03:44:26.126]  It's shameful to want to dominate people that are under your control!
[03:44:26.326 --> 03:44:35.592]  Right, but the Stanford Prison Experiment was one that showed us that when you give people power, authority, and control, that a huge segment of the population will go ahead and abuse that. 92%!
[03:44:37.513 --> 03:44:38.894]  Yeah, I didn't know the number.
[03:44:38.914 --> 03:44:41.176]  They began to desire to kill people for no reason.
[03:44:41.376 --> 03:44:48.881]  Yeah, and you have examples through military and whatnot throughout the ages where torture becomes a pastime for these people.
[03:44:50.241 --> 03:44:53.624]  Well, I mean, it's what happens when weak people take on the mantle of being men.
[03:44:56.479 --> 03:44:58.340]  You know what you ought to do with the Austin Police Department?
[03:44:58.380 --> 03:45:01.042]  You ought to, like, say, hey, let's have a charity boxing match.
