[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[03:28:22.571 --> 03:28:40.942]  That we should speak out rather than bowing down, sucking up, and taking orders from liars, cowards, freaks, and fools who believe they have the power to rule us and destroy our lives and livelihoods.
[03:28:40.942 --> 03:28:44.284]  They've robbed us right in front of our eyes.
[03:28:44.284 --> 03:28:45.845]  Freedom of speech?
[03:28:45.845 --> 03:28:48.927]  Look at this little, look at this, look at these guys, look at these guys.
[03:28:50.632 --> 03:28:51.232]  Yeah, go on.
[03:28:51.232 --> 03:28:52.752]  Hey, lead the charge in a war.
[03:28:52.752 --> 03:28:54.033]  I want to see you guys fight.
[03:28:54.033 --> 03:28:54.653]  No, I got it.
[03:28:54.653 --> 03:28:55.733]  You just lead us to war.
[03:28:55.733 --> 03:28:57.693]  Can you imagine this guy fighting?
[03:28:57.693 --> 03:29:01.314]  These aren't men.
[03:29:01.314 --> 03:29:02.374]  They're mouses.
[03:29:02.374 --> 03:29:04.235]  They're geeks.
[03:29:04.235 --> 03:29:06.135]  They've destroyed the beauty of life.
[03:29:06.135 --> 03:29:08.316]  They took the soul out of music.
[03:29:08.316 --> 03:29:09.456]  Oh, yeah.
[03:29:09.456 --> 03:29:12.336]  We could synthesize it just like you could play it.
[03:29:12.336 --> 03:29:16.817]  We don't need any heart and soul.
[03:29:16.817 --> 03:29:19.718]  I'm saying this because we're at a critical stage right now.
[03:29:21.559 --> 03:29:30.645]  They robbed us of our freedoms, our freedom of speech, our freedom of assembly.
[03:29:30.645 --> 03:29:43.072]  These are basic constitutional Bill of Rights stolen from us right in front of our eyes.
[03:29:43.072 --> 03:29:45.293]  Where's the fight back?
[03:29:45.293 --> 03:29:46.994]  No fight back.
[03:29:46.994 --> 03:29:47.815]  We'll censor you.
[03:29:48.757 --> 03:29:54.299]  And that's why everybody listening, put your money where your heart is.
[03:29:54.299 --> 03:29:57.041]  Buy those products from Infowars.
[03:29:57.041 --> 03:29:59.622]  Keep the truth alive!
[03:29:59.622 --> 03:30:00.502]  You can see it.
[03:30:00.502 --> 03:30:01.823]  They're sending it to me.
[03:30:01.823 --> 03:30:08.085]  They're destroying just to say not to take orders from liars, cowards, freaks and fools.
[03:30:08.085 --> 03:30:12.647]  That's against their policy to say that.
[03:30:12.647 --> 03:30:14.548]  And support the Trends Journal.
[03:30:14.548 --> 03:30:16.389]  No other magazine like it in the world.
[03:30:16.389 --> 03:30:18.030]  Nothing comes close.
[03:30:18.030 --> 03:30:18.350]  Nothing.
[03:30:18.922 --> 03:30:19.663]  What's going on?
[03:30:19.663 --> 03:30:23.607]  What it means and what to do next to help you prepare for the madness ahead.
[03:30:23.607 --> 03:30:25.789]  And it's a freak show in front of your eyes.
[03:30:25.789 --> 03:30:30.153]  And you just saw some of it with all those geek freaks.
[03:30:30.153 --> 03:30:31.474]  We're going to be back in a few.
[03:30:31.474 --> 03:30:34.177]  And again, go right to InfoWars.
[03:30:35.157 --> 03:30:38.019]  And buy those products and support the Trans Journal.
[03:30:38.019 --> 03:30:49.588]  You notice that over and over again the United Nations, our supposed controllers and bosses, the great arbiter of truth that no one's allowed to disagree with, has come out and said nothing can treat or prevent COVID-19.
[03:30:50.629 --> 03:30:52.550]  Well, ladies and gentlemen, that's a total lie.
[03:30:52.550 --> 03:31:03.534]  If you get a lot of sunlight, it's on record to produce a ton of vitamin D3, and it's almost impossible to get viral infections when you're getting plenty of vitamin D3, if you have zinc and vitamin C as well.
[03:31:03.534 --> 03:31:08.736]  That's why people get the flus and these colds in the winter, because that's when vitamin D levels plunge.
[03:31:08.736 --> 03:31:12.297]  Now, I've pointed this out, and the media has called me a scammer.
[03:31:12.817 --> 03:31:16.638]  For saying that there's hope and that people should have their vitamins and their minerals.
[03:31:16.638 --> 03:31:23.080]  Well now Fauci's been forced to come out and admit that you need vitamin D3 and C. He should have also added zinc.
[03:31:23.080 --> 03:31:26.320]  Because the NIH website says you die without zinc.
[03:31:26.320 --> 03:31:35.823]  But it's good news that he's being pressured now to admit the reality because so many doctors and nurses and experts in nutrition have been exposing the fact that he's not been warning the public to get their vitamins.
[03:31:36.803 --> 03:31:42.308]  This is your last chance to get a pack power stack and I'm really bummed out about that.
[03:31:42.308 --> 03:31:47.473]  It started out as a sleeper product, but the people that did ordered it loved it and started reordering it.
[03:31:47.473 --> 03:31:52.397]  They spread the word and became one of our best sellers, but because of the COVID supply chain breakdown.
[03:31:52.757 --> 03:31:58.944]  Because there's 13 different formulas in a pack power stack, we are unable to secure it anymore.
[03:31:58.944 --> 03:32:07.553]  This is the highest in AMPM pack system you're going to find, where you take half the pills in the morning, half the tablets and pills and gel caps at night.
[03:32:07.553 --> 03:32:08.033]  It's amazing.
[03:32:08.033 --> 03:32:14.300]  I don't have time to go into everything that's in it, but this gets people to remember to take it, and that's why it's having such a great effect.
[03:32:14.480 --> 03:32:16.462]  Because the stuff in here is absolutely amazing.
[03:32:16.462 --> 03:32:20.105]  So it's your last chance to get 8-Pack PowerStack at InfoWarsStore.com.
[03:32:20.105 --> 03:32:21.746]  It's 60% off and free shipping.
[03:32:21.746 --> 03:32:22.907]  That is at cost.
[03:32:22.907 --> 03:32:26.210]  For all of you that already support InfoWars, we're passing these savings on to you.
[03:32:26.210 --> 03:32:28.872]  Get your 8-Pack PowerStack now, or you still can.
[03:32:28.872 --> 03:32:31.735]  Last chance to get it, InfoWarsStore.com.
[03:32:31.735 --> 03:32:34.197]  8-Pack PowerStack, 60% off and free shipping.
[03:32:38.513 --> 03:32:45.037]  There are almost no free independent media infrastructures in the United States, much less in the entire world.
[03:32:45.037 --> 03:32:51.081]  InfoWars is standalone with our own radio and TV satellite uplinks at hundreds of stations picking us up.
[03:32:51.081 --> 03:33:01.528]  Almost no one else has that, especially anybody covering real issues of global populism, the right to self-defense, and exposing the anti-human globalist death agenda.
[03:33:02.308 --> 03:33:06.531]  That's why when we go out and shoot videos, they're at Band.Video.
[03:33:06.531 --> 03:33:10.994]  They're not allowed to be on Twitter, on YouTube, on Facebook.
[03:33:10.994 --> 03:33:19.399]  That's why it's so precious, because the censorship expands to everyone, which it is now, with AI monitoring and controlling what you can say and do.
[03:33:19.399 --> 03:33:26.324]  It's going to be the OACs like Band.Video and the now redesigned InfoWars.com that become more and more important, which they are.
[03:33:26.744 --> 03:33:34.341]  And the enemy is suing us, attacking us, hacking us, lying about us, sabotaging us, infiltrating us, trying to shut us down right now.
[03:33:34.341 --> 03:33:36.225]  Because they're coming after everyone.
[03:33:36.225 --> 03:33:37.167]  So spread the word now.
[03:33:38.701 --> 03:33:41.602]  2020ElectionsCenter.com.
[03:33:41.602 --> 03:33:44.422]  Just type it in one time and you've got it saved right there in your browser.
[03:33:44.422 --> 03:33:58.605]  And then you can share it on Twitter, Facebook, YouTube, Apple platforms, but most importantly, via text message, email, or by word of mouth because they have banned the links to banned.video.
[03:33:58.605 --> 03:34:02.246]  But 2020ElectionsCenter.com is a clone of the site.
[03:34:02.246 --> 03:34:07.147]  The exact same links, the exact same videos where you can comment, you can share them, everything.
[03:34:07.147 --> 03:34:07.667]  The system,
[03:34:08.627 --> 03:34:13.371]  Trump is censoring because the power of the people overrode them four years ago.
[03:34:13.371 --> 03:34:18.215]  Trump has finally figured this out and says he's going to take action once re-elected against Big Tech.
[03:34:18.215 --> 03:34:19.716]  I mean, he's moderating the situation.
[03:34:19.716 --> 03:34:24.180]  Well, we know the president's overwhelmed right now, so we're going to sit here and cry because he has to take an action.
[03:34:24.180 --> 03:34:35.008]  We the people are taking action now, and you can do it very, very easily by sharing 2020ElectionCenter.com, 2020ElectionCenter.com, and checking out the new, redesigned InfoWars.com and sharing that link.
[03:34:35.008 --> 03:34:36.309]  Oh, that really upsets him.
[03:34:36.309 --> 03:34:36.850]  Oh, yeah.
[03:34:40.928 --> 03:35:02.397]  You're listening to The Alex Jones Show.
[03:35:02.397 --> 03:35:03.837]  Hello, hello.
[03:35:03.837 --> 03:35:05.918]  Great being on The Alex Jones Show.
[03:35:05.918 --> 03:35:09.860]  Remember, I just read to you how I'm being
[03:35:10.894 --> 03:35:28.080]  Censored by LinkedIn for telling us, telling me that I'm a bully and a harassment because I told people that they shouldn't bow down to liars, cowards, freaks and fools.
[03:35:28.080 --> 03:35:32.782]  And that I have no right expressing freedom of speech.
[03:35:32.782 --> 03:35:35.423]  And of course, they've taken away our freedom of assembly.
[03:35:36.604 --> 03:35:41.728]  So do what you can to support the truth, and do what you can to buy those InfoWars products.
[03:35:41.728 --> 03:35:45.311]  And they have a blowout sale coming up now.
[03:35:45.311 --> 03:35:52.996]  Up to 60% off, plus triple Patriot points and free shipping, and it's going to end in seven days.
[03:35:52.996 --> 03:36:01.182]  They're at a crucial moment here, and we need your sponsorship and support to make it over the line in this historic election.
[03:36:01.182 --> 03:36:05.105]  And that's why they're blowing out their inventory to prepare.
[03:36:05.105 --> 03:36:06.066]  To help with that,
[03:36:06.718 --> 03:36:08.759]  They've added new ways to save.
[03:36:08.759 --> 03:36:12.382]  So check out these great specials in the store.
[03:36:12.382 --> 03:36:16.825]  Brain Force Plus Final Run.
[03:36:16.825 --> 03:36:19.947]  Ultimate Krill Oil, selling out.
[03:36:19.947 --> 03:36:23.469]  Super Male Vitality, one of my favorites.
[03:36:23.469 --> 03:36:26.091]  All of these are 50% off.
[03:36:26.091 --> 03:36:28.693]  Survival Shield X2.
[03:36:28.693 --> 03:36:32.876]  Nascent Iodine Spray, 33% off.
[03:36:32.876 --> 03:36:35.297]  Extend the Ys, final run ever, 60% off.
[03:36:36.923 --> 03:36:37.904]  Plus free shipping.
[03:36:37.904 --> 03:36:40.226]  Free shipping for all of this stuff.
[03:36:40.226 --> 03:36:40.827]  All shirts.
[03:36:40.827 --> 03:36:43.689]  They're available for 1776.
[03:36:43.689 --> 03:36:45.130]  Free shipping.
[03:36:45.130 --> 03:36:47.733]  All SRL products.
[03:36:47.733 --> 03:36:48.253]  60% off.
[03:36:48.253 --> 03:36:49.654]  Free shipping.
[03:36:49.654 --> 03:36:52.557]  Eight power stack.
[03:36:52.557 --> 03:36:53.778]  Power stack.
[03:36:53.778 --> 03:36:56.381]  Free shipping.
[03:36:56.381 --> 03:36:58.843]  And many, many great deals.
[03:36:58.843 --> 03:36:58.983]  33% off.
[03:37:02.970 --> 03:37:13.215]  So revamp your daily routine and make sure you save big on these everyday essentials today at InfoWarsStore.
[03:37:13.215 --> 03:37:20.978]  So I want to say a little something about the election coming up.
[03:37:20.978 --> 03:37:28.302]  The headline in the news has been Biden leads Trump by 8.5 points.
[03:37:34.582 --> 03:37:37.923]  If you go back, it was two weeks ago.
[03:37:37.923 --> 03:37:39.184]  I get them all mixed up.
[03:37:39.184 --> 03:37:42.085]  We have so many of them.
[03:37:42.085 --> 03:37:43.186]  Trends Journal cover.
[03:37:43.186 --> 03:37:47.467]  It was masks versus no masks.
[03:37:47.467 --> 03:37:50.909]  That's what this election is going to be.
[03:37:50.909 --> 03:37:53.530]  Lock it up or lock it down.
[03:37:53.530 --> 03:37:57.972]  Lock it up, lock it down.
[03:37:57.972 --> 03:38:01.353]  I should say open it up, lock it down.
[03:38:01.353 --> 03:38:03.034]  Open it up, lock it down.
[03:38:03.590 --> 03:38:05.291]  Masks on, masks off.
[03:38:05.291 --> 03:38:07.092]  And these aren't more than masks.
[03:38:07.092 --> 03:38:08.872]  They're muzzles.
[03:38:08.872 --> 03:38:12.174]  You hear people talk.
[03:38:12.174 --> 03:38:17.696]  Yeah, there it is.
[03:38:17.696 --> 03:38:24.099]  So now the next one's going to be open it up or lock it down.
[03:38:24.099 --> 03:38:28.001]  That's what's going to determine this election.
[03:38:28.001 --> 03:38:32.063]  And if Trump stays on that message, we forecast he wins.
[03:38:33.274 --> 03:38:36.635]  That's the only message.
[03:38:36.635 --> 03:38:54.078]  There used to be a saying back in 1992, when that lowlife piece of slimy garbage crap, murderous thief, I smoked, but I didn't inhale, little Willie Clinton.
[03:38:54.078 --> 03:38:58.919]  The campaign slogan was, it's the economy, stupid.
[03:39:02.176 --> 03:39:03.477]  And that's what it's all about.
[03:39:03.477 --> 03:39:06.939]  It's the economy, stupid.
[03:39:06.939 --> 03:39:09.060]  This economy is in the greatest depression.
[03:39:09.060 --> 03:39:10.741]  We're writing all about it.
[03:39:10.741 --> 03:39:14.083]  Day after day, you're seeing things that never happened before.
[03:39:14.083 --> 03:39:16.604]  Stores going bankrupt around the world.
[03:39:16.604 --> 03:39:20.346]  What's going on in the equity markets has nothing to do with reality.
[03:39:20.346 --> 03:39:22.547]  You know, all the money, what, 1% owns over 50% of the equities.
[03:39:22.547 --> 03:39:22.948]  10% own 88% of it.
[03:39:22.948 --> 03:39:23.488]  Total disconnect.
[03:39:23.488 --> 03:39:24.709]  It's the economy, stupid.
[03:39:31.118 --> 03:39:34.240]  Do you think all those bars that have closed down don't want to open?
[03:39:34.240 --> 03:39:36.921]  They put their whole lives into running these places.
[03:39:36.921 --> 03:39:40.803]  All the florist shops, the salons.
[03:39:40.803 --> 03:39:43.625]  All the small retail stores.
[03:39:43.625 --> 03:39:47.046]  The mom and pops, the his and hers.
[03:39:47.046 --> 03:39:49.488]  The his and his stores.
[03:39:49.488 --> 03:39:53.130]  All out of business as the bigs get bigger.
[03:39:53.130 --> 03:39:56.251]  It's the economy, stupid.
[03:39:56.251 --> 03:39:58.993]  And that's what Trump needs to focus on.
[03:39:58.993 --> 03:39:59.593]  The economy.
[03:40:00.976 --> 03:40:04.358]  Open it up, or lock it down.
[03:40:04.358 --> 03:40:06.079]  I want to put this into context.
[03:40:06.079 --> 03:40:10.642]  We got that other little slimy piece of garbage crap over here.
[03:40:10.642 --> 03:40:16.846]  An arrogant boy, born on Third Basin, thought he had a home run.
[03:40:16.846 --> 03:40:20.528]  Andy Cuomo, who all the dumbo craps brag about.
[03:40:20.528 --> 03:40:24.851]  Oh, what a great job he did in New York.
[03:40:24.851 --> 03:40:27.192]  What do they have, 33,000 people dead, right?
[03:40:27.192 --> 03:40:28.313]  33,500 something?
[03:40:31.690 --> 03:40:37.092]  I'm mentioning this because Spain is also locking down.
[03:40:37.092 --> 03:40:40.013]  You know how many people have died in Spain?
[03:40:40.013 --> 03:40:44.814]  About the same amount.
[03:40:44.814 --> 03:40:45.255]  33,000.
[03:40:45.255 --> 03:40:52.057]  March, April, May, June, July, August, September.
