[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[03:38:29.122 --> 03:38:36.806]  It's human acquiescence that's created it, which is great news in a way because it means we have the power to uncreate it.
[03:38:37.307 --> 03:38:37.667]  And you know,
[03:38:38.994 --> 03:38:40.216]  Look at where this is going.
[03:38:40.276 --> 03:38:46.825]  Look how far we've come in a few months and then project that forward if we go on acquiescing.
[03:38:47.361 --> 03:38:49.601]  To where that's going to be by the end of the year.
[03:38:49.621 --> 03:38:50.562]  That's my question.
[03:38:50.782 --> 03:38:52.182]  You talked about the Southern Hemisphere.
[03:38:52.562 --> 03:38:54.662]  They are choking women on TV on purpose.
[03:38:54.962 --> 03:38:57.403]  They're arresting women wearing masks on purpose.
[03:38:57.723 --> 03:38:58.703]  They're beating people up.
[03:38:58.723 --> 03:39:00.123]  They're getting forced inoculations ready.
[03:39:00.163 --> 03:39:02.104]  They're saying, we're going to take your children.
[03:39:02.424 --> 03:39:03.964]  And the UN says it's the model.
[03:39:04.344 --> 03:39:06.904]  I mean, this is... What is wrong with Australia?
[03:39:07.185 --> 03:39:08.765]  I guess it never got to be in a prison colony.
[03:39:09.085 --> 03:39:10.385]  What the hell is going on here?
[03:39:11.645 --> 03:39:14.966]  Well... They're in their winter now.
[03:39:16.718 --> 03:39:28.769]  And what you're seeing in Melbourne and Victoria under this fascist, there's no other way of describing him, Daniel Andrews, the Premier, is what is planned for the winter in the Northern Hemisphere.
[03:39:29.910 --> 03:39:39.198]  And so Australia today, just like China yesterday, will be the West today, as I said, Australia today, Victoria today, is planned to be the West tomorrow.
[03:39:39.458 --> 03:39:41.820]  So how much more are we going to take, ladies and gentlemen?
[03:39:43.138 --> 03:39:50.604]  And by the way, with Matthew McConaughey the other day, I'm sure you saw it, Fauci said, we need to do what China says, they're the model.
[03:39:50.644 --> 03:39:51.665]  How outrageous is that?
[03:39:52.526 --> 03:39:54.108]  Yeah, well, that's the whole point.
[03:39:54.828 --> 03:40:08.421]  See, because this cult has no borders, and one of its great global centers is China, it's no accident this thing came out of China, this whole hoax came out of China.
[03:40:09.221 --> 03:40:24.747]  Because what they've been doing, this cult was behind the Mao Revolution and it has used China behind the wall of that tyranny as an incubator of the global model for total human control.
[03:40:25.367 --> 03:40:31.790]  So it's come out of China, very symbolically and appropriately, this pandemic hoax.
[03:40:32.290 --> 03:40:34.371]  And the crucial element of it
[03:40:35.023 --> 03:40:41.607]  was to make China's draconian lockdown the blueprint for the West's response to it.
[03:40:41.988 --> 03:40:45.290]  This is why, immediately it started in China.
[03:40:45.670 --> 03:40:55.677]  Ted Ross, the deeply, deeply corrupt Director General of the World Health Organization, when he speaks, or moves his mouth, it's Gates speaking.
[03:40:55.737 --> 03:40:56.938]  When Gates speaks it's
[03:40:57.458 --> 03:40:58.399]  The cult speaking.
[03:40:58.679 --> 03:41:02.463]  He came out and said China is the way to deal with this.
[03:41:02.723 --> 03:41:09.589]  And so when it came to the West, the Chinese model, which was the cult model, was imposed on the West.
[03:41:09.849 --> 03:41:11.590]  And what has happened since then, Alex?
[03:41:12.031 --> 03:41:19.277]  The Chinese model of human control has been transferred massively into the West.
[03:41:19.858 --> 03:41:20.919]  And so if you want to see
[03:41:21.699 --> 03:41:29.026]  What's happening in China today and they ain't finished in China in terms of extremes yet either.
[03:41:29.466 --> 03:41:32.088]  So when are you going to do that?
[03:41:32.109 --> 03:41:34.651]  When are you going to react to this?
[03:41:34.691 --> 03:41:35.632]  When are you going to say no?
[03:41:36.778 --> 03:41:39.000]  You know, when we're full-blown China?
[03:41:39.020 --> 03:41:40.020]  How about then?
[03:41:40.040 --> 03:41:41.561]  It would be a bit more difficult then, wouldn't it?
[03:41:42.002 --> 03:41:44.903]  We need to draw the line now.
[03:41:45.624 --> 03:41:47.065]  Use the power of no.
[03:41:47.565 --> 03:41:54.330]  Use the power of collective unity in not standing for it and not having it.
[03:41:54.430 --> 03:41:58.473]  And yes, there'll be challenges.
[03:41:58.513 --> 03:42:00.634]  Yes, there'll be some consequences.
[03:42:00.974 --> 03:42:06.478]  But as the numbers increase, there will be no consequences.
[03:42:07.119 --> 03:42:11.420]  There were no consequences for the thousands of people on the beaches when they declared a major incident.
[03:42:11.720 --> 03:42:12.561]  There's too many people!
[03:42:13.481 --> 03:42:20.383]  We have the power, and their absolute terror is for that penny to drop.
[03:42:20.943 --> 03:42:22.683]  All right, final segment with David Icke.
[03:42:22.723 --> 03:42:25.584]  Straight ahead, the new book, The Answer, at davidicke.com.
[03:42:25.604 --> 03:42:27.205]  I mean, I know that it's linked on the site.
[03:42:27.225 --> 03:42:28.605]  Where's the best place to go to find the new book?
[03:42:30.606 --> 03:42:32.106]  Yeah, go to davidicke.com.
[03:42:33.595 --> 03:42:35.496]  All right, just came out in the last few days, The Answer.
[03:42:35.776 --> 03:42:37.318]  Great cover, great information.
[03:42:37.438 --> 03:42:38.458]  Can't wait to read the whole thing.
[03:42:38.478 --> 03:42:40.280]  We'll be back, and I've got a bunch of my questions.
[03:42:40.860 --> 03:42:44.282]  Just about the general world, the so-called Council of Thirteen.
[03:42:44.322 --> 03:42:45.863]  I mean, how many are really in control?
[03:42:46.604 --> 03:42:48.165]  Because people now are ready to awaken.
[03:42:48.185 --> 03:42:51.027]  I know a lot of this is old news at the end of the night, but what's old is new.
[03:42:51.047 --> 03:42:51.667]  We'll be right back.
[03:42:51.947 --> 03:42:57.091]  Don't forget, the only way this interview gets out on the radio stations you're listening to or the TV stations is to tell people to tune in.
[03:42:57.371 --> 03:42:59.893]  And once it's archived, demand on video to share it.
[03:43:00.313 --> 03:43:01.234]  That's how we win the war.
[03:43:02.176 --> 03:43:11.307]  You know, I sleep really good at night because I do my research and then I come out and I tell you what I actually really believe is going on.
[03:43:11.327 --> 03:43:15.893]  I don't care what the censors or the bureaucrats or the corrupt globalist mafia think.
[03:43:17.035 --> 03:43:20.639]  And InfoWars has become a pro-human, pro-liberty leader.
[03:43:22.458 --> 03:43:24.439]  On the planet, because of your support.
[03:43:24.839 --> 03:43:34.402]  And I just keep coming back to you telling you thank you, because I don't think you understand it's not rhetoric when I tell you you're king, you're key, you're the ether in which we swim.
[03:43:34.802 --> 03:43:35.903]  We are all in this together.
[03:43:36.263 --> 03:43:38.724]  If you don't support Infowars, if you don't spread the word, we're screwed.
[03:43:38.744 --> 03:43:44.226]  Now listen, I gained about 25 pounds in the last two months.
[03:43:45.206 --> 03:43:47.787]  And I said to myself, I am exercising
[03:43:48.963 --> 03:43:51.626]  I am eating as not as much as I even was.
[03:43:51.726 --> 03:43:52.267]  What's happening?
[03:43:52.287 --> 03:43:53.248]  Is it because I'm 46?
[03:43:53.788 --> 03:43:54.629]  About to be 47?
[03:43:55.811 --> 03:43:55.991]  No.
[03:43:57.873 --> 03:44:09.405]  About two and a half months ago, I cleaned off the little side desk in my studio that had my X2, had my DNA Force Plus, had the bodies, had a few of the other products that I religiously take, had the fish oil.
[03:44:10.339 --> 03:44:12.100]  Because it was a big mess, I got mad and cleaned it up.
[03:44:12.840 --> 03:44:15.362]  And so, I went, wait a minute, it's the X2.
[03:44:15.842 --> 03:44:25.007]  Because I remember when I first started taking it seven years ago, how I worked out all the time, swam up to two miles a day, couldn't get down from 280 pounds.
[03:44:26.147 --> 03:44:30.510]  And as soon as I went on good, clean, atomic iodine, it turned out nobody else was selling or had.
[03:44:32.239 --> 03:44:33.361]  I lost like 45 pounds.
[03:44:33.381 --> 03:44:33.901]  Everybody saw it.
[03:44:33.921 --> 03:44:34.542]  It was incredible.
[03:44:35.163 --> 03:44:40.289]  And Dr. Grip told me, he said, you know, those sunspots you get, those will be a lot less once you have iodine.
[03:44:41.531 --> 03:44:45.516]  And what made me notice it was after a few months without taking it, I've been out in the sun, I had sunspots again.
[03:44:47.038 --> 03:44:48.961]  Two weeks ago, I put the iodine
[03:44:50.493 --> 03:44:53.694]  In the studio so that I would put it in the water or take it under my tongue every day.
[03:44:53.714 --> 03:45:00.236]  I started doing it two and a half weeks ago and it was like my wife two days ago goes, man your stomach was like getting really big.
[03:45:00.276 --> 03:45:01.576]  It's gone down like by a third.
[03:45:02.116 --> 03:45:02.737]  What are you doing?
[03:45:02.757 --> 03:45:03.737]  And I'm like I've been too busy.
[03:45:03.757 --> 03:45:06.618]  I haven't been really exercising but I've lost 15 pounds.
[03:45:07.958 --> 03:45:09.439]  15 pounds folks and it's X2.
[03:45:11.119 --> 03:45:12.000]  And again, I get it.
[03:45:12.040 --> 03:45:12.921]  I was never a supplement guy.
[03:45:12.941 --> 03:45:14.203]  It's what listeners want.
[03:45:14.243 --> 03:45:14.823]  People love it.
[03:45:15.104 --> 03:45:15.825]  I have sponsors.
[03:45:16.085 --> 03:45:16.726]  So I sold it.
[03:45:16.806 --> 03:45:21.451]  Then I started saying like eight years ago, seven years ago, why don't I just take what I sell?
[03:45:21.911 --> 03:45:23.553]  And it changed my life because these are really good products.
[03:45:23.573 --> 03:45:26.416]  Because I always got you the highest rated, you know, with sponsors.
[03:45:26.797 --> 03:45:28.038]  So I said, why not put it out myself?
[03:45:31.502 --> 03:45:33.923]  I told the crew, keep it in all the studios.
[03:45:34.363 --> 03:45:35.943]  Remind me to take it every day.
[03:45:36.683 --> 03:45:47.846]  My lord, my libido, my stamina, my eyesight, everything, especially as you get older and you're under high stress, this is the ultimate good halogen that counters the fluoride.
[03:45:47.926 --> 03:45:48.506]  It's incredible.
[03:45:48.986 --> 03:45:51.207]  Now look, it was sold out for months, the X2 liquid.
[03:45:51.367 --> 03:45:52.787]  Let's take it out of the tub.
[03:45:53.447 --> 03:45:54.007]  Proprietary.
[03:45:54.388 --> 03:45:58.090]  It's back in limited supply, but it's 50% off still.
[03:45:58.771 --> 03:45:59.492]  And free shipping.
[03:45:59.592 --> 03:46:02.854]  I'm extending this right through September till it sells out.
[03:46:02.874 --> 03:46:05.376]  It'll probably sell out by the middle of September.
[03:46:05.796 --> 03:46:10.139]  And we have the new Iodine Spray Bottle with X2.
[03:46:10.179 --> 03:46:12.921]  The only true atomic iodine that's in a spray bottle.
[03:46:13.442 --> 03:46:14.062]  It's amazing.
[03:46:14.363 --> 03:46:15.884]  Check it out and all its different uses.
[03:46:16.224 --> 03:46:19.707]  The things it does for topically, but also internally.
[03:46:20.547 --> 03:46:21.828]  It's at InfoWarsTore.com.
[03:46:22.248 --> 03:46:23.870]  That's how we finance this operation.
[03:46:24.210 --> 03:46:25.271]  That's how we fund things.
[03:46:25.631 --> 03:46:26.732]  And they're all great products.
[03:46:26.752 --> 03:46:34.977]  So when I promote swearable food, or I promote, you know, that you better get guns because a collapse is coming, it's what I really believe is happening.
[03:46:35.478 --> 03:46:36.959]  And I'm trying to fight the collapse, but
[03:46:37.299 --> 03:46:42.544]  More and more it becomes a reality we better get ready and then hope we've got insurance we can eat the storable food.
[03:46:43.225 --> 03:46:51.193]  This is something that is game-changing and I've got to religiously remember to always take it because every time I turn around I'm tired and fat.
[03:46:51.533 --> 03:46:54.055]  It's because I've quit taking it and gotten out of the habit.
[03:46:54.356 --> 03:46:55.076]  Habituate it.
[03:46:55.497 --> 03:46:56.298]  It's changed my life.
