[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[03:33:35.780 --> 03:33:42.686]  Well, we now know this is your last chance to get a pack power stack, and I'm really bummed out about that.
[03:33:42.686 --> 03:33:47.851]  It started out as a sleeper product, but the people that did order it loved it and started reordering it.
[03:33:47.851 --> 03:33:50.173]  They spread the word and became one of our best sellers.
[03:33:50.173 --> 03:33:52.755]  But because of the covid supply chain breakdown,
[03:33:53.115 --> 03:33:59.302]  Because there's 13 different formulas in a pack power stack, we are unable to secure it anymore.
[03:33:59.302 --> 03:34:07.932]  This is the highest in AMPM pack system you're gonna find, where you take half the pills in the morning, half the tablets and pills and gel caps at night.
[03:34:07.932 --> 03:34:08.393]  It's amazing.
[03:34:08.393 --> 03:34:12.698]  I don't have time to go into everything that's in it, but this gets people to remember to take it.
[03:34:12.938 --> 03:34:16.819]  And that's why it's having such a great effect, because the stuff in here is absolutely amazing.
[03:34:16.819 --> 03:34:20.461]  So it's your last chance to get 8-Pack PowerStack at InfoWarsStore.com.
[03:34:20.461 --> 03:34:22.101]  It's 60% off and free shipping.
[03:34:22.101 --> 03:34:23.262]  That is at cost.
[03:34:23.262 --> 03:34:26.583]  For all of you that already support InfoWars, we're passing these savings on to you.
[03:34:26.583 --> 03:34:29.244]  Get your 8-Pack PowerStack now, or you still can.
[03:34:29.244 --> 03:34:32.065]  Last chance to get it, InfoWarsStore.com.
[03:34:32.065 --> 03:34:34.546]  8-Pack PowerStack, 60% off and free shipping.
[03:34:40.359 --> 03:34:52.750]  You're listening to the Alex Jones Show.
[03:34:52.750 --> 03:34:57.574]  Biden's a criminal and must be prosecuted.
[03:34:57.574 --> 03:34:58.354]  This is reality.
[03:34:58.354 --> 03:34:59.575]  This is what Trump is saying and doing.
[03:34:59.575 --> 03:35:02.157]  He just got off an airplane at a campaign event.
[03:35:02.157 --> 03:35:03.639]  Here is the president, what he just said.
[03:35:07.105 --> 03:35:08.306]  He got caught.
[03:35:08.306 --> 03:35:09.627]  Read his laptop.
[03:35:09.627 --> 03:35:10.667]  And you know who's a criminal?
[03:35:10.667 --> 03:35:12.748]  You're a criminal for not reporting it.
[03:35:12.748 --> 03:35:14.870]  You are a criminal for not reporting it.
[03:35:14.870 --> 03:35:16.631]  Let me tell you something.
[03:35:16.631 --> 03:35:20.673]  Joe Biden is a criminal and he's been a criminal for a long time.
[03:35:20.673 --> 03:35:25.276]  And you're a criminal in the media for not reporting it.
[03:35:25.276 --> 03:35:28.618]  Is that Ryan's shelter?
[03:35:28.618 --> 03:35:29.618]  Is that Ryan's shelter?
[03:35:29.618 --> 03:35:33.220]  I mean, you want Trump to fight.
[03:35:33.220 --> 03:35:33.881]  He's doing it.
[03:35:35.236 --> 03:35:38.721]  Trump can basically do nothing at this point.
[03:35:38.721 --> 03:35:39.142]  Wrong.
[03:35:39.142 --> 03:35:40.704]  He admits China's the enemy.
[03:35:40.704 --> 03:35:41.746]  He's come out against them.
[03:35:41.746 --> 03:35:43.669]  He's tried to turn the economy back on.
[03:35:43.669 --> 03:35:45.912]  He's tried to stand up for what's right.
[03:35:45.912 --> 03:35:47.395]  Patrick Howley, this is incredible.
[03:35:47.395 --> 03:35:48.056]  What do you make of this?
[03:35:49.431 --> 03:35:54.493]  Well, President Donald Trump is fired up in a way that is very inspiring to me.
[03:35:54.493 --> 03:35:57.714]  He is making it clear at his rallies he wants to open up society again.
[03:35:57.714 --> 03:36:03.436]  Biden and the Democrats, they want to turn society into a prison, lock us down, put these disgusting masks on our faces.
[03:36:03.436 --> 03:36:06.537]  We're going into permanent martial law if Biden wins.
[03:36:06.537 --> 03:36:09.358]  I mean, I just can't believe how real this is.
[03:36:10.626 --> 03:36:17.114]  But it's permanent martial law that the United States is not going to have any sovereignty over because of all the people who are blackmailing Joe Biden.
[03:36:27.626 --> 03:36:29.046]  It's not martial law with the U.S.
[03:36:29.046 --> 03:36:30.927]  military.
[03:36:30.927 --> 03:36:32.688]  General Flynn's not going to be making the decisions.
[03:36:32.688 --> 03:36:37.829]  The decisions are going to be coming down from Tedros at the who and the rest of them and Gates and the rest of them there.
[03:36:37.829 --> 03:36:38.929]  This is disturbing.
[03:36:38.929 --> 03:36:40.790]  This is the most disturbing thing I've ever seen.
[03:36:40.790 --> 03:36:51.353]  And these psychotic, demonic leftists who have lost their sanity, who have been gaslighted and driven into hallucinatory madness over the last couple of years, and especially the last couple of months,
[03:36:51.613 --> 03:36:59.337]  They're voting for this because they think they're taking down white supremacy, and they're taking down the white man, and they're tearing down the white man statues, and it's madness.
[03:36:59.337 --> 03:37:00.298]  We're losing the country right now.
[03:37:00.298 --> 03:37:02.119]  It has nothing to do with white people.
[03:37:02.119 --> 03:37:04.240]  It's a globalist chat-com takeover.
[03:37:04.240 --> 03:37:05.241]  Let's play Trump again.
[03:37:05.241 --> 03:37:11.804]  Just minutes ago, so epic, laying it out and just saying, hey, we need to arrest all these people.
[03:37:11.804 --> 03:37:12.485]  They're enemies.
[03:37:12.485 --> 03:37:13.345]  Because that's what this is.
[03:37:13.345 --> 03:37:14.326]  It's a foreign takeover.
[03:37:14.326 --> 03:37:14.666]  Here it is.
[03:37:16.593 --> 03:37:17.534]  He's a criminal.
[03:37:17.534 --> 03:37:21.096]  He got caught, read his laptop, and you know who's a criminal?
[03:37:21.096 --> 03:37:23.218]  You're a criminal for not reporting it.
[03:37:23.218 --> 03:37:25.319]  You are a criminal for not reporting it.
[03:37:25.319 --> 03:37:27.661]  Let me tell you something.
[03:37:27.661 --> 03:37:34.386]  Joe Biden is a criminal and he's been a criminal for a long time, and you're a criminal in the media for not reporting it.
[03:37:34.386 --> 03:37:35.687]  I know that ugly head anywhere.
[03:37:35.687 --> 03:37:37.108]  That's Brian Stelter!
[03:37:38.070 --> 03:37:41.672]  Literally on a tarmac and Trump saying, you're a criminal.
[03:37:41.672 --> 03:37:42.772]  Patrick, this is great.
[03:37:42.772 --> 03:37:43.673]  Just call it like it is.
[03:37:43.673 --> 03:37:44.253]  We're going to win.
[03:37:44.253 --> 03:37:47.134]  I mean, Trump has 13 days to go to total war.
[03:37:47.134 --> 03:37:49.455]  13 days to victory.
[03:37:49.455 --> 03:37:50.796]  I just think he needs to take the gloves off.
[03:37:50.796 --> 03:37:52.377]  What do you think?
[03:37:52.377 --> 03:37:56.179]  I know people who have seen the contents of Hunter Biden's laptop.
[03:37:56.179 --> 03:37:57.359]  They are shocked.
[03:37:57.359 --> 03:37:58.400]  They are horrified.
[03:37:58.400 --> 03:37:59.660]  They are depressed.
[03:37:59.660 --> 03:38:03.542]  They are depressed about humanity right now after looking at what's on that laptop.
[03:38:03.542 --> 03:38:05.403]  It's the laptop from hell, as the president said.
[03:38:05.796 --> 03:38:09.658]  The New York Post has a responsibility to continue this story.
[03:38:09.658 --> 03:38:12.539]  And if they're not going to continue this story, I'll tell them right now.
[03:38:12.539 --> 03:38:13.580]  I'll tell them right now.
[03:38:13.580 --> 03:38:18.782]  If the New York Post does not publish the second round of this, I will.
[03:38:18.782 --> 03:38:20.023]  And I'll tell you that right now.
[03:38:20.023 --> 03:38:21.483]  And I've already had a conversation about it.
[03:38:21.483 --> 03:38:23.224]  I'll do it.
[03:38:23.224 --> 03:38:26.546]  And so the New York Post, they need to do it and they need to do it today.
[03:38:28.255 --> 03:38:37.742]  We need to save America, and we need to not allow, nobody at the New York Post, however liberal some of them might be, wants to see Communist China conquer the United States of America.
[03:38:37.742 --> 03:38:38.382]  Okay?
[03:38:38.382 --> 03:38:43.185]  Well the problem is they've signed on to doing this, so they just don't know where to stop.
[03:38:43.185 --> 03:38:45.787]  How does a leftist get off the globalist train?
[03:38:49.300 --> 03:39:10.444]  I think that even some of the middle-of-the-road leftists over the last few days and over the last few months are beginning to see the gravity of what we're getting ourselves into, and only the most strident, insane leftists who are the people proudly wearing a mask and screeching about white supremacy and Trump, the people who have really lost their minds.
[03:39:10.444 --> 03:39:12.324]  This is like somebody supporting Hitler in 1944.
[03:39:12.324 --> 03:39:14.625]  I mean, you're betting on a loser here.
[03:39:16.425 --> 03:39:18.026]  I mean, why is he wearing two masks?
[03:39:18.026 --> 03:39:19.887]  It's just there's no end to the justice.
[03:39:19.887 --> 03:39:21.127]  Like, how about five masks?
[03:39:21.127 --> 03:39:23.689]  How about 20 masks?
[03:39:23.689 --> 03:39:24.689]  He needs another one.
[03:39:24.689 --> 03:39:25.469]  Look, it's a psyop.
[03:39:25.469 --> 03:39:29.411]  How many times has Biden said on the campaign trail, ooh, they might kill me.
[03:39:29.411 --> 03:39:31.532]  Ooh, they might throw me off the White House balcony.
[03:39:31.532 --> 03:39:32.453]  Something like that.
[03:39:32.453 --> 03:39:33.753]  He's a hostage!
[03:39:33.753 --> 03:39:35.114]  And he knows he's a hostage.
[03:39:35.114 --> 03:39:41.077]  And the whole family is being held hostage by foreign despots because this guy couldn't even get a security clearance.
[03:39:41.357 --> 03:39:45.679]  If he tried to become the president of the United States, they would say, no, you can't get his security clearance.
[03:39:45.679 --> 03:39:50.421]  So we would have the president who couldn't even see classified information because he is so corrupted.
[03:39:50.421 --> 03:39:52.802]  This guy could have the nuclear football.
[03:39:52.802 --> 03:39:56.183]  The guy is not even capable of thinking for himself.
[03:39:56.183 --> 03:39:57.604]  He's mentally deficient.
[03:39:57.604 --> 03:39:59.604]  He's blackmailed by everyone in the world.
[03:39:59.604 --> 03:40:01.085]  And he could have the red phone.
[03:40:01.085 --> 03:40:03.026]  He could have the nuclear football guy.
[03:40:03.026 --> 03:40:05.827]  And then it's Dr. Strangelove and it's a mushroom cloud.
[03:40:06.247 --> 03:40:09.910]  I mean, bring back the LBJ, bring back the LBJ daisy ad.
[03:40:09.910 --> 03:40:11.491]  I've been trying to get this made for weeks.
[03:40:11.491 --> 03:40:17.676]  Bring back the LBJ daisy ad from 1964 where the girl's picking the flowers and then it's all a mushroom patch.
[03:40:17.676 --> 03:40:18.337]  That's Biden!
[03:40:18.337 --> 03:40:20.398]  I'll get Owen Schroer to air that.
[03:40:20.398 --> 03:40:27.043]  Derrick McBreeman, I forget the name, off the daisy ad from the 60s of nuclear war, Hillary got elected.
[03:40:27.043 --> 03:40:28.024]  And I totally agree.
[03:40:28.024 --> 03:40:28.745]  We should air that.
[03:40:28.745 --> 03:40:30.226]  I bet they can find it.
[03:40:30.226 --> 03:40:30.826]  Let's be safe.
[03:40:30.826 --> 03:40:31.267]  Let's say it.
[03:40:32.467 --> 03:40:37.248]  3.30, 30 minutes into the Owen Schroyer War Room.
[03:40:37.248 --> 03:40:38.509]  I know they'll find it.
[03:40:38.509 --> 03:40:39.749]  Now there's the Daisy ad.
[03:40:39.749 --> 03:40:42.330]  It's a Leanne McAdoo, Darren McBreen ad.
[03:40:42.330 --> 03:40:56.114]  We'll air the Daisy ad, and then we'll air, at 33 after, the Daisy ad, and we'll air that piece that McBreen and I and McAdoo put out four years ago, because it's so powerful, like 20 million views, and it really helped with the election.
[03:40:56.114 --> 03:40:57.914]  And so we're going to air that coming up.
[03:40:57.914 --> 03:40:59.535]  Patrick Howley, getting back to you, though.
[03:41:01.294 --> 03:41:02.757]  I mean, here's the deal.
[03:41:02.757 --> 03:41:03.920]  I never had to hype a show.
[03:41:03.920 --> 03:41:05.623]  I've always got crazy info.
[03:41:05.623 --> 03:41:08.710]  Now, I don't have ways to hype it as big as it is.
[03:41:08.710 --> 03:41:10.915]  What would you call the political point we're at right now?
[03:41:12.839 --> 03:41:15.382]  We are looking at total obliteration.
[03:41:15.382 --> 03:41:19.366]  We're looking at the destruction of America if the Democrats manage to pull off this scheme.
[03:41:19.366 --> 03:41:27.594]  If they manage to do these Taco Bell vote-by-mail votes, drive-through voting, and they manage to pull off this scheme, we're looking at the destruction of America, the obliteration of America.
[03:41:27.594 --> 03:41:29.436]  That mask is a symbol, okay?
[03:41:29.436 --> 03:41:32.399]  That mask is a symbol of the fact that
[03:41:33.342 --> 03:41:34.743]  I mean, it's sinister.
[03:41:34.743 --> 03:41:35.784]  It's very sinister stuff.
[03:41:35.784 --> 03:41:37.926]  It's the same reason Antifa wears masks.
