[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[02:37:45.231 --> 02:37:51.092]  Not much different from the white supremacists they point at as perpetuating systemic white supremacy.
[02:37:51.312 --> 02:37:55.673]  So we are going to head into breakout groups based on our racial identities.
[02:37:55.953 --> 02:37:58.934]  Yep, so white folks, you're gonna stay here.
[02:37:59.194 --> 02:38:00.235]  Just don't click anything.
[02:38:00.275 --> 02:38:01.015]  Just hold tight.
[02:38:01.135 --> 02:38:03.315]  Black African-American folks, here's your link.
[02:38:03.455 --> 02:38:05.436]  And non-black POC folks,
[02:38:06.076 --> 02:38:07.637]  Here you go as well.
[02:38:07.737 --> 02:38:13.181]  Are there two separate courses, or is this a breakout of the crash course?
[02:38:14.102 --> 02:38:15.222]  It's like the same content.
[02:38:15.503 --> 02:38:17.564]  More or less the same content, but in a different way.
[02:38:17.604 --> 02:38:19.866]  You're in a church, and they go, black people go here.
[02:38:19.886 --> 02:38:20.746]  Two separate schools.
[02:38:20.846 --> 02:38:27.731]  I, as a person of color, can decide to go to the one for everybody, but okay, interesting.
[02:38:28.331 --> 02:38:28.571]  Yeah.
[02:38:29.292 --> 02:38:35.036]  If you wanted to, you could go to the Green New Deal crash course that is just for everybody, and you would see white people there.
[02:38:38.750 --> 02:38:41.973]  I'm kind of curious.
[02:38:42.033 --> 02:38:45.796]  I want to see how they're different and like, yeah, I'd be curious to do that.
[02:38:47.898 --> 02:38:48.518]  Millie Weaver.
[02:38:50.039 --> 02:38:52.561]  This is the labyrinth of big tech and big money.
[02:38:52.581 --> 02:38:53.862]  This is the banks.
[02:38:54.343 --> 02:38:55.724]  This is them undermining everybody.
[02:38:55.744 --> 02:38:56.865]  This is so evil.
[02:38:58.163 --> 02:39:14.031]  It's really evil, it's brainwashing and one of the sad things here is notice they talk about how the black kids have their own special groups but they're also allowed to go into the white kids or the everyone groups but the white kids aren't allowed to go into the black kid groups or the people of color groups.
[02:39:14.452 --> 02:39:16.853]  They're essentially segregating white people
[02:39:17.857 --> 02:39:23.542]  And it's really bizarre because what course material are they then teaching the kids and the black kids?
[02:39:23.662 --> 02:39:29.928]  Are they teaching them about how white people are inherently bad and how white people are to blame for climate change?
[02:39:29.968 --> 02:39:31.429]  I mean, it's disturbing.
[02:39:31.469 --> 02:39:32.110]  This is a cult.
[02:39:32.170 --> 02:39:33.912]  And it makes the black kids feel special.
[02:39:33.972 --> 02:39:35.413]  It's so evil.
[02:39:35.813 --> 02:39:39.296]  I mean, this is... Jim Jones could only imagine this.
[02:39:39.377 --> 02:39:40.738]  Hitler could only imagine this.
[02:39:42.139 --> 02:39:42.799]  It's disturbing.
[02:39:42.860 --> 02:39:45.021]  It's a cult, and it's targeting children.
[02:39:45.041 --> 02:39:45.801]  That's the worst part about it.
[02:39:45.821 --> 02:39:46.522]  Oh, this is cult programming.
[02:39:46.542 --> 02:39:48.043]  You're going to take over in the final segment.
[02:39:48.343 --> 02:39:49.264]  Millie, we were straight ahead.
[02:39:49.304 --> 02:39:58.850]  Please don't ever forget, listeners, the only way we reach new people, because we're not a cult, we're blocked by big tech, we're blocked by big media, because we're not a cult.
[02:39:59.070 --> 02:40:01.812]  Well, we're a pro-human cult, pro-God cult.
[02:40:02.332 --> 02:40:05.614]  Only way the dog hunts is you spreading the links to newswars.com.
[02:40:07.190 --> 02:40:08.232]  InfoWars.com
[02:40:15.046 --> 02:40:16.787]  Termination centers, they're now hospitals.
[02:40:17.508 --> 02:40:19.189]  And we do have a big sale going right now.
[02:40:19.209 --> 02:40:22.852]  We have the new X2 Spray Bottle, product 33% off.
[02:40:23.313 --> 02:40:26.935]  And we have the huge savings on select best-selling products, 60% off.
[02:40:26.975 --> 02:40:31.639]  Brain Force Plus, Turbo Force, Real Red Pill, Vanilla Coconut Protein Bars, and Biotrich Linneum.
[02:40:32.059 --> 02:40:32.720]  Those are 60% off.
[02:40:32.900 --> 02:40:37.344]  So that's the tail end of the big sale we just ended, but those are still on sale.
[02:40:37.364 --> 02:40:38.945]  The other products are so close to selling out.
[02:40:39.305 --> 02:40:40.466]  These are about to sell out as well.
[02:40:41.047 --> 02:40:43.749]  But beyond buying the products that are great products you already need,
[02:40:44.349 --> 02:40:45.150]  We're not a cult.
[02:40:45.210 --> 02:40:48.131]  We're all just up front about empowering you to see cults.
[02:40:49.072 --> 02:40:51.233]  But if you don't fight back, the enemy wins.
[02:40:51.834 --> 02:40:53.435]  So again, thank you all for your word of mouth.
[02:40:53.455 --> 02:40:54.295]  Thank you for your prayers.
[02:40:54.756 --> 02:40:57.878]  And thank you for your financial support at InfoWarsTore.com.
[02:40:57.918 --> 02:40:58.538]  We salute you.
[02:40:58.898 --> 02:41:01.100]  Millie Weaver takes over in the final segment.
[02:41:01.120 --> 02:41:01.520]  Stay with us.
[02:41:02.042 --> 02:41:06.564]  This is Millie Weaver and you are listening to the Alex Jones Radio Show.
[02:41:06.984 --> 02:41:20.291]  Now we're going to be going over more information that we have here about the Sunrise Movement, this organization that our undercover person infiltrated and got into and learned about their brainwashing cult tactics.
[02:41:20.691 --> 02:41:26.514]  Their tactics that are behind these violent riots and protests that we've been seeing all across the country.
[02:41:27.034 --> 02:41:30.415]  That the leftists have been behind, essentially.
[02:41:30.835 --> 02:41:39.997]  Now one of the things that's interesting is they train young people to essentially commit violent acts, to get arrested by the police.
[02:41:40.417 --> 02:41:52.960]  Many of these are high school aged and middle school aged children that these adults are training to go and use as cannon fodder at their protests to further push their political agenda.
[02:41:53.460 --> 02:41:54.800]  They even have kids
[02:41:55.669 --> 02:41:57.590]  Uh, segregated into different groups.
[02:41:57.630 --> 02:42:02.934]  They have a green team, where these are the protesters that have been designated to not get arrested.
[02:42:03.554 --> 02:42:04.895]  Then they have a red team.
[02:42:05.355 --> 02:42:07.837]  These protesters were designated to get arrested.
[02:42:07.957 --> 02:42:23.307]  Many of the high school and middle school age kids are put in the red team, and they put them on the outer edges of the protests, so that if the police arrest them, or get into violence with them, they can say, look at these horrible big bad police getting into it with underage children!
[02:42:24.008 --> 02:42:27.751]  They'll have headlines like police arresting a child or police attacking a child.
[02:42:27.811 --> 02:42:36.678]  And I know we saw videos during all these riots of police arresting so-called children, teenage children, and these are those kids.
[02:42:37.159 --> 02:42:41.162]  They're being instructed by a group called Momentum.
[02:42:42.259 --> 02:42:44.980]  That also instructs the Black Lives Matter groups.
[02:42:45.460 --> 02:42:50.642]  This group Momentum was also behind the Dakota Access Pipeline protests.
[02:42:51.382 --> 02:42:59.125]  They're behind many of these groups that you see and they teach training and tactical operations around protests.
[02:42:59.145 --> 02:43:01.946]  So let's go to this clip so you guys can hear it for yourself.
[02:43:03.506 --> 02:43:06.747]  We saw like a lot of people were out of school and we're like, we have school for you.
[02:43:07.767 --> 02:43:08.248]  You're here.
[02:43:08.568 --> 02:43:09.328]  You're at that school.
[02:43:10.014 --> 02:43:13.335]  Does anybody have an idea about what a trigger event is?
[02:43:13.975 --> 02:43:17.437]  Could be, like, you've heard about it before, you're just, like, guessing based on contact clues.
[02:43:17.717 --> 02:43:18.797]  You can drop it in the chat.
[02:43:21.638 --> 02:43:22.259]  Coronavirus.
[02:43:23.519 --> 02:43:23.739]  Yes.
[02:43:24.759 --> 02:43:25.660]  Somebody said mass shootings.
[02:43:25.680 --> 02:43:26.720]  That's a really good example.
[02:43:27.040 --> 02:43:39.065]  Trigger events are events that are creating opportunities for, like, mass participation and polarization, um, and can lead to, like, moments when groups or movements become, like,
[02:43:40.123 --> 02:43:41.764]  Way larger and more powerful.
[02:43:42.244 --> 02:43:51.529]  There are ways to create trigger events, but there also be times when trigger events happen outside of our movement or outside of our hubs, like the coronavirus.
[02:43:51.769 --> 02:44:08.719]  And it's sort of the left's job and the movement for social justice, our job to connect the coronavirus to other issues of economic and racial justice, to bring as many people as possible into the fight for, say, a just recovery.
[02:44:09.259 --> 02:44:15.960]  How we can organize ourselves, how we can actually take action under Corona.
[02:44:16.080 --> 02:44:20.261]  We want to make sure that there's broad support for government intervention.
[02:44:20.621 --> 02:44:25.062]  With the Green New Deal, we know we need to have big, bold government programs come in.
[02:44:25.362 --> 02:44:26.663]  It's the same with this crisis.
[02:44:26.723 --> 02:44:28.583]  There needs to be bold government intervention.
[02:44:28.723 --> 02:44:30.543]  Right now, the government is not doing it.
[02:44:31.183 --> 02:44:33.664]  It definitely is a through line that can connect.
[02:44:34.563 --> 02:44:37.725]  We also need to make sure that the government has seen us as a solution.
[02:44:38.206 --> 02:44:43.530]  Right now, the right is trying to blame the government, trying to, like, scapegoat folks in the government.
[02:44:43.930 --> 02:44:48.513]  They're going to try to get tax cuts for businesses and push business as a solution.
[02:44:48.533 --> 02:44:50.595]  And we know we're going to need to combat that.
[02:44:50.875 --> 02:44:53.637]  And we know we're going to need to combat that.
[02:44:54.713 --> 02:45:03.095]  And yeah, so each tactic, especially the high risk and high disruption actions, should always be evaluated by the action logic framework.
[02:45:03.355 --> 02:45:05.256]  This thing where you're looking at right here, the little triangle.
[02:45:06.176 --> 02:45:07.016]  Action logic.
[02:45:07.516 --> 02:45:12.877]  The tactic should be aligned with your target, the tactic should be aligned with the tone, and the tone with the target.
[02:45:13.418 --> 02:45:18.099]  And so your tone has to match your target, the target, the tactic, and the tactic, the tone, right?
[02:45:18.179 --> 02:45:21.399]  And these are some guiding questions on deciding what you're gonna use.
[02:45:25.043 --> 02:45:41.969]  So, knowing that there are trigger events, should our hub, like, maybe use this time to plan what type of action we would do if there was a trigger event and just kind of have, like, some rough ideas so that if something happens we can be kind of, like, ready to go?
