[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[03:43:28.991 --> 03:43:37.433]  And during my trip, uh, last weekend today, I've been kind of surfing the, uh, the radio, listening to some, I want to get some education.
[03:43:37.433 --> 03:43:39.393]  So I thought I'd listen to some progressive radio.
[03:43:39.393 --> 03:43:42.374]  And I tapped into a couple on Sirius XM.
[03:43:42.374 --> 03:43:48.816]  And, um, after trying to keep my head from explode, exploding after listening, I thought, well, I'm going to call in and rebut
[03:43:49.264 --> 03:43:51.785]  What they have to say and engage them in conversation.
[03:43:51.785 --> 03:44:00.070]  And I got on within two minutes of making the calls in both of those shows, which tells me that the liberal talk radio is just dying.
[03:44:00.070 --> 03:44:04.913]  Because Breitbart, you might take a week to get on Breitbart even, if you're lucky.
[03:44:04.913 --> 03:44:13.257]  But I think that Infowarriors could do a lot of good just by calling those shows and having dialogue with them.
[03:44:13.257 --> 03:44:14.598]  You know, don't get on the yellow.
[03:44:15.154 --> 03:44:16.055]  That doesn't do any good.
[03:44:16.055 --> 03:44:17.096]  They'll all yell at us.
[03:44:17.096 --> 03:44:20.340]  But we might be able to make a point, you know, that may help our cause.
[03:44:20.862 --> 03:44:26.127]  Well, that's right, and if they get upset, just stay calm and keep coming at them with the facts.
[03:44:26.127 --> 03:44:27.408]  I mean, that's a great thing to do.
[03:44:27.408 --> 03:44:30.771]  It is absolutely amazing to hear progressive radio.
[03:44:30.771 --> 03:44:45.524]  I was listening to it the other day, and they started talking about this polio vaccine situation where they're replacing the worldwide supply, and they have two weeks to replace everything in the world, and they want it buried or burned, and they're very adamant about that, and as they were talking,
[03:44:46.164 --> 03:44:52.168]  The one lady who was the host there said, well, of course nobody gets it, gets polio from these vaccines.
[03:44:52.168 --> 03:44:54.250]  The guy goes, oh no, actually they do.
[03:44:54.250 --> 03:45:03.456]  It's actually, it's metastasized here, it's mutated, and is the right word, not metastasized, but of course they do have to
[03:45:05.537 --> 03:45:10.160]  He said it's mutated and people have actually gotten polio from this.
[03:45:10.160 --> 03:45:11.941]  So that's one of the reasons why we're changing it.
[03:45:11.941 --> 03:45:19.026]  I thought I just about pulled off the side of the road when I heard that because of course they've always denied that you could get polio from these vaccines.
[03:45:19.026 --> 03:45:23.088]  They say well it's polio like symptoms but it's not really polio.
[03:45:23.088 --> 03:45:24.109]  You have to understand that.
[03:45:24.109 --> 03:45:26.030]  So it's truly amazing.
[03:45:26.030 --> 03:45:29.732]  Sometimes you hear some incredible stuff on the progressive radio.
[03:45:29.732 --> 03:45:30.513]  I didn't call in though.
[03:45:33.339 --> 03:45:33.939]  But that's great.
[03:45:33.939 --> 03:45:34.840]  Thanks, Greg.
[03:45:34.840 --> 03:45:36.661]  I really appreciate you letting us know about that.
[03:45:36.661 --> 03:45:38.382]  Let's go to Mark in Arizona.
[03:45:38.382 --> 03:45:39.942]  Mark, you've been holding a long time as well.
[03:45:39.942 --> 03:45:40.923]  Thank you so much for holding.
[03:45:40.923 --> 03:45:42.524]  Go ahead.
[03:45:42.524 --> 03:45:43.364]  How you doing, David?
[03:45:43.364 --> 03:45:44.104]  Doing good.
[03:45:44.104 --> 03:45:48.427]  If Alex is still listening, I just want to let him know it's great to see him smiling so much today.
[03:45:48.427 --> 03:45:54.089]  It makes me feel like things are changing for the better and makes me keep the faith.
[03:45:54.089 --> 03:45:54.630]  Oh, yeah.
[03:45:54.630 --> 03:45:54.970]  Oh, yeah.
[03:45:54.970 --> 03:45:56.851]  I think there's a lot of people who are waking up.
[03:45:56.851 --> 03:46:00.253]  Yeah, I really do.
[03:46:00.253 --> 03:46:02.294]  Go ahead.
[03:46:02.294 --> 03:46:02.874]  Did we lose you, Mark?
[03:46:04.773 --> 03:46:06.173]  Yeah, go ahead.
[03:46:06.173 --> 03:46:07.014]  Are you there, Mark?
[03:46:07.014 --> 03:46:09.274]  Go ahead.
[03:46:09.274 --> 03:46:10.494]  Well, I think we lost him.
[03:46:10.494 --> 03:46:20.577]  One of the things I thought was interesting was, in terms of people waking up, there was an article talking about Nancy Pelosi and Vincente Fox meeting together.
[03:46:20.577 --> 03:46:25.658]  And I thought it was pretty amazing what Vincente Fox, former president of Mexico, had to say.
[03:46:25.658 --> 03:46:28.959]  He spent a half hour with Nancy Pelosi.
[03:46:28.959 --> 03:46:32.220]  And they were kind of brainstorming as to how they could defeat Trump.
[03:46:32.220 --> 03:46:33.000]  Isn't that interesting?
[03:46:33.720 --> 03:46:46.845]  A head of state from a foreign country brainstorming with our former Speaker of the House, now the House Minority Leader, and they are working together, conspiring, on how they can influence our election.
[03:46:46.845 --> 03:46:50.826]  And Vincente Fox has said that he's becoming a big fan of Clinton.
[03:46:50.826 --> 03:46:52.327]  I'm sure he always has been.
[03:46:52.327 --> 03:46:55.268]  He compared her to Margaret Thatcher.
[03:46:55.268 --> 03:46:56.469]  I don't think so.
[03:46:56.469 --> 03:47:01.871]  And he disparaged Trump supporters as lazy, uneducated TV-watching drunks.
[03:47:01.871 --> 03:47:02.551]  Isn't that amazing?
[03:47:03.191 --> 03:47:04.692]  He thinks that we're not awake.
[03:47:04.692 --> 03:47:11.957]  He says we need to wake up that citizen, those Trump supporters who are lazy, uneducated, TV-watching drunks.
[03:47:11.957 --> 03:47:14.418]  That's what he thinks of you if you support Donald Trump.
[03:47:14.418 --> 03:47:16.039]  You need to be woken up.
[03:47:16.039 --> 03:47:27.166]  He says we need to take away from them the TV, the drinking and the beer, to working hard and to getting the skills, to getting knowledge, and they will come along like everybody else.
[03:47:27.166 --> 03:47:29.448]  Well, you know, here's part of the problem, Vincente.
[03:47:30.188 --> 03:47:39.698]  You know, you say that Mexico buys billions of dollars of items for the United States to create 10 million American jobs, but Trump supporters still don't respect us.
[03:47:39.698 --> 03:47:40.960]  You know what?
[03:47:40.960 --> 03:47:43.683]  I don't know where you got your statistics from.
[03:47:43.683 --> 03:47:47.246]  But the reality is that we have lost.
[03:47:48.360 --> 03:47:49.501]  Millions of jobs.
[03:48:04.773 --> 03:48:07.675]  That used to alternate back and forth, plus or minus $5 billion.
[03:48:07.675 --> 03:48:15.118]  As soon as we passed NAFTA, it shot up to $15 billion deficit, and it has continued to increase since then.
[03:48:15.118 --> 03:48:18.780]  We had a $60 billion deficit this last year.
[03:48:18.780 --> 03:48:26.004]  We've lost about a trillion dollars to NAFTA in the 23 years that it's been in place.
[03:48:26.004 --> 03:48:30.206]  And that's one of the reasons, maybe, why some of these guys are watching TV and getting angry.
[03:48:30.486 --> 03:48:35.110]  Because maybe they don't have jobs, because their jobs have been sent to Mexico.
[03:48:35.110 --> 03:48:36.992]  And then he goes on to say this.
[03:48:36.992 --> 03:48:42.917]  What I've been saying here, I told her, count with us, count with all Mexicans to support the Democrat Party.
[03:48:44.178 --> 03:48:45.419]  So here we are.
[03:48:45.419 --> 03:48:55.707]  Mexicans, both inside our country and outside our country, foreign leaders are working with the Democrats to try to make sure that Donald Trump doesn't become president.
[03:48:55.707 --> 03:48:58.228]  Because they have to get rid of us.
[03:48:58.228 --> 03:48:59.409]  They have to replace us.
[03:48:59.409 --> 03:49:02.872]  That's along the lines of this story that we've mentioned a couple of times.
[03:49:02.872 --> 03:49:08.396]  Cashing in illegal immigrants get $1,261 more welfare than American families.
[03:49:08.396 --> 03:49:09.917]  And of course, we saw just last week,
[03:49:10.017 --> 03:49:21.306]  It was a couple thousand dollars that students get, the young students get, more than retirees who have paid 15% of their wages their entire working life.
[03:49:21.306 --> 03:49:24.068]  Now people who just come into this country illegally
[03:49:25.117 --> 03:49:28.239]  Get more money than somebody who's retiring on Social Security.
[03:49:28.239 --> 03:49:29.840]  And then of course there's the in-state tuition.
[03:49:29.840 --> 03:49:37.885]  If you come here as a dreamer, you can get in-state tuition in any of the states, but not if you paid taxes here.
[03:49:37.885 --> 03:49:48.372]  See, the whole point of in-state tuition was to try to give some relief to the families who had paid taxes in Texas or paid taxes in Oklahoma, whatever state they lived in.
[03:49:48.372 --> 03:49:48.752]  They would get
[03:49:49.571 --> 03:49:50.271]  Tuition relief.
[03:49:50.271 --> 03:49:51.472]  They're because they paid taxes.
[03:49:51.472 --> 03:49:55.092]  But these people come in and they get in-state tuition rates wherever they want to go.
[03:49:55.092 --> 03:49:57.633]  Even though they have not paid taxes here.
[03:49:57.633 --> 03:50:03.635]  Even though they have come here illegally, flaunting our laws.
[03:50:03.635 --> 03:50:07.556]  You kind of get the idea that Obama wants to replace us.
[03:50:07.556 --> 03:50:08.316]  Let me go to Robert.
[03:50:08.316 --> 03:50:11.297]  I know he's been hanging on for a while and we lost the other call.
[03:50:11.297 --> 03:50:11.837]  Sorry, Mark.
[03:50:11.837 --> 03:50:13.877]  In Arizona, we weren't able to get that back.
[03:50:13.877 --> 03:50:15.278]  Let's go to Robert in California.
[03:50:15.278 --> 03:50:15.778]  Go ahead, Robert.
[03:50:17.301 --> 03:50:18.123]  Thanks, David.
[03:50:18.123 --> 03:50:19.305]  I've been listening.
[03:50:19.305 --> 03:50:23.673]  You were talking about it, and there is a huge awakening going on all over the country.
[03:50:23.673 --> 03:50:29.484]  And for the first time, we're really getting to see how popular the pro-America, pro-liberty
[03:50:30.060 --> 03:50:32.662]  movement and how popular it really is.
[03:50:32.662 --> 03:50:37.686]  And we got a little bit of a taste of it when Ron Paul was running in 2012.
[03:50:37.686 --> 03:50:41.829]  But you saw the media really come against him and the establishment Republican Party.
[03:50:41.829 --> 03:50:45.232]  But now with Donald Trump, we're really getting to see how popular that is.
[03:50:45.232 --> 03:50:46.893]  And there is a huge awakening.
[03:50:46.893 --> 03:50:49.515]  And to Vincente Fox, I don't watch TV.
[03:50:49.515 --> 03:50:51.176]  Hang on, Robert.
[03:50:51.176 --> 03:50:52.517]  Hang on just a little bit longer.
[03:50:52.517 --> 03:50:55.740]  We're going to take a break and we'll come right back to let you finish up that call.
[03:50:55.740 --> 03:50:56.100]  Stay with us.
[03:50:59.887 --> 03:51:10.351]  Extend your life with XtendoVite, a 7-herb combination made from garlic, cayenne, bilberry, hawthorn, ginkgo biloba, valerian, and milk thistle.
[03:51:10.351 --> 03:51:24.456]  Each herb was chosen for their abilities to help improve irregular heartbeats, chest pain, lower cholesterol, as well as normalize blood pressure and clean and strengthen arteries, plus much, much more.
[03:51:25.396 --> 03:51:33.280]  Doctors have taken people off of some or all of their pills just because they believe their patients got better while taking ExtendoVite.
[03:51:33.280 --> 03:51:35.681]  Get the dependability of ExtendoVite.
[03:51:35.681 --> 03:51:38.222]  Just see how you feel in six months.
[03:51:38.222 --> 03:51:41.583]  A two-month supply of either capsules or liquid is only $69.95 plus shipping and handling.
[03:51:41.583 --> 03:51:41.964]  Call 1-877-928-8822.
[03:51:41.964 --> 03:51:43.804]  That's 1-877-928-8822 or visit heartdrop.com.
[03:51:59.670 --> 03:52:00.851]  This is Alex Jones.
[03:52:00.851 --> 03:52:03.874]  Thousands of people seeking home security get ripped off every day.
[03:52:03.874 --> 03:52:10.441]  The security industry uses hordes of salesmen to scare you into signing long-term contracts with no way out.
[03:52:10.441 --> 03:52:13.224]  Protect your family the right way with SimplySafe.
[03:52:13.484 --> 03:52:20.172]  SimpliSafe has no long-term contracts, no hidden fees, 24-7 monitoring, and it's just $14.99 a month.
[03:52:20.172 --> 03:52:22.895]  Three times less than most other security companies.
[03:52:22.895 --> 03:52:27.160]  Visit SimpliSafeDefense.com to get 10% off for listening to my show.
[03:52:27.160 --> 03:52:28.462]  SimpliSafeDefense.com
[03:52:29.463 --> 03:52:36.427]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[03:52:36.427 --> 03:52:41.409]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[03:52:41.409 --> 03:52:43.690]  No scare tactics, just common sense.
[03:52:43.690 --> 03:52:50.294]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[03:52:50.294 --> 03:52:55.316]  Learn more at BlockItPocket.com or call 888-315-9618.
[03:52:55.316 --> 03:52:58.518]  BlockItPocket.com, enhancing health and privacy.
