[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[03:30:38.103 --> 03:30:40.224]  Do the best job you can to purify your air.
[03:30:40.544 --> 03:30:44.025]  One of these systems can keep 800 square feet incredibly clean.
[03:30:44.165 --> 03:30:50.687]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[03:30:50.787 --> 03:30:52.847]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[03:30:52.967 --> 03:30:53.568]  It's normally $220 plus.
[03:30:53.588 --> 03:30:55.468]  But right now, for a limited time, it's less than $200 at InfoWarsTore.com.
[03:31:01.550 --> 03:31:04.133]  And the small profit we make goes to fund our reporters.
[03:31:04.233 --> 03:31:05.514]  This is a 360 win.
[03:31:05.714 --> 03:31:08.417]  Find out why this system is so revolutionary today.
[03:31:08.717 --> 03:31:09.638]  NymphoWarStore.com
[03:31:10.982 --> 03:31:19.990]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[03:31:20.070 --> 03:31:28.317]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[03:31:28.477 --> 03:31:33.181]  We have now managed to secure the sought-after beans in a highly customized blend.
[03:31:33.361 --> 03:31:36.744]  Discover and try a bag of the Patriot Blend 100% Organic Coffee
[03:31:38.285 --> 03:31:39.026]  We're good to go.
[03:31:54.338 --> 03:31:58.700]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[03:31:58.800 --> 03:32:02.061]  Available in original or with our immune support infusion blend.
[03:32:02.202 --> 03:32:08.364]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[03:32:08.504 --> 03:32:10.205]  Available at Infowarslife.com.
[03:32:10.825 --> 03:32:11.866]  BrainForce is here.
[03:32:12.386 --> 03:32:14.667]  Ladies and gentlemen, I've been on this the last few months.
[03:32:14.927 --> 03:32:22.751]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of BrainForce.
[03:32:23.533 --> 03:32:26.695]  One of the worst things with most energy products is it's not sustainable.
[03:32:26.975 --> 03:32:27.115]  Right?
[03:32:27.135 --> 03:32:29.477]  You're gonna crash and gonna feel really bad afterwards.
[03:32:29.837 --> 03:32:33.340]  This has a bunch of different antioxidants and compounds and polyphenols.
[03:32:33.400 --> 03:32:36.542]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[03:32:37.022 --> 03:32:41.845]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[03:32:42.386 --> 03:32:44.207]  For example, the L-theanine inside of it.
[03:32:44.547 --> 03:32:48.990]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[03:32:49.130 --> 03:32:51.152]  This just increases the compounds you already have.
[03:32:51.772 --> 03:32:53.233]  This is what you're actually designed to run on.
[03:32:53.373 --> 03:32:53.633]  Exactly.
[03:32:53.653 --> 03:32:57.474]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[03:32:57.934 --> 03:33:04.817]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[03:33:04.837 --> 03:33:05.217]  Or call 888-253-3139.
[03:33:05.437 --> 03:33:07.137]  You're listening to the Alex Jones Show.
[03:33:19.028 --> 03:33:22.972]  Welcome back to the Alex Jones Show.
[03:33:22.992 --> 03:33:28.276]  I'm David Knight, your host, and as I mentioned in the last segment, we're going to have live election coverage tonight.
[03:33:28.296 --> 03:33:37.785]  We have reporters across the country who will be talking to voters as they leave the polls, and we've got reporters in New Jersey as well as in California.
[03:33:38.485 --> 03:33:40.567]  The returns are going to be going throughout the night.
[03:33:40.627 --> 03:33:48.173]  It's going to be a long broadcast, probably about three and a half, four hours long before the polls, between the times the polls close on the east and the west coast.
[03:33:48.693 --> 03:33:53.457]  One of our reporters in California is Joe Biggs, and Joe Biggs is joining us right now.
[03:33:53.798 --> 03:33:54.038]  Joe.
[03:33:55.139 --> 03:33:55.779]  Hey there, David Knight.
[03:33:55.799 --> 03:33:56.300]  How's it going?
[03:33:56.320 --> 03:33:57.841]  I'm in Long Beach, California.
[03:33:58.334 --> 03:34:05.320]  And yesterday, Hillary Clinton actually came out here to the Long Beach City College, and I had a chance to interview quite a few people.
[03:34:05.740 --> 03:34:16.669]  It was pretty startling to see how many citizens out here in California could care less about Benghazi, that wanted a complete and total sweep of guns to take them all away.
[03:34:17.109 --> 03:34:21.253]  I mean, it was frightening to see and hear some of these people and their answers.
[03:34:21.293 --> 03:34:22.694]  I mean, it blew my mind.
[03:34:22.714 --> 03:34:23.775]  It was out of this world.
[03:34:24.255 --> 03:34:27.597]  Yeah, and of course she said there's two things that are central to her campaign.
[03:34:28.238 --> 03:34:38.505]  One of them is immigration, and she's going to legalize everybody within 100 days, and part of these campaigns... Did she have some college students with her there where she was having the dog and pony show?
[03:34:38.545 --> 03:34:39.866]  Because she did that this weekend.
[03:34:39.906 --> 03:34:44.228]  She had college students there who were bragging about the fact that they were sticking
[03:34:45.129 --> 03:34:48.911]  The American taxpayer with these astronomical college bills.
[03:34:48.931 --> 03:34:52.373]  I mean, nobody even asks why the college bills are so expensive.
[03:34:52.713 --> 03:34:54.274]  We have an article on Infowars.com.
[03:34:54.354 --> 03:34:58.917]  Illegals openly brag about their scholarships on Twitter.
[03:34:59.217 --> 03:35:00.218]  $300,000 scholarship.
[03:35:00.238 --> 03:35:01.899]  $282,000 scholarship.
[03:35:01.979 --> 03:35:09.143]  I mean, I'd gone through and looked at this small college, Azusa Pacific, where they had a South Korean girl bragging about the fact she was here illegally.
[03:35:09.443 --> 03:35:10.283]  I did the math on that.
[03:35:10.303 --> 03:35:10.844]  I said, look, that's $177,000.
[03:35:13.345 --> 03:35:18.269]  That this lady is sticking us with and, you know, just over her four year period.
[03:35:18.789 --> 03:35:22.452]  It's absolutely amazing that it would cost this much anymore for a college education.
[03:35:22.472 --> 03:35:27.016]  There's no way that you could justify that if you were spending the money or you were borrowing the money.
[03:35:27.036 --> 03:35:30.438]  But of course, if you can stick it to the taxpayer, that's a great deal.
[03:35:30.739 --> 03:35:33.241]  And Hillary Clinton is just sitting there nodding about it.
[03:35:33.501 --> 03:35:35.642]  And then the other thing is firearms.
[03:35:35.823 --> 03:35:37.023]  Absolute total gun control.
[03:35:37.304 --> 03:35:38.485]  The thing that bothers me, Joe,
[03:35:39.205 --> 03:35:39.525]  I think?
[03:36:09.045 --> 03:36:12.148]  Well, yeah, what's going on with the Second Amendment?
[03:36:12.188 --> 03:36:13.390]  It's pretty huge in California.
[03:36:13.410 --> 03:36:19.035]  They're actually trying to pass a bill that will make it illegal to own any kind of weapon that has a detachable magazine.
[03:36:19.456 --> 03:36:25.202]  And Hillary Clinton, in her gun-grabbing ways, she actually brought one of her speakers as Gavin Newsom.
[03:36:25.242 --> 03:36:26.183]  Gavin Newsom is known
[03:36:26.741 --> 03:36:31.264]  For a lot of these very horrible anti-second amendment laws in California.
[03:36:31.724 --> 03:36:33.265]  And he paraded her out there.
[03:36:33.285 --> 03:36:39.568]  He introduced her and was so happy to have Hillary here, you know, and they were just kind of laughing about, you know, the whole gun thing.
[03:36:40.108 --> 03:36:45.691]  It's pretty ridiculous, you know, because Long Beach is a very trendy kind of spot.
[03:36:45.972 --> 03:36:48.433]  But then you just go a few miles south and you're in Huntington.
[03:36:48.733 --> 03:36:52.255]  That's a very strong conservative area where they want their guns.
[03:36:52.275 --> 03:36:52.996]  They want their freedom.
[03:36:53.316 --> 03:36:54.997]  They want big, big government out of there.
[03:36:55.956 --> 03:36:58.419]  More states' rights, and they want more freedom to the people.
[03:36:58.920 --> 03:37:00.942]  So, California's really weird, you know.
[03:37:01.243 --> 03:37:06.109]  It differs, you know, miles away just how liberal it can go from the conservative.
[03:37:06.490 --> 03:37:07.210]  It's really crazy.
[03:37:07.751 --> 03:37:09.774]  It's all over the place, but it's predominantly liberal.
[03:37:09.954 --> 03:37:13.318]  And I talked about these gun control measures that are coming up previously.
[03:37:14.281 --> 03:37:17.163]  I think it's a sweeping number of measures.
[03:37:17.203 --> 03:37:23.787]  It's something like seven different measures, and they're even going to control and track ammunition purchases as part of this.
[03:37:23.807 --> 03:37:30.391]  And that's a key thing, because if you can't buy ammunition, you've got, even if you have a gun, it's nothing but a club.
[03:37:30.431 --> 03:37:37.476]  And one of the other things they're doing, Joe, is they're even going to put regulations on historical guns, going back to the 19th century.
[03:37:37.516 --> 03:37:39.257]  That's pretty much unprecedented.
[03:37:40.373 --> 03:37:43.034]  Yeah, it's crazy to see that kind of stuff happening.
[03:37:43.074 --> 03:37:46.615]  Gavin Newsom's the guy that's behind it, and that's why he wants someone like Hillary Clinton.
[03:37:46.635 --> 03:37:50.636]  That's why he's going to endorse someone like her, because she's going to allow that to happen.
[03:37:50.696 --> 03:37:52.477]  And soon enough, it's not just going to be California.
[03:37:52.837 --> 03:37:54.217]  It's going to sweep across the nation.
[03:37:54.597 --> 03:38:01.939]  You know, yesterday, Vermin Supreme, he is one of the candidates who was running in the Libertarian Party, was actually out here at the event and had a chance to talk to him.
[03:38:02.360 --> 03:38:10.182]  And police came over and started harassing him, saying that he might be arrested if he was standing out there with his bullhorn walking around.
[03:38:10.560 --> 03:38:18.617]  And it's not against any kind of law to have a bullhorn, but the police actually went up to him only and harassed this guy and we're sitting there and I started filming it.
[03:38:19.130 --> 03:38:22.152]  And I heard the guy, the police officer say, you need to go to your free speech zone.
[03:38:22.552 --> 03:38:23.872]  And I said, what did you say, officer?
[03:38:23.912 --> 03:38:25.513]  He goes, free speech zone.
[03:38:25.553 --> 03:38:26.213]  It's over there.
[03:38:26.234 --> 03:38:27.694]  And I said, well, I'm anti-Hillary.
[03:38:27.994 --> 03:38:28.895]  I'm not here protesting.
[03:38:28.915 --> 03:38:31.876]  I've got tons of people with me with Hillary for prison t-shirts on.
[03:38:32.196 --> 03:38:33.517]  I said, why have you not come up to me?
[03:38:34.037 --> 03:38:36.018]  And he just kind of completely changed his tone.
[03:38:36.418 --> 03:38:41.381]  But he said, you know, if he had to, he would come back and arrest Vermin Supreme for being out there because
[03:38:41.781 --> 03:38:55.752]  He had this spiel where he called it, uh, Welcome to the Hillary Clinton Checkpoint, and he was doing like a TSA thing where he's like, be prepared to go inside the stadium, you must take off your shirt, your blouse, your pants, get a rectal exam, to be able to see her harness, you know, and just did this whole thing.
