[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[03:35:23.856 --> 03:35:25.917]  You want a country that's innovating and doing things?
[03:35:26.238 --> 03:35:27.418]  You have cheap power.
[03:35:27.619 --> 03:35:30.081]  Whether you like it or not, hey, we have nuclear power too.
[03:35:30.121 --> 03:35:33.203]  I'm not for that, but it also produces electricity.
[03:35:33.524 --> 03:35:36.046]  And we need electricity to make things work.
[03:35:36.286 --> 03:35:40.329]  We have had nothing but wars in the Middle East because we are so dependent upon oil.
[03:35:40.689 --> 03:35:44.753]  If we had more coal, we have more coal than Saudis have oil.
[03:35:44.933 --> 03:35:45.233]  Okay?
[03:35:45.293 --> 03:35:45.674]  Far more.
[03:35:46.354 --> 03:35:53.719]  And the bottom line is, there's nothing other than, nothing affects your standard of living, even your life expectancy, more than cheap energy.
[03:35:54.019 --> 03:35:54.260]  Okay?
[03:35:54.280 --> 03:36:01.165]  You want to have a prosperous country, you want to have a long life expectancy, a high standard of living, you need cheap energy.
[03:36:01.225 --> 03:36:02.105]  We've got cheap energy.
[03:36:02.145 --> 03:36:04.047]  They're artificially making it expensive.
[03:36:04.067 --> 03:36:09.851]  So you've got Obama coming in with his coal regulations, and you've got two dozen states who filed suit against it.
[03:36:10.211 --> 03:36:12.292]  It goes to the Supreme Court in February.
[03:36:12.312 --> 03:36:14.434]  We've got the New York Times headline, Supreme Court deals
[03:36:14.754 --> 03:36:15.535]  We're good to go.
[03:36:33.485 --> 03:36:35.627]  How convenient that he's the one right there.
[03:36:35.687 --> 03:36:37.569]  And so then Scalia dies.
[03:36:37.589 --> 03:36:46.558]  They expected they were going to say, yeah, okay, green light the EPA because that's what Merrick Garland has done his entire career is green light everything the bureaucracy want to do.
[03:36:47.039 --> 03:36:50.462]  They said it was going to lose five to four at the Supreme Court until Scalia died.
[03:36:50.562 --> 03:36:52.905]  Now the lower court decision will stand.
[03:36:53.105 --> 03:36:55.167]  The regulations from the EPA will stand.
[03:36:55.407 --> 03:37:01.874]  And when she's talking about the fact, we're going to make sure they get their benefits, we're going to give you some green jobs to do or whatever, it isn't going to happen.
[03:37:01.914 --> 03:37:06.159]  You're going to recycle cans in the local supermarket or something.
[03:37:06.199 --> 03:37:10.084]  Well, the lady who tried to walk this back said, look, we're going to make sure they get their benefits.
[03:37:10.464 --> 03:37:12.165]  How has that worked out in Oregon?
[03:37:12.745 --> 03:37:14.106]  We went out there and we talked to the people.
[03:37:14.146 --> 03:37:14.986]  We talked to the miners.
[03:37:15.006 --> 03:37:15.946]  We talked to the loggers.
[03:37:15.967 --> 03:37:17.167]  We talked to the ranchers out there.
[03:37:17.387 --> 03:37:24.931]  When they go in and shut down the miners, when they shut down the loggers, they say, all right, we're not going to let you earn a living anymore taking out dead wood.
[03:37:24.991 --> 03:37:29.813]  And of course, that makes the forests all burn down whenever they have a forest fire because they leave the fuel in there.
[03:37:30.053 --> 03:37:31.273]  So it's good for the environment.
[03:37:31.553 --> 03:37:32.894]  It's good for the economy.
[03:37:33.034 --> 03:37:35.335]  It's good for everyone because we get cheaper wood.
[03:37:35.675 --> 03:37:36.896]  They take out the dead wood.
[03:37:37.256 --> 03:37:38.737]  But they say, we're not going to allow you to do that.
[03:37:39.517 --> 03:37:44.263]  And as, but to ease the transition, we're going to give you welfare benefits for 10 years.
[03:37:44.283 --> 03:37:44.784]  Well, you know what?
[03:37:44.824 --> 03:37:47.267]  Those welfare benefits are finished.
[03:37:47.467 --> 03:37:47.607]  Yeah.
[03:37:47.667 --> 03:37:48.748]  And there's nothing left.
[03:37:48.809 --> 03:37:51.852]  They can't even fund the police department in these areas.
[03:37:51.912 --> 03:37:52.873]  And what are they going to do?
[03:37:53.094 --> 03:37:56.398]  You know, they're just going to move on or that area will collapse.
[03:37:56.598 --> 03:37:57.599]  Well, it's the reservation.
[03:37:57.619 --> 03:37:59.981]  And then the feds will come in and say, well, now we own this, too.
[03:38:00.381 --> 03:38:02.944]  Because nobody's living here, so we're just going to take this and keep adding on.
[03:38:03.024 --> 03:38:03.784]  It's the reservation.
[03:38:03.945 --> 03:38:09.209]  Look at Hillary Clinton's other comment, where she said, I know how to deal with men who get off the reservation.
[03:38:09.389 --> 03:38:19.438]  Well, the Indians got rightfully upset about that, because the reservation, as Russell Means has pointed out, has been a horrific instrument to oppress Indians since it was done 100 years ago, 150 years ago, OK?
[03:38:21.562 --> 03:38:28.708]  And what they did was they created a gulag, a socialist gulag for these people and constrained them where they could not earn a living.
[03:38:29.148 --> 03:38:31.530]  Where they were completely dependent upon the government.
[03:38:31.990 --> 03:38:34.232]  And now that's what they're doing to everybody, okay?
[03:38:34.272 --> 03:38:38.355]  They talk about, she said, well, I was talking about Rudy Giuliani, not my husband, okay?
[03:38:38.396 --> 03:38:42.459]  They can go back and forth about that, but look, they want to put everybody on a reservation.
[03:38:42.499 --> 03:38:49.845]  They want all of us to be shut down and constrained into a confined area where we can't earn a living and we're dependent on their
[03:38:50.345 --> 03:38:59.330]  Benefits exactly exactly and then you've got these people running around trying to kill what's left of America and people This lady should be in jail.
[03:38:59.350 --> 03:39:05.353]  She should be investigated right now She shouldn't be running for president, but all this goes back to you have to be prepared What if you lose your job?
[03:39:05.753 --> 03:39:15.679]  What if something strikes like they're saying now the San Andreas Fault is locked and loaded and ready to go We were interviewing people out in South in San Francisco and this one
[03:39:16.670 --> 03:39:23.393]  You know, Triggly Puff wannabe was sitting there yelling at a Trump supporter, Oh, you one of those preppers?
[03:39:24.494 --> 03:39:28.616]  Like, like it was bad to be prepared when they live in a frickin earthquake zone.
[03:39:28.636 --> 03:39:28.816]  Yeah.
[03:39:28.996 --> 03:39:29.316]  Okay.
[03:39:29.336 --> 03:39:29.816]  I don't know.
[03:39:29.856 --> 03:39:34.898]  She probably wasn't born when it happened during the World Series and destroyed bridges and people died.
[03:39:35.379 --> 03:39:37.500]  And, you know, it was mass chaos for a few days.
[03:39:38.320 --> 03:39:40.142]  No, you have to stay prepared.
[03:39:40.162 --> 03:39:46.146]  And one way you can do that right now is we have a mega sale going 30-40% off of Infowars select storable food.
[03:39:46.607 --> 03:39:49.309]  So it's got a 25-year shelf life.
[03:39:49.629 --> 03:39:50.570]  Food prices are going up.
[03:39:50.590 --> 03:39:51.731]  You think energy prices are going up?
[03:39:51.751 --> 03:39:53.032]  Food prices are going up too.
[03:39:54.073 --> 03:39:56.034]  They're hitting everybody where it hurts.
[03:39:56.094 --> 03:39:59.617]  And all the people that say the government's going to help you, government's going to help you.
[03:39:59.858 --> 03:40:02.620]  Hey, the government killed the Indians and put them on reservations.
[03:40:02.880 --> 03:40:05.202]  That wasn't citizens going out and rounding up Indians.
[03:40:05.482 --> 03:40:07.564]  That was your big government that you like so much.
[03:40:07.944 --> 03:40:08.244]  Okay?
[03:40:08.484 --> 03:40:13.286]  Your big government that destroys giant businesses that provide cheap power.
[03:40:13.766 --> 03:40:15.107]  So you live like a serf.
[03:40:15.347 --> 03:40:27.331]  You can't have a job and then you can't pay for the power either because it's gone up so much because, oh, we're going to do these giant solar farms that aren't very efficient that are stuck out in somewhere and it's all collectivized instead of, you know, encouraging people to put solar in your home.
[03:40:27.571 --> 03:40:30.152]  That's one way to get out of the system a little bit.
[03:40:30.172 --> 03:40:31.813]  Because they have to centralize everything.
[03:40:31.833 --> 03:40:32.113]  Oh, they do.
[03:40:32.133 --> 03:40:33.333]  That's why they want the big projects.
[03:40:33.353 --> 03:40:35.054]  They don't want you decentralized like that.
[03:40:35.234 --> 03:40:35.674]  Exactly.
[03:40:35.714 --> 03:40:38.696]  So go to InfoWarsStore.com and check out our storable foods.
[03:40:38.736 --> 03:40:42.379]  And if you don't have a water filter at this point in your life, you are crazy.
[03:40:42.479 --> 03:40:47.382]  If you think Flint, Michigan is the only place that has bad water, you got another thing coming.
[03:40:47.402 --> 03:40:50.464]  You should get your water tested and you should be filtering your water anyway.
[03:40:50.744 --> 03:40:52.004]  Just especially if you have kids.
[03:40:52.405 --> 03:40:55.206]  You don't want these heavy metals and stuff that are in the water.
[03:40:55.287 --> 03:40:56.607]  All the pharmaceuticals.
[03:40:57.088 --> 03:41:02.111]  I mean, there's so much pharmaceuticals in the water now, they're turning the frogs from male to female.
[03:41:02.631 --> 03:41:04.033]  I mean, there's a lot going on.
[03:41:04.153 --> 03:41:09.760]  We just got a notification, Rob, from North Carolina, where we used to live, saying, you know, hey, the water's going to look really bad.
[03:41:09.820 --> 03:41:10.762]  It's going to smell really bad.
[03:41:10.782 --> 03:41:12.083]  But don't worry, it's just cosmetic.
[03:41:12.103 --> 03:41:12.544]  Yeah, it's OK.
[03:41:12.564 --> 03:41:14.186]  Otherwise, it's safe to drink it.
[03:41:14.266 --> 03:41:15.207]  And it's like, yeah, right.
[03:41:15.908 --> 03:41:19.713]  And the worst part is when they put stuff in there that you can't taste.
[03:41:19.893 --> 03:41:21.354]  And you don't know what's in there, okay?
[03:41:21.374 --> 03:41:23.114]  Like fluoride, like lead, these other things.
[03:41:23.395 --> 03:41:26.696]  You didn't know about the lead in Flint, Michigan until it had gone on quite some time.
[03:41:26.736 --> 03:41:30.117]  And your kids are exhibiting very severe symptoms.
[03:41:30.137 --> 03:41:32.298]  They say, what's the matter with them?
[03:41:32.338 --> 03:41:34.799]  Fluoride turns you into a violent person.
[03:41:35.300 --> 03:41:36.920]  And they've done studies on this.
[03:41:37.681 --> 03:41:42.543]  And fluoride has the same effects that lead does in a person.
[03:41:43.303 --> 03:41:43.823]  So there you go.
[03:41:43.863 --> 03:41:44.564]  It's neurological.
[03:41:44.584 --> 03:41:46.825]  They've already, they've done studies on that out of Harvard.
[03:41:47.266 --> 03:41:48.146]  David, thanks for joining us.
[03:41:48.166 --> 03:41:50.448]  We're going to bring in Joe Biggs, but let me tell you something, people.
[03:41:50.888 --> 03:41:58.393]  You are crazy if you're not getting prepared with storable food and water and some of the nutraceuticals we have, especially the iodine.
[03:41:58.873 --> 03:42:00.695]  You know, you have to get prepared.
[03:42:01.035 --> 03:42:03.897]  Now, I want to bring Joe Biggs in here to talk about this story here.
[03:42:03.917 --> 03:42:05.518]  So go to Infowarsstore.com, by the way.
[03:42:05.618 --> 03:42:07.779]  We have also a 10% off survival shield.
[03:42:07.960 --> 03:42:09.340]  Act now for a limited time only.
[03:42:09.801 --> 03:42:11.602]  And 30 to 40% off of the storable food.
[03:42:11.642 --> 03:42:13.043]  You're crazy if you don't get in on that deal.
[03:42:13.943 --> 03:42:15.404]  This is Fox News Latino.
[03:42:15.944 --> 03:42:21.866]  Oakland, California police cancel Cinco de Mayo DUI checkpoints after outcry.
[03:42:22.286 --> 03:42:23.746]  So, hey, guess what that means?
[03:42:23.906 --> 03:42:25.107]  Go out and get drunk in Oakland.
[03:42:25.207 --> 03:42:25.707]  It's okay.
[03:42:25.887 --> 03:42:27.167]  Nobody's going to be checking you.
[03:42:27.688 --> 03:42:30.709]  And I'm against DUI checkpoints, especially the blood draws where they do this.
[03:42:31.109 --> 03:42:38.491]  But then saying we're not going to even put them up now because this is a Hispanic holiday, even though they don't even really celebrate it in Mexico.
[03:42:38.551 --> 03:42:41.372]  This is sort of like an American Corona holiday.
[03:42:41.832 --> 03:43:00.279]  Well it's because they said Fiesta Time or Jail Times and that was so offensive to all these people out there in Oakland where they got on their Facebook pages and they band together to make sure that this didn't happen because it's horrible to stop these guys from getting
[03:43:01.039 --> 03:43:08.323]  Smashed on tequila all day and going out and then driving and running over some innocent bystanding family walking down the street.
