[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[02:35:59.290 --> 02:36:08.658]  And again, we saw with the polls, and this is something we predicted all along the way, were people telling the pollsters that they were going to vote for Clinton or that they weren't going to vote for Trump?
[02:36:09.418 --> 02:36:22.542]  Simply to avoid that social ostracization that was very apparent over the past several months that if you supported Trump you were a bigot, you were a racist, you were basically trash, you were basically scum.
[02:36:22.962 --> 02:36:24.662]  That's exactly what transpired.
[02:36:24.722 --> 02:36:26.363]  We were completely correct in that.
[02:36:26.963 --> 02:36:30.947]  People weren't telling the pollsters what they were thinking, how they were going to vote.
[02:36:31.427 --> 02:36:33.089]  The polls have been completely debunked.
[02:36:33.409 --> 02:36:34.770]  They've got no credibility.
[02:36:34.830 --> 02:36:36.252]  The same thing happened with Brexit.
[02:36:36.712 --> 02:36:44.199]  And then the other angle of it, as you said, is when will the left look in the mirror and realize... Hey Paul, sorry to cut in, this is Nico.
[02:36:44.279 --> 02:36:49.244]  Tim Kaine is speaking ahead of Hillary Clinton's concession speech and we have the feed ready to go to.
[02:36:49.264 --> 02:36:52.547]  Let me just say, this will be a day long remembered.
[02:36:54.778 --> 02:36:57.681]  I want to thank Hillary Clinton for asking Anne and I to join this wild ride.
[02:36:57.701 --> 02:37:01.505]  About a week before she asked if I would be her running mate,
[02:37:18.320 --> 02:37:33.281]  And I went up to Westchester and we sat down with Hillary and Bill and with Chelsea and Mark and with Charlotte and Aiden for about three hours of conversation to try to determine whether we would be the right people to be on the ticket and when we got
[02:37:33.881 --> 02:37:44.568]  In the car to head back to the airport after the three-hour discussion, I said to Anne, Honey, I don't know whether we're going to be on this ticket or not, but I do know this, we're going to remember that three hours for the rest of our life.
[02:37:45.049 --> 02:37:52.674]  And now we will remember 105 days that we've had with this fantastic couple of public servants and all of you for the rest of our life.
[02:37:53.614 --> 02:37:59.238]  I'll just say this, Hillary and I know well the wisdom and the words of William Faulkner.
[02:37:59.518 --> 02:38:01.960]  He said, they killed us, but they ain't whooped us yet.
[02:38:03.301 --> 02:38:03.981]  They killed us.
[02:38:05.082 --> 02:38:05.782]  They killed us.
[02:38:07.262 --> 02:38:09.103]  But they ain't whooped us yet.
[02:38:10.603 --> 02:38:20.646]  Because... Because... Because we know... We know that the work remains.
[02:38:22.446 --> 02:38:24.967]  We know that...
[02:38:26.033 --> 02:38:47.545]  The dreams of empowering families and children remain, and in that work, that important work that we have to do as a nation, it is so comforting, even at a tough time, to know that Hillary Clinton is somebody, until her very last breath, is going to be battling for the values that make this nation great, and the values that we care so deeply about.
[02:38:47.585 --> 02:38:51.648]  So now, please join me in welcoming Secretary Hillary Rodham Clinton.
[02:39:21.203 --> 02:39:21.443]  Thank you.
[02:39:21.503 --> 02:39:21.824]  Thank you all.
[02:39:21.884 --> 02:39:22.124]  Thank you.
[02:39:22.144 --> 02:39:22.724]  Thank you all very much.
[02:39:22.744 --> 02:39:22.925]  Thank you.
[02:39:48.934 --> 02:39:49.715]  Thank you.
[02:39:49.995 --> 02:39:51.216]  Thank you so much.
[02:39:51.236 --> 02:39:57.680]  Very rowdy group.
[02:40:02.203 --> 02:40:03.283]  Thank you, my friends.
[02:40:03.424 --> 02:40:03.984]  Thank you.
[02:40:04.724 --> 02:40:05.365]  Thank you.
[02:40:06.025 --> 02:40:08.907]  Thank you so very much for being here.
[02:40:09.507 --> 02:40:10.968]  And I love you all, too.
[02:40:12.988 --> 02:40:18.932]  Last night I congratulated Donald Trump and offered to work with him on behalf of our country.
[02:40:19.893 --> 02:40:24.937]  I hope that he will be a successful president for all Americans.
[02:40:26.137 --> 02:40:38.307]  This is not the outcome we wanted or we worked so hard for and I'm sorry that we did not win this election for the values we share and the vision we hold for our country.
[02:40:39.067 --> 02:40:39.808]  But I feel
[02:40:41.750 --> 02:40:47.432]  I feel pride and gratitude for this wonderful campaign that we built together.
[02:40:47.452 --> 02:40:54.155]  This vast, diverse, creative, unruly, energized campaign.
[02:40:55.055 --> 02:41:01.458]  You represent the best of America and being your candidate has been one of the greatest honors of my life.
[02:41:14.013 --> 02:41:20.042]  I know how disappointed you feel because I feel it too.
[02:41:21.354 --> 02:41:27.598]  And so do tens of millions of Americans who invested their hopes and dreams in this effort.
[02:41:28.579 --> 02:41:32.162]  This is painful, and it will be for a long time.
[02:41:33.082 --> 02:41:34.583]  But I want you to remember this.
[02:41:35.544 --> 02:41:40.467]  Our campaign was never about one person or even one election.
[02:41:41.468 --> 02:41:49.193]  It was about the country we love, and about building an America that's hopeful, inclusive, and big-hearted.
[02:41:50.274 --> 02:41:55.236]  We have seen that our nation is more divided than we thought.
[02:41:56.237 --> 02:41:59.719]  But I still believe in America and I always will.
[02:42:00.719 --> 02:42:06.122]  And if you do, then we must accept this result and then look to the future.
[02:42:06.982 --> 02:42:09.503]  Donald Trump is going to be our president.
[02:42:10.123 --> 02:42:13.605]  We owe him an open mind and the chance to lead.
[02:42:14.585 --> 02:42:17.407]  Our constitutional democracy enshrines
[02:42:18.038 --> 02:42:20.159]  The peaceful transfer of power.
[02:42:21.160 --> 02:42:22.701]  And we don't just respect that.
[02:42:23.341 --> 02:42:24.202]  We cherish it.
[02:42:25.123 --> 02:42:27.124]  It also enshrines other things.
[02:42:27.904 --> 02:42:28.705]  The rule of law.
[02:42:29.625 --> 02:42:33.528]  The principle that we are all equal in rights and dignity.
[02:42:34.248 --> 02:42:36.690]  Freedom of worship and expression.
[02:42:37.510 --> 02:42:40.812]  We respect and cherish these values too.
[02:42:41.373 --> 02:42:42.794]  And we must defend them.
[02:42:57.121 --> 02:43:02.703]  And let me add, our constitutional democracy demands our participation.
[02:43:03.203 --> 02:43:06.184]  Not just every four years, but all the time.
[02:43:07.264 --> 02:43:13.547]  So let's do all we can to keep advancing the causes and values we all hold dear.
[02:43:14.631 --> 02:43:18.314]  Making our economy work for everyone, not just those at the top.
[02:43:18.934 --> 02:43:22.337]  Protecting our country and protecting our planet.
[02:43:22.997 --> 02:43:28.482]  And breaking down all the barriers that hold any American back from achieving their dreams.
[02:43:29.562 --> 02:43:30.803]  We've spent a year and a half
[02:43:31.664 --> 02:43:43.033]  Bringing together millions of people from every corner of our country to say with one voice that we believe that the American Dream is big enough for everyone.
[02:43:43.454 --> 02:43:53.001]  For people of all races and religions, for men and women, for immigrants, for LGBT people, and people with disabilities.
[02:43:53.101 --> 02:43:54.523]  For everyone.
[02:44:08.112 --> 02:44:19.477]  So now, our responsibility as citizens is to keep doing our part to build that better, stronger, fairer America we seek.
[02:44:20.137 --> 02:44:21.357]  And I know you will.
[02:44:22.538 --> 02:44:25.179]  I am so grateful to stand with all of you.
[02:44:25.199 --> 02:44:32.442]  I want to thank Tim Kaine and Ann Holton for being our partners on this journey.
[02:44:39.935 --> 02:44:53.080]  It has been a joy getting to know them better, and it gives me great hope and comfort to know that Tim will remain on the front lines of our democracy, representing Virginia in the Senate.
[02:45:01.844 --> 02:45:08.827]  To Barack and Michelle Obama, our country owes you an enormous debt of gratitude.
[02:45:28.751 --> 02:45:40.875]  We thank you for your graceful, determined leadership that has meant so much to so many Americans and people across the world.
[02:45:42.275 --> 02:45:43.836]  And to Bill and Chelsea,
[02:45:44.921 --> 02:45:54.146]  Mark, Charlotte, Aiden, our brothers and our entire family, my love for you means more than I can ever express.
[02:45:55.146 --> 02:46:01.530]  You crisscrossed this country on our behalf and lifted me up when I needed it most.
[02:46:01.810 --> 02:46:05.392]  Even four-month-old Aiden, who traveled with his mom.
[02:46:06.593 --> 02:46:10.575]  I will always be grateful to the creative,
[02:46:11.570 --> 02:46:19.421]  Talented, dedicated men and women at our headquarters in Brooklyn and across our country.
[02:46:33.357 --> 02:46:36.099]  You poured your hearts into this campaign.
[02:46:36.159 --> 02:46:42.702]  For some of you who are veterans, it was a campaign after you had done other campaigns.
[02:46:42.802 --> 02:46:45.024]  Some of you, it was your first campaign.
[02:46:45.644 --> 02:46:53.849]  I want each of you to know that you were the best campaign anybody could have ever expected or wanted.
[02:47:00.976 --> 02:47:17.360]  And to the millions of volunteers, community leaders, activists, and union organizers who knocked on doors, talked to neighbors, posted on Facebook, even in secret private Facebook sites.
[02:47:20.781 --> 02:47:26.463]  I want everybody coming out from behind that and make sure your voices are heard going forward.
[02:47:34.622 --> 02:47:41.367]  To everyone who sent in contributions as small as $5 and kept us going, thank you.
[02:47:41.627 --> 02:47:42.888]  Thank you from all of us.
[02:47:43.649 --> 02:47:48.092]  And to the young people in particular, I hope you will hear this.
[02:47:49.213 --> 02:47:55.358]  I have, as Tim said, spent my entire adult life fighting for what I believe in.
[02:47:56.379 --> 02:47:58.901]  I've had successes and I've had setbacks.
[02:47:59.601 --> 02:48:01.503]  Sometimes really painful ones.
[02:48:02.933 --> 02:48:09.059]  Many of you are at the beginning of your professional, public, and political careers.
[02:48:09.980 --> 02:48:12.803]  You will have successes and setbacks too.
[02:48:13.824 --> 02:48:14.825]  This loss hurts.
[02:48:15.686 --> 02:48:22.373]  But please, never stop believing that fighting for what's right is worth it.
[02:48:46.753 --> 02:48:47.213]  It is.
[02:48:47.814 --> 02:48:50.776]  It is worth it.
[02:48:51.857 --> 02:48:59.243]  And so, we need you to keep up these fights now and for the rest of your lives.
[02:49:00.684 --> 02:49:14.335]  And to all the women, and especially the young women, who put their faith in this campaign and in me, I want you to know that nothing has made me prouder than to be your champion.
[02:49:35.527 --> 02:49:57.972]  I know, I know we have still not shattered that highest and hardest glass ceiling, but someday someone will, and hopefully sooner than we might think right now.
[02:50:00.633 --> 02:50:03.694]  And to all the little girls who are watching this,
[02:50:04.844 --> 02:50:18.073]  Never doubt that you are valuable and powerful and deserving of every chance and opportunity in the world to pursue and achieve your own dreams.
[02:50:27.740 --> 02:50:30.402]  Finally, I am so grateful for
[02:50:31.852 --> 02:50:34.794]  Our country and for all it has given to me.
[02:50:36.155 --> 02:50:40.859]  I count my blessings every single day that I am an American.
[02:50:41.840 --> 02:50:59.734]  And I still believe, as deeply as I ever have, that if we stand together and work together, with respect for our differences, strength in our convictions, and love for this nation, our best days are still ahead of us.
[02:51:10.436 --> 02:51:17.349]  Because you know, you know I believe we are stronger together and we will go forward together.
[02:51:19.105 --> 02:51:23.146]  And you should never, ever regret fighting for that.
[02:51:23.166 --> 02:51:33.409]  You know, scripture tells us, let us not grow weary in doing good, for in due season we shall reap if we do not lose heart.
[02:51:34.069 --> 02:51:36.850]  So my friends, let us have faith in each other.
[02:51:37.490 --> 02:51:38.970]  Let us not grow weary.
[02:51:39.110 --> 02:51:40.411]  Let us not lose heart.
[02:51:40.911 --> 02:51:45.052]  For there are more seasons to come, and there is more work to do.
[02:51:46.013 --> 02:51:55.261]  I am incredibly honored and grateful to have had this chance to represent all of you in this consequential election.
[02:51:55.321 --> 02:51:58.765]  May God bless you and may God bless the United States of America!
[02:52:04.184 --> 02:52:08.726]  There goes sick Hillary Clinton with Bill Clinton chewing his tongue again behind her.
[02:52:09.146 --> 02:52:11.447]  That was not a concession speech, okay?
[02:52:11.807 --> 02:52:14.608]  That was an angry admonishment of Donald Trump.
