[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[03:18:52.565 --> 03:19:01.893]  It's literally, you know, 99.5% Muslim, even though Syria, if you were doing it on that basis, you know, around 10% would be Christian, just on a neutral basis.
[03:19:03.034 --> 03:19:04.635]  Yes, it's closer to 20.
[03:19:05.115 --> 03:19:10.017]  So you've got the guy involved in the Istanbul bombing being a refugee protected by the EU.
[03:19:10.358 --> 03:19:19.702]  Now the US is importing these people and they seem to be deliberately importing Muslims over Christians while refusing to even mention the term Islamic terrorism.
[03:19:20.322 --> 03:19:28.186]  By the way, if I see some guy in one of these Santa Claus outfits refusing a blind person a ride because they got a seeing eye dog, I'm going to get mad.
[03:19:28.526 --> 03:19:33.148]  At a certain point, you know, once we get enough Muslims in the country, they start blowing stuff up to make us submit to them.
[03:19:34.388 --> 03:19:37.850]  But again, the leftists hate America so much, they love it, man!
[03:19:38.470 --> 03:19:39.430]  God Almighty!
[03:19:39.751 --> 03:19:42.452]  The spoiled brats, Paul!
[03:19:43.507 --> 03:19:45.632]  Well you shot a video about America's greatest country in history.
[03:19:45.852 --> 03:19:47.296]  It has been the greatest country in history.
[03:19:47.496 --> 03:19:52.227]  Doesn't mean we're not mad at a bunch of stuff that's going on, but we don't just have it out for the country.
[03:19:53.958 --> 03:19:57.020]  And all these people that hate it, man, get your asses out!
[03:19:57.460 --> 03:19:58.761]  Get the hell out!
[03:19:58.821 --> 03:19:59.382]  I'm sorry!
[03:19:59.402 --> 03:20:14.591]  I mean, I look at one more slack-jawed, white, yuppie, 25-year-old, with a thousand-dollar, you know, fancy iPhone, pulling up in a fancy car their parents gave them, in a Mercedes, wearing a Bernie Sanders shirt, I mean, I just, I just cannot handle it, man!
[03:20:15.812 --> 03:20:19.174]  You know how many people I see driving around in fancy cars with Bernie Sanders stickers, Paul?
[03:20:20.609 --> 03:20:21.550]  I mean, I have had it with you.
[03:20:21.811 --> 03:20:27.058]  Communist countries and socialist countries can't even manufacture cars, dumbass!
[03:20:27.478 --> 03:20:28.960]  Look at Cuba, dumbass!
[03:20:29.181 --> 03:20:31.544]  They can't make a car, you stupid idiots!
[03:20:32.065 --> 03:20:33.066]  Look at North Korea!
[03:20:33.166 --> 03:20:34.088]  Sorry, Paul, go ahead.
[03:20:35.230 --> 03:20:40.155]  Look at Venezuela, they have to have signs on the trucks saying there's no food in it so it doesn't get looted.
[03:20:40.195 --> 03:20:42.978]  I mean, fantastic, again, benefits of socialism.
[03:20:43.419 --> 03:20:48.644]  But the left is aligned with Islamists, because as you said, they both hate America.
[03:20:49.025 --> 03:20:50.807]  This is not just a cliche, it's true.
[03:20:50.867 --> 03:20:53.549]  This is why ISIS in its own manifesto say
[03:20:54.170 --> 03:21:01.334]  That we're going to go out and hire leftists, radicalize them, and give them weapons because we broadly share the same goal.
[03:21:01.775 --> 03:21:04.756]  And that goal is to tear down the existing structure.
[03:21:05.057 --> 03:21:08.559]  Whether it's good or bad, it's to tear down the status quo.
[03:21:08.579 --> 03:21:11.480]  That means your constitutional rights in the process.
[03:21:11.501 --> 03:21:12.461]  And I've got news for you.
[03:21:12.641 --> 03:21:15.203]  The only structure that works is free market dummies.
[03:21:15.743 --> 03:21:20.186]  We lose this, the carrying capacity falls, we're going to have billions that starve to death, you morons.
[03:21:21.343 --> 03:21:22.584]  That's what they want to remove.
[03:21:23.085 --> 03:21:27.330]  It goes back to the Frankfurt School, which of course created political correctness.
[03:21:27.610 --> 03:21:29.012]  It goes back to Marxism.
[03:21:29.393 --> 03:21:38.583]  It goes back to this idea of critical theory and Saul Alinsky, where they just want to tear down absolutely everything in this kind of nihilist purge.
[03:21:39.164 --> 03:21:41.345]  And socialists want to do that, so do Islamists.
[03:21:41.446 --> 03:21:43.447]  That's why they feed off of each other.
[03:21:43.847 --> 03:21:49.831]  That's why socialists and liberals defend Islamists, because again, they broadly share the same goals.
[03:21:49.891 --> 03:21:55.035]  And now ISIS has actually recognized this, and is going out and trying to hire these people.
[03:21:55.055 --> 03:21:58.857]  Wow, man, I knew that was... Well, there's the headline, ISIS admits alliance with the left.
[03:22:00.438 --> 03:22:01.939]  Wow, is there a story on this?
[03:22:01.959 --> 03:22:02.760]  This is sensational.
[03:22:02.780 --> 03:22:07.143]  Yeah, I mean, I wrote the story months ago, and this is all... Let's put it out again.
[03:22:07.163 --> 03:22:08.624]  People need to know this, because I'm telling you, man,
[03:22:09.645 --> 03:22:10.205]  Here's the deal.
[03:22:10.245 --> 03:22:14.871]  Disliking problems in America and crony capitalism is good and should be done.
[03:22:15.892 --> 03:22:19.296]  But I'm telling you, socialists and globalists are going to deliver us into hell.
[03:22:19.636 --> 03:22:22.860]  They are not the answer to reforming the West even more.
[03:22:23.201 --> 03:22:25.544]  We want to get better, not go back to this.
[03:22:27.691 --> 03:22:28.331]  No, exactly.
[03:22:28.351 --> 03:22:33.916]  And the other issue with this election coming up, again, they could get some radical leftists.
[03:22:34.016 --> 03:22:37.999]  We've already seen people jumping up on the stage trying to attack Trump.
[03:22:38.579 --> 03:22:42.362]  We've seen an assassination attempt against Trump just a few weeks ago.
[03:22:42.802 --> 03:22:45.583]  Got barely any media attention whatsoever.
[03:22:45.623 --> 03:22:49.504]  This guy tries to grab an officer's gun, go up and shoot Trump in the head.
[03:22:49.905 --> 03:22:52.866]  The story was buried within 48 hours.
[03:22:52.926 --> 03:22:56.767]  If someone did that at, you know, a Hillary event, it would be in the news for three weeks.
[03:22:56.827 --> 03:23:01.489]  Dangerous, right-wing, radical Republicans trying to kill Hillary Clinton.
[03:23:01.929 --> 03:23:04.890]  Trump has had numerous assassination attempts.
[03:23:04.930 --> 03:23:07.791]  That's why he wears a bulletproof vest at every public event.
[03:23:07.831 --> 03:23:10.612]  That's why he doesn't button his suit top up.
[03:23:11.132 --> 03:23:13.093]  And again, the media doesn't talk about it.
[03:23:13.574 --> 03:23:18.877]  The other issue that's bubbling under the surface, which I'm going to write an article about, is Facebook.
[03:23:19.057 --> 03:23:31.665]  There's now speculation from experts that Facebook is going to manipulate their feed, their algorithm, on the day of the election to encourage certain people within democratic districts to go out and vote, because of course there are
[03:23:32.485 --> 03:23:34.988]  You know, if there's a low turnout, they need to encourage that.
[03:23:35.409 --> 03:23:44.320]  They're now powerful enough, and we've covered the stories before, Facebook has done tests, studies, experiments on the general public to manipulate their emotions.
[03:23:44.820 --> 03:23:49.506]  Facebook is now more powerful than a lot of countries even in the Western world.
[03:23:49.546 --> 03:23:51.048]  And Zuckerberg is the dictator of it.
[03:23:51.789 --> 03:23:59.458]  And they're talking about using that algorithm to manipulate people on the day of the presidential election to go out and vote for Hillary Clinton.
[03:23:59.698 --> 03:24:04.603]  This is not me saying it, this is a top author, an expert, so we're going to have that story coming up as well.
[03:24:04.623 --> 03:24:06.966]  Alright, I want to go to two calls that have been holding super long.
[03:24:06.986 --> 03:24:08.467]  I'm going to hand the baton to you, Paul Watson.
[03:24:09.614 --> 03:24:12.415]  All I can say is, folks, you want to be part of history.
[03:24:12.835 --> 03:24:14.636]  Spread the video and audio links today.
[03:24:14.756 --> 03:24:17.097]  Spread the link to Infowars.com forward slash show.
[03:24:18.317 --> 03:24:19.558]  Support our local stations.
[03:24:19.858 --> 03:24:21.098]  Thank them for carrying the show.
[03:24:21.959 --> 03:24:25.020]  It's your support that ends up getting us moving from the weekend to weeknights to live.
[03:24:25.120 --> 03:24:28.801]  Most stations end up moving us to live because they get the support, the ratings, and things they need.
[03:24:29.141 --> 03:24:30.522]  We're winning in the Infowar.
[03:24:30.902 --> 03:24:33.944]  The Globalists want to overthrow that because they can't beat us fair and square.
[03:24:34.405 --> 03:24:36.406]  So, don't take this show for granted.
[03:24:36.426 --> 03:24:39.068]  I tell myself that every night when I go to bed and every day when I get up.
[03:24:39.348 --> 03:24:40.209]  Work hard today.
[03:24:40.229 --> 03:24:42.731]  Be as absolutely hardcore as you can.
[03:24:43.111 --> 03:24:44.352]  Bust your ass, Jones.
[03:24:44.732 --> 03:24:45.633]  Don't play games.
[03:24:45.713 --> 03:24:46.474]  This is history.
[03:24:46.734 --> 03:24:49.356]  You're betting your life, your treasure, your sacred honor on this.
[03:24:49.796 --> 03:24:50.897]  You better kick butt.
[03:24:51.377 --> 03:24:51.597]  Okay?
[03:24:51.617 --> 03:24:54.299]  I mean, I am in my face every day like a drill sergeant.
[03:24:55.180 --> 03:24:57.861]  And all I'm asking you is to realize this is history happening right now.
[03:24:57.921 --> 03:24:58.722]  This isn't a game.
[03:24:59.162 --> 03:25:03.104]  And we will beat these people as our ancestors have beaten parasites and collectivists before.
[03:25:03.884 --> 03:25:04.844]  But it's going to be rough.
[03:25:06.425 --> 03:25:09.767]  And if we don't fight hard, folks, it's going to get really bad before it gets better.
[03:25:10.227 --> 03:25:11.868]  Because they'll always destroy themselves in the end.
[03:25:11.908 --> 03:25:15.910]  But my God, with the weapons we've got and things like that now, we do not want to go down this road.
[03:25:15.930 --> 03:25:16.750]  This is historic.
[03:25:16.950 --> 03:25:17.790]  This is dangerous.
[03:25:18.071 --> 03:25:19.371]  But we're winning major battles.
[03:25:19.391 --> 03:25:20.292]  We're starting to win the war.
[03:25:20.652 --> 03:25:22.793]  Look at the British situation and the Brexit.
[03:25:23.673 --> 03:25:26.835]  All I'm saying is spread the word about the broadcast today.
[03:25:27.415 --> 03:25:28.296]  Send those links out.
[03:25:28.316 --> 03:25:32.758]  The power of you, the activists of this transmission, you're the reason it's spreading so fast already.
[03:25:33.218 --> 03:25:34.159]  And the great team we've got.
[03:25:34.199 --> 03:25:35.600]  It works together like a horse and carriage.
[03:25:35.640 --> 03:25:37.941]  But you are 99% of the power.
[03:25:38.701 --> 03:25:39.842]  We're just the detonator.
[03:25:40.522 --> 03:25:41.583]  You are the explosive.
[03:25:42.751 --> 03:25:46.053]  Infowars is the detonator, you are the explosive.
[03:25:46.814 --> 03:25:50.736]  And then you're also the detonator to detonate the explosive in your area.
[03:25:51.096 --> 03:25:52.677]  So you're the explosive and the detonator.
[03:25:52.757 --> 03:25:53.638]  You are everything.
[03:25:54.278 --> 03:25:58.260]  And we need you to detonate information warfare weapons of truth in your area.
[03:25:58.521 --> 03:25:59.561]  People are ready to hear the truth.
[03:25:59.581 --> 03:26:00.622]  We need you to detonate.
[03:26:01.522 --> 03:26:08.527]  If you're an engineer and have the skills, and there's no local affiliate, Micro FM, AM, UHF, VHF, don't play games.
[03:26:09.465 --> 03:26:10.646]  Whatever you gotta do, folks.
[03:26:11.666 --> 03:26:12.707]  We're not playing around.
[03:26:12.767 --> 03:26:14.148]  We gotta get hardcore.
[03:26:14.728 --> 03:26:19.791]  I launched a movement of micro-FMs back in the mid-90s that I know got thousands of stations put up.
[03:26:20.751 --> 03:26:22.792]  So, we're ready.
[03:26:23.193 --> 03:26:26.975]  We're ready to fight the info war because that's affecting the future battle space.
[03:26:27.015 --> 03:26:28.816]  That's almost all of war today.
[03:26:28.856 --> 03:26:30.056]  The Pentagon says it's informational.
[03:26:31.177 --> 03:26:35.339]  The average person at the Pentagon is awake, rooting for us, but commanded by enemy globalists.
[03:26:36.500 --> 03:26:36.840]  Literally.
[03:26:38.479 --> 03:26:39.880]  This is historic, what's happening.
[03:26:39.920 --> 03:26:40.820]  You are the resistance.
[03:26:41.140 --> 03:26:45.422]  That isn't some rhetoric, you know, like, oh, I'm the resistance, you know.
[03:26:45.582 --> 03:26:47.063]  You're beginning to see, this is real.
[03:26:47.383 --> 03:26:50.604]  When I say from deep behind enemy lines in occupied North America, I'm not playing around.
