[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[03:13:13.062 --> 03:13:15.102]  And I'm sorry, I'm giving you the title of this book.
[03:13:15.997 --> 03:13:43.799]  in just a minute but let me read you the quote and this is from Gavin Morgan is the name of the psychologist and he stated clearly using fear as a means of control is not ethical using fear smacks of totalitarianism it's not an ethical stance for any modern government by nature I'm an optimistic person but all this has given me a more pessimistic view of people and there were several other
[03:13:44.764 --> 03:14:13.963]  Whistleblowers that contributed and with similar sentiments and essentially what we're saying here is that there is a government dictated strategy to generate fear among their population in order that they will trade that fear for safety and go along and be compliant with all of these measures that are not in their best interest even when these measures result in direct harm to themselves, economic harm, social harm, etc.
[03:14:15.069 --> 03:14:32.255]  And this brings me to discussing more general what is the overall technique to prepare a population in order to be manipulated with the hypnotic techniques that my guest is going to describe coming up.
[03:14:32.255 --> 03:14:42.678]  And there seem to be three facets that are talked about in much of the literature and you can find this in the writings of Mir Lou as well as Jacques Ellul who wrote on propaganda.
[03:14:43.562 --> 03:14:54.709]  And more recently, there is a professor of psychology who was interviewed by Rainer Fulmisch, I believe the name is Mespeth, who talked about this.
[03:14:54.709 --> 03:14:58.731]  And these three conditions are, firstly, isolation.
[03:14:58.731 --> 03:15:05.655]  And this is really important to cut people off from their normal social contacts.
[03:15:05.655 --> 03:15:09.618]  The second aspect is create a state of confusion.
[03:15:10.347 --> 03:15:18.351]  Where there are changing rules and instructions, repetitive slogans that seep into the conscious awareness.
[03:15:18.351 --> 03:15:33.239]  And the third aspect is to create a general state of dysphoria or anxiety or of disenfranchisement among the people and especially if it's a general state and doesn't have a specific cause.
[03:15:33.239 --> 03:15:39.322]  Because then you're able to introduce a cause of this distress along with a strategic solution
[03:15:39.895 --> 03:15:42.916]  What if you could cut your heating bills this winter with your
[03:16:00.060 --> 03:16:03.883]  You can make your existing wood burning fireplace and not spend thousands doing it.
[03:16:03.883 --> 03:16:06.845]  You can with Great Wall of Fire Fireplace Grates.
[03:16:06.845 --> 03:16:07.305]  Our U.S.
[03:16:07.305 --> 03:16:15.431]  patented made in America wall of fire grates increase fireplace efficiency, eliminate fireplace smoke problems and come with a 30 day money back guarantee.
[03:16:15.431 --> 03:16:20.635]  See our grates in action and get free shipping from wall of fire .com or call 800 2 7 4 7 3 6 4 fireplace heat
[03:16:27.895 --> 03:16:28.716]  Hey, everybody.
[03:16:28.716 --> 03:16:31.958]  Confused about staying healthy in a crazy COVID culture?
[03:16:31.958 --> 03:16:32.719]  Me too.
[03:16:32.719 --> 03:16:39.825]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[03:16:39.825 --> 03:16:44.228]  It's that immune system health can literally be the difference between life and death.
[03:16:44.228 --> 03:16:46.130]  You probably already believe that.
[03:16:46.130 --> 03:16:47.130]  I certainly do.
[03:16:47.130 --> 03:16:48.071]  So here's the thing.
[03:16:48.071 --> 03:16:56.398]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[03:16:56.958 --> 03:17:02.382]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[03:17:02.382 --> 03:17:03.743]  No cures or treatments there.
[03:17:03.743 --> 03:17:12.969]  Instead, little-known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[03:17:12.969 --> 03:17:13.869]  And the best part?
[03:17:13.869 --> 03:17:20.594]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[03:17:20.594 --> 03:17:21.434]  Crazy, right?
[03:17:21.434 --> 03:17:25.417]  Learn more about this unusual limited-time offer at StrongerDefense.com.
[03:17:25.417 --> 03:17:26.618]  That's StrongerDefense.com.
[03:17:26.698 --> 03:17:28.999]  Hi, I'm Dan Pilla.
[03:17:28.999 --> 03:17:32.921]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:17:32.921 --> 03:17:34.462]  I sued the IRS and won.
[03:17:34.462 --> 03:17:37.424]  I beat the IRS then, and I've been beating them ever since.
[03:17:37.424 --> 03:17:42.627]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:17:42.967 --> 03:17:44.169]  I can help you too.
[03:17:44.169 --> 03:17:47.114]  If you owe taxes you can't pay, don't wait another day.
[03:17:47.114 --> 03:17:49.338]  There's no such thing as a hopeless tax case.
[03:17:49.338 --> 03:17:53.786]  Call 800-34-NO-TAX or go to my website, DanPilla.com.
[03:17:53.786 --> 03:17:55.488]  That's DanPilla.com.
[03:17:55.488 --> 03:17:56.130]  DanPilla.com.
[03:17:58.690 --> 03:18:02.434]  Not all vitamin and mineral supplements are equal.
[03:18:02.434 --> 03:18:03.535]  Many of them are synthetic.
[03:18:03.535 --> 03:18:05.497]  Many of them have fillers and additives.
[03:18:05.497 --> 03:18:08.501]  Many of them just pass right through the body and are not absorbed.
[03:18:08.501 --> 03:18:16.810]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[03:18:17.470 --> 03:18:19.871]  That is Vitamin Mineral Fusion.
[03:18:19.871 --> 03:18:21.572]  All the essential vitamins.
[03:18:21.572 --> 03:18:22.873]  All the essential minerals.
[03:18:22.873 --> 03:18:26.995]  A bunch of key amino acids to help it upload better into your body and your cells.
[03:18:26.995 --> 03:18:27.956]  It's in powder form.
[03:18:27.956 --> 03:18:29.136]  It's great for children.
[03:18:29.136 --> 03:18:30.057]  It's great for adults.
[03:18:30.057 --> 03:18:32.158]  It's really important for folks that are older.
[03:18:32.558 --> 03:18:37.102]  Because they don't absorb as well through their gut, so this liquid formula really, really does it.
[03:18:37.102 --> 03:18:44.788]  You mix up a pitcher of it every couple days, put it in the refrigerator, or keep it out in the kitchen, and just remember to drink it in the morning and in the evening.
[03:18:44.788 --> 03:18:50.973]  It tastes great, it makes your body healthy, it boosts your immune system, and it funds the InfoWar.
[03:18:50.973 --> 03:18:52.474]  A true 360 win.
[03:18:52.474 --> 03:18:57.118]  So Vitamin Mineral Fusion, sold out for months, is back in stock for a limited time.
[03:18:57.118 --> 03:18:58.079]  33% off infowarrestore.com.
[03:18:58.755 --> 03:19:05.177]  It is through our five senses that we are kept fascinated and hypnotized by the lies we are told.
[03:19:05.177 --> 03:19:12.560]  And the only way to see through this illusion is with our higher senses, which is why fluoridated water is a big problem.
[03:19:12.560 --> 03:19:19.423]  Consuming too much fluoride forms phosphate crystals around the pineal gland and shuts down its natural functions.
[03:19:19.423 --> 03:19:22.584]  Natural functions which have been known for millennia.
[03:19:22.584 --> 03:19:24.945]  The Hindu chakras align with the endocrine system.
[03:19:25.305 --> 03:19:31.447]  The chakra aligned with the pineal gland is the third eye, also described as the seat of the soul.
[03:19:31.447 --> 03:19:38.969]  The pineal gland is what connects us to higher levels of consciousness and otherwise unseen dimensions of reality.
[03:19:38.969 --> 03:19:43.970]  Fluoride-free water is essential to keeping our pineal gland healthy.
[03:19:43.970 --> 03:19:52.453]  Our water filtration systems, with the proper filters, will keep your drinking water fluoride-free, and the Pro-Pure showerhead will seal the deal.
[03:19:53.093 --> 03:20:10.228]  Get them both today for yourself or a friend at infowarestore.com You're listening to the Alex Jones Show!
[03:20:10.228 --> 03:20:15.892]  Alright!
[03:20:17.162 --> 03:20:20.205]  Hello and welcome back to the Alex Jones Show.
[03:20:20.205 --> 03:20:23.369]  I'm your host for this fourth hour, Dr. Andrew Kaufman.
[03:20:23.369 --> 03:20:35.161]  I want to remind people or essentially announce that I will be doing a live webinar this Saturday the 28th and you can find out more about that on True Medicine
[03:20:36.318 --> 03:20:37.719]  library.com.
[03:20:37.719 --> 03:20:38.980]  Sorry about that.
[03:20:38.980 --> 03:20:49.108]  That will be the inaugural live webinar, and it will be all question and answers about any topics related to the science of the pandemic, as well as natural healing.
[03:20:49.108 --> 03:20:51.750]  So I hope to see some of you there.
[03:20:51.750 --> 03:21:04.260]  Before the break, I was talking about mass hypnosis of our society in a way to get people to consent to the totalitarian takeover of our collective population.
[03:21:04.913 --> 03:21:11.519]  And I want to just point out two things before I introduce my guest, who's an expert in this area.
[03:21:11.519 --> 03:21:21.749]  And if we could bring up the slide on the TV, because television plays a central role and the mass media in the ability to manipulate society.
[03:21:21.749 --> 03:21:25.753]  And we can see from the studies of Krugman in the 1960s,
[03:21:27.406 --> 03:21:32.770]  That television actually puts the viewer into an alpha brainwave state.
[03:21:32.770 --> 03:21:38.274]  And what this means is that they are open to hypnotic suggestion.
[03:21:38.274 --> 03:21:50.743]  And the programming that follows, coming from only a few companies who repeat the same messages over and over again, is taken in much more saliently because of this hypnotic state.
[03:21:50.743 --> 03:21:52.484]  And if we could go to the next slide, please.
[03:21:53.104 --> 03:21:57.148]  I also want to point out that hypnosis is quite a powerful technique.
[03:21:57.148 --> 03:22:09.119]  In fact, it's so powerful that when someone is under hypnosis that you can cut into their flesh with a knife like through a surgical procedure and they will not feel it.
[03:22:09.119 --> 03:22:15.645]  And they've actually done hundreds of surgical procedures only with hypnosis and no other anesthesia.
[03:22:16.650 --> 03:22:31.166]  So, now that I've set the stage, I'd like to introduce today's guest, Michael Grady, who is a professional hypnotist and stage hypnotist, and also does therapy with people using neurolinguistic programming.
[03:22:31.166 --> 03:22:33.048]  So, Michael, welcome to the Alex Jones Show!
