[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[03:34:28.430 --> 03:34:30.232]  Well, there's one way you can.
[03:34:30.232 --> 03:34:38.601]  You can send this report, this PowerPoint by Dr. David Martin, to every state attorney general in the United States.
[03:34:38.601 --> 03:34:43.526]  And if they don't do something with it, Stu, technically they are complicit in a criminal conspiracy.
[03:34:43.526 --> 03:34:44.828]  Now, I wanted to finish.
[03:34:44.828 --> 03:34:46.189]  These crimes are important.
[03:34:46.189 --> 03:34:47.491]  These felonies are important.
[03:34:48.711 --> 03:34:51.232]  Really quick, the issue about vaccines.
[03:34:51.232 --> 03:34:57.153]  I'm getting increasingly frustrated and suspicious of any frontline doctors who call these things vaccines.
[03:34:57.153 --> 03:35:04.654]  Do not use the words that are keeping people complacent and encouraging them to keep going and getting in line and getting these.
[03:35:04.654 --> 03:35:06.074]  So I'm really getting frustrated with it.
[03:35:06.074 --> 03:35:07.375]  So stop it.
[03:35:07.375 --> 03:35:14.916]  Okay, so on to one of our conspiring to criminal commercial activity.
[03:35:15.396 --> 03:35:21.138]  I don't know if people understand this or not, but there's been a lot of market manipulation and allocation going on here.
[03:35:21.138 --> 03:35:28.159]  Moderna was originally funded 22 years ago under some kind of a company called the Darwinian Associates, right?
[03:35:28.159 --> 03:35:29.580]  Sound familiar and scary?
[03:35:29.580 --> 03:35:30.060]  Yeah.
[03:35:30.060 --> 03:35:42.123]  And so what happened is, now all of a sudden, they're making money and they've got this vaccine that was handed to them by Fauci and UNC, and here their chief medical officer
[03:35:42.523 --> 03:35:51.788]  He's been going around bragging and touting that they are going to reset the operating system of life.
[03:35:51.788 --> 03:35:59.272]  This is a bioweapon, an mRNA bioweapon, that writes into the DNA of life, he said.
[03:35:59.272 --> 03:36:04.155]  And there's documentation that says this is for an extinction event of life.
[03:36:04.155 --> 03:36:06.316]  And I want to just add one other thing, Stu.
[03:36:06.316 --> 03:36:07.397]  I'm holding in my hand
[03:36:08.263 --> 03:36:22.648]  Fauci's December 4th, 2019 testimony to the House Committee on Energy and Commerce, the Subcommittee on Oversight and Investigations, where he says what I read before, but I want to highlight.
[03:36:22.648 --> 03:36:25.489]  Self-assembling nanoparticles?
[03:36:25.489 --> 03:36:27.730]  I thought that was a conspiracy, tinfoil hat!
[03:36:28.467 --> 03:36:34.835]  Fauci himself is clarifying the EO that was shoved under President Trump's nose back in September of 2019.
[03:36:34.835 --> 03:36:40.722]  So I think it's really important to know that it's not only Fauci, by the way.
[03:36:40.722 --> 03:36:46.389]  When you go to see this presentation by Dr. Martin, you're going to see names of some people like Bill Gates,
[03:36:46.949 --> 03:36:47.429]  We're good.
[03:37:11.301 --> 03:37:20.844]  You are making them aware of a criminal conspiracy and felonies committed against the people of the United States in an act of mass terror.
[03:37:20.844 --> 03:37:22.125]  It's as simple as that.
[03:37:22.125 --> 03:37:26.126]  That's why I'm urging you, don't call it a vaccine.
[03:37:26.126 --> 03:37:31.588]  If you called it a bioweapon, which is what it is, it has been designed as a bioweapon against you.
[03:37:32.528 --> 03:37:38.893]  I think you or people might be inclined to get in line and drag their five-year-old to get this shot.
[03:37:38.893 --> 03:37:40.134]  Five-year-olds are dying.
[03:37:40.134 --> 03:37:43.076]  Like I said, over a million were shot up over the weekend.
[03:37:43.076 --> 03:37:45.318]  There are plenty of mistakes going around.
[03:37:45.318 --> 03:37:48.280]  You're going to start to see children get seriously ill.
[03:37:48.280 --> 03:37:48.620]  Why?
[03:37:48.620 --> 03:37:51.102]  Because their immune systems are much more robust.
[03:37:51.102 --> 03:37:54.785]  They will react more violently and more quickly than adults.
[03:37:54.785 --> 03:37:58.508]  You've seen the rates of things, for example, like sudden cardiac events.
[03:37:59.388 --> 03:38:09.610]  Myocardial infarction, which is a heart attack, death, sudden cardiac death in the 12 to 17 year olds, those numbers were higher than the group above that, age group above that.
[03:38:09.610 --> 03:38:16.732]  And likewise, you're going to see an exponentially higher number of those deaths and injuries in the 5 to 11 year olds.
[03:38:16.732 --> 03:38:18.672]  This has got to be stopped.
[03:38:18.672 --> 03:38:27.234]  These children, their DNA is going to be changed forever with something that's never been experimented with before, with macaque monkey cell lines.
[03:38:28.107 --> 03:38:28.929]  Thank you so much.
[03:38:40.911 --> 03:38:50.140]  The University of Chapel Hill and the NIH uploaded the sequence for this illness.
[03:38:50.140 --> 03:38:54.705]  That is enabling the development of a bioweapon, plain and simple.
[03:38:54.705 --> 03:38:57.267]  So there's a lot of criminal responsibility.
[03:38:59.409 --> 03:39:01.250]  And this is how we can get the ball rolling.
[03:39:01.250 --> 03:39:03.592]  So I'm just hoping that people will follow through.
[03:39:03.592 --> 03:39:07.375]  I know a lot of people on social media have written to me so far and they've done it.
[03:39:07.375 --> 03:39:12.258]  And the more you care if it's duplicated, the more you can send.
[03:39:12.258 --> 03:39:15.881]  And maybe share this information with parents who are on the fence.
[03:39:16.361 --> 03:39:26.147]  Because I can tell you right now, the study that Pfizer is doing in an ongoing way, very dangerous, has six-month-old babies up to 11 years old.
[03:39:26.147 --> 03:39:32.271]  They released the 5 to 11, got their authorization from the collapsed agency, FDA, that no longer exists.
[03:39:32.271 --> 03:39:42.157]  They are planning before the end of this year, by the time you sit down for your Christmas dinner, they are planning to have submitted to the FDA the two to four-year-old data.
[03:39:42.157 --> 03:39:43.798]  And you know what follows from there?
[03:39:43.798 --> 03:39:45.559]  Six months to two years old.
[03:39:46.761 --> 03:39:50.122]  Yeah, and they're going to start injecting, you know, pregnant mothers.
[03:39:50.122 --> 03:39:53.163]  They're going to start trying to give this thing in vitro.
[03:39:53.163 --> 03:39:58.765]  I mean, they want to water their houseplants with these so-called vaccines.
[03:39:58.765 --> 03:40:00.845]  These people are absolutely sick.
[03:40:00.845 --> 03:40:01.686]  This is a cult.
[03:40:01.686 --> 03:40:02.686]  This is a religion.
[03:40:02.686 --> 03:40:04.967]  This is no longer about health and safety.
[03:40:04.967 --> 03:40:05.827]  But you're right.
[03:40:05.827 --> 03:40:10.789]  There are a lot of parents, Dr. Ruby, that are on the fence about whether or not to give this.
[03:40:10.789 --> 03:40:12.469]  But you can't blame a lot of them.
[03:40:12.469 --> 03:40:14.990]  We refer to these people as sheep so oftentimes.
[03:40:15.430 --> 03:40:18.191]  We come on here, or we, you know, I'm guilty of it.
[03:40:18.191 --> 03:40:20.652]  I am guilty of saying, oh, they're just a sheep, they're asleep.
[03:40:20.652 --> 03:40:22.032]  But these people are victims.
[03:40:22.032 --> 03:40:27.754]  They're frickin' victims of a system that has been designed to lull them to sleep.
[03:40:27.754 --> 03:40:29.834]  They trust Fox News Channel.
[03:40:29.834 --> 03:40:31.114]  They trust Newsmax.
[03:40:31.114 --> 03:40:32.735]  They trust all these other agencies.
[03:40:33.175 --> 03:40:35.438]  That are out and out lying to them.
[03:40:35.438 --> 03:40:41.245]  And that's why it sounds hyperbolic when we come here and we say, oh, look at aborted fetal parts.
[03:40:41.245 --> 03:40:43.849]  Oh, monkey this and bioweapon that.
[03:40:43.849 --> 03:40:45.150]  This is killing people.
[03:40:45.150 --> 03:40:46.772]  But all you have to do is look to the data.
[03:40:46.772 --> 03:40:49.456]  All you have to do is look and just objectively think to yourself.
[03:40:49.896 --> 03:41:00.626]  Why is it that more than double the amount of people have died from this one shot in nine months than every single other vaccine rolled out combined in the history of the world?
[03:41:00.626 --> 03:41:02.808]  That is really all that anybody has to know.
[03:41:02.808 --> 03:41:05.351]  And I just, I don't understand why nobody can get that.
[03:41:05.351 --> 03:41:06.452]  I just, your neighbors...
[03:41:06.972 --> 03:41:17.318]  That your kids, school teachers, it's really frustrating sitting here and listening to you say all of these things and then encourage people to package it all up and send it certified mail.
[03:41:17.318 --> 03:41:21.320]  But the feeling is similar to that amongst the base.
[03:41:21.320 --> 03:41:24.001]  Everybody I talk to is really frustrated.
[03:41:24.001 --> 03:41:26.763]  Seemingly nothing is going to ever get done is the thing here.
[03:41:26.763 --> 03:41:28.203]  But that's just inherently false.
[03:41:28.203 --> 03:41:31.725]  We are the majority and we can take control of the situation.
[03:41:31.725 --> 03:41:32.846]  We are the government.
[03:41:35.256 --> 03:41:36.456]  Let me just take another minute.
[03:41:36.456 --> 03:41:43.398]  I know we're very short, but it's a cult of money, and I want to give you an example of another expose that has come out.
[03:41:43.398 --> 03:41:49.340]  Justin Trudeau directly stands to gain, currently, from every shot that is given.
[03:41:49.340 --> 03:41:49.960]  Why?
[03:41:49.960 --> 03:41:57.442]  Because he has a financial interest in the patenting of the lipid nanoparticle that delivers your mRNA technology.
[03:41:57.442 --> 03:42:02.263]  It was developed at the University of British Columbia, and he has ordered, according to records,
[03:42:02.543 --> 03:42:03.364]  We're good to go.
[03:42:23.450 --> 03:42:24.571]  Yeah, of course.
[03:42:24.571 --> 03:42:48.923]  And some of the people who are out here, governors specifically, that want to rile up their base and make it look as if they're doing something by banning, you know, vaccine passports, are not telling you the whole story because there are private sector companies that are coming out here with technology that absolutely 100% tracks whether or not you've had these shots and they're using it in commerce to restrict you from buying things already.
[03:42:48.923 --> 03:42:50.724]  If this is not the precursor to the mark,
[03:42:51.204 --> 03:42:53.128]  I don't know what else is gonna wake you up, Dr. Gene Ruby.
[03:42:53.128 --> 03:42:53.869]  Thanks so much for being here.
[03:42:53.869 --> 03:42:54.890]  We'll be back with Jimmy Levy now.
[03:42:54.890 --> 03:42:56.713]  I'm cutting this brief.
[03:42:56.713 --> 03:43:01.461]  I'm cutting this brief announcement on the afternoon of November 9th, 2021.
[03:43:04.554 --> 03:43:14.820]  And I just want all the listeners and viewers to know that if you kept this show on the air that I am very, very thankful to you because my main drive is opposing these globalists and is standing against them.
[03:43:14.820 --> 03:43:16.802]  I know that that's your main drive as well.
[03:43:16.802 --> 03:43:26.388]  So I thank you for your moral support, your prayers, your word of mouth, fighting for all of us and all of our children's futures, and also your financial support at infowarestore.com.
[03:43:27.498 --> 03:43:30.799]  And it isn't just funding the InfoWar that you engage in when you buy the products.
[03:43:30.799 --> 03:43:35.600]  You get amazing products that are so good for you, and yourself, and your family.
[03:43:35.600 --> 03:43:45.322]  And right now, until November 14th, we have Black Friday Comes Early, up to 60% off on our best-selling items, StoreWide for shipping, and Double Patriot Points.
[03:43:45.322 --> 03:43:47.262]  So again, thank you all for your support.
[03:43:47.262 --> 03:43:51.943]  You get amazing products like Ultimate Bone Broth, and Brain Force Plus, and so many others.
[03:43:51.943 --> 03:43:55.864]  Right now, massively discounted at InfoWarStore.com.
[03:43:56.724 --> 03:44:06.191]  RainForce Plus is back in stock and it's 50% off with free shipping and double Patriot points right now at InfoWarsTore.com.
[03:44:06.191 --> 03:44:16.239]  RainForce Plus, after eight months, is finally back in stock and we're giving you 50% off plus free shipping and double Patriot points on the best-selling new trophy at InfoWarsTore.com.
