[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[03:28:28.724 --> 03:28:30.625]  Infowars selects durable food.
[03:28:30.645 --> 03:28:32.586]  Infowarsstore.com.
[03:28:32.626 --> 03:28:36.649]  ProPure G2, King Gravity Fed Filters, the best unit out there.
[03:28:36.669 --> 03:28:36.829]  30% off.
[03:28:36.849 --> 03:28:37.529]  That's about to end.
[03:28:37.549 --> 03:28:40.010]  And our new hair, nails, and skin formula.
[03:28:40.391 --> 03:28:42.512]  You wonder why pregnant women have that glow?
[03:28:43.783 --> 03:28:48.307]  The chemicals that are in this, legal and lawful and healthy, are what basically activate that in the body.
[03:28:49.367 --> 03:28:52.029]  And so this is something everybody should take advantage of.
[03:28:52.090 --> 03:28:55.172]  It's Bio PCA hair and nail formula.
[03:28:56.153 --> 03:28:57.894]  Leading competitors are $100 a bottle.
[03:28:57.914 --> 03:28:59.375]  This one's 20-something bucks.
[03:28:59.415 --> 03:29:00.616]  This is amazing.
[03:29:01.217 --> 03:29:01.997]  And this is what we do.
[03:29:02.017 --> 03:29:05.240]  We bring you the highest quality out there at the lowest prices.
[03:29:08.564 --> 03:29:10.506]  Bio PCA hair or nail formula.
[03:29:10.526 --> 03:29:10.506]  $29.95.
[03:29:11.828 --> 03:29:12.088]  Should be $100.
[03:29:12.128 --> 03:29:15.773]  Again, ladies and gentlemen, they mark stuff up seven times.
[03:29:15.933 --> 03:29:17.775]  We mark it up 100%, not $700.
[03:29:18.476 --> 03:29:20.318]  This is an amazing formula.
[03:29:21.039 --> 03:29:22.060]  It's the best out there.
[03:29:22.080 --> 03:29:24.683]  You're not going to find better quality for five times the cost.
[03:29:25.204 --> 03:29:26.145]  Infowarslife.com.
[03:29:26.866 --> 03:29:29.748]  Or call toll free 888-253-3139.
[03:29:29.908 --> 03:29:31.688]  And again, you're funding the whole operation.
[03:29:31.708 --> 03:29:32.669]  You make it all possible.
[03:29:33.109 --> 03:29:37.692]  More bombshell hammer interviews tonight, 7 o'clock central, InfoWars Nightly News.
[03:29:37.752 --> 03:29:43.695]  And tomorrow, Lord willing, Rob Duke coming up with the Owen Schroyer election freakout video and more.
[03:29:43.775 --> 03:29:46.036]  But all of you spread the videos, the articles.
[03:29:46.056 --> 03:29:48.277]  You're affecting the battle space in a big way.
[03:29:48.737 --> 03:29:50.158]  The Republic is rising.
[03:29:50.658 --> 03:29:53.139]  We've got a good chance at winning this thing, but we'll see what happens.
[03:29:53.199 --> 03:29:53.800]  It's up to you.
[03:29:54.200 --> 03:29:55.300]  And of course, the good Lord above.
[03:29:55.320 --> 03:29:55.721]  Stay with us.
[03:29:55.741 --> 03:29:56.301]  We'll be right back.
[03:29:58.642 --> 03:30:01.645]  We're on the march, the Empire's on the run.
[03:30:02.566 --> 03:30:05.269]  Alex Jones and the GCN Radio Network.
[03:30:09.278 --> 03:30:19.847]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[03:30:20.148 --> 03:30:30.797]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers to produce their own source of emergency backup electricity.
[03:30:31.197 --> 03:30:32.278]  And even more importantly,
[03:30:32.678 --> 03:30:34.179]  It's now extremely affordable.
[03:30:34.580 --> 03:30:41.905]  Thanks to the guys at Solutions for Science, you can get one of these $6,000 solar generators for less than $1,500.
[03:30:42.966 --> 03:30:45.307]  We have these units at the office and at my home.
[03:30:45.667 --> 03:30:51.051]  I can run my sump pumps, my shortwave radios, all of my devices, and even keep our food from spoiling.
[03:30:51.452 --> 03:30:56.275]  Go to powergridchaos.com and get 70% off for a limited time.
[03:30:56.635 --> 03:31:00.338]  Folks, there has never been a better time to get off the grid.
[03:31:00.698 --> 03:31:04.982]  It's gonna be crucial in 2017, maybe even life-saving.
[03:31:05.303 --> 03:31:08.106]  Powergridchaos.com for 70% off.
[03:31:08.146 --> 03:31:16.214]  Former Attorney General Eric Holder, who's now an attorney that works for the protection of Wall Street clients at Covington Burling,
[03:31:16.434 --> 03:31:25.121]  has written a nasty op-ed scolding FBI Director James Comey for his handling of the investigation into Clinton's emails and the use of a private server.
[03:31:25.241 --> 03:31:41.714]  He writes an op-ed in the Washington Post and says, quote, I fear he has unintentionally and negatively affected public trust in both the Justice Department and the FBI, as he has allowed, again, without improper motive, misinformation to be spread by partisans with less than pure intentions.
[03:31:41.874 --> 03:31:55.059]  He goes on to accuse Comey of violating long-standing policies and traditions when the FBI director wrote to members of Congress on Friday and informed them that the FBI was in fact reviewing a fresh batch of emails related to Clinton.
[03:31:55.279 --> 03:31:58.701]  I guess that long-standing policy is never to question Hillary Clinton.
[03:31:58.741 --> 03:32:05.504]  While some of us feel that confidence was restored in the DOJ and the FBI, Mr. Holder, as they appear to finally be doing their job.
[03:32:05.744 --> 03:32:07.725]  I'm Margaret Hall reporting for InfoWars.com.
[03:32:09.289 --> 03:32:16.394]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[03:32:16.755 --> 03:32:29.984]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[03:32:30.905 --> 03:32:42.160]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[03:32:42.821 --> 03:32:48.768]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[03:32:49.529 --> 03:32:57.917]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[03:32:58.537 --> 03:33:06.745]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[03:33:18.618 --> 03:33:23.790]  From the front lines of the Information War, it's Alex Jones.
[03:33:23.990 --> 03:33:24.993]  Mother!
[03:33:27.902 --> 03:33:31.604]  Tell your children not to walk my way.
[03:33:31.624 --> 03:33:33.445]  Tell your children not to walk my way.
[03:33:33.465 --> 03:33:35.326]  This is the Alex Jones Show.
[03:33:35.346 --> 03:33:36.826]  It's the fourth hour.
[03:33:36.846 --> 03:33:38.127]  This is the second half of the fourth hour.
[03:33:38.167 --> 03:33:41.449]  I'll be riding here with you for the last 30 minutes.
[03:33:42.409 --> 03:33:51.954]  We are going to play that video that Alex was alluding to of Owen Troyer talking to an election official, a very angry election official, who was just extremely pissed off of why
[03:33:52.887 --> 03:33:57.275]  A young man like Owen Schroer dressed in a suit would be questioning our election results.
[03:33:57.355 --> 03:33:58.356]  How dare he do that?
[03:33:58.942 --> 03:34:01.163]  And I'm going to go to a couple of your calls before we play that video.
[03:34:01.203 --> 03:34:20.913]  And then also, we've been trying to get in contact with the Texas governor, trying to get him on record on just a couple specific things that we're, you know, asking for to make sure our elections are transparent and that there can be a recount done and it can be done correctly using the ballot images as to what Bev Harris was talking about.
[03:34:20.973 --> 03:34:25.355]  When you make a, when you cast a poll, you get a ballot image, which is a picture
[03:34:26.395 --> 03:34:30.037]  Of that particular ballot and it has a serial number on it.
[03:34:31.118 --> 03:34:33.819]  And that is the problem with a lot of our elections.
[03:34:33.919 --> 03:34:42.444]  We have these ballot images either aren't saved or they're not produced by the machines and our election officials are saying no reason to save them.
[03:34:42.724 --> 03:34:44.145]  So I'm going to get into that in a second, guys.
[03:34:44.805 --> 03:34:45.765]  We'll go to that in one second.
[03:34:46.386 --> 03:34:48.147]  I'm just trying to explain what's going on here.
[03:34:49.387 --> 03:34:52.109]  But we have instances like that where
[03:34:54.147 --> 03:34:59.429]  You have bona fide ways to go back and do a recount of an electronic voting machine.
[03:34:59.610 --> 03:35:01.150]  And they're not allowing that to happen.
[03:35:01.510 --> 03:35:02.931]  And it's happening all across the country.
[03:35:02.971 --> 03:35:07.393]  It's not just, you know, in Texas or Louisiana or Arkansas.
[03:35:07.613 --> 03:35:10.615]  It's happening all over the country where they use electronic voting machines.
[03:35:10.655 --> 03:35:13.576]  There's no way to do a proper recount because they don't save these things.
[03:35:14.056 --> 03:35:23.005]  And we had David Knight go and ask Keith Ingram, who's the head of our elections in Texas, try to ask him, hey, why are you telling the precincts that they don't have to keep the ballot images?
[03:35:23.225 --> 03:35:24.206]  Just a simple question.
[03:35:24.446 --> 03:35:25.527]  He didn't even want to talk to us.
[03:35:26.067 --> 03:35:27.229]  He did not even want to talk to us.
[03:35:27.329 --> 03:35:30.311]  And you can find that interview on the Alex Jones Channel or on Infowars.com.
[03:35:30.732 --> 03:35:33.214]  But let's go to Matthew in New York.
[03:35:33.234 --> 03:35:35.977]  He wants to talk about the polling system and the election 2016.
[03:35:36.517 --> 03:35:37.118]  Go ahead, Matthew.
[03:35:39.036 --> 03:35:39.417]  Hey, Rob.
[03:35:40.177 --> 03:35:45.023]  Actually, I just launched a new website here about a week ago.
[03:35:45.364 --> 03:35:55.636]  It's a completely open-source polling system, and for the past week we've been calling homes around the country, over 300,000 homes, and publishing the results live to callforamerica.com.
[03:35:57.282 --> 03:36:09.630]  And I'm really just calling to let people know that we have now our own open source polling system and it's really up to us to decide whether or not the results that we're seeing from everybody else is accurate.
[03:36:10.410 --> 03:36:13.152]  There's been a lot of talk about the over-sampling that's taken place.
[03:36:13.833 --> 03:36:20.777]  We just took a directory of over 108 million white page listings in the United States and are calling every single state.
[03:36:20.797 --> 03:36:23.619]  Is this a computer calling them or a person?
[03:36:25.205 --> 03:36:26.705]  This is a computer calling him.
[03:36:26.725 --> 03:36:29.126]  These are robocalls.
[03:36:30.126 --> 03:36:37.728]  But there's a lot more than just the excitement about being able to have our own polls, being able to see that we're up approximately 40 points in Florida, for example.
[03:36:38.328 --> 03:36:43.109]  But I've loaded up the website with a couple of campaigns, such as Americanism, Globalism.
[03:36:43.529 --> 03:36:50.831]  Anybody can take any message that we want to get out there and literally call millions of homes and leave messages on the answer machines.
[03:36:52.836 --> 03:36:55.277]  You know, I think this is really a game-changing tool.
[03:36:55.377 --> 03:36:56.318]  Give us the website again.
[03:36:56.338 --> 03:36:57.358]  Give us your website again.
[03:36:57.438 --> 03:37:00.600]  It's called Call for America.
[03:37:00.940 --> 03:37:03.702]  Call for America, and is it the number 4 or is it FOR?
[03:37:05.262 --> 03:37:05.983]  It's FOR.
[03:37:06.643 --> 03:37:07.904]  I'm telling you, this thing is addicting.
[03:37:08.184 --> 03:37:08.884]  This thing is addicting.
[03:37:08.904 --> 03:37:14.367]  For the past week, I've been refreshing my webpage because as the calls are made, everything updates in real time.
[03:37:14.767 --> 03:37:17.589]  And the reason why I'm really calling in today is because
[03:37:19.522 --> 03:37:21.685]  I've been taking messages that you guys create.
[03:37:21.785 --> 03:37:24.488]  For example, you've got the Americanism, not globalism.
[03:37:24.508 --> 03:37:30.234]  You've got the Hillary for World War III, and I've been calling homes and playing that message and leaving it in answering machines.
[03:37:30.635 --> 03:37:33.518]  But really, it's about the cleverness of the community.
[03:37:33.658 --> 03:37:34.840]  Anybody can create a campaign.
[03:37:35.413 --> 03:37:35.573]  Yeah.
[03:37:53.949 --> 03:37:56.290]  And we can get millions and millions and millions.
[03:37:56.310 --> 03:37:59.111]  This is a new way of spamming that's entirely legal.
[03:37:59.672 --> 03:38:05.934]  And I really, really just want people to know about it because I think it can make a huge, huge difference at callforamerica.com.
