[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[03:18:51.850 --> 03:18:52.951]  But now charity care's gone.
[03:18:53.731 --> 03:18:55.152]  Now the poor gotta get their insurance.
[03:18:55.773 --> 03:18:59.315]  So the bankruptcy of the country only accelerates from here.
[03:19:00.235 --> 03:19:02.157]  David Knight, tell us what you've got coming up today, my friend.
[03:19:02.762 --> 03:19:07.664]  Alex, we're going to talk about whether or not there's really any voter fraud here, also election fraud.
[03:19:07.724 --> 03:19:12.945]  As you know, I went on Monday to talk to the Director of Elections here at the Secretary of State's office in Texas.
[03:19:13.865 --> 03:19:15.446]  We told him that we were with the press.
[03:19:15.506 --> 03:19:17.807]  Actually, we told the person at the reception area that we're here with the press.
[03:19:17.847 --> 03:19:19.247]  We had our microphone, our camera.
[03:19:19.447 --> 03:19:24.449]  He could see which news outlet we were with, and they told us, stay right here in the
[03:19:25.129 --> 03:19:26.430]  Lobby, and he'll be right down.
[03:19:26.470 --> 03:19:30.332]  He came down, and as you've probably seen with the video, he stopped.
[03:19:30.612 --> 03:19:32.413]  He looked at us and he goes, no, no, no.
[03:19:32.493 --> 03:19:33.914]  And he walked back up.
[03:19:34.894 --> 03:19:36.115]  Why did he come down to see you?
[03:19:36.135 --> 03:19:38.176]  Then he sees it's InfoWars and he craps his pants.
[03:19:38.496 --> 03:19:46.601]  Well, you'll see in this article that just went live a little while ago, we detailed the questions that we had for him about the election process.
[03:19:46.921 --> 03:19:50.163]  For the last several years, the man has been shutting down
[03:19:50.783 --> 03:19:53.225]  ...audit trails for electronic voting machines.
[03:19:53.565 --> 03:19:58.869]  He tried to push through massive changes this last August for the election coming up in two weeks.
[03:19:59.309 --> 03:20:02.131]  That was shut down by activists and some state senators.
[03:20:02.492 --> 03:20:04.013]  They postponed those hearings.
[03:20:04.293 --> 03:20:07.895]  They're going to have hearings and they postponed those regulations until after this election.
[03:20:08.256 --> 03:20:13.379]  But he's done a lot to shut down the auditing capability of these electronic voting machines.
[03:20:13.500 --> 03:20:19.264]  And I call it the levers of power flushing the vote down the memory hole because that's the issue
[03:20:19.804 --> 03:20:21.285]  With these electronic voting machines.
[03:20:21.365 --> 03:20:24.788]  It's very easy for them to hide what's going on in the machine.
[03:20:25.048 --> 03:20:29.512]  Even if we have an audit trail, Alex, of the voters, do we have an audit trail of the software?
[03:20:29.752 --> 03:20:32.114]  Do we have an audit trail of the operating system?
[03:20:32.134 --> 03:20:32.614]  We have nothing.
[03:20:32.694 --> 03:20:35.096]  I'm going to go in a minute, but I'm going to ask you this question, David.
[03:20:36.237 --> 03:20:44.924]  What do you make of this new level of lying that seems like amateur, but I guess it's just an attempt to break our will, where they go, oh my God, the Russians are taking over.
[03:20:44.964 --> 03:20:45.405]  Total fraud.
[03:20:45.425 --> 03:20:46.285]  We've got to federalize it.
[03:20:46.305 --> 03:20:47.747]  Oh my gosh, it's not integral.
[03:20:48.247 --> 03:20:48.948]  But then meanwhile,
[03:20:50.046 --> 03:20:51.966]  There's total integrity, Donald Trump's a liar.
[03:20:52.626 --> 03:20:56.567]  Meanwhile, they're oversampling the polls 9 to 40-something, 50-something percent.
[03:20:56.947 --> 03:20:58.307]  Clearly, Hillary's in deep crap.
[03:20:59.008 --> 03:21:00.408]  What do you make of all this?
[03:21:00.508 --> 03:21:05.429]  And A, and then B, do you agree with me that... I don't say this to save face, I think he's gonna win.
[03:21:06.109 --> 03:21:08.949]  Trump has devastated, we have devastated, all of us, the listeners.
[03:21:09.349 --> 03:21:11.510]  Globalism is in trouble, their whole system's in trouble.
[03:21:11.930 --> 03:21:12.930]  Resistance is victory.
[03:21:12.990 --> 03:21:14.911]  I mean, Trump has won the 2016 election.
[03:21:15.591 --> 03:21:17.271]  Even if they steal it from him, as he said yesterday,
[03:21:18.516 --> 03:21:22.097]  Continue on, destroy the TPP, kill the New World Order.
[03:21:22.418 --> 03:21:27.299]  Did Donald Trump not sound the death knell for the NWO?
[03:21:27.960 --> 03:21:41.145]  I think so Alex, and you know when I talked to Nigel Farage in Las Vegas, he said this is win or lose, whether Trump wins or loses, this is a movement that has started and it will just delay it a little bit if that doesn't happen.
[03:21:41.285 --> 03:21:43.346]  One of the things this movement is going to have to do
[03:21:44.006 --> 03:21:47.370]  ...is take back control of the elections, make them honest again.
[03:21:47.390 --> 03:21:59.686]  You know, every time they get into trouble, you saw it with the debate with Hillary, every time she got in a tight spot, every time it was revealed, you know, from the emails what she was doing, she would always bring up the Russians, she'd bring up Putin, he's her red herring.
[03:22:00.226 --> 03:22:09.150]  Alex, as we had yesterday an article talking about how Podesta's password was simply P-at-sign-S-S-W-O-R-D.
[03:22:09.210 --> 03:22:12.731]  That's one of the usual passwords that people can guess.
[03:22:12.791 --> 03:22:16.072]  It wasn't even as complicated as the personal information.
[03:22:16.092 --> 03:22:17.213]  It shows the arrogance.
[03:22:17.353 --> 03:22:23.095]  Our passwords are like 30-something squiggly lines, dashes, letters, symbols.
[03:22:23.235 --> 03:22:24.476]  I mean, and those can get broken.
[03:22:24.516 --> 03:22:25.196]  The arrogance.
[03:22:25.376 --> 03:22:29.621]  These are the people who want to be entrusted with our most important state secrets.
[03:22:40.333 --> 03:22:45.337]  Remember Alex, I tried to talk to Guccifer, the very first Guccifer, who was brought to the United States.
[03:22:45.397 --> 03:22:46.978]  They extradited him from Romania.
[03:22:47.518 --> 03:22:50.880]  They had him on trial and I applied to interview him.
[03:22:51.281 --> 03:22:55.584]  They would not let me interview him, just like the Director of Elections won't let me talk to him here in Texas.
[03:22:55.904 --> 03:22:57.765]  They don't want that information going out.
[03:22:58.106 --> 03:23:09.414]  He got into the personal emails, everybody remembers, of George Bush, of Colin Powell, who is now an ardent Clinton supporter, you know, talking about the Bohemian Grove with Tony Blair and so forth.
[03:23:10.074 --> 03:23:11.775]  These people shouldn't have the nuclear launch codes.
[03:23:11.815 --> 03:23:15.176]  If you can't keep your email secure, you don't deserve to be present.
[03:23:15.276 --> 03:23:19.237]  Well, the key thing about Guccifer, the first Guccifer, was this guy was not a computer scientist.
[03:23:19.257 --> 03:23:21.338]  He didn't use anything complicated.
[03:23:21.358 --> 03:23:22.258]  He just guessed the passwords.
[03:23:22.278 --> 03:23:25.880]  He guessed their passwords because he got a little bit of personal information about these people.
[03:23:25.920 --> 03:23:29.121]  But you got Podesta, who goes out there and uses password.
[03:23:29.841 --> 03:23:30.661]  As is password.
[03:23:30.942 --> 03:23:32.662]  Except just check in the gate to an outside.
[03:23:32.682 --> 03:23:35.944]  Well give me like if my garage door had 1776 as the code.
[03:23:36.164 --> 03:23:36.524]  That's right.
[03:23:36.744 --> 03:23:39.326]  Because I actually had a nanny go, you like 1776?
[03:23:39.706 --> 03:23:41.747]  I said, everyone would know that.
[03:23:42.287 --> 03:23:42.787]  No, it's not 1776.
[03:23:44.008 --> 03:23:44.848]  Here's the new code.
[03:23:45.288 --> 03:23:46.269]  Randomly created.
[03:23:46.983 --> 03:23:50.444]  Alex, you see these signs that are on the highways all the time.
[03:23:50.464 --> 03:23:57.847]  You'll see news articles showing the Department of Transportation signs that'll say, warning Raptors ahead and so forth and so on.
[03:23:57.867 --> 03:24:01.528]  People go in and hack those because they send that to the Department of Transportation.
[03:24:01.568 --> 03:24:06.170]  The employees don't even bother to go in and change the default pass codes on these things all over the country.
[03:24:06.490 --> 03:24:08.591]  So pranksters go in and do this kind of stuff.
[03:24:09.251 --> 03:24:14.433]  I would bet you that a lot of these electronic voting machines have never even changed the passwords.
[03:24:14.453 --> 03:24:15.514]  Well, that's my next issue.
[03:24:15.534 --> 03:24:16.754]  What do you make of Don Salazar's article?
[03:24:19.457 --> 03:24:29.367]  Yeah, well they did that temporarily, then they went back and said, oh, we've fixed the problem.
[03:24:29.607 --> 03:24:32.050]  So now they've gone back to these electronic voting machines.
[03:24:32.450 --> 03:24:33.151]  And that's the key.
[03:24:33.652 --> 03:24:36.795]  We need to insist that we go back to paper.
[03:24:36.875 --> 03:24:38.537]  That tells you something right there, doesn't it?
[03:24:38.917 --> 03:24:43.778]  Or what Skousen says, have 5-10% be paper so you have a spot check so you can check the algorithm.
[03:24:43.798 --> 03:24:47.819]  Because if it doesn't line up with a 5% paper, then you know it's a fraud.
[03:24:48.099 --> 03:24:59.881]  Well, according to Texas law, one of the things that the Director of Elections here in Texas did, according to Texas law, they're supposed to do a manual recount of 1% of the precincts or three precincts, whichever is greater.
[03:25:00.121 --> 03:25:01.362]  He shut down that requirement.
[03:25:01.782 --> 03:25:03.682]  That's the kind of questions that we had for him.
[03:25:04.102 --> 03:25:05.043]  Why would you do that?
[03:25:05.243 --> 03:25:07.323]  I understand maybe it's not convenient for your employees.
[03:25:07.383 --> 03:25:09.284]  No, it sounds like he's with Battleground Texas.
[03:25:09.564 --> 03:25:09.764]  Yeah.
[03:25:10.004 --> 03:25:10.924]  Oh, absolutely, Alex.
[03:25:11.324 --> 03:25:16.886]  There's actually some connections between him and the Clintons and the Rose Law Firm and that sort of thing.
[03:25:16.946 --> 03:25:26.349]  He left private practice here in Texas and he went to Arkansas and he went to work for one of the people who was a partner at the Rose Law Firm with Hillary Clinton.
[03:25:26.369 --> 03:25:27.050]  Why am I surprised?
[03:25:27.270 --> 03:25:28.490]  How the hell is he over the election?
[03:25:28.750 --> 03:25:33.133]  Well, he was brought back by Rick Perry, and he was retained by Governor Abbott.
[03:25:33.173 --> 03:25:36.675]  And so, there are some state senators who are very concerned about that.
[03:25:37.075 --> 03:25:42.918]  We're going to talk about that coming up, exactly what happened with the procedures they took down.
[03:25:42.938 --> 03:25:45.460]  Because, Alex, this is not just a problem with Texas.
[03:25:46.020 --> 03:25:48.281]  These types of issues are nationwide.
[03:25:48.321 --> 03:25:50.142]  Well, they duplicate the scams everywhere.
[03:25:50.162 --> 03:25:51.303]  I mean, they always have a formula.
[03:25:53.504 --> 03:25:53.824]  That's right.
[03:25:53.884 --> 03:25:57.626]  And that's one reason we can beat them is because we know, we know their formula.
[03:25:57.686 --> 03:25:58.326]  We know how they operate.
[03:25:58.346 --> 03:25:59.386]  All right, I'm going to turn this over to you.
[03:25:59.907 --> 03:26:01.127]  Nowly News tonight, 7 o'clock.
[03:26:01.147 --> 03:26:02.088]  We should start beating the drum now.
[03:26:02.108 --> 03:26:03.168]  I'm going to go shoot a promo now.
[03:26:03.748 --> 03:26:08.370]  Coming up on Election Day and the whole next day, 48-hour live transmission.
[03:26:08.410 --> 03:26:11.331]  Now 12 days out, 11 and a half days out.
[03:26:11.732 --> 03:26:12.672]  David, but
[03:26:13.735 --> 03:26:14.516]  Just getting back to this briefly.
[03:26:14.536 --> 03:26:18.238]  You do agree with me that Trump has won in his patriotism, his action.
[03:26:18.258 --> 03:26:21.140]  I know we've gone from holding our noses to really supporting him.
[03:26:21.880 --> 03:26:22.501]  Yes.
[03:26:22.521 --> 03:26:23.241]  This is biblical.
[03:26:23.281 --> 03:26:27.584]  Talk about David versus Goliath and that speech he gave yesterday was so true.
[03:26:28.024 --> 03:26:29.525]  I disagree with nothing he said.
[03:26:29.545 --> 03:26:31.846]  I have to pinch myself.
[03:26:31.906 --> 03:26:33.107]  This is so epic.
[03:26:33.147 --> 03:26:33.808]  This is so...
[03:26:34.568 --> 03:26:35.148]  Incredible.
[03:26:35.168 --> 03:26:39.550]  And then we have Owen Schroer out there interviewing Democrats and they're going, I don't care.
[03:26:39.570 --> 03:26:41.872]  I like the fact she's corrupt because she does good things.
[03:26:42.232 --> 03:26:43.912]  She's corrupt to get good stuff done.
[03:26:43.933 --> 03:26:47.674]  I have never heard such a Machiavellian statement.
[03:26:47.714 --> 03:26:50.015]  We don't do evil to get good in.
