[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[03:47:58.208 --> 03:48:04.612]  How they characterize some of that hate speech, because we had this headline out of Breitbart from back in January.
[03:48:05.012 --> 03:48:06.773]  You tweet a lot, watch your tone.
[03:48:07.133 --> 03:48:10.535]  Cops threaten Dutch men for opposing government mass migration plans.
[03:48:11.475 --> 03:48:20.180]  So a guy in the Netherlands who tweeted that he thought his government's refugee policy was a bad plan, got a home visit from the police.
[03:48:21.281 --> 03:48:23.482]  That's the new definition of hate speech.
[03:48:24.563 --> 03:48:25.944]  And listen to this quote from
[03:48:27.054 --> 03:48:34.158]  Vera Jourova, the EU Commissioner responsible for justice, consumers and gender equality.
[03:48:34.818 --> 03:48:37.319]  Again, unelected, nobody even knows who she is.
[03:48:37.940 --> 03:48:42.642]  Represents a dictatorial body, a Byzantine Empire.
[03:48:43.622 --> 03:48:47.464]  Quote, the internet is a place for free speech, not hate speech.
[03:48:49.465 --> 03:48:56.589]  Okay, under the First Amendment, as the Supreme Court has defined it over and over again, hate speech is free speech.
[03:48:57.950 --> 03:49:03.765]  You have to defend unpopular speech for free speech to exist at all.
[03:49:04.804 --> 03:49:15.169]  But of course the First Amendment definition of free speech, which the Supreme Court has upheld, has not been applied globally, because it actually defends free speech.
[03:49:15.970 --> 03:49:29.457]  What they're actually applying, in terms of this EU Commission Twitter plan to censor, quote, hate speech, is the UN Declaration of Human Rights, which of course doesn't give us any human rights.
[03:49:30.421 --> 03:49:53.351]  Because under Article 20, brackets 2, of the UN Declaration of Human Rights, when it applies to free speech, it says, quote, that it does not require states to prohibit all negative statements towards national groups, races or religions, but as soon as a statement, quote, constitutes incitement to discrimination, hostility or violence, it must be banned.
[03:49:54.284 --> 03:50:05.969]  So in other words, if you discriminate against, oh, I don't know, for example, a belief system that condones stoning women to death, or throwing gays off buildings, then that's discrimination!
[03:50:06.670 --> 03:50:18.635]  And that is not allowed under this definition of hate speech, which has been created, which has been contrived by the United Nations, and then adopted globally.
[03:50:19.876 --> 03:50:23.758]  They claim to be defending your free speech, they claim to afford you
[03:50:24.807 --> 03:50:36.677]  These great human rights, and when you actually drill down into the details, free speech which offends someone, which discriminates against their religious beliefs, is hate speech.
[03:50:36.877 --> 03:50:37.898]  It will not be allowed.
[03:50:38.098 --> 03:50:38.818]  It will be banned.
[03:50:39.239 --> 03:50:42.841]  Which is exactly what they've already introduced in Facebook and Twitter.
[03:50:43.522 --> 03:50:50.327]  You know, the option to report people because you disagree with their opinion, or because they offended your religion.
[03:50:50.748 --> 03:50:52.569]  They've already had those options in place.
[03:50:53.690 --> 03:51:03.422]  For over a year now and they're simply codifying it with that EU enforcement arm to actually go after people who criticize this insane migrant policy.
[03:51:03.443 --> 03:51:07.448]  We'll be back in the final segment of the Alex Jones Show in 4Wars.com.
[03:51:07.468 --> 03:51:07.908]  Stay tuned.
[03:51:09.511 --> 03:51:14.996]  This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[03:51:15.497 --> 03:51:23.424]  Unveil Vitamin Mineral Fusion Advanced Multi-Vitamin Formula 30 Servings Fruit Punch Flavor Dietary Supplement.
[03:51:23.725 --> 03:51:24.786]  It is simply amazing.
[03:51:24.846 --> 03:51:25.787]  Infowarslife.com
[03:51:26.187 --> 03:51:28.448]  There's a million different products like this out there.
[03:51:29.068 --> 03:51:30.588]  They're, you know, they're good in different ways.
[03:51:31.108 --> 03:51:44.191]  But this takes all of the vitamins, all the essential amino acids, all the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to, like, clumpy, gross stuff.
[03:51:44.551 --> 03:51:45.792]  And you can put it in your drink every morning.
[03:51:45.812 --> 03:51:46.992]  I put it in my protein shake.
[03:51:47.612 --> 03:51:53.116]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multi-drink vitamin.
[03:51:53.136 --> 03:51:56.158]  The cleanest, the purest, new stuff had to be invented.
[03:51:56.198 --> 03:51:58.419]  That's why it took this long to even bring us something that's good.
[03:51:59.020 --> 03:52:05.184]  Some companies are going to take a small amount of vitamins and make it, you know, so there's so much filler, it looks like there's a lot.
[03:52:05.384 --> 03:52:07.746]  This is ultra-concentrated, we're not playing games here.
[03:52:08.126 --> 03:52:09.987]  Okay, this... Well, that's my philosophy, that's your philosophy.
[03:52:10.007 --> 03:52:12.329]  Yeah, this... I want to... but again, there's some great stuff out there.
[03:52:12.529 --> 03:52:14.411]  Yeah, of course.
[03:52:14.531 --> 03:52:17.313]  There's other powders I promote at Infowarshealth.com that are excellent.
[03:52:17.673 --> 03:52:18.914]  I mean, there's some good stuff out there.
[03:52:19.055 --> 03:52:21.757]  This is just the very best we can bring you.
[03:52:21.777 --> 03:52:23.799]  And when you buy it, you support Infowars.
[03:52:24.059 --> 03:52:25.100]  You support the reporters.
[03:52:25.340 --> 03:52:26.080]  You support yourself.
[03:52:27.318 --> 03:52:46.884]  Tell folks about some of these other things that are in this and why this is just this total complete package for your body because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[03:52:47.424 --> 03:52:48.025]  Yeah, exactly.
[03:52:48.065 --> 03:52:51.208]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[03:52:51.309 --> 03:52:52.550]  A huge amount of vitamin C, by the way.
[03:52:52.570 --> 03:52:53.411]  Tell folks about that.
[03:52:53.431 --> 03:52:56.074]  Yeah, a thousand plus percent of your daily value, which is what you need.
[03:52:56.955 --> 03:52:59.578]  As the, you know, FDA guidelines, we all know about those.
[03:53:00.159 --> 03:53:06.486]  Zinc, magnesium, selenium, L-glutamine, each one of these you could go on for about 10 minutes about the benefits of these things.
[03:53:06.926 --> 03:53:10.109]  Alpha lipoic acid, folic acid, calcium, and list goes on.
[03:53:10.129 --> 03:53:11.670]  34 other ones you can check out.
[03:53:11.870 --> 03:53:13.712]  Go to InfoWarsLife.com, the label's up there.
[03:53:14.212 --> 03:53:18.856]  You've got the entire ingredients list that you can neurotically examine for yourself.
[03:53:19.897 --> 03:53:24.341]  And just... By the way, look on the other side too, because we're showing people the minerals and things.
[03:53:24.381 --> 03:53:26.243]  Let's look at the vitamins right there, all it's got in there.
[03:53:26.263 --> 03:53:26.903]  I mean, it's amazing.
[03:53:26.943 --> 03:53:27.444]  Top left.
[03:53:27.504 --> 03:53:30.847]  Again, if you're radio listeners, InfoWars.com forward slash show.
[03:53:31.227 --> 03:53:31.948]  Vitamin A has 4,333%.
[03:53:34.950 --> 03:53:37.655]  Uh, from Beta Carotene and... What's that other source?
[03:53:37.675 --> 03:53:38.717]  I just know that's all the best sources.
[03:53:39.389 --> 03:53:39.809]  Retinol.
[03:53:39.829 --> 03:53:44.292]  So you've also got your vitamin D at a thousand IU, which is a large dose, actually.
[03:53:44.632 --> 03:53:45.072]  And you know what?
[03:53:45.112 --> 03:53:47.273]  Some people could say, well, isn't this competing with the other products?
[03:53:47.513 --> 03:53:48.093]  Well, yeah, you know what?
[03:53:48.133 --> 03:53:55.137]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not going to do that.
[03:53:55.457 --> 03:54:01.000]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we got to do it, because we can't start thinking like that.
[03:54:01.500 --> 03:54:02.341]  So get them today.
[03:54:02.421 --> 03:54:04.462]  Infowarslife.com or call toll free 888-253-3139.
[03:54:11.997 --> 03:54:12.437]  Don't worry.
[03:54:12.958 --> 03:54:14.479]  This show is documented.
[03:54:14.999 --> 03:54:17.721]  Alex Jones on the GCN Radio Network.
[03:54:18.121 --> 03:54:21.744]  I fell into a burning ring of fire.
[03:54:22.124 --> 03:54:26.187]  I went down, down, down, and the flames went higher.
[03:54:26.207 --> 03:54:30.950]  And it burns, burns, burns, the ring of fire.
[03:54:30.990 --> 03:54:31.570]  We are back.
[03:54:31.650 --> 03:54:34.992]  It's the fourth hour, final segment of the Alex Jones Show Live.
[03:54:35.032 --> 03:54:37.594]  Let's hit a final few news stories.
[03:54:37.654 --> 03:54:41.537]  Of course, we've got the big, massive controversy over Harambe the Gorilla.
[03:54:43.638 --> 03:55:12.905]  Now, the debate is over whether they should have shot the gorilla or not, but what was most interesting, in the immediate aftermath of this news story, and in fact for hours afterwards, these social justice warriors, who are obsessed, absolutely fixated, with injecting identity politics into absolutely everything, they blamed this little black boy falling into a gorilla pit and being saved
[03:55:14.036 --> 03:55:14.937]  Who did they blame it on?
[03:55:16.037 --> 03:55:17.518]  Well, white people, of course.
[03:55:18.399 --> 03:55:29.305]  And I, in fact, put out a tweet yesterday where all these individuals, you know, Black Lives Matter activists, SJWs, rushed to blame the gorilla being shot on white privilege.
[03:55:30.166 --> 03:55:32.007]  And you can see all these tweets on my Twitter.
[03:55:32.027 --> 03:55:36.689]  They were like, the gorilla was only shot to save the white boy.
[03:55:36.990 --> 03:55:40.011]  If this boy had been black, they would have just left it to die.
[03:55:40.712 --> 03:55:42.433]  That was the tone of the tweets, of course.
[03:55:44.056 --> 03:55:46.597]  The little boy in the gorilla pit was black!
[03:55:47.517 --> 03:55:48.938]  His parents were black.
[03:55:49.998 --> 03:56:00.002]  And yet immediately they sought to inject racial identity politics into a news story that had nothing whatsoever to do with race.
