[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[02:44:53.316 --> 02:45:01.356]   And it's, boy, like I said, folks, the instinct is Just run for the hills, man.
[02:45:03.758 --> 02:45:07.621]  Get as far away from any mainstream media element and outlet.
[02:45:08.601 --> 02:45:11.243]  Get as far away from any Democrat Party leadership.
[02:45:11.303 --> 02:45:14.105]  I mean, just, you got to get away from these psychotics.
[02:45:14.265 --> 02:45:19.589]  It's like, you see a schizophrenic running around the streets naked with a knife?
[02:45:20.910 --> 02:45:21.651]  What's your instinct?
[02:45:21.671 --> 02:45:22.551]  You get the hell away.
[02:45:23.912 --> 02:45:26.374]  That's a schizophrenic with a knife or a gun or something.
[02:45:26.394 --> 02:45:26.934]  He's violent.
[02:45:26.975 --> 02:45:28.095]  He's gonna stab someone.
[02:45:28.135 --> 02:45:28.836]  He's gonna hurt someone.
[02:45:29.537 --> 02:45:30.438]  That's the Democrats.
[02:45:31.698 --> 02:45:32.739]  That's liberals and media.
[02:45:33.599 --> 02:45:34.860]  That's the far left in America.
[02:45:34.900 --> 02:45:39.723]  They're schizophrenics with a knife, except they're schizophrenics with the power of the government.
[02:45:41.143 --> 02:45:42.784]  So it's really even worse.
[02:45:44.645 --> 02:45:56.552]  Now, ladies and gentlemen, I mean, it's just... You know, this is what InfoWars has been trying to stop for a long time.
[02:45:57.754 --> 02:45:59.435]  And it's just people didn't want to listen.
[02:45:59.675 --> 02:46:00.476]  And so that's fine.
[02:46:00.516 --> 02:46:01.056]  Now we're here.
[02:46:01.717 --> 02:46:05.459]  And you're seeing what we've been warning about and trying to stop.
[02:46:05.519 --> 02:46:09.102]  So please continue to shop at InfoWarsTore.com.
[02:46:09.322 --> 02:46:11.183]  Get the Vitamin Mineral Fusion that's on sale.
[02:46:11.203 --> 02:46:13.084]  Get the Survival Shield X2 that's on sale.
[02:46:13.125 --> 02:46:18.068]  Get the Brain Force Ultra that's such a great nootropic that's selling out quickly right now at InfoWarsTore.com.
[02:46:19.224 --> 02:46:22.125]  And here we have Pete Santilli who will be joining me tomorrow on the War Room.
[02:46:22.145 --> 02:46:29.649]  I'm about to go hit the War Room desk to cover the War Room news today, but here's Pete Santilli talking about what Merrick Garland has done and Alex Jones.
[02:46:30.538 --> 02:46:32.480]  We're going to get this word out to Alex Jones.
[02:46:32.299 --> 02:46:37.558]   We're going to continue on here because his broadcast yesterday and what he exposed what he continues to expose
[02:46:37.558 --> 02:46:41.250]   is Exactly why he will be the target of the full force of the
[02:46:41.250 --> 02:46:45.658]   government Under a bunch of people that actually launched a military
[02:46:45.658 --> 02:47:00.219]   operation false flag against the American people Here's a G
[02:46:59.369 --> 02:47:04.032]  Garland now threatening everyone, including the President of the United States.
[02:47:05.612 --> 02:47:12.356]  Many for assaulting officers and many for corruptly obstructing or attempting to obstruct an official proceeding.
[02:47:13.776 --> 02:47:17.018]  20 defendants charged with felonies have already pled guilty.
[02:47:18.832 --> 02:47:26.717]  Approximately 40 defendants have been charged with conspiracy to obstruct a congressional proceeding and or to obstruct law enforcement.
[02:47:27.598 --> 02:47:34.542]  In the months ahead, 17 defendants are already scheduled to go to trial for their role in felony conspiracies.
[02:47:37.124 --> 02:47:47.111]  A necessary consequence of the prosecutorial approach of charging less serious offenses first is that courts impose shorter sentences before they impose longer ones.
[02:47:48.280 --> 02:48:09.527]  In recent weeks, however, as judges have sentenced the first defendants convicted of assaults and related violent conduct against officers, we have seen significant sentences that reflect the seriousness of those offenses, both in terms of the injuries they caused and the serious risk they posed to our democratic institutions.
[02:48:11.188 --> 02:48:16.430]  The actions we have taken thus far will not be our last.
[02:48:17.560 --> 02:48:34.958]  The Justice Department remains committed to holding all January 6th perpetrators at any level accountable under law, whether they were present that day or were otherwise criminally responsible for the assault on our democracy.
[02:48:36.039 --> 02:48:39.623]  We will follow the facts wherever they lead.
[02:48:42.042 --> 02:48:50.769]  Because January 6th was an unprecedented attack on the seat of our democracy, we understand that there is broad public interest in our investigation.
[02:48:51.609 --> 02:48:59.195]  We understand that there are questions about how long the investigation will take, and about what exactly we are doing.
[02:49:00.717 --> 02:49:09.583]  Our answer is, and will continue to be, the same answer we would give with respect to any ongoing investigation.
[02:49:10.640 --> 02:49:19.142]  As long as it takes and whatever it takes for justice to be done consistent with the facts and the law.
[02:49:21.343 --> 02:49:27.625]  What he's signaling towards is a superseding indictment of a broad conspiracy.
[02:49:27.845 --> 02:49:31.346]  He indicated whether or not you were even present.
[02:49:32.106 --> 02:49:34.727]  If your actions, and here's what a conspiracy is.
[02:49:35.947 --> 02:49:41.992]   Criminal conspiracy is if your actions Help advance the conspiracy.
[02:49:42.792 --> 02:49:45.653]  Whether or not you even knew you were in a conspiracy.
[02:49:45.973 --> 02:49:56.816]  If Bernard Kerrick said, we're gonna have a bunch of people up at the front gate screaming, and he didn't know he was involved in any conspiracy to do anything harmful, just First Amendment type stuff.
[02:49:58.257 --> 02:50:01.438]  If he actually said words and he wasn't even there, right?
[02:50:03.103 --> 02:50:04.784]  And it helped advance the conspiracy.
[02:50:05.045 --> 02:50:09.849]  They will charge him with the same exact conspiracy charge that they will President Trump.
[02:50:10.089 --> 02:50:10.629]  Absolutely.
[02:50:10.689 --> 02:50:13.392]  They're going to go after President Trump right now.
[02:50:13.792 --> 02:50:15.273]  They're going to go after Alex.
[02:50:15.333 --> 02:50:17.936]  Right now President Trump needs to be lawyered up.
[02:50:19.156 --> 02:50:22.138]  Alex Jones needs to be lawyered for this charge.
[02:50:22.198 --> 02:50:31.824]  He's specifically signaled, we will do whatever it takes and any means necessary after they seize power illegally.
[02:50:31.864 --> 02:50:36.967]  This guy right here was ceded illegally through election fraud.
[02:50:37.788 --> 02:50:39.409]  And they would stop at nothing.
[02:50:40.535 --> 02:50:44.718]  Including having us exercising our First Amendment right to redress grievance.
[02:50:45.819 --> 02:50:53.905]  But he was seated illegally into power, and now he's going to pursue anybody that tries to expose him, like President Trump.
[02:50:54.105 --> 02:50:54.345]  Right.
[02:50:54.646 --> 02:50:55.807]  Or Alex Jones.
[02:50:55.967 --> 02:51:02.231]  There will be a lot of people who will be considered an unindicted co-conspirator.
[02:51:02.251 --> 02:51:02.692]  That's right.
[02:51:03.272 --> 02:51:04.873]  And it could be anybody.
[02:51:05.033 --> 02:51:20.260]   If you checked or liked anything that Alex Jones had to say on social media, if you followed groups that were going to the Capitol or any of the people who have been indicted so far, Yeah.
[02:51:20.139 --> 02:51:26.099]   and checked their life to be anything that they had, you will be considered an unindicted co-conspirator.
[02:51:26.099 --> 02:51:31.939]   And what happens when they do that, and what Barland is getting ready to do,
[02:51:31.939 --> 02:51:40.338]   they now are allowed to cast a wide net, a very wide net, and start surveilling people
[02:51:40.338 --> 02:51:44.459]   that actually weren't even there, didn't even have anything to do with it at all.
[02:51:44.346 --> 02:51:46.767]  They just like the meme on Facebook.
[02:51:47.047 --> 02:51:47.468]  That's right.
[02:51:47.928 --> 02:51:50.088]  So we're going to get this word out to Alex Jones.
[02:51:50.108 --> 02:52:06.778]   We're going to continue on here because his broadcast yesterday, what he exposed, what he continues to expose is exactly why he will be the target of the full force of the government under a bunch of people that actually launched a military operation false flag against the American people.
[02:52:07.038 --> 02:52:08.199]  They're attempting to cover it up.
[02:52:08.859 --> 02:52:12.742]  Nancy Pelosi's withholding exculpatory information, right?
[02:52:13.002 --> 02:52:17.406]  There's a lot of exculpatory information about Stuart Rhodes, okay?
[02:52:17.706 --> 02:52:38.167]   And his involvement as a known document documented A government witness in the Bundy case, a confidential human source, and somebody who handed out body armor and ammunition at Bundy Ranch, also involved in an operation, putting a man who is under investigation and is about to be indicted...
[02:52:39.088 --> 02:52:42.790]  Who is in our room, okay, sent there by Stuart Rhodes.
[02:52:43.771 --> 02:52:47.313]  And he's about to be indicted in the Malheur National Wildlife Refuge.
[02:52:47.853 --> 02:52:50.275]  Room number 128 at the Silver Sperm Hotel.
[02:52:50.295 --> 02:52:50.275]  123.
[02:52:50.315 --> 02:52:50.655]  123, sorry.
[02:52:50.695 --> 02:52:51.175]  Why do I say 128?
[02:52:51.014 --> 02:52:55.014]  123 sorry why do I say 128?
[02:52:55.014 --> 02:52:57.014]  123?
[02:52:57.014 --> 02:53:24.014]  [Music]
[02:53:24.014 --> 02:53:32.014]   It was von Bismarck, the unifier of the German Republic, that first said, "Politics is war by another means."
[02:53:32.365 --> 02:53:35.726]  He also said war is politics by another means.
[02:53:36.286 --> 02:53:37.146]  They're interchangeable.
