[00:00:00.290 --> 00:00:00.791]  It's here.
[02:41:17.432 --> 02:41:19.434]  But it's not about guns, it's about mental illness.
[02:41:19.475 --> 02:41:20.716]  But anyway, I segue.
[02:41:22.822 --> 02:41:33.705]  The tragic shooting is just more proof that we live in a country that's bitterly divided, so divided that the two sides, right and left, Republican and Democrat, conservative and liberal, can't agree on anything.
[02:41:34.245 --> 02:41:38.747]  We appear headed for a divorce because it's clear neither side can live with the other.
[02:41:39.267 --> 02:41:42.928]  There's no way to compromise when two sides see things so differently.
[02:41:42.948 --> 02:41:44.048]  You know, the earth is flat.
[02:41:44.449 --> 02:41:45.489]  No, the earth is round.
[02:41:46.169 --> 02:41:47.429]  It's like night and day.
[02:41:47.890 --> 02:41:53.612]   It's almost as if Republicans are from Mars and Democrats are from Uranus.
[02:41:55.434 --> 02:42:00.317]  Here are the 14 lessons I've learned from the tragedy at the Texas school last week.
[02:42:00.357 --> 02:42:06.141]  I'm certain tens of millions of conservatives and Trump voters and patriots see it the exact same way.
[02:42:06.161 --> 02:42:06.581]  Want to bet?
[02:42:07.401 --> 02:42:09.943]  Number one, guns aren't the problem.
[02:42:10.003 --> 02:42:11.564]  Gun-free zones are the problem.
[02:42:11.944 --> 02:42:13.145]  They are killing fields.
[02:42:13.505 --> 02:42:20.210]  They are open invitations for mentally deranged criminals and criminally insane madmen to walk in and start shooting.
[02:42:20.979 --> 02:42:26.681]  Gun-free signs outside a school or a church are like a blinking neon sign in Vegas.
[02:42:27.221 --> 02:42:30.463]  Blinking and screaming, come on in and kill us!
[02:42:30.823 --> 02:42:31.703]  We're defenseless!
[02:42:32.123 --> 02:42:33.084]  We can't shoot back!
[02:42:34.684 --> 02:42:38.606]  Number two, guns didn't cause this tragedy, but a good guy with a gun sure ended it.
[02:42:39.329 --> 02:42:47.977]  An armed border agent killed the bad guy, thereby saving lives, and that should be the headline.
[02:42:49.119 --> 02:42:50.680]  Every school needs armed security.
[02:42:51.101 --> 02:42:55.705]  There should be only a single point of entry to every school, and a guard must always protect that entrance.
[02:42:56.205 --> 02:42:59.669]  All other doors to the school should be locked and secured.
[02:43:01.678 --> 02:43:09.683]  Backing up armed security at every school should be teachers and or administrators who are armed with guns and professional gun training.
[02:43:10.083 --> 02:43:11.864]  Number five, how can we afford all this?
[02:43:12.264 --> 02:43:18.608]  I've argued from day one it was a disastrous decision and a tragic mistake to give another 40 billion to Ukraine.
[02:43:18.628 --> 02:43:39.809]   Matter of fact, I argued that the first 20 billion or so that we gave in one trunch was a tragic mistake and that the first 40 billion in total We gave to them in pieces including that 20 billion trunch mistake and then the next 40 billion tragic mistake We need to worry about America first we could have used that 40 billion here at home half of it 20 billion and
[02:43:40.416 --> 02:43:43.501]  Should have been used to pay for armed security at every school in America.
[02:43:44.122 --> 02:43:47.346]  And if we really want to protect children, secure the border.
[02:43:47.707 --> 02:43:50.911]  The other half of that $40 billion, i.e.
[02:43:50.931 --> 02:43:55.238]  $20 billion, should have been used to build and secure the wall at our southern border.
[02:43:56.016 --> 02:44:11.549]  If you're angry and shocked as a nation about 19 innocent young children dying in that school shooting, shouldn't we be even more concerned with tens of thousands of American kids dying each year from drug overdoses with drugs brought across that border?
[02:44:13.171 --> 02:44:16.654]  Everything that comes over that border is a threat to America's children.
[02:44:17.228 --> 02:44:26.935]  Drugs, human traffickers, child sex traffickers, pedophiles, and tons of vicious, violent criminals, gangbangers, and MS-13 murderers.
[02:44:27.516 --> 02:44:33.462]   Why didn't we use that Ukraine money To save thousands of kids' lives by securing the border.
[02:44:34.002 --> 02:44:39.124]  Gun control is a massive failure everywhere it's ever been tried.
[02:44:39.524 --> 02:44:46.366]  There are far more shootings, violent crimes and murders in Democrat-run cities with strict gun control than anywhere else.
[02:44:46.906 --> 02:44:47.607]  Why is that?
[02:44:47.647 --> 02:44:48.547]  The answer is simple.
[02:44:48.587 --> 02:44:51.028]  Strict gun control never stops criminals.
[02:44:51.068 --> 02:44:52.328]  They buy their guns illegally.
[02:44:52.768 --> 02:44:54.609]  It just leaves the good people defenseless.
[02:44:55.049 --> 02:45:05.535]   We'll do nothing to stop Crime or mass murders, what we need to do is enforce the laws already on the books, but it is Democrat district.
[02:45:06.440 --> 02:45:11.724]  That allow all the criminals back on the street, and almost every crime is committed by a repeat offender.
[02:45:12.124 --> 02:45:27.316]  Number nine, instead of useless new laws, why don't we make mass murder, the killing of two or more, a death penalty crime, and if convicted of mass murder, there are no appeals, and you get shot by firing squad the next morning after you're found guilty by a jury of your peers.
[02:45:27.376 --> 02:45:30.198]  Number ten, investigate Big Pharma!
[02:45:30.618 --> 02:45:32.820]  Not the gun companies, Big Pharma!
[02:45:33.340 --> 02:45:44.328]  For the drugs they pump into young males for depression, anger issues, attention deficit disorder, and mental illness, virtually every mass killer in recent memory was on these drugs.
[02:45:44.828 --> 02:45:48.410]  The side effects of these drugs are suicidal thoughts and violent thoughts.
[02:45:48.811 --> 02:45:51.352]  Why are we drugging all of our male teenagers in school?
[02:45:51.873 --> 02:45:54.455]  Number 11, never mentioned to fund police to me again.
[02:45:54.475 --> 02:45:58.978]  Incidents like this prove we need more police and more funding for police, not less.
[02:45:59.478 --> 02:46:04.861]   Number 12, as much as I love and appreciate the police, Boy, did they fail miserably this time.
[02:46:05.321 --> 02:46:08.783]  There are many questions about how the police responded to this school shooting.
[02:46:09.183 --> 02:46:17.988]  How could they stand around for an hour or 90 minutes knowing that kids were being shot, knowing that gunfire was going off, knowing that kids were bleeding to death and doing nothing?
[02:46:18.648 --> 02:46:23.691]  Did they actually run into the school, by the way, and get their own kids out while leaving everybody else's kids to die?
[02:46:24.031 --> 02:46:24.931]  Did cops do that?
[02:46:25.732 --> 02:46:28.833]  And were they afraid of walking into the school and getting shot?
[02:46:29.153 --> 02:46:30.194]  That's what a police chief said.
[02:46:30.494 --> 02:46:32.135]  Hey, we were afraid of getting shot.
[02:46:33.008 --> 02:46:35.829]  If you're afraid of getting shot, you need to find another profession.
[02:46:36.209 --> 02:46:41.611]  Every cop afraid of getting shot should either be indicted right now or certainly fired from their job.
[02:46:42.191 --> 02:46:43.051]  That's their job.
[02:46:43.531 --> 02:46:48.653]  So please, no more defend police, but let's also rethink how we're hiring and training cops.
[02:46:48.713 --> 02:46:51.553]  We need heroic, macho warriors as cops.
[02:46:52.034 --> 02:46:58.286]   Stop trying to make them into poets, politically correct pansies, And social workers.
[02:46:58.746 --> 02:47:00.787]  I've got a 13 and 14 to finish up.
[02:47:01.047 --> 02:47:02.308]  We're running out of time in this segment.
[02:47:02.328 --> 02:47:05.430]  I'll do it to start the next segment.
[02:47:05.450 --> 02:47:07.671]  13 and 14 lessons that you'll want to hear.
[02:47:07.731 --> 02:47:13.695]  The final crescendo from the lessons we learn from the school shooting in Texas by Wayne Allyn Root.
[02:47:13.955 --> 02:47:14.636]  We'll be right back.
[02:47:14.676 --> 02:47:16.837]  Root for America dot com.
[02:47:17.277 --> 02:47:19.158]  Wayne Root at gmail dot com.
[02:47:19.519 --> 02:47:22.220]  And my book, The Great Patriot Protest and Boycott Book.
[02:47:22.520 --> 02:47:23.701]  Be right back on the Alex Jones Show.
[02:47:23.721 --> 02:47:24.942]  All right.
[02:47:25.743 --> 02:47:27.044]  Wayne Allyn Root, back again!
[02:47:27.064 --> 02:47:29.385]  The Root, the Root, the Root's on fire!
[02:47:30.046 --> 02:47:32.607]  Coming to you from the house that Root built in Las Vegas, Nevada.
[02:47:33.307 --> 02:47:36.509]  And broadcast all over the United States by InfoWars!
[02:47:37.070 --> 02:47:38.831]  And Alex Jones, honored to be on the show.
[02:47:39.451 --> 02:47:41.192]  RootForAmerica.com is my website.
[02:47:41.612 --> 02:47:43.273]  You saw it up on the screen a moment ago.
[02:47:44.334 --> 02:47:46.775]  You can always email me, waynerootatgmail.com.
[02:47:47.235 --> 02:47:49.877]  And my book is The Great Patriot Boycott.
[02:47:50.513 --> 02:47:57.019]  Great Patriot protest and boycott book by Wayne Allred and my co-author by the way, great guy, Nikki Ballou of Canada.
[02:47:57.719 --> 02:47:59.060]  Wow, has Canada gone bad?
[02:47:59.620 --> 02:48:00.900]  Boy, has Canada gone sour.
[02:48:01.281 --> 02:48:02.701]  Getting ready to ban all guns.
[02:48:02.721 --> 02:48:06.743]  Except the people are completely helpless when the Gestapo, i.e.
[02:48:06.823 --> 02:48:11.345]  Justin Trudeau and his storm troops try and take you away for not taking a vaccine.
[02:48:11.825 --> 02:48:13.066]  No guns to defend yourself.
[02:48:13.106 --> 02:48:13.466]  Scary.
[02:48:13.926 --> 02:48:15.847]  Great Patriot protest and boycott book.
[02:48:15.887 --> 02:48:20.629]  I was just reading you my column that came out this weekend, syndicated in newspapers around the country.
[02:48:21.010 --> 02:48:25.952]  The 14 lessons every conservative patriot learned from the tragic Texas school shooting.
[02:48:27.779 --> 02:48:31.661]  And number 12 was that the police did a poor-ass job.
[02:48:32.641 --> 02:48:34.742]  They sucked, to put it in street language.
[02:48:35.203 --> 02:48:36.163]  They were horrible.
[02:48:36.563 --> 02:48:37.804]  And they may get indicted now.
[02:48:38.644 --> 02:48:41.466]  And I feel bad for them, because the average cop is just listening to orders.
[02:48:41.886 --> 02:48:44.367]  But the people in charge who gave the orders should all be indicted.
[02:48:44.967 --> 02:48:50.970]  If you leave children alone in a school while guns are going off to be shot, you're a horrible human being.
[02:48:51.310 --> 02:48:52.991]  You don't deserve to be in charge of anything.
[02:48:53.431 --> 02:48:54.732]  You shouldn't be a dog catcher.
[02:48:55.132 --> 02:48:56.973]  You shouldn't be a public administrator.
[02:48:57.586 --> 02:48:58.567]  Let alone a police chief.
[02:48:59.648 --> 02:49:01.049]  And we got to take you away from your job.
[02:49:01.089 --> 02:49:01.389]  That's it.
[02:49:01.430 --> 02:49:01.790]  You're done.
[02:49:02.350 --> 02:49:02.751]  You're done.
[02:49:03.671 --> 02:49:06.774]  If you don't save children's lives, you have no right to call yourself a cop.
[02:49:08.055 --> 02:49:09.497]  All right.
[02:49:10.217 --> 02:49:10.598]  Number 13.
[02:49:10.638 --> 02:49:11.198]  14 key lessons.
[02:49:11.238 --> 02:49:11.458]  Number 13.
[02:49:12.603 --> 02:49:26.795]  This mass shooting and the poor police response only, this is what Democrats don't understand, only makes American conservatives and patriots even more certain it's up to us to defend ourselves and save our children and our families.
[02:49:27.415 --> 02:49:30.138]  We love the police, but we can never count on them.
[02:49:30.718 --> 02:49:32.520]  If it is to be, it is up to me.
[02:49:32.880 --> 02:49:34.022]  I learned that saying in high school.
[02:49:34.362 --> 02:49:36.224]  If it is to be, it's up to me.
[02:49:36.604 --> 02:49:37.485]  You know what taught me that saying?
[02:49:37.865 --> 02:49:47.715]  When I was a kid in high school, we had a congressman, Joe D'Aguardio, I believe was his name, or Joe D'Aguardi, in Westchester County, New York, representing the Maranac area.
[02:49:48.216 --> 02:49:49.557]  He taught me that saying.
[02:49:50.118 --> 02:49:51.639]  If it is to be, it's up to me.
[02:49:52.040 --> 02:49:53.341]  You got to do it yourself.
[02:49:54.622 --> 02:50:03.447]  So, I'll bet more guns and more ammunition is bought in the coming months by Americans than ever before in the history of America.
[02:50:03.827 --> 02:50:05.848]  Liberals think, oh my God, this ends guns!
[02:50:06.168 --> 02:50:07.349]  Nobody wants guns anymore!
[02:50:07.669 --> 02:50:08.810]  No, everybody wants guns.
[02:50:09.190 --> 02:50:13.232]  Because we all realize that they're going to try and ban them and we've got to protect ourselves right now.
[02:50:13.912 --> 02:50:15.713]  Number 14, and the police can't help us.
[02:50:16.073 --> 02:50:16.934]  Number 14.
[02:50:18.054 --> 02:50:18.795]  One final point.
[02:50:19.495 --> 02:50:20.516]  Actually, it's a pledge.
[02:50:21.136 --> 02:50:22.737]  Stop trying to take our guns.
[02:50:23.504 --> 02:50:27.430]  This isn't Australia, this isn't Austria, this isn't New Zealand.
[02:50:28.031 --> 02:50:30.996]  This is America, and you're never taking our guns.
