[00:00:00.149 --> 00:00:00.549]  It's on.
[02:47:46.020 --> 02:47:46.861]  You must remember 2020.
[02:47:46.921 --> 02:47:50.262]  People chanting, screaming it.
[02:47:50.562 --> 02:47:51.482]  There was hysteria.
[02:47:51.722 --> 02:47:54.603]  There were police officers in London taking the knee.
[02:47:54.683 --> 02:47:57.224]  Indeed, many football teams still do.
[02:47:57.384 --> 02:47:59.144]  Yes, Black Lives Matter.
[02:47:59.204 --> 02:48:03.186]  This wonderful organisation campaigning for racial justice.
[02:48:03.246 --> 02:48:07.527]  And anybody that dared to stand in its way was a bad person.
[02:48:08.027 --> 02:48:09.027]  And should be cancelled?
[02:48:09.227 --> 02:48:12.428]  Well, many of us that stood up to it were.
[02:48:13.168 --> 02:48:15.409]  I did because I knew Black Lives Matter from America.
[02:48:15.809 --> 02:48:19.409]  I knew what it swept across after the horrible death of George Floyd.
[02:48:20.030 --> 02:48:23.230]  I knew this was an organisation I did not trust.
[02:48:23.430 --> 02:48:29.532]  I knew this was an organisation more intent on division than it was on bringing anyone together.
[02:48:30.212 --> 02:48:31.992]  Well, try this for size.
[02:48:32.692 --> 02:48:41.558]   The accounts have been issued for 2020, a year In which the organisation raised $90 million.
[02:48:41.618 --> 02:48:43.479]  That's right, $90 million.
[02:48:43.919 --> 02:48:50.704]  And much of the funding came from the usual suspects, organisations linked to Soros, which have been backing BLM for years.
[02:48:51.504 --> 02:48:55.147]  Much of it also coming from big corporate America.
[02:48:55.487 --> 02:48:59.370]  You know, the people on the West Coast, the tech giants, all of these guys.
[02:48:59.770 --> 02:49:05.894]  Most of it, though, coming from ordinary men and women who were taken in thinking this was a good organisation.
[02:49:06.374 --> 02:49:06.875]  What did we learn?
[02:49:07.535 --> 02:49:28.205]   From the accounts, well, we learn that Patrice Colors, who's been running the organization for some years, well, she seems to have had a very good year because she's managed to purchase four real estate properties since 2020 in America, including one In Los Angeles, a nice seven-bedroom pad costing six million dollars.
[02:49:28.225 --> 02:49:36.809]  Yes, she owns it, but she says that it's for housing needs and for production studios.
[02:49:36.889 --> 02:49:40.411]  It sounds like quite a studio, but not content with that.
[02:49:40.871 --> 02:49:46.553]  The father of her child has earned nearly a million dollars organizing live events.
[02:49:47.614 --> 02:49:51.455]  And, surprise, surprise, her brother got a security contract for $840,000.
[02:49:52.015 --> 02:50:00.959]  One of her fellow directors has managed to earn $2.1 million providing services to the company.
[02:50:01.479 --> 02:50:04.881]  And the more you go through this list, the worse and worse it gets.
[02:50:05.081 --> 02:50:05.421]  It's clear.
[02:50:06.261 --> 02:50:18.728]  That this woman and her friends in BLM, out of the open-heartedness and gratitude of many people who thought that BLM was doing the right thing, this woman has taken their money.
[02:50:19.089 --> 02:50:21.510]  It is a complete and utter disgrace.
[02:50:21.670 --> 02:50:29.115]  It exposes Black Lives Matter as a completely crooked organisation, intent on lining their own pockets.
[02:50:29.275 --> 02:50:31.511]   Intent On creating more division.
[02:50:31.812 --> 02:50:34.712]  Has anything improved as a result of their protests?
[02:50:34.932 --> 02:50:37.133]  No, I don't think so.
[02:50:37.673 --> 02:50:55.639]  I'm just wondering now, whether all the lovies, all the great and the good, all of those who condemn me for what I said, whether they, you know, present match of the day or whatever else it is, whether they're actors, I just wonder whether any of them will actually be embarrassed.
[02:50:55.959 --> 02:51:00.661]   I wonder whether any of them We'll apologise for backing this organisation.
[02:51:00.841 --> 02:51:05.704]  I expect in return a stony wall of silence.
[02:51:05.804 --> 02:51:09.206]  But at least BLM have been exposed.
[02:51:09.666 --> 02:51:12.488]  And really folks, what we should be thinking about is this.
[02:51:13.368 --> 02:51:14.489]  Not dividing people up.
[02:51:15.293 --> 02:51:26.942]  In terms of their race, ethnicity, sexuality, age or class, what we should be doing as a society is trying to bring people together in a spirit of meritocracy.
[02:51:27.442 --> 02:51:34.587]  It would be so much better if our kids at school were taught to be colourblind, which in many ways, naturally, they are.
[02:51:34.607 --> 02:51:46.156]   I was with a friend at the weekend who said to me, Nigel, we're probably the last generation who will look upon people as Regardless of their skin colour, we'll be colourblind to all of these things.
[02:51:46.537 --> 02:51:54.123]  And now we're all to be divided up, and to be labelled, and to hate each other, and to get ready for the great Marxist takeover.
[02:51:54.703 --> 02:51:57.565]  I hope this little video exposes BLM to you.
[02:51:58.006 --> 02:51:59.247]  Don't be taken in by them.
[02:51:59.547 --> 02:52:01.869]  Don't be taken in by anybody that supports them.
[02:52:02.209 --> 02:52:11.837]  And if you see BLM, whether it's on a football match or a cricket match, you know, please tell the organisers to drop this corrupt organisation.
[02:52:15.307 --> 02:52:17.076]  There you have Nigel Farage, and again.
[02:52:17.774 --> 02:52:24.558]  Premier League footballers in England are still taking a knee for BLM before all their games.
[02:52:25.079 --> 02:52:45.492]  Some of them are just standing there and applauding, some of them don't know what to do, but some of them are still performing this act of subservience, obedience to the BLM narrative, despite the fact that the entire narrative, the entire motivation behind the organisation, being a corrupt Ponzi scheme, is revealed more and more every single day.
[02:52:46.372 --> 02:52:49.838]   Meanwhile, Breitbart reports a new flag already.
[02:52:50.378 --> 02:52:56.441]  Woke London Mayor Sadiq Khan unveils new LGBTQ plus flag for IDAHOBIT.
[02:52:56.681 --> 02:52:57.622]  Whatever the hell that is.
[02:52:57.982 --> 02:53:07.026]  London Mayor Sadiq Khan has apparently unveiled a new version of the LGBTQ plus pride flag for International Day Against Homophobia, Transphobia and Biphobia.
[02:53:07.327 --> 02:53:07.907]  IDAHOBIT.
[02:53:08.307 --> 02:53:32.275]   That seems like a Not a day, it seems like every single week they have some kind of event to mark the great oppressed downtrodden movement that is LGBT, supported by every major corporation, every major government, the entertainment industry, the music industry, supported by judges who will punish people for offending the LGBT community.
[02:53:33.175 --> 02:53:39.977]   But now they've added more colours To the Pride flag, yes, if you could believe that that was even physically possible.
[02:53:40.597 --> 02:53:44.880]  They already added all the trans colours to the flag a few years ago.
[02:53:45.360 --> 02:53:49.082]  Well now they've added hot pink to symbolise women.
[02:53:49.422 --> 02:53:55.566]  Apparently now just women in general are part of LGBT movement, whether they're LGBT or not.
[02:53:56.467 --> 02:54:01.870]  And they've added something else to include non-binary people.
[02:54:02.774 --> 02:54:11.861]  Black, brown and queer people, that was already included in the previous version, and also two spirit people, and God knows whoever else!
[02:54:12.561 --> 02:54:19.446]  They've released a 50 pence coin, the Royal Mint, because this, again, group is so downtrodden and underrepresented.
[02:54:20.267 --> 02:54:28.133]  Their flag literally flies over government buildings in central London because they're so downtrodden and underrepresented.
[02:54:29.088 --> 02:54:32.990]  And now Disney is joining in on the carnival too!
[02:54:33.810 --> 02:54:46.956]  Of course, Disney appealing to children, they've now launched a new line of LGBT clothing, despite the fact that their favorability ratings have completely collapsed because of their endorsement of this entire woke agenda.
[02:54:48.024 --> 02:54:53.709]  Disney said, we stand in solidarity with our LGBTQI plus community everywhere.
[02:54:53.749 --> 02:54:56.211]  They've left out some letters there, pretty bigoted of them.
[02:54:56.731 --> 02:54:59.533]  Haven't included the two-spirit people or the women.
[02:55:00.894 --> 02:55:07.299]  In show of solidarity, Disney introduces new LGBTQ plus clothing line for young children and babies.
[02:55:08.801 --> 02:55:27.718]   Because inducting children into Now, whatever you believe about the moral aspects of it, a lifestyle that provably leads to mass depression rates and suicide of gays, transgenders, go and look up the figures, that's really healthy to promote that to children, isn't it?
[02:55:28.199 --> 02:55:44.280]   Again, kids shouldn't be exposed to any kind of sexuality whatsoever, but when they're exposed to the sexuality that leads to misery, suicide and depression by Disney, A corporation that exists to basically entertain children, to a great extent.
[02:55:45.060 --> 02:55:46.921]  No wonder people have a problem with that.
[02:55:46.961 --> 02:55:58.924]  But somebody who did have a problem with LGBT movement, because it's so downtrodden and oppressed, is a man in Florida who did a burnout on an LGBT coloured crosswalk.
[02:55:59.224 --> 02:56:05.426]  Yes, because he offended the woke mob, the LGBT community, who are so downtrodden and oppressed.
[02:56:06.448 --> 02:56:12.129]  Zero Hedge reports Florida judge orders Vandal to write 25 pages of LGBT fiction.
[02:56:12.590 --> 02:56:14.610]  Yes, he has to doth his cap.
[02:56:14.970 --> 02:56:21.112]  He has to prove his ideological subservience to the agenda because they're so downtrodden and oppressed.
[02:56:21.792 --> 02:56:34.258]   By writing a LGBT fiction based on the false premise that Gay Pulse nightclub shooter Omar Mateen deliberately targeted the LGBT community.
[02:56:34.418 --> 02:56:35.939]  As we know, he didn't.
[02:56:36.279 --> 02:56:46.882]  It was a generalised attack for US military interventions in the Middle East, but now this guy has got to write a complete fiction in ideological subservience because he dared to a burnout on a coloured crosswalk.
[02:56:46.982 --> 02:56:47.462]  That's it.
[02:56:47.682 --> 02:56:48.503]  War Room is next.
[02:56:48.442 --> 02:56:59.242]  Don't go away.
[02:56:59.790 --> 02:57:04.875]  We've had a huge, huge effect when it comes to the fight against the globalists.
[02:57:05.896 --> 02:57:07.198]  And we've changed the world together.
[02:57:08.219 --> 02:57:18.148]  And I want to thank you for all you've done over the years with your prayers, your word of mouth, and shopping with us, and supporting us, while at the same time getting great products at InfoWarsStore.com.
