[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[02:40:29.554 --> 02:40:38.162]  So they made, because you use that binding domain in the spike protein to make it aerosolized so that you breathe it in.
[02:40:38.563 --> 02:40:50.374]  Because normally retroviruses are only spread through blood and body fluids because you need pieces and parts of animal cells in order to get the pro-virus.
[02:40:50.994 --> 02:40:52.395]  Unless you inject it.
[02:40:52.815 --> 02:40:59.499]  So now you're going to test positive by PCR for HIV.
[02:41:00.399 --> 02:41:18.855]   And if you've already been injected or you've already been infected, either with the monkey one or With the human one by AIR and you've made antibodies, these are absolutely the people who don't want to get another shot.
[02:41:19.455 --> 02:41:24.601]  So no matter which way you got it, stop the shots.
[02:41:25.262 --> 02:41:36.926]   Never get another shot because every single shot Has either monkey, mouse, or manufactured HIV spike protein.
[02:41:36.986 --> 02:41:37.326]  Pardon?
[02:41:37.606 --> 02:41:41.508]  It's just a little peptide, so it's just a few base pairs.
[02:41:41.888 --> 02:41:50.231]  And when they change a base pair or two, you know, A, T, C, and G, you know, they're telling you that you're only your mRNA.
[02:41:50.311 --> 02:41:53.473]  No, you're your chromosomes, and God's giving you everything you need.
[02:41:53.813 --> 02:41:58.395]  And if you get those minerals, see they, so they depleted our soil of minerals.
[02:41:59.128 --> 02:42:03.813]  They caused the MTHFR mutation.
[02:42:03.873 --> 02:42:08.037]  That single nucleotide polymorphism is epigenetics.
[02:42:08.097 --> 02:42:11.621]  That's not the way God made us four generations back.
[02:42:11.981 --> 02:42:18.007]  It's how long they've been injecting us and they hit the hot spot so that you get infected.
[02:42:18.248 --> 02:42:20.050]  Yeah, look at every one of those persons.
[02:42:20.430 --> 02:42:22.312]  So they're wearing masks.
[02:42:22.652 --> 02:42:25.934]  So they're making themselves have an adverse reaction.
[02:42:26.214 --> 02:42:37.721]  They're activating the latent viruses of that 8% of your human virome and the ones your body has silenced because we don't all get sick from those shots.
[02:42:38.101 --> 02:42:40.383]  So they loaded up the most susceptible.
[02:42:40.423 --> 02:42:43.545]  They looked at the vitamin D. They looked at the minerals.
[02:42:43.885 --> 02:42:46.107]  They looked at the curcumin, those pathways.
[02:42:46.187 --> 02:42:55.913]  Curcumin modulates that NF kappa B. So when you start to see what the bad guys in the Crimes Against Humanity Tour, what they do?
[02:42:56.293 --> 02:42:58.815]  Oh, they tried to capture Alex Jones.
[02:42:59.375 --> 02:43:01.617]  They tried to make Alex Jones look bad.
[02:43:01.677 --> 02:43:05.179]  They tried to make Judy Mikevitz and Reiner Fulmish look bad.
[02:43:05.199 --> 02:43:12.799]   Because Reiner was testifying against against the PCR test, which was literally fraud.
[02:43:12.799 --> 02:43:16.399]  How you make the primers is what you detect.
[02:43:16.399 --> 02:43:21.040]   So they find what they wanna find, and that's the real plague.
[02:43:21.040 --> 02:43:24.399]  I think that's one of the last lines of our first book.
[02:43:24.399 --> 02:43:32.239]   So you see, we gave them a blueprint in our research of how to attack and poison your food.
[02:43:32.239 --> 02:43:37.480]   And in all of our books, but especially in our last book, "Ending Plague,"
[02:43:37.480 --> 02:43:41.280]  We talk about Stephanie Seneff's book, "Toxic Legacy."
[02:43:41.399 --> 02:43:42.600]  It's glyphosate.
[02:43:42.660 --> 02:43:52.243]  So when Brian Artis is saying the water is poison, glyphosate, XMRVs get into cells through a phosphate transporter.
[02:43:52.763 --> 02:44:00.746]  But all your proteins, the 3% of your messenger RNA that's translated into protein, they're post-translation.
[02:44:01.066 --> 02:44:10.050]  After you make the protein, how do we make it fit the human's environment, whether you're a black person, whether you're a white person, whether you live in Sweden?
[02:44:10.370 --> 02:44:16.474]  Whether you live in India, you eat different food, you have different microbes in your water, you get monosumas, it's all food.
[02:44:16.934 --> 02:44:22.678]  And it's also, these are the toughest races that can live in blazing sun or freezing cold.
[02:44:23.078 --> 02:44:31.203]   And God gave you that modification so the sensors, it's the sensors on your cell surfaces, And so it's just signaling.
[02:44:31.483 --> 02:44:39.905]  And so we're missing the minerals, we're missing the dimethylglycine, we're missing the type 1 interferons because they cripple the pathway and they knew exactly how to do it.
[02:44:40.205 --> 02:44:47.368]  The XMRVs integrate into hotspots in CPG, it's called islands.
[02:44:47.648 --> 02:44:51.209]  That's the on-off switches for your God-given viruses to protect you.
[02:44:51.629 --> 02:44:54.530]  So they get in there and they change them forever.
[02:44:55.265 --> 02:45:02.708]  That MTHFR M677, C677T.
[02:45:03.148 --> 02:45:05.249]  That's a C to T transmission.
[02:45:05.609 --> 02:45:08.850]  The C gets regulated, turn off and on.
[02:45:09.290 --> 02:45:10.170]  The T doesn't.
[02:45:10.690 --> 02:45:17.133]  So God did that to protect us from building up homocysteine and having a heart attack and die.
[02:45:17.453 --> 02:45:18.493]  What do the shots do?
[02:45:18.813 --> 02:45:20.354]  They cause myocarditis.
[02:45:21.461 --> 02:45:26.024]  Oh, but your homocysteine doesn't build up because God protected us from the poison.
[02:45:26.344 --> 02:45:37.472]  So, Eve, if we just stop today, that's why I'm so excited today, because I just sat down and did two and a half hours of chemistry, said, OK, Doc, with a fabulous doc here, I won't say his name.
[02:45:37.752 --> 02:45:40.714]  And you don't know where I am, except for the phone knows where I am.
[02:45:41.535 --> 02:45:42.655]  So I had to drive.
[02:45:42.695 --> 02:45:47.799]  I had to get up at four in the morning to get here to be with you today and to get to that meeting with him.
[02:45:47.819 --> 02:45:56.726]   So so that but the point is, so I'm going to go right to my publicist and say, get Alex Jones books.
[02:45:57.046 --> 02:46:09.096]  We've put all of our books in the Get Healthy store because until the doctors can read and the real Anthony Fauci as well, because what's important about the real Anthony Fauci?
[02:46:09.136 --> 02:46:10.017]  I mean, it's brilliant.
[02:46:10.037 --> 02:46:11.939]  I just can't even tell you how brilliant it is.
[02:46:12.679 --> 02:46:16.981]  And I had to listen to it because my mind gets blown and I just have to turn it off.
[02:46:17.321 --> 02:46:22.163]  And if I read it, I'm going to fill in the gaps of the biochemistry pathway and that won't work.
[02:46:22.503 --> 02:46:25.824]  So I can fix it later, but we'll write further volumes.
[02:46:25.924 --> 02:46:26.625]  I hope he will.
[02:46:27.425 --> 02:46:32.707]  But at any rate, what's important about it is they don't even say.
[02:46:33.826 --> 02:46:40.869]  The word XMRB or Judy Mikovits and it's said once in the book but not in the acknowledgements.
[02:46:41.329 --> 02:46:53.433]  And that's the kudos Mickey Willis, kudos Alex Jones, kudos Mike Adams, kudos everybody, Stephanie Senner, Peter McCullough, Robert Malone, because they don't want us talking to each other.
[02:46:53.874 --> 02:46:57.755]  They don't want the MDs to understand the biochemistry.
[02:46:58.155 --> 02:47:06.963]   And that's why it was said in this tour that I attacked So you can look at the other article that came right out after Plandemic.
[02:47:07.624 --> 02:47:11.689]  That one was a week and it was Science Magazine.
[02:47:11.729 --> 02:47:16.275]  Just go to sciencemag.org and search Mikevitz and Cohen.
[02:47:16.355 --> 02:47:16.816]  C-O-H-E-N.
[02:47:17.785 --> 02:47:33.316]  And you'll find how the scientific literature, as Tess Lorre on Del Bigtree Show, the Informed Consent Action Network, as she said, oh, they took the journal articles and they're criminal fraud.
[02:47:33.777 --> 02:47:49.277]   So when you start to see, and they told them, publish faster the negative studies on ivermectin, it's a purinergic modulator, and they write the word that I'm a virologist who attacked I didn't attack Tony Fauci.
[02:47:49.598 --> 02:47:52.139]  I sat there and said, no, you don't understand.
[02:47:52.620 --> 02:47:55.562]  You don't give AZT when a man is antibody positive.
[02:47:55.622 --> 02:47:57.883]  Is that an attack on Tony Fauci?
[02:47:58.323 --> 02:48:00.185]  That's what Mickey Willis said.
[02:48:00.985 --> 02:48:03.147]  He'll get antibody dependent enhancement.
[02:48:03.187 --> 02:48:04.347]  You don't do that.
[02:48:04.488 --> 02:48:05.708]  I'm going to come right back.
[02:48:05.728 --> 02:48:08.430]  I'm going to come right back with Dr. Judy Mikevitz.
[02:48:08.650 --> 02:48:10.552]  And I have so many questions for her.
[02:48:10.692 --> 02:48:15.335]  So many things that we need to learn in this hour about the shots and what's coming.
[02:48:15.375 --> 02:48:17.176]  We'll be right back on the Alex Jones Show.
[02:48:19.678 --> 02:48:20.979]  Welcome back to the Alex Jones Show.
[02:48:21.019 --> 02:48:23.961]  I'm Kate Dally, your guest host from katedallyradio.com.
[02:48:24.061 --> 02:48:25.302]  So glad you're joining us.
[02:48:25.342 --> 02:48:26.583]  This is an important hour.
[02:48:26.603 --> 02:48:31.487]  I want to learn so much from Dr. Judy Mikevitz, and I always do every time I talk with her.
[02:48:31.807 --> 02:48:33.548]  There's a couple of things that have been happening.
[02:48:33.668 --> 02:48:38.772]  Everybody's been noticing all the lying, all of that, well lies from the beginning, but all the backtracking.
[02:48:39.092 --> 02:48:41.194]  Fauci said he never said flatten the curve.
[02:48:41.254 --> 02:48:47.518]   CDC, Rochelle said they had too much optimism and not enough Caution, so sorry about all those shots.
[02:48:47.898 --> 02:48:54.461]  And then, of course, King fraud a lot, saying that you couldn't get sick, and many others, after, you know, you took the shots.
[02:48:54.501 --> 02:48:55.821]  And, of course, you can.
[02:48:56.481 --> 02:48:58.822]  And they said, now, they've never said that.
[02:48:58.982 --> 02:49:05.145]  So, I don't know if they know that in this technology today, we actually have video of everybody saying these things, and I play them on my show all the time.
[02:49:05.605 --> 02:49:07.766]  But, my gosh, this is getting ridiculous.
[02:49:08.326 --> 02:49:25.353]  And so, there's a couple of questions I have for you, and I think, sometimes, I think so much is going to go over my head in scientific speak, but I know that there are certain things I'm going to take away, and I'm going to understand from this conversation, Judy, because you're so brilliant, and you've done so much to educate.
[02:49:25.834 --> 02:49:33.437]  And so, I would like to know, you know, you knew, you probably guessed that these lies were going to come back, and they were going to have to say they'd never said them.
[02:49:34.077 --> 02:49:36.220]  What happens next with the shots?
[02:49:36.280 --> 02:49:38.402]  Do you feel like something is coming this fall?
[02:49:38.422 --> 02:49:42.546]  Do they have another shot sequence, drip system I call it, coming out?
[02:49:43.087 --> 02:49:46.230]  What happens this fall, do you think, fall and winter going into 2023?
[02:49:46.310 --> 02:49:47.051]  Well, I hope what happens...
[02:49:51.730 --> 02:50:03.078]  Is that people realize, so we just put out a video, the We is Dr. Ben Marble, MD, so at I think MyFreeDoctor.com.
[02:50:03.578 --> 02:50:11.083]  And so Ben Marble just put out a video of a whole bunch of doctors saying, stop the shot.
[02:50:12.124 --> 02:50:13.125]  Stop the shot.
[02:50:13.225 --> 02:50:18.352]  And so I talked and I also said, I said, please stop the shot.
[02:50:19.193 --> 02:50:20.174]  All the shots.
[02:50:20.655 --> 02:50:25.201]  Because if nobody gets another shot.
[02:50:26.115 --> 02:50:31.979]  They just lied about everything in the past 50 years.
[02:50:32.299 --> 02:50:33.640]  You've been lied to.
[02:50:33.720 --> 02:50:37.863]  You can tell now, as Alex just said, about those supplements.
[02:50:38.184 --> 02:50:47.890]  I wrote down every one of them because I'm going to buy them and hope that Alex will link them to our real Dr. Judy, TheRealDrJudy.com.
[02:50:47.970 --> 02:50:57.094]   I'm hoping we can put them in our Get Healthy Store, including, if not the products, in our The book.
[02:50:57.534 --> 02:51:00.797]  Because the books are so heavily censored, that's why I said it.
[02:51:00.817 --> 02:51:03.559]  Because the doctors aren't being educated.
[02:51:04.140 --> 02:51:08.944]  I don't want to sound, it's not false humility, but I'm not brilliant.
[02:51:09.124 --> 02:51:12.307]  I'm a biochemist and a molecular biologist.
