[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[02:39:57.943 --> 02:39:59.023]  It doesn't come from them.
[02:40:00.402 --> 02:40:01.643]  It comes from the state.
[02:40:03.263 --> 02:40:06.544]  Now, what we're hoping is that they kick us out.
[02:40:06.744 --> 02:40:09.045]  This sounds bad, but we're hoping that they kick us out.
[02:40:09.606 --> 02:40:11.766]  Because they have to report that attendance to the state.
[02:40:12.487 --> 02:40:20.570]  And if the state sees a day where a hundred or I don't even know how many kids are here, are absent, they're going to start asking questions.
[02:40:21.750 --> 02:40:23.711]  Our hope is, is we can get this statewide.
[02:40:25.595 --> 02:40:29.057]  Now I might get in trouble for this, but the plan still stands for Wednesday.
[02:40:29.618 --> 02:40:30.418]  For tomorrow, I mean.
[02:40:31.919 --> 02:40:37.603]  Everybody is gonna meet at the back row of the senior parking lot, and we're all walking into the school with no mask on.
[02:40:39.464 --> 02:40:41.966]  You can get me in trouble, they can suspend me, I don't care.
[02:40:42.226 --> 02:40:43.027]  We're done with this.
[02:40:43.967 --> 02:40:45.509]  And obviously all of you are too.
[02:40:45.529 --> 02:40:46.970]  Shut up!
[02:40:47.470 --> 02:40:47.890]  Shut up!
[02:40:49.611 --> 02:40:51.733]  Obviously all you are are done with the mask too.
[02:40:54.281 --> 02:40:57.063]  Now again, we're doing this peacefully and respectfully.
[02:40:57.123 --> 02:41:02.448]  If a staff member asks you to put a mask on, you say no thank you and keep walking.
[02:41:03.088 --> 02:41:05.170]  And if they kick you out, then go home.
[02:41:06.431 --> 02:41:11.815]  And if people need rides home, then some of the seniors, I'm sure we can start giving people rides home.
[02:41:12.475 --> 02:41:18.975]  [indistinct chatter]
[02:41:19.975 --> 02:41:27.975]   Hey, that was an eloquent speech by a young man outside Washougal High School in Washington State.
[02:41:27.996 --> 02:41:32.979]  Again, in anticipation of them walking into the school without wearing face masks.
[02:41:33.039 --> 02:41:35.701]  This also took place across California.
[02:41:35.761 --> 02:41:41.384]  Headline, hundreds of students segregated in gyms after protesting school mask mandates.
[02:41:42.765 --> 02:41:50.812]  Again, they were responding to both the LA Mayor and images of Governor Gavin Newsom maskless at a 49ers Rams football game over the weekend.
[02:41:51.553 --> 02:41:56.037]  And it was organized with the blessing and involvement of the parents.
[02:41:56.137 --> 02:41:59.359]  There's one of them quoted in an article here from KCRA3.
[02:42:01.354 --> 02:42:06.698]  Jennifer Henry, she said, our own governor doesn't follow these rules, so why should our children have to be wearing a mask?
[02:42:06.718 --> 02:42:08.639]  He's at this football game with all these people.
[02:42:09.279 --> 02:42:14.463]  Yeah, because they know the virus is nowhere near as bad as they tell everyone else it is.
[02:42:14.543 --> 02:42:18.766]  That's one of the reasons why they don't wear masks or follow any of the rules.
[02:42:19.366 --> 02:42:27.312]  Another parent, Jennifer Poth, said her eight-year-old son went to school without a mask on Tuesday, prompting school officials to call her on the phone!
[02:42:27.632 --> 02:42:28.833]  Oh my God, the horror!
[02:42:29.764 --> 02:42:32.866]  They called me to ask me to pick him up, and I refused.
[02:42:33.686 --> 02:42:35.827]  I said, no, it's your job to educate my son.
[02:42:35.887 --> 02:42:37.188]  He has every right to be there.
[02:42:38.269 --> 02:42:51.356]  So what they decided to do to this eight-year-old dissident, this thought criminal, this non-mask wearer, was to force him to go outside in 43-degree weather and sit there to do schoolwork.
[02:42:51.476 --> 02:43:16.694]   Now, when this was made public, the superintendent, Dave Kline, had to issue an apology KCRA 3 reports more students district-wide went to class without a mask on Wednesday and indeed there are videos showing hundreds of high schoolers being forced to sit in cafeterias, gyms, segregated, socially distanced because they dare flout the Covid pandemic religion.
[02:43:17.412 --> 02:43:19.953]  So that's a big positive development.
[02:43:19.993 --> 02:43:27.497]  Of course, the UK government did a study of face masks in schools before they introduced face masks in schools.
[02:43:28.118 --> 02:43:32.900]  And their own study found they had no impact whatsoever, but they just went ahead and introduced them anyway.
[02:43:33.601 --> 02:43:37.963]  Of course, the upshot of that in the UK, vast numbers of kids just refused to wear them.
[02:43:38.854 --> 02:43:44.439]  So again, the resistance continues to spread across both sides of the Atlantic.
[02:43:44.779 --> 02:43:49.002]  Of course, this is another article which should have been one of the biggest stories for a week.
[02:43:49.643 --> 02:43:52.625]  It was reported by a tiny local news station.
[02:43:53.106 --> 02:43:59.771]  Speech therapist, 364% surge in baby and toddler referrals thanks to mask wearing.
[02:44:00.192 --> 02:44:01.813]  How many parents do you see?
[02:44:02.874 --> 02:44:07.678]  I saw one, a baby in a pram wearing a frigging face mask.
[02:44:08.317 --> 02:44:11.798]  You see toddlers, you see young kids being forced to wear face masks.
[02:44:12.318 --> 02:44:17.720]  There's not even any rule or law, and never has been, that kids of that age have to wear face masks.
[02:44:18.241 --> 02:44:21.002]  Their parents are so petrified, they make them do it anyway.
[02:44:21.982 --> 02:44:28.304]  I mean, how, to what degree can you claim ignorance, or to what degree is that literal child abuse?
[02:44:29.605 --> 02:44:45.823]   Speech therapist Jacqueline Feak told WPBF News That she's received a 364% increase in babies and toddlers being unable to cognitively develop speech patterns because they can't read people's faces.
[02:44:46.163 --> 02:44:47.204]  They can't lip read.
[02:44:47.485 --> 02:44:49.707]  That's how they develop language skills.
[02:44:50.068 --> 02:44:50.929]  Now they're screwed.
[02:44:51.618 --> 02:45:03.743]  We've had reports of mean IQ scores of young children born during the pandemic tumbling by as much as 22 points because of cognitive development problems caused by mask mandates and lockdowns.
[02:45:04.083 --> 02:45:05.163]  It's a disgrace!
[02:45:05.323 --> 02:45:05.983]  We'll be back.
[02:45:06.003 --> 02:45:06.684]  Summit.News.
[02:45:06.704 --> 02:45:18.508]  Now last week the Pope came out, the false Pope, the globalist Pope, and said that the fact-checkers need to censor even more information as it pertains to vaccine side effects.
[02:45:18.548 --> 02:45:20.969]  Bear in mind this is the same Pope, Pope Francis.
[02:45:22.062 --> 02:45:31.311]  Who, a few months ago, called on Big Tech, quote, in the name of God, invoke the Lord Almighty to censor, quote, hate speech.
[02:45:31.391 --> 02:45:36.836]  Again, another completely arbitrary term defined by political extremes.
[02:45:37.556 --> 02:45:42.141]  In the name of God, censor hate speech, which is, of course, free speech.
[02:45:43.214 --> 02:45:47.095]  Now he's calling on fact-checkers to send some more information related to the vaccine.
[02:45:47.495 --> 02:45:52.956]  He's pushed mandatory vaccines in the Vatican, in Italy, across Europe.
[02:45:53.456 --> 02:45:57.137]  Well now someone's fighting back against the globalist fake Pope.
[02:45:58.397 --> 02:46:04.018]  Headline protester interrupts Pope to assert face masks are not of the Church of God.
[02:46:04.898 --> 02:46:08.779]  This happened during the Pope's general audience yesterday morning and it was caught on camera.
[02:46:09.975 --> 02:46:18.668]  The protester calmly stood up and said the church is not the way God wants it before adding quote masks are not the church of the church of God.
[02:46:19.148 --> 02:46:24.496]  Again he was calmly explaining his position as he removed his face mask and held it aloft.
[02:46:25.612 --> 02:46:32.537]  The Pope basically responded and said, oh, he's suffering, tried to make him make out as if he was mentally ill when he obviously wasn't.
[02:46:32.958 --> 02:46:36.540]  He obviously wasn't some disturbed, deranged individual trying to cause a scene.
[02:46:37.101 --> 02:46:42.205]  He was very eloquent, very calm in explaining his grievance.
[02:46:43.546 --> 02:46:50.872]  But I guess at least the Pope didn't say he was doing the work of the devil, which is the slur he uses against all his other critics.
[02:46:52.052 --> 02:46:59.962]   Meanwhile, Still in Europe, we have Eric Zemmour, we have the French presidential election coming up in April 2022.
[02:47:01.730 --> 02:47:08.395]  Marine Le Pen, in a poll that came out today, has pulled up to within five points of President Emmanuel Macron.
[02:47:08.936 --> 02:47:14.981]  Of course, she's vying to be the main right-wing populist contender to Macron with Eric Zemmour.
[02:47:15.541 --> 02:47:25.329]  Zemmour himself came out a few days ago with a very interesting policy to boost, yes, God forbid, boost native domestic birth rates in France.
[02:47:25.949 --> 02:47:28.271]  And I made a short video about this subject.
[02:47:28.512 --> 02:47:29.873]  Here is the clip.
[02:47:30.560 --> 02:47:35.524]  French presidential candidate Eric Zemmour is vowing to fund a nativist baby boom.
[02:47:35.644 --> 02:47:43.450]  The firebrand intellectual says he'll give parents in rural areas of the country 10,000 euros for each new child they have.
[02:47:43.570 --> 02:47:46.953]  The goal is to raise birth rates amongst the French and quote...
[02:47:47.433 --> 02:47:48.954]  Take back the countryside!
[02:47:49.014 --> 02:47:52.737]  The idea is similar to a policy enacted by Viktor Orban in Hungary.
[02:47:52.797 --> 02:47:57.160]  He offered over €30,000 to married couples who have three children.
[02:47:57.180 --> 02:48:02.763]  The loan has to be repaid until the couple have three children, but after that, the debt is completely forgiven.
[02:48:02.803 --> 02:48:08.948]  Zem's clever baby bonus policy, €10,000 per baby, but only to families in rural areas.
[02:48:09.008 --> 02:48:10.769]  Nothing for the urbanites who hate him.
