[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[02:53:26.347 --> 02:53:42.582]   But, to give you sort of a white pill as we exit tonight, It is important to remember why it matters that you continue to not only participate and support InfoWars, but participate in the Court of Public Opinion, to continue to be involved at whatever level that you can be or choose to be.
[02:53:43.163 --> 02:53:51.490]  Because your ability to fight back in the Court of Public Opinion is the only reason why billions of people around the globe have not taken this dangerous drug.
[02:53:51.931 --> 02:53:57.816]   It's the only reason why your willingness and readiness to fight back Even L.A.
[02:53:57.916 --> 02:54:05.621]  County had to reverse its intentions to reimpose a mask mandate in the County of Los Angeles.
[02:54:06.021 --> 02:54:07.342]  They were eager to do so.
[02:54:07.422 --> 02:54:08.863]  They were anxious to do so.
[02:54:08.923 --> 02:54:10.804]  They declared their intention to do so.
[02:54:11.225 --> 02:54:17.329]  But then ordinary people in the court of public opinion spoke out and spoke back against it.
[02:54:17.729 --> 02:54:18.429]  And what happened?
[02:54:18.610 --> 02:54:19.610]  Well, here's the headline.
[02:54:20.171 --> 02:54:20.351]  L.A.
[02:54:20.411 --> 02:54:26.195]  County Public Health Director Ferrer won't mandate masks now.
[02:54:26.815 --> 02:54:30.377]  So that's only because you chose to fight back.
[02:54:30.718 --> 02:54:32.078]  You chose to push back.
[02:54:32.419 --> 02:54:36.802]  So part of it is being self-educated, and self-educated is a function of self-empowerment.
[02:54:37.202 --> 02:54:51.151]  Part of it is supporting those content creators and independent media providers that provide you access to that information in the first place, and also the ability to share it with others to be able to get it and influence the court of public opinion.
[02:54:51.571 --> 02:55:02.962]  And then ultimately sharing your opinion that is now informed and well-educated with the public and engaging the public in dialogue, discussion, and debate to try to influence the shape and direction of it.
[02:55:03.363 --> 02:55:06.646]  Without InfoWars, there never is a President Donald John Trump.
[02:55:06.986 --> 02:55:09.769]  Without InfoWars, there's no pushback against lockdowns.
[02:55:10.129 --> 02:55:13.691]  Without InfoWars, there's no pushback on them shutting down our schools.
[02:55:14.052 --> 02:55:17.154]  Without InfoWars, there's no pushback on mask mandates.
[02:55:17.554 --> 02:55:20.876]  Without InfoWars, there's no pushback against election corruption.
[02:55:21.257 --> 02:55:24.799]  Without InfoWars, there's no pushback against the war propagandists.
[02:55:25.119 --> 02:55:36.287]  Look at all the war whores and how they all united for pushing this completely bogus war in Ukraine that was built on lie after lie after lie, libel after libel after libel.
[02:55:36.667 --> 02:55:47.920]  When the New York Times gets caught libeling and killing millions of people around the globe once again in another global war conflict that didn't need to happen but for their lives, they're never held accountable.
[02:55:48.300 --> 02:55:57.351]  They are coming after InfoWars because InfoWars is at the tip of the spear in stopping and preventing and precluding and exposing deep state bad actions and conduct.
[02:55:57.691 --> 02:56:10.210]  So continue to support InfoWars, continue to be the front of the line, hold the line, and together we will make sure independent information continues to get out there to be shared with you because you are part of the changing the world.
[02:56:10.470 --> 02:56:13.430]  You are part of making the world a better place.
[02:56:13.430 --> 02:56:24.430]  [Music]
[02:56:24.430 --> 02:56:32.430]   My fellow Americans, my fellow humans, history has reached an incredible crossroads.
[02:56:33.221 --> 02:56:37.143]  We are now deciding the very future destiny of our species.
[02:56:37.383 --> 02:56:41.765]  And at the very forefront of that fight against the New World Order and their Great Reset is InfoWars.
[02:56:41.945 --> 02:56:50.310]  And it's you, the viewer and listener of this broadcast, that have paved the way for a real opposition to the New World Order that has a very good chance of defeating them.
[02:56:50.870 --> 02:56:52.531]  Even their own internal documents have leaked.
[02:56:53.070 --> 02:56:58.750]   where the top globalists admit they're losing their war for the world and their war to take
[02:56:58.750 --> 02:57:03.790]   over humanity. But still things are neck and neck and things are very very close. Ladies and
[02:57:03.790 --> 02:57:07.710]   gentlemen you've done an incredible job spreading the word about InfoWars, the broadcast, the articles,
[02:57:07.710 --> 02:57:13.230]   the videos, the special guests we have, our other great hosts. You've done an amazing job praying for us.
[02:57:13.423 --> 02:57:19.349]  You've done an incredible job buying the products and financially supporting us so we can support you in this critical fight.
[02:57:19.690 --> 02:57:27.458]  That's why I'm asking every viewer and every listener to understand we have reached the most critical point in our battle against the globalists in our 28-year history.
[02:57:28.539 --> 02:57:32.541]  We have major plans in development and major operations that are very close to being launched.
[02:57:32.881 --> 02:57:40.285]  We have so many projects that are not known to the enemy that we've been secretly financing and just a lot of exciting things that have been going on.
[02:57:40.825 --> 02:57:43.006]  We only deliver with our information.
[02:57:43.046 --> 02:57:47.805]   We only deliver with real results against the New World Order, but we cannot do it without
[02:57:47.805 --> 02:57:48.805]  your support.
[02:57:48.805 --> 02:57:54.365]   So I'm asking you now, ladies and gentlemen, to not procrastinate and to go to Infowarstore.com.
[02:57:54.365 --> 02:57:56.765]  Plus we've got items that you definitely want.
[02:57:56.765 --> 02:58:01.725]   Ladies and gentlemen, people have asked me for over 15 years since I wrote my last book
[02:58:01.725 --> 02:58:04.245]  to write a new book.
[02:58:04.245 --> 02:58:10.166]   And I finally got some of the researchers together and top editors to condense all the
[02:58:10.166 --> 02:58:15.405]   known enemy battle plans against humanity into this new book that comes out in August.
[02:58:15.405 --> 02:58:20.685]   You can pre-order it right now at Infowarstore.com and secure a signed copy as well.
[02:58:20.685 --> 02:58:25.165]   We need the funds right now and you really need this book, especially for your friends,
[02:58:25.165 --> 02:58:28.764]   your family, your neighbors, because people are really listening right now and waking
[02:58:28.764 --> 02:58:29.886]  up to the Great Reset.
[02:58:29.886 --> 02:58:31.444]   Steve Bannon has said it is the most powerful book he has ever written.
[02:58:31.476 --> 02:58:48.239]  Powerful book since the founding fathers when it comes to fighting tyranny He said it's the blueprint of defeating the fourth turning new world order takeover I couldn't believe he said it, but it's true He read the book and he was blown away others that have read the book have been completely blown away You need to read this book.
[02:58:48.379 --> 02:59:02.543]   It is exclusively available through Skyhorse publishing at Infowars.com and Amazon and other places, but when I say it's exclusively available at Infowars.com That's where you can get the signed copies now that said This will keep us on air.
[02:59:02.823 --> 02:59:04.684]  Plus, it's something every library needs.
[02:59:04.984 --> 02:59:06.506]  It's something your friends and family need.
[02:59:06.786 --> 02:59:08.567]  It's something that is so important to get.
[02:59:08.827 --> 02:59:12.930]  So please order The Great Reset at InfowarStore.com today.
[02:59:13.330 --> 02:59:15.412]  This is the best Great Reset book out there.
[02:59:15.472 --> 02:59:16.533]  There's a lot of amazing ones.
[02:59:17.293 --> 02:59:26.003]  And we salute those folks that did it, but we have the most knowledge, we have the most research, and we've put out the most important book to understand the enemy's battle planning issue in your family.
[02:59:26.263 --> 02:59:27.084]  The Great Reset.
[02:59:27.445 --> 02:59:28.686]  Infowarstore.com.
[02:59:29.006 --> 02:59:32.230]  Ready for pre-order right now for regular copies and signed copies.
[02:59:32.270 --> 02:59:34.573]  Please go to Infowarstore.com right now and get it.
[02:59:35.113 --> 02:59:36.795]  Sold out for more than half a year.
[02:59:37.155 --> 02:59:38.316]  Our number one bestseller.
[02:59:38.456 --> 02:59:44.961]  All the best vitamins, all the essential minerals, all the key amino acids to boost your immune system, make you healthy and full of vitality.
[02:59:45.222 --> 02:59:47.083]  It's back in stock for adults and children.
[02:59:47.403 --> 02:59:48.404]  Vitamin Mineral Fusion.
[02:59:48.684 --> 02:59:50.226]  Discounted at FullWorthStore.com.
[02:59:50.306 --> 02:59:52.508]  Then we've got BODY's Ultimate Turmeric Formula.
[02:59:52.788 --> 02:59:57.712]  Highest level of curaminoid for inflammation, for anti-cancer, for overall health, for immune system.
