[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[02:43:15.197 --> 02:43:25.607]  They transport all the goods to the supermarkets and to the restaurants and to the furniture stores and to everything we buy.
[02:43:26.267 --> 02:43:31.750]   If you buy China, you know, for your for your kitchen table, you got You gotta buy it, a trucker brought it.
[02:43:31.750 --> 02:43:34.230]  If you, it doesn't matter what you buy.
[02:43:34.230 --> 02:43:38.969]   If you love sports, you buy footballs and baseballs at a sporting goods store, a trucker brought it.
[02:43:38.969 --> 02:43:44.850]   If you love barbecuing, a trucker brought the meat and a trucker brought the barbecue to Walmart
[02:43:44.850 --> 02:43:46.989]  or to Costco before you bought it.
[02:43:46.989 --> 02:43:49.629]  All those stores would be empty without the truckers.
[02:43:49.769 --> 02:44:00.019]  So all you liberal, elitist morons out there that think, oh, those truckers are low class, they're losers, I don't care about them, they're unvaccinated, arrest them, fire them!
[02:44:01.581 --> 02:44:02.442]  You're gonna starve to death.
[02:44:03.314 --> 02:44:07.175]  There will be no goods on any shelves in America without the truckers.
[02:44:07.635 --> 02:44:08.756]  You will starve to death.
[02:44:09.176 --> 02:44:15.958]  Every elitist liberal's life is in the hands of those dirty, unvaccinated truckers.
[02:44:16.018 --> 02:44:19.839]  You realize I'm saying that in quotations the way a liberal would say it.
[02:44:20.019 --> 02:44:21.460]   I love The truckers.
[02:44:21.520 --> 02:44:23.441]  I call them my mother truckers.
[02:44:23.882 --> 02:44:31.789]  You know, there's nothing greater in this world than a mother trucker who loves Trump and who supports freedom and who's against the vaccine mandates.
[02:44:31.889 --> 02:44:32.670]  I love you guys.
[02:44:33.090 --> 02:44:33.951]  You're my heroes.
[02:44:34.271 --> 02:44:37.975]  But liberals think of them as dirty, diseased, low class truckers.
[02:44:38.615 --> 02:44:46.703]  Without those truckers, all of you and all of your children will starve to death and America will cease to exist in a week.
[02:44:47.283 --> 02:44:50.686]  Or less, and we turn it to Mad Max, even with the police.
[02:44:51.407 --> 02:44:53.328]  So you better love your mother truckers.
[02:44:53.849 --> 02:45:04.017]  And I hope that what they're doing in Canada inspires American truckers to do the same thing, except instead of 57,000 18-wheelers, in America we'll have a million 18-wheelers, or 750,000, or in worst case, 500,000 18-wheelers that take over Washington, D.C.
[02:45:04.156 --> 02:45:11.875]   18 wheels or 750,000 or a worst case 500,000 18 wheelers that take over Washington DC and
[02:45:11.875 --> 02:45:14.595]  every blue Democrat state capital.
[02:45:14.595 --> 02:45:17.236]  All right, Wayne Elleroot back from my last segment.
[02:45:17.211 --> 02:45:21.014]  It always goes so fast on Alex Jones Show.
[02:45:21.414 --> 02:45:22.835]  For me, Wayne Allyn Root is guest host.
[02:45:22.915 --> 02:45:23.796]  It's ridiculous.
[02:45:24.316 --> 02:45:29.399]  This is, I think, the fourth time that I've either guest hosted or been on for an hour with Alex.
[02:45:30.020 --> 02:45:37.465]  And each time I threatened that I was going to talk about Cloward Piven at Columbia University, and I ran out of time and never discussed it.
[02:45:37.825 --> 02:45:40.967]  It's going to take a whole hour for me to go through Cloward Piven.
[02:45:41.756 --> 02:46:08.177]  So that should inspire all my friends at Alex Jones to get Wayne Rood back for an hour just to go over Cloward Piven that I learned at Columbia alongside my classmate, that communist son of a you-know-what, Barack Obama, who I think was sent to destroy this country and did it very slowly and very gradually when he was president for eight years because he didn't want to be known as the guy who totally tipped over the economy and destroyed America.
[02:46:08.718 --> 02:46:10.179]  But now it's his third term.
[02:46:10.279 --> 02:46:11.220]  Obama's the president.
[02:46:11.815 --> 02:46:13.676]  Biden is not the president, in case you don't know that.
[02:46:14.116 --> 02:46:19.558]  Biden is a brain-dead puppet who doesn't know what day it is, what his name is, who his wife is.
[02:46:19.618 --> 02:46:26.401]  Jill probably changes his diapers in the White House basement and feeds him baby food and then puts him to bed and gives him his blankie.
[02:46:26.986 --> 02:46:28.768]  Biden doesn't know who the hell he is or where he is.
[02:46:29.228 --> 02:46:32.170]  Obama is the president, as sure as I'm standing here.
[02:46:32.671 --> 02:46:34.912]  Obama is using Biden as the front guy.
[02:46:35.793 --> 02:46:38.716]  Obama is the ventriloquist, and Biden is the dummy.
[02:46:39.216 --> 02:46:42.819]  And Biden moves his mouth, and Obama's ideas come out of his mouth.
[02:46:43.199 --> 02:46:44.680]  That's the way it works, right?
[02:46:45.001 --> 02:46:49.104]  Move the mouth for the dummy, and Obama's the one who's the ventriloquist in the background.
[02:46:50.484 --> 02:46:52.565]  This is the third term, make no mistake about it.
[02:46:53.046 --> 02:46:55.207]  Third term of Barack Hussein Obama.
[02:46:55.768 --> 02:47:09.877]  And this time he can act as radical as he wants and destroy America quickly because A, he's got a front dummy Biden who will take all the blame so Obama won't go down in history as the first and only black president who also destroyed America.
[02:47:10.197 --> 02:47:11.578]  He's very careful about his image.
[02:47:12.138 --> 02:47:16.081]  Biden will go down in history as an old white man who destroyed America.
[02:47:19.787 --> 02:47:22.529]  You know, America will exist, but will it exist as a communist nation?
[02:47:22.349 --> 02:47:24.349]  So he's got to act fast.
[02:47:24.349 --> 02:47:30.349]   You know, I'm thrilled at the idea of Trump being president again in 2024, elected in 2025, taking over.
[02:47:30.349 --> 02:47:34.349]  But is America going to even exist by 2025?
[02:47:34.349 --> 02:47:36.349]  That's a very fair question.
[02:47:36.349 --> 02:47:40.349]   You know, America will exist, but will it exist as a communist nation?
[02:47:40.349 --> 02:47:45.349]  Will we all be banned and terminated and imprisoned?
[02:47:45.313 --> 02:47:49.673]   in and in re-education camp and our guns taken away and the borders open.
[02:47:49.673 --> 02:47:55.152]   So instead of 330 million Americans, there's 530 million Americans and 200
[02:47:55.152 --> 02:47:59.532]   million new foreigners from all over the world that swamp us and destroy us.
[02:47:59.532 --> 02:48:01.093]  These are all fair questions.
[02:48:01.093 --> 02:48:05.753]   I don't know if we're going to be around by 2024 for Trump to get reelected or
[02:48:05.753 --> 02:48:08.192]  2025 for Trump to be sworn in and serve.
[02:48:08.192 --> 02:48:10.672]  That's why Obama's moving quickly now.
[02:48:11.222 --> 02:48:13.783]  Let me mention again, the Great Patriot Protest and Boycott book.
[02:48:14.244 --> 02:48:16.385]  It's my new book, my latest book.
[02:48:16.705 --> 02:48:20.648]  I've got another one coming out soon, the Great Patriot Boycott book, but that's not out yet.
[02:48:21.048 --> 02:48:29.394]  That'll be the list of the 100 plus best corporations in America that conservatives should buy from because they love us and they're on our side and they're patriots.
[02:48:29.774 --> 02:48:32.016]  But this is the Great Patriot Protest and Boycott book.
[02:48:32.436 --> 02:48:34.497]  And these are the companies that are against us.
[02:48:34.877 --> 02:48:51.135]   And I make it easy for you to call them and attack them, just like the Canadian Blockade and the Canadian trucker convoy, my mother truckers, they're using my philosophy of Dr. Martin Luther King, which is civil disobedience and strikes and boycotts and intimidation, right?
[02:48:51.195 --> 02:48:52.436]  That's what they're doing.
[02:48:52.977 --> 02:48:56.361]  Blockades can win us the battle to end the vaccine mandates.
[02:48:57.463 --> 02:49:02.185]  And the mask mandates and the lockdowns and everything else these crazy people are trying.
[02:49:02.685 --> 02:49:21.494]  Let me read you just a couple things that came out in the last week that I wrote about in my most recent column that prove, in my opinion, that the vaccine is a disaster and a fraud and the biggest scam in world history and really just a money-making opportunity for Dr. Fauci and Big Pharma to all become billionaires.
[02:49:22.054 --> 02:49:22.254]  Right?
[02:49:22.314 --> 02:49:23.916]  It's a get-rich-quick scheme.
[02:49:24.336 --> 02:49:25.217]  That's what this is.
[02:49:25.697 --> 02:49:27.258]  Is there depopulation involved?
[02:49:27.618 --> 02:49:29.179]  People like Gates and Klaus Schwab?
[02:49:29.760 --> 02:49:31.962]  Undoubtedly, I'm sure there's some of that involved.
[02:49:32.322 --> 02:49:37.506]  Some of the crazy people at the top may believe in things like that, but I wasn't there when the plan was hatched.
[02:49:37.586 --> 02:49:38.046]  I don't know.
[02:49:38.627 --> 02:49:41.689]  What I know is it's a get-rich-quick scheme.
[02:49:42.483 --> 02:49:44.104]  So, first of all, it's worthless.
[02:49:44.705 --> 02:49:49.348]  More Israelis have been vaccinated percentage-wise than pretty much any nation on the planet Earth.
[02:49:49.908 --> 02:49:51.009]  Israel bought into this thing.
[02:49:51.409 --> 02:49:51.950]  Gigantic.
[02:49:51.990 --> 02:49:53.030]  This is science, folks.
[02:49:53.411 --> 02:49:54.772]  Nothing about this that's misleading.
[02:49:55.192 --> 02:49:57.513]  This is the very definition of science.
[02:49:58.034 --> 02:49:58.434]  Facts.
[02:49:58.734 --> 02:49:59.535]  Looking at facts.
[02:50:01.107 --> 02:50:06.149]  See, Israel was the first nation in the world to jab all its citizens, and they're the most jabbed nation in the world.
[02:50:06.529 --> 02:50:14.512]  And at this point, Israel has jabbed one jab, two jabs, three jabs, four jabs, and headed for number five, the second booster.
[02:50:15.253 --> 02:50:20.175]  And right now, at this moment, Israel has more people sick per capita than any other nation in the world.
[02:50:20.795 --> 02:50:27.618]  More people are sick with COVID in Israel than any nation in the world per capita.
[02:50:28.018 --> 02:50:30.579]  How do you explain that if the vaccine works?
[02:50:31.038 --> 02:50:39.521]  How do you explain that about a little bit more than one half of 1% of everyone in Israel is getting sick with COVID every day?
[02:50:40.601 --> 02:50:47.603]  One half of 1% of the entire population of Israel, you heard me right, gets sick every day with COVID.
[02:50:47.963 --> 02:50:57.026]  And at this moment in time, more people are sick with COVID than at the height of spring 2020 when COVID first came out and there was no vaccine.
[02:50:57.306 --> 02:50:58.006]  How do you explain that?
[02:50:59.696 --> 02:51:09.521]  But the way that I think Dr. Fauci would explain it is he'd say, well, Wayne, okay, we said you couldn't get COVID if you got the vaccine, and that was wrong.
[02:51:10.061 --> 02:51:15.203]  And we said you wouldn't have to wear a mask anymore if you got the vaccine, and that was wrong, right?
[02:51:15.684 --> 02:51:19.485]  And we said you couldn't spread COVID if you got the vaccine, and that's wrong.
[02:51:20.086 --> 02:51:21.506]  But I will tell you what's right.
[02:51:22.007 --> 02:51:24.948]  At least you don't get severe illness with the COVID vaccine.
[02:51:25.518 --> 02:51:27.539]  You will not get bad COVID.
[02:51:27.559 --> 02:51:28.540]  You will not be hospitalized.
[02:51:28.560 --> 02:51:29.260]  You will not die.
[02:51:29.580 --> 02:51:30.380]  We're preventing that.
[02:51:30.961 --> 02:51:37.724]  Well, Dr. Fauci, you're a liar and a fraud and ergo, you're a mass murderer because you've lied about everything.
[02:51:37.764 --> 02:51:38.464]  It's all a scam.
[02:51:38.825 --> 02:51:40.025]  It's a get rich quick scheme.
[02:51:40.826 --> 02:51:43.407]  And so Israel leads the world in COVID death.
[02:51:44.008 --> 02:51:50.692]  Yes, the most vaccinated nation in the world leads the world in COVID death rate per capita.
[02:51:50.732 --> 02:51:56.016]  Again, Israel is a much smaller country than America or China or Russia or Mexico or India.
[02:51:56.416 --> 02:52:07.123]  But based on its size per capita, more people are dying in Israel than India or China or America or Russia or UK or any other nation in the world.
[02:52:07.643 --> 02:52:22.460]  So if they're the most vaccinated nation in the world, and they have the most people with COVID in the world, and they have the most people hospitalized in the world, and that 80% of the hospitalized are vaccinated, by the way, in Israel, and they have the most people dead in the world, what exactly is the vaccine accomplished?
