[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[03:29:28.338 --> 03:29:31.161]  And when it comes time, you people are going to be brought to punishment.
[03:29:31.161 --> 03:29:32.363]  You're lying to the public.
[03:29:32.363 --> 03:29:33.404]  It's disgusting.
[03:29:33.404 --> 03:29:35.506]  The media continues to misrepresent.
[03:29:36.047 --> 03:29:36.808]  What I've said.
[03:29:36.808 --> 03:29:39.730]  He may be America's best known conspiracy theorist.
[03:29:39.730 --> 03:29:43.714]  Alex Jones has the largest audience in the country.
[03:29:43.714 --> 03:29:45.675]  Bigger than any of the networks.
[03:29:45.675 --> 03:29:47.837]  The biggest megaphone in the country.
[03:29:47.837 --> 03:29:50.019]  We're gonna get fired up about the real things!
[03:29:50.019 --> 03:29:51.040]  The things that matter!
[03:29:57.918 --> 03:30:06.124]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the Globals, in their own words, plan for our future.
[03:30:06.124 --> 03:30:07.565]  That is a hellish future.
[03:30:07.565 --> 03:30:16.991]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarsware.com.
[03:30:16.991 --> 03:30:22.575]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[03:30:22.575 --> 03:30:24.557]  And there's about a thousand left of them right now.
[03:30:25.137 --> 03:30:30.519]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarshore.com.
[03:30:30.519 --> 03:30:34.460]  And there is a markup there because this is a fundraiser to keep us on the air.
[03:30:34.460 --> 03:30:40.322]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[03:30:40.322 --> 03:30:42.423]  I'm going to thank those of you that have gotten signed copies of the book.
[03:30:43.223 --> 03:30:44.284]  Or unsigned copies.
[03:30:44.284 --> 03:30:54.629]  But I want to encourage all of you who haven't yet to go to Infowarshore.com and get a signed copy and buy a couple of unsigned copies and donate them to the library or give them to the local school.
[03:30:54.629 --> 03:30:55.670]  This is an Infowar.
[03:30:55.670 --> 03:30:57.571]  I'm counting on you and thank you for your support.
[03:30:57.571 --> 03:30:58.532]  I've got some good news.
[03:30:59.552 --> 03:31:06.438]  Our high quality supplements really work and we have about an 80% reorder rate with customers.
[03:31:06.438 --> 03:31:07.259]  That's the good news.
[03:31:07.259 --> 03:31:08.400]  They're amazing.
[03:31:08.400 --> 03:31:16.587]  The bad news is around 1% or a little less of our actual viewers and listeners ever go to InfoWarStore.com and ever actually buy the products.
[03:31:16.587 --> 03:31:20.030]  So you're missing out on these products plus it funds the InfoWar.
[03:31:20.030 --> 03:31:24.955]  Think of what we've done with just 1% of our massive audience actually buying products.
[03:31:24.955 --> 03:31:25.795]  Think what would happen.
[03:31:26.696 --> 03:31:40.225]  If those of you on the fence actually went to InfoWarStore.com and got some of these amazing products, I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[03:31:40.225 --> 03:31:49.211]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones, as well.
[03:31:49.211 --> 03:31:50.572]  Or Real Red Pill Plus.
[03:31:50.572 --> 03:31:54.995]  Just go try the product, fund the InfoWar, and help us defeat the new order together.
[03:31:54.995 --> 03:31:56.316]  InfoWarStore.com.
[03:31:57.776 --> 03:32:04.699]  Ladies and gentlemen, we have a new toothpaste that my dad, a retired dentist and oral surgeon developed.
[03:32:04.699 --> 03:32:08.720]  Dr. Jones Natural's Turmeric Toothpaste that just came into stock.
[03:32:08.720 --> 03:32:12.001]  And I gotta tell you, I got samples of this months ago and it is amazing.
[03:32:12.001 --> 03:32:15.942]  The way it makes your gums feel, what it does to your mouth is insane.
[03:32:15.942 --> 03:32:19.223]  We know turmeric is an antioxidant, an anti-inflammatory.
[03:32:19.223 --> 03:32:20.704]  It does such great things for the body.
[03:32:20.704 --> 03:32:23.565]  Then you add that with tea tree oil and a bunch of other essential oils.
[03:32:24.145 --> 03:32:25.366]  It is just dynamite.
[03:32:25.366 --> 03:32:29.949]  It is so good to detox and attack inflammation in your mouth.
[03:32:29.949 --> 03:32:34.192]  I want to challenge everybody to try the new toothpaste at MFootwearStore.com.
[03:32:34.192 --> 03:32:36.914]  Dr. Jones Naturals Turmeric Toothpaste.
[03:32:36.914 --> 03:32:40.156]  And while you're at it, check out the new Ashwagandha line of products.
[03:32:40.156 --> 03:32:45.019]  We have Ashwagandha with black pepper extract for your libido, your testosterone, in pill form.
[03:32:45.279 --> 03:32:51.023]  And we have the Pure Ashwagandha Root Gummies as well, now available at InfoWarsTore.com.
[03:32:51.023 --> 03:32:53.505]  They're amazing products, and they fund the Info War.
[03:32:53.505 --> 03:32:58.328]  Take action now at InfoWarsTore.com.
[03:32:58.328 --> 03:33:04.213]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:12.958 --> 03:33:14.840]  The answer to 1984 is 1776.
[03:33:14.840 --> 03:33:21.709]  You're listening to The Alex Jones Show.
[03:33:21.709 --> 03:33:24.832]  And now, your host, Owen Troyer.
[03:33:27.978 --> 03:33:29.619]  Alright, I'm going to shut up and go over to your phone calls.
[03:33:29.619 --> 03:33:32.982]  We'll take as many as we can in the last two segments of the Alex Jones Show.
[03:33:32.982 --> 03:33:37.044]  Remember, folks, we're a listener-supported InfoWarsTore.com.
[03:33:37.044 --> 03:33:44.150]  We don't want to see America collapse, but under Joe Biden, well, the odds are higher and higher with every passing day.
[03:33:44.150 --> 03:33:48.132]  So go to InfoWarsTore.com, get yourself some emergency food supplies the one year.
[03:33:49.133 --> 03:33:57.839]  Six-month, three-month, or one-month emergency food supplies, all at InfowarsStore.com.
[03:33:57.839 --> 03:34:01.261]  Let's go to Danny in Texas.
[03:34:01.261 --> 03:34:02.062]  Danny, you're on the air.
[03:34:02.062 --> 03:34:04.404]  Go ahead.
[03:34:04.404 --> 03:34:05.284]  Hey, hi, Owen.
[03:34:05.284 --> 03:34:07.105]  Thank you for taking my call today.
[03:34:07.105 --> 03:34:09.027]  Thanks for calling.
[03:34:09.027 --> 03:34:11.889]  So, where I stand with this Trump thing,
[03:34:13.260 --> 03:34:19.105]  You know, in the beginning of 2016, uh, my guy in the beginning was, was, uh, Rand Paul.
[03:34:19.105 --> 03:34:23.929]  You know, I followed his father, um, for some years and had voted for him in 2012.
[03:34:23.929 --> 03:34:32.916]  And, uh, that was my guy, you know, then Trump came along and, and, and had really good, powerful things to say, talking the same thing he's saying now.
[03:34:32.916 --> 03:34:39.662]  He said in 2016, almost, almost exactly identical, some of the speeches.
[03:34:39.662 --> 03:34:40.422]  So, um,
[03:34:42.628 --> 03:34:46.289]  When it comes down to it, I guess we're talking about karma with him.
[03:34:46.289 --> 03:34:55.810]  I don't want to... Someday, you know, I just want to say that that's in God's hands.
[03:34:55.810 --> 03:35:02.191]  And I think God will judge him whenever that day comes or whenever he meets his maker.
[03:35:02.191 --> 03:35:05.812]  What's happening now to him is total political persecution.
[03:35:05.812 --> 03:35:07.532]  I don't think it's right.
[03:35:07.532 --> 03:35:10.753]  But again, some of the past callers mentioned about
[03:35:11.983 --> 03:35:15.246]  You know, he kind of shot himself in his foot with this one.
[03:35:15.246 --> 03:35:23.692]  I mean, I don't know if he understood how important it was to the people in 2016, the things he was saying, it was important to us.
[03:35:23.692 --> 03:35:26.714]  You know, we finally found our champion and it meant something.
[03:35:26.714 --> 03:35:30.937]  We found somebody who's, it wasn't just a champ to lock her up.
[03:35:30.937 --> 03:35:32.298]  I mean, that meant something to us.
[03:35:32.298 --> 03:35:33.879]  We know how big of a criminal she is.
[03:35:33.879 --> 03:35:35.521]  She's still walking around there.
[03:35:35.521 --> 03:35:38.503]  You know, she's still probably, you know, um,
[03:35:39.318 --> 03:35:42.639]  Planning things right now with her cronies, with Obama and the bunch, you know?
[03:35:42.639 --> 03:35:48.061]  So, uh, that's kind of where I look at him.
[03:35:48.061 --> 03:35:49.641]  Would I vote for him again?
[03:35:49.641 --> 03:35:51.922]  You know, that's hard to say.
[03:35:51.922 --> 03:36:02.185]  I'll wait and see, but I know this, and I always try to look at what's going on in the world today and how God would look at things.
[03:36:02.185 --> 03:36:03.606]  And I know God hates pride.
[03:36:04.437 --> 03:36:12.521]  God hates pride and I'll tell you what, Donald Trump is a prideful man and that's a bad thing and that's a bad leader for us, I think, at the end of the day.
[03:36:12.521 --> 03:36:19.405]  He's a great man, he's done great things, but in the end, I think, you know, we get misplaced with
[03:36:20.236 --> 03:36:22.717]  The Bible talks about, you know, these end times.
[03:36:22.717 --> 03:36:27.639]  There's going to be so much news, and we're going to be flooded with so much information, and it's going to be so crazy.
[03:36:27.639 --> 03:36:31.101]  You know, our heads are going to be, and we're going to be coming so fast.
[03:36:31.101 --> 03:36:37.523]  And, you know, Alex talked about, you know, things that happened in 10 years that happened are going to happen in a day and a half.
[03:36:37.523 --> 03:36:40.825]  And things are just ramping up, and they're going.
[03:36:40.825 --> 03:36:43.646]  And I think we need to step back and take a look to God.
[03:36:43.646 --> 03:36:48.768]  I even think people need to take a step back and look at their churches they're in.
[03:36:49.685 --> 03:36:54.208]  You know, I found my pastors through... Well, look, there's no doubt the church is having a problem.
[03:36:54.208 --> 03:36:59.291]  I mean, I go down to the Capitol, they got a bunch of, you know, ministers and priests out there claiming they're for trans kids.
[03:36:59.291 --> 03:37:03.434]  So, you know, the next thing you know they'll be protesting for abortion, too.
[03:37:04.929 --> 03:37:13.531]  You know, Trump is in control of his own fate in many ways, and obviously being politically persecuted, but he didn't drain the swamp.
[03:37:13.531 --> 03:37:15.091]  So they're coming after him now.
[03:37:15.091 --> 03:37:16.952]  I don't know how he didn't see that coming.
[03:37:16.952 --> 03:37:17.792]  Thanks for the call, Danny.
[03:37:17.792 --> 03:37:20.212]  Let's go to Mike in California.
[03:37:20.212 --> 03:37:20.832]  Mike, you're on the air.
[03:37:20.832 --> 03:37:23.213]  Go ahead.
[03:37:23.213 --> 03:37:33.075]  So I don't think karma would be further persecution by the deep state that, you know, he's been enduring since he came down the escalator.
[03:37:33.075 --> 03:37:33.475]  I think
[03:37:34.614 --> 03:37:53.564]  Karma needs to be him getting back into office, but in order to do that, to get support of people like The Last Caller and others that are on the fence, he needs to come out and say specifically who he's going to appoint and surround himself with.
[03:37:53.564 --> 03:38:00.368]  That has to be people with integrity, like Colonel Douglas McGregor, Scott Ritter, people like that.
[03:38:00.368 --> 03:38:01.749]  I think if he could convince
[03:38:02.754 --> 03:38:03.914]  Robert F. Kennedy Jr.
[03:38:03.914 --> 03:38:06.515]  to be his running mate, that would be outstanding.
[03:38:06.515 --> 03:38:16.479]  He needs to come out and say, Operation Warp Speed, from his perspective, was a great accomplishment, getting around all the red tape of the federal bureaucracy.
[03:38:16.479 --> 03:38:21.181]  But the way it was handled behind his back was obviously unfortunate.
[03:38:21.181 --> 03:38:24.162]  And he needs to come out and he needs to own that.
[03:38:24.162 --> 03:38:29.364]  And, you know, he needs people like Colonel McGregor to come in and be Secretary of Defense.
