[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[03:22:34.373 --> 03:22:35.574]  We got to go with what we are.
[03:22:36.949 --> 03:22:37.870]  Yeah, yeah.
[03:22:37.870 --> 03:22:48.656]  And you know, we human beings are designed to interact with about 40 to 60 people from like the small tribes that we lived in for hundreds of thousands of years.
[03:22:48.656 --> 03:22:57.581]  So that's why this internet age is such an age of isolation for people because we're forgetting that what's important is that contact
[03:22:58.081 --> 03:23:02.024]  And connection with physical people in our lives.
[03:23:02.024 --> 03:23:03.866]  And that's what we've got to get back to.
[03:23:03.866 --> 03:23:06.008]  We've got to get back to our connection with God.
[03:23:06.008 --> 03:23:08.029]  And the book breaks all that down.
[03:23:08.029 --> 03:23:08.830]  The book breaks that down.
[03:23:10.225 --> 03:23:12.987]  Yeah, we need to reconnect to the source.
[03:23:12.987 --> 03:23:18.171]  The source of our joy is our connection to God and our connection to each other.
[03:23:18.171 --> 03:23:20.052]  And that's what the globalists hate.
[03:23:20.052 --> 03:23:22.694]  They want to plug us into machines.
[03:23:22.694 --> 03:23:25.656]  We want to plug you into God and we want to plug you into each other.
[03:23:25.656 --> 03:23:27.398]  Listen, I've never been a big drug guy.
[03:23:27.398 --> 03:23:30.340]  I like alcohol and nicotine, that's it, and some caffeine.
[03:23:30.340 --> 03:23:34.583]  But with my children, it was always, particularly as I've gotten older, I'm 50 here in a few months,
[03:23:35.876 --> 03:23:36.276]  I don't know.
[03:24:07.102 --> 03:24:08.423]  I took cocaine and meth a few times.
[03:24:08.423 --> 03:24:09.884]  It made me feel horrible and I hated it.
[03:24:09.884 --> 03:24:11.425]  But people say it makes them high.
[03:24:11.425 --> 03:24:14.527]  I get high doing that for like an hour every morning.
[03:24:14.527 --> 03:24:16.008]  It's the best time of my life.
[03:24:16.008 --> 03:24:18.390]  And I literally get high doing it.
[03:24:18.390 --> 03:24:30.999]  Just like I get high at a camp out or hunting or, quite frankly, back in the old days, fighting or swimming a couple of miles or doing woodwork or just we're meant or planning a garden and tending a garden.
[03:24:30.999 --> 03:24:32.440]  It's just we're supposed to do this.
[03:24:32.440 --> 03:24:33.921]  We're designed to do this.
[03:24:33.921 --> 03:24:35.182]  And people need to get back to work.
[03:24:37.734 --> 03:24:39.095]  And think about this, Alex.
[03:24:39.095 --> 03:24:42.218]  For a lot of people, you're the big bad wolf, okay?
[03:24:42.218 --> 03:24:45.962]  That's just the way you're the most persecuted man on the planet.
[03:24:45.962 --> 03:24:51.768]  And your greatest joy every day is when you can be of service to others.
[03:24:51.768 --> 03:24:57.633]  When you're of service to your daughter, when you're of service to your wife, when you're of service to the people that you work with.
[03:24:57.633 --> 03:24:59.135]  I mean, that's the source of joy.
[03:24:59.135 --> 03:25:00.116]  And it's
[03:25:00.826 --> 03:25:04.990]  All this other crap out there is just not important.
[03:25:04.990 --> 03:25:12.436]  And so I think that's one of the things that, you know, as I get more into this space, I'm sure I'm going to come up under increasing attack.
[03:25:12.436 --> 03:25:18.361]  But hopefully I've secured my Fortress of Joy and they never get to my Fortress of Joy.
[03:25:18.361 --> 03:25:20.843]  Oh my God, we should write a book together called Fortress of Joy.
[03:25:20.843 --> 03:25:24.827]  Just a book about what empowers humans.
[03:25:25.595 --> 03:25:29.739]  Because you're right, none of the attacks mean anything, because all that matters is my family.
[03:25:29.739 --> 03:25:48.295]  Like, I love going to my parents once a week for dinner, and it's just, I realize they won't be here forever, these beautiful people, and just, and my older children come over, they're moved out, and we just have like a two-hour dinner, we laugh, we make jokes, and the French Bulldog jumps around and does tricks, and it's just, it's beautiful, and they want to take that from people.
[03:25:49.847 --> 03:26:04.348]  Yeah, and so, you know, it's kind of been funny, because as I've gotten higher visibility, I'll go to events, and I'll have young people come up to me, and they'll find out who I am, and they've read some of my books, and they'll say things like,
[03:26:06.290 --> 03:26:32.548]  Three years ago, and you know now every day when I wake up I'm reading about the plans the globalists and this and that and the other thing and you know I think they want me to be like, you know impressed that they are spending 14 hours a day, you know on all the crap in the world and and you know, I say to them Do that less?
[03:26:32.548 --> 03:26:33.449]  Okay, you know
[03:26:34.235 --> 03:26:35.315]  Three or four hours.
[03:26:35.315 --> 03:26:39.336]  Okay, that's about all I can take of the terrible stuff in the world.
[03:26:39.336 --> 03:26:46.558]  And then the rest of my day, I'm doing all the things that bring me joy and contentment.
[03:26:46.558 --> 03:26:59.862]  And so I feel like those three or four hours that I'm attacking the dragon, attacking the devil, I am a fearless warrior.
[03:27:00.535 --> 03:27:01.896]  During that time.
[03:27:01.896 --> 03:27:10.542]  But I have to secure my Fortress of Joy constantly to make sure that I'm a good warrior.
[03:27:10.542 --> 03:27:12.043]  Hey, I'm gonna ask listeners, don't do this.
[03:27:12.043 --> 03:27:17.566]  Hey, Kent or Wes, will you go get, in your own name or whatever, will you get Fortress of Joy?
[03:27:17.566 --> 03:27:18.887]  I'll pay you back right now.
[03:27:18.887 --> 03:27:22.489]  Dot news or dot com.
[03:27:22.489 --> 03:27:24.451]  I don't know that's been written yet, but we should Google it.
[03:27:24.451 --> 03:27:26.192]  It's probably some horrible sex site.
[03:27:27.205 --> 03:27:52.984]  One time I was on air, trying to like type in Jeunesse, yes, because I had this sponsor on, and the crew didn't have it, like pulled up something and bullied everyone, but who knows what Fortress of Joy is, but that is a great, I've never heard that term, that's what we need to form is a Fortress of Joy against their evil, because it's a saying, and many have said it, so no one knows who said it first, but you don't fight because you hate the people in front of you, you fight because you love the people behind you.
[03:27:52.984 --> 03:27:53.685]  And that's it.
[03:27:53.685 --> 03:27:55.346]  We have a Fortress of Joy.
[03:27:57.273 --> 03:28:09.599]  Yeah, and if they can steal our joy, if when we appear in front of the public, we're scowling, we're angry, we're not convincing them to join us.
[03:28:09.599 --> 03:28:13.901]  And that's why you mentioned that the book was fun to read.
[03:28:13.901 --> 03:28:17.263]  Well, I love mocking stupid people.
[03:28:17.263 --> 03:28:19.724]  And I love mocking stupid plans.
[03:28:19.724 --> 03:28:21.545]  And it's it's fun.
[03:28:21.545 --> 03:28:24.527]  And, and our movement is fun.
[03:28:25.276 --> 03:28:27.237]  Connecting to God is joyful.
[03:28:27.237 --> 03:28:29.839]  Connecting to others is joyful.
[03:28:29.839 --> 03:28:40.407]  I say to those people who are living the liberal nightmare, I understand how miserable you are.
[03:28:40.407 --> 03:28:45.631]  What I'm asking you is to come over to the joyful side of life.
[03:28:45.631 --> 03:28:46.191]  Okay?
[03:28:46.191 --> 03:28:49.634]  So I'm not attacking them.
[03:28:49.634 --> 03:28:51.155]  I want to rescue them.
[03:28:56.991 --> 03:29:05.254]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's going on.
[03:29:05.254 --> 03:29:06.714]  And these are game-changing products.
[03:29:06.714 --> 03:29:08.555]  It's like our information's game-changing.
[03:29:08.555 --> 03:29:10.775]  These products are incredible.
[03:29:10.775 --> 03:29:14.557]  And I'm personally glad that these are now back in stock.
[03:29:14.557 --> 03:29:25.140]  All three of the InfoWars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get
[03:29:26.451 --> 03:29:28.752]  3 or 4,000 bottles of each one of these.
[03:29:28.752 --> 03:29:34.215]  We've got 4,000 bottles of the HGH Max Boost that people love so much.
[03:29:34.215 --> 03:29:38.117]  We've got about 4,000 bottles of 1776 Testosterone Boost that just came in.
[03:29:38.117 --> 03:29:41.499]  And we've got about 3,000 bottles of PainMD.
[03:29:41.499 --> 03:29:45.661]  Incredible natural pain reliever situation.
[03:29:45.661 --> 03:29:51.845]  All three of these are back in stock and they're incredible and they fund our operation at InfoWareStore.com.
[03:29:57.222 --> 03:30:01.746]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[03:30:01.746 --> 03:30:10.113]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[03:30:10.113 --> 03:30:16.999]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality
[03:30:17.159 --> 03:30:17.639]  We're good to go!
[03:30:39.437 --> 03:30:47.663]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[03:30:47.663 --> 03:30:51.726]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[03:30:51.726 --> 03:30:54.729]  Available right now at InfoWarsStore.com
[03:30:57.612 --> 03:31:05.816]  The most powerful Wimp Wars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[03:31:05.816 --> 03:31:16.181]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your buried DNA.
[03:31:16.181 --> 03:31:24.285]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[03:31:24.505 --> 03:31:25.306]  We're good to go!
[03:31:47.543 --> 03:31:47.884]  I think.
[03:31:57.093 --> 03:32:01.135]  Why do you think the globalists are desperately trying to censor everybody?
[03:32:01.135 --> 03:32:04.696]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[03:32:04.696 --> 03:32:09.798]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[03:32:09.798 --> 03:32:12.239]  But we're not just exposing their operation.
[03:32:12.239 --> 03:32:20.842]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[03:32:20.842 --> 03:32:22.163]  This is the Great Awakening.
[03:32:22.683 --> 03:32:27.045]  The plan to defeat the globalists and launch the second great renaissance.
[03:32:27.045 --> 03:32:30.847]  It's a companion to my last book that was a number one worldwide bestseller.
[03:32:30.847 --> 03:32:33.729]  And this book is even thicker and even more powerful.
[03:32:33.729 --> 03:32:38.451]  Get your copy of The Great Awakening today at InfoWarsTore.com.
[03:32:38.451 --> 03:32:41.933]  Either signed as a fundraiser, and I thank you for the support, or unsigned.
[03:32:42.133 --> 03:32:44.595]  But whatever you do, take action now.
[03:32:44.595 --> 03:32:48.017]  We're fighting for you, but we can't keep on if you don't support us.
[03:32:48.017 --> 03:32:50.559]  So please, get the historic book now.
[03:32:50.559 --> 03:32:54.341]  Go now to infowarestore.com and get The Great Awakening.
[03:32:54.341 --> 03:32:58.264]  The Great Awakening at InfoWarsTore.
[03:32:58.264 --> 03:33:04.168]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:08.854 --> 03:33:18.939]  From the front lines of the information war, it's Alex Jones.
[03:33:18.939 --> 03:33:23.322]  From their unhappiness.
[03:33:23.322 --> 03:33:23.742]  Beautiful.
[03:33:23.742 --> 03:33:25.403]  I'm just search engine Fortress of Joy.
[03:33:25.403 --> 03:33:30.585]  Make sure it's not a porn site.
[03:33:30.585 --> 03:33:33.027]  Fortress of Joy Church.
[03:33:33.027 --> 03:33:34.548]  That's something in California.
[03:33:34.548 --> 03:33:35.368]  We got to get it right now.
[03:33:38.385 --> 03:33:39.145]  I know, I know me.
[03:33:39.145 --> 03:33:39.806]  Well, whatever.
[03:33:39.806 --> 03:33:40.346]  It doesn't matter.
